>>swe<< Go.	Gå.
>>swe<< It's Tom.	Det är Tom.
>>swe<< It's fun.	Det är roligt.
>>swe<< It's fun.	Det är kul.
>>swe<< It's fun.	Det är skoj.
>>swe<< It's fun.	Det är skojigt.
>>swe<< Keep out.	Håll dig borta.
>>swe<< Keep out.	Håll er borta.
>>swe<< Kiss Tom.	Kyss Tom.
>>swe<< Leave it.	Låt det vara.
>>swe<< Leave it.	Låt den vara.
>>swe<< Leave me.	Lämna mig.
>>swe<< Leave us.	Lämna oss.
>>swe<< Marry me.	Gift dig med mig.
>>swe<< May I go?	Kan jag gå?
>>swe<< May I go?	Får jag gå?
>>swe<< Nonsense!	Struntprat!
>>swe<< She died.	Hon dog.
>>swe<< Speak up!	Tala högre!
>>swe<< Speak up!	Prata högre!
>>swe<< Stand by.	Var beredd.
>>swe<< Stand by.	Håll dig redo.
>>swe<< Stand by.	Håll dig i närheten.
>>swe<< Stand up!	Stå upp.
>>swe<< Stand up!	Ställ dig upp!
>>swe<< Stand up!	Ställ er upp!
>>swe<< Stay put.	Stanna kvar här.
>>swe<< Stay put.	Stanna kvar.
>>swe<< Stay put.	Sitt kvar.
>>swe<< Stay put.	Stå kvar.
>>swe<< Stay put.	Ligg kvar.
>>swe<< Tom lies.	Tom ljuger.
>>swe<< Tom spit.	Tom spottade.
>>swe<< Tom wept.	Tom grät.
>>swe<< Tom's up.	Tom är uppe.
>>swe<< Trust me!	Lita på mig!
>>swe<< Use this.	Använd den här.
>>swe<< Use this.	Använd det här.
>>swe<< Use this.	Använd denna.
>>swe<< Use this.	Använd detta.
>>swe<< Use this.	Använd den här!
>>swe<< Warn Tom.	Varna Tom.
>>swe<< Watch me.	Se på mig.
>>swe<< Watch us.	Titta på oss.
>>swe<< Watch us.	Se på oss.
>>swe<< What for?	Varför då?
>>swe<< Who died?	Vem dog?
>>swe<< Who died?	Vem har dött?
>>swe<< Who quit?	Vem slutade?
>>swe<< Who's he?	Vem är han?
>>swe<< Write me.	Skriv till mig.
>>swe<< Aim. Fire!	Sikta. Skjut!
>>swe<< Answer me.	Svara.
>>swe<< Apologize.	Be om ursäkt.
>>swe<< Avoid war.	Undvik krig.
>>swe<< Be seated.	Sätt er.
>>swe<< Be seated.	Sätt dig.
>>swe<< Birds fly.	Fåglar flyger.
>>swe<< Bless you.	Gud välsigne dig.
>>swe<< Calm down!	Lugna ner dig!
>>swe<< Calm down.	Lugna ner dig.
>>swe<< Calm down.	Lugna ner er.
>>swe<< Come back.	Kom tillbaka!
>>swe<< Cool down.	Lugna dig.
>>swe<< Do it now.	Gör det nu.
>>swe<< Don't cry.	Gråt inte.
>>swe<< Don't die.	Dö inte.
>>swe<< Don't lie.	Ljug inte.
>>swe<< Don't run.	Spring inte!
>>swe<< Excuse me.	Ursäkta mig.
>>swe<< Fantastic!	Fantastiskt!
>>swe<< Fold here.	Vik här.
>>swe<< Follow me.	Följ mig.
>>swe<< Follow me.	Följ med mig.
>>swe<< Follow me.	Följ efter mig.
>>swe<< Follow us.	Följ oss.
>>swe<< Follow us.	Följ med oss.
>>swe<< Follow us.	Följ efter oss.
>>swe<< Forget it.	Glöm det.
>>swe<< Goodnight.	God natt.
>>swe<< Grab that.	Ta tag i den där.
>>swe<< Have some.	Ta lite.
>>swe<< He shaved.	Han rakade sig.
>>swe<< He's a DJ.	Han är dj.
>>swe<< He's fast.	Han är snabb.
>>swe<< He's rich.	Han är rik.
>>swe<< He's sexy.	Han är sexig.
>>swe<< I am cold.	Jag fryser.
>>swe<< I am cold.	Jag är kall.
>>swe<< I am here.	Jag är här.
>>swe<< I am tall.	Jag är lång.
>>swe<< I can run.	Jag kan springa.
>>swe<< I can ski.	Jag kan åka skidor.
>>swe<< I coughed.	Jag hostade.
>>swe<< I fainted.	Jag svimmade.
>>swe<< I give up.	Jag ger upp.
>>swe<< I got hit.	Jag träffades.
>>swe<< I got hit.	Jag blev träffad.
>>swe<< I had fun.	Jag hade roligt.
>>swe<< I hurried.	Jag skyndade mig.
>>swe<< I love it.	Jag älskar det.
>>swe<< I promise.	Jag lovar.
>>swe<< I saw one.	Jag såg en.
>>swe<< I saw one.	Jag såg ett.
>>swe<< I slipped.	Jag halkade.
>>swe<< I sweated.	Jag svettades.
>>swe<< I woke up.	Jag vaknade.
>>swe<< I'll call.	Jag ska ringa.
>>swe<< I'll call.	Jag ringer.
>>swe<< I'll cook.	Jag lagar mat.
>>swe<< I'll cook.	Jag fixar maten.
>>swe<< I'll live.	Jag överlever.
>>swe<< I'll live.	Jag överlever nog.
>>swe<< I'll work.	Jag kommer att arbeta.
>>swe<< I'm angry.	Jag är arg.
>>swe<< I'm awake.	Jag är vaken.
>>swe<< I'm bored.	Jag har tråkigt.
>>swe<< I'm broke.	Jag är pank.
>>swe<< I'm happy.	Jag är lycklig.
>>swe<< I'm quiet.	Jag är tyst.
>>swe<< I'm quiet.	Jag är tystlåten.
>>swe<< I'm ready!	Jag är redo!
>>swe<< I'm ready!	Jag är färdig!
>>swe<< I'm ready!	Jag är klar!
>>swe<< I'm right.	Jag har rätt.
>>swe<< I'm short.	Jag är kort.
>>swe<< I'm smart.	Jag är smart.
>>swe<< I'm sober.	Jag är nykter.
>>swe<< I'm sorry.	Förlåt.
>>swe<< I'm stuck.	Jag sitter fast.
>>swe<< I'm stuck.	Jag har fastnat.
>>swe<< I'm stuck.	Jag har kört fast.
>>swe<< I'm tired.	Jag är trött.
>>swe<< I'm upset.	Jag är upprörd.
>>swe<< I'm young.	Jag är ung.
>>swe<< Is it bad?	Är det illa?
>>swe<< It snowed.	Det snöade.
>>swe<< It's 9:15.	Klockan är 9.15.
>>swe<< It's cool.	Den är sval.
>>swe<< It's cool.	Den är cool.
>>swe<< It's dark.	Det är mörkt.
>>swe<< It's fair.	Det är rättvist.
>>swe<< It's fine.	Det är okej.
>>swe<< It's free.	Det är gratis.
>>swe<< It's good.	Det är bra.
>>swe<< It's good.	Den är bra.
>>swe<< It's good.	Det är gott.
>>swe<< It's good.	Den är god.
>>swe<< It's hard.	Det är svårt.
>>swe<< It's hard.	Det är hårt.
>>swe<< It's hard.	Det är tufft.
>>swe<< It's here.	Den är här.
>>swe<< It's here.	Den har kommit.
>>swe<< It's here.	Här är den.
>>swe<< It's huge.	Den är enorm.
>>swe<< It's huge.	Den är jättestor.
>>swe<< It's huge.	Det är jättestort.
>>swe<< It's huge.	Det är enormt.
>>swe<< It's love.	Det är kärlek.
>>swe<< It's mine.	Det är mitt.
>>swe<< It's mine.	Den är min.
>>swe<< It's okay.	Det är okej.
>>swe<< It's ours.	Den är vår.
>>swe<< It's ours.	Det är vårt.
>>swe<< It's real.	Den är äkta.
>>swe<< It's real.	Det är äkta.
>>swe<< It's real.	Den är verklig.
>>swe<< It's sand.	Det är sand.
>>swe<< It's time.	Det är dags.
>>swe<< It's time.	Tiden är inne.
>>swe<< It's true!	Det är sant.
>>swe<< It's true.	Det är sant.
>>swe<< Keep down.	Håll dig nere.
>>swe<< Keep down.	Håll er nere.
>>swe<< Keep them.	Behåll dem.
>>swe<< Keep this.	Behåll den här.
>>swe<< Keep this.	Behåll det här.
>>swe<< Keep warm.	Håll dig varm.
>>swe<< Keep warm.	Håll er varma.
>>swe<< Let it go.	Släpp det.
>>swe<< Let me go!	Låt mig gå!
>>swe<< Let me in.	Släpp in mig.
>>swe<< Let's try.	Vi försöker.
>>swe<< Look away.	Titta bort.
>>swe<< Move over.	Flytta på dig.
>>swe<< Of course!	Självklart!
>>swe<< Of course!	Självfallet!
>>swe<< Of course.	Självklart.
>>swe<< Open fire!	Öppna eld!
>>swe<< See below.	Se nedan.
>>swe<< Seriously?	Allvarligt?
>>swe<< Seriously?	Seriöst?
>>swe<< She's hot.	Hon är het.
>>swe<< Sit still.	Sitt stilla.
>>swe<< Sit still.	Sitt still.
>>swe<< Stay away.	Håll dig borta.
>>swe<< Stay away.	Håll er borta.
>>swe<< Stay calm.	Behåll lugnet.
>>swe<< Stay here.	Stanna här.
>>swe<< Stop that.	Sluta med det där.
>>swe<< Stop that.	Sluta upp med det där.
>>swe<< Take mine.	Ta min.
>>swe<< Take mine.	Ta mitt.
>>swe<< Take mine.	Tag min.
>>swe<< Take mine.	Tag mitt.
>>swe<< Thank you.	Tack.
>>swe<< That's OK.	Det är okej.
>>swe<< That's OK.	Det är lugnt.
>>swe<< Then what?	Sen då?
>>swe<< Then what?	Sedan då?
>>swe<< They left.	De for sin väg.
>>swe<< They left.	De gav sig av.
>>swe<< They left.	De avreste.
>>swe<< They left.	De åkte.
>>swe<< They left.	De for.
>>swe<< They lied.	De ljög.
>>swe<< They swam.	De simmade.
>>swe<< Think big.	Tänk stort.
>>swe<< Tom cried.	Tom grät.
>>swe<< Tom dived.	Tom dök.
>>swe<< Tom swims.	Tom simmar.
>>swe<< Tom swore.	Tom svor.
>>swe<< Tom waved.	Tom vinkade.
>>swe<< Tom's fat.	Tom är tjock.
>>swe<< Tom's fat.	Tom är fet.
>>swe<< Tom's mad.	Tom är arg.
>>swe<< Tom's sad.	Tom är ledsen.
>>swe<< Tom's shy.	Tom är blyg.
>>swe<< Try again.	Försök igen.
>>swe<< Try it on.	Prova det!
>>swe<< Turn left.	Sväng vänster.
>>swe<< Way to go!	Bra jobbat!
>>swe<< We failed.	Vi misslyckades.
>>swe<< We forgot.	Vi glömde.
>>swe<< We waited.	Vi väntade.
>>swe<< We yawned.	Vi gäspade.
>>swe<< We'll see.	Vi får se.
>>swe<< We'll win.	Vi kommer att vinna.
>>swe<< We've won!	Vi har vunnit!
>>swe<< What's up?	Hur är läget?
>>swe<< What's up?	Vad händer?
>>swe<< Who is he?	Vem är han?
>>swe<< Who knows?	Vem vet?
>>swe<< Who's she?	Vem är hon?
>>swe<< Wonderful!	Underbart!
>>swe<< You idiot!	Din idiot!
>>swe<< You stink.	Du luktar.
>>swe<< Am I wrong?	Har jag fel?
>>swe<< Are you OK?	Mår du bra?
>>swe<< Be content.	Var belåten.
>>swe<< Be on time.	Kom i tid.
>>swe<< Be patient.	Var tålmodig.
>>swe<< Be patient.	Ha tålamod.
>>swe<< Be patient.	Var tålmodiga.
>>swe<< Be serious.	Var allvarlig.
>>swe<< Birds sing.	Fåglar sjunger.
>>swe<< Bring food.	Hämta mat.
>>swe<< Bring help.	Hämta hjälp.
>>swe<< Bring help.	Gå och hämta hjälp.
>>swe<< Bring wine.	Gå och hämta vin.
>>swe<< Bring wine.	Hämta vin.
>>swe<< Can I help?	Får jag hjälpa?
>>swe<< Carry this.	Bär den här.
>>swe<< Check that.	Kolla det där.
>>swe<< Check this.	Kolla det här.
>>swe<< Come alone.	Kom ensam.
>>swe<< Come armed.	Kom beväpnad.
>>swe<< Come armed.	Kom beväpnade.
>>swe<< Definitely!	Självfallet!
>>swe<< Definitely!	Absolut!
>>swe<< Definitely!	Ovillkorligen!
>>swe<< Definitely!	Definitivt!
>>swe<< Do it soon.	Gör det snart.
>>swe<< Don't jump!	Hoppa inte!
>>swe<< Don't look.	Titta inte.
>>swe<< Don't move!	Rör er inte!
>>swe<< Don't move!	Rör dig inte!
>>swe<< Don't push.	Knuffas inte.
>>swe<< Don't sing.	Sjung inte.
>>swe<< Don't stop.	Stanna inte.
>>swe<< Don't talk!	Prata inte!
>>swe<< Don't talk.	Tala inte.
>>swe<< Don't wait.	Vänta inte.
>>swe<< Don't yell.	Skrik inte.
>>swe<< Duty calls.	Plikten kallar.
>>swe<< Eat slowly.	Ät långsamt.
>>swe<< Eat slowly.	Ät sakta.
>>swe<< Examine it.	Undersök det.
>>swe<< Examine it.	Gå igenom den.
>>swe<< Examine it.	Granska den.
>>swe<< Fire burns.	Eld bränner.
>>swe<< Follow Tom.	Följ Tom.
>>swe<< Follow Tom.	Följ efter Tom.
>>swe<< Forget Tom.	Glöm Tom.
>>swe<< Forget him.	Glöm honom.
>>swe<< Forgive us.	Förlåt oss.
>>swe<< Get a life!	Skaffa dig ett liv.
>>swe<< Get a life.	Skaffa dig ett liv.
>>swe<< Get off me.	Låt mig vara.
>>swe<< Get off me.	Rör mig inte.
>>swe<< Get off me.	Låt bli mig.
>>swe<< Go wash up.	Gå och tvätta dig!
>>swe<< God exists.	Gud finns.
>>swe<< God exists.	Gud existerar.
>>swe<< Good night.	God natt.
>>swe<< He hung up.	Han lade på.
>>swe<< He hung up.	Han la på.
>>swe<< He is here!	Han är här!
>>swe<< He is kind.	Han är snäll.
>>swe<< He is kind.	Han är vänlig.
>>swe<< He is lazy.	Han är lat.
>>swe<< He is poor.	Han är fattig.
>>swe<< He laughed.	Han skrattade.
>>swe<< He made it.	Han klarade det.
>>swe<< He made it.	Han hann.
>>swe<< He reacted.	Han reagerade.
>>swe<< He's Swiss.	Han är schweizare.
>>swe<< He's lying.	Han ljuger.
>>swe<< He's smart.	Han är smart.
>>swe<< He's smart.	Han är intelligent.
>>swe<< Here it is.	Se så.
>>swe<< Hey, relax.	Du, slappna av.
>>swe<< How clever!	Vad smart!
>>swe<< How tragic!	Så tragiskt!
>>swe<< Hurry back.	Skynda dig tillbaka.
>>swe<< Hurry home.	Skynda dig hem.
>>swe<< I am right.	Jag har rätt.
>>swe<< I am short.	Jag är kort.
>>swe<< I am smart.	Jag är smart.
>>swe<< I can stay.	Jag kan stanna.
>>swe<< I can stay.	Jag får stanna.
>>swe<< I can swim.	Jag kan simma.
>>swe<< I can wait.	Jag kan vänta.
>>swe<< I chew gum.	Jag tuggar tuggummi.
>>swe<< I doubt it.	Det tvivlar jag på.
>>swe<< I doubt it.	Jag tvivlar på det.
>>swe<< I eat here.	Jag äter här.
>>swe<< I eat rice.	Jag äter ris.
>>swe<< I feel fit.	Jag känner mig vältränad.
>>swe<< I feel sad.	Jag känner mig ledsen.
>>swe<< I hate ads.	Jag hatar annonser.
>>swe<< I hate you.	Jag hatar dig.
>>swe<< I know her.	Jag känner henne.
>>swe<< I know him.	Jag känner honom.
>>swe<< I like him.	Jag gillar honom.
>>swe<< I like pie.	Jag gillar paj.
>>swe<< I like pie.	Jag tycker om paj.
>>swe<< I like tea.	Jag gillar te.
>>swe<< I like tea.	Jag tycker om te.
>>swe<< I like you.	Jag tycker om dig.
>>swe<< I like you.	Jag tycker om er.
>>swe<< I like you.	Jag gillar dig.
>>swe<< I like you.	Jag gillar er.
>>swe<< I love her.	Jag älskar henne.
>>swe<< I love him.	Jag älskar honom.
>>swe<< I love you.	Jag älskar dig.
>>swe<< I love you.	Jag älskar dej.
>>swe<< I miss you.	Jag saknar dig.
>>swe<< I miss you.	Jag saknar er.
>>swe<< I must run.	Jag måste springa.
>>swe<< I need ice.	Jag behöver is.
>>swe<< I need you.	Jag behöver dig.
>>swe<< I need you.	Jag behöver er.
>>swe<< I panicked.	Jag fick panik.
>>swe<< I promised.	Jag lovade.
>>swe<< I remember.	Jag minns.
>>swe<< I remember.	Jag kommer ihåg.
>>swe<< I survived.	Jag överlevde.
>>swe<< I think so.	Jag tror det.
>>swe<< I was fair.	Jag var rättvis.
>>swe<< I was weak.	Jag var svag.
>>swe<< I'll check.	Jag ska kolla.
>>swe<< I'll do it.	Jag fixar det.
>>swe<< I'll do it.	Jag ska göra det.
>>swe<< I'll do it.	Jag gör det.
>>swe<< I'll do it.	Jag kommer att göra det.
>>swe<< I'm a hero.	Jag är en hjälte.
>>swe<< I'm coming.	Jag kommer.
>>swe<< I'm honest.	Jag är ärlig.
>>swe<< I'm hungry.	Jag är hungrig.
>>swe<< I'm rested.	Jag är utvilad.
>>swe<< I'm scared.	Jag är rädd.
>>swe<< I'm taller.	Jag är längre.
>>swe<< Is Tom mad?	Är Tom arg?
>>swe<< Is Tom mad?	Är Tom galen?
>>swe<< Is he busy?	Är han upptagen?
>>swe<< Is he tall?	Är han lång?
>>swe<< Is it blue?	Är den blå?
>>swe<< Is it blue?	Är det blått?
>>swe<< Is it free?	Är det gratis?
>>swe<< Is it love?	Är det kärlek?
>>swe<< Is it time?	Är det dags?
>>swe<< Is it time?	Är tiden inne?
>>swe<< Is it true?	Är det sant?
>>swe<< Is that so?	Är det sant?
>>swe<< Is that so?	Jaså!
>>swe<< It happens.	Det händer.
>>swe<< It'll work.	Det kommer att fungera.
>>swe<< It's a fox.	Det är en räv.
>>swe<< It's blank.	Det är tomt.
>>swe<< It's blank.	Det är blankt.
>>swe<< It's blank.	Det står stilla.
>>swe<< It's clear.	Det är uppfattat.
>>swe<< It's clear.	Det är tydligt.
>>swe<< It's clear.	Det är uppenbart.
>>swe<< It's empty.	Den är tom.
>>swe<< It's empty.	Det är tomt.
>>swe<< It's my CD.	Det är min cd-skiva.
>>swe<< It's my CD.	Det är min cd.
>>swe<< It's on me.	Jag bjuder.
>>swe<< It's safer.	Det är säkrare.
>>swe<< It's scary.	Det är läskigt.
>>swe<< It's scary.	Den är läskig.
>>swe<< It's shiny.	Den glänser.
>>swe<< It's stuck.	Den sitter fast.
>>swe<< It's stuck.	Det sitter fast.
>>swe<< It's there.	Där är den.
>>swe<< It's there.	Det är där.
>>swe<< It's there.	Den är där.
>>swe<< Just do it.	Gör det bara.
>>swe<< Keep notes.	Ta anteckningar.
>>swe<< Keep still.	Håll still.
>>swe<< Let him go!	Släpp honom!
>>swe<< Let it dry.	Låt den torka.
>>swe<< Let it dry.	Låt det torka.
>>swe<< Let me out!	Släpp ut mig!
>>swe<< Let me pay.	Låt mig betala.
>>swe<< Let me see.	Låt mig se.
>>swe<< Let me win.	Låt mig vinna.
>>swe<< Lighten up.	Ryck upp dig.
>>swe<< Look at me.	Titta på mig.
>>swe<< Love hurts.	Kärlek gör ont.
>>swe<< Never mind!	Bry dig inte om det!
>>swe<< No comment.	Ingen kommentar.
>>swe<< No comment.	Inga kommentarer.
>>swe<< No problem!	Inga problem!
>>swe<< Now get in.	In med dig nu.
>>swe<< Now get in.	Kom in nu.
>>swe<< Once again.	Ännu en gång.
>>swe<< Please sit.	Varsågoda och sitt.
>>swe<< Ridiculous!	Löjligt!
>>swe<< Run for it!	Skynda dig!
>>swe<< Run for it!	Spring för livet!
>>swe<< Say please.	Säg: ”är du snäll”.
>>swe<< Say please.	Säg: ”får jag be”.
>>swe<< Say please.	Säg: ”är du vänlig”.
>>swe<< She smiled.	Hon log.
>>swe<< She's busy.	Hon är upptagen.
>>swe<< Sing along.	Sjung med.
>>swe<< Stay there.	Stanna där.
>>swe<< Step aside.	Kliv åt sidan.
>>swe<< Step on it!	Skynda dig!
>>swe<< Take a bus.	Ta en buss.
>>swe<< Take cover!	Ta skydd!
>>swe<< Talk to me!	Prata med mig!
>>swe<< That's Tom.	Det är Tom.
>>swe<< That's sad.	Det är sorgligt.
>>swe<< That's sad.	Det är trist.
>>swe<< They slept.	De sov.
>>swe<< They stood.	De stod.
>>swe<< They tried.	De försökte.
>>swe<< They voted.	De röstade.
>>swe<< Time flies.	Tiden flyger.
>>swe<< Time flies.	Tiden rusar.
>>swe<< Time is up.	Tiden är ute.
>>swe<< Tom braked.	Tom bromsade.
>>swe<< Tom burped.	Tom rapade.
>>swe<< Tom cheats.	Tom fuskar.
>>swe<< Tom drives.	Tom kör.
>>swe<< Tom got up.	Tom steg upp.
>>swe<< Tom hit me.	Tom slog mig.
>>swe<< Tom is out.	Tom är ute.
>>swe<< Tom nodded.	Tom nickade.
>>swe<< Tom phoned.	Tom ringde.
>>swe<< Tom smiles.	Tom ler.
>>swe<< Tom winked.	Tom blinkade.
>>swe<< Tom'll pay.	Tom betalar nog.
>>swe<< Tom's dead.	Tom är död.
>>swe<< Tom's deaf.	Tom är döv.
>>swe<< Tom's died.	Tom har dött.
>>swe<< Tom's fast.	Tom är snabb.
>>swe<< Tom's free.	Tom är fri.
>>swe<< Tom's free.	Tom är ledig.
>>swe<< Tom's glad.	Tom är glad.
>>swe<< Tom's gone.	Tom är borta.
>>swe<< Tom's gone.	Tom har åkt.
>>swe<< Tom's gone.	Tom har gått.
>>swe<< Tom's here.	Tom är här.
>>swe<< Tom's home.	Tom är hemma.
>>swe<< Tom's hurt.	Tom är skadad.
>>swe<< Tom's left.	Tom har åkt.
>>swe<< Tom's mean.	Tom är elak.
>>swe<< Tom's mean.	Tom är snål.
>>swe<< Tom's safe.	Tom är säker.
>>swe<< Tom's safe.	Tom är i säkerhet.
>>swe<< Tom's safe.	Tom är trygg.
>>swe<< Tom's safe.	Tom är utom fara.
>>swe<< Tom's sick.	Tom är sjuk.
>>swe<< Tom's weak.	Tom är svag.
>>swe<< Tough luck!	Vilken otur!
>>swe<< Turn right.	Sväng höger.
>>swe<< Wait a bit.	Vänta ett tag.
>>swe<< Watch this.	Titta på det här.
>>swe<< Watch this.	Kolla på det här.
>>swe<< We are men.	Vi är män.
>>swe<< We had fun.	Vi hade kul.
>>swe<< We love it.	Vi älskar det.
>>swe<< We're boys.	Vi är pojkar.
>>swe<< We're deaf.	Vi är döva.
>>swe<< We're here.	Vi är här.
>>swe<< We're sick.	Vi är sjuka.
>>swe<< What's new?	Vad är nytt?
>>swe<< Where am I?	Var är jag?
>>swe<< Who is she?	Vem är hon?
>>swe<< Who saw me?	Vem såg mig?
>>swe<< Wood burns.	Trä brinner.
>>swe<< You did it!	Du lyckades!
>>swe<< You may go.	Du kan gå.
>>swe<< You're old.	Du är gammal.
>>swe<< You're old.	Ni är gamla.
>>swe<< Am I hungry!	Om jag är hungrig!
>>swe<< Am I stupid?	Är jag dum?
>>swe<< Are you mad?	Är du galen?
>>swe<< Are you mad?	Är du arg?
>>swe<< Are you mad?	Är ni arga?
>>swe<< Are you new?	Är du ny?
>>swe<< Are you sad?	Är du ledsen?
>>swe<< Be creative.	Var kreativ.
>>swe<< Be creative.	Var kreativa.
>>swe<< Be discreet.	Var diskret.
>>swe<< Be discreet.	Var diskreta.
>>swe<< Be friendly.	Var vänlig.
>>swe<< Be friendly.	Var vänliga.
>>swe<< Be generous.	Var generös.
>>swe<< Be generous.	Var generösa.
>>swe<< Be merciful.	Var nådig.
>>swe<< Be prepared.	Var redo.
>>swe<< Be punctual.	Var punktlig.
>>swe<< Be punctual.	Var punktliga.
>>swe<< Be ruthless.	Var hänsynslös.
>>swe<< Be ruthless.	Var hänsynslösa.
>>swe<< Be sensible.	Var förnuftig.
>>swe<< Be specific.	Var specifik.
>>swe<< Be specific.	Var tydlig.
>>swe<< Be tolerant.	Var tolerant.
>>swe<< Be tolerant.	Var toleranta.
>>swe<< Be vigilant.	Var vaksam.
>>swe<< Be vigilant.	Var vaksamma.
>>swe<< Be watchful.	Var på din vakt.
>>swe<< Be watchful.	Var på er vakt.
>>swe<< Beer's good.	Öl är gott.
>>swe<< Can you row?	Kan du ro?
>>swe<< Check again.	Kolla en gång till.
>>swe<< Come aboard.	Kom ombord.
>>swe<< Come closer.	Kom närmare.
>>swe<< Come inside.	Kom in.
>>swe<< Comfort Tom.	Trösta Tom.
