>>afr<< Really?	Regtig?
>>afr<< Is Mary your wife?	Is Mary jou vrou?
>>afr<< Is Tom a good guy?	Is Tom 'n goeie vent?
>>afr<< Is that a problem?	Is dit 'n probleem?
>>afr<< Is that necessary?	Is dit nodig?
>>afr<< It's a bit chilly.	Dit is 'n bietjie koel.
>>afr<< My father is busy.	My vader is besig.
>>afr<< The check, please.	Die rekening asseblief.
>>afr<< They want it back.	Hulle soek dit terug.
>>afr<< This is my friend.	Dit is my vriend.
>>afr<< Tom came to visit.	Tom het kom kuier.
>>afr<< Tom can show Mary.	Tom kan Mary wys.
>>afr<< Tom cried all day.	Tom het heeldag gehuil.
>>afr<< Tom got home late.	Tom het laat tuis gekom.
>>afr<< Tom has a rowboat.	Tom het 'n roeiboot.
>>afr<< Tom has moved out.	Tom het uit getrek.
>>afr<< Tom is free to go.	Tom is vry om te gaan.
>>afr<< Tom is in the van.	Tom is in die bus.
>>afr<< Tom let Mary talk.	Tom laat Mary toe om te praat.
>>afr<< Tom let Mary talk.	Tom gee Mary 'n spreekbeurt.
>>afr<< Tom looked closer.	Tom het nader gekyk.
>>afr<< Tom may have died.	Tom kon dalk dood gegaan het.
>>afr<< Tom might not die.	Tom mag nie dood gaan nie.
>>afr<< Tom might've died.	Tom kon dood gegaan het.
>>afr<< Tom must be angry.	Tom moet kwaad wees.
>>afr<< Tom probably died.	Tom het heelwaarskynlik dood gegaan.
>>afr<< Tom saw Mary fall.	Tom het Mary gesien val.
>>afr<< Tom shot the wolf.	Tom het die wolf geskiet.
>>afr<< Tom was busy then.	Tom was toe besig.
>>afr<< Tom was here then.	Tom was toe hier.
>>afr<< Tom went in there.	Tom het daar in gegaan.
>>afr<< Tom will be sorry.	Tom sal jammer wees.
>>afr<< Tom will beat you.	Tom sal jou wen.
>>afr<< Tom will enjoy it.	Tom sal dit geniet.
>>afr<< Tom will get hurt.	Tom sal seer kry.
>>afr<< Tom will have fun.	Tom sal pret hê.
>>afr<< Tom won't confess.	Tom sal nie bely nie.
>>afr<< Tom won't hurt me.	Tom sal my nie seer maak nie.
>>afr<< Tom won't hurt us.	Tom sal ons nie seer makk nie.
>>afr<< Tom won't make it.	Tom sal dit nie maak nie.
>>afr<< Tom won't risk it.	Tom sal dit nie waag nie.
>>afr<< Tom wouldn't care.	Tom sal nie omgee nie.
>>afr<< We're against war.	Ons is teen oorlog.
>>afr<< We're out of milk.	Ons melk is op.
>>afr<< What're you doing?	Wat doen julle?
>>afr<< Where is the bank?	Waar is die bank?
>>afr<< Which is your bag?	Watter een is jou sak?
>>afr<< Who is that woman?	Wie is daardie vrou?
>>afr<< Whose car is that?	Wie se kar is dit?
>>afr<< Whose car is this?	Wie se kar is dit?
>>afr<< Why are you early?	Waarom is jy vroeg?
>>afr<< You can't miss it.	Jy kan dit nie mis nie.
>>afr<< You work too much.	Julle werk te veel.
>>afr<< Do you like sports?	Hou jy van sport?
>>afr<< He asked my mother.	Hy het my ma gevra.
>>afr<< Help! I'm drowning!	Help! Ek verdrink!
>>afr<< I call Boston home.	Ek noem Boston my tuiste.
>>afr<< I don't understand.	Ek verstaan nie.
>>afr<< I need an envelope.	Ek benodig 'n koevert.
>>afr<< I won't be coerced.	I wil nie gedwing wees nie.
>>afr<< I'll bring it back.	Ek sal dit terug bring.
>>afr<< I'm giving it back.	Ek gee dit terug.
>>afr<< I've got a partner.	Ek het 'n maat.
>>afr<< It's not necessary.	Dit is nie nodig nie.
>>afr<< Mary is Tom's wife.	Mary is Tom se vrou.
>>afr<< Now, don't be late.	Moet nie nou laat wees nie.
>>afr<< The paper is white.	Papier is wit.
>>afr<< They left together.	Hulle is saam weg.
>>afr<< Tom came home late.	Tom het laat tuis gekom.
>>afr<< Tom must be lonely.	Toom moet eensellig wees.
>>afr<< Tom was also drunk.	Tom was ook dronk.
>>afr<< Tom's a bright boy.	Tom is 'n helder seuntjie.
>>afr<< We drank some wine.	Ons het wyn gedrink.
>>afr<< We're proud of you.	Ons is trots op jou.
>>afr<< What a coincidence!	Wat 'n toeval!
>>afr<< What are you doing?	Wat maak julle?
>>afr<< What are you doing?	Wat doen julle?
>>afr<< Where's the toilet?	Waar is die toilet?
>>afr<< Did you read it all?	Het jy alles gelees?
>>afr<< Everyone is dancing.	Almal dans.
>>afr<< Glass breaks easily.	Glas breek maklik.
>>afr<< He worked very hard.	Hy't hard gewerk.
>>afr<< I like to eat pears.	Ek eet graag pere.
>>afr<< I make €100 a day.	Ek verdien 100 euros 'n dag.
>>afr<< I won't forget that.	Ek sal dit nie vergeet nie.
>>afr<< I'm not backing out.	Ek gaan nie uittree nie.
>>afr<< I'm not blaming you.	Ek blameer jou nie.
>>afr<< I'm thinking of you.	Ek dink aan U.
>>afr<< I'm thinking of you.	Jy is in my gedagtes.
>>afr<< My sister is pretty.	My suster is mooi.
>>afr<< Peaches taste sweet.	Perskes proe soet.
>>afr<< She went on working.	Sy het aangehou werk.
>>afr<< That's quite enough!	Dis nou genoeg!
>>afr<< That's why I'm here.	Dis hoekom ek hier is.
>>afr<< The radio is broken.	Die radio is stukkend.
>>afr<< They sell furniture.	Hulle verkoop meubels.
>>afr<< Tom stood up for me.	Tom het vir my opgestaan.
>>afr<< Tom won't back down.	Tom gaan nie afstaan nie.
>>afr<< Turn down the radio.	Draai die radio sagter.
>>afr<< Turn the radio down.	Draai die radio sagter.
>>afr<< We're in the forest.	Ons is in die woud.
>>afr<< What's today's date?	Wat is vandag se datum?
>>afr<< Where is the school?	Waar is die skool?
>>afr<< You can go now, sir.	Jy mag nou maar gaan meneer.
>>afr<< You must be careful.	Jy moet versigtig wees.
>>afr<< You should meet him.	Jy moet hom ontmoet.
>>afr<< You're a bright boy.	Jy is 'n helder seuntjie.
>>afr<< Your tie is crooked.	Jou das is skeef.
>>afr<< Can I extend my stay?	Kan ek my verblyf verleng?
>>afr<< Can I take a day off?	Mag ek 'n dag verlof neem?
>>afr<< Can I turn on the TV?	Kan ek die televisie aanskakel?
>>afr<< Do you speak English?	Praat jy Engels?
>>afr<< Have you seen my key?	Het jy my sleutel gesien ?
>>afr<< He was out of breath.	Hy was uit asem.
>>afr<< Here's your sandwich.	Hier is jou toebroodjie.
>>afr<< I believe your story.	Ek glo jou storie.
>>afr<< I don't scare easily.	Ek skrik nie maklik nie.
>>afr<< I don't trust myself.	Ek vertrou myself nie.
>>afr<< I need authorization.	Ek kort toestemming.
>>afr<< I won't be here long.	Ek gaan nie lank hier wees nie.
>>afr<< I wouldn't bet on it.	Ek sou nie daarop wed nie.
>>afr<< I wouldn't blame Tom.	Ek sou nie Tom blameer nie.
>>afr<< I wouldn't blame you.	Ek sou nie jou blameer nie.
>>afr<< I'll be very careful.	Ek sal baie versigtig wees.
>>afr<< Is it hot over there?	Is dit warm daarso?
>>afr<< Mary is Tom's sister.	Mary is Tom se suster.
>>afr<< May I turn on the TV?	Kan ek die televisie aanskakel?
>>afr<< Our fridge is broken.	Ons yskas is stukkend.
>>afr<< Sharing is important.	Om te deel is belangrik.
>>afr<< That's pretty normal.	Daai is redelik normaal.
>>afr<< They laughed quietly.	Hulle het saggies gelag.
>>afr<< Tom never got better.	Tom het nooit beter geword nie.
>>afr<< Tom went back inside.	Tom het terug binne gegaan.
>>afr<< We need your support.	Ons benodig jou ondersteuning.
>>afr<< We're opposed to war.	Ons is teen oorlog.
>>afr<< Welcome to Australia.	Welkom in Australië.
>>afr<< Where's your luggage?	Waar is jou bagasie?
>>afr<< You are not a doctor.	Jy is nie 'n dokter nie.
>>afr<< You can't be serious.	Jy kan nie ernstig wees nie.
>>afr<< You weren't that bad.	Jy was nie so sleg nie.
>>afr<< Are you afraid to die?	Is jy bank om te sterf?
>>afr<< Can I come over later?	Kan ek oorkom later?
>>afr<< Can I fix you a drink?	Kan ek vir jou 'n drankie maak?
>>afr<< Can I have this donut?	Kan ek hierdie oliebol kry?
>>afr<< Can I shake your hand?	Kan ek jou hand skud?
>>afr<< Can we lock this door?	Kan ons hierdie deur sluit?
>>afr<< Can you squeeze me in?	Kan jy my indruk?
>>afr<< Change into your suit.	Trek jou pak aan!
>>afr<< Did he go to see Mary?	Het hy vir Mary gaan sien?
>>afr<< Do you believe in God?	Glo jy in God?
>>afr<< Do you know this lady?	Ken jy hierdie dame?
>>afr<< Do you sell batteries?	Verkoop jy batterye?
>>afr<< Does Tom already know?	Weet Tom al?
>>afr<< He likes ham and eggs.	Hy hou van ham en eiers.
>>afr<< He was snoring loudly.	Hy was besig om hard te snork.
>>afr<< How much does it cost?	Hoeveel kos dit?
>>afr<< I go to bed about ten.	Ek gaan slaap om tien.
>>afr<< I have certain rights.	Ek het sekere regte.
>>afr<< I plan on being early.	Ek beplan om vroeg te wees.
>>afr<< I wouldn't be so sure.	Ek sou nie so seker wees nie.
>>afr<< I wouldn't blame them.	Ek sou nie hulle blameer nie.
>>afr<< I'll get some glasses.	Ek gaan haal glase.
>>afr<< I'm just being polite.	Ek probeer net beleefd wees.
>>afr<< I'm looking for a job.	Ek soek werk.
>>afr<< I'm used to it by now.	Ek is al gewoond daaraan teen nou.
>>afr<< I'm used to it by now.	Ek is nou al gewoond daaraan.
>>afr<< Is breakfast included?	Is ontbyt ingesluit?
>>afr<< May I shake your hand?	Kan ek jou hand skud?
>>afr<< No one speaks with me.	Niemand praat met my nie.
>>afr<< That's the last straw!	Dis die laaste strooi.
>>afr<< They're able students.	Hulle is bekwame studente.
>>afr<< They're afraid of him.	Hulle is bang vir hom.
>>afr<< Tom looks inquisitive.	Tom lyk nuuskierig.
>>afr<< Tom sat by the window.	Tom het by die venster gesit.
>>afr<< Tom went back outside.	Tom het terug buitentoe gegaan.
>>afr<< Tom's hands were cold.	Tom se hande was koud.
>>afr<< We love our customers.	Ons is lief vir ons klante.
>>afr<< Who wants to go first?	Wie wil eerste wees?
>>afr<< You were right before.	Jy was voorheen reg gewees.
>>afr<< Your account is empty.	Jou rekening is leeg.
>>afr<< Can I bring my friends?	Kan ek my vriende bring?
>>afr<< Can I get Tom to do it?	Kan ek Tom kry om dit te doen?
>>afr<< Can you make me a copy?	Kan jy vir my 'n kopie maak?
>>afr<< Can you open this door?	Kan jy hierdie deur oopmaak?
>>afr<< Can you take over here?	Kan jy my hierso vat?
>>afr<< Can you wait that long?	Kan jy so lank wag?
>>afr<< Do you believe in UFOs?	Glo jy in UFO's?
>>afr<< Do you read Tom's blog?	Lees jy Tom se blog?
>>afr<< Have you seen this man?	Het jy hierdie man gesien?
>>afr<< He is proud of his son.	Hy is trots op sy seun.
>>afr<< I can't judge distance.	Ek kan nie afstand skat nie.
>>afr<< I don't share anything.	Ek deel niks.
>>afr<< I earn 100 Euros a day.	Ek verdien 100 euros 'n dag.
>>afr<< I earn 100 euros a day.	Ek verdien 100 euros 'n dag.
>>afr<< I know she is sleeping.	Ek weet dat sy slaap.
>>afr<< I make 100 euros a day.	Ek verdien 100 euros 'n dag.
>>afr<< I never heard him sing.	Ek het hom nooit hoor sing nie.
>>afr<< I was right behind Tom.	Ek was reg agter Tom.
>>afr<< I went back to my seat.	Ek het terug na my sitplek gegaan.
>>afr<< I won't be blackmailed.	Ek gaan nie afgepers word nie.
>>afr<< I won't be intimidated.	Ek gaan nie geintimideer word nie.
>>afr<< I wouldn't bet on that.	Ek sou nie daarop wed nie.
>>afr<< I'll shoot both of you.	Ek gaan beide van julle skiet.
>>afr<< I'm mad at both of you.	Ek is kwaad vir beide van julle.
>>afr<< I'm thinking about you.	Ek dink aan U.
>>afr<< I'm thinking about you.	Jy is in my gedagtes.
>>afr<< It doesn't look so bad.	Dit lyk nie so sleg nie.
>>afr<< It is to his advantage.	Dit is tot sy voordeel.
>>afr<< May I bring my friends?	Kan ek my vriende bring?
>>afr<< My brother is an idiot.	My broer is 'n idioot.
>>afr<< Practice makes perfect.	Oefening maak die meester.
>>afr<< She's an individualist.	Sy's 'n individualis.
>>afr<< The snow began to melt.	Die sneeu het begin smelt.
>>afr<< Tom went back upstairs.	Tom is terug op die trappe op.
>>afr<< We won't be doing that.	Ons gaan nie dit doen nie.
>>afr<< Where can I buy stamps?	Waar kan ek seëls koop?
>>afr<< Where can I get stamps?	Waar kan ek seëls koop?
>>afr<< Which book do you want?	Watse boek wil jy hê?
>>afr<< You're not bad at this.	Jy is nie sleg met dit nie.
>>afr<< But wasn't it expensive?	Maar was dit nie duur nie?
>>afr<< Can you wait right here?	Kan jy reg hier wag?
>>afr<< Did you read everything?	Het jy alles gelees?
>>afr<< He sometimes watches TV.	Hy kyk partymal TV.
>>afr<< I asked where she lived.	Ek het gevra waar sy gewoon het.
>>afr<< I can't do it by myself.	Ek kan dit nie aan myself doen nie.
>>afr<< I don't know where I am.	Ek weet nie waar ek is nie.
>>afr<< I hate my mother-in-law.	Ek haat my skoonma.
>>afr<< I only want to help you.	Ek wil alleen jou help.
>>afr<< I was just being polite.	Ek was net beskaaf.
>>afr<< I wouldn't be surprised.	Ek sou nie verbaas wees nie.
>>afr<< I'll be back in an hour.	Ek sal terug wees in 'n uur.
>>afr<< I'll catch the next bus.	Ek sal die volgende bus vang.
>>afr<< I'm not afraid any more.	Ek is nie meer bang nie.
>>afr<< I'm not buying anything.	Ek gaan niks koop nie.
>>afr<< I'm still not buying it.	Ek gaan nogsteeds niks koop nie.
>>afr<< It happened by accident.	Dit het toevallig gebeur.
>>afr<< Make it a little larger.	Maak dit 'n bietjie groter.
>>afr<< My father doesn't drink.	My pa drink nie.
>>afr<< My wife is a vegetarian.	My vrou is 'n vegetariër.
>>afr<< The box is almost empty.	Die boks is amper leeg.
>>afr<< The dog is in the house.	Die hond is in die huis.
>>afr<< They are making a salad.	Hulle maak 'n slaai.
>>afr<< Tom couldn't believe it.	Tom kon dit nie glo nie.
>>afr<< Tom looks very relieved.	Tom lyk baie verlig.
>>afr<< Tom wants to be admired.	Tom wil bewonderd word.
>>afr<< We are both from Boston.	Ons is beide van Boston.
>>afr<< What Tom said was a lie.	Wat Tom gesê het is 'n leuen.
>>afr<< What are you doing, Dad?	Wat doen jy, pappa?
>>afr<< What're you looking for?	Wat soek jy?
>>afr<< Who are you working for?	Vir wie werk jy?
>>afr<< You wouldn't believe it.	Jy sou dit nie glo nie.
>>afr<< You wouldn't believe me.	Jy sou nie my glo nie.
>>afr<< You're really wonderful.	Jy is regtig wonderlik.
>>afr<< Can I get a coffee to go?	Kan ek 'n koffie vir die pad kry?
>>afr<< Can I help you gentlemen?	Kan ek jou help heer?
>>afr<< Do you know what he said?	Weet jy wat hy gesê het?
>>afr<< He eats around the clock.	Hy eet sonder ophou.
>>afr<< Her speech was excellent.	Haar toespraak was uitmuntend.
>>afr<< I don't love her anymore.	Ek is nie meer lief vir haar nie.
>>afr<< I have to help my mother.	Ek moet my ma help.
>>afr<< I make 100 euros per day.	Ek verdien 100 euros 'n dag.
>>afr<< I wouldn't take that bet.	Ek sou nie weddingskap neem nie.
>>afr<< I'll be right behind you.	Ek sal reg agter jou wees.
>>afr<< I'll stay here until ten.	Ek sal hier bly tot tien.
>>afr<< I'm just being realistic.	Ek is net besig om realisties te wees.
>>afr<< Let me explain something.	Laat my iets verduidelik.
>>afr<< Let's stick to the point.	Kom ons hou by die punt.
>>afr<< Let's wait till he comes.	Kom ons wag tot hy kom.
>>afr<< My parents are both dead.	My ouers is albei dood.
>>afr<< South Africa is far away.	Suid-Afrika is ver weg.
>>afr<< That is such a dumb idea.	Dit is so 'n dom idee.
>>afr<< This is such a dumb idea.	Dit is so 'n dom idee.
>>afr<< This is very interesting.	Dit is baie interessant.
>>afr<< Tom didn't shoot to kill.	Tom het nie geskied om dood te maak nie.
>>afr<< Tom drives like a maniac.	Tom bestuur soos 'n maniak.
>>afr<< Tom is dependent on Mary.	Tom is van Mary afhanklik.
>>afr<< Tom wasn't wearing socks.	Tom het nie sokkies gedra nie.
>>afr<< Tom went back downstairs.	Tom is terug af die trappe af.
>>afr<< Tom won't be cooperative.	Tom sal nie saamwerk nie.
>>afr<< We are under his command.	Ons staan onder sy bevel.
>>afr<< We've got too many rules.	Ons het te veel reëls.
>>afr<< What are you looking for?	Wat soek jy?
>>afr<< Where did you learn this?	Waar het jy dit geleer?
>>afr<< You sound like my mother.	Jy klink soos my ma.
>>afr<< You won't be on your own.	Jy sal nie op jou eie wees nie.
>>afr<< You've already forgotten.	Jy het reeds vergeet.
>>afr<< All the benches are taken.	Alle banke is beset.
>>afr<< All's well that ends well.	Alles goed eindig goed.
>>afr<< Be polite to your parents.	Wees hoflik teenoor jou ouers.
>>afr<< Breathe through your nose.	Haal deur die neus asem.
>>afr<< Can you help me with this?	Kan jy my met hierdie help?
>>afr<< Did you finish your paper?	Het jy jou vreastel voltooi?
>>afr<< Don't forget your promise.	Moet nie jou belofte vergeet nie.
>>afr<< How many pens do you have?	Hoeveel penne het jy?
>>afr<< I arrived here last night.	Ek het laas nag hier aangekom.
>>afr<< I can't bend my right arm.	Ek kan nie my regter arm buig nie.
>>afr<< I don't have time for you.	Ek het geen tyd vir julle nie.
>>afr<< I'll do what must be done.	Ek sal doen wat gedoen moet word.
>>afr<< I'm finishing my homework.	Ek maak my huiswerk klaar.
>>afr<< I'm not being paid enough.	Ek word nie genoeg betaal nie.
>>afr<< I'm standing in the shade.	Ek staan in die skaduwee.
>>afr<< It doesn't matter so much.	Dit maak nie soveel saak nie.
>>afr<< It doesn't seem very fair.	Dit blyk nie regverdig nie.
>>afr<< It was just the beginning.	Dit was net die begin.
>>afr<< Now you're being paranoid.	Nou is jy paranoïes.
>>afr<< Park the car in the shade.	Parkeer die kar in die skaduwee.
>>afr<< Please answer my question.	Asseblief beantwoord my vraag.
>>afr<< Tell Tom I won't be there.	Sê vir Tom ek gaan nie daar wees nie.
>>afr<< That wasn't very romantic.	Dit was nie baie romanties nie.
>>afr<< The radio is out of order.	Die radio is stukkend.
>>afr<< There are no broken bones.	Daar is geen gebreekte bene.
>>afr<< This machine doesn't work.	Hierdie masjien werk nie.
>>afr<< Tom isn't going to change.	Tom sal nie verander nie.
>>afr<< Tom often emails me jokes.	Tom stuur vir my dikwels e-pos met grappe.
>>afr<< Tom threw oil on the fire.	Tom het olie op die vuur gegooi.
>>afr<< Tom was not wearing socks.	Tom het nie sokkies gedra nie.
>>afr<< Tom was wearing a sweater.	Tom het 'n trui gedra.
>>afr<< We aren't very hungry yet.	Ons is nog nie baie honger nie.
>>afr<< What country are you from?	Van watse land is jy?
>>afr<< What floor do you live on?	Op watter verdieping woon jy?
>>afr<< All is well that ends well.	Alles goed eindig goed.
>>afr<< Be quiet during the lesson.	Wees rustig tydens die les.
>>afr<< Can you make a copy for me?	Kan jy vir my 'n kopie maak?
>>afr<< Everything's under control.	Alles is onder beheer.
>>afr<< I don't have much time now.	Ek het nou nie veel tyd nie.
>>afr<< I went by there last night.	Ek het daar gegaan gisteraand.
>>afr<< I will promise you nothing.	Ek beloof jou niks nie.
>>afr<< I won't be a party to this.	Ek gaan nie 'n party hieraan wees nie.
