>>npi<< Who?	को?
>>npi<< Turn it up.	अलिक ठूलो बनाउनुहोस्।
>>npi<< We are men.	हामी पुरुष हौं।
>>npi<< Who is Tom?	टम को हो?
>>npi<< Beer's good.	बियर राम्रो हो।
>>npi<< Beer's good.	बियर राम्रो छ।
>>npi<< Don't worry.	चिन्ता नगर।
>>npi<< Don't worry.	चिन्ता नगर!
>>npi<< Have a beer.	बियर खानुहोस्।
>>npi<< He is alone.	ऊ एक्लै छ ।
>>npi<< He is alone.	उहाँ एक्लै हुनुहुन्छ।
>>npi<< He is eight.	ऊ आठ वर्षको छ।
>>npi<< He is happy.	ऊ खुसी छ।
>>npi<< He is happy.	उहाँ खुसी हुनुहुन्छ।
>>npi<< Here we are!	हामी यहाँ छौ!
>>npi<< Here we are.	हामी यहाँ छौ।
>>npi<< I also went.	म पनि गएँ।
>>npi<< I am a cook.	म कुक हुँ।
>>npi<< I am coming.	म आउदै छु।
>>npi<< I am taller.	म अग्लो छु।
>>npi<< I assume so.	म त्यसै मान्छु।
>>npi<< I came back.	म फर्केर आएँ ।
>>npi<< I eat alone.	म एक्लै खान्छु।
>>npi<< I eat beans.	म गेडागुडी खान्छु।
>>npi<< I eat bread.	म रोटी खान्छु।
>>npi<< I eat bread.	म पाउरोटी खान्छु।
>>npi<< I eat fruit.	म फलफूल खान्छु।
>>npi<< I like peas.	मलाई मटर मन पर्छ।
>>npi<< I live here.	म यहाँ बस्छु।
>>npi<< I read lips.	म ओठ पढ्छु ।
>>npi<< I trust him.	म उसलाई विश्वास गर्छु।
>>npi<< I went home.	म घर गए।
>>npi<< I went, too.	म पनि गएँ।
>>npi<< I will stay.	म बस्नेछु।
>>npi<< I'll decide.	म निर्णय गर्छु।
>>npi<< I'll decide.	म निर्णय गर्नेछु।
>>npi<< I'm starved.	मलाई धेरै भोक लागेको छ।
>>npi<< Let's hurry.	हतार गरौं।
>>npi<< OK, you win.	ठिक छ, तिमीले जित्यौ।
>>npi<< Say my name.	मेरो नाम भन।
>>npi<< She is dead.	तिनी मरिसकेकी छिन्।
>>npi<< She is kind.	उनी दयालु छिन्।
>>npi<< Tom is here.	टम यहाँ छ।
>>npi<< We are sick.	हामी बिरामी छौं।
>>npi<< What's this?	यो के हो?
>>npi<< Am I in debt?	के म ऋणमा छु?
>>npi<< Did Tom fall?	के टम खसेको थियो?
>>npi<< Drive faster.	छिटो चलाउनुहोस्।
>>npi<< Ghosts exist.	भूतहरू छन्।
>>npi<< He is asleep.	ऊ सुतिरहेको छ।
>>npi<< He is cranky.	ऊ चकचके छ।
>>npi<< He is eating.	उ खादै छ।
>>npi<< He seems ill.	ऊ बिरामी देखिन्छ।
>>npi<< I am Chinese.	म चिनियाँ हुँ।
>>npi<< I am Chinese.	म चाइनिज हुँ।
>>npi<< I am curious.	म उत्सुक छु।
>>npi<< I am curious.	म जिज्ञासु छु
>>npi<< I am working.	म काम गर्दैछु।
>>npi<< I am working.	म काम गरिरहेको छु।
>>npi<< I don't know.	मलाई थाहा छैन।
>>npi<< I don't know.	थाहा छैन।
>>npi<< I drink beer.	म बियर पिउँछु।
>>npi<< I drink milk.	म दूध पिउँछु।
>>npi<< I drink wine.	म वाइन पिउँछु।
>>npi<< I eat cheese.	म चीज खान्छु।
>>npi<< I eat slowly.	म बिस्तारै खान्छु।
>>npi<< I have a map.	म सँग नक्सा छ।
>>npi<< I like steak.	मलाई स्टेक मन पर्छ।
>>npi<< I live alone.	म एक्लै बस्छु।
>>npi<< I need a pet.	मलाई एउटा पाल्तु जनावर चाहिन्छ।
>>npi<< I read books.	म किताबहरू पढ्छु ।
>>npi<< I want a dog.	मलाई एउटा कुकुर चाहियो।
>>npi<< I went there.	म त्यहाँ गएँ।
>>npi<< I went twice.	म दुई पटक गएँ ।
>>npi<< I will fight.	म लड्नेछु।
>>npi<< I will learn.	म सिक्नेछु।
>>npi<< Make a guess.	अनुमान गर्नुहोस्।
>>npi<< My eyes hurt.	मेरो आँखा दुखिरहेको छ!
>>npi<< She is eight.	उनी आठ वर्षकी हुन् ।
>>npi<< She is happy.	उनी खुसी छिन् ।
>>npi<< She is lucky.	उनी भाग्यमानी छिन्।
>>npi<< She is quiet.	उनी शान्त छिन्।
>>npi<< She is sharp.	तिनी तीक्ष्ण छिन्।
>>npi<< She is wrong.	उनी गलत छिन्।
>>npi<< Tom got rich.	टम धनी भयो।
>>npi<< Tom hates me.	टमले मलाई घृणा गर्छ।
>>npi<< We are happy.	हामी खुसी छौं।
>>npi<< We don't lie.	हामी झूट बोल्दैनौं।
>>npi<< We have room.	हामीसँग कोठा छ।
>>npi<< What is this?	यो के हो?
>>npi<< Did Tom paint?	टमले पेन्ट गर्यो?
>>npi<< He drank beer.	उनले बियर पिए ।
>>npi<< He drank beer.	उसले बियर पियो ।
>>npi<< He is foolish.	ऊ मूर्ख छ।
>>npi<< He seems kind.	उनी दयालु देखिन्छन्।
>>npi<< He seems kind.	उहाँ दयालु देखिनुहुन्छ।
>>npi<< I am Japanese.	म जापानीज हुँ।
>>npi<< I am a runner.	म एक धावक हुँ।
>>npi<< I am divorced.	म सम्बन्धविच्छेद भएको हु।
>>npi<< I am studying.	म पढिरहेको छु।
>>npi<< I am studying.	म पढ्दै छु।
>>npi<< I can't watch.	म हेर्न सक्दिन।
>>npi<< I drink a lot.	म धेरै पिउँछु।
>>npi<< I eat bananas.	म केरा खान्छु।
>>npi<< I eat chicken.	म कुखुराको मासु खान्छु ।
>>npi<< I live nearby.	म नजिकै बस्छु।
>>npi<< I must go out.	म बाहिर जानु पर्छ।
>>npi<< I read novels.	मैले उपन्यासहरू पढे।
>>npi<< I should quit.	मैले छाड्नु पर्छ।
>>npi<< I was excited.	म उत्साहित थिएँ।
>>npi<< I went aboard.	म विदेश गएँ ।
>>npi<< I went abroad.	म विदेश गएँ ।
>>npi<< I went hiking.	म पदयात्रामा गएँ।
>>npi<< I went inside.	म भित्र गएँ ।
>>npi<< I went skiing.	म स्कीइङ गर्न गएँ।
>>npi<< I'm ambitious.	म महत्वाकांक्षी छु।
>>npi<< I'm an addict.	म एक लतमा लागेको व्यक्ति हुँ।
>>npi<< I'm not brave.	म साहसी छैन।
>>npi<< I'm not crazy.	म पागल होइन।
>>npi<< I'm not crazy.	म पागल छैन।
>>npi<< Is Tom asleep?	के टम सुतिरहेको छ?
>>npi<< Is Tom famous?	के टम प्रसिद्ध छ?
>>npi<< It'll be easy.	यो सजिलो हुनेछ।
>>npi<< It's not mine.	यो मेरो होइन।
>>npi<< Life is short.	जिवन छोटो छ।
>>npi<< My name's Tom.	मेरो नाम टम हो।
>>npi<< Please fix it.	कृपया यसलाई ठीक गर्नुहोस्।
>>npi<< She is French.	उनी फ्रान्सेली हुन्।
>>npi<< She is active.	उनी सक्रिय छिन्।
>>npi<< She is crying.	उनी रुदै छिन् ।
>>npi<< She is crying.	उनी रोइरहेकी छिन् ।
>>npi<< She is eating.	उनी खाइरहेकि छिन् ।
>>npi<< She is strong.	तिनी बलियो छिन्।
>>npi<< Tell everyone.	सबैलाई भन।
>>npi<< Tell everyone.	सबैलाई भन्नुहोस्।
>>npi<< That's a fake.	त्यो नक्कली हो।
>>npi<< This is a map.	यो नक्सा हो।
>>npi<< This is a map.	यो एउटा नक्शा हो।
>>npi<< Tom isn't new.	टम नयाँ होइन।
>>npi<< Tom was blind.	टमले आँखा देख्दैन थियो।
>>npi<< Tom was blind.	टम अन्धो थियो।
>>npi<< Tom was scary.	टम डरलाग्दो थियो।
>>npi<< We are hungry.	हामी भोकाएका छौं।
>>npi<< We drank beer.	हामीले बियर पियौं।
>>npi<< Who's driving?	कसले गाडी चलाउदै छ?
>>npi<< Who's singing?	कसले गाउँदै छ?
>>npi<< Will you clap?	के तिमी ताली बजाउछौ ?
>>npi<< A beer, please.	कृपया, एक बियर।
>>npi<< Are you sleepy?	के तपाईलाई निद्रा लागेको छ ?
>>npi<< Can I eat that?	के म त्यो खान सक्छु?
>>npi<< Can I eat this?	के म यो खान सक्छु?
>>npi<< Cows eat grass.	गाईहरुले घाँस खान्छन्।
>>npi<< Girls love Tom.	केटीहरू टमलाई मन पराउँछन्।
>>npi<< Happy birthday!	जन्मदिनको शुभकामना
>>npi<< He is a doctor.	उहाँ डाक्टर हुनुहुन्छ।
>>npi<< He is powerful.	उहाँ शक्तिशाली हुनुहुन्छ।
>>npi<< He is powerful.	ऊ शक्तिशाली छ।
>>npi<< He was at home.	ऊ घरमै थियो।
>>npi<< Here, try some.	यहाँ, केहि प्रयास गर्नुहोस्।
>>npi<< How is it made?	यो कसरी बनेको छ?
>>npi<< I am a student.	म विद्यार्थी हुँ।
>>npi<< I am a teacher.	म शिक्षक हुँ।
>>npi<< I am an artist.	म एक कलाकार हुँ।
>>npi<< I can't see it.	म यो देख्न सक्दिन।
>>npi<< I can't see it.	म यसलाई देख्न सक्दिन।
>>npi<< I danced alone.	म एक्लै नाचेँ ।
>>npi<< I drink coffee.	म कफी पिउछु।
>>npi<< I eat anything.	म जे पनि खान्छु।
>>npi<< I eat tomatoes.	म टमाटर खान्छु।
>>npi<< I expect a lot.	म धेरै अपेक्षा गर्छु।
>>npi<< I have a dream.	मसँग एउटा सपना छ।
>>npi<< I have hiccups.	मलाई बाडुली लागेको छ।
>>npi<< I have one kid.	मेरो एउटा बच्चा छ।
>>npi<< I just checked.	मैले भर्खरै चेक गरे।
>>npi<< I like my name.	मलाई मेरो नाम मन पर्छ।
>>npi<< I like sashimi.	मलाई शशिमी मन पर्छ।
>>npi<< I need Tom now.	अब मलाई टम चाहिन्छ।
>>npi<< I remember Tom.	म टमलाई सम्झन्छु।
>>npi<< I sneeze a lot.	म धेरै हाच्छिउँ गर्छु।
>>npi<< I speak French.	म फ्रेन्च बोल्न सक्छु।
>>npi<< I was sleeping.	म सुतिरहेको थिए।
>>npi<< I went fishing.	म माछा मार्न गएँ।
>>npi<< I went on foot.	म पैदल गएँ ।
>>npi<< I went outside.	म बाहिर गएँ ।
>>npi<< I will survive.	म बाच्ने छु।
>>npi<< I'm a criminal.	म एक अपराधी हुँ।
>>npi<< I'm a rich kid.	म एक धनी बच्चा हुँ।
>>npi<< I'm only human.	म मान्छे मात्रै हुँ।
>>npi<< I'm very angry.	म धेरै रिसाएको छु।
>>npi<< Is he sleeping?	के ऊ सुतिरहेको छ?
>>npi<< It was raining.	पानी परिरहेको थियो।
>>npi<< Leave me alone!	मलाई एक्लै छाडिदेउ!
>>npi<< Let's be clear.	प्रष्ट होऔं।
>>npi<< Let's be clear.	प्रष्ट बनौं।
>>npi<< Let's hurry up.	हतार गरौं।
>>npi<< Many fish died.	धेरै माछा मरे।
>>npi<< My name is Tom.	मेरो नाम टम हो।
>>npi<< Shall we begin?	सुरु गरौँ कि?
>>npi<< Shall we begin?	सुरु गरौँ त?
>>npi<< Shall we begin?	श्रीगणेश गरौँ त?
>>npi<< Shall we start?	सुरु गरौँ कि?
>>npi<< Shall we start?	सुरु गरौँ त?
>>npi<< Shall we start?	श्रीगणेश गरौँ त?
>>npi<< She is dieting.	उनी डाइटिङ गरिरहेकी छिन् ।
>>npi<< Tell everybody.	सबैलाई भन।
>>npi<< Tell everybody.	सबैलाई भन्नुहोस्।
>>npi<< This is a book.	यो पुस्तक हो।
>>npi<< Tom apologized.	टमले माफी मागे।
>>npi<< Tom apologized.	टमले माफी माग्यो।
>>npi<< Tom hated Mary.	टम मेरीलाई घृणा गर्थ्यो।
>>npi<< Tom hated this.	टमले यसलाई घृणा गर्यो।
>>npi<< Tom hates bugs.	टमले किराहरूलाई घृणा गर्छ।
>>npi<< Tom is my name.	टम मेरो नाम हो।
>>npi<< Tom is talking.	टम बोल्दै छ।
>>npi<< Tom seems nice.	टम राम्रो देखिन्छ।
>>npi<< Tom wore a cap.	टमले टोपी लगाएको थियो।
>>npi<< Tom wore jeans.	टमले जिन्स लगाएका थिए।
>>npi<< Tom's not sick.	टम बिरामी छैन।
>>npi<< We are cousins.	हामी दाजुभाइ हौं।
>>npi<< We are doctors.	हामी डाक्टर हौं।
>>npi<< What can I eat?	म के खान सक्छु?
>>npi<< What can I eat?	मैले के खादा राम्रो हुन्छ?
>>npi<< What do I need?	मलाई के चाहिन्छ?
>>npi<< Who's speaking?	तपाईं को हुनुहुन्छ?
>>npi<< Who's speaking?	को बोल्दै हुनुहुन्छ?
>>npi<< Are you a local?	के तपाइँ स्थानीय हुनुहुन्छ?
>>npi<< Are you chicken?	तपाई कुखुरा हो?
>>npi<< Did Tom ask you?	के टमले तिमीलाई सोध्यो?
>>npi<< Don't come here.	यहाँ नआऊ।
>>npi<< Good night, Dad.	शुभ रात्रि, बुबा।
>>npi<< Good night, Tom.	शुभ रात्रि, टम।
>>npi<< He bought a hat.	उसले टोपी किन्यो।
>>npi<< He is unmarried.	उनी अविवाहित छन् ।
>>npi<< He is unmarried.	उहाँ अविवाहित हुनुहुन्छ ।
>>npi<< He is unmarried.	ऊ अविवाहित छ।
>>npi<< How old are you?	तपाई कति बर्सको हुनु भयो ?
>>npi<< I am a Japanese.	म जापानी हुँ।
>>npi<< I decided to go.	मैले जाने निर्णय गरें।
>>npi<< I eat chocolate.	म चकलेट खान्छु।
>>npi<< I live in Japan.	म जापानमा बस्छु।
>>npi<< I live in Tokyo.	म टोकियोमा बस्छु।
>>npi<< I want a friend.	मलाई एउटा साथी चाहियो।
>>npi<< I was listening.	म सुनिरहेको थिएँ।
>>npi<< I was suspended.	मलाई निलम्बन गरिएको थियो ।
>>npi<< I went for help.	म मद्दतको लागि गएँ।
>>npi<< I went shopping.	म किनमेल गर्न गए।
>>npi<< I went upstairs.	म माथितिर गएँ।
>>npi<< I will continue.	म जारी राख्छु।
>>npi<< I will stop Tom.	म टमलाई रोक्नेछु।
>>npi<< I'm the skipper.	म कप्तान हुँ।
>>npi<< I'm very hungry.	मलाई धेरै भोक लागेको छ।
>>npi<< Is Tom sleeping?	के टम सुतिरहेको छ?
>>npi<< It's not broken.	यो तोडिएको छैन।
>>npi<< It's not broken.	यो फुटेको छैन।
>>npi<< It's not enough.	यो पर्याप्त छैन।
>>npi<< It's still open.	हामी अझ खुल्ला छौ।
>>npi<< Merry Christmas!	क्रिसमसको शुभकामना!
>>npi<< My laptop broke.	मेरो ल्यापटप फुट्यो।
>>npi<< Please fix this.	कृपया यसलाई ठीक गर्नुहोस्।
>>npi<< Sheep eat grass.	भेडाले घाँस खान्छ।
>>npi<< Tom abused Mary.	टमले मेरीलाई दुर्व्यवहार गरे।
>>npi<< Tom became rich.	टम धनी भयो।
>>npi<< Tom can't go in.	टम भित्र जान सक्दैन।
>>npi<< Tom is friendly.	टम मिलनसार छ।
>>npi<< Tom is my rival.	टम मेरो प्रतिद्वन्द्वी हो।
>>npi<< Tom is speaking.	टम बोल्दै छ।
>>npi<< Tom is talented.	टम प्रतिभाशाली छ।
>>npi<< Tom lived alone.	टम एक्लै बस्थे।
>>npi<< Tom looked lost.	टम हराएको देखिन्थ्यो।
>>npi<< Tom loves ramen.	टमलाई रामेन मनपर्छ।
>>npi<< Tom passed away.	टमको मृत्यु भयो।
>>npi<< Tom was a drunk.	टम एक मातेको थियो।
>>npi<< Tom was elderly.	टम वृद्ध थिए।
>>npi<< Tom will accept.	टमले स्वीकार गर्नेछ।
>>npi<< We are brothers.	हामी दाजुभाइ हौं।
>>npi<< We are students.	हामी विद्यार्थी हौँ ।
>>npi<< We are teachers.	हामी शिक्षक हौं।
>>npi<< We need capital.	हामीलाई पुँजी चाहिन्छ ।
>>npi<< We'll stay here.	हामी यहाँ बस्नेछौ।
>>npi<< Where can I eat?	म कहाँ खान सक्छु?
>>npi<< Where did he go?	ऊ कहाँ गयो?
>>npi<< Where did he go?	उनी कहाँ गए?
>>npi<< Who are you all?	को हौ तिमीहरु सबै?
>>npi<< Who are you all?	तिमीहरु सबै को हौ?
>>npi<< Who did Tom ask?	टमले कसलाई सोध्यो?
>>npi<< Who is this Tom?	यो टम को हो?
>>npi<< Answer the phone.	फोन उठाउनुहोस्।
>>npi<< Are you a banker?	तपाईं बैंकर हुनुहुन्छ?
>>npi<< Are you a couple?	के तपाईहरू जोडी हुनुहुन्छ?
>>npi<< Are you a townie?	के तपाई शहरवासी हुनुहुन्छ?
>>npi<< Are you stopping?	के तपाइँ रोकिदै हुनुहुन्छ?
>>npi<< Can I dance here?	के म यहाँ नाच्न सक्छु?
>>npi<< Do I have a cold?	रुघा लागेको छ?
>>npi<< Don't talk to me.	मसँग कुरा नगर।
>>npi<< Drink more water.	धेरै पानी पिउनुहोस्।
>>npi<< He is delightful.	उहाँ रमाईलो हुनुहुन्छ।
>>npi<< He is overweight.	उनको तौल बढी छ ।
>>npi<< He is overweight.	उसको तौल बढी छ ।
>>npi<< He is unsociable.	ऊ मिलनसार छैन ।
>>npi<< He was born dumb.	उनी मुर्ख जन्मेका थिए ।
>>npi<< He was born rich.	उनी जन्मिदा खेरि नै धनि हुन्।
>>npi<< He's not serious.	उनी गम्भीर छैनन्।
>>npi<< I am a foreigner.	म एक विदेशी हुँ।
>>npi<< I am a professor.	म प्राध्यापक हुँ।
>>npi<< I am eating rice.	म भात खाँदै छु ।
>>npi<< I am from Brazil.	म ब्राजिलबाट हुँ।
>>npi<< I am truly sorry.	मलाई माफ गर्नुहोस्।
>>npi<< I can't beat Tom.	म टमलाई हराउन सक्दिन।
>>npi<< I can't beat Tom.	म टमलाई जित्न सक्दिन।
>>npi<< I can't eat rice.	म भात खान सक्दिन।
>>npi<< I don't eat beef.	म गाईको मासु खाँदिन।
>>npi<< I don't eat beef.	म गाईको मासु खान्न।
>>npi<< I don't eat rice.	म भात खान्न।
>>npi<< I don't know her.	म तिनलाई चिन्दिन।
>>npi<< I drink a little.	म अलिकति पिउँछु ।
>>npi<< I drink tea, too.	म पनि चिया पिउँछु ।
>>npi<< I drink to relax.	म आराम गर्न पिउँछु।
>>npi<< I eat everything.	म सबै खान्छु।
>>npi<< I eat vegetables.	म तरकारी खान्छु।
>>npi<< I have to go out.	म बाहिर जानु पर्छ।
>>npi<< I hear something.	म केहि सुन्छु।
>>npi<< I like pop music.	मलाई पप गीत मन पर्छ।
>>npi<< I live near here.	म यहाँ नजिकै बस्छु।
>>npi<< I love egg yolks.	मलाई अण्डाको पहेलो भाग मन पर्छ।
>>npi<< I miss you a lot.	मलाई तिम्रो धेरै याद आइरहेको छ।
>>npi<< I miss you badly.	मलाई तिम्रो धेरै याद आइरहेको छ।
>>npi<< I saw Tom crying.	मैले टम रोइरहेको देखें।
>>npi<< I was born there.	म त्यहीँ जन्मिएँ ।
>>npi<< I was very upset.	म निकै उदास थिएँ ।
>>npi<< I wasn't careful.	म सचेत थिइनँ।
>>npi<< I will translate.	म अनुवाद गर्छु।
>>npi<< I'm OK with that.	म त्यो संग ठीक छु।
>>npi<< I'm middle class.	म मध्यमवर्गीय हुँ।
>>npi<< I'm not creative.	म रचनात्मक छुइन।
>>npi<< I'm not on drugs.	म लागुऔषध मा छैन।
>>npi<< I'm not so brave.	म त्यति बहादुर छैन।
>>npi<< I'm not sure yet.	म अझै पक्का छैन।
>>npi<< I'm off tomorrow.	म भोलि बिदामा छु।
>>npi<< I'm on your side.	म तिमीलाई समर्थन गर्छु।
>>npi<< I'm out of ideas.	म बिचारबाट बाहिर छु।
>>npi<< I'm out of shape.	मेरो आकार छैन।
>>npi<< I'm out of sugar.	मेरो चिनी सकिएको छ।
>>npi<< I'm the youngest.	म सबैभन्दा कान्छो हुँ।
>>npi<< I'm the youngest.	म सबैभन्दा कान्छी हुँ।
>>npi<< I've been stupid.	म मुर्ख भएको छु।
>>npi<< Is Tom here, too?	के टम पनि यहाँ छ?
>>npi<< Nice to meet you.	तपाईँलाई भेटेर खुशी लाग्यो।
>>npi<< People are dying.	मानिसहरु मरिरहेका छन् ।
>>npi<< People are dying.	मान्छे मरिरहेका छन् ।
>>npi<< Respect yourself.	आफैलाई सम्मान गर्नुहोस्।
>>npi<< She is beautiful.	उनी सुन्दर छिन्।
>>npi<< She loves coffee.	उनलाई कफी मन पर्छ।
>>npi<< Stay for a while.	केही बेर बस्नुहोस्।
>>npi<< Stop annoying me.	मलाई कष्ट दिन बन्द गर्नुहोस्।
>>npi<< The sea was calm.	समुद्र शान्त थियो।
>>npi<< The work is done.	काम सकियो।
>>npi<< There's a plan B.	त्यहाँ योजना बी छ।
>>npi<< They like French.	तिनीहरू फ्रान्सेली मन पराउँछन्।
>>npi<< This TV is heavy.	यो टिभी भारी छ।
>>npi<< This is our team.	यो हाम्रो टोली हो।
>>npi<< Tom bought a gun.	टमले बन्दुक किन्यो।
>>npi<< Tom felt amazing.	टमलाई अचम्म लाग्यो।
>>npi<< Tom is in heaven.	टम स्वर्गमा छ।
>>npi<< Tom is obnoxious.	टम अपमानजनक छ।
>>npi<< Tom is so strong.	टम एकदमै बलियो छ।
>>npi<< Tom is unmarried.	टम अविवाहित छ।
>>npi<< Tom laughs a lot.	टम धेरै हाँस्छन्।
>>npi<< Tom will be over.	टम समाप्त हुनेछ।
>>npi<< Tom wouldn't cry.	टम रुने थिएन।
>>npi<< Use a calculator.	क्याल्कुलेटर प्रयोग गर्नुहोस्।
>>npi<< We just got here.	हामी भर्खरै यहाँ आइ पुग्यौं।
>>npi<< We're still open.	हामी अझ खुल्ला छौ।
>>npi<< What did Tom add?	टमले के थप्यो?
>>npi<< What did Tom ask?	टमले के सोधे?
>>npi<< What did Tom use?	टमले के प्रयोग गरेको थियो?
>>npi<< What did you say?	तपाईले के भन्नु भयो ?
>>npi<< Which is correct?	कुन सहि हो?
>>npi<< Who cares anyway?	जे भए पनि कसले वास्ता गर्छ?
>>npi<< You sound bitter.	तिमी तितो सुनिन्छौ।
>>npi<< Are they Japanese?	के ती मानिसहरू जापानी हुन्?
>>npi<< Did you draw that?	के तपाईंले त्यो चित्र बनाउनुभएको हो ?
>>npi<< Do you have a car?	के तपाईसँग कार छ?
>>npi<< Do you have plans?	के तपाईंसँग योजनाहरू छन्?
>>npi<< He called my name.	उसले मेरो नाम बोलायो।
>>npi<< He is influential.	उहाँ प्रभावशाली हुनुहुन्छ।
>>npi<< His eyes are blue.	उसका आँखा नीलो छन्।
>>npi<< How was your trip?	तपाइँको यात्रा कस्तो रह्यो?
>>npi<< I am 19 years old.	म १९ वर्षको भएँ।
>>npi<< I am 19 years old.	म १९ वर्षको हुँ ।
>>npi<< I am a translator.	म एक अनुवादक हुँ।
>>npi<< I danced with Tom.	मैले टमसँग नाचें।
>>npi<< I decided to stay.	मैले बस्ने निर्णय गरें।
>>npi<< I decided to wait.	मैले पर्खने निर्णय गरें।
>>npi<< I didn't eat rice.	मैले भात खाइनँ ।
>>npi<< I didn't get paid.	मैले तलब पाएको छैन।
>>npi<< I don't want them.	म तिनीहरूलाई चाहन्न।
>>npi<< I drink to forget.	म बिर्सनका लागि पिउँछु ।
>>npi<< I enjoy what I do.	म जे गर्छु त्यसमा रमाउछु।
>>npi<< I have a headache.	मेरो टाउको दुखेको छ।
>>npi<< I have no friends.	मेरा कोही साथी छैनन्।
>>npi<< I haven't decided.	मैले निर्णय गरेको छैन।
>>npi<< I know Tom is mad.	मलाई थाहा छ टम पागल छ।
>>npi<< I like sandwiches.	मलाई स्यान्डविच मन पर्छ।
>>npi<< I live in comfort.	म आराममा बस्छु ।
>>npi<< I love this store.	मलाई यो स्टोर मन पर्छ।
>>npi<< I read everything.	म सबै पढ्छु।
>>npi<< I read everything.	मैले सबै पढे।
>>npi<< I said good night.	मैले शुभ रात्रि भने ।
>>npi<< I want a daiquiri.	म एक डाईक्वरी चाहन्छु।
>>npi<< I was hurt by Tom.	टमले मलाई चोट पुर्यायो।
>>npi<< I went downstairs.	म तलतिर गएँ।
>>npi<< I will do my best.	म सक्दो प्रयास गर्नेछु।
>>npi<< I'm a bit worried.	म अलि चिन्तित छु।
>>npi<< I'm a taxi driver.	म ट्याक्सी चालक हुँ।
>>npi<< I'm having a baby.	म बच्चा जन्माउँदै छु।
>>npi<< I'm really hungry.	मलाई धेरै भोक लागेको छ।
>>npi<< Is that person OK?	के त्यो मान्छे ठीक छ?
>>npi<< Is this your bike?	के यो तिम्रो साइकल हो?
>>npi<< It could be risky.	यो जोखिमपूर्ण हुन सक्छ।
>>npi<< It was a hard day.	त्यो एक कठिन दिन थियो।
>>npi<< It's a risky plan.	यो एक जोखिमपूर्ण योजना हो।
>>npi<< It's not that far.	यो त्यति टाढा छैन।
>>npi<< Let's eat dessert.	मिठाई, खाऔं।
>>npi<< Let's take a look.	एक पटक हेरौं।
>>npi<< Please come again.	कृपया फेरि आउनुहोस्।
>>npi<< Please come again.	कृपया फेरि आउनुहोला।
>>npi<< Please correct it.	कृपया यसलाई सच्याउनुहोस्।
>>npi<< Please keep quiet.	कृपया शान्त रहनु होला।
>>npi<< Please stop lying.	कृपया झूट बोल्न बन्द गर्नुहोस्।
>>npi<< She is aggressive.	उनी आक्रामक छिन्।
>>npi<< She is attractive.	उनी आकर्षक छिन्।
>>npi<< She loves to fish.	उनी माछा मार्न एकदमै मन पराउँछिन्।
