>>heb<< Go.	לך!
>>heb<< Really?	באמת?
>>heb<< Really?	האמנם?
>>heb<< Thanks.	תודה!
>>heb<< Thanks.	חן חן.
>>heb<< We ate.	אכלנו.
>>heb<< We hid.	הסתתרנו.
>>heb<< We ran.	רצנו.
>>heb<< We try.	אנו מנסים.
>>heb<< We try.	אנו משתדלים.
>>heb<< We won.	ניצחנו.
>>heb<< Why me?	למה אני?
>>heb<< Why me?	למה אותי?
>>heb<< Ask Tom.	תשאל את תום.
>>heb<< Awesome!	יופי!
>>heb<< Awesome!	מעולה!
>>heb<< Awesome!	נפלא!
>>heb<< Back in.	סע אחורנית לחניה.
>>heb<< Be cool.	תהיה רגוע.
>>heb<< Be cool.	תהיה קוּל.
>>heb<< Be fair.	תהיה הוגן.
>>heb<< Be kind.	היה נחמד.
>>heb<< Be nice.	תהיה נחמד.
>>heb<< Be nice.	תהיו נחמדים.
>>heb<< Be nice.	תהיי נחמדה.
>>heb<< Beat it.	לך מכאן!
>>heb<< Beat it.	תיעלם!
>>heb<< Beat it.	תסתלק!
>>heb<< Beat it.	עוּף מכאן!
>>heb<< Beat it.	תסתלקי!
>>heb<< Beat it.	תתחפף מכאן!
>>heb<< Call me.	התקשר אלי.
>>heb<< Call us.	תתקשר אלינו.
>>heb<< Call us.	תתקשרו אלינו.
>>heb<< Call us.	צור איתנו קשר.
>>heb<< Come in.	יבוא!
>>heb<< Come on!	נו!!!
>>heb<< Come on!	בואו!
>>heb<< Come on!	בוא כבר!
>>heb<< Do this.	תעשה את זה.
>>heb<< Drop it!	תן לזה ליפול!
>>heb<< Feed us.	תאכיל אותנו.
>>heb<< Get Tom.	הבא את תום.
>>heb<< Get Tom.	הביאי את תום.
>>heb<< Get Tom.	הביאו את תום.
>>heb<< Get off.	רד.
>>heb<< Get out!	צא החוצה!
>>heb<< Get out!	צאי החוצה!
>>heb<< Get out!	צאו החוצה!
>>heb<< Get out.	צא החוצה.
>>heb<< Get out.	צאי החוצה.
>>heb<< Get out.	צאו החוצה.
>>heb<< Get out.	תתחפף מכאן!
>>heb<< Go away!	לך מכאן!
>>heb<< Go away!	תיעלם!
>>heb<< Go away!	תיעלמי!
>>heb<< Go away!	לך מפה!
>>heb<< Go away!	לכו מכאן!
>>heb<< Go away!	לכו מפה!
>>heb<< Go away.	תיעלם!
>>heb<< Go away.	לך מכאן.
>>heb<< Go away.	לכי מכאן.
>>heb<< Go away.	לך מפה!
>>heb<< Go home.	לך הביתה!
>>heb<< Goodbye!	שלום ולהתראות.
>>heb<< Hang on!	חכה רגע.
>>heb<< He left.	הוא עזב.
>>heb<< He runs.	הוא רץ.
>>heb<< Help me!	הצילו!
>>heb<< Help me!	תעזור לי!
>>heb<< Help me!	עזרי לי!
>>heb<< Help me!	עזרו לי!
>>heb<< Help me!	תעזרו לי!
>>heb<< Help me.	הצילו!
>>heb<< Help me.	תעזור לי.
>>heb<< Help us.	עזור לנו.
>>heb<< Help us.	עזרי לנו.
>>heb<< Help us.	עזרו לנו.
>>heb<< Hi, Tom.	שלום, תום.
>>heb<< Hire me.	קבל אותי לעבודה.
>>heb<< Hire us.	קבל אותנו לעבודה.
>>heb<< Hit Tom.	הכי את תום.
>>heb<< Hit Tom.	הכה את תום.
>>heb<< Hit Tom.	הכו את תום.
>>heb<< Hit Tom.	תרביץ לתום.
>>heb<< Hit Tom.	תרביצי לתום.
>>heb<< Hit Tom.	תרביצו לתום.
>>heb<< Hold it!	עצור!
>>heb<< Hold on.	המתן.
>>heb<< Hug Tom.	חבק את תום.
>>heb<< Hug Tom.	חבקי את תום.
>>heb<< Hug Tom.	חבקו את תום.
>>heb<< I agree.	אני מסכים.
>>heb<< I agree.	אני מסכימה.
>>heb<< I agree.	דעתי כדעתך.
>>heb<< I bowed.	קדתי קידה.
>>heb<< I cried.	בכיתי.
>>heb<< I dozed.	נמנמתי.
>>heb<< I drive.	אני נוהג.
>>heb<< I drove.	נהגתי.
>>heb<< I fired.	יריתי.
>>heb<< I froze.	קפאתי.
>>heb<< I moved.	זזתי.
>>heb<< I moved.	עברתי דירה.
>>heb<< I skied.	עשיתי סקי.
>>heb<< I smoke.	אני מעשן.
>>heb<< I snore.	אני נוחר.
>>heb<< I stink.	אני מצחין.
>>heb<< I stood.	עמדתי.
>>heb<< I swore.	נשבעתי.
>>heb<< I swore.	קיללתי.
>>heb<< I tried.	ניסיתי.
>>heb<< I waved.	נופפתי בידי.
>>heb<< I'll go.	אני אלך.
>>heb<< I'm bad.	אני רע.
>>heb<< I'm fit.	אני בכושר.
>>heb<< I'm hit!	נפגעתי!
>>heb<< I'm mad.	אני משוגע.
>>heb<< I'm new.	אני חדש.
>>heb<< I'm old.	אני זקן.
>>heb<< I'm sad.	אני עצובה.
>>heb<< I'm shy.	אני ביישן.
>>heb<< I'm wet.	אני רטוב.
>>heb<< It's OK.	זה בסדר.
>>heb<< It's OK.	זה תקין.
>>heb<< Join us.	תצטרף אלינו.
>>heb<< Join us.	תצטרפי אלינו.
>>heb<< Join us.	תצטרפו אלינו.
>>heb<< Join us.	הצטרפו אלינו.
>>heb<< Join us.	הצטרף אלינו.
>>heb<< Join us.	בוא אתנו.
>>heb<< Join us.	בואי איתנו.
>>heb<< Keep it.	שמור את זה לעצמך.
>>heb<< Kiss me.	נשקיני.
>>heb<< Kiss me.	נשקני.
>>heb<< Kiss me.	נשקי אותי.
>>heb<< Kiss me.	נשק אותי.
>>heb<< Lie low.	הרכן ראש בשכיבה.
>>heb<< Lie low.	אל תתבלט.
>>heb<< Lock it.	נעל את זה.
>>heb<< Me, too.	גם אני.
>>heb<< Me, too.	אני גם כן.
>>heb<< Me, too.	גם אותי.
>>heb<< Move on.	עבור הלאה.
>>heb<< Move on.	תמשיך הלאה.
>>heb<< Open up.	תיפתח.
>>heb<< Perfect!	מושלם!
>>heb<< See you!	להתראות!
>>heb<< Show me.	תראי לי.
>>heb<< Show me.	תראה לי.
>>heb<< Show me.	תראו לי.
>>heb<< Shut up!	סתום ת'פה!
>>heb<< Shut up!	סתוֹם!
>>heb<< Shut up!	סְתֵמי!
>>heb<< Shut up!	סתמו!
>>heb<< Shut up!	שתקו!
>>heb<< Shut up!	שתקי!
>>heb<< Shut up!	תסתום!
>>heb<< Shut up!	תשתוק!
>>heb<< Shut up!	תסתום את הפה!
>>heb<< Shut up!	בלום את הג'ורה.
>>heb<< Sign up.	תרשם.
>>heb<< Skip it.	התעלם מכך.
>>heb<< Skip it.	התעלמי מכך.
>>heb<< Skip it.	להתעלם מזה.
>>heb<< Take it.	קח את זה.
>>heb<< Tell me.	ספר לי.
>>heb<< Tell me.	ספרי לי.
>>heb<< Tell me.	תגידו לי.
>>heb<< Text me.	שלח לי סמס.
>>heb<< Text me.	סמס לי.
>>heb<< Tom ate.	תום אכל.
>>heb<< Tom hid.	תום התחבא.
>>heb<< Tom ran.	תום רץ.
>>heb<< Tom won.	תום ניצח.
>>heb<< Wait up.	השאר ער.
>>heb<< Wash up.	תתרחץ.
>>heb<< Wash up.	תרחץ ידיים.
>>heb<< We care.	איכפת לנו.
>>heb<< We know.	אנו יודעים.
>>heb<< We lost.	הפסדנו.
>>heb<< Welcome.	ברוך הבא!
>>heb<< Who ate?	מי אכל?
>>heb<< Who won?	מי ניצח?
>>heb<< Yo, Tom.	יו, תום.
>>heb<< You run.	אתה רץ.
>>heb<< You run.	את רצה.
>>heb<< You run.	אתם רצים.
>>heb<< You won.	זכית.
>>heb<< You won.	ניצחת.
>>heb<< You won.	אתה זכית.
>>heb<< You won.	אתה ניצחת.
>>heb<< You won.	את זכית.
>>heb<< You won.	את ניצחת.
>>heb<< You won.	אתם ניצחתם.
>>heb<< You won.	אתם זכיתם.
>>heb<< You won.	זכיתם.
>>heb<< You won.	ניצחתם.
>>heb<< Add milk.	הוסף חלב.
>>heb<< Am I fun?	אני משעשעת?
>>heb<< Am I hot?	אני לוהטת?
>>heb<< Am I mad?	נטרפה עלי דעתי?
>>heb<< Am I old?	אני קשיש?
>>heb<< Ask them.	תשאלו אותם.
>>heb<< Avoid it.	אל תעשה את זה.
>>heb<< Avoid it.	תימנע מזה.
>>heb<< Avoid me.	תתחמק ממני.
>>heb<< Avoid us.	תתחמק מאיתנו.
>>heb<< Back off.	לך אחורנית.
>>heb<< Back out.	היסוגו.
>>heb<< Be a man.	תהיה גבר.
>>heb<< Be brave.	היה אמיץ.
>>heb<< Be brave.	היי אמיצה.
>>heb<< Be brave.	היו אמיצים.
>>heb<< Be brief.	תקצר.
>>heb<< Be brief.	תקצרי.
>>heb<< Be brief.	תקצרו.
>>heb<< Be smart.	היה נבון.
>>heb<< Be still.	שמור על שקט.
>>heb<< Begin it.	תתחיל את זה.
>>heb<< Buzz off.	תתחפף.
>>heb<< Bye, Tom.	שלום, תום.
>>heb<< Call Tom.	התקשר לתום.
>>heb<< Call Tom.	התקשרי לתום.
>>heb<< Call Tom.	התקשרו לתום.
>>heb<< Can I go?	אני יכולה ללכת?
>>heb<< Catch me.	תפוס אותי.
>>heb<< Cheer up!	התעודד!
>>heb<< Cover me.	כסה אותי.
>>heb<< Cuff him.	שים אותו באזיקים.
>>heb<< Dig fast.	חפור מהר.
>>heb<< Dig here.	תחפור כאן.
>>heb<< Dress up.	תתלבש.
>>heb<< Drink it.	שתה את זה.
>>heb<< Drive on.	תמשיכי לנסוע.
>>heb<< Eat here.	תאכל כאן.
>>heb<< Eat less.	אכול פחות.
>>heb<< Eat more.	תאכל עוד.
>>heb<< Eat some.	תאכל קצת.
>>heb<< Find Tom.	תמצא את תום.
>>heb<< Fire Tom.	פטר את תום.
>>heb<< Fix that.	תקן את זה.
>>heb<< Fix this.	תתקן את זה.
>>heb<< Fix this.	תתקני את זה.
>>heb<< Fix this.	תתקנו את זה.
>>heb<< Get away!	לך מכאן!
>>heb<< Get away!	תסתלק!
>>heb<< Get away!	תסתלק מכאן!
>>heb<< Get away.	תברחו.
>>heb<< Get back.	שוב בחזרה.
>>heb<< Get back.	חזור.
>>heb<< Get busy.	תתחיל במלאכה.
>>heb<< Get down!	רד!
>>heb<< Get lost!	לך לעזאזל!
>>heb<< Get lost!	תיעלם!
>>heb<< Get lost!	תיעלמי!
>>heb<< Get lost!	לך לכל הרוחות!
>>heb<< Get lost!	תעוף מפה!
>>heb<< Get lost!	תתנדף!
>>heb<< Get lost.	תיעלם!
>>heb<< Get lost.	תתחפף.
>>heb<< Get meat.	תביא בשר.
>>heb<< Get milk.	תביא חלב.
>>heb<< Get real.	תהיי מציאותית.
>>heb<< Get this.	תביא את זה.
>>heb<< Go on in.	קדימה, היכנס פנימה.
>>heb<< Go on in.	קדימה, היכנסי פנימה.
>>heb<< Go on in.	קדימה, היכנסו פנימה.
>>heb<< Good job!	עבודה טובה!
>>heb<< Grab Tom.	אחוז בתום.
>>heb<< Grab him.	תפוס אותו.
>>heb<< Grab one.	תפוס אחד.
>>heb<< Have fun.	תיהנה!
>>heb<< Have fun.	תיהני!
>>heb<< Have fun.	תיהנו!
>>heb<< He tried.	הוא השתדל.
>>heb<< He's wet.	הוא רטוב.
>>heb<< Help Tom.	תעזור לתום.
>>heb<< Help Tom.	תעזרי לתום.
>>heb<< Help Tom.	תעזרו לתום.
>>heb<< Hire Tom.	קבל את תום לעבודה.
>>heb<< Hit back.	החזר מלחמה שערה.
>>heb<< Hit hard.	הכה בחוזקה.
>>heb<< Hit that.	הכה את ההוא.
>>heb<< Hit this.	חבוט בזה.
>>heb<< Hit this.	תרביץ לזה.
>>heb<< Hit this.	הכה את זה.
>>heb<< Hit this.	הלום בזה.
>>heb<< How cute!	כמה חמוד!
>>heb<< How deep?	מה העומק?
>>heb<< How nice!	כמה נחמד!
>>heb<< How wise!	כמה נבון!
>>heb<< Humor me.	עשה טובה.
>>heb<< Hurry up.	תזדרז!
>>heb<< Hurry up.	נו!!!
>>heb<< Hurry up.	הזדרז!
>>heb<< Hurry up.	תזדרזי!
>>heb<< Hurry up.	תזדרזו!
>>heb<< Hurry up.	הזדרזי!
>>heb<< I agreed.	הסכמתי.
>>heb<< I am Tom.	אני תום.
>>heb<< I am old.	אני זקן.
>>heb<< I ate it.	אכלתי אותו.
>>heb<< I ate it.	אכלתי אותה.
>>heb<< I ate it.	אכלתי את זה.
>>heb<< I burped.	גיהקתי.
>>heb<< I can go.	אני יכול ללכן.
>>heb<< I concur.	אני תומך בדעה.
>>heb<< I cooked.	בישלתי.
>>heb<< I cursed.	קיללתי.
>>heb<< I danced.	רקדתי.
>>heb<< I did OK.	עשיתי בסדר.
>>heb<< I did it.	עשיתי זאת.
>>heb<< I did so.	עשיתי כך.
>>heb<< I failed.	כשלתי.
>>heb<< I forgot.	שכחתי.
>>heb<< I gagged.	נחנקתי.
>>heb<< I gamble.	אני מהמר.
>>heb<< I garden.	אני מגנן.
>>heb<< I gasped.	התנשמתי.
>>heb<< I goofed.	פישלתי.
>>heb<< I got in.	נכנסתי.
>>heb<< I got it.	הבנתי.
>>heb<< I got it.	קלטתי.
>>heb<< I got up.	קמתי ממקומי.
>>heb<< I helped.	עזרתי.
>>heb<< I jumped.	קפצתי.
>>heb<< I looked.	הסתכלתי.
>>heb<< I manage.	אני מסתדרת.
>>heb<< I matter.	אני משמעותי.
>>heb<< I moaned.	גנחתי.
>>heb<< I nodded.	נדתי בראשי.
>>heb<< I obeyed.	צייתתי.
>>heb<< I passed.	עברתי.
>>heb<< I paused.	הפסקתי לרגע.
>>heb<< I played.	שיחקתי.
>>heb<< I prayed.	התפללתי.
>>heb<< I resign.	אני מתפטר.
>>heb<< I resign.	אני מתפטרת.
>>heb<< I rested.	נחתי.
>>heb<< I rested.	נפשתי.
>>heb<< I saw it.	ראיתי את זה.
>>heb<< I shaved.	התגלחתי.
>>heb<< I skated.	החלקתי בגלגיליות.
>>heb<< I stayed.	נשארתי.
>>heb<< I surfed.	גלשתי.
>>heb<< I talked.	דיברתי.
>>heb<< I use it.	אני משתמש בזה.
>>heb<< I waited.	אני המתנתי.
>>heb<< I was OK.	הייתי בסדר.
>>heb<< I winked.	קרצתי.
>>heb<< I yawned.	פיהקתי.
>>heb<< I'd jump.	הייתי קופצת.
>>heb<< I'd walk.	הייתי מטייל.
>>heb<< I'll die.	אני אמות.
>>heb<< I'll pay.	אני אשלם.
>>heb<< I'll pay.	אשלם.
>>heb<< I'll run.	ארוץ.
>>heb<< I'll sit.	אשב.
>>heb<< I'll try.	אנסה.
>>heb<< I'll win.	אני אנצח.
>>heb<< I'm back.	חזרתי.
>>heb<< I'm back.	אני שוב כאן.
>>heb<< I'm back.	שבתי.
>>heb<< I'm bald.	אני קרח.
>>heb<< I'm busy.	אני עסוק.
>>heb<< I'm busy.	אני עסוקה.
>>heb<< I'm calm.	אני רגוע.
>>heb<< I'm cold.	קר לי.
>>heb<< I'm cool.	אני גזעי.
>>heb<< I'm cool.	אני גזעית.
>>heb<< I'm cozy.	נעים לי.
>>heb<< I'm deaf.	אני חרש.
>>heb<< I'm done.	סיימתי את מלאכתי.
>>heb<< I'm easy.	אני קל.
>>heb<< I'm fair.	אני הוגן.
>>heb<< I'm fair.	אני הוגנת.
>>heb<< I'm fast.	אני מהיר.
>>heb<< I'm fine.	אני בסדר.
>>heb<< I'm free.	אני חופשי.
>>heb<< I'm free.	אני חופשייה.
>>heb<< I'm free.	אני פנוי.
>>heb<< I'm free.	אני פנויה.
>>heb<< I'm full.	אני מלא.
>>heb<< I'm full.	אני מלאה.
>>heb<< I'm full.	אני שבע.
>>heb<< I'm full.	אני שבעה.
>>heb<< I'm game.	אני משתתף.
>>heb<< I'm good.	אני טוב.
>>heb<< I'm here.	אני פה.
>>heb<< I'm here.	אני כאן.
>>heb<< I'm here.	אני נמצא פה.
>>heb<< I'm high.	אני גבוה.
>>heb<< I'm home.	אני בבית.
>>heb<< I'm hurt.	אני נפגע.
>>heb<< I'm hurt.	אני נפגעת.
>>heb<< I'm last.	אני אחרון.
>>heb<< I'm late.	אני מאחר.
>>heb<< I'm late.	אני מאחרת.
>>heb<< I'm lazy.	אני עצלן.
>>heb<< I'm mean.	אני מרושעת.
>>heb<< I'm neat.	אני נקי.
>>heb<< I'm next.	אני בתור.
>>heb<< I'm numb.	אני קהה חושים.
>>heb<< I'm safe.	אני מוגן.
>>heb<< I'm slow.	אני איטי.
>>heb<< I'm thin.	אני רזה.
>>heb<< I'm tidy.	אני מסודרת.
>>heb<< I'm ugly.	אני מכוער.
>>heb<< I'm warm.	אני חם.
>>heb<< I'm weak.	אני חלש.
>>heb<< I'm weak.	אני חלשה.
>>heb<< I'm wise.	אני נבונה.
>>heb<< It helps.	זה עוזר.
>>heb<< It hurts.	זה כואב.
>>heb<< It works.	זה פועל.
>>heb<< It's Tom.	זה תום.
>>heb<< It's his.	זה שלו.
>>heb<< It's new.	זה חדש.
>>heb<< It's new.	הדבר הזה חדש.
>>heb<< It's odd.	זה משונה.
>>heb<< It's old.	זה ישן.
>>heb<< It's sad.	זה עצוב.
>>heb<< Keep out.	אין כניסה.
>>heb<< Keep out.	הכניסה אסורה.
>>heb<< Keep out.	אל תיכנס.
>>heb<< Keep out.	אל תיכנסי.
>>heb<< Keep out.	אל תיכנסו.
>>heb<< Kiss Tom.	נשק את תום.
>>heb<< Kiss Tom.	נשקי את תום.
>>heb<< Kiss Tom.	נשקו את תום.
>>heb<< Kiss Tom.	נשק לתום.
>>heb<< Kiss Tom.	נשקי לתום.
>>heb<< Kiss Tom.	נשקו לתום.
>>heb<< Leave me.	עזבני.
>>heb<< Let's go!	נלך.
>>heb<< Let's go!	הבה נלך.
>>heb<< Let's go!	בוא נלך.
>>heb<< Let's go!	בואי נלך.
>>heb<< Let's go!	בואו נלך.
>>heb<< Let's go!	בואו!
>>heb<< Let's go!	בואו נלך!
>>heb<< Let's go!	בוא נלך!
>>heb<< Let's go!	בואי נלך!
>>heb<< Look out!	תיזהר!
>>heb<< Look out!	תיזהרי!
>>heb<< Look out!	תיזהרו!
>>heb<< Marry me.	התחתני איתי.
>>heb<< Marry me.	התחתן איתי.
>>heb<< Marry me.	הנשא לי.
>>heb<< Marry me.	הנשאי לי.
>>heb<< May I go?	אני יכולה ללכת?
>>heb<< May I go?	מותר ללכת?
>>heb<< May I go?	מותר לי ללכת?
>>heb<< May I go?	אני יכול ללכת?
>>heb<< Nonsense!	קשקוש!
>>heb<< Run away.	ברח.
>>heb<< Save Tom.	הצל את תום.
>>heb<< Save Tom.	הצילו את תום.
>>heb<< Save Tom.	הצילי את תום.
>>heb<< Say when.	תגיד מתי.
>>heb<< She runs.	היא רצה.
>>heb<< Sit down!	שבו!
>>heb<< Sit here.	שב פה.
>>heb<< Sit here.	שבי פה.
>>heb<< Sit here.	שבו פה.
>>heb<< Sit here.	שב כאן.
>>heb<< Sit here.	שבי כאן.
>>heb<< Sit here.	שבו כאן.
>>heb<< Speak up!	דבר בקול רם!
>>heb<< Speak up!	השמע את קולך!
>>heb<< Speak up!	השמיעי את קולך!
>>heb<< Stand by.	עמוד בכוננות.
>>heb<< Stand up!	תעמוד!
>>heb<< Stand up!	תעמדי!
>>heb<< Stand up!	תעמדו!
>>heb<< Stand up!	עמוד!
>>heb<< Stand up!	עמדי!
>>heb<< Stand up!	עמדו!
>>heb<< Stand up!	קום!
>>heb<< Stand up.	עמוד!
>>heb<< Stand up.	קום!
>>heb<< Stand up.	תקום.
>>heb<< Stay put.	תשאר במקומך.
>>heb<< Stop Tom.	עצור את תום.
>>heb<< Stop Tom.	עיצרו את תום.
>>heb<< Stop Tom.	עיצרי את תום.
>>heb<< Take Tom.	קח את תום.
>>heb<< Tell Tom.	תגיד לתום.
>>heb<< Tell Tom.	תגידי לתום.
>>heb<< Tell Tom.	תגידו לתום.
>>heb<< Terrific!	נפלא!
>>heb<< They won.	הם נצחו.
>>heb<< Tom came.	תום בא.
>>heb<< Tom came.	תום הגיע.
>>heb<< Tom died.	טום מת.
>>heb<< Tom fell.	תום נפל.
>>heb<< Tom fled.	תום ברח.
>>heb<< Tom knew.	תום ידע.
>>heb<< Tom left.	תום עזב.
>>heb<< Tom lied.	תום שיקר.
>>heb<< Tom lies.	תום משקר.
>>heb<< Tom lies.	תום שוכב.
>>heb<< Tom lost.	תום הלך לאיבוד.
>>heb<< Tom paid.	תום שילם.
>>heb<< Tom quit.	תום התפטר.
>>heb<< Tom quit.	תום הפסיק.
>>heb<< Tom rose.	תום קם.
>>heb<< Tom swam.	תום שחה.
>>heb<< Tom went.	תום הלך.
>>heb<< Tom wept.	טום יִבֵּב.
>>heb<< Tom wept.	טום הִתְיַפֵּחַ.
>>heb<< Tom wept.	טום ייבב.
>>heb<< Tom wept.	טום התייפח.
>>heb<< Tom wept.	טום בכה.
>>heb<< Tom wept.	טום מרר בבכי.
>>heb<< Tom's up.	תום התעורר.
>>heb<< Too late.	מאוחר מדי.
>>heb<< Trust me!	תאמין לי.
>>heb<< Trust me!	בטח בי!
>>heb<< Trust me!	ביטחו בי!
>>heb<< Try hard.	תשתדל מאד.
>>heb<< Try some.	תנסה קצת.
>>heb<< Try this.	תנסה את זה.
>>heb<< Try this.	נסי זאת.
>>heb<< Use this.	השתמש בזה!
>>heb<< Warn Tom.	תזהירו את תום.
>>heb<< Warn Tom.	הזהר את תום.
>>heb<< Watch me.	הבט בי.
>>heb<< Watch me.	הביטי בי.
>>heb<< Watch me.	הביטו בי.
>>heb<< Watch me.	תסתכלי עלי.
>>heb<< Watch us.	הביטו בנו.
>>heb<< Watch us.	הבט בנו.
>>heb<< Watch us.	הביטי בנו.
>>heb<< We agree.	מוסכם.
>>heb<< We agree.	אנחנו מסכימים.
>>heb<< We agree.	מסכימים.
>>heb<< We cried.	בכינו.
>>heb<< We moved.	עברנו דירה.
>>heb<< We stood.	עמדנו.
>>heb<< We'll go.	אנחנו נלך.
>>heb<< We're OK.	אנו כשורה.
>>heb<< We're up.	תורנו הגיע.
>>heb<< What for?	בשביל מה?
>>heb<< What fun!	איזה כיף!
>>heb<< Who came?	מי הגיע?
>>heb<< Who died?	מי מת?
>>heb<< Who fell?	מי נפל?
>>heb<< Who lost?	מי הפסיד?
>>heb<< Who lost?	מי הובס?
>>heb<< Who paid?	מי שילם?
>>heb<< Who quit?	מי הפסיק?
>>heb<< Who quit?	מי התפטר?
>>heb<< Who swam?	מי שחה?
>>heb<< Write me.	כתוב לי.
>>heb<< You fool!	טיפש שכמותך!
>>heb<< You lost.	הפסדת.
>>heb<< After you.	בבקשה, אחריך.
>>heb<< After you.	בבקשה, יופי לפני גיל.
>>heb<< After you.	אחריך.
>>heb<< Ahoy, Tom.	היי תום.
>>heb<< Aim. Fire!	לכוון. אש!
>>heb<< Am I cool?	אני מגניב?
>>heb<< Am I done?	סיימתי?
>>heb<< Am I free?	אני חופשי?
>>heb<< Am I hurt?	נפגעתי?
>>heb<< Am I late?	אני מאחרת?
>>heb<< Am I nuts?	נפלתי על הראש?
>>heb<< Am I pale?	אני חיוור?
>>heb<< Am I safe?	אני בטוח?
>>heb<< Am I sane?	אני שפוי?
>>heb<< Am I sexy?	אני סקסי?
>>heb<< Am I sick?	אני חולה?
>>heb<< Am I ugly?	אני מכוערת?
>>heb<< Am I well?	אני בסדר?
>>heb<< Amen, Tom.	אמן ואמן, תום.
>>heb<< Answer me.	תענה לי.
>>heb<< Answer me.	תעני לי.
>>heb<< Answer me.	ענה לי.
>>heb<< Answer me.	עני לי.
>>heb<< Answer me.	ענה לי!
>>heb<< Apologize.	תתנצל.
>>heb<< Avoid Tom.	תתחמק מתום.
>>heb<< Avoid war.	הימנע ממלחמה.
>>heb<< Avoid war.	מנע מלחמה.
>>heb<< Back away.	זוז אחורה.
>>heb<< Back down.	תוותר.
>>heb<< Be honest.	היה ישר.
>>heb<< Be seated.	התיישב.
>>heb<< Be strong.	היה חסון.
>>heb<< Begin CPR.	תתחיל עזרה ראשונה.
>>heb<< Begin CPR.	תתחיל החייאה.
>>heb<< Begin now.	תתחיל עכשיו.
>>heb<< Bend back.	תתכופף לאחור.
>>heb<< Bend down.	תתכופף כלפי מטה.
>>heb<< Bend here.	תעקם כאן.
>>heb<< Bend over.	תתכופפי.
>>heb<< Bend this.	תעקם את זה.
>>heb<< Birds fly.	ציפורים עפות.
>>heb<< Bless you.	לבריאות.
>>heb<< Buckle up.	חגור חגורת בטיחות.
>>heb<< Call home!	צלצל הביתה!
>>heb<< Calm down.	תירגע.
