>>fin<< Go.	Mene.
>>fin<< Get out.	Ala vetää.
>>fin<< Get out.	Häivy!
>>fin<< Get out.	Mene pois!
>>fin<< Get out.	Ulos täältä!
>>fin<< Get out.	Ulos!
>>fin<< Get out.	Mene ulos!
>>fin<< Get out.	Mene ulos.
>>fin<< Go away!	Häivy!
>>fin<< Go away!	Mene pois!
>>fin<< Go away!	Ala jo painella!
>>fin<< Go away!	Ala kalppia!
>>fin<< Go away!	Lähe menee!
>>fin<< Go away!	Ala painella!
>>fin<< Go away!	Lähe lätkimään siitä.
>>fin<< Go away!	Lähe vetää!
>>fin<< Go away.	Häivy!
>>fin<< Go away.	Ala jo painella!
>>fin<< Go away.	Lähe menee!
>>fin<< Go away.	Ala painella!
>>fin<< Goodbye!	Hyvästi!
>>fin<< Goodbye!	Näkemiin!
>>fin<< Goodbye.	Hyvästi!
>>fin<< Goodbye.	Hyvästi.
>>fin<< Hang on!	Jaksa vielä!
>>fin<< Hang on!	Jaksakaa vielä!
>>fin<< Hang on.	Jaksa vielä.
>>fin<< Hang on.	Jaksakaa vielä.
>>fin<< He came.	Hän tuli.
>>fin<< He runs.	Hän juoksee.
>>fin<< Help me!	Auttakaa minua!
>>fin<< Help me!	Auta minua!
>>fin<< Help me.	Auta minua.
>>fin<< Help me.	Auttakaa minua.
>>fin<< Hi, Tom.	Hei, Tom.
>>fin<< Hold it!	Odota!
>>fin<< Hold on.	Odota.
>>fin<< Hold on.	Odottakaa.
>>fin<< I agree.	Olen samaa mieltä.
>>fin<< I cried.	Minä itkin.
>>fin<< I cried.	Itkin.
>>fin<< I'm Tom.	Minä olen Tom.
>>fin<< I'm Tom.	Olen Tom.
>>fin<< I'm Tom.	Mä oon Tomi.
>>fin<< I'm Tom.	Mä oon Tom.
>>fin<< I'm fit.	Olen hyvässä kunnossa.
>>fin<< I'm old.	Olen vanha.
>>fin<< I'm old.	Mä oon vanha.
>>fin<< I'm old.	Minä olen vanha.
>>fin<< I'm shy.	Olen ujo
>>fin<< I'm wet.	Olen märkä.
>>fin<< It's me!	Se olen minä!
>>fin<< It's me.	Se olen minä.
>>fin<< It's me.	Se olen minä!
>>fin<< Join us.	Liity meihin.
>>fin<< Join us.	Liittykää meihin.
>>fin<< Keep it.	Pidä se.
>>fin<< Kiss me.	Suutele minua.
>>fin<< Kiss me.	Suudelkaa minua.
>>fin<< Me, too.	Niin minäkin.
>>fin<< Open up.	Avaa.
>>fin<< Open up.	Avatkaa.
>>fin<< Perfect!	Täydellistä!
>>fin<< Perfect!	Täydellinen!
>>fin<< Perfect!	Täydelliset!
>>fin<< See you!	Näkemiin!
>>fin<< See you!	Nähdään taas!
>>fin<< See you!	Nähään!
>>fin<< See you.	Nähdään taas.
>>fin<< See you.	Nähdään.
>>fin<< See you.	Nähään!
>>fin<< Show me.	Näytä minulle.
>>fin<< Shut up!	Suu kiinni!
>>fin<< Shut up!	Turpa kiinni!
>>fin<< Shut up!	Pidä suusi kiinni!
>>fin<< Shut up!	Ole hiljaa!
>>fin<< Shut up!	Pää kii!
>>fin<< Shut up!	Pää kiinni!
>>fin<< Shut up!	Pidä pääs kii!
>>fin<< Shut up!	Pidä pääsi kiinni!
>>fin<< Shut up!	Turpa tukkoon!
>>fin<< Shut up!	Turvat tukkoon!
>>fin<< Skip it.	Hyppää yli.
>>fin<< Skip it.	Jätä se välistä.
>>fin<< Skip it.	Jättäkää se välistä.
>>fin<< Skip it.	Jätä se väliin.
>>fin<< Stop it.	Lopeta.
>>fin<< Stop it.	Lopettakaa.
>>fin<< Stop it.	Lopeta se.
>>fin<< Stop it.	Lopettakaa se.
>>fin<< Stop it.	Pysäytä se.
>>fin<< Stop it.	Pysäyttäkää se.
>>fin<< Take it.	Ota se.
>>fin<< Tell me.	Kerro minulle.
>>fin<< Tell me.	Kertokaa minulle.
>>fin<< Tom won.	Tom voitti.
>>fin<< Wake up!	Herää!
>>fin<< Wake up!	Nouse ylös!
>>fin<< Wake up.	Herää!
>>fin<< Wash up.	Peseydy.
>>fin<< We know.	Tiedämme.
>>fin<< We know.	Me tiedetään.
>>fin<< Welcome.	Tervetuloa!
>>fin<< Welcome.	Tervetuloa.
>>fin<< Who won?	Kuka voitti?
>>fin<< Who won?	Ketkä voittivat?
>>fin<< Why not?	Miksei?
>>fin<< Why not?	Miksei käy?
>>fin<< Why not?	Mikäpä ei.
>>fin<< Why not?	Miksipä ei.
>>fin<< Why not?	Mikä ettei.
>>fin<< Why not?	No miksipä ei.
>>fin<< You run.	Sinä juokset.
>>fin<< You run.	Juokset.
>>fin<< You run.	Juoksette.
>>fin<< You run.	Te juoksette.
>>fin<< You run.	Sinä pakenet.
>>fin<< You run.	Pakenet.
>>fin<< You run.	Te pakenette.
>>fin<< You run.	Pakenette.
>>fin<< You won.	Voitit.
>>fin<< Am I fat?	Olenko minä lihava?
>>fin<< Am I fat?	Oonks mä läski?
>>fin<< Back off!	Peräänny!
>>fin<< Back off!	Perääntykää!
>>fin<< Back off.	Peräänny.
>>fin<< Back off.	Anna olla.
>>fin<< Be a man.	Ole mies.
>>fin<< Be quiet.	Ole hiljaa.
>>fin<< Be quiet.	Olkaa hiljaa.
>>fin<< Be still.	Ole aloillasi.
>>fin<< Be still.	Olkaa aloillanne.
>>fin<< Beats me.	En tiedä.
>>fin<< Beats me.	Mä en tiiä.
>>fin<< Beats me.	Emmä tiiä.
>>fin<< Call Tom.	Soita Tomille.
>>fin<< Cheer up!	Piristyhän nyt!
>>fin<< Cheer up!	Hymyä huuleen!
>>fin<< Cheer up.	Piristy!
>>fin<< Cool off!	Rauhoitu!
>>fin<< Cuff him.	Laita hänet rautoihin.
>>fin<< Cuff him.	Laittakaa hänet rautoihin.
>>fin<< Don't go.	Älä mene.
>>fin<< Drive on.	Aja eteenpäin.
>>fin<< Drive on.	Jatka ajamista.
>>fin<< Drive on.	Aja vaan.
>>fin<< Find Tom.	Etsi Tom.
>>fin<< Find Tom.	Etsikää Tom.
>>fin<< Fix this.	Korjaa tämä.
>>fin<< Get away!	Häivy!
>>fin<< Get away!	Mene pois!
>>fin<< Get away!	Ala kalppia!
>>fin<< Get down!	Maahan!
>>fin<< Get down.	Maahan.
>>fin<< Get down.	Mene maahan.
>>fin<< Get down.	Menkää maahan.
>>fin<< Get down.	Alas.
>>fin<< Get down.	Mene alas.
>>fin<< Get down.	Menkää alas.
>>fin<< Get down.	Laskeudu.
>>fin<< Get down.	Laskeutukaa.
>>fin<< Get down.	Tule alas.
>>fin<< Get down.	Tulkaa alas.
>>fin<< Get lost!	Häivy!
>>fin<< Get lost!	Anna vetää!
>>fin<< Get lost!	Mene pois!
>>fin<< Get lost!	Ala kalppia!
>>fin<< Get lost!	Painu vittuu siitä!
>>fin<< Get lost.	Häivy.
>>fin<< Get real!	Järki käteen!
>>fin<< Get real.	Järki käteen.
>>fin<< Go ahead!	Menkää eteenpäin.
>>fin<< Go ahead!	Ole hyvä vain.
>>fin<< Go ahead.	Ole hyvä vain.
>>fin<< Go there.	Mene tuonne.
>>fin<< Go there.	Menkää tuonne.
>>fin<< Go there.	Mene sinne.
>>fin<< Go there.	Menkää sinne.
>>fin<< Good job!	Hienosti tehty!
>>fin<< Good job!	Hyvää työtä!
>>fin<< Good job!	Hyvin tehty!
>>fin<< Good job!	Hienoa työtä!
>>fin<< Grab Tom.	Nappaa Tuomo.
>>fin<< Grab Tom.	Napatkaa Tuomo.
>>fin<< Grab Tom.	Tartu Tuomoon.
>>fin<< Grab Tom.	Tarttukaa Tuomoon.
>>fin<< Grab him.	Nappaa hänet.
>>fin<< Have fun.	Pidä hauskaa!
>>fin<< Have fun.	Pidä kivaa!
>>fin<< Have fun.	Pitäkää kivaa!
>>fin<< Have fun.	Pidähän hauskaa!
>>fin<< Have fun.	Pidähän kivaa!
>>fin<< Have fun.	Pitäkäähän kivaa!
>>fin<< Have fun.	Pitäkäähän hauskaa!
>>fin<< He spoke.	Hän puhui.
>>fin<< He tries.	Hän yrittää.
>>fin<< Hi, guys.	Terve, tyypit.
>>fin<< Hi, guys.	Moi tyypit.
>>fin<< How cute!	Kuinka söpö!
>>fin<< How cute!	Niin söpöä!
>>fin<< How cute!	Kuinka söpöä!
>>fin<< How cute!	Miten söpö!
>>fin<< How cute!	Miten söpöä!
>>fin<< How cute!	Onpa söpö!
>>fin<< How cute!	Onpa söpöä!
>>fin<< How cute!	Onpas söpö!
>>fin<< How cute!	Onpas söpöä!
>>fin<< How deep?	Kuinka syvä?
>>fin<< How deep?	Miten syvä?
>>fin<< How nice!	Miten kivaa!
>>fin<< How nice!	Kuinka kilttiä!
>>fin<< How nice!	Miten kilttiä!
>>fin<< How rude!	Töykeää!
>>fin<< Humor me.	Minun mielikseni.
>>fin<< Hurry up.	Pidä kiirettä.
>>fin<< I am Tom.	Minä olen Tom.
>>fin<< I am Tom.	Olen Tom.
>>fin<< I am old.	Olen vanha.
>>fin<< I am old.	Minä olen vanha.
>>fin<< I can go.	Minä voin mennä.
>>fin<< I concur.	Olen samaa mieltä.
>>fin<< I got it.	Ymmärsin.
>>fin<< I jumped.	Hyppäsin.
>>fin<< I phoned.	Soitin.
>>fin<< I resign.	Eroan.
>>fin<< I stayed.	Minä jäin.
>>fin<< I waited.	Minä odotin.
>>fin<< I'll pay.	Minä hoidan laskun.
>>fin<< I'll pay.	Minä tarjoan.
>>fin<< I'll pay.	Minä maksan.
>>fin<< I'm bald.	Olen kalju.
>>fin<< I'm bald.	Minä olen kalju.
>>fin<< I'm busy.	Minulla on kiire.
>>fin<< I'm cold.	Minulla on kylmä.
>>fin<< I'm cool.	Mä oon khuuli.
>>fin<< I'm cool.	Mä oon siisti tyyppi.
>>fin<< I'm cool.	Mä oon cool.
>>fin<< I'm done.	Olen valmis.
>>fin<< I'm done.	Minulle riitti.
>>fin<< I'm fair.	Olen reilu.
>>fin<< I'm fair.	Olen oikeudenmukainen.
>>fin<< I'm fair.	Olen tasapuolinen.
>>fin<< I'm fair.	Olen puolueeton.
>>fin<< I'm free!	Olen vapaa.
>>fin<< I'm free.	Olen vapaa mies.
>>fin<< I'm free.	Minulla on vapaata.
>>fin<< I'm free.	Olen vapaa.
>>fin<< I'm free.	Olen vapaa nainen.
>>fin<< I'm free.	Minulla ei ole tekemistä.
>>fin<< I'm free.	Minulla on aikaa.
>>fin<< I'm free.	Olen vapaana.
>>fin<< I'm full.	Olen täynnä.
>>fin<< I'm home.	Kotona ollaan!
>>fin<< I'm home.	Hei, tulin kotiin!
>>fin<< I'm home.	Minä olen kotona.
>>fin<< I'm late.	Olen myöhässä.
>>fin<< I'm lazy.	Olen laiska.
>>fin<< I'm lazy.	Mä oon laiska.
>>fin<< I'm lost.	Olen eksyksissä.
>>fin<< I'm lost.	Olen eksynyt.
>>fin<< I'm next.	Olen seuraava.
>>fin<< I'm poor.	Olen köyhä.
>>fin<< I'm sick.	Olen kipeä.
>>fin<< I'm sure.	Olen varma.
>>fin<< I'm tall.	Olen pitkä.
>>fin<< I'm thin.	Olen laiha.
>>fin<< I'm thin.	Mä oon laiha.
>>fin<< I'm ugly.	Olen ruma.
>>fin<< I'm warm.	Minulla on lämmin.
>>fin<< It helps.	Se auttaa.
>>fin<< It hurts.	Se sattuu.
>>fin<< It works.	Se toimii.
>>fin<< It's new.	Se on uusi.
>>fin<< It's sad.	Se on surullista.
>>fin<< Keep out!	Pysy poissa!
>>fin<< Keep out!	Pysykää poissa!
>>fin<< Keep out.	Pysy poissa.
>>fin<< Keep out.	Pysykää poissa.
>>fin<< Kiss Tom.	Suutele Tomia.
>>fin<< Kiss Tom.	Suudelkaa Tomia.
>>fin<< Leave it.	Anna olla.
>>fin<< Leave me.	Jätä minut.
>>fin<< Leave us.	Jätä meidät.
>>fin<< Leave us.	Jättäkää meidät.
>>fin<< Let's go!	Mennään!
>>fin<< Look out!	Varo!
>>fin<< Marry me.	Mennään naimisiin.
>>fin<< May I go?	Voinko mennä?
>>fin<< Nonsense!	Höpö höpö!
>>fin<< Save Tom.	Pelasta Tom.
>>fin<< She came.	Hän tuli.
>>fin<< She died.	Hän kuoli.
>>fin<< She runs.	Hän juoksee.
>>fin<< Sit down!	Istu alas!
>>fin<< Sit down.	Istu alas.
>>fin<< Sit here.	Istu tässä.
>>fin<< Sit here.	Istu tähän.
>>fin<< Sit here.	Istukaa tässä.
>>fin<< Sit here.	Istukaa tähän.
>>fin<< Speak up!	Puhu kovempaa!
>>fin<< Speed up.	Vauhtia.
>>fin<< Speed up.	Aja lujempaa.
>>fin<< Stand up!	Nouse ylös.
>>fin<< Stand up!	Nouse seisomaan.
>>fin<< Stand up!	Nouskaa ylös.
>>fin<< Stand up!	Nouskaa seisomaan.
>>fin<< Stand up.	Nouse ylös.
>>fin<< Stand up.	Nouskaa ylös.
>>fin<< Stay put.	Pysy paikallasi.
>>fin<< Stay put.	Pysykää paikallanne.
>>fin<< Stop Tom.	Pysäytä Tom.
>>fin<< Stop Tom.	Pysäyttäkää Tom.
>>fin<< Take Tom.	Nappaa Tom.
>>fin<< Take Tom.	Ota Tom.
>>fin<< Take Tom.	Ottakaa Tom.
>>fin<< Take Tom.	Napatkaa Tom.
>>fin<< Taste it.	Maista.
>>fin<< Taste it.	Maista sitä.
>>fin<< Tell Tom.	Kerro Tomille.
>>fin<< Terrific!	Mahtavaa!
>>fin<< Terrific!	Mieletöntä!
>>fin<< Terrific!	Upeaa!
>>fin<< Terrific!	Upeeta!
>>fin<< They won.	He voittivat.
>>fin<< Tom died.	Tom kuoli.
>>fin<< Tom died.	Tomi kuoli.
>>fin<< Tom fell.	Tom putosi.
>>fin<< Tom knew.	Tomi tiesi sen.
>>fin<< Tom knew.	Tommi tiesi.
>>fin<< Tom left.	Tomi lähti.
>>fin<< Tom lies.	Tom valehtelee.
>>fin<< Tom lost.	Tom hävisi.
>>fin<< Tom lost.	Tomi hävisi.
>>fin<< Tom quit.	Tomi luovutti.
>>fin<< Tom quit.	Tomi lopetti.
>>fin<< Tom wept.	Tom itki.
>>fin<< Tom's up.	Tomi on ylhäällä.
>>fin<< Tom's up.	Tomi on pystyssä.
>>fin<< Too late.	Liian myöhään.
>>fin<< Too late.	Liian myöhäistä.
>>fin<< Trust me!	Luota minuun!
>>fin<< Trust me.	Luota minuun.
>>fin<< Try hard.	Yritä kovasti.
>>fin<< Try hard.	Yrittäkää kovasti.
>>fin<< Try some.	Maista.
>>fin<< Try some.	Maistakaa.
>>fin<< Try this.	Koita tätä.
>>fin<< Use this.	Käytä tätä.
>>fin<< Warn Tom.	Varoita Tomia.
>>fin<< Warn Tom.	Varoittakaa Tomia.
>>fin<< Watch me.	Katso minua.
>>fin<< Watch me.	Pystynpäs.
>>fin<< Watch me.	Katsokaa minua.
>>fin<< Watch me.	Vahdi minua.
>>fin<< Watch me.	Vahtikaa minua.
>>fin<< Watch us.	Katso meitä.
>>fin<< Watch us.	Katsokaa meitä.
>>fin<< Watch us.	Vahdi meitä.
>>fin<< Watch us.	Vahtikaa meitä.
>>fin<< Watch us.	Pystymmepäs.
>>fin<< We agree.	Olemme samaa mieltä.
>>fin<< We agree.	Olemme yhtä mieltä.
>>fin<< We agree.	Me olemme samaa mieltä.
>>fin<< What for?	Minkä takia?
>>fin<< What fun!	Miten kivaa!
>>fin<< Who am I?	Kuka minä olen?
>>fin<< Who am I?	Kuka mää oon?
>>fin<< Who came?	Kuka tuli?
>>fin<< Who died?	Kuka kuoli?
>>fin<< Who died?	Ketkä kuolivat?
>>fin<< Who fell?	Kuka putosi?
>>fin<< Who quit?	Kuka lopetti?
>>fin<< Who swam?	Kuka ui?
>>fin<< Who swam?	Kuka kävi uimassa?
>>fin<< Who's he?	Kuka hän on?
>>fin<< Write me.	Kirjoita minulle.
>>fin<< Write me.	Kirjoittakaa minulle.
>>fin<< After you.	Sinun jälkeesi.
>>fin<< After you.	Teidän jälkeenne.
>>fin<< Aim. Fire!	Tähtää. Ammu!
>>fin<< Aim. Fire!	Tähtää. Tulta!
>>fin<< Am I next?	Olenko minä seuraava?
>>fin<< Answer me.	Vastaa minulle.
>>fin<< Bless you.	Terveydeksi.
>>fin<< Bless you.	Terveydeksi, vaan ei tavaksi.
>>fin<< Call home!	Soita kotiin!
>>fin<< Calm down!	Rauhoitu!
>>fin<< Calm down!	Rauhoittukaa!
>>fin<< Calm down.	Rauhoitu!
>>fin<< Calm down.	Ota rauhallisesti.
>>fin<< Calm down.	Rauhoitu.
>>fin<< Calm down.	Rauhoittukaa.
>>fin<< Calm down.	Rauhoituhan nyt.
>>fin<< Calm down.	Rauhoitu hyvä ihminen!
>>fin<< Calm down.	Rauhallisesti nyt.
>>fin<< Calm down.	Otapa ihan rauhallisesti.
>>fin<< Calm down.	Rauhoittukaa!
>>fin<< Catch Tom.	Nappaa Tom.
>>fin<< Catch him.	Nappaa hänet.
>>fin<< Catch him.	Napatkaa hänet.
>>fin<< Catch him.	Ottakaa hänet kiinni.
>>fin<< Catch him.	Ota hänet kiinni.
>>fin<< Clear out.	Häipykää.
>>fin<< Clear out.	Kaikki ulos.
>>fin<< Come back.	Tule takaisin!
>>fin<< Come back.	Tulkaa takaisin!
>>fin<< Come back.	Palaa takaisin!
>>fin<< Come back.	Palatkaa takaisin!
>>fin<< Come here.	Tule tänne.
>>fin<< Come home.	Tule kotiin.
>>fin<< Come over.	Tule tänne.
>>fin<< Come over.	Tulkaa tänne.
>>fin<< Come over.	Tule käymään.
>>fin<< Come over.	Tulkaa käymään.
>>fin<< Come soon.	Tule pian.
>>fin<< Come soon.	Tulkaa pian.
>>fin<< Cool down.	Rauhoitu.
>>fin<< Do it now.	Tee se nyt.
>>fin<< Do it now.	Tee se heti.
>>fin<< Dogs bark.	Koirat haukkuvat.
>>fin<< Don't ask.	Älä kysy!
>>fin<< Don't die.	Älkää kuolko.
>>fin<< Don't lie.	Älä valehtele.
>>fin<< Don't lie.	Älä valehtele!
>>fin<< Don't lie.	Älä puhu palturia.
>>fin<< Don't lie.	Älä syötä mulle pajunköyttä.
>>fin<< Don't lie.	Älä syötä minulle pajunköyttä.
>>fin<< Don't run.	Älä juokse.
>>fin<< Excuse me.	Anteeksi.
>>fin<< Excuse me.	Anteeksi, että häiritsen.
>>fin<< Excuse me.	Anteeksi, saanko häiritä.
>>fin<< Excuse me?	Anteeksi kuinka?
>>fin<< Fantastic!	Hienoa!
>>fin<< Fantastic!	Fantastista!
>>fin<< Follow me.	Seuratkaa minua.
>>fin<< Follow me.	Seuraa minua.
>>fin<< Follow us.	Seuratkaa meitä.
>>fin<< Follow us.	Seuraa meitä.
>>fin<< Forget it!	Unohda se!
>>fin<< Forget me.	Unohda minut.
>>fin<< Get a fan.	Hanki tuuletin.
>>fin<< Get a fan.	Hanki fani.
>>fin<< Get ready.	Valmistaudu.
>>fin<< Go faster.	Aja lujempaa.
>>fin<< Go faster.	Mene lujempaa!
>>fin<< Go inside.	Mene sisälle.
>>fin<< Go inside.	Mene sisään.
>>fin<< Go to bed.	Mene sänkyyn!
>>fin<< Go to bed.	Nukkumaan siitä!
>>fin<< Go to bed.	Mene nukkumaan!
>>fin<< Good luck.	Onnea matkaan.
>>fin<< Good luck.	Onnea.
>>fin<< Goodnight.	Hyvää yötä.
>>fin<< Grab that.	Nappaa tuo.
>>fin<< Grab that.	Napatkaa tuo.
>>fin<< Grab that.	Ota tuo kiinni.
>>fin<< Grab that.	Ottakaa tuo kiinni.
>>fin<< Grab that.	Ota tuosta kiinni.
>>fin<< Grab that.	Ottakaa tuosta kiinni.
>>fin<< Grab this.	Nappaa tämä.
>>fin<< Grab this.	Napatkaa tämä.
>>fin<< Grab this.	Ota tästä kiinni.
>>fin<< Grab this.	Ottakaa tästä kiinni.
>>fin<< Grab this.	Ottakaa tämä kiinni.
>>fin<< Grab this.	Ota tämä kiinni.
>>fin<< Hands off.	Käpälät irti!
>>fin<< Hands off.	Älkää koskeko.
>>fin<< He is ill.	Hän on sairas.
>>fin<< He is ill.	Hän on kipeä.
>>fin<< He is ill.	Hän on kipeänä.
>>fin<< He is ill.	Hän on sairaana.
>>fin<< He is old.	Hän on vanha.
>>fin<< He shaved.	Hän ajoi partansa.
>>fin<< He smiled.	Hän hymyili.
>>fin<< He's a DJ.	Hän on DJ.
>>fin<< He's a DJ.	Hän on tiskijukka.
