>>pam<< Help!	Sakóru!
>>pam<< I have two cats.	Atín kung adwáng púsâ.
>>pam<< I want that cat.	Burí ke ing púsang yan.
>>pam<< I was a teacher.	Méstru ku kaníta.
>>pam<< I was a teacher.	Méstra ku kaníta.
>>pam<< I was a teacher.	Taláturú ku kaníta.
>>pam<< I'll be waiting.	Manáya ku.
>>pam<< I'm not chicken.	Éku matalóti.
>>pam<< I've been wrong.	Migkámalí ku.
>>pam<< I've had enough.	Sínáwá náku.
>>pam<< It looked funny.	Lúpa yang mákatúlâ.
>>pam<< It was freezing.	Mágyélu.
>>pam<< It's phenomenal.	Mákapágmulála ya.
>>pam<< Merry Christmas!	Paskwa Nin' Dispu!
>>pam<< Natto is sticky.	Mapékat ing Natto.
>>pam<< They all gasped.	Sínungá la ngan.
>>pam<< They all looked.	Línáwe la ngan.
>>pam<< They all smiled.	Tíníman la ngan.
>>pam<< They all talked.	Migsalíta la ngan.
>>pam<< They all walked.	Línákad la ngan.
>>pam<< They believe it.	Pániwalán da.
>>pam<< They can change.	Mályári lang magbáyu.
>>pam<< They caught Tom.	Árakáp de i Tom.
>>pam<< They didn't run.	Éla mílayî.
>>pam<< They don't care.	Alá lang pakyalám.
>>pam<< They don't help.	Éla sásáup.
>>pam<< They drove home.	Migmanéu la paúlî.
>>pam<< They found this.	Ikít de iní.
>>pam<< This is a horse.	Kabáyu ya iní.
>>pam<< Tom is clueless.	Alá yang kabalú-bálû i Tom.
>>pam<< Tom is swimming.	Kákawé ya i Tom.
>>pam<< Tom looks angry.	Lúpa yang mwa i Tom.
>>pam<< Tom may be back.	Malyáring míbálik ne i Tom.
>>pam<< Tom may be hurt.	Malyáring ménasakít ya i Tom.
>>pam<< Tom was blinded.	Mébúlag ya i Tom.
>>pam<< We can't see it.	E miyá ákákit.
>>pam<< Where is my dog?	Núkarín ya ing ásu ku?
>>pam<< You look stupid.	Lúpa kang makmák.
>>pam<< Did I write that?	Sinúlat ku yan?
>>pam<< Do you live here?	Kéni ka makátuknáng?
>>pam<< Do you live here?	Kéni kayú pû makátuknáng?
>>pam<< Do you live here?	Kéni ko pû makátuknáng?
>>pam<< He loves fishing.	Burí na ing mámadwás.
>>pam<< He loves fishing.	Burí na ing mánasán.
>>pam<< I didn't like it.	Éke burî.
>>pam<< I think Tom died.	King palagé ku méte ya i Tom.
>>pam<< I want some food.	Bísa kung pámangán.
>>pam<< I'm not a doctor.	Éku dóktor.
>>pam<< I'm proud of you.	Págmaragúl daká!
>>pam<< I'm taking notes.	Kúkwa kung "notes".
>>pam<< Is this possible?	Posíbli iné?
>>pam<< Is your mom home?	Atyú king balé ing imá mo?
>>pam<< It was his fault.	Kasalánan na.
>>pam<< It was his fault.	Kasaláná'na.
>>pam<< No one here pays.	Aláng mámáyad kéni.
>>pam<< They all entered.	Línub la ngan.
>>pam<< They all giggled.	Gínalikgík la ngan.
>>pam<< They all stopped.	Tínuknang la ngan.
>>pam<< They all watched.	Ménalbé la ngan.
>>pam<< They appear dead.	Lúpa lang mété na.
>>pam<< They aren't dead.	Éla mête.
>>pam<< They aren't here.	Alá lu kéni.
>>pam<< They aren't rich.	Éla makwálta.
>>pam<< They believe you.	Pániwalán daká.
>>pam<< They believe you.	Pániwalán dakayú.
>>pam<< They both smiled.	Paréu lang tíníman.
>>pam<< They'll find Tom.	Ápayntún de i Tom.
>>pam<< This dog is mine.	Káku ya iníng ásu.
>>pam<< We close at 2:30.	Alás médya kamíng manyará.
>>pam<< We have pictures.	Atín kamíng letratu.
>>pam<< We'll be waiting.	Manáya kamí.
>>pam<< What do you want?	Nánung burí mu?
>>pam<< Where is the dog?	Núkarín ya ing ásu?
>>pam<< Who did you kill?	Nínung péte mu?
>>pam<< Who's in command?	Nínung mánibálâ.
>>pam<< You wouldn't lie.	Éka maglarám.
>>pam<< Your mom is here.	Atyú kéni ing imá mu.
>>pam<< Are you a student?	Istúdyánti ka?
>>pam<< Can you stay long?	Makāpaglambát ka?
>>pam<< Did you know that?	Bálu mu itá?
>>pam<< He died yesterday.	Méte ya nápun.
>>pam<< I also like candy.	Yáku man burí ku ing kéndi.
>>pam<< I am free of debt.	Librí ku king útang.
>>pam<< I don't blame you.	E raká sasangkánan.
>>pam<< I have a headache.	Másakít ku buntúk.
>>pam<< I like candy, too.	Yáku man burí ku ing kéndi.
>>pam<< I remember it all.	Átatandánan ku ngan.
>>pam<< I see you reading.	Ákákit dakáng mámásâ.
>>pam<< I'll wait for you.	Panáyan daká.
>>pam<< I'll write to Tom.	Sulatánan ke i Tom.
>>pam<< I'm as old as you.	Kasíngkatwá daká.
>>pam<< It cannot be true.	E malyáring tutú itá
>>pam<< It's a dictionary.	Tálabaldúgan ya.
>>pam<< It's not my fault.	Éku kasalánan.
>>pam<< Let's get it open.	Busní táya.
>>pam<< She must be angry.	Sigúru mwa ya.
>>pam<< Take the medicine.	Inumán me ing panúlu.
>>pam<< They all listened.	Mékiramdám la ngan.
>>pam<< They all screamed.	Gínulísak la ngan.
>>pam<< They already knew.	Bálu ra na.
>>pam<< They already know.	Bálu ra na.
>>pam<< They already left.	Méko na la.
>>pam<< They aren't there.	Alá lu karín.
>>pam<< They aren't twins.	Éla kambál.
>>pam<< They arrested Tom.	Dékap de i Tom.
>>pam<< They arrested her.	Dékap de.
>>pam<< They arrested him.	Dékap de.
>>pam<< They arrested him.	Inaréstu de.
>>pam<< They believed Tom.	Péniwalán de i Tom.
>>pam<< They both coughed.	Paréu lang méngúkû.
>>pam<< They both giggled.	Paréu lang gínalikgík.
>>pam<< They can't escape.	Éla makátákas.
>>pam<< They captured Tom.	Árakáp de i Tom.
>>pam<< They don't listen.	Éla mákiramdám.
>>pam<< They drank coffee.	Mínum lang kapé.
>>pam<< They executed Tom.	Biníte de i Tom.
>>pam<< They finally left.	Bandáng tawlí méko la.
>>pam<< They followed Tom.	Tíkyan de i Tom.
>>pam<< They followed you.	Tíkyan daká.
>>pam<< They need to talk.	Kaylángan dang magsalítâ.
>>pam<< Tom eats too fast.	Masyádu yang mabilís mangán i Tom.
>>pam<< Tom gave it to us.	Binyé neng Tom kékamí.
>>pam<< Tom got here late.	Tawlí yang míratáng kéni i Tom.
>>pam<< We can solve this.	Álutás táya iní.
>>pam<< We can solve this.	Álutás miyá iní.
>>pam<< We were prisoners.	Présu kamí.
>>pam<< We were prisoners.	Makásúkul kamí.
>>pam<< We won the battle.	Sínambut kamí king labanán.
>>pam<< What got into you?	Nínánu ka?
>>pam<< What is your name?	Nánu ka lagyû?
>>pam<< What is your name?	Nánu ka lagyú?
>>pam<< Where do you live?	Núkarín ka makátuknáng?
>>pam<< Whose bag is this?	Kanínu ya bag iní?
>>pam<< Why would that be?	Óbat makanyán?
>>pam<< You are my friend.	Kálugúran daká.
>>pam<< Come along with us.	Túki ka kékamí.
>>pam<< Come in, it's open.	Lungúb ka, makábusní ya.
>>pam<< Do you like apples?	Burí mo reng mansánas?
>>pam<< Do you remember me?	Átatandánan mukó?
>>pam<< Don't tell my wife.	Ému sasabián king asáwa ku.
>>pam<< Everyone likes him.	Burí re ngan.
>>pam<< Everyone likes him.	Deng eganáganá burí re.
>>pam<< Horses are animals.	Animál la reng kabáyu.
>>pam<< I can't see my dad.	Éke ákit ing táta ku.
>>pam<< I don't have a cat.	Alá kung púsâ.
>>pam<< I don't understand.	Éku áintindián.
>>pam<< I know your father.	Kilála ke ing tátang mu.
>>pam<< I saw him just now.	Ikít ke pámu ngéni.
>>pam<< I, too, like candy.	Yáku man maburí kung kéndi.
>>pam<< Is this Tom's wife?	Iní ing asáwa nang Tom?
>>pam<< It's too expensive.	Masyádu yang mal!
>>pam<< Somebody is eating.	Atíng mámangán.
>>pam<< That's the message.	Itá ing mensáhi.
>>pam<< The bottle is full.	Sapák ya ing bóti.
>>pam<< The bottle is full.	Mitmú ya ing bóti.
>>pam<< They aren't stupid.	Éla makmák.
>>pam<< They both screamed.	Paréu lang gínulísak.
>>pam<< They came together.	Míabé-ábe la.
>>pam<< They didn't answer.	Éla mékíbat.
>>pam<< They found nothing.	Alá lang ápayntún.
>>pam<< They found nothing.	Alá lang ikít.
>>pam<< They work at night.	Béngi lang magóbra.
>>pam<< This is Mary's dog.	Iní ing ásu nang Mary.
>>pam<< This is Mary's dog.	Iní ing ásu nang Maria.
>>pam<< This is Mary's dog.	Iní ing ásu nang Bayang.
>>pam<< Tom drank too much.	Matálik yang mínum i Tom.
>>pam<< Tom has green eyes.	Bérdi ya matá i Tom.
>>pam<< Tom is a gentleman.	Métung yang máginû i Tom.
>>pam<< Tom is in recovery.	Kákáyap ya i Tom.
>>pam<< Watch them closely.	Pakálon mulá.
>>pam<< Watch them closely.	Pakábantén mulá.
>>pam<< We listen to music.	Mákiramdám keng músika.
>>pam<< We urged Tom to go.	Pinílit miyáng muntá i Tom.
>>pam<< We urged Tom to go.	Inamúyut miyáng muntá i Tom.
>>pam<< We were retreating.	Mámatrás kamí.
>>pam<< We're studying now.	Mágáral nakamí.
>>pam<< What are you doing?	Nánánu ka?
>>pam<< Where are you from?	Tagá núkarín ka?
>>pam<< Where are you from?	Nu ka táu?
>>pam<< Where did I put it?	Núkarín ke binílî?
>>pam<< You are very brave.	Taganáng matápang ka.
>>pam<< You're still young.	Anák ka pâ.
>>pam<< Answer the question.	Pakíbatán me ing kutáng.
>>pam<< Are you ready to go?	Makásadyá nakáng makó?
>>pam<< Can you drive a car?	Byása kang magmanéung kótse?
>>pam<< Could we meet again?	Malyári tang míkit pasibáyo?
>>pam<< Do we need a Plan B?	Mángaylángan támung Plan B?
>>pam<< Do you drink coffee?	Míminúm kang kapé?
>>pam<< Don't you hear that?	Ému darámdamán itá?
>>pam<< Get dressed quickly.	Lagwá mung miblás.
>>pam<< Give me a ride home.	Isaké mukú paúlî.
>>pam<< He gets up at seven.	Alás syéti yang migígísing.
>>pam<< He made no response.	E mékíbat.
>>pam<< Here's one I forgot.	Óyni ing métung a ákalingwán ku.
>>pam<< I did it on purpose.	Sasaryán ku itá.
>>pam<< I have to go to bed.	Kaylángan ku nang matudtúd.
>>pam<< I know you are rich.	Bálu kung makwáltá ka.
>>pam<< I made that for you.	Géwa ke yan pará kéka.
>>pam<< I will be back soon.	Gad kung mibálik.
>>pam<< I won't do it again.	Ékuna daptán pasíbáyu itá.
>>pam<< I'll give it to Tom.	Ibyé ke kang Tom.
>>pam<< I'll give it to you.	Ibyé ke kéka.
>>pam<< I'll go and ask Tom.	Kutáng ku kang Tom.
>>pam<< I'll make it simple.	Gáwan keng simplí.
>>pam<< I'll make you happy.	Pasayán daká.
>>pam<< Isn't it remarkable?	E mákapágmulálá itá?
>>pam<< It's Tom's decision.	Kang Tom ya ing disisyún.
>>pam<< It's just a fantasy.	Pantásya yā mú.
>>pam<< My foot fell asleep.	Mépáta ya ing bitís ku.
>>pam<< Take a look at that.	Lon me yan.
>>pam<< The bottle is empty.	Alá yang lamán ing bóti.
>>pam<< This is kind of fun.	Manyáman iní.
>>pam<< Tom has a moustache.	Atín yang bigóti i Tom.
>>pam<< Tom must be winning.	Sigúru sásambút ya i Tom.
>>pam<< Tom used to be lazy.	Matamád ya i Tom kaníta.
>>pam<< Tom used to be lazy.	Sadyá yang matamád i Tom.
>>pam<< Tom's not a bad kid.	E ya marók a anák i Tom.
>>pam<< What a lazy teacher!	Katamád a mestró!
>>pam<< What have you taken?	Nánung ínum mu?
>>pam<< What street is this?	Nánu yang dálan iní?
>>pam<< Where are you going?	Núkarín ka muntá?
>>pam<< Where does Tom live?	Núkarín ya makátuknáng i Tom?
>>pam<< Where have you gone?	Núkarín ka mintá?
>>pam<< Where is the toilet?	Núkarín ya ing kasilyás.
>>pam<< You will be ignored.	Éraká sikasuán.
>>pam<< Are you at home, too?	Atyú ka murín king kékayó?
>>pam<< Do I have to pay you?	Kaylángan dakáng bayaránan?
>>pam<< Do you speak English?	Byása kang Inglís?
>>pam<< Do you study English?	Mánigáral kang Inglís?
>>pam<< Everybody got scared.	Mítakútan la ngan.
>>pam<< Everybody got scared.	Mítakútan la reng sablá.
>>pam<< I can't fix the seat.	Éke alárin ing luklúkan.
>>pam<< I think Tom did this.	King palagé ku i Tom ing gínawá kaníti.
>>pam<< I was out for a walk.	Linwál ku bang maglakád-lakád.
>>pam<< I'll be watching you.	Albén daká.
>>pam<< Is this your bicycle?	Iní ing bisíkléta mo?
>>pam<< It's a piece of cake.	Alá yang sákit.
>>pam<< It's a waste of time.	Sáyang mu ing panaún.
>>pam<< Life begins at forty.	Neng kwarénta mágumpisá ing bye.
>>pam<< So what does it mean?	Nung makanyán, nánung kabáldúgan na?
>>pam<< That was unrealistic.	E makatutwánan itá.
>>pam<< They exchanged gifts.	Mípaglíbe lang rigálu.
>>pam<< They finished eating.	Méyári lang mámángan.
>>pam<< They stopped talking.	Tínuknáng lang sásabi.
>>pam<< Tom can barely speak.	E maybúg makásábi i Tom.
>>pam<< Tom won that contest.	Sínambút ya i Tom king liglígan a itá.
>>pam<< We kissed each other.	Mípanúmâ kamí.
>>pam<< Where is your father?	Núkarin ya ing táta mu?
>>pam<< Where is your school?	Núkarín ya ing iskwéla mu?
>>pam<< You've changed a lot.	Maragúl ing minaliwá kéka.
>>pam<< A new idea came to me.	Atín kung aísip a báyung ideyá.
>>pam<< A new idea came to me.	Atín kung aísip a báyung úkul.
>>pam<< Are you free tomorrow?	Librí ka búkas?
>>pam<< Did you see something?	Atín kang ikét?
>>pam<< Do you believe in God?	Mániwála ka king Dios?
>>pam<< Do you like to travel?	Burí mu ing mágbyáhe?
>>pam<< Does anybody know him?	Atíng mákákilála kayá?
>>pam<< Don't forget about us!	Émuké kakálingwán!
>>pam<< He is not a physician.	Éya dóktor.
>>pam<< He won't listen to me.	E bísang makíramdám káku.
>>pam<< I have to go to sleep.	Kaylángan kung matudtúd.
>>pam<< I hope it'll be quiet.	Sána tahímik ya.
>>pam<< I've missed something.	Atín kung álaktón.
>>pam<< Is your watch correct?	Istú ya ing riló mo?
>>pam<< Is your watch correct?	Ustú ya ing riló mo?
>>pam<< It could rain tonight.	Malyáring murán pótang béngi.
>>pam<< It only happened once.	Mísan mu milyári.
>>pam<< It wasn't you, was it?	Aliwá íka, e wárî?
>>pam<< Like father, like son.	Nung makanánú ya ing táta, makanyán yā namán ing anák.
>>pam<< Many people shop here.	Dakál lang táung mányalí kéni.
>>pam<< My car ran out of gas.	Kégísanán yang gasolína ing kótsi ku.
>>pam<< Nobody likes bad news.	Aláng makí burí king marók a balítâ.
>>pam<< Nobody understands me.	Aláng mákáintindí káku.
>>pam<< Nothing is impossible.	Aláng impusíbli.
>>pam<< Please close the door.	Pakísará me ing pasbúl.
>>pam<< Please iron the shirt.	Pakíplantsá me ing kamiséta.
>>pam<< Summer is almost over.	Álus yarí na ing kaléldo.
>>pam<< That's true, isn't it?	Tutú itá, e warî?
>>pam<< They continued eating.	Sindú da ing pámamangán.
>>pam<< They don't understand.	Éra áintindyán.
>>pam<< They exchanged smiles.	Mípaglíbe lang tíman.
>>pam<< They made me go there.	Pépapuntán dáku karín.
>>pam<< This is a big mistake.	Maragúl a kamalián iní.
>>pam<< Tom is drinking water.	Míminúm yang danúm i Tom.
>>pam<< We can't go right now.	Éta makápuntá ngéni.
>>pam<< We'll get another one.	Kumá tang aliwâ.
>>pam<< What else do you need?	Nánu pang kaylángan mu?
>>pam<< What's in these boxes?	Nánung lamán daréng kahún a réni?
>>pam<< What's in these boxes?	Nánung atyú karéning kahún?
>>pam<< What's your last name?	Nánu ka pilídu?
>>pam<< What's your last name?	Nánu kayú pû pilídu?
>>pam<< Where can we meet you?	Nu raká malyáring pakíkitán?
>>pam<< Where can we meet you?	Nu rakayú malyáring pakíkitán?
>>pam<< Where is the bathroom?	Núkarín ya ing bányu?
>>pam<< You're stronger today.	Mas masikán ka ngéni.
>>pam<< Did anybody follow you?	Atíng tínuki kéka?
>>pam<< Did you lose something?	Atíng mébáting kéka?
>>pam<< Do I have to do it now?	Kaylángan ku nang gáwan ngéne?
>>pam<< Do whatever's required.	Gáwan mu ing anggáng kaylángan.
>>pam<< Do you know the answer?	Bálu me ing pakíbat?
>>pam<< Do you think I'm crazy?	King palagé mu mamuláng ko?
>>pam<< Do you think Tom knows?	King palagé mu bálu nang Tom?
>>pam<< He is good at handball.	Byása ya king handball.
>>pam<< He isn't alone anymore.	Éne mágdilídíli.
>>pam<< He said he could do it.	Agyú na kanú ngána.
>>pam<< He's young and healthy.	Anák ya pâ ampóng masantíng ya katáwan ya.
>>pam<< He's young and healthy.	Anák ya pâ ampóng masantíng ya mabúlas ya.
>>pam<< I am off duty tomorrow.	Alá kung óbra búkas.
>>pam<< I can't authorize that.	Éku malyáring paintulútan itá.
>>pam<< I don't have any money.	Alá kung péra.
>>pam<< I don't like it either.	Éke múrin burî.
>>pam<< I don't speak Japanese.	Éku byásang Apón.
>>pam<< I just want to hug you.	Burí raká mung kawlán.
>>pam<< I know it's impossible.	Bálu kung imposíbli itá.
>>pam<< I know it's impossible.	Bálu kung e malyári itá.
>>pam<< I make lunch every day.	Aldó-aldó kung máglútung paugtwán.
>>pam<< I said leave Tom alone.	Sábi ku paburén me i Tom.
>>pam<< I spoke with my family.	Pékisabyán ke ing pamilyá ku.
>>pam<< I was in the mountains.	Atyú ku king kabundúkan.
>>pam<< I was in the mountains.	Atyú ku king kabundúkan kaníta.
>>pam<< I wish I was in Boston.	Burí ku sâ atyú ku Boston.
>>pam<< Is it a recent picture?	Báyu yang letráto?
>>pam<< It doesn't surprise me.	Éku mágtaká.
>>pam<< Look out of the window.	Tandó ka king áwang.
>>pam<< Oh, don't be like that.	Ay, éka makanyán.
>>pam<< She is a famous singer.	Métung yang sikát a mágkantá.
>>pam<< She is younger than me.	Mas anák ya késa káku.
>>pam<< Should we wait for you?	Panáyan daká?
>>pam<< Thanks for the support.	Salámat king sáup.
>>pam<< Thanks for the support.	Salámat king supórta.
>>pam<< The clock is defective.	Atín yang diperénsya ing riló.
>>pam<< The matter was settled.	Méyarégla na ing pisásabián.
>>pam<< They burned themselves.	Sílab da ing saríli da.
>>pam<< They continued walking.	Sindú da ing pámaglákad.
>>pam<< They continued working.	Sindú da ing pámagóbra.
>>pam<< They're waiting for it.	Pánáyan de.
>>pam<< This is what'll happen.	Iní ing malyári.
>>pam<< Tom is deaf in one ear.	Maklák ya king métung a balugbúg i Tom.
>>pam<< Tom is still at school.	Atyú pa king iskwéla i Tom.
>>pam<< Tom is watching TV now.	Mánalbé yang TV i Tom ngéni.
>>pam<< Tom is watching TV now.	Lálbe yang TV i Tom ngéni.
>>pam<< Tom made three changes.	Atlú lang pámagbáyu deng géwa nang Tom.
>>pam<< Tom seems discontented.	Balámu e kunténtu i Tom.
>>pam<< Tom will never do that.	Éna gáwan Tom itá.
>>pam<< We are doing something.	Atíng keng gagáwan.
>>pam<< We don't know just yet.	E mi pa bálû.
>>pam<< What was the violation?	Nánu ing pámaglabág?
>>pam<< What's your son's name?	Nánu ya lágyu ing anák mung laláki?
>>pam<< Why don't you like Tom?	Ot éme burí i Tom?
>>pam<< You can't possibly win.	Éka malyáring sumambút.
>>pam<< You won't believe this!	Ému paniwalán iní!
>>pam<< You won't believe this!	Éyu paniwalán iní!
>>pam<< You're a strong person.	Masikán kang táu.
>>pam<< All my friends like you.	Burí raká ngan deng kálugúran ku.
>>pam<< Don't forget the ticket.	Éme kakálingwán ing tíket.
>>pam<< He asked me where to go.	Kitnán náku nung núkarín muntá.
>>pam<< He is eager for success.	Sabík yang magtagumpé.
>>pam<< He was blind from birth.	Bulág ya kabaít na.
>>pam<< How did Tom manage that?	Makanánu nang ápalyáring Tom itá?
>>pam<< I asked Tom to call you.	Pépayáus daká kang Tom.
>>pam<< I asked for grape juice.	Ményad kung katás ning úbas.
>>pam<< I can't do this anymore.	Ékuná agyúng gáwan iní.
>>pam<< I know Tom isn't guilty.	Bálu kung alá yang kasalánan i Tom.
>>pam<< I want Tom to read this.	Burí ku básan neng Tom iní.
>>pam<< I want to see you smile.	Burí rakáng ákit a títíman.
>>pam<< I want to talk with Tom.	Burí keng pakísabián i Tom.
>>pam<< I want you to follow me.	Burí kung tukyán mukú.
>>pam<< I'm Tom's new secretary.	Yáku ing báyu nang sekrétaryang Tom.
>>pam<< I'm at a loss for words.	Éku bálû nung nánung sabián ku.
>>pam<< I've got to do this now.	Kaylángan keng gáwan iní ngéni.
>>pam<< I've never flown before.	Éku pa mékasulagpó.
>>pam<< Is my explanation clear?	Malíno ing kákung pámag-ispliká?
>>pam<< Is my explanation clear?	Malíno ing kákung kapatágan?
>>pam<< It's no longer that way.	Éna makanyán.
>>pam<< It's time for the truth.	Panaún na pára king katutuán.
>>pam<< My room has two windows.	Adwá ya áwang ing kwártu ku.
>>pam<< My room is always clean.	Pané yang malínis ing kwártu ku.
>>pam<< Now, take a deep breath.	Sigí, mangísnáwa kang malámam.
>>pam<< That doesn't seem right.	Balámu e ustú itá.
>>pam<< That was the scary part.	Itá ing dákeng mákatákut.
>>pam<< The news made him happy.	Mésayá ya king balítâ.
>>pam<< They entered cautiously.	Pakákalále lang línub.
>>pam<< They looked down on him.	Mábabá la pagláláwe kayá kaníta.
>>pam<< Tom didn't kill anybody.	Alá yang péte i Tom.
>>pam<< Tom doesn't have a home.	Alá yang tuknángan i Tom.
>>pam<< Tom got a bargain price.	Mékámura ya i Tom.
>>pam<< What kind of man was he?	Nánu yang klásing táu?
>>pam<< Who are you waiting for?	Ninúng pánáyan mu?
