>>ara<< Hi.	مرحبًا.
>>ara<< It hurts.	هذا مؤلم
>>ara<< It works.	هي تمشي.
>>ara<< It's dry.	انها جافه
>>ara<< It's hot.	الجو حار
>>ara<< It's new.	إنه جديد
>>ara<< Let's go!	هيا بنا!
>>ara<< Let's go!	هيا لنذهب!
>>ara<< Let's go!	لنذهب.
>>ara<< Let's go.	هيا بنا.
>>ara<< Let's go.	هيا بنا نذهب.
>>ara<< Look out!	اِنتبه!
>>ara<< Look out!	إحذر!
>>ara<< Look out!	انتبه
>>ara<< Speak up!	تكلم!
>>ara<< Stand up!	قف!
>>ara<< Terrific!	رائع!
>>ara<< Terrific!	ممتاز!
>>ara<< Tom died.	توم مات.
>>ara<< Tom died.	توفي توم.
>>ara<< Tom left.	لقد غادر توم.
>>ara<< Tom lied.	لقد كذِبَ توم.
>>ara<< Tom lost.	لقد خَسِرَ توم.
>>ara<< Tom quit.	توم استقال.
>>ara<< Tom quit.	استقال توم
>>ara<< Try some.	هاك، جرب.
>>ara<< Who am I?	من أنا؟
>>ara<< Who died?	من مات؟
>>ara<< Who died?	من توفي؟
>>ara<< After you.	من بعدك
>>ara<< Birds fly.	العصافير تطير.
>>ara<< Birds fly.	تحلق الطيور.
>>ara<< Bless you.	يُباركك.
>>ara<< Calm down.	اِهدأ.
>>ara<< Can we go?	هل نستطيع أن نذهب؟
>>ara<< Come here.	تعال هنا.
>>ara<< Come here.	تعال إلى هنا.
>>ara<< Come here.	اقتربي.
>>ara<< Come home.	تعال إلى منزلي.
>>ara<< Did I win?	هل أنا فُزت؟
>>ara<< Do it now.	افعل ذلك الآن.
>>ara<< Don't lie.	إياك و الكذب.
>>ara<< Excuse me.	عفواً.
>>ara<< Excuse me.	أعذرني
>>ara<< Fantastic!	رائع!
>>ara<< Forget it!	انسَ الأمر.
>>ara<< Forget it!	انسَ ذلك
>>ara<< Forget it.	انسَ الأمر.
>>ara<< Forget it.	انسَ ذلك
>>ara<< Forget me.	انسني.
>>ara<< Go inside.	أُدخُلْ.
>>ara<< Go to bed.	اذهب إلى النوم
>>ara<< Good luck.	بالتوفيق.
>>ara<< Goodnight.	ليلة سعيدة.
>>ara<< Goodnight.	مساء الخير
>>ara<< Hands off.	لا تلمسني.
>>ara<< He is ill.	إنه مريض.
>>ara<< He is ill.	هو مريض
>>ara<< How's Tom?	كيف توم؟
>>ara<< How's Tom?	كيف حال توم؟
>>ara<< I am cold.	أشعر بالبرد.
>>ara<< I am here.	أنا هنا
>>ara<< I am okay.	أنا بخير.
>>ara<< I am sure.	أنا متأكد.
>>ara<< I hope so.	آمل ذلك.
>>ara<< I laughed.	ضحكت.
>>ara<< I like it.	هذا يعجبني.
>>ara<< I love it.	أنا أحبه.
>>ara<< I see Tom.	أنا أرى توم
>>ara<< I'm a boy.	أنا ولد.
>>ara<< I'm a kid.	أنا ولد.
>>ara<< I'm a man.	أنا رجلٌ.
>>ara<< I'm alone.	أنا لوحدي.
>>ara<< I'm bored.	مللت.
>>ara<< I'm broke.	لقد كُسِرت
>>ara<< I'm happy.	أنا سعيد
>>ara<< I'm lucky.	انا محظوظ.
>>ara<< I'm needy.	أنا مسكين.
>>ara<< I'm ready.	أنا مستعد.
>>ara<< I'm ready.	أنا مستعدة.
>>ara<< I'm sorry.	أنا آسف.
>>ara<< I'm sorry.	أنا متأسف.
>>ara<< I'm sorry.	أتأسف.
>>ara<< I'm sorry.	أنا آسف
>>ara<< I'm tired.	أنا متعب.
>>ara<< Is it new?	هل هذا جديد؟
>>ara<< It's cold.	الجو بارد.
>>ara<< It's late.	إنها ساعة متأخرة.
>>ara<< Let me go.	دَعني أذهب.
>>ara<< Listen up.	اسمع
>>ara<< Look back!	انظر خلفك!
>>ara<< Of course!	طبعاً!
>>ara<< Of course.	بالطبع.
>>ara<< Of course.	طبعاً.
>>ara<< Of course.	بالتأكيد.
>>ara<< Of course.	طبعاً!
>>ara<< Pardon me?	المعذرة؟
>>ara<< Seriously?	أأنت جاد؟
>>ara<< She walks.	هي تمشي.
>>ara<< Stay away.	ابتعد عني
>>ara<< Stay thin.	حافظي على جسم نحيف.
>>ara<< Stay thin.	إبقي نحيفة.
>>ara<< Stay thin.	حافظ على نحافتك.
>>ara<< Stop that!	أوقف ذلك.
>>ara<< Stop that.	أوقف ذلك.
>>ara<< Stop them.	أوقفهم.
>>ara<< Take care!	انتبه!
>>ara<< Take care.	مع السلامة.
>>ara<< Take care.	اعتن بنفسك.
>>ara<< Take care.	اعتني بنفسك
>>ara<< Thank you.	شكراً لك
>>ara<< Then what?	ثم ماذا؟
>>ara<< Then what?	ماذا بعد ذلك؟
>>ara<< Tom moved.	لقد تحرك توم.
>>ara<< Tom waved.	لَوَحَ توم.
>>ara<< Watch out!	انتبه
>>ara<< We're hot.	نشعر بالحرارة
>>ara<< Well done!	جيد
>>ara<< What's up?	ما الجديد؟
>>ara<< Who cares?	من يهمّه؟
>>ara<< Who is it?	مَن؟
>>ara<< Who knows?	من يدري؟
>>ara<< Who knows?	من يعلم؟
>>ara<< Wonderful!	مذهل.
>>ara<< Wonderful!	ممتاز!
>>ara<< You idiot!	يا أحمق!
>>ara<< You idiot!	يا غبي!
>>ara<< You tried.	لقد حاولت وسعك.
>>ara<< All aboard!	ليركب الجميع.
>>ara<< All aboard!	ليركب الكل.
>>ara<< Am I clear?	هل هذا واضح؟
>>ara<< Am I wrong?	هل أنا مخطئ؟
>>ara<< Be careful.	كن حذرا.
>>ara<< Be serious.	كُن جدياً.
>>ara<< Birds sing.	العصافير تغرّد
>>ara<< Bottoms up!	الى القاع .
>>ara<< Bottoms up!	برشفة واحدة .
>>ara<< Bring food.	أحضر الطعام.
>>ara<< Bring help.	أحضِر المُساعدة.
>>ara<< Bring wine.	أحضر الخمر.
>>ara<< Bring wine.	أحضر النبيذ.
>>ara<< Can I stay?	هل أستطيع أن أبقى؟
>>ara<< Carry this.	احمل هذا.
>>ara<< Check that.	إفحص ذلك.
>>ara<< Check this.	إفحص هذا.
>>ara<< Come again.	تعالَ مُجدداً.
>>ara<< Come alone.	تعالَ وحدك.
>>ara<< Come alone.	تعالَ بمفردك.
>>ara<< Come along.	تعال معنا.
>>ara<< Come on in!	هيا ادخل
>>ara<< Come on in.	هيا ادخل
>>ara<< Come quick!	تعال بسرعة.
>>ara<< Come to me.	تعال إلي
>>ara<< Definitely!	بالتأكيد
>>ara<< Definitely!	قطعاً
>>ara<< Don't move.	لا تتحرك.
>>ara<< Fill it up.	املئها.
>>ara<< Find a job.	إبحث عن عمل
>>ara<< Follow him.	اتبعه.
>>ara<< Go to work.	اذهب إلى العمل
>>ara<< Good night.	ليلة سعيدة.
>>ara<< Have faith.	كن مؤمنا.
>>ara<< He is nice.	إنه لطيف.
>>ara<< He is sick.	إنه مريض.
>>ara<< He's happy.	هو سعيد
>>ara<< He's smart.	هو ذكي.
>>ara<< He's smart.	إنه ذكي.
>>ara<< Here he is!	ها هو هنا
>>ara<< Here it is.	ها هي.
>>ara<< I am a boy.	أنا ولد.
>>ara<< I am going.	أنا ذاهب.
>>ara<< I am happy.	أنا سعيد
>>ara<< I can jump.	يمكنني القفز.
>>ara<< I can jump.	أستطيع القفز.
>>ara<< I can jump.	يمكنني أن أقفز.
>>ara<< I can swim.	يمكنني السباحة.
>>ara<< I can swim.	بإمكاني أن أسبح.
>>ara<< I did that.	فعلت هذا
>>ara<< I eat here.	سآكل هنا.
>>ara<< I envy her.	أنا أحسدها.
>>ara<< I felt sad.	شعرت بالحزن.
>>ara<< I hear you.	أنا أسمعك.
>>ara<< I know her.	أعرِفها.
>>ara<< I know her.	أنا أعرفها
>>ara<< I know him.	أعرفه.
>>ara<< I know him.	أنا أعرفه
>>ara<< I like you.	أحبك.
>>ara<< I like you.	تعجبني.
>>ara<< I love her.	أحبها.
>>ara<< I love her.	أنا أحبها
>>ara<< I love you.	أنا أحبك.
>>ara<< I love you.	أحبك.
>>ara<< I love you.	احبك.
>>ara<< I love you.	انا احبك
>>ara<< I love you.	أنا أحبك
>>ara<< I meant it.	قصدت ذلك.
>>ara<< I miss him.	أشتاق إليه.
>>ara<< I miss you.	اشتقت إليك.
>>ara<< I miss you.	افتقدتك.
>>ara<< I need you.	أحتاج إليك.
>>ara<< I need you.	أحتاجك.
>>ara<< I resigned.	استقلت.
>>ara<< I saw that.	لقد رأيت ذلك
>>ara<< I think so.	أعتقد ذلك.
>>ara<< I think so.	أظن ذلك.
>>ara<< I want you.	أريدك.
>>ara<< I'm OK now.	أنا بخير الآن.
>>ara<< I'm a hero.	أنا بطل.
>>ara<< I'm coming.	سآتي.
>>ara<< I'm coming.	أنا آتٍ
>>ara<< I'm hungry!	أشعر بالجوع.
>>ara<< I'm not OK.	لست على ما يرام.
>>ara<< I'm scared.	أنا خائف.
>>ara<< I'm sleepy!	أنا نعسان!
>>ara<< I'm so fat.	أنا بدين جداً.
>>ara<< I'm so fat.	أنا شديد البدانة.
>>ara<< I'm so fat.	أنا سمين جدا.
>>ara<< I'm unsure.	لست متأكّدا.
>>ara<< Is it love?	هل هذا هو الحب؟
>>ara<< It's on me.	الحساب عليّ.
>>ara<< Let Tom go.	دَع توم يذهب.
>>ara<< Let him go!	دعه يذهب!
>>ara<< Let me out!	دعني أخرُج!
>>ara<< Look again.	انظر مرة أخرى
>>ara<< Look at me.	انظر إليّ.
>>ara<< Look at me.	انظر إلي
>>ara<< Love hurts.	الحب يؤلم.
>>ara<< Never mind!	لا عليك!
>>ara<< Never mind!	لا داعي للقلق
>>ara<< No problem!	لا مشكلة!
>>ara<< Once again.	مرة أخرى.
>>ara<< Once again.	مجدداً.
>>ara<< Ridiculous!	سخيف
>>ara<< Talk to me!	كلمني!
>>ara<< That hurts.	هذا يؤلم.
>>ara<< That's wet.	ذاك مبلل.
>>ara<< Tom is big.	توم كبير
>>ara<< Tom smiled.	توم إبتسم.
>>ara<< Tom yawned.	توم تثاءب.
>>ara<< Tom's died.	توم مات.
>>ara<< Tom's here.	توم هنا
>>ara<< We are men.	نحن رجال.
>>ara<< We are men.	إننا رجال.
>>ara<< We're boys.	إننا صبية.
>>ara<< We're late.	لقد تأخرنا.
>>ara<< What gives?	ما الأمر؟
>>ara<< What's new?	ما الجديد؟
>>ara<< What's new?	علومك؟
>>ara<< Who called?	من اتّصل؟
>>ara<< Wood burns.	الخشب يحترق.
>>ara<< You may go.	يمكنك الذهاب.
>>ara<< Anyone hurt?	هل أصيب اي احد
>>ara<< Are you mad?	هل أنت غاضب؟
>>ara<< Are you sad?	هل أنتِ حزينة؟
>>ara<< Be creative.	كُن مُبدِعاً.
>>ara<< Be creative.	كُن خلاقاً.
>>ara<< Be discreet.	كُن حَذِراً.
>>ara<< Be friendly.	كُن ودوداً.
>>ara<< Be merciful.	كُن رحيماً.
>>ara<< Be prepared.	كُن مُستعداً.
>>ara<< Be prepared.	كن مستعداً
>>ara<< Be prepared.	كونوا مستعدين
>>ara<< Be ruthless.	كُن عديم الرحمة.
>>ara<< Be sensible.	كُن معقول.
>>ara<< Be specific.	كُن محدداً.
>>ara<< Be tolerant.	كُن مُتسامحاً.
>>ara<< Be vigilant.	توخى الحذر.
>>ara<< Behave well.	كن مؤدبًا.
>>ara<< Behave well.	تصرف بأدب
>>ara<< Call me dad.	نادني أبي.
>>ara<< Check again.	راجع مُجدداً.
>>ara<< Check again.	إفحص مُجدداً.
>>ara<< Check again.	تحقق مجدداً.
>>ara<< Come closer.	إقتَرِب.
>>ara<< Come get us.	تعال لتأخذنا.
>>ara<< Come inside.	تعالَ بالداخل.
>>ara<< Come inside.	أدخل
>>ara<< Come inside.	تفضل بالدخول
>>ara<< Contact Tom.	إتصل بتوم.
>>ara<< Did Tom die?	هل مات توم؟
>>ara<< Do as I say.	افعل كما أقول
>>ara<< Don't argue.	لا تُجادِل.
>>ara<< Don't cheat.	لا تَغِش.
>>ara<< Don't do it!	لا تفعل ذلك!
>>ara<< Don't worry.	لا تقلق.
>>ara<< Don't worry.	لا عليك.
>>ara<< Get in line.	قف في الدور.
>>ara<< Go find Tom.	إذهب وابحث عن طوم.
>>ara<< Go straight.	اذهب مستقيم
>>ara<< Have a seat.	استرح.
>>ara<< He can come.	بإمكانه المجيء
>>ara<< He is alone.	إنه وحيد.
>>ara<< He is alone.	إنه وحده.
>>ara<< He is happy.	هو سعيد
>>ara<< He loves me.	هو يحبّني.
>>ara<< He's strong.	إنه قوي.
>>ara<< Hello again.	مرحبا مجددا
>>ara<< Here we are!	ها نحن ذا
>>ara<< Here we are.	ها قد وصلنا.
>>ara<< Here we are.	ها نحن هنا
>>ara<< How are you?	كيف حالك؟
>>ara<< How are you?	كيفَ حالك؟
>>ara<< How are you?	كيفَ حالِك؟
>>ara<< I also went.	ذهبت أيضاً.
>>ara<< I am coming.	أنا آتٍ.
>>ara<< I am coming.	أنا آتٍ
>>ara<< I apologize.	أنا أعتذر
>>ara<< I dug a pit.	حفرت حفرة.
>>ara<< I feel cold.	أشعر بالبرد.
>>ara<< I hate milk.	أكره الحليب.
>>ara<< I like jazz.	أحب موسيقى الجاز.
>>ara<< I like rice.	أحب الرز
>>ara<< I live here.	أعيش هنا.
>>ara<< I live here.	أنا أسكن هنا
>>ara<< I love rock.	أعشق موسيقى الروك.
>>ara<< I must hide.	عليّ الاختباء.
>>ara<< I need time.	أحتاج وقتا.
>>ara<< I regret it.	أنا نادم
>>ara<< I said that.	قلت ذلك.
>>ara<< I trust you.	أثق بك.
>>ara<< I trust you.	أنا أثق فيك.
>>ara<< I trust you.	أنا أثق بك.
>>ara<< I want more.	أريد المزيد
>>ara<< I was wrong.	كنت مخطئاً.
>>ara<< I'll attend.	سأحضر.
>>ara<< I'll decide.	سأقرر.
>>ara<< I'm a baker.	أنا خباز
>>ara<< I'm a child.	أنا ولد.
>>ara<< I'm a woman.	أنا امرأةٌ.
>>ara<< I'm at home.	إني في المنزل.
>>ara<< I'm at home.	أنا في البيت.
>>ara<< I'm at home.	أنا في البيت
>>ara<< I'm married.	أنا متزوج.
>>ara<< I'm no fool.	لست مغفّلا.
>>ara<< I'm reading.	أنا أقرأ
>>ara<< I'm serious.	أنا جاد.
>>ara<< I'm serious.	أنا لا أمزح.
>>ara<< I'm thirsty.	أنا عطشان.
>>ara<< I'm thirsty.	أنا عطش.
>>ara<< I'm thirsty.	أنا أشعر بالعطش.
>>ara<< Is Tom here?	هل توم هنا؟
>>ara<< Is it rainy?	هل الجو ممطر؟
>>ara<< Is it windy?	هل الجو عاصف؟
>>ara<< Is that all?	أهذا كل شيء؟
>>ara<< It can't be!	لا يمكن أن يحصل ذلك!
>>ara<< It may rain.	من الممكن أن تمطر.
>>ara<< It may rain.	ربما ستمطر.
>>ara<< It may snow.	قد ينزل الثلج
>>ara<< It was late.	الوقت كان متأخرا.
>>ara<< It's Monday.	اليوم الإثنين.
>>ara<< It's Monday.	إنه يوم الاثنين
>>ara<< It's my job.	إن ذلك عملي.
>>ara<< It's my job.	هذا واجبي.
>>ara<< Let's begin.	لنبدأ.
>>ara<< Let's party.	لنحتفل!
>>ara<< Let's split.	دعونا ننقسم.
>>ara<< Let's split.	دعنا ننقسم.
>>ara<< Let's split.	دعينا ننقسم.
>>ara<< Let's start!	لنبدأ.
>>ara<< Look at him.	انظر إليه
>>ara<< Many thanks.	شكراً جزيلاً.
>>ara<< Many thanks.	شكراً جزيلاً!
>>ara<< No one came.	لم يأتي أحد.
>>ara<< Nobody came.	لم يأتي أحد.
>>ara<< OK. I agree.	حسناً. أنا موافق.
>>ara<< Please come.	من فضلك تعال.
>>ara<< Please come.	تعال من فضلك
>>ara<< Put it down.	ضعها أرضاً.
>>ara<< Record this.	سجّل هذا.
>>ara<< She's happy.	هي سعيدة
>>ara<< Take a look.	ألق نظر.
>>ara<< Take a rest.	استرِح.
>>ara<< That's life.	هكذا هي الحياة.
>>ara<< The TV's on.	التلفاز مفتوح.
>>ara<< Tom frowned.	قطب توم حاجبيه.
>>ara<< Tom is here.	توم هنا
>>ara<< Tom stopped.	توقف توم.
>>ara<< Tom's happy.	توم سعيد
>>ara<< Wait for me.	انتظرني.
>>ara<< We know him.	نحن نعرفه
>>ara<< We're happy.	نحن سعداء
>>ara<< What a team!	يا له من فريق!
>>ara<< What is new?	ما الجديد؟
>>ara<< What's that?	ما ذلك؟
>>ara<< What's this?	ما هذا؟
>>ara<< Where's Tom?	أين توم؟
>>ara<< Who are you?	من أنت؟
>>ara<< Who are you?	من أنتِ؟
>>ara<< Who drew it?	من رسم ذلك؟
>>ara<< Who drew it?	من رسمها؟
>>ara<< Who's there?	من هناك؟
>>ara<< Will you go?	هل ستذهب؟
>>ara<< Yes, I know.	نعم أنا أعلم
>>ara<< You must go.	عليك أن تذهب.
>>ara<< You must go.	عليك الرحيل.
>>ara<< You must go.	عليك الذهاب.
>>ara<< You must go.	يتوجّب عليك الذهاب.
>>ara<< You're here.	أنت هنا
>>ara<< You're rich.	أنت غني
>>ara<< Anybody hurt?	أاصيب اي احد؟
>>ara<< Anything new?	هل من جديد؟
>>ara<< Are you sure?	هل أنت متأكد؟
>>ara<< Are you sure?	أأنت متأكد من ذلك؟
>>ara<< Bring backup.	أحضر النُسخة الإحتياطية.
>>ara<< Bring him in.	أدخله.
>>ara<< Can you come?	هل يمكنك القدوم؟
>>ara<< Can you come?	أيمكنك المجيء؟
>>ara<< Can you swim?	هل بإمكانك السباحة؟
>>ara<< Can you talk?	هل بإمكانك الكلام؟
>>ara<< Check around.	تحقق حولها.
>>ara<< Come forward.	تعالَ إلى الأمام.
>>ara<< Come forward.	تَقَدَم.
>>ara<< Come quickly!	تعالَ بسرعة!
>>ara<< Come with me.	تعال معي.
>>ara<< Come with us.	تعال معنا.
>>ara<< Cool it down.	هدّء من روعك.
>>ara<< Did you call?	هل اتصلت؟
>>ara<< Do you smoke?	هل تدخن؟
>>ara<< Drive safely.	قد بحذر.
>>ara<< Drive safely.	سُق بحذر
>>ara<< Everyone sat.	جلس الجميع.
>>ara<< Fear nothing.	لا تخف من أي شيء
>>ara<< Fear nothing.	إطمئن
>>ara<< Find the cat.	اعثر علي القطه
>>ara<< Fish, please.	سمك من فضلك.
>>ara<< Good evening.	مساء الخير.
>>ara<< Good morning.	صباح الخير
>>ara<< Grab my hand.	أمسك يدي.
>>ara<< He got angry.	غضب.
>>ara<< He has a car.	إنه يملك سيارة.
>>ara<< He has a car.	لديه سيارة.
>>ara<< He has a car.	لديه سيارة
>>ara<< He has a dog.	لديه كلب .
>>ara<< He is eating.	إنه يأكل.
>>ara<< He let me go.	هو تركني أذهب.
>>ara<< He let us go.	هو تركنا نذهب.
>>ara<< He loves her.	إنه يحبها.
>>ara<< He loves her.	يحبها.
>>ara<< He loves her.	هو يحبها
>>ara<< He mocked me.	لقد سخر منّي.
>>ara<< He was brave.	كان شجاعاً.
>>ara<< How annoying!	كم هذا مزعج!
>>ara<< I am Chinese.	أنا صيني
>>ara<< I am at home.	إني في المنزل.
>>ara<< I am at home.	أنا في البيت.
>>ara<< I am at home.	أنا في البيت
>>ara<< I am curious.	أود أن أعرف.
>>ara<< I ate caviar.	أكلت الكافيار.
>>ara<< I ate caviar.	اكلت كافيار.
>>ara<< I can't talk.	لا أستطيع الكلام.
>>ara<< I dialed 911.	اتّصلت ب‍ 911.
>>ara<< I do hope so.	آمُلُ ذلك.
>>ara<< I don't care.	لا أهتم.
>>ara<< I don't care.	لا يهمني.
>>ara<< I don't care.	الأمر لا يعنيني.
>>ara<< I don't care.	لا آبه
>>ara<< I don't know.	لا أعرف‏.‏‏
>>ara<< I don't know.	لا أعرف.
>>ara<< I don't know.	لا أعلم.
>>ara<< I don't know.	لا أدري.
>>ara<< I don't know.	لا اعرف.
>>ara<< I don't know.	لا أعلم
>>ara<< I feel itchy.	أشعر بالحكة.
>>ara<< I feel tired.	أشعر بالإرهاق.
>>ara<< I had doubts.	كانت لدي شكوك.
>>ara<< I have a car.	أملك سيارةً.
>>ara<< I have a car.	لدي سيارة
>>ara<< I have a pen.	لدي قلم.
>>ara<< I have a pen.	عندي قلم.
>>ara<< I have to go.	يجب أن أذهب.
>>ara<< I hugged her.	احتضنتها.
>>ara<< I like girls.	احب البنات
>>ara<< I love trips.	أحب الرحلات.
>>ara<< I made jello.	لقد أعددت هلاما.
>>ara<< I missed you.	اشتقت لك.
>>ara<< I slept late.	نمت متأخّرا.
>>ara<< I understand.	أنا أفهم
>>ara<< I was absent.	كنت غائبا.
>>ara<< I was hungry.	كنت جائعاً.
>>ara<< I won't lose!	لن أخسر!
>>ara<< I won't lose!	لن أُهزم!
>>ara<< I'll ask him.	سوف أسأله
>>ara<< I'll sue you.	سأقاضيك.
>>ara<< I'm a mother.	أنا أمّ.
>>ara<< I'm busy now.	أنا مشغول الأن.
>>ara<< I'm busy now.	أنا مشغولة الأن.
>>ara<< I'm confused.	انا محتار.
>>ara<< I'm free now.	أنا متفرغ الآن
>>ara<< I'm freezing.	أشعر بالبرد.
>>ara<< I'm new here.	أنا جديد هنا
>>ara<< I'm not busy.	لست مشغولاً.
>>ara<< I'm not free.	أنا مشغول.
>>ara<< I'm not thin.	لست نحيفا.
>>ara<< I'm pregnant.	أنا حامل.
>>ara<< I'm so happy.	أنا سعيد جداً.
>>ara<< I'm thinking.	أفكر.
>>ara<< I'm using it.	أستخدمه.
>>ara<< Iron is hard.	الحديد صلب.
>>ara<< Is Tom happy?	هل توم سعيد؟
>>ara<< Is this love?	هل هذا هو الحب؟
>>ara<< It isn't new.	ليست جديدة.
>>ara<< It was night.	إنه المساء
>>ara<< It's bedtime.	حان وقت النوم.
>>ara<< It's raining.	إنها تمطر.
>>ara<< It's so dark.	إنه مظلم جداً.
>>ara<< It's too big.	هل توم كبير؟
>>ara<< It's too hot.	إنه ساخن جداً.
>>ara<< It's too hot.	إنها ساخنة جداً.
>>ara<< It's too hot.	الجو حار جداً.
>>ara<< It's too hot.	إن الطقس حار للغاية.
>>ara<< It's too hot.	إنها حارة جداً
>>ara<< It's too hot.	الجو حار جدا
>>ara<< It's too hot.	الجو حار جداً
>>ara<< Ladies first.	السيدات أولاً.
>>ara<< Let me do it.	دعني أفعلها
>>ara<< Listen to me.	استمع إلي
>>ara<< Listen to me.	استمع الي
>>ara<< Look at that!	أُنظر إلى هذا!
>>ara<< Look at this.	أُنظر إلى هذا.
>>ara<< Mary came in.	دخلت ماري.
>>ara<< Mary came in.	أتت ماري
>>ara<< My arm hurts.	ذِراعي يُؤْلِمُني
>>ara<< My eyes hurt.	عيناي تؤلمانني.
>>ara<< My feet hurt.	أقدامي تؤلمني.
>>ara<< No one knows.	لا أحد يعلم.
>>ara<< No one knows.	لا أحد يعلم
>>ara<< Play with me.	العب معي.
>>ara<< See you then.	إذاً أراك لاحقاً.
>>ara<< Shame on you!	عار عليك!
>>ara<< She is happy.	هي سعيدة
>>ara<< She may come.	ربما ستأتي.
>>ara<< Stay at home.	ابق في البيت.
>>ara<< Stop gawking.	كف عن التحديق.
>>ara<< Stop staring.	كف عن التحديق.
>>ara<< Stop talking.	توقف عن الكلام
>>ara<< Stop the car.	أوقف السيارة
>>ara<< Stop yelling!	توقف عن الصراخ!
>>ara<< Stop yelling!	توقفي عن الصراخ!
>>ara<< Stop yelling!	كف عن الصراخ!
>>ara<< Sweet dreams!	أحلاماً سعيدة!
>>ara<< Take it easy.	على رِسْلِك.
>>ara<< Take it easy.	لا تحمل هماً.
>>ara<< Tell us more.	أخبرنا أكثر
>>ara<< Thanks again.	شكرا مرة أخرى
>>ara<< That was fun.	كان ذلك ممتعًا.
>>ara<< That's great!	هذا عظيم!
>>ara<< That's right.	هذا صحيح.
>>ara<< This is ours.	هذه لنا
>>ara<< This is true.	إن ذلك صحيح.
>>ara<< Tom has kids.	توم لديه أطفال.
>>ara<< Tom is happy.	توم سعيد
>>ara<< Tom survived.	نجا توم.
>>ara<< Tom's strict.	إن توم شديد.
>>ara<< Try it again.	حاول مرة أخرى.
>>ara<< Try it again.	حاول مجدداً.
