>>cbk<< Who?	¿Quién?
>>cbk<< I have to wait.	Necesita yo esperá.
>>cbk<< I have to work.	Necesita yo trabajá.
>>cbk<< I left my wife.	Ya dejá yo cunel de mío esposa.
>>cbk<< I need a towel.	Necesita yo un toalla.
>>cbk<< I smell coffee.	Ta puede yo ulí café.
>>cbk<< I want a flute.	Quiere yo un flauta.
>>cbk<< I'll stay home.	Ay quedá yo na casa.
>>cbk<< I've found Tom.	Ya encontrá yo cun Tom.
>>cbk<< Is that a ring?	Anillo ese?
>>cbk<< Is that coffee?	Café ese?
>>cbk<< It wasn't long.	Hindê aquel largo.
>>cbk<< It's not blood.	HIndê 'se sangre.
>>cbk<< It's not clean.	Hindê se limpio.
>>cbk<< It's our fault.	De amon se culpa.
>>cbk<< My name is Tom.	Mio nombre es Tom.
>>cbk<< My nose itches.	Rasca de mio nariz.
>>cbk<< No one can say.	Nuay quien puede hablá.
>>cbk<< Open this door.	Abri este puerta.
>>cbk<< Open your eyes.	Abri tu ojos.
>>cbk<< Pigs can't fly.	No puede volá el maga puerco.
>>cbk<< She cooks well.	Bueno le cusí.
>>cbk<< She kissed him.	Ya besá le conele.
>>cbk<< Sugar is sweet.	Dulce el azúcar.
>>cbk<< Tell the truth.	Habla tu el verdad.
>>cbk<< The tea is hot.	Caliente el cha.
>>cbk<< This is my cow.	Este de mío vaca.
>>cbk<< This is normal.	Normal lang esté.
>>cbk<< Tom can't come.	No puede vené si Tom.
>>cbk<< Tom drank milk.	Ya tomá si Tom leche.
>>cbk<< Tom drank milk.	Ya tomá leche si Tom.
>>cbk<< Tom gave blood.	Ya doná sangre si Tom.
>>cbk<< Tom has asthma.	Tiene asma si Tom.
>>cbk<< Tom is nervous.	Ta nerviá si Tom.
>>cbk<< Tom is reading.	Ta lé si Tom.
>>cbk<< Tom isn't home.	Nuáy si Tom na casa.
>>cbk<< Tom likes wine.	Quiere quiere si Tom vino.
>>cbk<< Tom looks pale.	Maputla si Tom.
>>cbk<< Wash your face.	Lava di tu cara.
>>cbk<< We're up early.	Temprano kamé ya dispiertá.
>>cbk<< What'd you say?	Cosa tu ya hablá?
>>cbk<< Where are they?	Donde ya silá?
>>cbk<< Where is Paris?	Donde puedé encontrá cunel Paris?
>>cbk<< Why do you ask?	Por que tu ta priguntá?
>>cbk<< You're nervous.	Ta nerviá tu.
>>cbk<< Bend your knees.	Dublá de tuyo rodillas.
>>cbk<< Bend your knees.	Dublá de tuyo dos tuhúd.
>>cbk<< Call the police!	Llamá cunel policía!
>>cbk<< Can you breathe?	Ta puedé tu resollá?
>>cbk<< Count to thirty.	Cuntá hasta treinta.
>>cbk<< Do you eat meat?	Ta comé tu carne?
>>cbk<< Do you know why?	Sabe tu por que?
>>cbk<< Do you remember?	Ta acordá tu?
>>cbk<< Don't be afraid.	No tené miedo.
>>cbk<< Drink your milk.	Tomá de tuyo leche.
>>cbk<< Get out of here.	Salé aqui.
>>cbk<< He bought a car.	Ya comprá le coche.
>>cbk<< He's my brother.	Mio hermano ele.
>>cbk<< Help me lift it.	Ayudá cumigo alzá cunese.
>>cbk<< His name is Tom.	Tom de suyo nombre.
>>cbk<< How old are you?	¿Cuántos años ya usted?
>>cbk<< How old are you?	¿Cuántos años ya tú?
>>cbk<< How old are you?	¿Cuántos años ya vos?
>>cbk<< How old are you?	¿Cuántos años ya evos?
>>cbk<< How old are you?	¿Usted, cuántos años ya?
>>cbk<< How old are you?	¿Tú, cuántos años ya?
>>cbk<< How old are you?	¿Vos, cuántos años ya?
>>cbk<< How old are you?	¿Evos, cuántos años ya?
>>cbk<< I can swim well.	Ta puede yo nada buenamente.
>>cbk<< I decided to go.	Ya decidí yo andá.
>>cbk<< I don't need it.	Hindé yo necesita cunese.
>>cbk<< I have ten pens.	Tiene yo diez ballpen.
>>cbk<< I have to agree.	Necesita yo conformá.
>>cbk<< I have to hurry!	Necesita yo apurá!
>>cbk<< I have to leave.	Necesita ya yo andá.
>>cbk<< I have to sleep.	Necesita yo durmí.
>>cbk<< I have to think.	Necesita yo pensá.
>>cbk<< I have two sons.	Tiene yo dos anák hombre.
>>cbk<< I hope Tom wins.	Ta esperanzá yo ganá si Tom.
>>cbk<< I just got home.	Nuevo lang yo ya llegá na casa.
>>cbk<< I love the rain.	Quiere quiere yo con el ulan.
>>cbk<< I need a hammer.	Necesita yo un martillo.
>>cbk<< I need scissors.	Necesita yo tijeras.
>>cbk<< I need you here.	Necesita yo cuntigo aquí.
>>cbk<< I only want one.	Uno lang yo quiere.
>>cbk<< I tried to help.	Ya pricurá yo ayudá.
>>cbk<< I want to drive.	Quiere yo maneja.
>>cbk<< I'm persevering.	Tan kayod yo.
>>cbk<< Is he breathing?	Ta resollá le?
>>cbk<< Is this a dream?	Sueño ba esté?
>>cbk<< It's inevitable.	Hinde se puede evita.
>>cbk<< It's not a game.	Hindé se juego.
>>cbk<< It's only blood.	Sangre lang ese.
>>cbk<< It's your money.	De tuyo se sen.
>>cbk<< It's your money.	De tuyo se dinero.
>>cbk<< Let me go alone.	Deja cumigo sale solo.
>>cbk<< That's not easy.	Hindê se fácil.
>>cbk<< The leaves fell.	El maga hojas ya caé.
>>cbk<< The leaves fell.	El mana hojas ya caé.
>>cbk<< They'll kill me.	Ay matá silá comigo.
>>cbk<< They're arguing.	Tan pellahan sila.
>>cbk<< This is our bag.	Este diamon bag.
>>cbk<< Tom died in bed.	Ya murí si Tom na cama.
>>cbk<< Tom drinks wine.	Ta tomá si Tom vino.
>>cbk<< Tom drinks wine.	Ta tomá vino si Tom.
>>cbk<< Tom felt guilty.	Ya sintí culpable si Tom.
>>cbk<< Tom sells fruit.	Ta vendé frutas si Tom.
>>cbk<< Tom wants to go.	Quiere andá si Tom.
>>cbk<< Tom was furious.	Bien rabiao gayot si Tom.
>>cbk<< We have bananas.	TIene kamé ságuing.
>>cbk<< We planted rice.	Ya siembrá kamé arroz.
>>cbk<< We want respect.	Quiere kamé respeto.
>>cbk<< What time is it?	Que hora ya?
>>cbk<< What's the news?	Cosa el noticia?
>>cbk<< Write something.	Escribi masquin cosa.
>>cbk<< You may go home.	Puede ya tu volvé na casa.
>>cbk<< A lion is strong.	Mafuersa el león.
>>cbk<< Are you new here?	Nuevo tu aqui?
>>cbk<< Are you still up?	Despierto pa tu?
>>cbk<< Are you studying?	¿Ta estudía usted?
>>cbk<< Are you studying?	¿Ta estudía tú?
>>cbk<< Are you studying?	¿Ta estudía vos?
>>cbk<< Are you studying?	¿Usted ta estudía?
>>cbk<< Are you studying?	¿Tú ta estudía?
>>cbk<< Are you studying?	¿Vos ta estudía?
>>cbk<< Are you studying?	¿Evos ta estudía?
>>cbk<< Aren't you tired?	Hindê tu cansao?
>>cbk<< Breathe normally.	Resollá normalmente.
>>cbk<< Cows supply milk.	Ta dale leche el maga vaca.
>>cbk<< Did the dog bark?	Ya ladrá el perro?
>>cbk<< Do you have a TV?	Tiene tu TV?
>>cbk<< Do you want wine?	Quiere tu vino?
>>cbk<< Don't look at it.	Numá mirá cunese.
>>cbk<< Everyone cheered.	Todo yan palakpakan.
>>cbk<< Give me the wine.	Dale cumigo el vino.
>>cbk<< Give me the wine.	Alcanzá cumigo el vino.
>>cbk<< He can swim well.	Ta puede le nada buenamente.
>>cbk<< He comes at noon.	Mediodía le ta vené.
>>cbk<< He moves quickly.	Ligiero ele mové.
>>cbk<< He needs a towel.	Necesita le toalla.
>>cbk<< He went far away.	Ya andá le bien lejos.
>>cbk<< Her hair is long.	Largo de suyo pelo.
>>cbk<< How embarrassing!	Como de maka verguenza!
>>cbk<< I bought a watch.	Ya comprá yo reloj de mano.
>>cbk<< I can't remember.	No puede yo acordá.
>>cbk<< I can't remember.	Hindé yo ta acordá.
>>cbk<< I closed my eyes.	Ya cerrá yo de mi mga ojos.
>>cbk<< I don't eat meat.	Hindé yo ta comé carne.
>>cbk<< I drank the wine.	Ya tomá yo cunel vino.
>>cbk<< I have to cancel.	Necesita yo cancelá.
>>cbk<< I have to change.	Necesita yo cambiá.
>>cbk<< I have two books.	Tiene yo dos libro.
>>cbk<< I know I'm early.	Sabe yo temprano yo ya llegá.
>>cbk<< I know the owner.	Conoce yo cunel dueño.
>>cbk<< I made a mistake.	Yan kamalí yo.
>>cbk<< I might be wrong.	Baká malí yo.
>>cbk<< I sell umbrellas.	Ta vendé yo maga páyung.
>>cbk<< I started to cry.	Ya empezá yo llorá.
>>cbk<< I was young once.	Joven yo antes.
>>cbk<< I won't be there.	Ay hindé yo abuyá allá.
>>cbk<< I'm baking bread.	Ta cucí yo pan.
>>cbk<< I'm your partner.	Partner yo de tuyu.
>>cbk<< Is Tom in charge?	Si Tom el encargáo?
>>cbk<< Is this your car?	De tuyo esté coche?
>>cbk<< Is this your car?	De ustedes esté coche?
>>cbk<< It's a great day.	Bien vale el dia.
>>cbk<< It's almost noon.	Cerca ya mediodía.
>>cbk<< Its color is red.	Colorao el color de ese.
>>cbk<< Listen carefully.	Oí enbuenamente.
>>cbk<< Look at the moon.	Mirá tu cunel luna.
>>cbk<< My uncle is rich.	Rico de mío tío.
>>cbk<< Now I understand.	Ta entendé ya yo ahora.
>>cbk<< Please follow me.	Sigue comigo por favor.
>>cbk<< She is obstinate.	Durocabeza le.
>>cbk<< The door is open.	Abierto el puerta.
>>cbk<< The room is dark.	Escuro el cuarto.
>>cbk<< The towel is dry.	Seco el toalla.
>>cbk<< The towel is wet.	Mojao el toalla.
>>cbk<< The wind stopped.	Ya pará el viento.
>>cbk<< They look pretty.	Bonito le.
>>cbk<< This isn't funny.	Hindê esté makarisas.
>>cbk<< Tom began to run.	Ya principiá corré si Tom.
>>cbk<< Tom began to run.	Ya empezá corré si Tom.
>>cbk<< Tom fed the pigs.	Ya dale comé si Tom cunel maga puerco.
>>cbk<< Tom is a fat man.	Gordo gente si Tom.
>>cbk<< Tom is breathing.	Ta resollá si Tom.
>>cbk<< Tom is terrified.	Tiene miedo si Tom.
>>cbk<< Tom isn't inside.	Nuáy adentro si Tom.
>>cbk<< Tom was prepared.	Preparáo si Tom.
>>cbk<< Turn it off, Tom.	Apagá cunese, Tom.
>>cbk<< We just finished.	Nuevo lang kamé ya acabá.
>>cbk<< What did Tom win?	Cosa si Tom ya ganá?
>>cbk<< What did you buy?	Cosa tu ya comprá?
>>cbk<< What did you say?	Cosa tu ya hablá?
>>cbk<< What do you mean?	Cosa tu quiere decir?
>>cbk<< What do you want?	Cosa tu quiere?
>>cbk<< What is the news?	Cosa el noticia?
>>cbk<< Where is my comb?	Donde ya de mío peine?
>>cbk<< Where is the cat?	Donde el gato?
>>cbk<< Where's the exit?	Donde el salida?
>>cbk<< Who took the car?	Quien ya sacá cunel coche?
>>cbk<< You can trust us.	Puede confia kanamon.
>>cbk<< You can't say no.	No puede tu man hendé.
>>cbk<< You have a guest.	Tiene tu visita.
>>cbk<< You're so skinny.	Flaco gayot tu.
>>cbk<< You're so skinny.	Bien flaco man tu.
>>cbk<< Add a little milk.	Aumentá un poco leche.
>>cbk<< Birds build nests.	Ta hacé pugarán el maga pajaro.
>>cbk<< Breathe in deeply.	Resollá hondo.
>>cbk<< Choose one person.	Escogí un gente.
>>cbk<< Do I have a knife?	Tiene ba yo cuchillo?
>>cbk<< Do they like wine?	Quiere quiere silá vino?
>>cbk<< Do you drink wine?	Ta tomá tu vino?
>>cbk<< Do you have a car?	Tiene tu coche?
>>cbk<< Do you have money?	Tiene tu sen?
>>cbk<< Do you know where?	Sabe tu donde?
>>cbk<< Do you see a rose?	Ta mirá tu un rosas?
>>cbk<< Do you sell fruit?	Ta vendé tu frutas?
>>cbk<< Don't wake him up.	No cunele despiertá.
>>cbk<< Don't wake him up.	No despertá cunele.
>>cbk<< Give me the knife.	Dale cumigo el cuchillo.
>>cbk<< Give me the spoon.	Dale cumigo el cuchara.
>>cbk<< Hand me the knife.	Alcanzá cumigo el cuchillo.
>>cbk<< He does not smoke.	Hindê le ta fumá.
>>cbk<< He kissed my neck.	Ya besá le de mío pescuezo.
>>cbk<< He started to cry.	Ya principiá le llorá.
>>cbk<< Her nails are red.	Colorao de suyo maga uñas.
>>cbk<< Her skirt is long.	Largo de suyo falda.
>>cbk<< His eyes are blue.	Azul de suyo ojos.
>>cbk<< How's your mother?	Que tal de tuyo nana?
>>cbk<< I ate a hamburger.	Ya comé yo hamburger.
>>cbk<< I cleaned my room.	Ya limpiá yo de mio cuarto.
>>cbk<< I covered my ears.	Ya tapá yo de mio mga orejas.
>>cbk<< I cried all night.	Entero noche yo ya llorá.
>>cbk<< I cried all night.	Ya llorá yo entero noche.
>>cbk<< I found the money.	Ya encontrá yo cunel dinero.
>>cbk<< I found the money.	Ya encontrá yo cunel sen.
>>cbk<< I have a blue car.	Tiene yo un coche azul.
>>cbk<< I have to find it.	Necesita yo encontrá cunaquel.
>>cbk<< I need a calendar.	Necesita yo un calendario.
>>cbk<< I saw him running.	Ya mira yo conele ta corre.
>>cbk<< I want to be rich.	Quiere yo quedá rico.
>>cbk<< I won the lottery.	Ya ganá yo na loto.
>>cbk<< I'm all right now.	OK ya yo ahora.
>>cbk<< I'm still thirsty.	Uháw pa yo siempre.
>>cbk<< Is that your wife?	Amó se de tuyo mujer?
>>cbk<< Is that your wife?	Amó se de tuyo esposa?
>>cbk<< Is this a mistake?	Kamalî ba esté?
>>cbk<< Is this your wine?	De tuyo esté vino?
>>cbk<< Is this your wine?	Este de tuyo vino?
>>cbk<< It's not done yet.	Nuáy pa acabá.
>>cbk<< It's on the table.	Tallá encima del mesa.
>>cbk<< Let's ask someone.	Pregunta ta masquin con quien.
>>cbk<< Long time, no see.	Ya dura hay contigo no hay mira.
>>cbk<< My dogs are white.	Blanco de mio mga perro.
>>cbk<< My knife is sharp.	Agudo el cuchillo.
>>cbk<< She has long hair.	Tiene le largo pelo.
>>cbk<< That won't happen.	Ay hindê se sucedé.
>>cbk<< The coffee is hot.	Caliente el café.
>>cbk<< The knife is dull.	Mapurúl el cuchillo.
>>cbk<< The market is big.	Grande el tiángue.
>>cbk<< The party is over.	Ya acabá ya el party.
>>cbk<< The sun is rising.	Ta salé ya el sol.
>>cbk<< They drank coffee.	Ya tomá silá café.
>>cbk<< They kidnapped me.	Ya abductá silá cumigo.
>>cbk<< They're using you.	Ta usá silá cuntigo.
>>cbk<< This is my friend.	Este di mio amigo.
>>cbk<< Tom borrowed mine.	Ya prestá si Tom el de mío.
>>cbk<< Tom coughed again.	Ya tosé olét si Tom.
>>cbk<< Tom drinks coffee.	Ta tomá si Tom café.
>>cbk<< Tom is undressing.	Ta desnudá si Tom.
>>cbk<< Tom loved bananas.	Quiere quiere si Tom ságuing.
>>cbk<< Tom seems nervous.	Dol ta nerviá si Tom.
>>cbk<< Tom speaks French.	Ta habla frances si Tom.
>>cbk<< Tom speaks loudly.	Todas tan cuento si Tom.
>>cbk<< Tom won't like it.	Ay hindê se gustá si Tom.
>>cbk<< We can't help Tom.	No puede kamé ayudá cun Tom.
>>cbk<< We can't help Tom.	No puede kitá ayudá cun Tom.
>>cbk<< We're all excited.	Excited kamé todo.
>>cbk<< We're trustworthy.	Puede confia kanamon.
>>cbk<< What is your name?	¿Cósa es tu nombre?
>>cbk<< What is your name?	¿Cósa de usted nombre?
>>cbk<< What is your name?	¿Cósa de tu nombre?
>>cbk<< What is your name?	¿Cósa de vos nombre?
>>cbk<< What is your name?	¿De usted nombre, cósa?
>>cbk<< What is your name?	¿De tu nombre, cósa?
>>cbk<< What's the number?	Cosa el número?
>>cbk<< Where is the exit?	Donde el salida?
>>cbk<< Where's the bread?	Donde ya el pan?
>>cbk<< Where's the knife?	Donde el cuchillo?
>>cbk<< Who ate the bread?	Quien ya comé cunel pan?
>>cbk<< Who broke the cup?	Quien ya asé quebra conel vaso?
>>cbk<< Won't you come in?	Hindé tu entrá?
>>cbk<< Wood burns easily.	Pronto quemá el palo.
>>cbk<< You can sleep now.	Puede ya tu durmí ahora.
>>cbk<< You can't sell it.	No puede tu cunese vendé.
>>cbk<< You must hurry up.	Necesita tu apurá.
>>cbk<< You must see this.	Necesita tu mirá cuneste.
>>cbk<< Are you hungry now?	Cun ambre ya tu?
>>cbk<< Are you in a hurry?	Apuráo tu?
>>cbk<< Aren't you thirsty?	Hinde tu tan con sequia?
>>cbk<< Bananas are yellow.	Amarillo el maga ságuing.
>>cbk<< Can I get a tattoo?	Puede yo mandá man tatú?
>>cbk<< Check the calendar.	Chequeá na calendario.
>>cbk<< Do I have to study?	Necesita ba yo estudiá?
>>cbk<< Do you have a bike?	Tiene tu bike?
>>cbk<< Does Tom have kids?	Tiene ba si Tom maga anak?
>>cbk<< Does he have a dog?	Tiene ba ele perro?
>>cbk<< Don't ask me again.	Numá cumigo priguntá olet.
>>cbk<< Give me the shovel.	Dale cumigo el pala.
>>cbk<< He has a long neck.	Tiene le largo pescuezo.
>>cbk<< He heard the noise.	Ya oí le el alboroto.
>>cbk<< He raised his hand.	Ya alsá le de suyo mano.
>>cbk<< He showed it to me.	Ya dale le mirá cumigo aquel.
>>cbk<< He started singing.	Ya principiá le cantá.
>>cbk<< He went for a walk.	Ya andá le paseá.
>>cbk<< He's not my father.	Hindé ele de mío tata.
>>cbk<< How is your sister?	Que tal tuyo hermana?
>>cbk<< I am not a teacher.	Hinde yo maestro.
>>cbk<< I coughed up blood.	Ya tosé yo sangre.
>>cbk<< I didn't know this.	Nuáy man yo sabé cunese.
>>cbk<< I don't have vodka.	Nuay yo vodka.
>>cbk<< I don't want to go.	No quiere yo andá.
>>cbk<< I eat in the house.	Na casa yo ta comé.
>>cbk<< I have to eat, too.	Necesita tamén yo comé.
>>cbk<< I have to paint it.	Necesita yo pintá cunese.
>>cbk<< I have to rehearse.	Necesita yo man-practice.
>>cbk<< I have two cousins.	Tiene yo dos primo.
>>cbk<< I haven't told Tom.	No hay yo ablá cun Tom.
>>cbk<< I know what I want.	Sabe yo cosa yo quiere.
>>cbk<< I left my bag here.	Aquí yo ya dejá de mío bag.
>>cbk<< I need my passport.	Necesita yo mio pasaporte.
>>cbk<< I saw the man jump.	Ya mirá yo cunel gente saltá.
>>cbk<< I use it every day.	Todo'l dia yo ta usá cunese.
>>cbk<< I want a boyfriend.	Quiere yo tené un novio.
>>cbk<< I want to help you.	Quiere yo ayudá cuntigo.
>>cbk<< I'll call tomorrow.	Ay llamá yo mañana.
>>cbk<< I'm angry with her.	Rabiao yo conele.
>>cbk<< I'm from Australia.	De Australia yo.
>>cbk<< I'm going in first.	Yo una entrá.
>>cbk<< It's a big country.	Un grande país esté.
>>cbk<< It's not important.	Hindê se importante.
>>cbk<< Let's take a break.	Toma kita descanso.
>>cbk<< Maybe it was a cat.	Baká gato aquel.
>>cbk<< Milk is nutritious.	Nutricioso el leche.
>>cbk<< Milk is nutritious.	Ma-sustancia el leche.
>>cbk<< My apples are gone.	Perdido de mío maga manzanas.
>>cbk<< My legs feel heavy.	Ta sintí yo pesao de mío maga pierna
>>cbk<< My legs still hurt.	Ta duelé siempre de mío maga pierna.
>>cbk<< No one noticed Tom.	Nuay quien ya golé cun Tom.
>>cbk<< Please don't fight.	No man peleahan, por favor.
>>cbk<< Please make coffee.	Favor templá café.
>>cbk<< She was born blind.	Ya nacé le bulág.
>>cbk<< Shut up and listen.	Callá boca y oí!
>>cbk<< Tell me what it is.	Hablá cumigo cosa aquel.
>>cbk<< The car hit a tree.	Yam banggá el coche na un ponô.
>>cbk<< The car was stolen.	Ya rubá cunel coche.
>>cbk<< The coffee is cold.	Frío el café.
>>cbk<< The dog is barking.	Ta ladrá el perro.
>>cbk<< The knife is dirty.	Mabuling el cuchillo.
>>cbk<< The moon is bright.	Claro el luna.
>>cbk<< The skirt is green.	Color verde el falda.
>>cbk<< The spoon is dirty.	Mabuling el cuchara.
>>cbk<< The tree fell down.	Ya tumbá el ponô.
>>cbk<< The wind is strong.	Fuerte el viento.
>>cbk<< The window is open.	Abierto el ventana.
