>>tuk<< Go.	Gitmek.
>>tuk<< I made this.	Men etdim muny
>>tuk<< I overslept.	Men kop yatypdyryn.
>>tuk<< I was angry.	Men gazaplydym.
>>tuk<< Nobody came.	Hic kim gelmedi.
>>tuk<< Plants grow.	Guller osyar.
>>tuk<< Wait for us.	Bize garaş.
>>tuk<< Wait for us.	Bize garaşyň.
>>tuk<< Walk slowly.	Hayal yore.
>>tuk<< We did this.	Biz etdik muny
>>tuk<< Work slowly.	Hayal isle.
>>tuk<< Be our guest.	Myhmanymyz boluň.
>>tuk<< Drive slowly.	Yuwas sur.
>>tuk<< I have a car.	Meniň bir awtomobilim bar.
>>tuk<< I like money.	Men puly gowy görýärin.
>>tuk<< I see a star.	Men ýyldyz görýärin
>>tuk<< I watched TV.	Men telewizor seretdim.
>>tuk<< I watched TV.	Men telewizora tomaşa etdim.
>>tuk<< I'm a doctor.	Men lukman.
>>tuk<< I'm a doctor.	Men doktor.
>>tuk<< Is that blue?	Bu gök reñkdemi?
>>tuk<< Just shut up.	Sem bol.
>>tuk<< Milk the cow.	Sygryñ suydi
>>tuk<< Stop talking.	Gurruñüñizi goyuñ
>>tuk<< Stop, please.	Dur, haýyşt
>>tuk<< Stop, please.	Duraýda
>>tuk<< That's right!	Şol dogry!
>>tuk<< This is huge.	Bu ullakan.
>>tuk<< Tom is awake.	Tom oýa.
>>tuk<< Unbelievable!	Ynanyp bolmajak
>>tuk<< Welcome home.	Oye hos geldiñ.
>>tuk<< What is love?	Söýgi namedir?
>>tuk<< Years passed.	Yyllar gecdi
>>tuk<< Are you twins?	Sen ekizmisiñ?
>>tuk<< Flowers bloom.	Guller acyldy.
>>tuk<< He's not sick.	Ol ýarawsyz däl.
>>tuk<< I want to cry.	Men eňremek isleýärin.
>>tuk<< I watched you.	Men saňa seretdim.
>>tuk<< I wish I knew.	Men bilen bolsadym.
>>tuk<< I'll warn Tom.	Men Toma duýduryş bererin.
>>tuk<< I'm in my car.	Men öz maşynymda.
>>tuk<< I'm plastered.	Men serhoş.
>>tuk<< It's too fast.	Bu çendenaşa tiz.
>>tuk<< Life's unfair.	Durmuş adalatsyz.
>>tuk<< May I go, too?	Men hem gidip bilerinmi?
>>tuk<< Read after me.	Menden soňra oka.
>>tuk<< Read after me.	Menden soňra okaň.
>>tuk<< They're happy.	Olar bagtly.
>>tuk<< Tom scared us.	Tom bizi gorkuzdy.
>>tuk<< Tom's married.	Tom öýlenen.
>>tuk<< You're my son.	Sen meniň oglum.
>>tuk<< Are these real?	Bular çynmy?
>>tuk<< Are these real?	Bular hakykymy?
>>tuk<< Don't stand up.	Ýeriñizden turmañ.
>>tuk<< Don't touch it.	Elleme!
>>tuk<< Don't touch it.	Ony elleme.
>>tuk<< Eat everything.	Hemmesini iy.
>>tuk<< He's not ready.	Ol(oglan) taýýar däl.
>>tuk<< I hate walking.	Men ýöremegi ýigrenýän.
>>tuk<< I have a chill.	Men üşeýärin.
>>tuk<< I have a clock.	Meniň sagadym bar.
>>tuk<< I have a cough.	Men üsgürýärin.
>>tuk<< I have a dream.	Meniň bir arzuwym bar.
>>tuk<< I have a piano.	Mende pianino bar.
>>tuk<< I have no clue.	Habarym ýok.
>>tuk<< I have no idea.	Mende hiç hili pikir ýok.
>>tuk<< I miss you all.	Men ähliñizi göresim gelýär.
>>tuk<< I want to live.	Men ýaşamak isleýärin.
>>tuk<< I've been seen.	Meni gördüler.
>>tuk<< Louder, please.	Gatyrak, hayys
>>tuk<< She kicked him.	Ol gyz ol oglany depdi.
>>tuk<< That was nifty.	Ol netijeli boldy.
>>tuk<< That was nifty.	Ol täsirli geçdi.
>>tuk<< They quarreled.	Olar sowusdiler.
>>tuk<< Ticket, please.	Yok petegiñiz, hayys.
>>tuk<< Tom called 911.	Tom 911 belgini aýlady / jaň etdi.
>>tuk<< Tom can't come.	Tom gelip bilmeýer.
>>tuk<< Tom is devoted.	Tom wepaly.
>>tuk<< Tom made me go.	Tom meni gider ýaly etdi.
>>tuk<< Tom made plans.	Tom planlar etdi.
>>tuk<< Tom rewrote it.	Tom muny täzeden ýazdy.
>>tuk<< Tom took risks.	Tom riskleri aldy.
>>tuk<< Tom warned you.	Tom seni duýdurdy.
>>tuk<< Why is Tom sad?	Näme üçin Tom gamgyn?
>>tuk<< All are present.	Hemme bu ýerde bar.
>>tuk<< Can I come, too?	Men hem gelip bilýenmi?
>>tuk<< Can you stop it?	Sen ony bes edip bilersiňmi?
>>tuk<< Clip your nails.	Dyrnaklaryňy kes.
>>tuk<< Clip your nails.	Dyrnaklaryňyzy kiçeldişdiriň.
>>tuk<< Congratulations!	Gutlaýarys!
>>tuk<< Don't be scared.	Gorkma.
>>tuk<< Here, try it on.	Ynha, geýip gör.
>>tuk<< How did Tom die?	Tom nädip ýogaldy?
>>tuk<< How did they do?	Olar nädip etdiler?
>>tuk<< I can't compete.	Men ýary.yp bilmeýen.
>>tuk<< I have a donkey.	Mende eşek bar.
>>tuk<< I have a family.	Meniň bir maşgalam bar.
>>tuk<< I know Tom lied.	Men Tomuň ýalan sözländigini bilýärin.
>>tuk<< I lied about it.	Men ol barada ýalan sözledim.
>>tuk<< I need somebody.	Maňa biri gerek.
>>tuk<< I saw Tom leave.	Tomuň gidendigini gördüm.
>>tuk<< I saw Tom on TV.	Tomy telewizorda gördüm.
>>tuk<< I saw Tom smile.	Tomuň gülüp oturandygyny gördüm.
>>tuk<< I saw something.	Birzat gördüm.
>>tuk<< I saw you on TV.	Seni telewizýorda gördüm.
>>tuk<< I say go for it.	Şonuň üçin git diýýärin.
>>tuk<< I teach history.	Men Taryhdan okadýan.
>>tuk<< I walked inside.	Men içine girdim
>>tuk<< I want to drive.	Men sürmek isleýärin.
>>tuk<< I want to sleep.	Men uklamak isleýärin.
>>tuk<< I'll check that.	Men ony barlaryn.
>>tuk<< I'm a nonsmoker.	Men çilimkeş däl.
>>tuk<< I'm cooking now.	Men häzir bişirýärin.
>>tuk<< I'm going to go.	Men gitjek.
>>tuk<< I'm pretty full.	Men mazalyja doýdum.
>>tuk<< It isn't a fake.	Bu ýasama däl!
>>tuk<< That smells bad.	Ondan erbet ys gelýär.
>>tuk<< This is my desk.	Bu meniň partam.
>>tuk<< This is my desk.	Bu meniň stolum.
>>tuk<< This isn't true.	Bu hakyky däl.
>>tuk<< This isn't true.	Bu dogry däl.
>>tuk<< Tom had to wait.	Tom garaşmaly bolar.
>>tuk<< Tom is retiring.	Tom pensiýa çykýar.
>>tuk<< Tom is so happy.	Tom örän şadyýan.
>>tuk<< Tom sells shoes.	Tom köwüş satýar.
>>tuk<< We'll tell them.	Biz olara aýdarys.
>>tuk<< We've found Tom.	Biz Tomy tapdyk.
>>tuk<< Why are we poor?	Biz näme üçin garyp?
>>tuk<< You'll do great.	Sen başararsyň.
>>tuk<< All hope is gone.	Bütin umytlar ýogaldy.
>>tuk<< All were present.	Hemmämiz bardyk.
>>tuk<< Attention please!	Uns beriñ, hayys!
>>tuk<< Come with us now.	Häzir biz bilen gel.
>>tuk<< Get used to that.	Sen oňa uýgunlaş.
>>tuk<< He is my teacher.	Ol meniň mugallymym.
>>tuk<< Here, try my pen.	Ine, meniň ruçkamy ulanyp görüň.
>>tuk<< Here, try my pen.	Ine, meniň ruçkamy ulanyp gör.
>>tuk<< How unlucky I am!	Men nähili şowsuz!
>>tuk<< How unlucky I am!	Men nähili betbagt!
>>tuk<< I can't eat pork.	Men doňuz etini iýip bilmeýärin.
>>tuk<< I can't remember.	Men aňyp bilemok.
>>tuk<< I don't eat beef.	Men sygyr etini iýemok.
>>tuk<< I don't remember.	Aňmaýaryn.
>>tuk<< I don't remember.	Men aňmaýaryn.
>>tuk<< I expected worse.	Men erbedräk zada garaşdym.
>>tuk<< I got up quickly.	Men derrew turdym.
>>tuk<< I know what's up.	Men ählli täzeliklerden habardar.
>>tuk<< I saw you crying.	Aglaýandygyňy gördüm.
>>tuk<< I'll be in touch.	Men habarlaşaryn.
>>tuk<< I'll eat it here.	Men ony bärde iýjek.
>>tuk<< I'll never learn.	Hiç wagt öwrenjek däl.
>>tuk<< I'm baking bread.	Men çörek bişirip durun.
>>tuk<< I'm real careful.	Men hakykatdanam ünsli.
>>tuk<< I'm really happy.	Men hakykatdan bagtly.
>>tuk<< I'm really happy.	Men çyndan bagtly.
>>tuk<< I've got a fever.	Meniň gyzgynym bar.
>>tuk<< Is the door open?	Gapy açykmy?
>>tuk<< It belongs to me.	Maňa degişli.
>>tuk<< It belongs to me.	Meniňki.
>>tuk<< It belongs to me.	O maňa degişli.
>>tuk<< It's windy today.	Şugün howa şemally
>>tuk<< It's windy today.	Şu gün howa şemally.
>>tuk<< Just say nothing.	Hiç zat aýtmaň.
>>tuk<< Just say nothing.	Hiç zat aýtma.
>>tuk<< Leave that alone.	Ýalňyz goý.
>>tuk<< Listen carefully.	Uns berip dinle.
>>tuk<< My eyes are blue.	Meniň gözlerim gök reňkde
>>tuk<< My stomach hurts.	Içim agyrýar.
>>tuk<< Nothing happened.	Hic zat bolmaly.
>>tuk<< Put the bag down.	Torbany aşak goý.
>>tuk<< Take our picture.	Bizi surada al.
>>tuk<< They've seen Tom.	Olar Tomy gördiler.
>>tuk<< This is a secret.	Bu syr.
>>tuk<< This is a secret.	Bu gizlin.
>>tuk<< This is an error.	Bu ýalňyşlyk.
>>tuk<< This should work.	Bu işlemeli.
>>tuk<< Tom gets my vote.	Men Toma ses berýän.
>>tuk<< Tom is a bad guy.	Tom erbet oglan.
>>tuk<< Tom is depressed.	Tom ruhdan gaçdy.
>>tuk<< Tom is easygoing.	Tom alçak oglan.
>>tuk<< Tom knows Boston.	Tom Bostony bilýär.
>>tuk<< Tom woke Mary up.	Tom Merini turuzdy.
>>tuk<< Try to calm down.	Köşeşmäge çalyş.
>>tuk<< What is it, dear?	Bu näme, ezizim?
>>tuk<< What is it, dear?	Bu näme, mähribanym?
>>tuk<< What's not right?	Näme nädogry?
>>tuk<< Will you go, too?	Senem gidersiňmi?
>>tuk<< Will you go, too?	Sizem gidersiňizmi?
>>tuk<< You have to wait.	Garaşmalysyň.
>>tuk<< You'll need this.	Bu saňa gerek bolar.
>>tuk<< Are you listening?	Diňleýäňizmi?
>>tuk<< Are you listening?	Dinleýäňmi?
>>tuk<< Did Tom come here?	Tom bu ýere geldimi?
>>tuk<< Did you buy a car?	Sen maşyn satyn aldyñmy?
>>tuk<< Did you buy a car?	Sen ulag satyn aldyñmy?
>>tuk<< Do you have paper?	Seniň kagyzyň barmy?
>>tuk<< Do you want a job?	Sen iş isleýäňmi?
>>tuk<< Do you want a job?	Sen işlemek isleýäňmi?
>>tuk<< Do you want a job?	Saňa iş gerekmi?
>>tuk<< Drop your weapons!	Ýaraglaryňyzy goýuň!
>>tuk<< Drop your weapons!	Ýaraglaryňy goý!
>>tuk<< Everybody laughed.	Hemme kisi guldi.
>>tuk<< Feed the chickens.	Juyjeleri naharlamak
>>tuk<< He does not smoke.	Ol çilim çekmeýär.
>>tuk<< He goes to school.	Ol okuwa gidýär.
>>tuk<< I didn't buy that.	Muny satyn almadym.
>>tuk<< I didn't buy that.	Muny almadym.
>>tuk<< I do all the work.	Hemme işi men edýärin.
>>tuk<< I have a headache.	Meniň kelläm agyrýar.
>>tuk<< I have no weapons.	Hiç ýaragym ýok.
>>tuk<< I kept on singing.	Men aýdym aýtmagy dowam etdim.
>>tuk<< I never oversleep.	Men hiç ýatyp galmadym.
>>tuk<< I saw Tom take it.	Ony Tomuň alandygyny gördüm.
>>tuk<< I saw you looking.	Seniň seredendigiňi gördüm.
>>tuk<< I saw you outside.	Seni daşaryda gördüm.
>>tuk<< I see I was wrong.	Hataly boladygymy düşünýärin.
>>tuk<< I teach geography.	Men geografiýa öwredýärin.
>>tuk<< I was needed here.	Meniň kömegim bu ýerde gerek boldy.
>>tuk<< I wasn't with Tom.	Men Tom bilen däldim.
>>tuk<< I work afternoons.	Men öýleden soňra işleýärin.
>>tuk<< I'll shut you out.	Seni dyndyraryn.
>>tuk<< I'm Tom's dentist.	Men Tomyñ diş dogtory.
>>tuk<< I'm a little busy.	Men biraz meşgul (şu wagt)
>>tuk<< I'm just starving.	Men diñe açlykdan edýärin.
>>tuk<< It isn't dark yet.	Heniz garaňky düşmedi.
>>tuk<< It wasn't planned.	Bu planlaşdyrylmandy.
>>tuk<< It wasn't planned.	By meýilleşdirilmändi.
>>tuk<< It's not that far.	Ol känbir uzakda däl.
>>tuk<< It's not yet time.	Heniz wagt bolanok.
>>tuk<< It's the same hat.	Bu şol bir şapka.
>>tuk<< It's the same hat.	Bu şol bir papak.
>>tuk<< Just as I thought.	Edil meñ pikir edişim ýaly.
>>tuk<< My uncle is angry.	Meniň daýym gaharly.
>>tuk<< Stop being stupid.	Däliremegi goý.
>>tuk<< Thanks for trying.	Synanyşanyňyz üçin sag boluň.
>>tuk<< Thanks for trying.	Synanyşanyň üçin sag bol.
>>tuk<< Thanks in advance.	Häzirden sag boluñ.
>>tuk<< That's very vague.	Bu örän takyk kesgitlenmedikdir/ nämälimdir.
>>tuk<< They are all ears.	Olar üns berip eşidip otyrlar.
>>tuk<< This cake is good.	Bu tort gowy.
>>tuk<< This fish is good.	Bu balyk gowy.
>>tuk<< This is my choice.	Bu meniň saýlamam.
>>tuk<< This is my cousin.	Bu meniň çykanym.
>>tuk<< Those are my cats.	Olar meniñ pisiklerim.
>>tuk<< Three people came.	Üç adam geldi.
>>tuk<< Tom can't come in.	Tom girip bilmez.
>>tuk<< Tom can't stop me.	Tom meni saklap bilmez.
>>tuk<< Tom can't stop me.	Tom meni duruzyp bilmez.
>>tuk<< Tom is a believer.	Tom bir ynançlydyr
>>tuk<< Tom is unbeatable.	Tom ýeñilmezdir.
>>tuk<< Tom isn't like us.	Tom bizi halanok.
>>tuk<< Tom just got home.	Tom edil ýaňyja öýüne bardy.
>>tuk<< Tom looked lonely.	Tom ýeke görünýärdi.
>>tuk<< Tom was born rich.	Tom baý bolup doguldy.
>>tuk<< We deserve better.	Biz has gowusyna mynasyp.
>>tuk<< We should be fine.	Biz gowy bolmaly.
>>tuk<< What's your major?	Sen haysy ugurdan okayan?
>>tuk<< Where will you go?	Sen nirä gitjek?
>>tuk<< Where's my sister?	Meniň uýam nirede?
>>tuk<< Where's the beach?	Plýaž nirede?
>>tuk<< Will you be going?	Sen gidersiňmi?
>>tuk<< Will you be going?	Siz gidersiňizmi?
>>tuk<< You aren't needed.	Sen gerek däl.
>>tuk<< You can't come in.	Içeri girip bilmeýeň.
>>tuk<< You're famous now.	Siz häzir meşhur.
>>tuk<< Cars pollute a lot.	Ulaglar howany gaty hapalaýarlar.
>>tuk<< Dinner was awesome.	Agşam nahary ajaýypdy.
>>tuk<< Do I owe you money?	Men saňa pul bermelimi?
>>tuk<< Do you like apples?	Sen almalary halaýaňmy?
>>tuk<< Do you like apples?	Siz almalary halýarsyňyzmy?
>>tuk<< Do you want coffee?	Kofe içesiň gelýärmi?
>>tuk<< Do you want coffee?	Kofe içesiňiz gelýärmi?
>>tuk<< Do you want my job?	Meniň işimi isleýärmiň?
>>tuk<< How old's your son?	Seniň ogluň näçe ýaşynda?
>>tuk<< I broke Tom's nose.	Men Tomuň burnuny döwdüm.
>>tuk<< I depend on nobody.	Men hiç kime garaşly däl.
>>tuk<< I did that for you.	Men ony seniñ üçin etdim.
>>tuk<< I have two nephews.	Meniň iki sany oglan ýegenim bar.
>>tuk<< I like to eat nuts.	Men mañyz iýmegi halaýan.
>>tuk<< I live near Boston.	Men Bostonyñ ýanynda ýaşaýaryn.
>>tuk<< I owed Tom nothing.	Meniň Toma hiçhili bergim ýok.
>>tuk<< I saw Tom in there.	Tomy ol ýerde içeride gördüm.
>>tuk<< I saw Tom's father.	Tomuň kakasyny gördüm.
>>tuk<< I say what I think.	Düşünýändigini aýdýaryn.
>>tuk<< I sure do miss Tom.	Men hakykatdan hem Tomy küýseýärin
>>tuk<< I value my privacy.	Şahsy durmuşyma ähmiýet berýärin.
>>tuk<< I was just reading.	Meň diňeje okap otyrdym.
>>tuk<< I won't betray Tom.	Men Toma dönüklik etmerin.
>>tuk<< I'm happy I waited.	Men garaşanym üçin şat.
>>tuk<< I'm on the balcony.	Men balkonda.
>>tuk<< Is it OK if I come?	Men hem gelip bilerinmi?
>>tuk<< Is that too little?	Bu çyndanam kiçijikmi?
>>tuk<< It happened before.	Bu öň bolupdy.
>>tuk<< It seemed very odd.	Bu örän geň göründi.
>>tuk<< It's nice and warm.	Gowy we yssy.
>>tuk<< It's totally wrong.	Bu bütinleýin ýalňyş
>>tuk<< Let's speak French.	Geliň fransuzça güleşeliň
>>tuk<< Move along, please.	Dowam ediñ,haýyş.
>>tuk<< Move out of my way.	Çekil ýolumdan.
>>tuk<< Move out of my way.	Ýolumdan çekiliň.
>>tuk<< My phone's ringing.	Meniň telefonym jyrlaýar.
>>tuk<< Oh, that's a shame.	Ah, nähili utanç.
>>tuk<< People die in wars.	Adamlar söweşlerde öldüler.
>>tuk<< See you in an hour.	Bir sagatdan görüşýänçäk
>>tuk<< Thanks for waiting.	Garaşanyň üçin sag bol.
>>tuk<< Thanks for waiting.	Garaşanyňyz üçin sag boluň.
>>tuk<< This corn is fresh.	Bu däne täze.
>>tuk<< This is a big help.	Bu örän uly kömek.
>>tuk<< Tom barely escaped.	Tom zordan gaçdy.
>>tuk<< Tom died of thirst.	Tom suwsuzlukdan ýogaldy
>>tuk<< Tom has a mustache.	Tomuň murty bar.
>>tuk<< Tom is happy again.	Tom ýene-de şadyýan.
>>tuk<< Tom needs to relax.	Toma dynç almak zerurdyr.
>>tuk<< Tom was born there.	Tom ol ýerde doguldy.
>>tuk<< Tom was unbeatable.	Tom ýeñilmezdi.
>>tuk<< Tom will not do it.	Tom ony etjek däl
>>tuk<< We made sure of it.	Biz munuň anygyna ýetdik.
>>tuk<< We made sure of it.	Biz muny kesgitledik.
>>tuk<< We're running late.	Biz gijä galýarys.
>>tuk<< What's been stolen?	Näme ogurlanan eken?
>>tuk<< What's been stolen?	Näme ogurlanypdyr?
>>tuk<< What's the message?	Maglumat näme?
>>tuk<< What's your theory?	Seniň teoriýaň näme?
>>tuk<< What's your theory?	Siziň teoriýäňyz näme?
>>tuk<< Where are you from?	Sen nireden?
>>tuk<< Where's the shovel?	Hany pil?
>>tuk<< Whose friend is he?	Ol oglan kimiň dosty?
>>tuk<< Why is grass green?	Ot näme üçin ýaşyl?
>>tuk<< Why is grass green?	Ot näme üçin ýaşyl bolýar?
>>tuk<< Why is grass green?	Ot näme üçin ýaşyl reñkde?
>>tuk<< You aren't kidding!	Sen oýun edeňok dälmi!
>>tuk<< You aren't looking.	Sen seredip oturañok.
>>tuk<< You drink too much.	Köp içýärsiň.
>>tuk<< You may use my pen.	Meniň ruçkamy ulanyp bilersiň.
>>tuk<< You may use my pen.	Meniň ruçkamy ulanyp bilersiňiz.
>>tuk<< You seem confident.	Sen özüňe ynamly görünýärsiň.
>>tuk<< You seem confident.	Siz özüňize ynamly görünýärsiňiz.
>>tuk<< You're quite right.	Örän dogry.
>>tuk<< All of us should go.	Biziñ hemmämiz gitmeli
>>tuk<< Allow me to explain.	Maňa düşündirmäne rugsat ber.
>>tuk<< Are you resourceful?	Sen ugurtapyjymy?
>>tuk<< Be true to yourself.	Özüñ bilen dogruçyl bol.
>>tuk<< Do you have a match?	Seniň otluçöpüň barmy?
>>tuk<< Do you have a match?	Otluçöpüň barmy?
>>tuk<< Do you have a match?	Otluçöpüňiz barmy?
>>tuk<< Do you like ravioli?	Börek halaýarmysyň?
>>tuk<< Do you like ravioli?	Börek halaýarmysyňyz?
>>tuk<< Don't cry in public.	Milletiñ arasynda aglama
>>tuk<< Don't lock the door.	Gapyny gulplama
>>tuk<< Everyone was killed.	Hemme kişi öldürilipdi.
>>tuk<< Get your clothes on.	Egin-başyňy geý.
>>tuk<< Give me another one.	Maña başgasyny ber(iñ).
>>tuk<< He bragged about it.	Bu barada öwündi.
>>tuk<< He bragged about it.	Bu barada magtandy.
>>tuk<< He hung up his coat.	Ol onuň paltosyny asdy.
>>tuk<< He is a mean fellow.	Ol ýaman bir adam.
>>tuk<< Here's a short list.	Ine, gysga list.
>>tuk<< How is that spelled?	Bu nädip ýazylýar.
>>tuk<< I could have helped.	Kömek edip bilerdim.
>>tuk<< I denied everything.	Men hemme aýdylany ret etdim.
>>tuk<< I eat a lot of rice.	Men gaty kän tüwi iýýärin
>>tuk<< I have a dictionary.	Meniň sözlügim bar.
>>tuk<< I heard you whisper.	Men seniñ pyşyrdanyñy eşitdim
>>tuk<< I like none of them.	Olaryñ hiç haýsyny halamaýaryn.
>>tuk<< I may not have time.	Meniň wagtym bolman biler.
>>tuk<< I need you here now.	Siz maňa şu wagt şu ýerde gerek.
>>tuk<< I never wear a suit.	Men hiç haçan kostýum jalbar geýemok.
>>tuk<< I saw Tom's picture.	Tomuň suratyny gördüm.
>>tuk<< I saw what happened.	Näme bolandygyny gördüm.
>>tuk<< I saw what was left.	Näme galandygyny gördüm.
>>tuk<< I still feel strong.	Men henizem özümi güýçli duýýan.
>>tuk<< I want to drink tea.	Men çaý içmek isleýän.
>>tuk<< I will be back soon.	Ýakynda ýene-de gelerin.
>>tuk<< I'd prefer red wine.	Men gyzyl wino aljak.
>>tuk<< I'm getting thirsty.	Suwsadym.
>>tuk<< I'm going to buy it.	Men muny satyn aljak bolýan
>>tuk<< It has a hole in it.	Munuň deşigi bar.
>>tuk<< It isn't hard to do.	Muny etmek kyn däl.
>>tuk<< It might take years.	Ýyllary alyp biler.
>>tuk<< It was a tough exam.	Synag örän kyndy.
>>tuk<< It's 2:30 right now.	Edil häzir 2:30.
>>tuk<< It's not that scary.	Bu oñ ýaly gorkuç däl.
>>tuk<< Look at what we did.	Seret biz näme etdik
>>tuk<< Look at what we did.	Seret biziñ eden zadymyza
>>tuk<< Look at what we did.	Näme edenmize seret
>>tuk<< Monkeys climb trees.	Maymynlar agachlara dyrmyshyarlar.
>>tuk<< My whole body hurts.	Meniñ bütin bedenim agyrýar.
>>tuk<< Nobody can beat Tom.	Hiç kim Tomy ýeñip bilmeýär.
>>tuk<< People say I mumble.	Adamlar maňa samraýarsyň diýýärler.
>>tuk<< Pitching isn't easy.	Kriket aňsat däl.
>>tuk<< She studies English.	Iňlis dilini öwrenýär.
>>tuk<< She studies English.	Iňlis dilini okaýar.
>>tuk<< Tell it to the cops.	Muny polisiýa aýt.
>>tuk<< That's good for you.	Ol seniñ üçin gowy.
>>tuk<< That's good for you.	Berekella saña
>>tuk<< That's really great!	Bu hakykatdanam örän gowy.
>>tuk<< That's why Tom came.	Şol sebäpli Tom geldi.
>>tuk<< The eagle flew away.	Bürgüt uçyp gitti.
>>tuk<< The walls were bare.	Diwarlar ýalañaçdy.
>>tuk<< They can't touch me.	Olar maňa degip bilmeýärler.
>>tuk<< They drink too much.	Olar köp içýärler.
>>tuk<< They're still alive.	Olar henizem diri.
>>tuk<< This coffee is good.	Bu gowy kofe.
>>tuk<< This coffee is good.	Bu kofe gowy
>>tuk<< This is a tough one.	Bu-hä gaty kyndyr.
>>tuk<< Tin is a soft metal.	Tin ýumuşak metal
>>tuk<< Tom complimented me.	Tom maňa hoşamaý söz aýtdy.
>>tuk<< Tom has proven that.	Tom ony subut etdi.
>>tuk<< Tom is really funny.	Tom hakykatdan hem şadyýan.
>>tuk<< Tom isn't in charge.	Tomuň mümkinçiligi ýok.
>>tuk<< Tom lived with Mary.	Tom Mery bilen ýaşaýardy.
>>tuk<< Tom praised his son.	Tom ogluny öwdi.
>>tuk<< Tom waited his turn.	Tom öz gezegi ýetýänçä garaşdy.
>>tuk<< Tom was doing drugs.	Tom narkotik ýasaýardy.
>>tuk<< Tom was getting hot.	Tom yssylap başlady.
>>tuk<< Tom's voice is soft.	Tomuň sesi ýumuşak.
>>tuk<< Translate this text.	Şu teksti terjime ediň.
>>tuk<< We need to work now.	Biziň häzir işlemegimiz gerek.
>>tuk<< We need to work now.	Biz häzir işlemeli.
>>tuk<< We won't need money.	Bize pul gerek bolmaz.
>>tuk<< Were you born there?	Ol ýerdemi doguldyñ?
>>tuk<< When can we see you?	Seni haçan görüp bileris?
>>tuk<< Who let you in here?	Seni kim içeri aldy?
>>tuk<< Yes, this is a wine.	Howwa, bu wino.
