>>tam<< I slept.	நான் தூங்கினேன்.
>>tam<< I am engaged to her.	எனக்கு அவளோடு நிச்சயமாகியிருக்கு
>>tam<< I have to leave now.	நான் இப்பொழுது கிளம்ப வேண்டும்
>>tam<< I want to go abroad.	நான் வெளி நாட்டிற்குச் செல்ல விரும்புகிறேன்
>>tam<< I'm glad to see you.	உன்னைப் பார்ப்பதில் நான் மகிழ்ச்சி அடைகிறேன்
>>tam<< I'm proud of my son.	என் மகனைப் பற்றி பெருமைப் படுகிறேன்
>>tam<< I'm taller than you.	நான் உன்னை விட உயரமாக இருக்கிறேன்
>>tam<< I'm trying to sleep.	நான் தூங்குவதற்கு முயற்சி செய்து கொண்டிருக்கிறேன்
>>tam<< It's free of charge.	இதற்கு கட்டணமில்லை
>>tam<< It's time to get up.	தூக்கத்திலிருந்து எழுவதற்கான நேரம் இது
>>tam<< Nobody speaks to me.	என் கூட யாரும் பேசுவதில்லை
>>tam<< Roll the ball to me.	பந்தை என்னிடம் உருட்டி விடு
>>tam<< She boiled the eggs.	அவள் முட்டைகளை வேக வைத்தாள்
>>tam<< She danced with him.	அவள் அவனோடு நடனம் ஆடினாள்
>>tam<< She gave him a book.	அவள் அவனுக்கு ஒரு புத்தகத்தைக் கொடுத்தாள்
>>tam<< She has 2,000 books.	அவளிடம் 2000 புத்தகங்கள் உள்ளன
>>tam<< This apple is sweet.	இந்த ஆப்பிள் இனிப்பாக இருக்கிறது
>>tam<< We swam in the lake.	அவன் ஏரியில் நீச்சலடித்தான்
>>tam<< Come home before six.	ஆறு மணிக்கு முன்பு வீட் டிற்கு வா
>>tam<< Go and see who it is.	போய் யார் என்று பார்
>>tam<< I am afraid of bears.	எனக்குக் கரடிகளைக கண்டால் பயம்
>>tam<< I expect him to come.	அவன் வருவான் என எதிர் பார்க்கிறேன்
>>tam<< It's a piece of cake.	இது ஒரு கேக்கின் துண்டு
>>tam<< The boy began to cry.	அந்த பையன் அழ ஆரம்பித்தான்
>>tam<< You keep out of this.	நீ இதில் தலையிடாதே
>>tam<< All of us were silent.	நாங்கள் அனைவரும் அமைதியாக இருந்தோம்
>>tam<< Be kind to old people.	வயோதிகர்களிடம் அன்பாக இரு
>>tam<< Beware of pickpockets.	ஜேப்படிகாரர்களிடம் ஜாக்கிரதையாக இருக்கவும்
>>tam<< Don't drink and drive.	குடித்துவிட்டு வண்டி ஓட்டாதே
>>tam<< He can read and write.	அவனுக்கு எழுதப் படிக்கத் தெரியும்
>>tam<< He got a lot of money.	அவனுக்கு நிறைய பணம் கிடைத்தது
>>tam<< He has a lot of money.	அவனிடம் நிறைய பணமிருக்கிறது
>>tam<< He is afraid of death.	அவனுக்கு இறந்து போவதென்றால் பயம்
>>tam<< He let go of the rope.	அவன் கயிற்றை விட்டான்
>>tam<< I am tired of my work.	நான் வேலை பளுவினால் சோர்வாகயிருக்கிறேன்
>>tam<< I got out of the taxi.	நான் டாக்ஸியிலிருந்து இறங்கினேன்
>>tam<< None of your business.	இது உங்களுக்கு சம்பந்தமில்லாத விஷயம்
>>tam<< They made fun of Mary.	அவர்கள் மேரியை கிண்டலடித்தார்கள்
>>tam<< Tom and I are friends.	டாமும் நானும் நண்பர்கள்
>>tam<< When is your birthday?	உங்கள் பிறந்த நாள் எப்போது ?
>>tam<< All of them went there.	அவர்கள் எல்லோரும் அங்கே சென்றார்கள்
>>tam<< Can you ride a bicycle?	உங்களுக்கு சைக்கிள் ஓட்டத் தெரியுமா?
>>tam<< Do you want to be rich?	நீ பணக்காரராக விருப்பமா?
>>tam<< He is afraid of snakes.	அவர்களுக்கு பாம்புகள் என்றால் பயம்
>>tam<< He is fond of swimming.	அவனுக்கு நீச்சல் மீது பற்று உண்டு
>>tam<< He went in place of me.	அவன் எனக்குப் பதிலாக சேன்றான்
>>tam<< He's afraid of the sea.	அவனுக்குக் கடல் என்றால் பயம்
>>tam<< I'll leave that to you.	நான் அதை உன்னிடம் விட்டு விடுகிறேன்
>>tam<< It seems she hates you.	அவள் உன்னை வெறுக்கிற மாதிரி தெரிகிறது
>>tam<< She got engaged to him.	அவள் அவனுக்கு நிச்சயிக்கப் பட்டாள்
>>tam<< She got married to him.	அவள் அவனுக்கு திருமணம் செய்து வைக்கப் பட்டாள்
>>tam<< She stood close to him.	அவனுக்கு நெருக்கமாக நின்றாள்
>>tam<< They're about to leave.	அவர்கள் கிளம்ப இருக்கிறார்கள்
>>tam<< This CD belongs to her.	இந்த சீடி அவளுக்குச் சொந்தமானது
>>tam<< We ran after the thief.	நாங்கள் திருடனுக்குப் பின்னால் ஓடினோம்
>>tam<< What do you plan to do?	நீ என்ன செய்யத் திட்டமிட்டிருக்கிறாய்
>>tam<< A square has four sides.	ஒரு சதுரத்திற்கு நான்கு பக்கங்கள் உள்ளன
>>tam<< Charge it to my account.	என்னுடைய கணக்கிற்கு மாற்று
>>tam<< He asked us to help him.	எங்களை உதவி செய்யும்படி கேட்டான்
>>tam<< He is known to everyone.	அவன் ஒவ்வொருவருக்கும் அறிமுகமானவன்
>>tam<< He objected to our plan.	எங்களுடைய திட்டத்திற்கு எதிர்ப்புத் தெரிவித்தான்
>>tam<< I just want you to come.	நீ வர வேண்டுமென விரும்புகிறேன்
>>tam<< I want something to eat.	எனக்கு சாப்பிட ஏதாவது வேண்டும்
>>tam<< Is he a friend of yours?	அவர் உங்களுடைய நண்பரா?
>>tam<< The news quickly spread.	செய்தி வேகமாக பரவியது
>>tam<< I can't find it anywhere.	இது எங்கே இருக்கு என்று என்னால் கண்டுபிடிக்க முடியவில்லை.
>>tam<< I thought you'd be angry.	நீ கோபமாக இருப்பாய் என்று எண்ணினேன்.
>>tam<< Please sit here and wait.	இங்கே அமருங்கள்,தயவு செயது காத்திருங்கள்
>>tam<< She went out of the room.	அவள் அறையை விட்டு வெளியே சென்றாள்
>>tam<< Speak slowly and clearly.	மெதுவாகவும் தெளிவாகவும் பேசுங்கள்
>>tam<< The sky is full of stars.	வானம் முழுவதும் நட்சத்திரங்கள் இருக்கின்றன
>>tam<< Come and see me right now.	உடனே வந்து என்னைப் பார்க்கவும்
>>tam<< Do you have a lot of pens?	உன்னிடம் நிறைய பேனாக்கள் இருக்கின்றனவா?
>>tam<< Go and sit by your father.	போய் உன் தந்தையருகில் அமரவும்
>>tam<< He bought a pair of shoes.	நான் ஒரு ஜோடி காலணிகளை வாங்கினேன்
>>tam<< I live on the bottom floor.	நான் கீழ் தளத்தில் வசிக்கிறேன்
>>tam<< I sat between Tom and John.	டாமுக்கும் ஜானுக்கும் இடையில் அமர்ந்தேன்
>>tam<< She wore a beautiful dress.	அவள் அழகான ஆடை அணிந்திருந்தாள்
>>tam<< Tom is a well-known lawyer.	டாம் ஒரு பிரபலமான வழக்கறிஞர்.
>>tam<< When did you come to Japan?	நீ எப்பொழுது ஜப்பான் வந்தாய்?
>>tam<< Don't tell Tom you're a cop.	நீ காவலன் என்பதை டாமிடம் சொல்லாதே.
>>tam<< Don't think about it. Do it.	அதைப்பற்றி எண்ணிக்கொண்டிருக்காதே. செயல்படு
>>tam<< Most people think I'm crazy.	நிறைய மக்கள் நான் பைத்தியம் என்று எண்ணுகிறார்கள்
>>tam<< I suppose Tom is still alive.	டாம் இன்னும் உயிருடனிருக்கிறான் என்று எண்ணுகிறேன்.
>>tam<< She asked him for some money.	அவனைக் கொஞ்சம் பணம் கேட்டாள்
>>tam<< Tom told me about it himself.	டாம் அதைப் பற்றி அவனே என்னிடம் சொன்னான்.
>>tam<< Do you know when he will come?	அவன் எப்ப வருவான் என்று உனக்குத் தெரியுமா
>>tam<< He painted a picture of a dog.	ஒரு நாயின் படத்தை வரைந்தான்
>>tam<< I arrived ahead of the others.	மற்றவர்களுக்கு முன்னே நான் வந்தேன்
>>tam<< I know every inch of the town.	இந்த ஊரின் ஒவ்வொரு அங்குலமும் எனக்குத் தெரியும்
>>tam<< I'm not sharing this with Tom.	டாமிடம் நான் இதை பகிர்ந்துகொண்டு இருக்கவில்லை.
>>tam<< She is not afraid of anything.	அவள் எதற்கும் பயப்படுவதில்லை
>>tam<< The price of eggs is going up.	முட்டைகளின் விலை அதிகரித்துக் கொண்டிருக்கிறது
>>tam<< Tom picked up the soccer ball.	டாம் கால்பந்தை எடுத்தார்.
>>tam<< Tom worked as a postal worker.	டாம் ஒரு தபால் ஊழியராக பணிபுரிந்தார்.
>>tam<< What is the price of this cap?	இந்த தொப்பியின் விலை என்ன?
>>tam<< Which of them is your brother?	இவர்களில் யார் உன்னுடைய சகோதரர்
>>tam<< Why did you make that mistake?	ஏன் அந்தத் தவறைச் செய்தாய்?
>>tam<< He arrived after the bell rang.	மணி ஒலித்தப் பிறகு அவன் வந்தான்
>>tam<< He was not aware of the danger.	அவன் அபாயத்தை அறிந்திருக்க வில்லை
>>tam<< My throat hurts when I swallow.	சின்ன கேக்குத் துண்டு அவள் தொண்டையில் சிக்கிக் கொண்டது
>>tam<< The school looks like a prison.	இந்த பள்ளி கூடம் ஒரு சிறைச்சாலையைப் போல இருக்கிறது
>>tam<< You're not old enough to drink.	மது அருந்தும் வயதல்ல உங்களது
>>tam<< I'm not sure how to answer this.	எப்படி பதில் சொல்வது என்பதில் நான் உறுதியாக இல்லை.
>>tam<< There's no easy way out of here.	இங்கிருந்து வெளியே செல்ல சுலபமான வழியில்லை.
>>tam<< Three vicious dogs attacked Tom.	மூன்று மோசமான நாய்கள் டாமை தாக்கின
>>tam<< Tom looks much younger than you.	டாம் உங்களை விட இளையவராக தெரிகிறார்.
>>tam<< Tom wants me to do that for him.	நான் அவனுக்காக அதைச் செய்ய வேண்டும் என்று டாம் விரும்புகிறார்.
>>tam<< Tom was in Australia a year ago.	டாம் ஒரு வருடத்திற்கு முன்னால் ஆஸ்திரேலியாவில் இருந்தார்
>>tam<< When did the wedding take place?	கல்யாணம் எப்பொழுது நடைப் பெற்றது
>>tam<< Where do you keep your passport?	நீ பாஸ்போர்ட்டைஎங்கே வைத்திருக்கிறாய்?
>>tam<< Because he's sick, he can't come.	அவனுக்கு உடல் நிலை சரியில்லாததனால் அவனால் வர இயலாது
>>tam<< Friendship requires mutual trust.	நட்புக்குத் தேவை பரஸ்பர நம்பிக்கை
>>tam<< He put the ring on Mary's finger.	அவன் மேரியின் விரலில் மோதிரத்தை அணிவித்தான்
>>tam<< She glanced through the magazine.	அவள் பத்திரிக்கையை மேலோட்டமாகப் பார்த்தாள்
>>tam<< Tom has been crying all afternoon.	டாம் மதியம் முழுவதும் அழுதுகொண்டேயிருக்கிறான்.
>>tam<< Tom has been in contact with Mary.	டாம் மேரியுடன் தொடர்பிலிருந்துருக்கிறான் அல்லது டாம் மேரியுடன் தொடர்பிலிருக்கிறான்.
>>tam<< I want to be a pilot in the future.	நான் எதிர் காலத்தில் ஒரு விமானியாக விரும்புகிறேன்
>>tam<< If Tom ran away, where could he go?	டாம் ஓடிவிட்டால், அவரால் எங்கு செல்ல முடியும்?
>>tam<< I had my pocket picked on the train.	இரயிலில் என்னிடம் ஜேப்படி அடிக்கப் பட்டிருந்தது
>>tam<< He told her something and she smiled.	அவன் அவளிடம் ஏதோ சொன்னான் மற்றும் அவள் சிரித்தாள்.
>>tam<< I don't like to go out when it's dark.	இருட்டாக இருக்கும் பொழுது நான் வெளியே போக விரும்புவதில்லை.
>>tam<< When he spoke, everyone became silent.	அவன் பேசியப் பொழுது எல்லோரும் அமைதி காத்தார்கள்
>>tam<< Tom drank with us until after midnight.	டாம் நள்ளிரவு வரை எங்களுடன் குடித்தார்.
>>tam<< I paid 40,000 yen for this tape recorder.	இந்த நாடாப்பதிவுக்கருவிக்கு 40,000 யென் செலுத்தினேன்.
>>tam<< She has never been in a car driven by him.	அவன் ஒட்டினக் காரில் அவள் எப்பொழுதும் இருந்ததில்லை
>>tam<< Tom goes to church with Mary every Sunday.	டாம் மேரியுடன் ஒவ்வொரு ஞாயிற்றுக் கிழமையும் தேவாலயத்துக்குச் செல்கிறான்.
>>tam<< I don't think people use that word anymore.	மக்கள் அந்த வார்த்தையைப் பயன் படுத்துவதாக எனக்குத் தெரியவில்லை
>>tam<< My younger sister got married in her teens.	என் தங்கை இள வயதிலேய கல்யாணம் செய்து கொண்டாள்
>>tam<< I spend a lot of time doing things like this.	இதுபோன்ற செயல்களைச் செய்வதில் நான் நிறைய நேரம் செலவிடுகிறேன்.
>>tam<< Were you the one who told Tom not to do that?	நீங்களா டொமிடம் அதை செய்ய வேண்டாம் என சொன்னது.
>>tam<< I wonder why Tom suggested we do that together.	ஏன் டாம் நாமிருவரும் சேர்ந்து செய்வோமென்று பரிந்துரைத்தான் என்று ஆச்சரியமடைகிறேன்.
>>tam<< Tom says he doesn't think he can do that by himself.	என் ஒருவனால் மட்டுமே அதை செய்ய முடியாது என்று நினைக்கிறேன் என டாம் கூறினார்
>>tam<< People who live in glass houses shouldn't throw stones.	கண்ணாடி வீட்டில் வசிப்பவகள் கல்லை எறியக் கூடாது
>>tam<< It's been a long time since I've heard anyone use that word.	ஒருவர் அந்த வார்த்தையைப் பயன் படுத்துவதைக் கேட்டு ரொம்ப நாளாகிறது
>>tam<< If you want your workers to be happy, you need to pay them a decent wage.	உங்களுடைய வேலையாட்கள் மகிழ்ச்சியாக இருக்க வேண்டுமென்றால் நீங்கள் கணிசமான சம்பளம் தர வேண்டும்
>>tam<< It's my fault that the cake was burned. I was talking on the phone and didn't notice the time.	என்னுடையத் தவறினால் கேக்கானதுக் கருகிப் போனது.தோலைப் பேசியில் பேசிக் கொண்டிருந்ததால் நேரத்தைக் கவனிக்க வில்லை
