>>cat<< Wow!	Carai!
>>cat<< It was worth it.	Valia la pena.
>>cat<< It's your fault.	És culpa teva.
>>cat<< Never forget it.	No ho oblidis mai.
>>cat<< She admired him.	Ella l'admirava.
>>cat<< This is a peach.	Això és un préssec.
>>cat<< Tom turned blue.	El Tom va posar-se blau.
>>cat<< Was it worth it?	Ha valgut la pena?
>>cat<< We're not tired.	No ens hem cansat.
>>cat<< What great news!	Quina bona nova!
>>cat<< Who are you all?	Qui sou tots vosaltres?
>>cat<< Who are you all?	Qui sou totes vosaltres?
>>cat<< You let me down.	M'has decebut.
>>cat<< You're worth it.	Vals la pena.
>>cat<< 5 is less than 8.	5 són menys que 8.
>>cat<< Are you an idiot?	Ets idiota?
>>cat<< Are you blushing?	Que t'enrojoles?
>>cat<< Are you finished?	Has acabat?
>>cat<< Do you wanna bet?	Apostes?
>>cat<< Go to sleep, Tom.	Ves a dormir, Tom
>>cat<< Go to sleep, Tom.	A dormir, Tom.
>>cat<< Go to sleep, Tom.	Ves al llit, Tom.
>>cat<< Go to sleep, Tom.	Cap al llit, Tom.
>>cat<< Have you decided?	T'has decidit?
>>cat<< Have you had tea?	Ja heu sopat?
>>cat<< He hates spiders.	Ell avorreix les aranyes.
>>cat<< Here is your bag.	Aquí és la teva bossa.
>>cat<< Here is your bag.	Ací està la teua bossa.
>>cat<< Here is your bag.	Ací tens la teua bossa.
>>cat<< Hope hasn't died.	Espero que no hagi mort.
>>cat<< I am now on duty.	Ara estic de servei.
>>cat<< I ate the cheese.	Em vaig menjar el formatge.
>>cat<< I hate chemistry.	Odio la química.
>>cat<< I have a problem.	Tinc un problema.
>>cat<< I have a problem.	Tinc un maldecap.
>>cat<< I have no family.	No tinc família.
>>cat<< I like traveling.	M'agrada viatjar.
>>cat<< I lost my wallet.	He perdut la cartera.
>>cat<< I want a big dog.	Vull un gos gran.
>>cat<< I work in a bank.	Jo treballo a un banc.
>>cat<< I wrote a letter.	Vaig escriure una carta.
>>cat<< I'm already late.	Ja faig tard.
>>cat<< I'm not a doctor.	Jo no sóc metge.
>>cat<< I'm right-handed.	Soc dretà.
>>cat<< Is he still here?	Ell encara es aquí?
>>cat<< It's not so easy.	No és tan fàcil.
>>cat<< It's really loud.	És molt fort.
>>cat<< It's worth a try.	Val la pena provar-ho.
>>cat<< It's worth a try.	Val la pena intentar-ho.
>>cat<< Let go of my arm.	Deixa'm anar el braç.
>>cat<< She lives nearby.	Viu aquí prop.
>>cat<< The cat is brown.	El gat és marró.
>>cat<< They are artists.	Ells són artistes.
>>cat<< They're my books.	Són els meus llibres.
>>cat<< This is your dog.	Aquest és el teu gos.
>>cat<< Tom isn't hungry.	Tom no té fam.
>>cat<< Tom sounds angry.	Sembla que en Tom està emprenyat.
>>cat<< Tom walked alone.	En Tom caminava sol.
>>cat<< Tom writes books.	En Tom escriu llibres.
>>cat<< We want a lawyer.	Volem un advocat.
>>cat<< What is going on?	Què hi ha?
>>cat<< What is going on?	Què passa?
>>cat<< Where's the exit?	On és la sortida?
>>cat<< Who are you with?	Amb qui estàs?
>>cat<< Who are you with?	Amb qui esteu?
>>cat<< Why are you here?	Perquè estàs aquí?
>>cat<< Are you going out?	Sortireu?
>>cat<< Do you want to go?	Et vols anar?
>>cat<< Do you wish to go?	Et vols anar?
>>cat<< Don't be like Tom.	No siguis com en Tom.
>>cat<< Everybody laughed.	Tothom rigué.
>>cat<< Have you seen her?	L'has vista?
>>cat<< He has brown eyes.	Té els ulls marrons.
>>cat<< He went back home.	Ell va tornar a casa.
>>cat<< I also kissed Tom.	Jo també vaig petonejar en Tom.
>>cat<< I have an earache.	Tinc otitis.
>>cat<< I have black eyes.	Tinc els ulls negres.
>>cat<< I have brown hair.	Tinc els cabells castanys.
>>cat<< I know those bars.	Jo conec aqueixos bars.
>>cat<< I think he did it.	Crec que ho va fer ell.
>>cat<< I want to see you.	Vull veure't.
>>cat<< I will go on foot.	M'aniré caminant.
>>cat<< I'm a bit nervous.	Estic un poc nerviós.
>>cat<< I'm a salesperson.	Sóc venedor.
>>cat<< I'm always hungry.	Sempre tinc fam.
>>cat<< I'm always hungry.	Sempre tinc gana.
>>cat<< I'm not a teacher.	No soc professora.
>>cat<< Let me have a try.	Deixa'm intentar-ho.
>>cat<< Look into my eyes.	Mira'm als ulls.
>>cat<< Nobody is perfect.	Ningú és perfecte.
>>cat<< Peaches are sweet.	Els préssecs tenen un gust dolç.
>>cat<< She has long hair.	Ella té el cabell llarg.
>>cat<< She hates carrots.	Ella odia les carrotes.
>>cat<< She hates carrots.	Ella odia les pastanagues.
>>cat<< She hates carrots.	Ella odia les safanòries.
>>cat<< She hates running.	Ella odia córrer.
>>cat<< Silence is golden.	Callar val tant com l'or.
>>cat<< That book is mine.	Aquell llibre és meu.
>>cat<< That's ridiculous!	Allò és ridícul!
>>cat<< That's ridiculous.	Allò és ridícul.
>>cat<< The sun is a star.	El sol és una estrella.
>>cat<< They're my guests.	Són els meus convidats.
>>cat<< This is a picture.	Això és una foto.
>>cat<< Tom chickened out.	En Tom es va acollonir.
>>cat<< Tom chickened out.	En Tom es va cagar.
>>cat<< Tom chickened out.	A en Tom li va agafar cangueli.
>>cat<< Tom doesn't drink.	Tom no beu.
>>cat<< Tom has a podcast.	En Tom té un podcast.
>>cat<< Tom hates himself.	En Tom s'odia a si mateix.
>>cat<< Tom hates himself.	En Tom s'odia.
>>cat<< Tom hates himself.	En Tom s'odia a ell mateix.
>>cat<< Tom is ridiculous.	En Tom és ridícul.
>>cat<< Tom lacks courage.	A en Tom li falta coratge.
>>cat<< We're watching TV.	Estem mirant la televisió.
>>cat<< What have we done?	Que hem fet?
>>cat<< What's that worth?	Què val això?
>>cat<< When do you study?	Quan estudies?
>>cat<< When was she born?	Quan va néixer?
>>cat<< Why is snow white?	Per què és blanca la neu?
>>cat<< You can trust him.	Pots confiar en ell.
>>cat<< You need to hurry.	T'has d'afanyar.
>>cat<< You weren't wrong.	No estaves equivocat.
>>cat<< You're a good boy.	Ets un bon noi.
>>cat<< You're ridiculous.	Ets ridícul.
>>cat<< You're ridiculous.	Ets ridícula.
>>cat<< All men are mortal.	Tots els homes son mortals.
>>cat<< Are you hungry now?	Tens fam, ara?
>>cat<< Are you hungry now?	Teniu fam, ara?
>>cat<< Are you hungry now?	Ara tens fam?
>>cat<< Cats have whiskers.	Els gats tenen bigotis.
>>cat<< Come along with me.	Acompanya'm.
>>cat<< Do it by all means.	Fes-ho com sigui.
>>cat<< Do it by all means.	Fes-ho peti qui peti.
>>cat<< Everyone loves him.	Tots l'estimen.
>>cat<< Exercise every day.	Fes exercici cada dia.
>>cat<< He is a clever boy.	És un noi despert.
>>cat<< He lost his memory.	Va perdre la memòria.
>>cat<< I already said yes.	Ja he dit que sí.
>>cat<< I don't have a cat.	No tinc cap gat.
>>cat<< I don't want sugar.	No vull sucre.
>>cat<< I have lost my key.	He perdut la meva clau.
>>cat<< I know Tom's widow.	Conec la vídua d'en Tom.
>>cat<< I made her a dress.	Li vaig fer un vestit.
>>cat<< I want to meet you.	Vull veure't.
>>cat<< I wrote a cookbook.	Vaig escriure un llibre de cuina.
>>cat<< I'm gaining weight.	Estic guanyant pes.
>>cat<< Is it worth fixing?	Val la pena arreglar-ho?
>>cat<< Is that real money?	Això són diners de veritat?
>>cat<< Is this book yours?	Aquest llibre és teu?
>>cat<< It was a nightmare.	Va ser un malson.
>>cat<< It was an easy win.	Va ser una victòria fàcil.
>>cat<< It's not difficult.	No és pas difícil.
>>cat<< It's very hot here.	Aquí fa molta calor.
>>cat<< It's very symbolic.	És molt simbòlic.
>>cat<< It's very symbolic.	És molt simbòlica.
>>cat<< Let's go with them.	Anem amb ells.
>>cat<< Mary is a feminist.	La María és feminista.
>>cat<< My mother is angry.	La meva mare està empipada.
>>cat<< My shoes are brown.	Les meves sabates són marrons.
>>cat<< Please stop eating.	Si us plau, deixi de menjar.
>>cat<< Please stop eating.	Si us plau, deixa de menjar.
>>cat<< She has brown eyes.	Té els ulls marrons.
>>cat<< Shut up and listen!	Calla i escolta!
>>cat<< Shut up and listen.	Calla i escolta!
>>cat<< Stay out of my way.	Fora del meu camí!
>>cat<< That's pure racism.	Això és racisme pur!
>>cat<< The water was warm.	L'aigua estava calenta.
>>cat<< This coat fits you.	Aquest abric et queda bé.
>>cat<< This is ridiculous!	Això és ridícul!
>>cat<< This is ridiculous.	Això és ridícul.
>>cat<< This isn't for you.	Això no és per a tu.
>>cat<< Tom is a silly man.	En tom és un ximplet.
>>cat<< We look ridiculous.	Ens veiem ridícules.
>>cat<< We look ridiculous.	Ens veiem ridículs.
>>cat<< We were introduced.	Ens van presentar.
>>cat<< We'll convince Tom.	Convencerem en Tom.
>>cat<< What awful weather!	Quin temps tan dolent!
>>cat<< What's the problem?	Quin problema hi ha?
>>cat<< What's your secret?	Quin és el teu secret?
>>cat<< Who has a question?	Algú té alguna pregunta?
>>cat<< Are you a policeman?	Ets policia?
>>cat<< Delete that picture.	Suprimeix aquesta imatge.
>>cat<< Delete that picture.	Esborra aquesta fotografia.
>>cat<< Europe is in crisis.	Europa està en crisi.
>>cat<< Everybody loves him.	Tots l'estimen.
>>cat<< Have a good weekend!	Bon cap de setmana!
>>cat<< Have you had dinner?	Ja heu sopat?
>>cat<< He went to the shop.	Ell va anar a la tenda.
>>cat<< He'll return at six.	Tornarà a les sis.
>>cat<< He's the oldest son.	Ell és el fill gran.
>>cat<< His shoes are brown.	Les seves sabates són marrons.
>>cat<< I can see the light.	Puc veure la llum.
>>cat<< I could barely walk.	Amb prou feines podia caminar.
>>cat<< I drank all my milk.	Vaig beure'm tota la meva llet.
>>cat<< I like taking walks.	M'agrada caminar.
>>cat<< I love this picture.	M'encanta aquesta foto.
>>cat<< I should've checked.	Ho hauria d'haver comprovat.
>>cat<< I think I need help.	Crec que necessito ajuda.
>>cat<< I want to stay here.	Vull quedar-me aquí.
>>cat<< I'd like to go home.	Vull anar a casa.
>>cat<< I'll call him later.	Li cridaré més tard.
>>cat<< I've got a question.	Tinc una pregunta.
>>cat<< Is college worth it?	Val la pena la universitat?
>>cat<< Is this worth doing?	Val la pena fer-ho?
>>cat<< It was worth trying.	Valia la pena intentar-ho.
>>cat<< It's not worth much.	No val gaire.
>>cat<< Look at the picture.	Mira la foto.
>>cat<< Peaches taste sweet.	Els préssecs tenen un gust dolç.
>>cat<< She has a white cat.	Ella té un gat blanc.
>>cat<< She raised her hand.	Ella va aixecar la mà.
>>cat<< She raised her hand.	Ella va alçar la mà.
>>cat<< She raised her hand.	Ella alçà la mà.
>>cat<< She raised her hand.	Va alçar la mà.
>>cat<< That bottle is full.	Aquella ampolla és plena.
>>cat<< The bicycle is mine.	La bicicleta és meva.
>>cat<< These are our books.	Són els nostres llibres.
>>cat<< They were satisfied.	Estaven satisfets.
>>cat<< They were satisfied.	Estaven cofois.
>>cat<< Those are our books.	Són els nostres llibres.
>>cat<< Wash the vegetables.	Neteja les verdures.
>>cat<< What would you like?	Què desitja vostè?
>>cat<< When did you arrive?	Quan vas arribar?
>>cat<< When will we arrive?	Quan arribarem?
>>cat<< When will you leave?	Quan te'n vas?
>>cat<< Where are you going?	A on vas?
>>cat<< Where's the ketchup?	On és el quetxup?
>>cat<< Who let you come in?	Qui t'ha deixat entrar?
>>cat<< Who let you come in?	Qui us ha deixat entrar?
>>cat<< Who let you come in?	Qui us ha deixat passar?
>>cat<< Who let you come in?	Qui t'ha deixat passar?
>>cat<< Will Tom protect us?	En Tom ens protegirà?
>>cat<< You disappointed me.	M'has decebut.
>>cat<< You have to confess.	Has de confessar.
>>cat<< Your father is tall.	Ton pare és alt.
>>cat<< Your shoes are here.	Les teves sabates són aquí.
>>cat<< Are you afraid of me?	Que tens por de mi?
>>cat<< Are you following me?	M'estàs seguint?
>>cat<< Are you right-handed?	Ets dretà?
>>cat<< Are you right-handed?	Ets dretana?
>>cat<< Birds fly in the sky.	Els ocells volen pel cel.
>>cat<< Can he speak English?	Que parla anglès, ell?
>>cat<< Didn't you know that?	No ho sabies?
>>cat<< Do you have a camera?	Tens càmera fotogràfica?
>>cat<< Do you live in Tokyo?	Vius a Tokyo?
>>cat<< Do you understand me?	M'entens?
>>cat<< Do you want to leave?	Et vols anar?
>>cat<< Don't worry about me.	No et preocupis per mi.
>>cat<< Fish live in the sea.	Els peixos viuen al mar.
>>cat<< Give me those gloves.	Dona'm aquests guants.
>>cat<< Good night, everyone!	Bona nit a tothom!
>>cat<< He is a good athlete.	Ell és un bon atleta.
>>cat<< He knows how to swim.	Ell sap nedar.
>>cat<< He looked very happy.	Ell semblava molt feliç.
>>cat<< He lost his eyesight.	Va perdre la vista.
>>cat<< I bought some stamps.	Vaig comprar alguns segells.
>>cat<< I called my attorney.	Vaig trucar la meva advocada.
>>cat<< I called my attorney.	Vaig trucar el meu advocat.
>>cat<< I dislike big cities.	No m'agraden les ciutats grans.
>>cat<< I don't like peaches.	No m'agraden els préssecs.
>>cat<< I don't want to live.	No vull viure.
>>cat<< I don't want to work.	No vull treballar.
>>cat<< I have a sore throat.	Tinc mal de coll.
>>cat<< I have two daughters.	Tinc dues filles.
>>cat<< I lost consciousness.	Vaig perdre la consciència.
>>cat<< I waited over a week.	Vaig esperar més d'una setmana.
>>cat<< I wasn't asking that.	No he preguntat això.
>>cat<< I'm an office worker.	Sóc un oficinista.
>>cat<< I'm glad you're here.	M'alegra que estigues ací.
>>cat<< I'm glad you're here.	M'alegra que estigueu ací.
>>cat<< Is it worth watching?	Val la pena veure-ho?
>>cat<< Is that your bicycle?	Esta és la teua bicicleta?
>>cat<< It is free of charge.	És gratuït.
>>cat<< It's a piece of cake.	Això és bufar i fer ampolles.
>>cat<< It's a scary thought.	És un pensament esfereïdor.
>>cat<< It's really annoying.	És realment molest.
>>cat<< It's worth exploring.	Val la pena explorar-ho.
>>cat<< Many trees fell down.	Van caure molts arbres.
>>cat<< She picked up a coin.	Va agafar una moneda.
>>cat<< She sent me a letter.	Ella em va enviar una carta.
>>cat<< Sorry for being late.	Perdó pel retard.
>>cat<< Take another picture.	Fes una altra foto.
>>cat<< That's a bright idea.	És una idea brillant.
>>cat<< The ground seems wet.	El sòl sembla mullat.
>>cat<< The photo was a hoax.	La foto era un bluf.
>>cat<< The photo was a hoax.	La foto era una enganyifa.
>>cat<< The photo was a hoax.	La foto era un frau.
>>cat<< The photo was a hoax.	La foto era falsa.
>>cat<< They got off the bus.	Ells van baixar de l'autobús.
>>cat<< Tom always says that.	Tom sempre diu això.
>>cat<< Tom doesn't watch TV.	En Tom no mira la tele.
>>cat<< Tom eats very little.	En Tom menja molt poc.
>>cat<< Tom looks ridiculous.	En Tom es veu ridícul.
>>cat<< Tom ran out of money.	En Tom es va quedar sense calés.
>>cat<< We have a lot of fun.	Ens divertim molt.
>>cat<< We're not the police.	No som la policia.
>>cat<< We've all been there.	Tots hi hem estat, allà.
>>cat<< We've all been there.	Tots hem viscut això.
>>cat<< What if they said no?	Què si diuen que no?
>>cat<< Where will Tom sleep?	On dormirà en Tom?
>>cat<< Who wrote the letter?	Qui ha escrit la carta?
>>cat<< Who's coming with me?	Qui ve amb mi?
>>cat<< Would you like to go?	Et vols anar?
>>cat<< You can come with me.	Pots venir amb mi.
>>cat<< You have to help her.	Heu d'ajudar-la.
>>cat<< You're a good person.	Eres bona persona.
>>cat<< Your son is a genius.	El vostre fill és un geni.
>>cat<< Are you expecting Tom?	Esperes en Tomàs?
>>cat<< Brad Pitt is an actor.	El Brad Pitt és un actor.
>>cat<< Can you all come here?	Que podeu venir aquí?
>>cat<< Do you have two books?	Tens dos llibres?
>>cat<< Does he speak English?	Que parla anglès, ell?
>>cat<< Does he speak English?	Parla anglès?
>>cat<< Does he speak English?	Ell parla anglès?
>>cat<< Does your mother know?	Ho sap la teua mare?
>>cat<< Everything is perfect.	Tot està perfecte.
>>cat<< Have you eaten dinner?	Ja heu sopat?
>>cat<< Have you ever done it?	Ho has fet mai?
>>cat<< Have you ever done it?	Ho has fet algun cop?
>>cat<< His house was on fire.	La seva casa està en flames.
>>cat<< I don't have time now.	Ara no tinc temps.
>>cat<< I have to go to sleep.	He d'anar a dormir.
>>cat<< I knew you were lying.	Sabia que menties.
>>cat<< I know these students.	conec aquests estudiants.
>>cat<< I was alone, studying.	Estava sol, estudiant.
>>cat<< I went to the station.	Vaig anar a l'estació.
>>cat<< I'd like some aspirin.	Voldria una aspirina.
>>cat<< I'd like to go abroad.	M'agradaria anar a l'estranger.
>>cat<< I'm not afraid of you.	No em fas por.
>>cat<< Is it worth repairing?	Val la pena arreglar-ho?
>>cat<< It was done in a rush.	Es va fer de pressa.
>>cat<< It was done in a rush.	Es va fer a corre-cuita.
>>cat<< It's a quarter to two.	Són tres quarts de dues.
>>cat<< Money opens all doors.	Els diners obren totes les portes.
>>cat<< Nobody understands me.	Ningú no m'entén.
>>cat<< She is a good swimmer.	És una bona nedadora.
>>cat<< Stop talking nonsense.	Deixa de dir bajanades.
>>cat<< Thanks for everything.	Mercès per tot.
>>cat<< The girl said nothing.	La nena no va dir res.
>>cat<< They don't seem happy.	No semblen feliços.
>>cat<< Those are empty words.	Són paraules buides.
>>cat<< Tom likes Indian food.	A en Tom li agrada el menjar indi.
>>cat<< Tom looked ridiculous.	En Tom es veia ridícul.
>>cat<< Tom was afraid to die.	En Tom temia la mort.
>>cat<< We have two daughters.	Tenim dues filles.
>>cat<< We have yellow apples.	Nosaltres tenim les pomes grogues.
>>cat<< What are you planning?	Què planeges?
>>cat<< What horrible weather!	Quin temps tan dolent!
>>cat<< What's inside the box?	Què hi ha a la caixa?
>>cat<< What's inside the box?	Què hi ha dins la caixa?
>>cat<< What's wrong with you?	Què et passa?
>>cat<< When will they arrive?	Quan arribaran?
>>cat<< Who built the snowman?	Qui ha fet el ninot de neu?
>>cat<< You should eat slower.	Has de menjar més a poc a poc.
>>cat<< You should've stopped.	T'hauries d'haver aturat.
>>cat<< You understand, right?	Ho entens, oi?
>>cat<< You're taller than me.	Ets més alt que jo.
>>cat<< Are you coming with us?	Vens amb nosaltres?
>>cat<< Are you falling for me?	T'estàs penjant de mi?
>>cat<< Bring me a moist towel.	Porta'm una tovallola humida.
>>cat<< Can I eat on the plane?	Puc menjar a l'avió?
>>cat<< Can you guys come here?	Que podeu venir aquí?
>>cat<< Come whenever you like.	Vingui quan vulgui.
>>cat<< Come whenever you like.	Veniu quan vulgueu.
>>cat<< Come whenever you like.	Vine quan vulguis.
>>cat<< Did you have breakfast?	Ja has esmorzat?
>>cat<< Did you wash your hair?	T'has rentat els cabells?
>>cat<< Do you like this music?	T'agrada aquesta música?
>>cat<< Does the bus stop here?	L'autobús para ací?
>>cat<< Have you had breakfast?	Ja has esmorzat?
>>cat<< I didn't buy this book.	No vaig comprar aquest llibre.
>>cat<< I live alone in Boston.	Visc sola a Boston.
>>cat<< I live alone in Boston.	Visc sol a Boston.
>>cat<< I think Tom isn't home.	Crec que en Tom no està a casa.
>>cat<< I think he has done it.	Crec que ell ho ha fet.
>>cat<< I want to get a tattoo.	Em vull tatuar.
>>cat<< I'd like to rent a car.	Voldria llogar un cotxe.
>>cat<< I'll find the solution.	Hi trobaré la solució.
>>cat<< I'm not angry with you.	No estic enfadada amb tu.
>>cat<< I'm on my way to Tom's.	Estic de camí a can Tom.
>>cat<< I'm pretty tired today.	Hui estic ben cansada.
>>cat<< I'm sorry to hear that.	Em sap greu escoltar això.
>>cat<< Is rainwater drinkable?	Es pot beure l'aigua de la pluja?
>>cat<< It's not too hot today.	Avui no fa gaire calor.
>>cat<< It's worth considering.	Val la pena considerar-ho.
>>cat<< May I introduce myself?	Puc presentar-me?
>>cat<< My dog's breath stinks.	El meu gos té mal alè.
>>cat<< Rainy days make me sad.	Els dies de pluja em posen trist.
>>cat<< She can speak Japanese.	Ella sap parlar japonès.
>>cat<< She gave him a present.	Ella li va donar un regal.
>>cat<< She's lost her car key.	Ella va perdre les claus del seu cotxe.
>>cat<< She's lost her car key.	Ella va perdre la clau del seu cotxe.
>>cat<< She's lost her car key.	Va perdre les claus del seu cotxe.
>>cat<< She's lost her car key.	Va perdre les claus del cotxe.
>>cat<< That's worth repeating.	Val la pena repetir-ho.
>>cat<< They have enough money.	Tenen prou diners.
>>cat<< They will not eat meat.	No menjaran carn.
>>cat<< This is worth studying.	Val la pena estudiar-ho.
>>cat<< Tom wants to be famous.	Tom vol ser famós.
>>cat<< We have to act quickly.	Hem d'actuar ràpid.
>>cat<< We have to obey orders.	Hem d'obeir ordres.
>>cat<< Who are you talking to?	Amb qui esteu parlant?
>>cat<< Are there any questions?	Hi ha preguntes?
>>cat<< Are you falling for Tom?	T'estàs penjant d'en Tomàs?
>>cat<< Ask me something easier.	Pregunta'm una cosa més fàcil.
>>cat<< Do you have a cellphone?	Tens un mòbil?
>>cat<< Do you have my passport?	Tens el meu passaport?
>>cat<< Have you had dinner yet?	Ja heu sopat?
>>cat<< He died three years ago.	Va morir fa tres anys.
>>cat<< He's better than us all.	Ell és millor que tots nosaltres.
>>cat<< I don't like big cities.	No m'agraden les ciutats grans.
>>cat<< I felt like I would die.	Sentia que em moriria.
>>cat<< I had a light breakfast.	Vaig esmorzar lleuger.
>>cat<< I hope that I can do it.	Espere poder-ho fer.
>>cat<< I listened to her story.	Vaig escoltar la història d'ella.
>>cat<< I remember what he said.	Recordo el que va dir.
>>cat<< I think Tom is reliable.	Em penso que en Tom és confiable.
>>cat<< I want to see the ocean.	Vull veure l'oceà.
>>cat<< I was warned about this.	Hom me'n va advertir.
>>cat<< I won't see him anymore.	No el veuré mai més.
