>>ceb<< Hello!	Oy!
>>ceb<< Please fix the iron.	Itarong ra ko sa plancha.
>>ceb<< Please have a drink.	Tagay palihog.
>>ceb<< Please just go away.	Palihog hawa lang.
>>ceb<< Please sell me that.	Ibaligya intawon na ngari nako.
>>ceb<< The engine is noisy.	Kasaba ba sa motor.
>>ceb<< Tom can't be killed.	Dili mapatay si Tom.
>>ceb<< Tom decided to wait.	Nakahukom si Tom nga magpaabot.
>>ceb<< Tom reserved a seat.	Ga-reserba si Tom ug malingkuran.
>>ceb<< Where are you going?	Asa ka moadto?
>>ceb<< Do you speak English?	Makainingles ka?
>>ceb<< I crossed the street.	Nilabang ko sa kalsada.
>>ceb<< I want to please you.	Gusto ko malipayon ka.
>>ceb<< Please don't hang up.	Palihog ayawg ibutang.
>>ceb<< Please don't hurt me.	Ayaw intawon ko pasakiti.
>>ceb<< Please drop in on us.	Hapit intawon namo.
>>ceb<< Please eat something.	Palihog ayaw usag kaon.
>>ceb<< Please read it again.	Basaha palihog og usob.
>>ceb<< Tom didn't act alone.	Dili to inusarang gibuhat ni Tom.
>>ceb<< Tom is not my cousin.	Dili ig-agaw nako si Tom.
>>ceb<< Tom still works here.	Si Tom nagtrabaho gihapon diri.
>>ceb<< Tom tried and failed.	Gisulayan og buhat ni Tom apan pakyas.
>>ceb<< How long did you stay?	Unsa ka kadugaya didto?
>>ceb<< I trained really hard.	Gibansay jud nako pag-ayo.
>>ceb<< I understand the rule.	Kasabot ko sa mga lagda.
>>ceb<< It was nobody's fault.	Walay sad-an sa nahitabo.
>>ceb<< Please don't tell Tom.	Ayaw intawon tug-ani si Tom.
>>ceb<< She is afraid of cats.	Mahadlok siyag iring.
>>ceb<< Tom sold Mary his car.	Gibaligya ni Tom ang iyang sakyanan kang Mary.
>>ceb<< Why is Tom here today?	Nganong naa si Tom karon?
>>ceb<< Call them this evening.	Tawaga sila karong gabi-i.
>>ceb<< I don't have any money.	Wala na jud koy kwarta.
>>ceb<< I don't speak Japanese.	Dili ko makahinapon.
>>ceb<< It's really noisy here.	Saba kaayo diri.
>>ceb<< Tom is on the roof now.	Si Tom kay tua sa atop karon.
>>ceb<< Tom is on the roof now.	Si Tom ay nasa bubong ngayon.
>>ceb<< Wait for a few seconds.	Wetsa.
>>ceb<< You should be arrested.	Angay kang arestohon.
>>ceb<< Tom seldom writes to us.	Panagsa ra magsuwat si Tom kanamo.
>>ceb<< You asked for my advice.	Nagpakitambag ka kanako.
>>ceb<< Do you know how to do it?	Kamao ka?
>>ceb<< I don't like you anymore.	Wala na koy gusto nimo.
>>ceb<< I'm living in Boston now.	Napuyo ko ron sa Boston.
>>ceb<< It's my fault, not yours.	Akoa ni'ng sala, dili imoha.
>>ceb<< The book is on the table.	Toa ang libro sa lamesa.
>>ceb<< You be the judge of that.	Ikay hukom niana.
>>ceb<< How long has Tom been ill?	Unsa ka dugaya nasakit si Tom?
>>ceb<< I just want a little help.	Gusto lang ko'g gamay nga tabang.
>>ceb<< I love pineapple on pizza.	Lami-an ko sa pinya sa pizza.
>>ceb<< Shall we take Tom with us?	Kuyugon ba nato si Tom?
>>ceb<< This is my final question.	Kini ang akong uwahing pangutana.
>>ceb<< What does Tom see in Mary?	Unsay nakita ni Tom kang Mary?
>>ceb<< You're not a spy, are you?	Dili man ka espiya, di ba?
>>ceb<< Everybody started to laugh.	Ang tanan nagsugod og katawa.
>>ceb<< He gave away all his money.	Iyang gihatag tanan iyahang kwarta.
>>ceb<< I don't care what Tom eats.	Wa koy labot kung unsay kan-on ni Tom.
>>ceb<< I don't care what Tom eats.	Wala koy labot kung unsa man ang gikaon ni Tom.
>>ceb<< I have to go to the toilet.	Kinahanglang moadto ko sa pansayan.
>>ceb<< It kept raining for a week.	Nigsige ug ulan sa tibuok semana.
>>ceb<< That's all I'm looking for.	Mao nay akong gipangita.
>>ceb<< The archer killed the deer.	Napatay sa tigpana ang lagsaw.
>>ceb<< Tom was taken into custody.	Gibilanggo si Tom.
>>ceb<< What are you talking about?	Unsay buot mong ipasabot?
>>ceb<< What causes that to happen?	Unsay hinungdan aron mahitabo na?
>>ceb<< I shouldn't have logged off.	Wala lang usa ko mobiya.
>>ceb<< There is a meeting tomorrow.	May tigom ugma.
>>ceb<< Tom said Mary is very tired.	Si Tom nag-ingon nga gikapoy kaayo si Mary.
>>ceb<< Why don't you come visit us?	Nganong dili mo man nuon mi duawon?
>>ceb<< I don't want to be like that.	Di ko gusto mahimong ingon ana.
>>ceb<< I don't want to go to school.	Dili ko moeskuyla.
>>ceb<< I know where this is leading.	Kahibalo ko asa ni padulong.
>>ceb<< Where did you buy that dress?	Asa nimo napalit nang sanina-a?
>>ceb<< "Thank you." "You're welcome."	"Salamat." "Walay sapayan."
>>ceb<< Remember to sweep the kitchen.	Ayaw kalimti nga hinlo-i ang kusina.
>>ceb<< The new store opens next week.	Sunod semana moabri ang bag-ong tindahan.
>>ceb<< Tom might have been a witness.	Baka naging saksi si Tom.
>>ceb<< Tom might have been a witness.	Basig testigo si Tom.
>>ceb<< Wait for me next to that tree.	Hulata ko tapad anang kahoya.
>>ceb<< I don't want to translate that.	Di nako gustong i-translate na.
>>ceb<< I don't want to wait that long.	Dili ko gustog ing ana kadugayg pinaabot.
>>ceb<< I woke up at five this morning.	Alas singko sa buntag ko mibangon.
>>ceb<< I'll call you when I get there.	Tawgan ta ka inig abot nako didto.
>>ceb<< The bus driver opened the door.	Gibuksan sa drayber sa bus ang lukob.
>>ceb<< Tom lives really far from here.	Layo ang gipuy-an ni Tom gikan diri.
>>ceb<< Would you please lock the door?	Palihug ug sarado sa pultahan?
>>ceb<< He doesn't have to go to school.	Dili siya kinahanglang moadto sa tunghaan.
>>ceb<< I don't know how to contact you.	Ambot unsaon ta ka pagpahibalo.
>>ceb<< I don't know what to do anymore.	Wala na ko masayod unsa pay buhaton.
>>ceb<< It was Tom's decision, not mine.	Kang Tom to nga desisyon, dili akoa.
>>ceb<< She prayed for her son's return.	Nag-ampo siya alang sa pagbalik sa iyang anak.
>>ceb<< Forty-eight sailors are on board.	Nagsakay ang kap-atag walo ka tripulante.
>>ceb<< Will you send up a bucket of ice?	Pagdala diri sa taas og usa ka baldeng hyelo.
>>ceb<< Behave yourself during my absence.	Pagbinuotan baya samtang wala ko.
>>ceb<< Does your girlfriend like flowers?	Ganahan ba og bulak ang imong uyab?
>>ceb<< Does your girlfriend like flowers?	Ganahan ba og bulak ang imong nobya?
>>ceb<< Tell her that I am angry with her.	Ingna siya nga galagot ko niya.
>>ceb<< Tom didn't answer Mary's question.	Wala tubaga ni Tom ang pangutana ni Mary.
>>ceb<< Unexpected results were announced.	Mga wala damhang linugdangan kadto toy gipahibalo.
>>ceb<< How many hours a week do you teach?	Pila ka oras ka kada semana magtudlo?
>>ceb<< It would be hard for me to do that.	Maglisod ko pagbuhat niana.
>>ceb<< Can you recommend a good restaurant?	May ikasugyot ka bang nindot nga kan-anan?
>>ceb<< They added a woman to the committee.	Gidugangan nila og babaye ang komitiba.
>>ceb<< Tom said he had to work on Saturday.	Ingon si Tom nga kinahanglan niya mu-trabaho nig Sabado.
>>ceb<< Tom was arrested later that morning.	Gisikop si Tom pag talimudto.
>>ceb<< Where there is smoke, there is fire.	Kung adunay aso, adunay kayo.
>>ceb<< Where there is smoke, there is fire.	Kung naay aso, naay kayo.
>>ceb<< He is content with his present state.	Igo na niya ang kasamtangang kahimtang.
>>ceb<< Tom talked to Mary about the robbery.	Gisuginlan ni Tom si Mary bahin sa kawat.
>>ceb<< Tom talked to Mary about the robbery.	Gisuginlan ni Tom si Mary bahin sa tulis.
>>ceb<< Tom wrote his name on the blackboard.	Nagsuwat si Tom sa iyang ngalan sa blakbord.
>>ceb<< Acid rain is not a natural phenomenon.	Dili kinaiyanhon ang makaluksaw nga ulan.
>>ceb<< The hostages will be released tomorrow.	Ugma buhan ang mga gipakitaming.
>>ceb<< The rocket is in orbit around the moon.	Milibotlibot ang kweti sa bulan.
>>ceb<< Everyone at the party was drinking wine.	Tanang tao nga tua sa kalingawan kay muinom ug bino.
>>ceb<< I lent her 500 dollars free of interest.	Gipahulam nako siya ug 500 dolyares nga walay interes.
>>ceb<< I still don't understand how to do that.	Di pa ko kasabot unsaon kana pagbuhat.
>>ceb<< You're mistaken. That's not what I said.	Sayop ka. Dili na mao akong gisulti.
>>ceb<< I don't think I'll make it to your party.	Murag di ko makaabot sa imong party.
>>ceb<< I don't want any advertising on my website.	Dili ko gustong may adbertisment dinhi sa akong websayt.
>>ceb<< Was Tom the one who told you what happened?	Si Tom ba ang niingon nimo ug unsay nahitao?
>>ceb<< It's better if I drove you all the way home.	Maayo pang ihatod ta lang hinuon ka ning kotse taman sa inyo.
>>ceb<< Tom served 30 years for second degree murder.	Mialagad og 30 ka tuig si Tom alang sa ikaduhang degri sa pagpatay.
>>ceb<< "Why is Tom so afraid of you?" "I have no idea."	"Nganong nahadlok si Tom nimo?" "Wa koy kalibutan."
>>ceb<< Do you really have free tickets for the concert?	Tinuod nga naa gyud kay ticket alang sa konsyerto?
>>ceb<< The crowd went wild when the news was announced.	Nagubot ang mga tawo dihang gibalita to.
>>ceb<< Tom wanted Mary to know that he didn't hate her.	Buot ni Tom masayran ni Mary nga wala siya maitok niini.
>>ceb<< Tom wanted Mary to know that he didn't hate her.	Buot ni Tom masayran ni Mary nga wala siyay kaitok niini.
>>ceb<< The police were inquiring into the suspect's past.	Gisusi sa kapulisan ang kaagi sa suspek.
>>ceb<< Have you already carried the boxes up to the attic?	Gidala mo na ba ang mga kahon didto sa arkoba?
>>ceb<< Burj Khalifa is currently the tallest skyscraper in the world.	Burj Khalifay kasamtangang kinahabogang dakbalay sa kalibotan.
>>ceb<< Burj Khalifa is currently the tallest skyscraper in the world.	Burj Khalifa ang kasamtangang kinalayogang dakbalay sa tibuok kalibotan.
>>ceb<< I want to apologize for the way I talked to you the last time we met.	Gusto nako mangayog pasaylo sa di maayong batasan nga akong gipakita kadtong ngkita ta sa una.
>>ceb<< Martin Luther King Jr. fought for civil rights for African-Americans by teaching nonviolence.	Pinaagi sa pagtudlo sa pagka dili madinagmalon nakigbisog si Martin Luther King Jr. alang sa katungod nga sibil sa mga Amerkanong may dugong Afrikanhon.
