>>mal<< Hello.	നമസ്കാരം.
>>mal<< I just got back.	ഞാൻ ഇപ്പോൾ തിരിച്ച് എത്തിയതേയുള്ളൂ.
>>mal<< I need a hammer.	എനിക്കൊരു ചുറ്റിക വേണം.
>>mal<< I teach English.	ഞാൻ ഇംഗ്ലീഷ് പഠിപ്പിക്കുന്നു.
>>mal<< Isn't that mine?	അത് എന്റേതല്ലേ?
>>mal<< Merry Christmas!	ക്രിസ്തുമസ് ആശംസകള്‍.
>>mal<< She scolded him.	അവൾ അവനെ ശാസിച്ചു.
>>mal<< That's doubtful.	അത് സംശയകരമാണ് .
>>mal<< The sea is blue.	കടല്‍ നീലയാണ്.
>>mal<< They'll kill me.	അവർ എന്നെ കൊല്ലും.
>>mal<< This is our bag.	ഇത് ഞങ്ങളുടെ ബാഗ്‌ ആണ്.
>>mal<< Today is Monday.	ഇന്ന് തിങ്കളാഴ്ചയാണ്.
>>mal<< What's the time?	സമയം എത്രയായി?
>>mal<< Where is my car?	എന്റെ കാര്‍ എവിടെയാണ്?
>>mal<< Who betrayed us?	ആരാണ് നമ്മളെ ചതിച്ചത്?
>>mal<< Who's that girl?	ആരാണ് ആ പെൺകുട്ടി?
>>mal<< Accidents happen.	അപകടങ്ങൾ സംഭവിക്കുന്നു.
>>mal<< At last, he came.	അവസാനം, അവൻ വന്നു.
>>mal<< Do you like snow?	നിനക്ക് മഞ്ഞ് ഇഷ്ടമാണോ?
>>mal<< Don't make noise.	ശബ്ദമുണ്ടാക്കരുത്.
>>mal<< He must not live.	അവൻ ജീവിക്കാൻ പാടില്ല.
>>mal<< Her hair is long.	അവളുടെ മുടി നീണ്ടതാണ്.
>>mal<< I work in a bank.	ഞാൻ ഒരു ബാങ്കിൽ ജോലി ചെയ്യുന്നു.
>>mal<< I'm already done.	ഞാന്‍ ചെയ്തു കഴിഞ്ഞിരിക്കുന്നു.
>>mal<< I'm not like you.	ഞാന്‍ നിന്നെപ്പോലെയല്ല.
>>mal<< I'm really tired.	ഞാന്‍ ശരിക്കും തളര്‍ന്നു.
>>mal<< Is this your pen?	ഇതു നിന്റെ പേനയാണോ?
>>mal<< Long time no see.	വളരെ നാളായല്ലൊ കണ്ടിട്ട്
>>mal<< My throat is dry.	എന്റെ തൊണ്ട വരണ്ടിക്കുകയാണ്.
>>mal<< People love dogs.	ആൾക്കാർക്ക് നായകളെ ഇഷ്ടമാണ്.
>>mal<< Please wait here.	ദയവായി ഇവിടെ കാത്തിരിക്കൂ.
>>mal<< Quit complaining.	കുറ്റം പറയുന്നത് നിര്‍ത്തു.
>>mal<< That car is mine.	ആ കാർ എന്റേതാണ്.
>>mal<< That's ludicrous.	അത് പരിഹാസ്യമാണ് .
>>mal<< The sky was dark.	ആകാശം ഇരുണ്ടിരുന്നു.
>>mal<< This dog is mine.	ഇതെന്റെ നായയാണ്.
>>mal<< We heard her cry.	ഞങ്ങള്‍ അവള്‍ കരയുന്നത് കേട്ടു.
>>mal<< What should I do?	ഞാൻ എന്താണ് ചെയ്യേണ്ടത്?
>>mal<< You may sit here.	നിനക്ക് ഇവിടെ ഇരിക്കാം.
>>mal<< Give me five days.	എനിക്ക് അഞ്ച് ദിവസത്തെ സമയം തരൂ.
>>mal<< Have they seen us?	അവർ നമ്മളെ കണ്ടിട്ടുണ്ടാവുമോ?
>>mal<< He must have left.	അവൻ പോയി കാണും.
>>mal<< He told the truth.	അവൻ സത്യം പറഞ്ഞു.
>>mal<< I can't read this.	എനിക്ക് ഇത് വായിക്കാൻ കഴിയുന്നില്ല.
>>mal<< I played football.	ഞാന്‍ കാല്‍പ്പന്ത് കളിച്ചു.
>>mal<< I will do my best.	എന്നാല്‍ ചെയ്യാന്‍ കഴിയുന്നതൊക്കെ ഞാന്‍ ചെയ്യും.
>>mal<< I'm a new student.	ഞാന്‍ ഒരു പുതിയ വിദ്യാര്‍ഥി ആണ്.
>>mal<< I'm not a student.	ഞാനൊരു വിദ്യാര്‍ത്ഥിയല്ല.
>>mal<< Is that a red pen?	അതൊരു ചുവന്ന പേനയാണോ?
>>mal<< It's a dictionary.	അതൊരു നിഘണ്ടുവാണ്.
>>mal<< It's dark outside.	പുറത്ത് ഇരുട്ടാണ്.
>>mal<< Silk is expensive.	പട്ട് വിലപിടിപ്പുള്ളതാണ്.
>>mal<< That's acceptable.	അത് അംഗീകരിക്കാവുന്നതാണ് .
>>mal<< That's impossible.	അത് അസാധ്യമാണ്.
>>mal<< That's sufficient.	അത് പര്യാപ്തമാണ് .
>>mal<< This is good meat.	ഇത് നല്ല മാംസം ആണ് .
>>mal<< Where is my diary?	എൻറെ ഡയറി എവിടെയാണ്.
>>mal<< You and I are men.	നീയും ഞാനും പുരുഷന്മാരാണ്.
>>mal<< You are a teacher.	നിങ്ങൾ ഒരു അധ്യാപകനാണ്.
>>mal<< Come along with us.	ഞങ്ങളുടെ കൂടെ വരൂ.
>>mal<< He asked for money.	അവൻ പണത്തിനായി ആവശ്യപ്പെട്ടു.
>>mal<< He asked my mother.	അവൻ എന്റെ അമ്മയോടു ചോദിച്ചു.
>>mal<< He closed the door.	അവൻ വാതിൽ അടച്ചു.
>>mal<< He doesn't like us.	അവന് ഞങ്ങളെ ഇഷ്ടമല്ല.
>>mal<< He heard the noise.	അവന്‍ ആ ശബ്ദം കേട്ടു.
>>mal<< He wants a new car.	അവനൊരു പുതിയ കാർ വേണം.
>>mal<< He weighs 70 kilos.	അവന് എഴുപത് കിലോ ഭാരമുണ്ട്.
>>mal<< I can get you more.	എനിക്ക് ഇനിയും നിങ്ങള്‍ക്ക് തരാന്‍ കഴിയും.
>>mal<< I can't sleep well.	എനിക്ക് നന്നായി ഉറങ്ങാന്‍ പറ്റുന്നില്ല.
>>mal<< I have to meet Tom.	എനിക്ക് ടോമിനെ കാണേണ്ടതുണ്ട്
>>mal<< I have two cameras.	എനിക്ക് രണ്ട് ക്യാമറകളുണ്ട്.
>>mal<< I like short poems.	എനിക്ക് ചെറിയ കവിതകൾ ഇഷ്ടമാണ്.
>>mal<< I like to watch TV.	എനിക്ക് ടിവി കാണാൻ ഇഷ്ടമാണ്.
>>mal<< I plowed the field.	ഞാന്‍ നിലം ഉഴുതു.
>>mal<< I'm coming at once.	ഞാൻ ഇപ്പോൾ തന്നെ വരികയാണ്.
>>mal<< My stomach is full.	എന്റെ വയറ് നിറഞ്ഞു.
>>mal<< The door is locked.	വാതില്‍ പൂട്ടിയിരിക്കുന്നു.
>>mal<< The earth is round.	ഭൂമി ഉരുണ്ടതാണ്.
>>mal<< The earth is round.	ഭൂമി ഉരുണ്ടത്‌ ആണ്.
>>mal<< These pens are his.	ഈ പേനകൾ അവന്റേതാണ്.
>>mal<< This is a triangle.	ഇത് ഒരു ത്രികോണം ആണ്.
>>mal<< Tom is quite lucky.	ടോം വളരെ ഭാഗ്യവാനാണ്.
>>mal<< We don't have time.	നമുക്ക് സമയമില്ല.
>>mal<< We were very tired.	ഞങ്ങൾ വളരെയധികം ക്ഷീണിച്ചിരുന്നു.
>>mal<< What does Tom mean?	ടോം അര്‍ത്ഥമാക്കിയത് എന്താണ്?
>>mal<< Where does it hurt?	എവിടെയാണ് വേദനിക്കുന്നത്?
>>mal<< All I want is money.	എനിക്കാവശ്യം പണം മാത്രമാണ്.
>>mal<< Come again tomorrow.	നാളെ വീണ്ടും വരൂ.
>>mal<< Do you recognize me?	എന്നെ മനസ്സിലായോ ?
>>mal<< He is a nice person.	അവൻ ഒരു നല്ല മനുഷ്യനാണ്.
>>mal<< He wrote one letter.	അവൻ ഒരു കത്തെഴുതി.
>>mal<< I came at about six.	ഞാന്‍ ആറു മണിയോട് അടുപ്പിച്ചു വന്നു.
>>mal<< I can get you fired.	എനിക്ക് നിങ്ങളെ ജോലിയില്‍ നിന്നും പുറതാക്കിപ്പിക്കാന്‍ കഴിയും.
>>mal<< I can give it a try.	എനിക്ക് ഇത് പ്രയോഗിച്ചു നോക്കാന്‍ കഴിയും.
>>mal<< I have been to Rome.	ഞാന്‍ റോമില്‍ പോയിട്ടുണ്ട്.
>>mal<< I want to live here.	എനിക്ക് ഇവിടെ ജീവിക്കാന്‍ ആഗ്രഹമുണ്ട്.
>>mal<< I'll think about it.	ഞാൻ അതിനെക്കുറിച്ച് ആലോചിക്കാം.
>>mal<< I'm against the war.	ഞാൻ യുദ്ധത്തിനെതിരെയാണ്.
>>mal<< It may rain tonight.	ഇന്ന് രാത്രി മഴ പെയ്തേക്കും.
>>mal<< She likes ice cream.	അവള്‍ക്ക് ഐസ് ക്രീം ഇഷ്ടമാണ്.
>>mal<< She stopped smoking.	അവൾ പുകവലി നിർത്തി.
>>mal<< They're useless now.	അവരെക്കൊണ്ട് ഇപ്പോൾ ഉപയോഗമില്ല.
>>mal<< This may be correct.	ഇത് ശരിയായിരിക്കാം.
>>mal<< Tom turned the page.	ടോം പേജ് മറിച്ചു.
>>mal<< We have enough time.	ഞങ്ങൾക്ക് ആവശ്യത്തിന് സമയമുണ്ട്.
>>mal<< We obeyed the rules.	ഞങ്ങൾ നിയമങ്ങൾ അനുസരിച്ചു.
>>mal<< Count to one hundred.	നൂറ് വരെ എണ്ണൂ.
>>mal<< Have you finished it?	നീ അത് തീർത്തോ?
>>mal<< He asked me to dance.	അവൻ എന്നോട് നൃത്തം ചെയ്യാൻ ആവശ്യപ്പെട്ടു.
>>mal<< He sent me a present.	അവനെനിക്കൊരു സമ്മാനം അയച്ചു തന്നു.
>>mal<< I can give it a shot.	എനിക്ക് ഇത് പ്രയോഗിച്ചു നോക്കാന്‍ കഴിയും.
>>mal<< I have a green shirt.	എനിക്ക് ഒരു പച്ച കുപ്പായം ഉണ്ട്.
>>mal<< I need a new bicycle.	എനിക്ക് ഒരു പുതിയ സൈക്കിൾ വേണം.
>>mal<< I need to study math.	എനിക്ക് കണക്ക് പഠിക്കേണ്ടതായിയുണ്ട്.
>>mal<< I think you know Tom.	നിങ്ങള്ക്ക് ടോമിനെ അറിയാം എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
>>mal<< It isn't a good idea.	അതത്ര നല്ല ബുദ്ധിയല്ല.
>>mal<< My clothes are there.	എന്റെ വസ്ത്രങ്ങൾ അവിടെയാണ്.
>>mal<< She likes these cats.	അവൾക്ക് ഈ പൂച്ചകളെ ഇഷ്ടമാണ്.
>>mal<< Someone stole my bag.	ആരോ എന്റെ ബാഗ് മോഷ്ടിച്ചു.
>>mal<< The river overflowed.	ആ നദി കവിഞ്ഞൊഴുകി.
>>mal<< You've misunderstood.	നിങ്ങള്‍ തെറ്റിദ്ധരിച്ചു.
>>mal<< Give it to me, please.	ദയവായി, അതെനിക്കു തരൂ.
>>mal<< He and I are teachers.	അവനും ഞാനും അദ്ധ്യാപകരാണ്.
>>mal<< He began to eat lunch.	അവന്‍ ഊണ് കഴിക്കാന്‍ തുടങ്ങി.
>>mal<< He fell off the horse.	അവൻ കുതിരപ്പുറത്ത് നിന്ന് താഴെ വീണു.
>>mal<< He is always studying.	അവൻ എപ്പോഴും പഠിച്ചു കൊണ്ടിരിക്കും.
>>mal<< He was born in Africa.	അവൻ ആഫ്രിക്കയിലാണ് ജനിച്ചത്.
>>mal<< How was the math test?	കണക്ക് പരീക്ഷ എങ്ങനെയുണ്ടായിരുന്നു?
>>mal<< I can give you a lift.	എനിക്ക് നിങ്ങള്‍ക്ക് ലിഫ്റ്റ്‌ തരാന്‍ കഴിയും.
>>mal<< I have a wooden table.	എനിക്കൊരു തടിമേശയുണ്ട്.
>>mal<< I'll go wash my hands.	ഞാൻ പോയി കൈ കഴുകട്ടെ.
>>mal<< I'm a big fan of golf.	ഞാൻ ഗോൾഫിന്റെ വലിയ ആരാധകനാണ്.
>>mal<< It made me very happy.	അത് എന്നെ വളരെ സന്തോഷവാനാക്കി.
>>mal<< Nobody understands me.	ആരും എന്നെ മനസ്സിലാക്കുന്നില്ല.
>>mal<< She decided not to go.	അവൾ പോകുന്നില്ല എന്ന് തീരുമാനിച്ചു.
>>mal<< They found each other.	അവർ പരസ്പരം കണ്ടെത്തി.
>>mal<< They hated each other.	അവര്‍ പരസ്പരം വെറുത്തു.
>>mal<< They settled in Japan.	അവര്‍ ജപ്പാനില്‍ സ്ഥിരതാമസമാക്കി.
>>mal<< Tom doesn't want help.	ടോമിന് സഹായിക്കാൻ താത്പര്യം ഇല്ല.
>>mal<< Tom is Mary's brother.	ടോം മേരിയുടെ സഹോദരനാണ്.
>>mal<< What else do you have?	വേറെ എന്തൊക്കെയുണ്ട് നിന്‍റെ കൈയില്‍?
>>mal<< What else do you want?	വേറെ എന്താണ് നിനക്ക് വേണ്ടത്?
>>mal<< Where is my newspaper?	എൻറെ വർത്തമാനപത്രം എവിടെയാണ്.
>>mal<< Where is your brother?	നിന്റെ സഹോദരനെവിടെയാണ്?
>>mal<< Will it rain tomorrow?	നാളെ മഴ പെയ്യുമോ?
>>mal<< I believe you know Tom.	നിങ്ങള്‍ക്ക് ടോമിനെ അറിയാം എന്ന് ഞാന്‍ വിശ്വസിക്കുന്നു.
>>mal<< I can't sleep at night.	എനിക്ക് രാത്രി ഉറങ്ങാൻ കഴിയുന്നില്ല.
>>mal<< I don't believe in God.	ഞാന്‍ ദൈവത്തില്‍ വിശ്വസിക്കുന്നില്ല.
>>mal<< I have heard the story.	ഞാൻ ഈ കഥ കേട്ടിട്ടുണ്ട്.
>>mal<< I like music very much.	എനിക്ക് സംഗീതം വളരെ ഇഷ്ടമാണ്.
>>mal<< I live with my parents.	ഞാൻ എന്റെ മാതാപിതാക്കളുടെ കൂടെയാണ് ജീവിക്കുന്നത്.
>>mal<< I think we should talk.	നമ്മള്‍ തമ്മില്‍ സംസാരിക്കണം എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
>>mal<< I will gladly help you.	ഞാന്‍ സന്തോഷത്തോടെ നിങ്ങളെ സഹായിക്കാം.
>>mal<< Nobody came to help me.	ആരും എന്നെ സഹായിക്കാൻ വന്നില്ല.
>>mal<< Please open the bottle.	ദയവായി ഈ കുപ്പി തുറക്കുക.
>>mal<< Please open the window.	ദയവായി ആ ജനാല തുറക്കൂ
>>mal<< This is a wooden table.	ഇതൊരു തടിമേശയാണ്.
>>mal<< We plan to stay a week.	ഞങ്ങൾ ഒരാഴ്ച തങ്ങാനാണ് ആലോചിക്കുന്നത്.
>>mal<< What do you like to do?	നിനക്ക് എന്തു ചെയ്യാനാണ് ഇഷ്ടം.
>>mal<< Don't forget to call me.	എന്നെ വിളിക്കാൻ മറക്കരുത്.
>>mal<< Everyone makes mistakes.	എല്ലാവർക്കും തെറ്റുപറ്റും.
>>mal<< Have I ever lied to you?	ഞാൻ നിന്നോട് എപ്പോളെങ്കിലും കള്ളം പറഞ്ഞിട്ടുണ്ടോ ?
>>mal<< He began to feel afraid.	അവൻ ഭയപ്പെടാൻ തുടങ്ങി.
>>mal<< He is no stranger to me.	അവൻ എനിക്കൊരു അപരിചതനല്ല.
>>mal<< He lay down on his back.	അവന്‍ മലര്‍ന്നു കിടന്നു.
>>mal<< He's writing a book now.	അവൻ ഇപ്പോൾ ഒരു പുസ്തകം എഴുതുകയാണ്.
>>mal<< I sometimes cook dinner.	ഞാൻ ചിലപ്പോൾ അത്താഴം പാകം ചെയ്യും.
>>mal<< I think you can help us.	നിങ്ങള്‍ക്ക് ഞങ്ങളെ സഹായിക്കാന്‍ കഴിയും എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
>>mal<< It'll surely rain today.	ഇന്ന് തീര്‍ച്ചയായും മഴ പെയ്യും
>>mal<< Measure twice, cut once.	രണ്ടു തവണ അളക്കൂ, ഒരു തവണ മുറിക്കൂ.
>>mal<< She has attractive eyes.	അവൾക്ക് ആകർഷണീയമായ കണ്ണുകളുണ്ട്.
>>mal<< She might come tomorrow.	അവൾ നാളെ വന്നേക്കും.
>>mal<< This chair is too small.	ഈ കസേര വളരെ ചെറുതാണ്.
>>mal<< Tom likes fried chicken.	ടോമിന് പൊരിച്ച കോഴിയിറച്ചി ഇഷ്ട്ടമാണ്.
>>mal<< What year were you born?	നിങ്ങള്‍ ഏതു വര്‍ഷമാണ് ജനിച്ചത്?
>>mal<< What year were you born?	നിങ്ങള്‍ ഏതു വര്‍ഷം ആണ് ജനിച്ചത്‌ ?
>>mal<< You don't know who I am.	ഞാൻ ആരാണെന്ന് നിനക്കറിയില്ല.
>>mal<< You must read this book.	നിങ്ങള്‍ ഈ പുസ്തകം വായിക്കണം.
>>mal<< Come and see me tomorrow.	എന്നെ നാളെ വന്നു കാണൂ.
>>mal<< English is easy to learn.	ഇംഗ്ലീഷ് പഠിക്കാന്‍ എളുപ്പമാണ്.
>>mal<< He looked at her angrily.	അവൻ അവളെ ദേഷ്യത്തോടെ നോക്കി.
>>mal<< He's greedy and ruthless.	അവന്‍ അത്യാഗ്രഹിയും ദയാരഹിതനും ആണ്.
>>mal<< How do you say this word?	ഈ വാക്ക് എങ്ങനെയാണ് ഉച്ചരിക്കുന്നത്.
>>mal<< I can give Tom a message.	എനിക്ക് ടോമിന് ഒരു മെസ്സേജ് കൊടുക്കാന്‍ കഴിയും.
>>mal<< I don't know how to cook.	എനിക്ക് പാചകം ചെയ്യാന്‍ അറിയില്ല.
>>mal<< I like the way you smile.	എനിക്ക് നീ ചിരിക്കുന്ന രീതി ഇഷ്ടമാണ്.
>>mal<< It broke into two pieces.	അത് പൊട്ടി രണ്ടു കഷണമായിപ്പോയി.
>>mal<< Mary is quite attractive.	മേരി അതീവ സുന്ദരി ആണ് .
>>mal<< Nobody tells me anything.	ആരും എന്നോടൊന്നും പറയാറില്ല.
>>mal<< Sorry. It's all my fault.	ക്ഷമിക്കണം. എല്ലാം എന്റെ തെറ്റാണ്.
>>mal<< Sugar dissolves in water.	പഞ്ചസാര വെള്ളത്തിൽ അലിയുന്നു.
>>mal<< The cat caught the mouse.	പൂച്ച എലിയെ പിടിച്ചു.
>>mal<< There is no time to lose.	നഷ്ടപ്പെടുത്താൻ സമയമില്ല.
>>mal<< Tom didn't need any help.	ടോമിന് ഒരു സഹായവും ആവശ്യമില്ലായിരുന്നു.
>>mal<< Tom went straight to bed.	ടോം നേരെ ഉറങ്ങാൻ പോയി.
>>mal<< We expect a lot from him.	ഞങ്ങൾ അവനിൽ നിന്നും ഏറെ പ്രതീക്ഷിക്കുന്നു.
>>mal<< We go to school to study.	ഞങ്ങൾ സ്കൂളിലേക്ക് പഠിക്കാനാണ് പോകുന്നത്.
>>mal<< We have very little time.	നമുക്കു വളരെക്കുറച്ചു സമയം മാത്രമേയുള്ളൂ.
>>mal<< We'll discuss that later.	നമുക്ക് അത് പിന്നെ ചര്‍ച്ച ചെയ്യാം.
>>mal<< Cookie is under the table.	മധുരപലഹാരം മേശക്കു കീഴിൽ ഉണ്ട്.
>>mal<< He can run faster than me.	അവന് എന്നേക്കാൾ വേഗത്തിൽ ഓടാൻ കഴിയും.
>>mal<< He got good marks in math.	അവന് കണക്കിൽ നല്ല മാർക്ക് കിട്ടി.
>>mal<< He ran into the classroom.	അവൻ ക്ലാസ് മുറിയിലേക്ക് ഓടി.
>>mal<< He wants to go to America.	അവന് അമേരിക്കയില്‍ പോകാന്‍ ആഗ്രഹമുണ്ട്.
>>mal<< How many guests are there?	എത്ര അതിഥികളുണ്ട്?
>>mal<< Hunger drove him to steal.	വിശപ്പ് അവനെ മോഷ്ടിക്കാന്‍ പ്രേരിപ്പിച്ചു.
>>mal<< I am going to play tennis.	ഞാൻ ടെന്നിസ് കളിക്കാൻ പോവുകയാണ്.
>>mal<< I don't have any children.	എനിക്ക് കുട്ടികളില്ല.
>>mal<< I got the ticket for free.	എനിക്ക് ടികറ്റ് സൗജന്യമായി ലഭിച്ചു.
>>mal<< I know Tom still loves me.	ടോമിന് ഇപ്പോഴും എന്നെ ഇഷ്ടമാണന്ന്‍ എനിക്ക് അറിയാം.
>>mal<< I like swimming very much.	എനിക്ക് നീന്തൽ വളരെ ഇഷ്ടമാണ്.
>>mal<< I will give you this book.	ഞാൻ നിനക്ക് ഈ പുസ്തകം തരാം.
>>mal<< I'd like to see Tom again.	എനിക്ക് ടോമിനെ ഒന്നുകൂടി കാണണമെന്നുണ്ട് .
>>mal<< My father is a bank clerk.	എന്റെ അച്ഛൻ ഒരു ബാങ്ക് ക്ലാർക്കാണ്.
>>mal<< Park the car in the shade.	കാറ് തണലില്‍ നിര്‍ത്തൂ.
>>mal<< She has a small black dog.	അവള്‍ക്കൊരു ചെറിയ കറുത്ത പട്ടിയുണ്ട്.
>>mal<< Sugar is soluble in water.	പഞ്ചസാര വെള്ളത്തില്‍ ലയിക്കും.
>>mal<< That'll be enough for now.	ഇപ്പോഴത്തേക്ക് അതു മതിയാകും.
>>mal<< The cat scratched my hand.	ആ പൂച്ച എന്റെ കൈയിൽ മാന്തി.
>>mal<< The price of meat dropped.	ഇറച്ചിയുടെ വില കുറഞ്ഞു.
>>mal<< The town grew into a city.	ആ പട്ടണം ഒരു നഗരമായ് വളർന്നു.
>>mal<< There are several reasons.	അതിന് പല കാരണങ്ങള്‍ ഉണ്ട്.
>>mal<< They did not give up hope.	അവര്‍ പ്രതീക്ഷ കൈവിട്ടില്ല.
>>mal<< They had a baby last week.	കഴിഞ്ഞയാഴ്ച അവര്‍ക്കൊരു കുട്ടിയുണ്ടായി.
>>mal<< Today is Independence Day.	ഇന്ന് സ്വാതന്ത്ര്യദിനമാണ്.
>>mal<< Tom is growing a mustache.	ടോം മീശ വളർത്തുകയാണ്.
>>mal<< Who will be the next pope?	അടുത്ത പോപ്പ് ആരായിരിക്കും?
>>mal<< Have you ever seen a whale?	നിങ്ങള്‍ എപ്പോഴെങ്കിലും ഒരു തിമിംഗലത്തെ കണ്ടിട്ടുണ്ടോ?
>>mal<< He comes here once a month.	അവൻ ഇവിടെ മാസത്തിലൊരിക്കൽ വരും.
>>mal<< He's much younger than Tom.	അവൻ ടോമിനേക്കാൾ വളരെ ചെറുപ്പമാണ്.
>>mal<< I challenged him to a game.	ഞാൻ അവനെ ഒരു കളിക്കായി വെല്ലുവിളിച്ചു.
>>mal<< I don't think it's too bad.	അത് തീരെ മോശമാണെന്ന് എനിക്ക് തോന്നുന്നില്ല.
>>mal<< I think you know the rules.	നിങ്ങള്‍ക്ക് നിയമങ്ങള്‍ അറിയാം എന്ന് ഞാന്‍ വിചാരിക്കുന്നു.
>>mal<< I think you should go home.	നിങ്ങൾ വീട്ടിലേക്കു പോകണം എന്ന് ഞാൻ കരുതുന്നു.
>>mal<< I wasn't talking about you.	ഞാന്‍ നിന്‍റെ കാര്യമല്ല പറഞ്ഞത്.
>>mal<< I've read both these books.	ഞാൻ ഈ രണ്ട് പുസ്തകങ്ങളും വായിച്ചിട്ടുണ്ട്.
>>mal<< It is cheaper to go by bus.	ബസ്സില്‍ പോകുന്നതാണ് ലാഭം.
>>mal<< My son is taller than I am.	എന്റെ മകന് എന്നേക്കാള്‍ ഉയരമുണ്ട്.
>>mal<< No one could find the cave.	ആർക്കും ഗുഹ കണ്ടെത്താനായില്ല.
>>mal<< The cat slept on the table.	ആ പൂച്ച മേശപ്പുറത്ത് ഉറങ്ങി.
