>>nus<< Hi.	Maalɛ.
>>nus<< Be still.	/Cu rɔ wany.
>>nus<< Cuff him.	Yiɛini̱ tetkɛ.
>>nus<< Get away!	Woc rɔɔdu!
>>nus<< Get down!	Wër piny!
>>nus<< Get down!	Bër piny.
>>nus<< Get lost.	Bathni̱.
>>nus<< Get real!	Lar thuɔ̱k!
>>nus<< Go ahead.	Wër kɛ wä nhiam.
>>nus<< Go ahead.	wër nhiam
>>nus<< Good job!	Ci̱ lät ɛ gɔaa!
>>nus<< Good job!	ɛla̲t mi̲ gɔaa.
>>nus<< Grab him.	Käpɛ.
>>nus<< He spoke.	Cɛ ruac.
>>nus<< He tries.	La ɣɔ̱nɛ jɛ.
>>nus<< He tries.	cɛɛ ɤɔ̲n.
>>nus<< Help Tom.	Luäk Töm.
>>nus<< How deep?	Pek luëŋdɛ di̱?
>>nus<< How deep?	lueŋɛ di̲?
>>nus<< How nice!	Ɛŋu gɔaa ɛ nɛ!
>>nus<< Hurry up.	Pɛ̈thni̱.
>>nus<< Hurry up.	Pɛ̈thɛ.
>>nus<< I forgot.	Cä pa̱l ruëëc.
>>nus<< I resign.	Cä rɔ ka̱p cuɔ̱ŋ.
>>nus<< It works.	La lätdɛ.
>>nus<< Leave it.	Bäny ni̱ jɛ piny.
>>nus<< Leave me.	Bäny ni̱ ɣä piny.
>>nus<< Leave us.	Bäny ni̱ nɛy piny.
>>nus<< Look out!	Nɛn nɔmɔ!
>>nus<< Look out!	Liecni̱!
>>nus<< Marry me.	Kuɛn ɣä.
>>nus<< Nonsense!	Ruac baaŋ!
>>nus<< She came.	Cɛ ben.
>>nus<< She died.	Cɛ li̱w.
>>nus<< She runs.	La ŋɔcɛ jɛ.
>>nus<< Sit down!	Nyuuri̱!
>>nus<< Sit here.	Nyuri̱ ɛn gua̱a̱th ɛmɛ.
>>nus<< Speak up!	Ruacni̱!
>>nus<< Stand by.	Cuŋni̱ thiäkä.
>>nus<< Stand up!	Jiɛc rɔ!
>>nus<< Take Tom.	Naŋ Töm.
>>nus<< Tell Tom.	Läriɛ Töm.
>>nus<< They won.	Cikɛ naath leny.
>>nus<< Tom died.	Töm cɛ li̱w.
>>nus<< Tom left.	Töm cɛ jiɛn.
>>nus<< Tom lied.	Töm cɛ kac kac.
>>nus<< Tom lost.	Töm cɛ bath.
>>nus<< Tom paid.	Töm cɛ yio̱o̱kɛ yuɔr piny.
>>nus<< Tom wept.	Töm ci̱ lɔcdɛ jiath.
>>nus<< Trust me!	Ŋäth ɣä!
>>nus<< Trust me!	ŋäthä!
>>nus<< Try some.	Ɣɔ̱n mi̱ tɔt.
>>nus<< Try this.	Ɣɔ̱n nɛmɛ.
>>nus<< Use this.	Läätni̱ nɛmɛ.
>>nus<< Watch me.	Guic ɣä.
>>nus<< Watch us.	Guic nɛy.
>>nus<< We agree.	Ci̱ nɛy mat.
>>nus<< What for?	Kɛ kui̱ ŋukä?
>>nus<< Who died?	Ɛŋa ci̱ li̱wɔ?
>>nus<< Write me.	Gɔ̱r ɣä.
>>nus<< After you.	Kɔru.
>>nus<< Aim. Fire!	Nirɛ. Yɔ̱tɛ!
>>nus<< Answer me.	Loc ɣä.
>>nus<< Birds fly.	Diit la pärkɛ.
>>nus<< Birds fly.	Diit ti̲ riŋ. 🐦
>>nus<< Call home!	Yɔ̱tni̱ cieŋ.
>>nus<< Calm down.	Päli̱ yieyku piny.
>>nus<< Catch him.	Käpɛ.
>>nus<< Come back.	Lunyni̱ jɔk.
>>nus<< Come here.	Bër gua̱th ɛmɛ.
>>nus<< Come here.	bër gua̲mɛ.
>>nus<< Come home.	Bër cieŋ.
>>nus<< Come soon.	Bër kɛ pɛ̈th.
>>nus<< Cool down.	Kɔ̱cni̱.
>>nus<< Dogs bark.	Jio̱o̱k guää kɛn.
>>nus<< Excuse me.	Guänyni̱ ɣä.
>>nus<< Excuse me?	Deri̱ ɣä guënyi̱?
>>nus<< Fantastic!	Gɔaa ɛ ɛlɔ̱ŋ!
>>nus<< Follow me.	Guri̱ ɣä.
>>nus<< Follow us.	Guri̱ nɛy.
>>nus<< Forget it.	Bälɛ.
>>nus<< Forget it.	päliɛ ruëëc
>>nus<< Forget me.	Päli̱ ɣä ruëëc.
>>nus<< Get going.	Mali̱ wee.
>>nus<< Get ready.	Riali rɔ ikä.
>>nus<< Goodnight.	Nini̱ kɛ mal.
>>nus<< Goodnight.	Niɛnɛ kɛ mal.
>>nus<< Grab that.	Käp nɔmɔ.
>>nus<< Grab this.	Käp nɛmɛ.
>>nus<< He shaved.	Cɛ muɔ̱t.
>>nus<< He smiled.	Cɛ duɔɔth doth.
>>nus<< Hold fire.	Ka̱pɛ mäc cuɔ̱ŋ.
>>nus<< I laughed.	Cä to̱k dɔl.
>>nus<< I laughed.	cää dɔl
>>nus<< Is it bad?	Jɛn ji̱äkɛɛ ?
>>nus<< It rained.	Cɛ dɛ̈m.
>>nus<< It stinks.	Ŋuänyɛ.
>>nus<< It's work.	Jɛn lätɛ.
>>nus<< Keep calm.	Päli̱ rɔɔdu piny.
>>nus<< Leave now.	Jiɛni̱ ɛn tämɛ.
>>nus<< Loosen up.	Lony rɔɔdu.
>>nus<< Move over.	Yuth rɔɔdu.
>>nus<< Nice shot!	Ciɛ bär ɛgɔaa!
>>nus<< Of course.	Ɛ puc.
>>nus<< Open fire!	Lɛp mac!
>>nus<< Read this.	Kuɛn nɛmɛ.
>>nus<< Search me.	Go̱rä.
>>nus<< Seize him!	Ka̱pɛ jɛ!
>>nus<< Seriously?	Loti ni jɛ?
>>nus<< Seriously?	Dera Thuɔ̱k ɛ puci̱?
>>nus<< Seriously?	ɛjɛn thuɔ̲kdɛ
>>nus<< She cried.	Cɛ wiee.
>>nus<< She cried.	cɛ wiää 😭
>>nus<< She tried.	Cɛ ɣɔ̱n.
>>nus<< She walks.	La jälɛ.
>>nus<< She walks.	cɛ ja̲l. 🚶‍♂️
>>nus<< Sit still.	Nyuri̱ ɛ til.
>>nus<< Sit there.	Nyuri̱ ɛn gua̱a̱th ɛmi̱.
>>nus<< Start now.	Tok ɛ ɛntämɛ.
>>nus<< Stay away.	Teyni̱ nɔ̱nä.
>>nus<< Stay back.	Teyni̱ jɔk.
>>nus<< Stay calm.	Päli̱ rɔdu piny.
>>nus<< Stay down!	Teyni piny!
>>nus<< Stay thin.	Teyni̱ ciw.
>>nus<< Step back.	Kacni̱ jɔk.
>>nus<< Stop here.	Cuŋni̱ ɛn gua̱a̱th ɛmɛ.
>>nus<< Stop that!	Pälɛ!
>>nus<< Stop that.	käpniɛ cuɔ̲ŋ.
>>nus<< Stop them.	Käpni̱ kɛ cuɔ̱ŋ.
>>nus<< Take care.	Tit rɔdu.
>>nus<< Take mine.	Naŋ duŋdä.
>>nus<< Take this.	Naŋ nɛmɛ.
>>nus<< Thank you.	Ci̱ lɔcdä tɛɛth.
>>nus<< That hurt.	Bɛc ɛ.
>>nus<< They fell.	Ci̱ kɛ tɛɛth.
>>nus<< They left.	Ci̱ kɛ jiɛɛn.
>>nus<< They lied.	Ci̱ kɛn kackac.
>>nus<< They lost.	Ci̱ kɛ bath.
>>nus<< They swam.	Cikɛ kɛt.
>>nus<< Tom cried.	Töm cɛ wiee.
>>nus<< Tom drove.	Töm cɛ gɛɛr.
>>nus<< Tom knows.	Töm ŋäcɛ jɛ.
>>nus<< Tom moved.	Töm cɛ ɣöth.
>>nus<< Tom slept.	Ci̱ Töm tɔ̱c.
>>nus<< Tom slept.	Töm cɛ ni̱ɛn.
>>nus<< Tom waved.	Töm cɛ mal lar.
>>nus<< Try again.	Ɣɔ̱nɛ ɛnyɔk.
>>nus<< Turn left.	Ri̱tni̱ rɔ caam.
>>nus<< Wait here.	Li̱pni̱ ɛn gua̱a̱th ɛmɛ.
>>nus<< Watch out!	Tit rɔ!
>>nus<< We talked.	Ci̱ nɛy ruac.
>>nus<< We waited.	Ci̱ nɛy liep.
>>nus<< Well done!	Ci̱ lät ɛ gɔaa!
>>nus<< Who knows?	Ŋa ŋäcɛ?
>>nus<< Who knows?	ɛŋa ŋäcɛ mɔ?
>>nus<< Wonderful!	Gɔaa ɛ lɔ̱ŋ!
>>nus<< Wonderful!	gäyɛ naa
>>nus<< You idiot!	Jin thägäräŋ!
>>nus<< You tried.	Ciɛ ɣɔ̱n.
>>nus<< You tried.	ɣɔ̱nɛ.
>>nus<< Ask anyone.	Pekni̱ kɛ ram thiecɛ.
>>nus<< Be careful.	Tit rɔɔdu.
>>nus<< Be patient.	Li̱pni̱ kɛ biɛt.
>>nus<< Choose one.	Kuany kɛl.
>>nus<< Come quick!	Bër kɛ pɛ̈th!
>>nus<< Definitely!	Ɛjɛn pa̱ny!
>>nus<< Eat slowly.	Mi̱thni̱ ɛ määth.
>>nus<< Fire burns.	Mac la waŋɛ naath.
>>nus<< Fire burns.	mac mi̲ pɛt
>>nus<< Follow him.	Guriɛ.
>>nus<< Forget him.	Päliɛ ruëëc.
>>nus<< Forgive me.	Päli̱ ɣä ikä.
>>nus<< God exists.	Kuoth tëë thi̱n.
>>nus<< He laughed.	Cɛ to̱kdɔl.
>>nus<< He's lying.	Tëë kac.
>>nus<< Hurry back.	Mal luny jɔk.
>>nus<< Hurry home.	Wër cieŋ kɛ pɛ̈th.
>>nus<< I chuckled.	Cä yuɔr ro̱o̱l.
>>nus<< I have won.	Cä naath läny.
>>nus<< I ran home.	Ɣän cä riŋ cieŋ.
>>nus<< I'm a lady.	Ɛ ɣän ci̱ëk .
>>nus<< I'm a lady.	Ɛ ɣän kaw.
>>nus<< I'm normal.	Thiɛl ɤä diw.
>>nus<< Ignore him.	Dhɔtdɛ.
>>nus<< Jesus wept.	Yecu cɛ wiee.
>>nus<< Jesus wept.	ci̲ yiëcu wiää
>>nus<< Just relax.	A lɔ̱ŋni̱ ji̱n.
>>nus<< Keep quiet!	Bitni̱!
>>nus<< Keep quiet.	Bitni̱.
>>nus<< Keep quiet.	biɛtɛ.
>>nus<< Look there.	Guic gua̱a̱mi̱.
>>nus<< Mama cried.	Ma̱ma̱ cɛ wiee.
>>nus<< Never mind!	/Cu diɛɛr thi̱n.
>>nus<< No comment.	Thiɛlɛ mi̱ bä mat thi̱n.
>>nus<< No problem!	Thiɛlɛ riɛk.
>>nus<< Once again.	Locɛ ɛ nyɔk.
>>nus<< Please sit.	Deri̱ nyuur.
>>nus<< Quiet down.	Bitni̱.
>>nus<< Say cheese.	Ŋɛny lɛcku.
>>nus<< She smiled.	Cɛ duɔthdoth.
>>nus<< She smiled.	cɛɛ duɔɔth doth 😀
>>nus<< Stand back!	Cuŋni̱ jɔk!
>>nus<< Start here.	Tok ɛ ɛn gua̱a̱th ɛmɛ.
>>nus<< Start over.	Tok ɛ nyɔk.
>>nus<< Stay awake.	Teyni̱ jinä.
>>nus<< Stay close.	Teyni̱ thiäkä.
>>nus<< Stay quiet.	Ta̱yɛ bitdä.
>>nus<< Stay quiet.	Teyni̱ bitdä.
>>nus<< Stay there.	Teyni̱ ɛn wi̱ni̱.
>>nus<< Step aside.	Ŋuɛnyni̱ rɔdu gekä.
>>nus<< Step aside.	Wër gekä.
>>nus<< Step aside.	ti̲c ni̲ rɔ gekä
>>nus<< Stop lying.	Päl kac.
>>nus<< Stop there.	Cuŋni̱ ɛn gua̱a̱th ɛmɔ.
>>nus<< Stop there.	cuɔ̲ŋɛ gua̲a̲mi̲.
>>nus<< Study hard.	Kueni̱ ɛ bum.
>>nus<< Take cover!	Tɔ̱w rɔɔdu.
>>nus<< Take these.	Naŋ ti̱ti̱.
>>nus<< Taste this.	Met nɛmɛ.
>>nus<< That hurts.	Bɛcɛ.
>>nus<< That works.	La lätɛ ɛn nɔmɔ.
>>nus<< They stood.	Ci̱ kɛ rɔ̱ jiac cuɔ̱ŋ.
>>nus<< They tried.	Ci̱ kɛn ɛ ɣɔ̱n.
>>nus<< This works.	Nɛmɛ la lätɛ.
>>nus<< Tom agreed.	Ci̱ Töm mat kɛ jɛ.
>>nus<< Tom agrees.	Töm la mätɛ kɛ jɛ.
>>nus<< Tom burped.	Töm cɛ jia̱r.
>>nus<< Tom called.	Töm cɛ ciöt.
>>nus<< Tom danced.	Töm cɛ döny.
>>nus<< Tom drinks.	Töm la mäthɛ.
>>nus<< Tom drives.	Töm la gerɛ.
>>nus<< Tom helped.	Töm cɛ luäk.
>>nus<< Tom jumped.	Töm cɛ rɔ yor.
>>nus<< Tom looked.	Töm cɛ guic.
>>nus<< Tom nodded.	Töm cɛ wi̱dɛ tɛŋ.
>>nus<< Tom shaved.	Töm cɛ muɔ̱t.
>>nus<< Tom smiled.	Töm cɛ duɔɔth doth.
>>nus<< Tom snores.	Töm la rua̱tɛ.
>>nus<< Tom waited.	Töm cɛ liep.
>>nus<< Tom yawned.	Töm cɛ ŋaam.
>>nus<< Turn right.	Ri̱tni̱ rɔ cueec.
>>nus<< We are men.	Kɛ kɔn wutni̱.
>>nus<< We laughed.	Ci̱ nɛy to̱kdɔl.
>>nus<< You called?	Ci̱ yɔa̱ti̱?
>>nus<< You called?	ci̲ ciötä?
>>nus<< You decide.	Carɛ ɛ ji̱n.
>>nus<< Anyone home?	Tëkɛ rami̱ te cieŋi̱?
>>nus<< Be yourself.	Teyni̱ kɛ ta̱a̱du.
>>nus<< He resigned.	Cɛ rɔ̱ woc.
>>nus<< Hello again.	Malɛ ɛnyɔk.
>>nus<< How are you?	Mal puɔ̱nydu?
>>nus<< How is life?	Ci̱aŋ teekä we i̱di̱?
>>nus<< I apologize.	Cä duer lar.
>>nus<< I love dogs.	Nhɔakä Jio̱o̱k.
>>nus<< I overslept.	Cä pek ni̱n.
>>nus<< I overslept.	Cä ni̱ɛn kɛ ni̱än mi̱ di̱i̱t.
>>nus<< I overslept.	cä pek niän bäl.
>>nus<< I'm praying.	Ɣän palä.
>>nus<< Is she nice?	Jɛn gɔaa ɛ?
>>nus<< Keep trying.	Kokniɛ thi̱n.
>>nus<< Keep trying.	ɤɔ̲ni̲ jɛ.
>>nus<< Money talks.	Ruacni̱ yio̱w.
>>nus<< Nobody came.	Thiɛlɛ rami ci̱ ben.
>>nus<< Nobody died.	Thiɛlɛ rami̱ ci̱ li̱w.
>>nus<< Nobody lied.	Thiɛlɛ rami̱ ci̱ kac kac.
>>nus<< Pick a date.	Mɛk ca̱ŋ .
>>nus<< Pick a date.	Kuany cäŋ .
>>nus<< Please sing.	Deri̱ ben kɛt kɛ dit.
>>nus<< Release him.	Lonyɛ.
>>nus<< Remember it.	Timɛ.
>>nus<< Say nothing.	/Cu duɔ̱ɔ̱r lar.
>>nus<< Settle down!	Yiɛthni̱ rɔ piny!
>>nus<< Sleep tight.	Nini̱ gɔaa.
>>nus<< Stand aside.	Cuŋni̱ gekä.
>>nus<< Stand still!	Cuŋni̱ ɛ til.
>>nus<< Start again.	Tok ɛ nyɔk.
>>nus<< Step inside.	Känyni̱ rɛc.
>>nus<< Stop crying.	Päl wiee.
>>nus<< Stop moving!	/Cu jäl!
>>nus<< Stop moving!	käp ni̲ ja̲l cuɔ̲ŋ.
>>nus<< Stop trying.	Päl wiee.
>>nus<< Stop! Thief!	Cuŋni! Ɛ Cuer!
>>nus<< Tea, please.	Deri̱ ɣä moc ca̱y.
>>nus<< That helped.	Cɛ naath luäk ɛn nɔmɔ.
>>nus<< That worked.	Cɛ lät ɛn nɔmɔ.
>>nus<< They burned.	Ci̱ kɛ waaŋ.
>>nus<< They hugged.	Ci̱ kɛ rɔ̱ kuak.
>>nus<< They kissed.	Ci̱kɛ rɔ̱ cim.
>>nus<< They obeyed.	Ci̱ kɛn ɛ luɔ̱th.
>>nus<< They smiled.	Ci̱ kɛ duɔɔth doth.
>>nus<< They waited.	Ci̱ kɛ liep.
>>nus<< They walked.	Ci̱ kɛ ja̱l.
>>nus<< They yelled.	Ci̱ kɛ rual.
>>nus<< This stinks.	Nɛmɛ la ŋuänyɛ.
>>nus<< Tom blinked.	Töm ci̱ wäŋkɛ we niɛw.
>>nus<< Tom clapped.	Töm cɛ tetkɛ pat.
>>nus<< Tom coughed.	Töm cɛ kiɛl.
>>nus<< Tom drowned.	Töm cɛ di̱ŋ.
>>nus<< Tom escaped.	Töm cɛ rɔ kual.
>>nus<< Tom kneeled.	Töm cɛ mua̱kɛ yiath piny.
>>nus<< Tom laughed.	Töm cɛ to̱kdɔl.
>>nus<< Turn around.	Ri̱t rɔ.
>>nus<< Walk slowly.	Jäli̱ ɛmääth.
>>nus<< We need you.	Go̱o̱r nɛy ji̱.
>>nus<< We promised.	Ci̱ nɛy rɔ yac.
>>nus<< We remember.	La tim nɛyɛ.
>>nus<< We survived!	Ci̱ nɛy kään!
>>nus<< What's good?	Ɛŋu gɔa ɔ?
>>nus<< Who took it?	Ɛ ŋa naŋ jɛ mɔ ?
>>nus<< Wood floats.	Jiɛn ti̱ ko̱o̱t la thɔaarkɛ.
>>nus<< Work slowly.	Lätni̱ ɛmääth.
>>nus<< Abandon ship!	Ba̱nyɛ babuur piny.
>>nus<< Abandon ship!	Babuur mi̲ caa päl
>>nus<< Anybody here?	Tëkɛ rami te ɛn gua̱a̱th ɛmɛ?
>>nus<< Anybody home?	Tëkɛ rami̱ te cieŋi̱?
>>nus<< Anybody hurt?	Tëkɛ rami̱ ca moc buɔ̱t?
>>nus<< Anything new?	Tëkɛ mi̱ ci̱ rɔ gɛr?
>>nus<< Anything new?	tëkɛ mi̲ pay tuɔɔk?
>>nus<< Are you sane?	Ji̱n ci̱ yɔ̱ɔ̱ŋ ?
>>nus<< Come outside.	Bër raar.
>>nus<< Come quickly.	Bër kɛ pɛ̈th.
>>nus<< Did you sign?	Ji̱ ci̱ thaany?
>>nus<< Drive safely.	Geri̱ ɛ gɔaa.
>>nus<< Drive safely.	geri̲ kɛ tiit.
>>nus<< Drive slowly.	Geri̱ ɛmääth.
>>nus<< Fear nothing.	/Cu dual kɛ duɔ̱ɔ̱r.
>>nus<< Good evening.	Malɛ kɛ thiaŋ.
>>nus<< Has Tom come?	Ci̱ Töm ben i̱nu ?
>>nus<< Hello, girls.	Malɛ, nyiti̱.
>>nus<< How annoying!	Ɛŋu cɛ ɣä cuil inɛ!
>>nus<< How horrible!	Ɛmi̱ jiääk mi̱ te idi!
>>nus<< How romantic!	Kä ɛ nhök mi̱ gɔaa mi̱ te i̱di̱!
>>nus<< I understand.	Cɛ wä lɔɔcdä.
>>nus<< I understood.	Cä liŋ.
>>nus<< I'm upstairs.	Ta̱a̱ wi̱i̱ tharaykä .
>>nus<< I've done it.	Cä thuk.
>>nus<< Keep reading.	Wër kɛ kuën.
>>nus<< Ladies first.	Män kɛ nhiam.
>>nus<< Move quietly.	Ja̱li̱ bitdä.
>>nus<< Nobody asked.	Thiɛlɛ rami̱ ci thiec.
>>nus<< Nobody knows.	Thiɛlɛ ram ŋäcɛ.
>>nus<< Please hurry!	Deri̱ pɛ̈th!
>>nus<< Please leave.	Deri̱ Jiɛni̱, la̱ŋä ni̱ ji̱.
>>nus<< Please smile.	Mäni̱ duɔɔth doth bɛ.
>>nus<< Recess ended.	Ci̱ lua̱ŋ thuɔ̱k.
>>nus<< Someone came.	Tëkɛ rami̱ ci̱ ben.
>>nus<< Step forward.	Bër nhiam.
>>nus<< Stop arguing.	Päl ŋaknɔm.
>>nus<< Stop arguing.	pa̲lɛ ŋaknɔm.
>>nus<< Stop filming.	Päl thuɔ̱r.
>>nus<< Stop gawking.	Päl guecdä ɛ ɛlɔ̱ŋ i̱nɔ.
>>nus<< Stop pushing.	Päl ɣökdɛ.
>>nus<< Stop reading.	Päl kuën.
>>nus<< Stop smoking.	Päl ma̱th tapä.
>>nus<< Stop smoking.	käp ni̲ ma̲th taokä cuɔ̲ŋ
>>nus<< Stop staring.	Päl guec.
>>nus<< Stop talking.	Päl ruac.
>>nus<< Stop talking.	Ka̲pɛ ruac cuɔ̲ŋ.
>>nus<< Stop whining.	Päl ŋiɛyŋiɛy.
>>nus<< Stop yelling.	Päl yuaal.
>>nus<< They escaped.	Ci̱ kɛ rɔ̱ kual.
>>nus<< They laughed.	Ci̱ kɛ to̱kdɔl.
>>nus<< They refused.	Ci̱ kɛn ɛ lo̱k.
>>nus<< They stopped.	Ci̱ kɛ cuɔ̱ŋ.
>>nus<< They sweated.	Ci̱ leth kɛ näk.
>>nus<< Things break.	La tiɛ̈th ŋuak.
>>nus<< This is hard.	Mɛmɛ bumɛ
>>nus<< Tom answered.	Ci̱ Töm ɛ loc.
>>nus<< Tom approved.	Töm cɛ nhɔk.
>>nus<< Tom insisted.	Töm cɛ lo̱k.
>>nus<< Tom listened.	Töm cɛ liɛŋ.
>>nus<< We apologize.	Ci̱ nɛy duer.
>>nus<< We hated Tom.	Ci̱ nɛy Töm lo̱k.
>>nus<< We have guns.	Tee nɛy kɛ mäc.
>>nus<< We know them.	Kɔn ŋäc nɛy kɛ.
>>nus<< We need glue.	go̱r kɔn do̱o̱p.
>>nus<< We overslept.	Ci̱ nɛy pek ni̱n.
>>nus<< We succeeded.	Ci̱ kɔnɛ luäŋ.
>>nus<< Welcome back.	Lunyni̱ jɔk kɛ mal.
>>nus<< Welcome home.	Bër cieŋ kɛ mal.
>>nus<< Welcome home.	Bia cieŋ kɛ mal.
>>nus<< Years passed.	Ci̱ run wä.
>>nus<< You know her.	Ji̲n ŋäc ci̲ jɛ.
>>nus<< You're lying.	Jɛn ɛ gua̱n kac kä.
>>nus<< Anything else?	Tëkɛ mi̱ dɔ̱ŋ?
>>nus<< Call security!	Cɔl ga̱a̱ŋ!
>>nus<< Call security!	cɔalɛ ga̲a̲ŋ!
>>nus<< Do we need it?	Dee kɔnɛ go̲r ?
>>nus<< Eat something.	Cam duɔ̱ɔ̱r.
>>nus<< Everyone dies.	Nɛy diaal li̱wkɛ.
>>nus<< Flowers bloom.	Gaakni̱ la lɛpkɛ rɔ̱.
>>nus<< Help yourself.	Luäk rɔɔdu.
>>nus<< How beautiful!	Ɛmi̱ gɔaa ɛ idi!
>>nus<< I always lose.	La ɣä da̱kɛ ni̱ ci̱aaŋ .
>>nus<< I came by bus.	Ba̱ kɛ ba̱th .
>>nus<< I came by bus.	Cuɔ̱pä kɛ ba̱th .
>>nus<< I came by bus.	ba̲a̲ kɛ ba̲th.
>>nus<< I trusted him.	ɤän ŋa̲thä jɛ
>>nus<< My name's Tom.	Cɔal ci̱ötdä Töm.
>>nus<< My name's Tom.	Cɔalä Töm.
>>nus<< My name's Tom.	cɔalä töm.
>>nus<< Only Tom left.	Ɛ Töm tëë caam.
>>nus<< Quiet, please.	Metni̱ biɛt.
>>nus<< Save yourself.	Kän rɔɔdu.
>>nus<< Say something.	Lar duɔ̱ɔ̱r.
>>nus<< She overslept.	Cɛ pekni̱n.
>>nus<< Show yourself.	Nyoth rɔɔdu.
>>nus<< Speak clearly.	Ruacni̱ ɛ jɔc.
>>nus<< Start running.	Tok wuɔ̱ɔ̱r.
>>nus<< Start singing.	Tok kët.
>>nus<< Start writing.	Tok gua̱r.
>>nus<< Stay positive.	Cari̱ mi̱ gɔaa.
>>nus<< Stay together.	Ta̱yɛ kɛɛl.
>>nus<< Stop fighting!	Päl ko̱r!
>>nus<< Stop laughing.	Päl to̱k.
>>nus<< Stop shooting.	Päl ba̱a̱r.
>>nus<< Stop worrying.	Päl diɛɛr.
>>nus<< Stuff happens.	La ŋɔak ɛ tuɔɔk.
