>>urd<< Hi.	سلام۔
>>urd<< Eat everything.	سب کھائو۔
>>urd<< Eat everything.	سب کھا لو۔
>>urd<< Happy New Year!	نیا سال مبارک۔
>>urd<< He respects me.	وہ میری عزت کرتا ہے۔
>>urd<< I am a student.	میں ایک طالب علم ہوں۔
>>urd<< I dislike eggs.	مجھے انڈے پسند نہیں
>>urd<< I hate working.	مجھے کام کرنے سے نفرت ہے۔
>>urd<< I have no idea.	مجھے کوئی اندازہ نہیں ہے ۔
>>urd<< I like to swim.	مجھے تیراکی پسند ہے۔
>>urd<< I'm still busy.	میں ابھی بھی مصروف ہوں۔
>>urd<< What do you do?	تم کیا کرتے ہو ؟
>>urd<< You can't swim.	تم تیراکی نہیں کر سکتے۔
>>urd<< You can't swim.	تمہیں تیراکی نہیں آتی۔
>>urd<< You can't swim.	آپ کو تیرنا نہیں آتا۔
>>urd<< You can't swim.	تمہیں تیرنا نہیں آتا۔
>>urd<< You've changed.	تم بدل گئے ہو۔
>>urd<< Close your book.	کتاب بند کرو۔
>>urd<< How is it going?	کيسا چل رہا ہے ؟
>>urd<< I was a teacher.	میں معلم تھا۔
>>urd<< It looked cheap.	وہ سستا لگتا تھا۔
>>urd<< It's lunch time.	یہ ظہرانے کا وقت ہے۔
>>urd<< It's lunch time.	یہ دوپہر کے کھانے کا وقت ہے۔
>>urd<< Leave it behind.	چھوڑ دو اسے۔
>>urd<< Let's thank Tom.	آئو ٹام کا شکریہ ادا کرے۔
>>urd<< She looked away.	اس نے نظریں جھکا لی۔
>>urd<< She looks young.	وہ کافی جوان دکھ رہی ہے۔
>>urd<< This is too big.	یہ بہت بڑا ہے۔
>>urd<< This is too big.	یہ بہت زیارہ ہے۔
>>urd<< We should do it.	ہمیں یہ کرنا چاہئیے۔
>>urd<< We weren't cold.	ہمیں ٹھنڈ نہیں لگ رہی تھی۔
>>urd<< You look stupid.	تم بیواقوف لگ رہے ہو۔
>>urd<< A cab is waiting.	ٹیکسی انتظار کر رہی ہے۔
>>urd<< Does that matter?	کیا کوئی فرق پڑتا ہے؟
>>urd<< Don't lose heart.	حوصلہ مت کھونا۔
>>urd<< Don't lose heart.	مایوس نہ ہونا۔
>>urd<< He's a smart boy.	وہ عقلمند لڑکا ہے۔
>>urd<< I don't know her.	میں اُس ( لڑکی ) کو نہیں جانتا ۔
>>urd<< I hate that book.	مجھے نفرت ہے اُس کتاب سے۔
>>urd<< I have asked him.	میں نے اس سے پوچھ لیا ہے۔
>>urd<< I want some cake.	مجھے کیک چاہیئے
>>urd<< I want some milk.	مجھے دودھ چاہئیے۔
>>urd<< I'm in the house.	میں گھر میں ہوں۔
>>urd<< I'm in the house.	میں گھر پہ ہوں۔
>>urd<< I've lost my key.	میری چابی گم ہو گئی ہے۔
>>urd<< Is everything OK?	کیا سب کچھ ٹھیک ہے؟
>>urd<< What do you make?	آپ کیا بناتے ہو ؟
>>urd<< You got hit hard.	تمہیں بڑی زور کی لگی ہے۔
>>urd<< You got hit hard.	آپ کو بڑی زور کی لگی ہے۔
>>urd<< You may sit here.	تم یہاں بیٹھ سکتے ہو۔
>>urd<< You may sit here.	آپ یہاں بیٹھ سکتے ہے۔
>>urd<< You must tell me.	تمہیں مجھے بتانا ہوگا۔
>>urd<< You must tell me.	تم مجھے بتائو۔
>>urd<< You must tell me.	تم مجھے یہ بتائو۔
>>urd<< You're realistic.	تم حقیقت پسند ہو۔
>>urd<< You're realistic.	آپ حقیقت پسند ہے۔
>>urd<< A heavy rain fell.	کافی تیز بارش ہوئی۔
>>urd<< Are you all right?	کیا تم ٹھیک ہو؟
>>urd<< Do you want money?	تمہیں پیسے چاہیئے؟
>>urd<< Do you want money?	آپ کو پیسے چاہیئے؟
>>urd<< Don't look for me.	مجھے تلاش مت کرو۔
>>urd<< Don't look for me.	مجھے تلاش مت کرنا۔
>>urd<< He won everything.	اس نے سب کچھ جیت لیا۔
>>urd<< Hey, look at this.	یہ دیکھو۔
>>urd<< How are you doing?	تم کیسے کر رہے ہو ؟
>>urd<< How does Tom feel?	ٹام کی اب طبیعت کیسی ہے؟
>>urd<< I couldn't refuse.	میں انکار نہ کر سکا۔
>>urd<< I couldn't refuse.	میں انکار نہ کر سکی۔
>>urd<< I don't know that.	وہ مجھے نہیں معلوم ۔
>>urd<< I like your scarf.	مجھے تمہارا سکارف پسند آیا ہے۔
>>urd<< I like your scarf.	مجھے تمہارا سکارف اچھا لگا ہے۔
>>urd<< I took a week off.	میں نے ایک ہفتے کی چھٹی لے لی ہے۔
>>urd<< I tried to escape.	میں نے بھاگنے کی کوشش کی۔
>>urd<< I'll be back soon.	میں جلد ہی واپس آ جائو گا۔
>>urd<< I'll be back soon.	میں جلدی داپس آجاؤنگا ۔
>>urd<< I'm a new student.	میں نیا سٹوڈنٹ ہوں۔
>>urd<< I'm enjoying this.	مجھے مزہ آرہا ہے۔
>>urd<< I've been foolish.	میں ہی بیواقوف تھا۔
>>urd<< I've been foolish.	میری کم عقلی تھی۔
>>urd<< It's your bedtime.	تمہارے سونے کا وقت ہو گیا ہے۔
>>urd<< Long time, no see.	تمھیں ملے ہوئے عرصہ ہو گیا ہے۔
>>urd<< Nothing scares me.	مجھے کسی بھی چیز سے ڈر نہیں لگتا۔
>>urd<< Prices are rising.	قیمتیں بڑھ رہی ہیں۔
>>urd<< Send it to me now.	مجھے ابھی فورا بھیجو۔
>>urd<< She went that way.	وہ اس طرف گئی ہے۔
>>urd<< Sign here, please.	برائے مہربانی، یہاں دستخط کرے۔
>>urd<< The book is white.	کتاب سفید ہے۔
>>urd<< The fire went out.	آگ بجھ گئی۔
>>urd<< Tom looks unhappy.	ٹام ناخوش لگ رہا ہے۔
>>urd<< Tom looks unhappy.	ٹام خوش نہیں لگ رہا۔
>>urd<< Tom ordered pizza.	ٹام نے پیزہ آرڈر کیا۔
>>urd<< What should I say?	مجھے کیا کہنا چاہیے؟
>>urd<< When are you free?	تم فارغ کب ہو گے؟
>>urd<< When are you free?	آپ فارغ کب ہوں گے؟
>>urd<< Which tooth hurts?	کونسے دانت میں درد ہے؟
>>urd<< Woods burn easily.	لکڑی آرام سے جل جاتی ہے۔
>>urd<< You're a good boy.	تم ایک اچھے بچے ہو۔
>>urd<< A child is missing.	ایک بچہ گُم ہو گیا ہے۔
>>urd<< A guard is outside.	ایک محافظ باہر ہے۔
>>urd<< A lot has happened.	کافی کچھ ہو گیا ہے۔
>>urd<< Am I seeing things?	کیا یہ میرا وہم ہے؟
>>urd<< Are you in a hurry?	کیا تم جلدی میں ہو؟
>>urd<< He lied to my face.	اس نے میرے منہ پہ ہی جھوٹ بولا۔
>>urd<< I agreed to buy it.	میں نے خریدنے کے لئیے حامی بھری۔
>>urd<< I can confirm this.	میں اس کو ثابت کر سکتا ہوں۔
>>urd<< I'll be right back.	میں ابھی واپس آجاؤنگا ۔
>>urd<< I'll take Tom home.	میں ٹام کو گھر لے جاتا ہوں۔
>>urd<< I'll take Tom home.	میں ٹام کو گھر لے کے جا رہا ہوں۔
>>urd<< I'm afraid of dogs.	مجھے کتوں سے ڈر لگتا ہے۔
>>urd<< I'm from Singapore.	میں سنگاپور سے ہوں۔
>>urd<< It's not practical.	یہ کارآمد نہیں ہے۔
>>urd<< She won everything.	اس نے سب کچھ جیت لیا۔
>>urd<< Take a sip of this.	یہ پیو۔
>>urd<< The ice is melting.	برف پگھل رہی ہے۔
>>urd<< The tree fell down.	درخت گر گیا۔
>>urd<< Turn off the light.	روشنی کو بند کر دیں۔
>>urd<< Turn off the light.	روشنی کو بند کر دو۔
>>urd<< We all cried a lot.	ہم سارے کافی زیادہ روئے۔
>>urd<< We're having lunch.	ہم ظہرانہ کھا رہے ہیں۔
>>urd<< What are you doing?	تم کیا کر رہے ہو ؟
>>urd<< What could he mean?	اس کا مطلب کیا ہو سکتا ہے؟
>>urd<< Get a ticket for me.	میرے لئیے بھی ایک ٹکٹ لینا۔
>>urd<< He did the opposite.	اس نے الٹا کیا۔
>>urd<< How did you find me?	تم نے مجھے ڈھونڈا کیسے؟
>>urd<< How did you find me?	آپ نے مجھے ڈھونڈا کیسے؟
>>urd<< I agree to his plan.	میں اس کے پلین سے متفک ہوں۔
>>urd<< I eat a lot of meat.	میں کافی زیادہ گوشت کھاتا ہوں۔
>>urd<< I have to go to bed.	میں سونے کیلئے بستر پر لیٹ چکا ہوں
>>urd<< I must have lost it.	میرا دماغ خراب ہو گیا ہے۔
>>urd<< I'd like to go, too.	میں نے بھی جانا ہے۔
>>urd<< It's a fact of life.	یہ زندگی کی حقیقت ہے۔
>>urd<< It's a mess in here.	یہاں گند مچا ہوا ہے۔
>>urd<< It's a real bargain.	یہ اچھا سودا ہے۔
>>urd<< It's already eleven.	گیارہ بج گئے ہے۔
>>urd<< It's never too late.	ابھی بھی دیر نہیں ہوئی۔
>>urd<< It's very hot today.	آج بہت گرمی ہے۔
>>urd<< Let me go just once.	مجھے صرف ایک دفعہ جانے دے۔
>>urd<< Let's try something.	چلو کچھ نہ کچھ کرنے کی کوشش کرتے ہیں۔
>>urd<< Love your neighbors.	امنے ہمسایوں سے بہترین سلوک کرو۔
>>urd<< She has many faults.	اس میں کافی خامیاں ہے۔
>>urd<< Take a few days off.	چند دن کی چھٹی لے لو۔
>>urd<< Thank you very much.	بڑی مہربانی۔
>>urd<< The house is vacant.	یہ گھر خالی ہے۔
>>urd<< They are my friends.	وہ میرے دوست ہیں۔
>>urd<< They are my friends.	وہ میری سہلیاں ہیں۔
>>urd<< We have a job to do.	ہمیں یہ کام کرنا ہے۔
>>urd<< Why did he run away?	وہ بھاگا کیوں؟
>>urd<< You have three cats.	آپ کے پاس تین بلیاں ہیں۔
>>urd<< You have three cats.	تمہارے پاس تین بلیاں ہیں۔
>>urd<< You look quite sick.	تم کافی بیمار لگ رہے ہو۔
>>urd<< A piano is expensive.	پیانو کافی مہنگا ہے۔
>>urd<< Do you want a ticket?	تمھیں ٹکٹ چاہیے؟
>>urd<< Don't make a mistake.	غلطی نہ کرنا۔
>>urd<< Don't make a mistake.	کوئی غلطی نہ کرنا۔
>>urd<< Give me a day or two.	مجھے کچھ دن دو۔
>>urd<< Go ahead and ask Tom.	ٹام سے پوچھ لو۔
>>urd<< He lived a long life.	اس نے ایک لمبی زندگی گزاری۔
>>urd<< He lives comfortably.	وہ سکون سے رہ رہا ہے۔
>>urd<< He lives comfortably.	وہ ایک آرامدہ زندگی گزار رہا ہے۔
>>urd<< I had a heart attack.	مجھے دل کا دورہ پڑا تھا۔
>>urd<< I have a debt to pay.	مجھے ایک قرض چکانا ہے۔
>>urd<< I tell you the truth.	میں تمھیں سچ بتا رہا ہوں۔
>>urd<< I'm allergic to fish.	مجھے مچھلی سے الرجی ہے۔
>>urd<< I'm the one to blame.	قصور میرا ہے۔
>>urd<< I'm the one to blame.	الزام مجھے دیا جائے۔
>>urd<< I've had a lousy day.	بہت بڑا دن گزرا آج۔
>>urd<< It is in the kitchen.	وہ باورچی خانے میں ہے۔
>>urd<< It tastes great, too.	اس کا ذائقہ بھی بہت اچھا ہے۔
>>urd<< It was all a big lie.	وہ ایک جھوٹ تھا۔
>>urd<< My head is exploding.	میرا سر پھٹ رہا ہے۔
>>urd<< Please choose wisely.	برائے مہربانی، دھیان سے فیصلہ کی جیئے گا۔
>>urd<< She is bad at sports.	وہ کھیلوں میں کافی بڑی ہے۔
>>urd<< She'll probably come.	ممکن ہے کہ وہ آجائے گی۔
>>urd<< Take a look at these.	یہ دیکھو۔
>>urd<< Take a look at these.	یہ دیکھیں۔
>>urd<< Take a look in there.	اس کے اندر دیکھو۔
>>urd<< Take a look in there.	وہاں دیکھو۔
>>urd<< The dish smells good.	کھانے کی خوشبو بہت اچھی ہے۔
>>urd<< The roses smell good.	گلابوں کی خوشبو بہت اچھی ہے۔
>>urd<< They aren't my books.	یہ میری کتابیں نہیں ہیں۔
>>urd<< Tom had a great time.	ٹام نے اچھا وقت گزارا۔
>>urd<< Tom is a wealthy man.	ٹام ایک امیر آدپی ہے۔
>>urd<< Tom knocked him down.	ٹام نے اسے نیچے گرا دیا۔
>>urd<< Tom won't let you go.	ٹام تمھیں جانے نہیں دے گا۔
>>urd<< We're not against it.	ہم اس کے مخالف نہیں ہیں۔
>>urd<< What did he do today?	اس نے آج کیا کیا؟
>>urd<< What did he do today?	انہیوں نے آج کیا کیا؟
>>urd<< Who are those people?	یہ لوگ کون ہے؟
>>urd<< Will I get well soon?	کیا میں جلدی ٹھیک ہو جائو گا؟
>>urd<< Will I get well soon?	کیا میں جلدی ٹھیک ہو جائو گی؟
>>urd<< He got 90% in English.	اس کے انگریزی میں ۹۰ فیصد آئے ہے۔
>>urd<< He got 90% in English.	اس کے انگریزی میں ۱۰۰ میں سے ۹۰ مارکس آئے ہے۔
>>urd<< He went into the bank.	وہ بینک کے اندر گیا۔
>>urd<< How long did you stay?	کتنی دیر آپ نے قیام کیا تھا؟
>>urd<< I agree with his idea.	میں اس کے خیال سے اتفاق کرتا ہوں۔
>>urd<< I agree with his idea.	میں ان کے خیال سے اتفاق کرتا ہوں۔
>>urd<< I don't remember that.	مجھے یہ نہیں یاد۔
>>urd<< I walked about 1 mile.	میں کوئی ۱ میل چلا۔
>>urd<< I'm a college student.	میں کالج میں پڑھتا ہوں۔
>>urd<< I'm a college student.	میں کالج میں پڑھتی ہوں۔
>>urd<< I'm a college student.	میں جامعہ میں پڑھتا ہوں۔
>>urd<< I'm a college student.	میں جامعہ میں پڑھتی ہوں۔
>>urd<< I'm a college student.	میں سٹوڈنٹ ہوں۔
>>urd<< It was real hard work.	بہت محنت والا کام تھا یہ۔
>>urd<< Keep your eyes peeled!	اپنی آنکھیں کھلی رکھنا۔
>>urd<< Show me another watch.	مجھے ایک اور گھڑی دکھائو۔
>>urd<< Show me another watch.	مجھے ایک اور گھڑی دکھائے۔
>>urd<< There'll be a problem.	مسلہ ہو جائے گا۔
>>urd<< Those are their books.	وہ ان کی کتابیں ہیں۔
>>urd<< Tom broke his glasses.	ٹام کی عینک ٹوٹ گئ۔
>>urd<< What did she do today?	اس نے آج کیا کیا؟
>>urd<< What did she do today?	انہیوں نے آج کیا کیا؟
>>urd<< What he did was wrong.	اس نے جو کیا وہ غلط تھا۔
>>urd<< Where do you all live?	تم سارے کہاں رہتے ہوں؟
>>urd<< Don't feed the animals.	جانوروں کو کھانا نہ ڈالے۔
>>urd<< Give me a call tonight.	مجھے آج رات کال کرنا۔
>>urd<< He always studies hard.	وہ بہت محنت کے ساتھ پڑھتا ہے۔
>>urd<< He employed a new maid.	اس نے ایک نئی کام والی رکھ لی۔
>>urd<< He employed a new maid.	اس نے ایک نئی نوکرانی رکھ لی۔
>>urd<< He had a strange dream.	اسے ایک عجیب خواب آیا۔
>>urd<< He had a strange dream.	اس نے ایک عجیب خواب دیکھا۔
>>urd<< I can't do this to Tom.	میں ٹام کے ساتھ یہ نہیں کر سکتا۔
>>urd<< I can't do this to Tom.	میں ٹام کے ساتھ یہ نہیں کر سکتی۔
>>urd<< I have a terrible pain.	مجھے بہت بڑی درد ہو رہی ہے۔
>>urd<< I know you like coffee.	مجھے پتہ ہے کہ تمہیں کافی پسند ہے۔
>>urd<< I know you like coffee.	میں جانتا ہوں کہ تمہیں کافی پسند ہے۔
>>urd<< I know you like coffee.	میں جانتا ہوں کہ آپ کو کافی پسند ہے۔
>>urd<< I prefer the black one.	میری ترجیح سیاہ والا ہے۔
>>urd<< I prefer the black one.	میں سیاہ والے کو ترجیح دوں گا۔
>>urd<< I prefer the black one.	میں سیاہ والے کو ترجیح دوں گی۔
>>urd<< I seem to have a fever.	مجھے لگ رہا ہے کہ بخار ہے۔
>>urd<< I used to be a teacher.	میں استاد ہوتا تھا۔
>>urd<< I was in the mountains.	. میں پہاڑوں پر تھا.
>>urd<< Is it a recent picture?	یہ ایک حالیہ تصویر ہے؟
>>urd<< My heart began to race.	میرا دل تیزی سے دھڑکنے لگا۔
>>urd<< My pants are too short.	میری پتلون بہت چھوٹی ہے۔
>>urd<< My pen has been stolen.	میرا پین چوری ہو گیا ہے۔
>>urd<< Tom can fix the heater.	ٹام ہیٹر ٹھیک کر سکتا ہے۔
>>urd<< Tom can fix the heater.	ٹام ہیٹر کی مرمت کر سکتا ہے۔
>>urd<< Tom doesn't like chess.	ٹام کو شطرنج پسند نہیں ہے۔
>>urd<< Tom is only a beginner.	ٹام ابھی اناڑی ہے۔
>>urd<< Tom is only a beginner.	ٹام نے ابھی ابتدا کی ہے۔
>>urd<< We can open the window.	ہم کھڑکی کھول سکتے ہیں۔
>>urd<< We have to act quickly.	ہمیں جلدی سے کچھ کرنا ہوگا۔
>>urd<< Weren't they satisfied?	وہ مطمئن نہیں ہوئے تھے کیا؟
>>urd<< Who are you going with?	تم کس کے ساتھ جا رہے ہو؟
>>urd<< Who are you going with?	تم کس کے ساتھ جا رہی ہو؟
>>urd<< Who are you going with?	آپ کس کے ساتھ جا رہے ہے؟
>>urd<< Who are you going with?	آپ کس کے ساتھ جا رہی ہے؟
>>urd<< Who did you meet there?	تم وہاں کس سے ملے تھے؟
>>urd<< Who left the door open?	دروازہ کون کھلا چھوڑ گیا تھا؟
>>urd<< You don't look so good.	تم کافی بیمار لگ رہے ہو۔
>>urd<< You don't look so good.	تم اچھے نہیں لگ رہے۔
>>urd<< You may or may not win.	تم شاید جیتو شاید نہ جیتو۔
>>urd<< You need to study more.	تمھیں زیادہ پڑھنا چاہئیے۔
>>urd<< You shouldn't eat here.	تمہیں یہاں نہیں کھانا چاہئیے۔
>>urd<< All the boxes are empty.	سارے ڈبے خالی ہیں۔
>>urd<< Are you falling for Tom?	کیا تمہیں ٹام سے پیار ہو رہا ہے؟
>>urd<< Bring me the dictionary.	مجھے لغت لا کے دو۔
>>urd<< Come on, answer quickly.	جلدی جواب دو۔
>>urd<< He readily agreed to it.	وہ فورا مان گیا۔
>>urd<< He sometimes loses hope.	وہ کبھی کبھار امید کھو دیتا ہے۔
>>urd<< He turned down my offer.	اس نے میری پیشکش ٹھکرا دی۔
>>urd<< He turned down my offer.	انہوں نے میری پیشکش ٹھکرا دی۔
>>urd<< I do not have much time.	میرے پاس زیادہ وقت نہیں ہے۔
>>urd<< I know that you're rich.	مجھے پتا ہے کہ تم امیر ہو۔
>>urd<< I know that you're rich.	مجھے پتا ہے کہ آپ امیر ہے۔
>>urd<< I know that you're rich.	میں جانتا ہوں کہ تم امیر ہو۔
>>urd<< I know that you're rich.	میں جانتا ہوں کہ آپ امیر ہے۔
>>urd<< I saw him play baseball.	میں نے اسے بیس بال کھیلتے ہوئے دیکھا۔
>>urd<< I saw tears in his eyes.	مجھے اس کی آنکھوں میں آنسو نظر آئے۔
>>urd<< I'll return immediately.	میں فوراً لوٹ آؤنگا ۔
>>urd<< I'm on the eighth floor.	میں آٹھویں منزل پر ہوں۔
>>urd<< I'm seeing them tonight.	میں انہیں آج مل رہا ہوں۔
>>urd<< Is that black bag yours?	کیا وہ کالا بیگ تمہارا ہے؟
>>urd<< Is that black bag yours?	کیا وہ کالا بیگ آپ کا ہے؟
>>urd<< It wouldn't surprise me.	مجھے حیرانی نہیں ہو گی۔
>>urd<< She helped me willingly.	اس نے اپنی مرضی سے میری مدد کی۔
>>urd<< She is a stranger to me.	وہ ( لڑکی ) میرے لئے اجنبی ہے ۔
>>urd<< She really looks pretty.	وہ واقعی بہت خوبصورت لگ رہی ہے۔
>>urd<< That's the right answer.	یہ بلکل صحیح جواب ہے۔
>>urd<< The weather became warm.	موسم تھوڑا گرم ہو گیا۔
>>urd<< Tom and I are both busy.	ٹام اور میں دونوں ہی مصروف ہیں۔
>>urd<< Tom kept his mouth shut.	ٹام نے اپنا منہ بند رکھا۔
>>urd<< Who lives in this house?	اس گھر میں کون رہتا ہے؟
>>urd<< A river divides the town.	ایک دریا قصبے کو دو حصوں میں تقسیم کرتی ہے۔
>>urd<< Each player did his best.	ہر کھلاڑی نے اپنی بھرپور کوشش کی۔
>>urd<< He caught me by the hand.	اس نے میرے ہاتھ کو تھام لیا۔
>>urd<< He caught me by the hand.	اس نے مجھے میرے ہاتھ سے پکڑ لیا۔
>>urd<< He doesn't live far away.	وہ زیادہ دور نہیں رہتا۔
>>urd<< He is lying on the bench.	وہ بینچ پہ لیٹا ہوا ہے۔
>>urd<< He wanted to be a farmer.	وہ ایک کسان بننا چاھتا تھا۔
>>urd<< His car is two years old.	اس کی گاڑی دو سال پرانی ہے۔
>>urd<< His car is two years old.	ان کی گاڑی دو سال پرانی ہے۔
>>urd<< How many teams are there?	کتنی ٹیمیں ہیں؟
>>urd<< How well do you know Tom?	تم ٹام کو کتنی اچھی طرح جانتے ہو؟
>>urd<< I am taking tomorrow off.	میں کل چھٹی کر ریا ہوں۔
>>urd<< I can't fight any longer.	میں اور زیادہ نہیں لڑ سکتا۔
>>urd<< I don't know what to say.	مجھے نہیں پتا کیا کہنا ہے ۔
>>urd<< I don't want to miss you.	میں تمہیں مس نہیں کرنا چاہتا۔
>>urd<< I have no time for games.	میرے پاس کھیل کود کے لئیے وقت نہیں ہے۔
>>urd<< I owe ten dollars to her.	میں نے اس کے دس ڈالر دینے ہے۔
>>urd<< I owe ten dollars to her.	میں نے اس کو دس ڈالر واپس کرنے ہے۔
>>urd<< I received an invitation.	مجھے دعوت نامہ ملا ہے۔
