>>war<< Hello!	¡Kumusta!
>>war<< You're just envious.	Na-áwà ka là.
>>war<< You're out of order.	Nagwawatak ka.
>>war<< Are you in Australia?	¿Áada ka ha Australya?
>>war<< Are you in Australia?	¿Áda ka Australya?
>>war<< Can we talk a second?	Puydi kita mag-estorya?
>>war<< Did Tom see anything?	¿May nakit-an hi Tom?
>>war<< Did you get the loan?	¿Nakuha mo an imo hinuhuram?
>>war<< Did you see a doctor?	¿Nagpa-doktor ka?
>>war<< Did you see a doctor?	¿Nakigkita ka hin doktor?
>>war<< Did you see a doctor?	¿Bumisita ka ha doktor?
>>war<< Did you see a doctor?	¿Kumadto ka doktor?
>>war<< Don't rely on others.	Ayaw pagtápod hit ibá.
>>war<< Good night, everyone!	¡Maupay nga gab-i ha ngatanan!
>>war<< I can swim very fast.	Nakakalangoy akó hin madagmit.
>>war<< I did what was right.	Ginhimo ko kun ano an isakto.
>>war<< I have to keep going.	Kinahánglan nakun magpadáyun.
>>war<< I owe a lot of money.	Dámo iton akón útang nga kwárta.
>>war<< I still want to play.	Karuyag ko pa mag-mulay.
>>war<< I think they saw you.	Pag-abat ko nakikit'an ka nira.
>>war<< I was very skeptical.	Duro tak pagduda.
>>war<< I was very skeptical.	Nag-aalang ak hin duro.
>>war<< I'd like to try this.	Karuyag ko proybahan ini.
>>war<< I'd like to try this.	Karuyag ko testingan ini.
>>war<< I'll ask Tom for you.	Pakianhan ko hi Tom para haim.
>>war<< I'll go and get them.	Malakat akó ngan kuhaon ko hirá.
>>war<< I'll take it outside.	Igagawas ko iton.
>>war<< I've got to stop you.	Kinahanglan ko pahuyuon ka.
>>war<< It wasn't my mistake.	Diri adto akon sayup.
>>war<< She is out of danger.	Gawás hiyá hit' kadelikaduhan.
>>war<< Tom bragged about it.	Naghinambog hi Tom hiton.
>>war<< Tom can speak French.	Maaram mag-prinanses hi Tom.
>>war<< Tom can't explain it.	Diri kaya ni Tom igeksplekar iton.
>>war<< Tom climbed the tree.	Hi Tom sumaka ha káhoy.
>>war<< Tom climbed the tree.	Nagsaklang hi Tom ha kahoy.
>>war<< Tom climbed the tree.	Hi Tom sinaka ha kahoy.
>>war<< Tom climbed the tree.	Ginsaka ni Tom an káhoy.
>>war<< Tom decided to leave.	Nagdesisyon hi Tom nga lumakat.
>>war<< Tom left at midnight.	Linmakat hi Tom ha katutnga han gab-i.
>>war<< Tom likes to do that.	Karuyag iton buháton ni Tom.
>>war<< Tom wants to take it.	Karuyag iton ni Tom.
>>war<< We have many members.	Dámu tat miyembro.
>>war<< We have many members.	Dámu iton aton miyembro.
>>war<< We have many members.	Dámu iton amun miyembro.
>>war<< We have many members.	Dámu tam miyembro.
>>war<< We have many members.	Kadámu hiton amun miyembro.
>>war<< We met at the church.	Nagkakilala kamí ha singbahan.
>>war<< We'll always be here.	Adi la kami.
>>war<< Who are your parents?	Hin-o iton imo mga kag-anak?
>>war<< Did you hurt yourself?	Naul-ulan ka?
>>war<< Does your mother know?	¿Maaram it' im' iroy?
>>war<< I can play the guitar.	Nakatokar hi akó han sista.
>>war<< I can play the guitar.	Nakatokar ak hit sista.
>>war<< I hit him on the chin.	Naigo ko hiyá ha panga.
>>war<< I made a lot of money.	Naka-kwarta ako hin damo.
>>war<< I won't do it anymore.	Diri ko na iton bubuhaton.
>>war<< I won't tolerate that.	Dírì ko iton pasagdan.
>>war<< I'm a terrible dancer.	Diri ako maaram sumayaw.
>>war<< I'm easily influenced.	Masayon ako na-impluwensyahan.
>>war<< I'm going to stop Tom.	Papahuyuon ko hi Tom.
>>war<< I've lost my appetite.	Nawad-an na ako hin gana.
>>war<< I've lost my appetite.	Nawara na akon gana.
>>war<< If I were you, I'd go.	Kun ako ha imo, mapakadto ako.
>>war<< If I were you, I'd go.	Kun ak’ ha im', ma'kadto ak’.
>>war<< If I were you, I'd go.	Malargo ako, kun ako ha imo.
>>war<< If I were you, I'd go.	Malarga ako, kun ako ha imo.
>>war<< If I were you, I'd go.	Kun ak' ha im', malakat ak'.
>>war<< If I were you, I'd go.	Malakat ako kun ako ha imo.
>>war<< It was very difficult.	Makuri adto hin duro.
>>war<< It won't last forever.	Dírì iton magdudugay.
>>war<< It won't last forever.	Dírì iton permanente.
>>war<< Let's go and find Tom.	Kana na ngan pamilinga ta hi Tom.
>>war<< Let's go and find Tom.	Kana na ngan bilinga naton hi Tom.
>>war<< OK, what's the secret?	Sige ¿Áno't sekreto?
>>war<< Please stop whistling.	Alayon huyo pagtinaghuyon.
>>war<< Take good care of Tom.	Timangnoa hin maúpay hi Tom.
>>war<< That book is very old.	Kadaan itón nga libro.
>>war<< The bookstore is open.	Abyerto an baraligyaan hin libro.
>>war<< Tom is a little crazy.	Bagá lurong hi Tom.
>>war<< Tom is always working.	Permanente natrabaho hi Tom.
>>war<< Tom is going to do it.	Hihimuon iton ni Tom.
>>war<< Tom is going to do it.	Bubuhaton iton ni Tom.
>>war<< Tom sold Mary his car.	Ginbaligya ni Tom an iya kotse kan Mary.
>>war<< We ate bacon and eggs.	Kumaon kami hin bacon ngan bunay.
>>war<< We've made a decision.	Nagdesisyon na kami.
>>war<< We've made a decision.	Gindesisyonan na namun.
>>war<< We've made a decision.	Nagdesisyon na kita.
>>war<< We've made a decision.	Gindesisyonan na natun.
>>war<< What do we do with it?	Aanuhon man naton iton?
>>war<< Where is the elevator?	Hain iton elibitor?
>>war<< Whose books are those?	¿Kan kanay itón nga mga libro?
>>war<< You can't go anywhere.	Waray nimo iba nga kakadtuan.
>>war<< You look rather tired.	Kapóy ka pagkitaon.
>>war<< Are you listening, Tom?	¿Namamáti ka Tom?
>>war<< He's unable to do that.	Waray hiya makahimo hiton.
>>war<< He's unable to do that.	Pakyas hiya mabuhat iton.
>>war<< How do you change that?	Gin-ano mo an pag-iba hiton?
>>war<< I already have an iPad.	May-ada ko na IPad.
>>war<< I didn't go to the zoo.	Waráy ak' singadto ha zoo.
>>war<< I had my house painted.	Ginpintaran ko an ákòn balay.
>>war<< I heard my name called.	Nabatian ko nga tinawag an ákòn ngáran.
>>war<< I hope you can do this.	Unta mahimo nimo ini.
>>war<< I only went there once.	Nakausa la ako singadto.
>>war<< I really need to sleep.	Kinahanglan gud hi akó kumatúrog.
>>war<< I sat down next to Tom.	Lumingkod ako sapit hi Tom.
>>war<< I'll talk to Tom alone.	Kami la ni Tom iton mag-estorya.
>>war<< I'm becoming forgetful.	Nahihingalimtanun na ako.
>>war<< Let's start right away.	Pagtikang kita diretso.
>>war<< Let's start right away.	Pagtikang kitá yana dayon.
>>war<< No one can control him.	Waray nkakakontrol ha iya.
>>war<< That's a hard question.	Makuri iton nga pakiana.
>>war<< The engine won't start.	An makina diri naandar.
>>war<< The engine won't start.	An makina diri naganar.
>>war<< Their jeans do not fit.	An ira maung diri naigu.
>>war<< Their jeans do not fit.	An ira maung diri sakto ha ira.
>>war<< They helped each other.	Nagibuligay hirá.
>>war<< They weren't listening.	Diri hira nanmamati.
>>war<< Tom did it voluntarily.	Boluntaryo itón na ginhimo ni Tom.
>>war<< Tom doesn't sleep here.	Diri nganhi nakaturog hi Tom.
>>war<< Tom got life in prison.	Mapripriso hi Tom.
>>war<< Tom is afraid of dying.	Hadluk hi Tom namatay.
>>war<< Tom is fanning himself.	Nagpa-paypay hi Tom hiton iya kalugaringon.
>>war<< Tom is timid, isn't he?	Aw'dunon hi Tom ano?
>>war<< We became fast friends.	Madagmit kita nagkasángkay.
>>war<< We don't know for sure.	Sigurado diri kami maaram.
>>war<< We must get up at dawn.	Kinahanglanon naton magmata hiton aga-aga.
>>war<< We turned on the radio.	Ginpaandar namon an radyo.
>>war<< We turned on the radio.	Nagpatukar kami hin radyo.
>>war<< What made her so angry?	¿Áno it' rason hit' íya duro nga kaisugon?
>>war<< What made her so angry?	¿Kay-ano duro it iya pag-inisog?
>>war<< What made her so angry?	¿Ura-ura man it' iya isog?
>>war<< What made her so angry?	¿Duro man it' ísog 'ton?
>>war<< Who's this message for?	¿Para kanay ini nga mensahe?
>>war<< Why would Tom be angry?	¿Kay-ano mag-iisog hi Tom?
>>war<< Can Tom do that himself?	Mahihimo iton ni Tom?
>>war<< Great minds think alike.	Iton magkarit nga utok, paprehas manhuna-huna.
>>war<< I asked Tom for a favor.	Umaro ako hin pabor kan Tom.
>>war<< I don't really remember.	Diri ko gud nahihinumduman.
>>war<< I got a letter from her.	May-áda ako surát tikang ha íya.
>>war<< I got a letter from her.	Nakakarawát ak' surát tikang ha íya.
>>war<< I have an exam tomorrow.	Mayda hi akó examen buwas.
>>war<< I hope everyone is safe.	Unta talwas ngatanan.
>>war<< I love arguing with Tom.	Karuyag ko iton pakigriniwa kan Tom.
>>war<< I saw him looking at me.	Nakit-an ko hiya nga nasiplat ha akon.
>>war<< I shouldn't be too late.	Diri ak dapat mauraura ka-urhi.
>>war<< I think about Tom often.	Masúkot ako magpinanhunahuna kan Tom.
>>war<< I think this is perfect.	Pag-abat ko perpekto na inin.
>>war<< I think this is perfect.	It akun paghuna-huna perpekto na inin.
>>war<< I think this is perfect.	Perpekto na inin.
>>war<< I think this is perfect.	Perpekto na ini.
>>war<< I'm asking your opinion.	Nagpapakiana ak' ano ti'm masisiring.
>>war<< I've been seeing things.	May-ada akó pinanngingita.
>>war<< My wife works part time.	It' ákòn bána nagtratrabaho part taym.
>>war<< She knocked on the door.	Tumuktok hiyá ha purtahán.
>>war<< That's better, isn't it?	¿Mauro-upay itón ano?
>>war<< This food smells rotten.	Maraot na iton baho hini nga pagkaon.
>>war<< This place is different.	Iba ini nga lugar.
>>war<< This place is different.	Ini nga lugar iba.
>>war<< This place is different.	Láin ini nga lugar.
>>war<< This place is different.	Ini nga lugar láin.
>>war<< Tom drank too much wine.	Ura-ura nga bino an nainum ni Tom.
>>war<< Tom has family problems.	May-ada mga problema ha pamilya hi Tom.
>>war<< Tom has trouble reading.	Kinukurian hi Tom pagbasa.
>>war<< Tom seems to be jealous.	Baga'n nagseselos hi Tom.
>>war<< Tom was rescued by Mary.	Binuligan ni Mary hi Tom.
>>war<< Tom, you sound terrible.	Maláin ka pamatian Tom.
>>war<< We don't have to starve.	Diri natun kinahanglan paggutumon.
>>war<< We don't have to starve.	Diri kinahanglan nga panggut-asun kita.
>>war<< We've looked everywhere.	Nanngita na kami bisan diin.
>>war<< What can Tom do to help?	Ano it mahihibulig ni Tom?
>>war<< Who are you laughing at?	¿Hin-o iton ímo gintitinawaan?
>>war<< Why do you care so much?	¿Kay ano todo bantay ka?
>>war<< Why do you care so much?	¿Kay ano uraura iton imo pag-alaga?
>>war<< Write your name in full.	Kompletuha iton pagsurat hiton imo ngaran.
>>war<< You would never do that.	Diri mo gud iton hihimuon.
>>war<< You would never do that.	Diri mo gud 'ton 'himuon.
>>war<< You would never do that.	Diri mo gud iton pagbubuhaton.
>>war<< You would never do that.	Diri mo gud it' pag'buhaton.
>>war<< You'd better stand back.	Mas maupay kun mahuyo ka la ngada.
>>war<< Cocoa can be very bitter.	It kakaw puydi maging mapait.
>>war<< Do you know where she is?	¿Maaram ka kun háin hiyá?
>>war<< Does anybody smell smoke?	¿Nakakabaho kamu hin asú?
>>war<< Don't worry about others.	Ayáw kabarak-i it' ibà.
>>war<< Don't worry about others.	Ayáw pagbinaraka hit' ibà.
>>war<< Every day was exhausting.	Makápoy han kada ádlaw.
>>war<< Everybody but Tom smiled.	Ngatanan ngumisi labot la kan Tom.
>>war<< Everybody but Tom smiled.	Nanngisi tanan labot la kan Tom.
>>war<< His body was never found.	Waráy na makit-i an iya láwas.
>>war<< His body was never found.	Waráy na mabilngi an íya láwas.
>>war<< I arrived here yesterday.	Umabót ako dinhi kakulop.
>>war<< I know that feeling, too.	Maaram ako kun ma-ano ito gihapon.
>>war<< I like playing the piano.	Naruruyag ako pagpyano.
>>war<< I love talking to people.	Karuyag ko it pakig-eristorya ha mga tawo.
>>war<< I think Tom is impatient.	Iton akon pagkita diri pasensyoso hi Tom.
>>war<< I think that he is right.	It akon paghuna-huna hiya iton asya.
>>war<< I think you're all wrong.	Iton akon pag-kita mga sayop kamo.
>>war<< I'll definitely miss you.	Pagmimingawun gud ako ha imo.
>>war<< I'm not ready for it yet.	Diri pa ako andam para heton.
>>war<< I've known Tom for years.	Madugay ko na iton nga kilala hi Tom.
>>war<< I've known Tom for years.	Hadto ko pa iton kilala hi Tom.
>>war<< Is it OK if I open a can?	¿Puydi akó mag-abre hin lata?
>>war<< Is there any coffee left?	May-ada nasalin pa nga kape?
>>war<< It's really hot out here.	Kamapaso gud liwat ha gawas.
>>war<< It's really hot out here.	Kamapaso gud liwat didto.
>>war<< That's quite meaningless.	Baga hin waray hiton pulos.
>>war<< That's what we're hoping.	Amo iton an amon ginlalaom.
>>war<< There's someone with Tom.	May-ada kaupod ni Tom.
>>war<< Tom didn't make anything.	Waray ginhimo ni Tom.
>>war<< Tom hasn't done that yet.	Waray pa iton tapusa ni Tom.
>>war<< Tom is just an assistant.	Hi Tom parag-asister la.
>>war<< Tom is no longer in pain.	Dírì na nauul-ulan hi Tom.
>>war<< Tom lied about his grade.	Nagbinuwa hi Tom han íya grado.
>>war<< Tom really wants to help.	Karuyag gud ni Tom bumulig.
>>war<< What food don't you like?	¿Anó nga pagkaon it dírì mo naruruyagan?
>>war<< Where exactly did you go?	¿Napakain gud kamó?
>>war<< Where exactly did you go?	¿Kumaín gud kamó?
>>war<< Why did it have to be me?	¿Kay ano hi ako pa?
>>war<< Why is everybody in here?	Kay-ano ano aanhi iton ngatanan?
>>war<< Would you mind if I help?	¿Dírì mo maano kun bumulig ak?
>>war<< Would you mind if I help?	¿Waráy kaso ha imo kun bumulig akó?
>>war<< You never arrive on time.	Diri ka naabot ha oras.
>>war<< You shouldn't be jealous.	Kunta dírì ka magselos.
>>war<< You shouldn't be jealous.	Dírì mo kinahánglan magselos.
>>war<< Are they friends of yours?	¿Sángkay mo hirá?
>>war<< Do you like rock and roll?	Maki-rak ka?
>>war<< Everybody had a hard time.	Kinurian ngatanan.
>>war<< He is capable as a lawyer.	Puyde hiyá magin abogado.
>>war<< He is capable as a lawyer.	May-kapasidad hiyá magin abogado.
>>war<< He likes his school a lot.	Karuyag niya iton iya eskuylahan hin duro.
>>war<< He likes his school a lot.	Karuyag gud niya iton iya eskuylahan.
>>war<< He's not breaking the law.	Diri hiya natalipas hiton balaud.
>>war<< I can't live without a TV.	Diri ako mabubuhi hin waray TV.
>>war<< I can't live without a TV.	Diri ako mailob hin waray TV.
>>war<< I don't like living alone.	Nadiri ako mag-inusahan la.
>>war<< I just hope it's not true.	Naglalaum ako nga unta diri iton tuod.
>>war<< I planned a party for you.	Nagplano ak hin katitiruk para ha imo.
>>war<< I really want to help you.	Karuyag ko gud nga buligan ka.
>>war<< I study English at school.	Nag-aaram ako hin Ingles ha eskuylahan.
>>war<< I think the pay is enough.	Iton akon pagkita isakto na iton nga bayad.
>>war<< I thought I could do that.	Kasiring ko mahihimo ko iton.
>>war<< I thought Tom would agree.	Kasing ko masige hi Tom.
>>war<< I thought Tom would agree.	Kasing ko matangdo hi Tom.
>>war<< I want to go to Australia.	Karuyag ko kumadto Australia.
>>war<< If only he had been there.	Kun dinhi là untà hiyá.
>>war<< It's neither good nor bad.	Diri iton maupay, diri liwat maraot.
>>war<< Let's hope it still works.	Pag-laum kita naganar pa iton.
>>war<< People are getting scared.	Nagkakahadlok iton mga tawo.
>>war<< School begins at 8:10 a.m.	It klase nagtitikang alas-otso hit' ága.
>>war<< She gave them some apples.	Gintagan niya hirá hin pira nga mansanas.
>>war<< So, are you seeing anyone?	May-ada ka ginkakakíta nga iba?
>>war<< Tell me where the wine is.	Sumati ako hain an bino.
>>war<< That's the choice we made.	Amu iton an amon pinili.
>>war<< That's the choice we made.	Amu iton an amun ginpili.
>>war<< The baby needs his mother.	An bata kinahanglanun an iya iroy.
>>war<< The tree blocked the road.	Nakakaulang an kahoy ha aragian.
>>war<< There's nothing remaining.	Waray nasalin.
>>war<< This is a personal matter.	Personal ini nga butang.
>>war<< This isn't drinking water.	Dírì ini mairinom nga túbig.
>>war<< Tom doesn't look too well.	Diri maupay iton itsura ni Tom.
>>war<< Tom doesn't look too well.	Baga'n diri maupay yana hi Tom.
>>war<< Tom is going to come back.	Mábálik hi Tom.
>>war<< Tom is just a regular guy.	Hi Tom usa la nga ordinaryo nga lalake.
