>>arq<< Good job!	خدما مليحا.
>>arq<< Sumatra is an island.	سوماترا جزيرا.
>>arq<< We didn't do a thing.	مادرنا والو.
>>arq<< Who did you vote for?	عليمن فوطيت.
>>arq<< Why do you work here?	علاش تخدم هنا.
>>arq<< Call me at the office.	عيّطلي فلبيرو.
>>arq<< Can I turn off the TV?	نقدر نطفي تلفزيون؟
>>arq<< Can I use your pencil?	نقدر نستعمل لقلم ديالك.
>>arq<< He crossed the street.	قطع طريق.
>>arq<< I am tired of my work.	عييت ملخدما ديالي.
>>arq<< May I use your pencil?	نقدر نستعمل لقلم ديالك.
>>arq<< Don't be overconfident.	ما تكونش واتق بزّاف منفسك.
>>arq<< He wasn't ready for it.	ماكانش واجدلها.
>>arq<< It's fairly warm today.	الحال شوية سخون اليوم.
>>arq<< Take your hands off me!	نحِّي يدّك عليّا.
>>arq<< This is the last train.	هادي هيّا لماشينا لّخرا.
>>arq<< What're we waiting for?	واش رانا نستنّاو؟
>>arq<< Could I use your pencil?	نقدر نستعمل لقلم ديالك.
>>arq<< I always walk to school.	دايما نروح لّمسيد نمشي.
>>arq<< I have bad news for you.	عندي خبر عيّان ليك.
>>arq<< It's not the first time.	ماشي لمرَّا لّولا.
>>arq<< The price is reasonable.	سوما معقولا.
>>arq<< They are making a salad.	راهم ايديرو فشلاضا
>>arq<< Tom told you, didn't he?	طوم لّيقالك، ولاّ لالا؟
>>arq<< Why didn't you stop them?	وعلاش ما حبستهومش؟
>>arq<< I don't want to be a hero.	مارانيش حاب نكون بطل.
>>arq<< I have to make some calls.	لازم نتيليفوني.
>>arq<< It is nice and warm today.	لحال راو شباب اودافي ليوم.
>>arq<< There are almost no books.	قريب ماكاين حتى كتاب.
>>arq<< Where are you going to go?	وين راك رايح تروح.
>>arq<< Where are you going to go?	وين راكم رايحين تروحو.
>>arq<< Where are you going to go?	وين راكي رايحا تروحي.
>>arq<< He seems to be very sleepy.	ايبان راو نعسان بزّاف.
>>arq<< I think you'd better leave.	نضن تعمل مليح لوكان تروح.
>>arq<< We have no school tomorrow.	غدوا ما نقراوش.
>>arq<< What time did Tom get here?	علاقدّاش لحق طوم لّهنا.
>>arq<< Are you going by bus or car?	تروح فلكار ولا فطونوبيل.
>>arq<< Are you going by bus or car?	تروحي فلكار ولا فطونوبيل.
>>arq<< Are you going by bus or car?	تروحو فلكار ولا فطونوبيل.
>>arq<< I saw Tom a few minutes ago.	شفت طوم عندها شي دقايق.
>>arq<< My father has gone to China.	بابا راح لشِّين.
>>arq<< We don't know our neighbors.	ما نعرفوش جيرانّا.
>>arq<< I want you to read this book.	راني حابّك تقرى هاد لكتاب.
>>arq<< The apple has begun to decay.	هاد التّفاحا بدات ترشا.
>>arq<< This hat is too tight for me.	تشابونا هادي مزيرا بزاف على راسي.
>>arq<< I always go to school on foot.	دايما نروح لّمسيد على رجليا.
>>arq<< I just want to go back to bed.	راني حاب برك نولّي لفراش.
>>arq<< My father cut wood with a saw.	بابا قطّع لحطب بالمنشار
>>arq<< My sister is shorter than you.	ختي قصيرا عليك.
>>arq<< She left school two years ago.	خرجت ملمسيد عندها عامين.
>>arq<< What would you like Tom to do?	واش راك حاب ايدير طوم؟
>>arq<< I think Tom was born in Boston.	نضن طوم زاد في بوسطن.
>>arq<< I think we're going to be late.	نضن رانا رايحين نكونو متأخرين.
>>arq<< The ghost story was terrifying.	لحكايا تع لغول تخوف.
>>arq<< The ghost story was terrifying.	لحكايا تع لغول تخلع.
>>arq<< Are you busy tomorrow afternoon?	راك محكوم غدوا لعشيّا؟
>>arq<< I used to be the same age as you.	كنت قدّك.
>>arq<< She is able to speak ten languages.	تقدر تهدر عشرا لوغات.
>>arq<< He seems to be aware of my feelings.	ايبان راو واعي بواش راني نحّس.
>>arq<< I can't imagine my life without you.	ما نقدرش نخايل حياتي بلا بيك.
>>arq<< I taught Tom French three years ago.	عندها تلت سنين قريت طوم لفرنسي.
>>arq<< I think that Tom was born in Boston.	نضن طوم زاد في بوسطن.
>>arq<< After lunch we have two more classes.	مور لفطور عندنا زوج دروس.
>>arq<< I have not heard from her for a month.	عندي شهر ما سمعتش عليها.
>>arq<< I think I know what Tom is doing here.	نضن علابالي وش كان ايدير هنا طوم.
>>arq<< My sister always keeps her room clean.	ختي دايمن تخلِّي لبِيت ديالها نقِيا.
>>arq<< Tom raked up the leaves in the garden.	توم لم الوراق فالبارك
>>arq<< He went up to her and they shook hands.	دنّا ليها وخمس معاها.
>>arq<< Many people have made the same mistake.	بزاف ناس دارو نفس الغلطة.
>>arq<< It was found at the bottom of the river.	لقاوه فقاع لواد.
>>arq<< It was found at the bottom of the river.	لقاوها فقاع لواد.
>>arq<< He is slowly recovering from his illness.	راو يبرا بلعقل ملمرض ديالو.
>>arq<< He left the room as soon as I entered it.	غير دخلت لشّمبرا خرج.
>>arq<< He left the room as soon as I entered it.	غير دخلت للبيت خرج.
>>arq<< I don't understand a thing you're saying.	ما فهمت والوا فواش راك تقول.
>>arq<< I'm not satisfied with the result at all.	ماهوش عاجبني لحال كامل بالنتيجا.
>>arq<< The school is closed because of the snow.	لمسيد راو مغلوق علا جال التلج.
>>arq<< Did you see him while you were at Lambton?	شفتو كي كنت فلامبطون؟
>>arq<< I wonder why we play tennis in miniskirts.	مانيش فاهم علاش يلعبو تينيس بلميني.
>>arq<< Tom is standing in the corner of the room.	طوم راو واقف فلكوانا تع اشّومبرا.
>>arq<< Tom is standing in the corner of the room.	طوم راو واقف فلكوانا تع لبيت.
>>arq<< If he studied hard, he would pass the test.	لُواكن يقرا مليح، يقدر ايجيب ليختيبار ديالو.
>>arq<< It's too late to do anything about that now.	طروطار درك، ما نقدرو نديرو والو.
>>arq<< He crushed the sheet of paper up into a ball.	كرفس الورقا أو دار بيها بولا.
>>arq<< I'm going to go to the doctor this afternoon.	راني رايح نروح لطبيب هاد لعشيّا.
>>arq<< He cared for his mother after his father died.	كان لاتي بيمّاه مور ما مات باباه.
>>arq<< She was born with a silver spoon in her mouth.	زادت بمغرفا تع لفضا في فمها.
>>arq<< I pretended not to understand what he was saying.	درت روحي مافهمتش واش كان إيقول.
>>arq<< I will tell him about it when he comes next time.	نقولّو عليها كيجي لمرّا لجايا.
>>arq<< She was ready to help him with cleaning the house.	كانت واجدا باش تعاونهم بش إينقِّيو ادّار.
>>arq<< I'm calling because my credit card has been stolen.	عيّطت علاخاطرش سرقولي لكارت كريدي.
>>arq<< If it were not for water, no living things could live.	لوكان ماكانش كاين الما، حتى حاجا ما تقدر تعيش.
>>arq<< The police seized a large quantity of drugs at the school.	لابوليس سيزاو كانتيتي كبيرا تع الزطلا فلمسيد.
>>arq<< They wanted a wedding picture in front of the Eiffel Tower.	حبو ياخدو تصويرا تع الزواج ديالهم قدام لاتوريفال.
