>>khm<< Go.	ទៅ។
>>khm<< I hear you.	ខ្ញុំឮឯង។
>>khm<< I love you.	បងស្រលាញ់អូន។
>>khm<< I love you.	អូនស្រលាញ់បង។
>>khm<< I ran home.	ខ្ញុំរត់ទៅផ្ទះ ។
>>khm<< I'm hungry!	ខ្ញុំឃ្លាន !
>>khm<< I'm hungry!	ខ្ញុំហេវ !
>>khm<< I'm hungry!	ឃ្លានបាយ !
>>khm<< I'm hungry!	ហេវបាយ !
>>khm<< Is that so?	អញ្ចឹងមែន ?
>>khm<< Is that so?	មែនអេ៎ ?
>>khm<< It's close.	វានៅជិត។
>>khm<< Keep quiet!	សូមស្ងាត់!
>>khm<< Keep quiet!	ស្ងាត់!
>>khm<< Keep quiet.	សូមស្ងាត់។
>>khm<< Keep quiet.	ស្ងាត់។
>>khm<< No problem.	​អត់បញ្ហា។
>>khm<< Stay close.	នៅជិតនេះ។
>>khm<< Stay close.	នៅជិតនេះហើយ។
>>khm<< Take these.	យកនេះ។
>>khm<< Tom drinks.	ថមផឹក។
>>khm<< Tom hit me.	ថមវាយខ្ញុំ។
>>khm<< Tom hit me.	ថមវៃខ្ញុំ។
>>khm<< Was it fun?	សប្បាយអត់ ?
>>khm<< What is it?	អីគេ​ហ្នឹង ?
>>khm<< Break it up!	បំបែកវាចេញ។
>>khm<< Don't worry.	កុំបារម្ភអី ។
>>khm<< Don't worry.	កុំព្រួយណា៎ ។
>>khm<< Don't worry.	កុំភ័យអី ។
>>khm<< Go find Tom.	ទៅរកថម។
>>khm<< Go find Tom.	ទៅស្វែងរកថម។
>>khm<< Go get help.	ទៅទទួលជំនួយ។
>>khm<< Go help Tom.	ទៅជួយ ថម។
>>khm<< Go meet Tom.	ទៅជួប ថម។
>>khm<< Go tell Tom.	ទៅប្រាប់ ថម។
>>khm<< Go that way.	ទៅខាងនោះ។
>>khm<< Go with Tom.	ទៅជាមួយ ថម។
>>khm<< Hear me out.	ស្តាប់ខ្ញុំ។
>>khm<< Help me out.	ជួយខ្ញុំផង ។
>>khm<< Here, catch!	នេះ ចាប់!
>>khm<< How are you?	សុខសប្បាយអត់ ?
>>khm<< I also went.	ខ្ញុំបានទៅដែរ។
>>khm<< I also went.	ខ្ញុំក៏បានទៅដែរ។
>>khm<< I eat bread.	ខ្ញុំ​ញ៉ាំ​នំ​ប៉័ង​។
>>khm<< I have time.	ខ្ញុំមានពេល ។
>>khm<< I hear that.	ខ្ញុំឮវា។
>>khm<< I like cats.	ខ្ញុំចូលចិត្តឆ្មា ។
>>khm<< I like fish.	ខ្ញុំចូលចិត្តត្រី។
>>khm<< I lost face.	ខ្ញុំបានបាក់មុខ។
>>khm<< I lost face.	ខ្ញុំបានអាម៉ាស់មុខ។
>>khm<< I love cats.	ខ្ញុំស្រលាញ់ឆ្មា ។
>>khm<< I thank you.	ខ្ញុំសូមអរគុណដល់អ្នក ។
>>khm<< I'm a woman.	ខ្ញុំ​គឺជា​មនុស្ស​ស្រី ។
>>khm<< I'm thirsty.	ខ្ញុំស្រេកទឺក ។
>>khm<< I'm thirsty.	ខ្ញុំឃ្លានទឹក ។
>>khm<< Keep trying.	ខិតខំតទៅទៀត។
>>khm<< Keep trying.	ខំទៀត។
>>khm<< OK. I agree.	បាទ​! យល់ព្រម​ ។
>>khm<< OK. I agree.	ចា៎​! យល់ព្រម ​។
>>khm<< She hit him.	នាងវាយគាត់។
>>khm<< She hit him.	នាងវៃគាត់។
>>khm<< Stay in bed.	នៅលើគ្រែ។
>>khm<< Tom was hit.	ថមត្រូវបានគេវាយ។
>>khm<< Tom was hit.	ថមត្រូវបានគេវៃ។
>>khm<< Walk slowly.	ដើរយឺតៗ។
>>khm<< We can hear.	យើងអាចឮ។
>>khm<< We can hear.	យើងអាចឮបាន។
>>khm<< We hear you.	យើងឮអ្នក។
>>khm<< We hear you.	យើងឮឯង។
>>khm<< Where is it?	តើនៅកន្លែងណា ?
>>khm<< Who are you?	តើអ្នកជានណា?
>>khm<< Who hit Tom?	តើអ្នកណាវាយថម?
>>khm<< Who hit Tom?	តើនរណាវាយថម?
>>khm<< Who hit Tom?	តើអ្នកណាវៃថម?
>>khm<< Who hit you?	តើអ្នកណាវាយអ្នក?
>>khm<< Who hit you?	តើអ្នកណាវៃឯង?
>>khm<< Are you sure?	តើអ្នកប្រាកដហេ៎ ?
>>khm<< Are you sure?	តើប្រាកដ ?
>>khm<< Are you sure?	តើអ្នកច្បាស់ហេ៎ ?
>>khm<< Can you hear?	តើអ្នកស្តាប់ឮឬទេ?
>>khm<< Can you hear?	តើអ្នកឮឬទេ?
>>khm<< Come quickly!	ម៉ោអា៎លឿនម៉ោ!
>>khm<< Face reality.	ប្រឈមមុខនឹងការពិត។
>>khm<< Find the cat.	រកឆ្មាមើល ។
>>khm<< Find the cat.	រកឆ្មា។
>>khm<< Find the cat.	ស្វែងរកឆ្មា។
>>khm<< Go to school.	ទៅសាលារៀន។
>>khm<< Good evening.	សាយ័ណ្ហសួស្ដី។
>>khm<< I also cried.	ខ្ញុំក៏បានយំដែរ។
>>khm<< I also cried.	ខ្ញុំបានយំដែរ។
>>khm<< I don't know.	ខ្ញុំ អត់ដឹង ។
>>khm<< I don't know.	ខ្ញុំ មិនដឹងអីទេ ។
>>khm<< I hear music.	ខ្ញុំឮចម្រៀង។
>>khm<< I understand.	យល់​ហើយ ។
>>khm<< I want money.	ខ្ញុំចង់បានលុយ ។
>>khm<< I want to go.	ខ្ញុំចង់ទៅ។
>>khm<< I was a chef.	ខ្ញុំធ្លាប់ជាចុងភៅ។
>>khm<< It may break.	វាអាចនឹងបែក។
>>khm<< Keep reading.	អានតទៀត។
>>khm<< Keep reading.	បន្តការអាន។
>>khm<< Keep running.	បន្តរត់។
>>khm<< Look closely.	មើលឲ្យច្បាស់។
>>khm<< Take a break.	សម្រាកទៅ។
>>khm<< Take a break.	សូមសម្រាកចុះ។
>>khm<< That's great!	ɑɑ nah!
>>khm<< Things break.	អ្វីៗបែកបាក់។
>>khm<< This is food.	នេះគឺជា អាហារ ។
>>khm<< This is hard.	អា៎នេះពិបាក។
>>khm<< Tom answered.	ថមបានឆ្លើយ។
>>khm<< Tom hit Mary.	ថមវាយម៉ារី។
>>khm<< Tom hit Mary.	ថមវៃម៉ារី។
>>khm<< Tom was home.	ថម នៅផ្ទះ ។
>>khm<< Words matter.	ពាក្យមានសារៈសំខាន់។
>>khm<< You go first.	ទៅមុនទៅ ។
>>khm<< You're wrong.	អ្នកខុសហើយ ។
>>khm<< Are you happy?	តើអ្នកសប្បាយចិត្តទេ ?
>>khm<< Are you happy?	តើសប្បាយទេ ?
>>khm<< Are you happy?	សប្បាយអត់ ?
>>khm<< Are you tired?	តើអ្នកហត់ឬទេ ?
>>khm<< Are you tired?	តើអ្នកអស់កម្លាំង ?
>>khm<< Are you tired?	ហត់អត់ ?
>>khm<< Break it down.	បំបែកវាទៅ។
>>khm<< Come back, OK?	ត្រលប់មកវិញណា !
>>khm<< Do you follow?	យល់អត់?
>>khm<< Go over there.	ទៅទីនោះ។
>>khm<< He is falling.	គាត់កំពុងធ្លាក់ចុះ។
>>khm<< I can't sleep.	ខ្ញុំ គេងអត់លក់ ។
>>khm<< I hear sirens.	ខ្ញុំឮស៊ីរ៉ែន។
>>khm<< I hear voices.	ខ្ញុំឮសម្លេង។
>>khm<< I hear voices.	ខ្ញុំឮសំឡេង។
>>khm<< I've got time.	ខ្ញុំមានពេល ។
>>khm<< Is there time?	តើមានពេលទេ ?
>>khm<< It hurts here.	ខ្ញុំឈឺកន្លែងនេះ ។
>>khm<< Keep fighting.	វៃតទៀត។
>>khm<< Keep fighting.	បន្តប្រយុទ្ធ។
>>khm<< Keep fighting.	វៃគ្នាតទៀត។
>>khm<< Make the beds.	រៀបចំគ្រែ។
>>khm<< Make your bed.	រៀបចំគ្រែអ្នក។
>>khm<< Mary is a fox.	ម៉ារី ​សិចស៊ី​ណាស់​ ។
>>khm<< Some fish fly.	ត្រីខ្លះហើរ។
>>khm<< Some fish fly.	ត្រីខ្លះហោះ។
>>khm<< Start running.	ចាប់ផ្តើមរត់។
>>khm<< Stop fighting!	ឈប់វៃ!
>>khm<< Stop fighting!	ឈប់វៃគ្នា!
>>khm<< Tom went home.	ថម ទៅផ្ទះ ។
>>khm<< Watch closely.	ទស្សនាឲ្យច្បាស់។
>>khm<< We met before.	យើងធ្លាប់ជួបគ្នា។
>>khm<< We met before.	យើងធ្លាប់ជួបគ្នាហើយ។
>>khm<< We're special.	យើងគឺពិសេស ។
>>khm<< Where are you?	តើអ្នកនៅកន្លែងណា ?
>>khm<< Where are you?	តើនៅកន្លែងណា ?
>>khm<< Where are you?	តើឯងនៅណា ?
>>khm<< Where are you?	តើនៅណាហ្នឹង ?
>>khm<< Where are you?	នៅណាហ្នឹង ?
>>khm<< You are wrong.	អ្នកខុសហើយ ។
>>khm<< Are you hungry?	តើអ្នកឃ្លានទេ ?
>>khm<< Are you hungry?	ឃ្លានអត់ ?
>>khm<< Can I help you?	តើខ្ញុំអាចជួយអ្នកបានអត់ ?
>>khm<< Can I help you?	តើខ្ញុំអាចជួយអីបានទេ ?
>>khm<< Can I help you?	ខ្ញុំជួយអីបានអត់ ?
>>khm<< Close the door.	បិទទ្វារ។
>>khm<< Close the gate.	បិទរបង។
>>khm<< Close the safe.	បិទទូរដែក។
>>khm<< Do you like it?	ចូលចិត្តវាអត់ ?
>>khm<< Do you love me?	តើអ្នកស្រលាញ់ខ្ញុំទេ ?
>>khm<< Do you love me?	តើអូនស្រលាញ់បងហេ៎ ?
>>khm<< Do you love me?	តើបងស្រលាញ់អូនអត់ ?
>>khm<< Go get changed.	ទៅផ្លាស់ខោអាវ។
>>khm<< Good afternoon.	ទិវា​សួស្ដី ។
>>khm<< Happy New Year!	សួស្តី ឆ្នាំថ្មី !
>>khm<< Happy New Year!	រីករាយ ឆ្នាំថ្មី !
>>khm<< Happy New Year!	អបអរសាទរ ចូលឆ្នាំថ្មី !
>>khm<< Have you eaten?	ញ៉ាំបាយហើយនៅ?
>>khm<< Hit the brakes!	ចាប់ហ្វ្រាំង!
>>khm<< Hit the brakes.	ចាប់ហ្វ្រាំង។
>>khm<< I got a refund.	ខ្ញុំបានទទួលការសងប្រាក់វិញ។
>>khm<< I love monkeys.	ខ្ញុំស្រឡាញ់សត្វស្វា។
>>khm<< I love monkeys.	ខ្ញុំស្រលាញ់សត្វស្វា។
>>khm<< I want to live.	ខ្ញុំចង់រស់។
>>khm<< I went fishing.	ខ្ញុំបានទៅស្ទូចត្រី។
>>khm<< I'd rather die.	ខ្ញុំ​ចង់​ស្លាប់​ជាង​។
>>khm<< I'm exercising.	ខ្ញុំ ហាត់ប្រាណ ។
>>khm<< It smells good!	ក្លិនវាគួរឱ្យឆ្ងាញ់ !
>>khm<< It smells good!	ធំក្លិនគួរឱ្យឆ្ងាញ់ !
>>khm<< It smells good!	ហិតក្លិនគួរឱ្យឆ្ងាញ់ !
>>khm<< It's up to you.	តាម​ចិត្ត​អ្នក​។
>>khm<< Keep listening.	ស្តាប់តទៀត។
>>khm<< Keep listening.	បន្តការស្តាប់។
>>khm<< Large or small?	ធំឬតូច?
>>khm<< Large or small?	ធំឬក៏តូច?
>>khm<< Leave me alone!	ទុកខ្ញុំនៅម្នាក់ឯងបានហើយ !
>>khm<< Leave me alone!	ឱ្យខ្ញុំនៅម្នាក់់ឯង !
>>khm<< Leave me alone!	ទុកខ្ញុំនៅស្ងាត់សិន !
>>khm<< Leave my house.	ចេញពីផ្ទះខ្ញុំ។
>>khm<< Leave my house.	ចេញពីផ្ទះខ្ញុំទៅ។
>>khm<< Let me hear it.	ឲ្យខ្ញុំស្តាប់វា។
>>khm<< Listen closely.	ស្តាប់ឲ្យច្បាស់។
>>khm<< My tooth hurts.	ខ្ញុំឈឺធ្មេញ ។
>>khm<< She loves cats.	នាងស្រលាញ់ឆ្មា ។
>>khm<< Shut your trap!	បិទចំពុះ!
>>khm<< That was close.	វាមើលទៅដូចជិត។
>>khm<< That was close.	ដែលវានៅជិត។
>>khm<< Wash your face.	លាងមុខ។
>>khm<< Wash your face.	លាងមុខអ្នក។
>>khm<< What about you?	ចុះអូនវិញ?
>>khm<< What about you?	ចុះបងវិញ?
>>khm<< Are you married?	តើអ្នករៀបការហើយ ?
>>khm<< Are you married?	តើលោករៀបការហើយឬនៅ ?
>>khm<< Are you married?	ឯងរៀបការហើយ ?
>>khm<< Cats catch mice.	ឆ្មាចាប់កណ្ដុរ ។
>>khm<< Close your book.	បិទសៀវភៅ។
>>khm<< Close your book.	បិទសៀវភៅអ្នក។
>>khm<< Close your eyes.	បិទភ្នែកអ្នក។
>>khm<< Close your eyes.	បិទភ្នែក។
>>khm<< Congratulations!	អបអរសាទរ!
>>khm<< Do you trust me?	តើអ្នកជឿលើខ្ញុំទេ ?
>>khm<< Don't be afraid.	កុំខ្លាច។
>>khm<< Don't be scared.	កុំខ្លាច។
>>khm<< He sounds angry.	គាត់​ហាក់​ដូច​ជា​ខឹង​។
>>khm<< How is it going?	សុខសប្បាយអត់ ?
>>khm<< How old are you?	តើអ្នកមានអាយុប៉ុន្មាន ?
>>khm<< How old are you?	តើមានអាយុប៉ុន្មាន ?
>>khm<< How old are you?	តើអាយុប៉ុន្មានទៅ ?
>>khm<< How rude of you!	ឈ្លើយណាស់ !
>>khm<< I have to sleep.	ខ្ញុំ ត្រូវការដេក ។
>>khm<< I have two cats.	ខ្ញុំមានឆ្មាពីរ ។
>>khm<< I hear laughing.	ខ្ញុំឮសម្លេងសើច។
>>khm<< I hear laughing.	ខ្ញុំឮសំឡេងសើច។
>>khm<< I love swimming.	ខ្ញុំ ស្រលាញ់កីឡាហែលទឹក ។
>>khm<< It doesn't hurt.	អត់​ឈឺ​។
>>khm<< It's too narrow.	វាតូចចង្អៀតណាស់។
>>khm<< It's too narrow.	វាតូចចង្អៀតខ្លាំងណាស់។
>>khm<< Leave it closed.	ទុកវាបិទ។
>>khm<< Leave our house.	ចេញពីផ្ទះយើង។
>>khm<< Leave our house.	ចេញពីផ្ទះយើងទៅ។
>>khm<< My book is here.	សៀវភៅ​ខ្ញុំ​នៅ​ទី​នេះ​។
>>khm<< Nobody answered.	គ្មាននរណាបានឆ្លើយ។
>>khm<< Nobody answered.	គ្មាននរណាបានឆ្លើយនោះទេ។
>>khm<< She adores cats.	នាងស្រលាញ់ឆ្មា ។
>>khm<< Stop hitting me.	ឈប់វាយខ្ញុំ។
>>khm<< Stop hitting me.	ឈប់វៃខ្ញុំទៅ។
>>khm<< The house stank.	ផ្ទះនឹងស្អុយ។
>>khm<< There's no time.	អត់​មាន​ពេល ។
>>khm<< This dog is big.	ឆ្កែនេះ គឺធំ ។
>>khm<< Tom also dances.	ថមក៏រាំដែរ។
>>khm<< Tom also dances.	ថមរាំដែរ។
>>khm<< Tom also smiled.	ថមក៏បានញញឹមដែរ។
>>khm<< Tom also talked.	ថមក៏បាននិយាយដែរ។
>>khm<< Tom also talked.	ថមបាននិយាយដែរ។
>>khm<< Try another one.	សាកមួយទៀត។
>>khm<< Wash the dishes.	លាង​ចាន ។
>>khm<< We closed early.	យើងបិទមុនគេ។
>>khm<< What time is it?	តើវាម៉ោងប៉ុន្មានហើយ ?
>>khm<< What's her name?	តើគាត់ឈ្មោះអី?
>>khm<< What's his name?	តើគាត់ឈ្មោះអី?
>>khm<< Close the window.	បិទបង្អួច។
>>khm<< Do you live here?	តើអ្នករស់នៅទីនេះ ?
>>khm<< Do you live here?	តើលោករស់នៅនេះ ?
>>khm<< Do you live here?	រស់នៅទីនេះមែន ?
>>khm<< Have another cup.	យកកាទឹកមួយទៀត។
>>khm<< He died suddenly.	គាត់ស្លាប់ដោយចៃដន្យ ។
>>khm<< He loves fishing.	គាត់ស្រឡាញ់ការស្ទូចត្រី។
>>khm<< How tall you are!	អ្នក​ខ្ពស់​ណាស់ !
>>khm<< I am eating rice.	ខ្ញុំ​កំពុង​ញ៉ាំ​បាយ ។
>>khm<< I hear something.	ខ្ញុំឮអ្វីមួយ។
>>khm<< I like this city.	ខ្ញុំចូលចិត្តទីក្រុងនេះ។
>>khm<< I'm not a doctor.	ខ្ញុំមិនមែនជា គ្រូពេទ្យទេ ។
>>khm<< It's worth a try.	សាកមើលក៏បានដែរ ។
>>khm<< It's worth a try.	សាកមើលគ្រាន់បើជាង ។
>>khm<< Let's play cards.	តោះ យើងលេងបៀរ ។
>>khm<< Light the candle.	អុចទៀន។
>>khm<< Make your choice.	សម្រេចចិត្ត។
>>khm<< My face twitches.	មុខរបស់ខ្ញុំញ័រ។
>>khm<< Search the house.	ឆែកផ្ទះនេះទៅ។
>>khm<< She smiled sadly.	នាងញញឹមលាយលំនិងទុក្ខដែរ ។
>>khm<< Something hit me.	អ្វីមួយបុកខ្ញុំ។
>>khm<< Something hit me.	អ្វីមួយត្រូវខ្ញុំ។
>>khm<< Stop hitting Tom.	ឈប់វាយថម។
>>khm<< Stop hitting Tom.	ឈប់វៃថម។
>>khm<< Stop hitting Tom.	ឈប់វាយថមទៅ។
>>khm<< Stop hitting Tom.	ឈប់វៃថមទៅ។
>>khm<< Take precautions.	ប្រុងប្រយ័ត្ន។
>>khm<< That looks close.	វាមើលទៅដូចជិត។
>>khm<< That looks close.	ដែលមើលទៅជិត។
>>khm<< There's no water.	អត់​មាន​ទឹក​។
>>khm<< This is above me.	វានៅលើខ្ញុំ។
>>khm<< Tom is with Mary.	ថម នៅ​ជាមួយ ម៉ារី​ ។
>>khm<< Tom loves soccer.	ថម ស្រលាញ់ កីឡាបាល់ទាត់ ។
>>khm<< Tom stayed close.	ថមនៅជិត។
>>khm<< What did you say?	ថាម៉េច?
>>khm<< What do you want?	តើអ្នកចង់បានអ្វី ?
>>khm<< What do you want?	តើចង់បានអីហ្នឹង ?
>>khm<< What do you want?	តើឯងចង់បានអី ?
>>khm<< What do you want?	ចង់បានអី ?
>>khm<< What is his name?	តើគាត់ឈ្មោះអី?
>>khm<< What's your name?	តើ​អ្នក​ឈ្មោះ​អ្វី​?
>>khm<< What's your name?	អ្នក​ឈ្មោះ​អី​?
>>khm<< What's your name?	តើគាត់ឈ្មោះអី?
>>khm<< What's your name?	តើ​លោក​ឈ្មោះ​អី ?
>>khm<< Do you understand?	យល់អត់?
>>khm<< Don't do it again.	កំុធ្វើអញ្ចឹងទៀត។
>>khm<< Don't you like it?	អត់​ចូលចិត្ត​វា​ទេ​?
>>khm<< Her eyes are blue.	ភ្នែករបស់នាងពណ៌ខៀវ ។
>>khm<< I don't want meat.	ខ្ញុំ​មិន​ចង់​បាន​សាច់​ទេ ។
>>khm<< I have a headache.	ខ្ញុំឈឺឡាតែត ។
>>khm<< I have a headache.	ខ្ញុំឈឺក្បាល ។
>>khm<< I have a question.	ខ្ញុំមានសំនួរ។
>>khm<< I have a question.	ខ្ញុំមានសំណួរ។
>>khm<< I have a question.	ខ្ញុំមានសំនួរមួយ។
>>khm<< I have a question.	ខ្ញុំមានសំណួរមួយ។
>>khm<< I heard about Tom.	ខ្ញុំបានលឺអំពីថម។
>>khm<< I know a shortcut.	ខ្ញុំស្គាល់ផ្លូវកាត់ ។
>>khm<< It's for tourists.	គឺសម្រាប់ភ្ញៀវទេសចរណ៍។
>>khm<< It's not worth it.	វាមិនលើគ្នាទេ ។
>>khm<< Light the candles.	អុចទៀន។
>>khm<< Please wait a bit.	សូមចាំបន្តិច ។
>>khm<< Somebody answered.	នរណាម្នាក់បានឆ្លើយ។
>>khm<< Thanks for coming.	អរគុណ ដែលបានមកលេង ។
>>khm<< The cup was empty.	ពែងនេះគឺទទេស្អាត។
>>khm<< The roses are red.	កុលាប ពណ៌ក្រហម។
>>khm<< They went fishing.	ពួកគេបានទៅស្ទូចត្រី។
>>khm<< This is difficult.	អា៎នេះពិបាក។
>>khm<< Tom likes monkeys.	ថមចូលចិត្តសត្វស្វា។
>>khm<< Tom returned home.	ថម ត្រឡប់ទៅផ្ទះវិញ ។
>>khm<< What do you think?	តើឯងគិតយ៉ាងណា ?
>>khm<< What is your name?	តើគាត់ឈ្មោះអី?
>>khm<< What is your name?	តើ​លោក​ឈ្មោះ​អី ?
>>khm<< What is your name?	ឈ្មោះអី?
>>khm<< What's the matter?	មាន​រឿង​អី​?
>>khm<< Where do you live?	តើអ្នករស់នៅឯណា ?
>>khm<< Where do you live?	តើលោករស់នៅឯណា ?
>>khm<< Where do you live?	តើអ្នករស់កន្លែងណា ?
>>khm<< Where do you work?	តើធ្វើការនៅណា​?
>>khm<< Where do you work?	ធ្វើការនៅណា​?
>>khm<< Where is the food?	ម្ហូប នៅឯណា ?
>>khm<< Why can't we walk?	ហេតុអ្វីបានយើងមិនអាចដើរ?
>>khm<< Why can't we walk?	ហេតុអ្វីបានយើងដើរមិនបាន?
>>khm<< Why can't we walk?	ហេតុអ្វីបានយើងដើរមិនកើត?
>>khm<< Why does Tom work?	ហេតុអ្វីបានជាថមធ្វើការងារ?
>>khm<< Did she sleep well?	តើនាងគេងបានល្អហេ ?
>>khm<< Does it taste okay?	តើរស់ជាតិយ៉ាងម៉េចដែរ?
>>khm<< I don't have a cat.	ខ្ញុំអត់មានឆ្មាទេ។
>>khm<< I don't have a cat.	ខ្ញុំអត់មានឆ្មា។
>>khm<< I don't understand.	ខ្ញុំ មិនយល់ទេ ។
>>khm<< I don't understand.	អត់យល់ ។
>>khm<< I have a toothache.	ខ្ញុំឈឺធ្មេញ ។
>>khm<< I like Korean food.	ខ្ញុំចូលចិត្ត ម្ហូបកូរ៉េ ។
>>khm<< I need to be alone.	ខ្ញុំត្រូវការនៅម្នាក់ឯង ។
>>khm<< I want to be alone!	ខ្ញុំចង់នៅម្នាក់ឯង !
>>khm<< I'll be seeing you.	ថ្ងៃក្រោយជួបគ្នា។
>>khm<< I'll see you later.	ថ្ងៃក្រោយជួបគ្នា។
>>khm<< I'm sorry I'm late.	សុំទោសដែលខ្ញុំមកយឺត ។
>>khm<< It happened before.	វាបានកើតពីមុន។
>>khm<< It happened before.	វាបានកើតឡើងពីមុនរួបមកហើយ។
>>khm<< It's not important.	អត់​សំខាន់​ទេ​។
>>khm<< It's not important.	មិន​សំខាន់​ទេ​។
>>khm<< Leaves are falling.	ស្លឹកឈើកំពុងធ្លាក់ចុះ។
>>khm<< Leaves are falling.	ស្លឹកឈើកំពុងធ្លាក់។
