>>kmr<< I'm stuck.	Ez hilawîstî me.
>>kmr<< Who did your hair?	Kî porê te çê kir?
>>kmr<< You have no heart.	Tu bêwijdan î.
>>kmr<< You're free to go.	Tu kanê derkevê.
>>kmr<< Your door is open.	Derîyê te vekirî ye.
>>kmr<< Are your eyes open?	Çavên te vekirî ne?
>>kmr<< Are your eyes open?	Çavên we vekirî ne?
>>kmr<< Go brush your hair.	Her porê xwe bişo.
>>kmr<< He closed his eyes.	Çavên xwe girt.
>>kmr<< He wants a new car.	Ew makîneka nû dixwaze
>>kmr<< Her hair grew back.	Porê wê dîsa derket
>>kmr<< Her skin is smooth.	Çermê wê lûs e.
>>kmr<< I couldn't find it.	Min nikanî ew bidîtîya.
>>kmr<< I have to get home.	Ez divêt heřim malê.
>>kmr<< I'm broken-hearted.	Ez dilşikestî me.
>>kmr<< It breaks my heart.	Ew dilê min dişikîne.
>>kmr<< My eyes were tired.	Çavên min westiyayî bûn.
>>kmr<< My heart is broken.	Dilê min şikestî.
>>kmr<< My stomach is full.	Gedeya min tijî ye.
>>kmr<< Please cut my hair.	Ji kerema xwe porê min jê bike.
>>kmr<< Please cut my hair.	Ji kerema xwe porê min kur bike.
>>kmr<< She broke my heart.	Wê dilê min şikand.
>>kmr<< She has short hair.	Porê wê kin e.
>>kmr<< That is not my pen.	Ew ne pênûsa min e.
>>kmr<< Tom broke my heart.	Tom dilê min şikand.
>>kmr<< Tom closed one eye.	Tom çavakî girt.
>>kmr<< Tom has black hair.	Tom bi porê reş e.
>>kmr<< Tom has brown eyes.	Tom bi çavên qehweyî ye.
>>kmr<< Tom has brown hair.	Tom bi porê qehweyî ye.
>>kmr<< Tom has green eyes.	Tom bi çavên kesk e.
>>kmr<< Tom has short hair.	Tom bi porê kin e.
>>kmr<< Tom opened the box.	Tom sondiqê vekir.
>>kmr<< Tom stole my heart.	Tom dilê min dizî.
>>kmr<< Tom was astonished.	Tom şaş bû.
>>kmr<< Tom was astonished.	Tom matmayî mabû.
>>kmr<< You broke my heart.	Te dilê min şikand.
>>kmr<< You have cute eyes.	Çavên te şîrîn e.
>>kmr<< You stole my heart.	Te dilê min dizî.
>>kmr<< You'll lose anyway.	Tu kê bi herhalî derdî.
>>kmr<< Did you have dinner?	Te şîv xwar?
>>kmr<< He entered his room.	Ew kete oda xwe.
>>kmr<< He has a warm heart.	Dilekî wî yê germ heye.
>>kmr<< He is an honest man.	Ew mêrekî dilsoz e.
>>kmr<< His heart is broken.	Dilê wî şikesti ye.
>>kmr<< I can ride with Tom.	Ez dikarim bi Tom řa bajom.
>>kmr<< I give you my heart.	Ez dilê xwe didim te.
>>kmr<< I have an emergency.	Rewşa min a acîl heye.
>>kmr<< I know your brother.	Ez birayê te nas dikim.
>>kmr<< It's time for lunch.	Dema firavînê ye.
>>kmr<< Keep your eyes open.	Çavên xwe vekirî bihêle.
>>kmr<< My heart was broken.	Dilê min şikestî bû.
>>kmr<< Now, open your eyes.	Niha, çavên xwe veke.
>>kmr<< Now, open your eyes.	Niha, çavên xwe vekin.
>>kmr<< She is still a girl.	Ewa hên qîz e.
>>kmr<< She rubbed her eyes.	Çavên xwe mist da.
>>kmr<< Thanks for the show.	Sipas bona bernamê.
>>kmr<< This apple is wormy.	Ev sêva kurmî ye.
>>kmr<< This won't help Tom.	Eva harî Tomî nake.
>>kmr<< Tom closed his eyes.	Tom çavên xwe girt.
>>kmr<< Tom combed his hair.	Tom porê xwe şe kir.
>>kmr<< Tom has a bad heart.	Tom xwediyê dilek xirab e.
>>kmr<< Tom is good-hearted.	Tom dilpak e.
>>kmr<< Tom is sitting down.	Tom rûdinê.
>>kmr<< Tom opened his eyes.	Tom çavên xwe vekir.
>>kmr<< Tom stopped talking.	Tomî dev ji axaftinê berda.
>>kmr<< We thought you knew.	Ji me ye jî te zanîbû.
>>kmr<< What are you eyeing?	Tu li çi çav digerînî?
>>kmr<< Why isn't Tom going?	Tom çima naçe?
>>kmr<< Close your eyes, Tom.	çavên xwe bigire,Tom.
>>kmr<< Do you need the book?	Tu piřtûkê dixwazî?
>>kmr<< Don't break my heart.	Dilê min neşkîne.
>>kmr<< He caught three fish.	Ew bi sê masîya giřt.
>>kmr<< He caught three fish.	Ew sê masîya nêçîrkir.
>>kmr<< He committed suicide.	Ew xwe kuşt.
>>kmr<< He is young at heart.	Ew ji dil ciwan e.
>>kmr<< I crossed the street.	Min řêkê qut kir.
>>kmr<< I have a stomachache.	Gedeyê min diêşe.
>>kmr<< I was at the theater.	Ez li şanoyê bûm.
>>kmr<< Just brush your hair.	Tenê porê xwe firçe bike.
>>kmr<< Listen to your heart.	Guh bide dilê xwe.
>>kmr<< My heart beat faster.	Dilê min leztir lê da.
>>kmr<< She bought a chicken.	Ew mirîşkekê kiřîye.
>>kmr<< She brushed her hair.	Wê porê xwe firçe kir.
>>kmr<< She has a pure heart.	Dilek wê yê pak heye.
>>kmr<< There's an emergency.	Rewşek acîl heye.
>>kmr<< They have black hair.	Porê wan reş e.
>>kmr<< This breaks my heart.	Ev dilê min dişikîne.
>>kmr<< This is a good stove.	Ev soba baş e.
>>kmr<< Tom brushed his hair.	Tom porê xwe firçe kir.
>>kmr<< Tom has a weak heart.	Tom xwediyê dilek lawaz e.
>>kmr<< What day is it today?	Îro ji rojan çi ye?
>>kmr<< Who broke your heart?	Kî dilê te şikand?
>>kmr<< You have lovely eyes.	Çavên te xweşik in.
>>kmr<< You live in my heart.	Tu di dilê min de dijî.
>>kmr<< Your hair looks nice.	Porê te xweş dixuyê.
>>kmr<< Cats don't like water.	Pisîk ji avê hez nakin.
>>kmr<< Close your eyes again.	Çavên xwe cardin bigire.
>>kmr<< Close your eyes again.	Cardin çavên xwe bigirin.
>>kmr<< Every dog has his day.	Her kûçikekî řoka xwe heye.
>>kmr<< He lived in obscurity.	Ew di tariyê de dijiya.
>>kmr<< He lived in obscurity.	Ew di nihînęn dijiyan.
>>kmr<< He seems to be asleep.	Xuya dike ew di xew da ye.
>>kmr<< His heart beat slowly.	Dilê wî bi hêdî lê da.
>>kmr<< His heart beat slowly.	Dilê wî hêdî hedî lê da
>>kmr<< I don't need a doctor.	Ez ti bijîşkî naxwazim.
>>kmr<< I found an empty seat.	Min cîyekî boş dît.
>>kmr<< I have heart problems.	Pirsgirêkên min ên dil hene.
>>kmr<< I suggest you shut up.	Ez pêşniyar dikim ku tu bêdeng bibî.
>>kmr<< I think you're pretty.	Ez bawer dikim tu řindikê.
>>kmr<< I've always been fair.	Ez tim dadmend bûm.
>>kmr<< Keep your eyes closed.	Çavên xwe girtî bihêle.
>>kmr<< Keep your eyes closed.	Çavên xwe girtî bihêlin.
>>kmr<< Let's go to the beach.	Ka em heřin beravê.
>>kmr<< The heart is a muscle.	Dil masûlkeyek e.
>>kmr<< Think with your heart.	Bi dilê xwe bifikre.
>>kmr<< Think with your heart.	Bi dilê xwe bifikirin.
>>kmr<< Tom has a good guitar.	Gîtareka hêja li ber destê Tomî heye.
>>kmr<< Tom is getting closer.	Tom nêzîk dibe.
>>kmr<< You have a good heart.	Dilekî te yê pak heye.
>>kmr<< You need to follow me.	Divêt tu bi dû min kevî.
>>kmr<< Your hair looks great.	Porê te pir xweş dixuyê.
>>kmr<< Did you lose something?	Te tiştî hinda kir?
>>kmr<< Exactly how old is Tom?	Tom tam çend salî ye?
>>kmr<< He gave the dog a bone.	Wî hestiyek da kûçik.
>>kmr<< I know you can hear me.	Ez zanim ku tu dikarî min bibihîsî.
>>kmr<< I'll go there by plane.	Ez ê bi balafirê biçim wê derê.
>>kmr<< I'm not going to Tom's.	Ez nařim cem Tom
>>kmr<< Just follow your heart.	Tenê guh bide dilê xwe.
>>kmr<< Open your eyes, please.	Ji kerema xwe, çavên xwe ve bike.
>>kmr<< She has a gentle heart.	Ew xwediyê dilek nerm e.
>>kmr<< She has beautiful eyes.	Çavên wê pir xweş e.
>>kmr<< The flowers are yellow.	Çîçek zer in.
>>kmr<< There is a yellow rose.	Guleka zer heye.
>>kmr<< This is not acceptable.	Ev ne pejirandî ye.
>>kmr<< Tom broke Mary's heart.	Tom dilê Maryê şikand.
>>kmr<< Tom had heart problems.	Pirsgirêkên dil li Tom heye.
>>kmr<< Tom has a special gift.	Diyariyeka taybet a Tomî heye.
>>kmr<< Tom has heart problems.	Pirsgirêkên dil bi Tom heye.
>>kmr<< Tom is going to escape.	Tom wê biřeve.
>>kmr<< Your hair is beautiful.	Porê te pir xweş e.
>>kmr<< Bacteria are everywhere.	Bakterî li her derê ne.
>>kmr<< Close your eyes, please.	Ji kerema xwe, çavên xwe bigire.
>>kmr<< Do you really trust Tom?	Tu bi Tomî piştřast ê?
>>kmr<< How was that restaurant?	Ew xwarinxana çawa bû?
>>kmr<< I showed Tom who's boss.	Min pêşe Tom kir ku kî serok e.
>>kmr<< Many hearts were broken.	Gelek dil şikestin.
>>kmr<< My heart almost stopped.	Dilê min hema hema sekinî.
>>kmr<< Not every day is Sunday.	Ne her roj yekşem e.
>>kmr<< She is eighteen at most.	Çiqas mezin be bila heyjdeh salî be.
>>kmr<< The proverb is familiar.	Pîrepend aşina ye.
>>kmr<< Tom gave Mary his heart.	Tom dil daye Maryê.
>>kmr<< Tom gave his dog a bone.	Tom hestiyek da kûçikê xwe.
>>kmr<< Tom kept the room clean.	Tom ode pak hîşt.
>>kmr<< What are we going to do?	Em dê çi bikin?
>>kmr<< What are we going to do?	Em ê çi bikin?
>>kmr<< You have beautiful hair.	Porê te pir xweş e.
>>kmr<< Are these your daughters?	Evana qîzêd te ne?
>>kmr<< I don't love her anymore.	Ez êdî wê naevînim.
>>kmr<< I haven't met him before.	Min ti carî wî nedîtîye.
>>kmr<< I was frozen to the bone.	Heta hestiyê xwe cemidî bûm.
>>kmr<< My heart is beating fast.	Dili min bilez lê dide.
>>kmr<< Nobody asked me to dance.	Ti kesî ji min nexwest ez bireqsim.
>>kmr<< That just broke my heart.	Ew tenê dilê min şikand.
>>kmr<< The news broke her heart.	Nûçe dilê wê şikand.
>>kmr<< The news broke his heart.	Nûçe dilê wî şikand.
>>kmr<< There's no need to fight.	Gerekîya şeřkirinê tune ye.
>>kmr<< Tom taught Mary to paint.	Tom fêrî Marî kir çawa nîgar bike.
>>kmr<< Tom visited me on Monday.	Tom Duşemê hat cem min.
>>kmr<< Tom's plan isn't working.	Pilana Tomî kar nake.
>>kmr<< We're going to visit Tom.	Em kê heřin bona serdana Tomî.
>>kmr<< You're breaking my heart.	Tu dilê min dişkînî.
>>kmr<< You're breaking my heart.	Hûn dilê min dişkînin.
>>kmr<< A bone stuck in my throat.	Hestiyek di qirrika min de ma.
>>kmr<< Do as your heart dictates.	Hema dilê te çi divê wî bike.
>>kmr<< I love learning languages.	Ez ji fêrbûna zimana hez dikim.
>>kmr<< I sure hope that Tom wins.	Ez piştrast im ku Tom wê vexwe.
>>kmr<< It really breaks my heart.	Bi rastî jî viya dilê min şikand.
>>kmr<< The funeral was yesterday.	Sersaxkirin duhu bû.
>>kmr<< There are no broken bones.	Tû hestiyên şikestî tune.
>>kmr<< Tom looked up and laughed.	Tom nihêrî û kenîya.
>>kmr<< Tom said he saw something.	Tom got ew tiştekî dîtibû.
>>kmr<< We are basketball players.	Em gişka yarîkerên baskêtbolê ne.
>>kmr<< We'd like to speak to you.	Em dixwazin bi te re bipeyivin.
>>kmr<< You don't have to do this.	Tu ne neçarî wisa bikî.
>>kmr<< He is the older of the two.	Ewa ji herduya mezintir e.
>>kmr<< He said he didn't eat meat.	Wî got ku ew goşt naxwe.
>>kmr<< I didn't dare say anything.	Min newêrî ez tiştekî bibêjim.
>>kmr<< I know Tom works very hard.	Ez zanim ku Tom gelekî dixebite.
>>kmr<< I want you to stay with me.	Ez dixwazim bi te řa bimînim.
>>kmr<< Learn these names by heart.	Evan navan ji dil ve fêr bibe.
>>kmr<< She died of stomach cancer.	Ew ji ber şêrpenceya gedeyê mir.
>>kmr<< Tom laughed half-heartedly.	Tom bêdil keniya.
>>kmr<< Tom traveled around Europe.	Tom li dora Ewropa geřîya.
>>kmr<< We celebrated his birthday.	Me řojbûna wî pîroz kir.
>>kmr<< Your hair smells wonderful.	Bêhna porê te pir xweş e.
>>kmr<< Have you ever broken a bone?	Te qet hestiyek şikesti yî?
>>kmr<< I can't tell you who we are.	Ez nikanim bi te řa bibêm em kî ne.
>>kmr<< I have no idea how it works.	Ez nizanim ew çawa kar dike.
>>kmr<< I tried to explain my ideas.	Min hewl da ez ramanên xwe şîrovekim.
>>kmr<< I'll see if Tom can help us.	Ezê se kim ger Tom kane destekê xwe bide me.
>>kmr<< I'm not afraid of lightning.	Ez ji birûska natiřsim.
>>kmr<< Obviously, it's not working.	Aşkere ye, ew naşuxle.
>>kmr<< Please tell me your opinion.	Bi xêra xwe dîtina xwe ji min řa bêje.
>>kmr<< The phone's stopped working.	Têlêfon pûç bû.
>>kmr<< The room is full of flowers.	Ode tijî ye bi kulîlka.
>>kmr<< You need a heart transplant.	Pêdiviya te bi dilguhestinê heye.
>>kmr<< I know a good French teacher.	Ez mamostakî řind yê frensî nasdikim.
>>kmr<< Mary likes both Tom and John.	Marî ji herduyan hez dike Tom û Jon.
>>kmr<< My stomach hurts after meals.	Piştê xwarinê, gedeya min diêşe
>>kmr<< She has a strong personality.	kesayetîya wê bihêz e.
>>kmr<< The enemy blew up the bridge.	Dijmin piřê teqand.
>>kmr<< They've been unusually quiet.	Ewana ne wek her car bêdeng mane.
>>kmr<< This fish has a lot of bones.	Wî masî gellek hestî li xwe digire.
>>kmr<< Tom is seldom busy on Monday.	Tom kêm cara roja Duşemê mijûl e.
>>kmr<< Could you repeat that, please?	Tu dikarî wê gotinê dubare kî, ji camêrîya xwe?
>>kmr<< Does Tom still like Australia?	Tom hên ji Ostralîyayê hezdike?
>>kmr<< I support you whole-heartedly.	Ez bi dil û can piştgiriyê didim te.
>>kmr<< People say that life is short.	Xelk dibêjin ku jîyan kin e.
>>kmr<< Tom has never heard Mary sing.	Tom stirana Marî tewr nebihîstibû.
>>kmr<< Tom said that Mary kissed him.	Tomî got ku Marî wî maç kir.
>>kmr<< What time did you wake Tom up?	Te kînga Tomî ji xewê řakir?
>>kmr<< Where did you buy this guitar?	Te ji kuderê vê gîtarê kiřîye?
>>kmr<< You should take this medicine.	Gerek e tu vî dermanî bibî.
>>kmr<< Are you sure it's a human bone?	Tu bêgumanî ko viya hestiyek mirov e?
>>kmr<< Did you speak to Tom yesterday?	Te duhu bi tomî řa deykir?
>>kmr<< Do you believe that God exists?	Bawerîya te bi xwedê heye?
>>kmr<< Her dream is to become a nurse.	Xewna wê ku bi perestar be.
>>kmr<< I arrived on the night he left.	Sêvê ew çûyê ez gihîştim.
>>kmr<< I could do that if I wanted to.	Minê bikira ger min bixwesta.
>>kmr<< I found a dollar in the street.	Min dolarekê li ser řekê dît.
>>kmr<< She fainted when she saw blood.	Çaxê wê xûn dît, ji bîr va çû.
>>kmr<< She wore heart-shaped earrings.	Ew guharên bi şeweyî dil li xwe kir.
>>kmr<< They left the problem unsolved.	wana piřsgirêkê berda bê çareserî.
>>kmr<< Tom had a problem with his car.	Tom pirsgirêkek di makînê wî da hebû.
>>kmr<< Tom is a pretty amazing person.	Tom merivekî piř hêja ye.
>>kmr<< We won't be back any time soon.	Em venagerin di demeka nêzîk da.
>>kmr<< What Tom said made Mary giggle.	Tiştê Tom gotîyê Marî hêrskir.
>>kmr<< What medicine do you recommend?	Tu çi dermanî me pêşnîyar dikê?
>>kmr<< He is my brother, not my father.	Ew birayê min e, ne bavê min e.
>>kmr<< I get so stressed out sometimes.	Ez carna piř ditengijim.
>>kmr<< I thought you were Tom's friend.	Ji min e tu hevalê Tomî bûyî.
>>kmr<< Italian is the language of love.	Îtalî zimanê evînîyê ye.
>>kmr<< Our hotel is on the next street.	Otêla me li ser cada tê ye.
>>kmr<< Please call the fire department.	Ji camêrîya xwe ji agirkujîyê řa lêxe.
>>kmr<< There's nothing under the chair.	Ti tiştî tine ye li binî kursîyê.
>>kmr<< Tom made the same mistake again.	Tom şaştîya xwe dubare kir.
>>kmr<< Why is it that Tom looks so sad?	Çima Tomî zêde xemgîn e?
>>kmr<< Your team is stronger than ours.	Koma we ji ya me bihêztir e.
>>kmr<< She didn't give me my money back.	Ew perêd min venegeřand.
>>kmr<< Tom will come to see us tomorrow.	Tom kê siba were bona me bibîne.
>>kmr<< I haven't read both of her novels.	Min herdu řomanêd wê nexwendine.
>>kmr<< I'm going to get you out of there.	Ezî têm te ji wir derxim.
>>kmr<< If it doesn't rain, we'll do that.	Ger baran lênekir, emê hane bikin.
>>kmr<< One of Tom's friends told me that.	Yek ji hevalêd Tomî usa gote min.
>>kmr<< There are many bones in your body.	Di laşê we de gelek hestî hene
>>kmr<< There are many bones in your body.	Di laşê te de gelek hestî heye.
>>kmr<< Tom was the only one in the house.	Tom tenê li malê bû.
>>kmr<< We found human bones in this cave.	Me hestiyên mirov li vî şkeftê de dît.
>>kmr<< What are Tom and Mary looking for?	Tom û Meryem li çi digerin?
>>kmr<< Animal bodies are made up of cells.	Laşê ajalan ji xaneyan pêk tê.
>>kmr<< Bacteria are microscopic organisms.	Bakterî zîndewerên mikroskobî ne.
>>kmr<< How was your first night in Boston?	Şeva te ya yekem a li Bostonê çawa bû?
>>kmr<< I don't have the energy to do that.	Hêla min tine ye ku ez usa bikim.
>>kmr<< Our dog buries bones in the garden.	Kûçikê me hesti vedişêre hewşê.
>>kmr<< That disease is caused by bacteria.	Ew nexweşi ji ber bakteriyan e.
>>kmr<< Tom bought a large bag of potatoes.	Tom tûrekî mezin ji peteta kiřî.
>>kmr<< Tom came home drunk from the party.	Tom serxweş ji ahengê vegeřî malê.
>>kmr<< We were all present at her wedding.	Em gişka li dewata wê amade bûn.
>>kmr<< You can trust him to keep his word.	Tu dikarî piştrast bî; ew şořa xwe nake dudu.
>>kmr<< Did you find out anything about Tom?	Te di derbarê Tomî da tiştek dît?
>>kmr<< I can hardly see without my glasses.	Ez bi çetinayî kanim bibînim bê berçavka xwe.
>>kmr<< Is French an easy language to learn?	Frensî ji bo fêrbûnê zimaneke hêsan e?
>>kmr<< It's up to you to decide what to do.	Biryar bi dest te ye.
>>kmr<< One day, all this will become yours.	Řojekê, ev hemû kê bibe yê te.
>>kmr<< Hardly anyone ever comes to visit me.	Kêm e ku kesekî were seredana min.
>>kmr<< I don't like fish with lots of bones.	Ji masiyên pir bi dasî hez nakim.
>>kmr<< I'm always forgetting people's names.	Ez tim navên xelkê ji bîr dikim.
>>kmr<< The bones remained frozen in the ice.	Hestî di nav cemedê de cemidî man.
>>kmr<< The human skull consists of 23 bones.	Kiloxê mirov ji 23 hestiyan pêk tê.
>>kmr<< What do your brothers and sisters do?	Xûşk û birayêd te çi dikin?
>>kmr<< I don't think you've broken any bones.	Zen nakim tu hestiyêk te şikestî be.
>>kmr<< I have a fish bone stuck in my throat.	Dasiyê masî di qirrika min da ma.
>>kmr<< I wouldn't forgive Tom if he did that.	Ger Tom wiya bikira ez ê efû nekim.
>>kmr<< I'm sure that I'll be able to do that.	Ez ewledar im ku ezê kanibim usa bikim.
>>kmr<< Tom broke one of the bones in his leg.	Tom hestiyek lingê xwe şikandiye.
>>kmr<< I don't think Tom has one of these yet.	Ez bawer nakim ku Tom bi wî řa yek ji vana heye ta niha.
>>kmr<< I thought Tom's mother's name was Mary.	Ji min e jî navê dîya Tomî Marî bû.
>>kmr<< My success is largely due to your help.	Serkeftina min sebebeka jê; alîkarîya te bû.
>>kmr<< This conference takes place every year.	Ev civîna her salî çê dibe.
>>kmr<< Tom thought that Mary looked exhausted.	Tom ji wî bû ku Marî westîyayî xuya bûbû.
>>kmr<< Viruses are much smaller than bacteria.	Vîrus ji bakteriyan gellek hûriktir in.
>>kmr<< Bacteria are invisible to the naked eye.	Bakterî bi çavên tazî nayên dîtin.
>>kmr<< Blood cells are made in the bone marrow.	Xaneyên xwînê di moxê hestî de tên çêkirin.
>>kmr<< I want to know when you plan to do that.	Ez dixwazim zanibim tu kîçaq dixwazê wî tiştî bikê.
>>kmr<< The man who wrote this book is a doctor.	Kesê ku vê piřtûkê nivîsandîyê bijîşk e.
>>kmr<< Tom is supposed to be at home with Mary.	Tom gerek e li malê be tev marî va.
>>kmr<< Why does everyone need to learn English?	Çima herkes gerek e fêrî Înglîzî bibe?
>>kmr<< Everybody is immune to smallpox nowadays.	Di van rojan da hemû kes bergirîne li dij xurîkê.
>>kmr<< His brother had been missing for a while.	Birakê min demeka kurt hinda bû.
>>kmr<< Why didn't you tell Tom you were thirsty?	Ji çi ra te bi Tomî ra negot ku tu tî yî?
>>kmr<< Why don't you try on this yellow sweater?	Tu çima vî kenzî zer li xwe nakî?
>>kmr<< Would you please look after the children?	Xêra xwe tu kanê li ber zaroka bê?
>>kmr<< He was accused of stealing dinosaur bones.	Ew ji ber dizîna hestiyê dînazorê tê tawanbarkirin.
>>kmr<< I've learned a lot of techniques from Tom.	Ez piř řêgeha ji Tomî hêvosîm.
>>kmr<< X rays are used to locate breaks in bones.	Tîrojên Xê ji bo diyarkirina cihê şikestî yên hestiyan tê bikaranîn.
>>kmr<< You'll learn how to do it sooner or later.	Tê fêr bibî cawa tu bikî, naka ya paşê.
>>kmr<< I don't think we can do anything right now.	Ez nabînim ku em naka kanin tiştek bikin.
>>kmr<< Hand washing is one way to control bacteria.	Şûştina destan riyek e ji boy konrolkirina bakteriyan.
>>kmr<< I just thought that I might be able to help.	Ez naka ramîm ku dibe ez kanibim alîkarîyê bikim.
>>kmr<< I would've done it if you hadn't stopped me.	Min ê bi dawî bikira ger wî ez nerawestandama.
>>kmr<< They tried to hide what was really going on.	Wana hewl da ku tiştê dibe veşêrin.
>>kmr<< I saw the old man feed his dog chicken bones.	Min kalê ko hestiyên mirîşkan dida kûçikê xwe dît.
>>kmr<< Tom told Mary that he didn't have to do that.	Tom gote Marî ku gerek e wî usa nekira.
>>kmr<< Tom told me that he's immune to that disease.	Tom ji min re got ko bergiriya wî heye ji bo wê nexweşiyê.
>>kmr<< I owned a small bar in Boston for a few years.	Çend salan min li Boston barekî piçûk hebû.
>>kmr<< Tom already knows I'm not very happy about it.	Tom bi xwe zane ez ji vê yekê ne pir şa me.
>>kmr<< He couldn't bring himself to believe her story.	Wî nikanî xwe bi çîroka wê bawerkirin bida.
