>>chv<< Call home!	Киле шӑнкӑравла.
>>chv<< Don't scold her. She's too young to understand.	Ан ятласам уна. Вӑл ытла ҫамрӑк ха ӑнланма.
>>chv<< Kelantan is one of the states in West Malaysia.	Келанттан Анӑҫ Малайси штачӗсенчен пӗрри.
>>chv<< Please tell Tom I'll call again tomorrow morning.	Тархасшӑн эпӗ Тома ыран ирхине тепре шӑнкӑравлатӑп тесе калӑр.
>>chv<< She was happy to be introduced to him at the party.	Паттинче унпа паллашнӑран вӑл питӗ савӑннӑчӗ.
>>chv<< I called a guy I know in the FBI and requested help.	ФБРтан пӗр паллакан ачана шӑнкӑравласа пулӑшу ыйтрӑм.
>>chv<< The next morning, the snowman had completely melted.	Тепӗр кунне юр кӗлетки ирӗлсех кайрӗ.
>>chv<< Excuse me, but could you show me the way to the station?	Каҫарсам, станцие ҫул кӑтартаймастӑр и?
>>chv<< Tom didn't tell you about what happened to Mary, did he?	Том сана Машукпа мӗн пулнӑ пирки каламарӗ вӗт, ҫапла и?
>>chv<< If you leave now, you'll be in Boston by tomorrow evening.	Паян тухсассӑн Бостона ыран ҫитӗн.
>>chv<< The boss told Tom that he had to wear a suit and tie to work.	Босс Тома ӗҫе костӳмпа галстук тӑхӑнма каласа хушрӗ.
>>chv<< You can't sit here if you're not going to play poker with us.	Пирӗнпе покер вылямастӑр пулсан, кунта ан ларӑр.
