>>kat<< Cheers!	გაუმარჯოს!
>>kat<< I'm writing a book.	მე წიგნს ვწერ.
>>kat<< Someone's knocking.	ვიღაც აკაკუნებს.
>>kat<< You like elephants.	შენ სპილოები მოგწონს.
>>kat<< Get used to it, kid.	შეეჩვიე, ბავშვო.
>>kat<< I'll give you money.	მე მოგცემ ფულს.
>>kat<< Tom has better plan.	ტომს უკეთესი გეგმა აქვს.
>>kat<< We need a volunteer.	ჩვენ გვჭირდება მოხალისე.
>>kat<< You'd better not go.	უკეთესი იქნებოდა, რომ არ წასულიყავი.
>>kat<< He committed suicide.	მან თავი მოიკლა.
>>kat<< I have two daughters.	ორი ქალიშვილი მყავს.
>>kat<< Please take me along.	გთხოვ წამიყვანე
>>kat<< Tom knew I was awake.	ტომმა იცოდა რომ მეღვიძა.
>>kat<< Why are you sleeping?	რატომ გძინავს?
>>kat<< Why are you sleeping?	რატომ გძინავთ?
>>kat<< You're not listening.	არ უსმენ.
>>kat<< He is lost in thought.	ფიქრებში დაიკარგა.
>>kat<< I had to stay at home.	სახლში დარჩენა მომიწია
>>kat<< I want to talk to her.	მინდა მასთან ლაპარაკი.
>>kat<< I want to talk to you.	მინდა შენთან ლაპარაკი.
>>kat<< I'm at the restaurant.	რესტორანში ვარ.
>>kat<< Nobody understands me.	არავის არ ესმის ჩემი.
>>kat<< She attempted suicide.	მან თავის მოკვლა სცადა.
>>kat<< That man is a soldier.	ეგ კაცი ჯარისკაცია.
>>kat<< We have a reservation.	გვაქვს დაჯავშნა.
>>kat<< Who wrote these poems?	ვინ დაწერა ეს პოემები?
>>kat<< Why don't you love me?	რატომ არ გიყვარვარ?
>>kat<< You should be at home.	სახლში უნდა იყო.
>>kat<< All people breathe air.	ყველა ადამიანი ჰაერს სუნთქავს.
>>kat<< Can you get permission?	შეგიძლია პირობა მომცე?
>>kat<< How was your honeymoon?	როგორი იყო თქვენი თაფლობის თვე?
>>kat<< I don't speak Japanese.	მე არ ვიცი იაპონურად ლაპარაკი.
>>kat<< I'll give you an apple.	მე მოგცემ ვაშლს.
>>kat<< The train came on time.	მატარებელი დროზე მოვიდა.
>>kat<< They are very cheerful.	ძალიან მხიარული არიან.
>>kat<< Today is a working day.	დღეს სამუშაო დღეა.
>>kat<< Who lent you that book?	ვინ გათხოვა ეს წიგნი?
>>kat<< You have my permission.	შენ გაქვს ჩემი ნებართვა.
>>kat<< You need my permission.	შენ გჭირდება ჩემი ნებართვა
>>kat<< A bear can climb a tree.	დათვს შეუძლია ხეზე ცოცვა.
>>kat<< I like studying history.	მე მიყვარს ისტორიის სწავლა.
>>kat<< I'd like three of these.	სამი ცალი მომეცით გეთაყვა.
>>kat<< I'll give you a present.	მე მოგცემ საჩუქარს.
>>kat<< Please extend this visa.	გთხოვთ გააგრძელოთ ეს ვიზა.
>>kat<< Who gave you permission?	ვინ მოგცა ნებართვა?
>>kat<< I want a good dictionary.	კარგი ლექსიკონი მინდა.
>>kat<< I'm the man of the house.	მე სახლის კაცი ვარ.
>>kat<< The flowers are blooming.	ყვავილები ყვავდებიან.(აყვავილების პროცესი)
>>kat<< You must clean your room.	შენი ოთახი უნდა დაალაგო.
>>kat<< Do you have a middle name?	შუა სახელი გაქვს?
>>kat<< He's the man of the house.	ის სახლის კაცია.
>>kat<< I didn't work last Monday.	წინა ორშაბათს არ მიმუშავია.
>>kat<< I will tell you the truth.	სიმართლეს გეტყვი.
>>kat<< She cut the apple in half.	მან ვაშლი შუაზე გაჭრა.
>>kat<< Tom lives in a huge house.	ტომი უდიდეს სახლში ცხოვრობს.
>>kat<< You can go if you want to.	შეგიძლია წახვიდე თუ გინდა.
>>kat<< I don't think Tom is right.	არ მგონია რომ ტომი სწორია.
>>kat<< I want to talk to you, Tom.	მინდა შენთან ლაპარაკი, ტომო.
>>kat<< Read after me all together.	ყველამ გაიმეორეთ ჩემს შემდეგ.
>>kat<< We have to make the change.	ჩვენ უნდა შევიტანოთ ცვლილება.
>>kat<< We've resolved the problem.	ჩვენ მოვაგვარეთ პრობლემა.
>>kat<< Every hotel in town is full.	ყველა სასტუმრო ქალაქში სავსეა.
>>kat<< I think Tom lives in Boston.	მე მგონი ტომი ბოსტონში ცხოვრობს.
>>kat<< No more than 50 people came.	50 კაცამდე მოვიდა.
>>kat<< She is dressed like a bride.	პატარძალივით აცვია.
>>kat<< There is a book on the desk.	მერხზე წიგნია.
>>kat<< Tom is a good soccer player.	ტომი კარგი ფეხბურთელია.
>>kat<< Which one of those is yours?	აქედან შენი რომელია?
>>kat<< I don't think that's allowed.	არ მგონია რომ ეგ დაშვებულია.
>>kat<< I've attempted suicide twice.	თავის მოკვლა ორჯერ ვცადე.
>>kat<< It didn't even cross my mind.	აზრადაც არ მომსვლია.
>>kat<< Tom is left-handed, isn't he?	ტომი ცაციაა, არა?
>>kat<< You are in need of a holiday.	შენ დასვენება გჭირდება.
>>kat<< You are in need of a holiday.	შენ შვებულებაში გასვლა გჭირდება.
>>kat<< I can't believe you'd do that.	არ მჯერა რომ მაგას იზამდი.
>>kat<< I know that Tom is very lucky.	ვიცი რომ ტომს ძალიან გაუმართლა.
>>kat<< I learned to live without her.	მის გარეშე ცხოვრებას შევეჩვიე.
>>kat<< I'm still changing my clothes.	მე კიდევ ტანსაცმელს ვიცვლი.
>>kat<< Please ask Tom to come inside.	გთხოვ უთხარი ტომს რომ შიგნით შემოვიდეს.
>>kat<< The train arrived on schedule.	მატარებელი დროზე მოვიდა.
>>kat<< There's a cake inside the box.	ყუთში ტორტია.
>>kat<< Tom and I are both therapists.	ტომი და მე თერაპისტები ვართ.
>>kat<< Why do you need my permission?	რატომ გჭირდება ჩემი ნებართვა?
>>kat<< I'm not asking your permission.	მე არ გთხოვთ თქვენ ნებართვას.
>>kat<< I've made a mistake, haven't I?	შეცდომა დავუშვი, არა?
>>kat<< I've seen you somewhere before.	სადღაც მინახავხარ.
>>kat<< Please accept this little gift.	გთხოვ მიიღე ეს პატარა საჩუქარი.
>>kat<< Please wait for thirty minutes.	ნახევარი საათი მოიცადე.
>>kat<< Tom won three thousand dollars.	ტომმა სამი ათასი დოლარი მოიგო.
>>kat<< What did you say your name was?	რა თქვი რა გქვია?
>>kat<< Who would do a thing like that?	ვინ იზამდა ეგეთ რამეს?
>>kat<< Can you cut my sandwich in half?	შეგიძლია სენდვიჩი შუაზე გამიჭრა?
>>kat<< Do you realize what you've done?	აცნობიერებ რა გააკეთე?
>>kat<< I didn't want to move to Boston.	არ მინდა ბოსტონში გადასვლა.
>>kat<< I left my umbrella on the train.	ქოლგა მატარებელში დავტოვე.
>>kat<< I told Tom that I wasn't hungry.	ტომს ვუთხარი რომ მშიერი არ ვიყავი.
>>kat<< I'm a member of the tennis club.	მე ამ ტენის კლუბის წევრი ვარ.
>>kat<< I've gotten used to being alone.	მარტო ყოფნას მივეჩვიე.
>>kat<< Life cannot exist without water.	ცხოვრება არ იარსებებდა წყლის გარეშე.
>>kat<< Tom is a teacher, too, isn't he?	ტომიც მასწავლებელია, არა?
>>kat<< I'm cold. May I close the window?	მცივა. შეიძლება ფანჯარა დავხურო?
>>kat<< It's a great pleasure to be here.	ძალიან სასიამოვნოა, რომ აქ ვარ.
>>kat<< No one should desert his friends.	არავინ არ უნდა მიატოვოს თავისი მეგობარი.
>>kat<< Our meeting was quite accidental.	ჩვენი შეხვედრა შემთხვევითი იყო.
>>kat<< Over 30 people committed suicide.	30-ზე მეტმა ადამიანმა თავი მოიკლა.
>>kat<< The mail is delivered once a day.	წერილი ბარდება დღეში ერთხელ.
>>kat<< Tom got a text message from Mary.	ტომმა მერისგან შეტყობინება მიიღო
>>kat<< Tom is Mary's neighbor, isn't he?	ტომი მარის მეზობელია, არა?
>>kat<< Tom wears jeans almost every day.	ტომს ჯინსი აცვია თითქმის ყოველდღე.
>>kat<< I can't predict what might happen.	ვერ ვივარაუდებ რა შეიძლება მოხდეს.
>>kat<< I didn't tell him you were coming.	მისთვის არ მითქვამს რომ მოდიოდი.
>>kat<< I found the book very interesting.	ამ წიგნმა ძალიან დამაინტერესა.
>>kat<< I saw a beautiful waterfall there.	მე იქ ლამაზი ჩანჩქერი დავინახე.
>>kat<< Tom was sitting at a nearby table.	ტომი ახლომახლო მაგიდასთან იჯდა.
>>kat<< Do you have any other bright ideas?	სხვა ნათელი იდეა ხომ არ გაქვს?
>>kat<< Let's find out who stole our money.	მოდი გავარკვიოთ, ვინ მოიპარა ჩვენი ფული.
>>kat<< There is no simple road to success.	წარმატების მისაღწევად მარტივი გზა არ არსებობს.
>>kat<< Yesterday was Sunday, not Saturday.	გუშინ იყო კვირა, შაბათი კი არა.
>>kat<< Don't tell anyone about what we did.	არავის არ უთხრა რა ვქენით.
>>kat<< I had a lot of fun talking with Tom.	ძალიან გავერთე ტომთან საუბრით.
>>kat<< Tom says he likes living by himself.	ტომი ამბობს, რომ მარტო ცხოვრება მოსწონს.
>>kat<< Tom has never actually taught French.	ტომს არასდროს უსწავლებია ფრანგული.
>>kat<< He never hears what I'm trying to say.	არასოდეს არ ისმენს რისი თქმაც მინდა.
>>kat<< Tom said that Mary was born in Boston.	ტომმა თქვა რომ მარი ბოსტონში დაიბადა.
>>kat<< A man on horseback came along the path.	ცხენზე შემჯდარმა კაცმა ჩამოგვიარა.
>>kat<< I don't know whether it is true or not.	არ ვიცი სიმართლეა თუ ტყუილი.
>>kat<< Tom has been married for some time now.	ტომი უკვე რამდენიმე ხანია დაქორწინებულია
>>kat<< We caught a lot of fish this afternoon.	ამ შუადღეს ბევრი თევზი დავიჭირეთ
>>kat<< We'll talk to Tom then make a decision.	ჩვენ დაველაპარაკებით ტომს და გადაწყვეტილებას მივიღებთ.
>>kat<< What is this animal called in Japanese?	ამ ცხოველს იაპონურად რა ქვია?
>>kat<< He must have gone to see his old friend.	ალბათ თავისი ძველი მეგობრის სანახავად წავიდა.
>>kat<< It's going to be hard to find a job now.	ახლა რთული იქნება სამსახურის პოვნა.
>>kat<< Tom had trouble resolving the situation.	ტომს უჭირდა სიტუაციის გამოსწორება.
>>kat<< Tom hasn't been to a bar in a long time.	ტომი დიდი ხანია ბარში არ ყოფილა.
>>kat<< What is your ultimate goal in your life?	რა არის შენი ცხოვრების მიზანი?
>>kat<< What time does your watch say it is now?	რა დროს აჩვენებს შენი საათი?
>>kat<< You will never get bored in her company.	მის კომპანიაში არასოდეს მოიწყენ.
>>kat<< I know where we can get something to eat.	ვიცი სადაცშეგვიძლია რაიმეს მირთმევა.
>>kat<< I'll give this apple to whoever wants it.	ამ ვაშლს ვისაც უნდა იმას მივცემ.
>>kat<< The new store is going to open next week.	ახალი მაღაზია მომავალ კვირას გაიხსნება.
>>kat<< Tom and his brother are not at all alike.	ტომი და თავისი ძმა ერთმანეთს არ გვანან.
>>kat<< Why is Mary going with him to the picnic?	რატომ მიდის მარი მასთან ერთად პიკნიკზე?
>>kat<< I don't want to go outside this afternoon.	სახლიდან გასხვლა არ მინდა ამ საღამოს.
>>kat<< Mary wasn't one of the most popular girls.	მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.
>>kat<< My father has never been sick in his life.	მამაჩემი არასდროს ყოფილა ცუდად თავის ცხოვრებაში.
>>kat<< Our school has twenty-four classes in all.	ჩვეს სკოლას ჯამში აქვს ოცდაოთხი კლასი.
>>kat<< Tom didn't know he didn't have to do that.	ტომმა არ იცოდა, რომ მას ეს არ უნდა ექნა.
>>kat<< Mary was not one of the most popular girls.	მარი ერთ-ერათი ყველაზე პოპულარული გოგო იყო.
>>kat<< Tom is arriving soon. You should get ready.	ტომი მალე მოვა. უნდა გაემზადო.
>>kat<< I don't think Tom has ever done that before.	არ მგონია რომ ტომს ოდესმე ეგ უქნია.
>>kat<< I don't want to work under these conditions.	მე მუშაობა არ მინდა ასეთ პირობებში.
>>kat<< I only have toast and coffee in the morning.	დილაობით მხოლოდ ტოსტს და ყავას მივირთმევ.
>>kat<< Tom said that we shouldn't leave until 2:30.	ტომმა თქვა რომ 2:30–მდე არ უნდა წავიდეთ.
>>kat<< Didn't you know Tom was still studying French?	იცოდი რომ ტომი კიდევ სწავლობს ფრანგულს?
>>kat<< The coffee at this restaurant isn't very good.	ყავა ამ რესტორანში არაა ძალიან კარგი
>>kat<< Tom is hesitant to visit Mary in the hospital.	ტომი თავს იკავებს რომ მერის ესტუმროს საავადმყოფოში.
>>kat<< I know that you might think that I'm too young.	ვიცი, ალბათ ფიქრობ, რომ ზედმეტად ახალგაზრდა ვარ.
>>kat<< It looks like it's going to be another nice day.	როგორც ჩანს, კიდევ ერთი სასიამოვნო დღე იქნება.
>>kat<< I was absorbed in a book and didn't hear you call.	წიგნმა "ჩამითრია" და შენი ხმა ვერ გავიგე.
>>kat<< Tom said he'd be able to do that without any help.	ტომმა თქვა რომ ამის გაკეთებას შეძლებდა დახმარების გარეშე.
>>kat<< Tom told me that he plans on staying at the Hilton.	ტომმა მითხრა რომ ჰილტონში აპირებს დარჩენას.
>>kat<< After the war was over, everything had to be rebuilt.	ომის დამთავრების შემდეგ, ყველაფერი თავიდან იყო ასაშენებელი.
>>kat<< The police took immediate action to deal with the riot.	პოლიციამ დაუყოვნებლივი ქმედება მიიღო, აჯანყებასთან გასამკლავებლად.
>>kat<< We agreed to refrain from smoking while we are at work.	ჩვენ შევთანხმდით, რომ სამსახურში თავს შევიკავებდით მოწევისაგან.
>>kat<< It's not going to be as hard to do as you think it'll be.	არ იქნება ისეთი რთული გასაკეთებელი როგორიც შენ გგონია.
>>kat<< I never thought it'd be this easy to hack into your website.	არასდროს მეგონა რომ ასეთი ადვილი იქნებოდა შენს ვებსაიტში დაჰაკვა.
>>kat<< I'm pretty sure that Tom didn't know Mary was going to do that.	დარწმუნებული ვარ, ტომმა არ იცოდა, რომ მერი ამის გაკეთებას აპირებდა.
>>kat<< Present-day Japan is going down the route to self destruction, isn't it?	დღესდღეობით იაპონია მიდის თვითგანადგურების გზაზე, არა?
>>kat<< Tom is having trouble coping with the fact that his son committed suicide.	ტომს უჭირს გაუმკლავდეს ფაქტს, რომ მისმა შვილმა თავი მოიკლა.
>>kat<< Do you drink coffee? If so, how many cups of coffee do you drink every day?	ყავას სვამ? თუ კი, დღეში რამდენ ჭიქა ყავას სვამ?
>>kat<< The bear left no stone unturned in his search for fat bugs under the rocks.	დათვმა არცერთი ქვა არ დატოვა ამოუტრიალებელი მსუქალი ხოჭოების ძებნისას.
>>kat<< A woman wrote 30 books about how to become happy, and then committed suicide.	ქალმა 30 წიგნი დაწერა იმაზე, თუ როგორ გავხდეთ ბედნიერი, და შემდეგ თავი მოიკლა.
>>kat<< Certainly he is handsome and intelligent, but there is something about him that I can't like.	ის ნამდვილად სიმპათიური და ინტელიგენტურია, მაგრამ რაღაც არის რაც არ მომწონს.
