>>pol<< Go.	Idź.
>>pol<< Be good.	Bądź dobry.
>>pol<< Be kind.	Bądź miły.
>>pol<< Be nice.	Bądź miły.
>>pol<< Beat it.	Spadaj.
>>pol<< Burn it.	Spal to!
>>pol<< Bury it.	Zakop je.
>>pol<< Bury it.	Zakop ją.
>>pol<< Bury it.	Zakop go.
>>pol<< Call me.	Zadzwoń do mnie.
>>pol<< Call us.	Zadzwoń do nas.
>>pol<< Come in.	Proszę wejść.
>>pol<< Come in.	Wejdź.
>>pol<< Come in.	Wchodź.
>>pol<< Come in.	Wejdźcie.
>>pol<< Come in.	Niech pan wejdzie.
>>pol<< Come in.	Niech pani wejdzie.
>>pol<< Come in.	Niech państwo wejdą.
>>pol<< Come in.	Proszę wchodzić.
>>pol<< Come in.	Zapraszam do środka.
>>pol<< Come on!	Śmiało!
>>pol<< Come on!	Dalej!
>>pol<< Come on.	No chodź.
>>pol<< Do this.	Zrób to.
>>pol<< Drop it!	Rzuć to!
>>pol<< Drop it.	Daj spokój.
>>pol<< Drop it.	Zostaw to.
>>pol<< Drop it.	Rzuć to.
>>pol<< Drop it.	Odpuść sobie.
>>pol<< Fold it.	Złóż je.
>>pol<< Get Tom.	Zabierz Toma.
>>pol<< Get Tom.	Przyprowadź Toma.
>>pol<< Get out!	Wynoś się!
>>pol<< Get out.	Wynoś się!
>>pol<< Get out.	Wynocha.
>>pol<< Go away!	Idź stąd.
>>pol<< Go away.	Idź sobie.
>>pol<< Go away.	Odejdź.
>>pol<< Go back.	Wróć.
>>pol<< Go home.	Idź do domu.
>>pol<< Goodbye!	Do widzenia!
>>pol<< Goodbye.	Do widzenia.
>>pol<< Hang on.	Wytrzymać.
>>pol<< He came.	Przyszedł.
>>pol<< He left.	Poszedł sobie.
>>pol<< He runs.	On biega.
>>pol<< Help me!	Pomocy!
>>pol<< Help me!	Pomóż mi!
>>pol<< Help me.	Pomóż mi.
>>pol<< Help us.	Pomóż nam.
>>pol<< Help us.	Pomóżcie nam.
>>pol<< Hi, Tom.	Cześć, Tom.
>>pol<< Hit Tom.	Uderz Toma.
>>pol<< Hold it!	Trzymaj się!
>>pol<< Hold it.	Trzymaj je.
>>pol<< Hold it.	Trzymaj ją.
>>pol<< Hold it.	Trzymaj go.
>>pol<< Hold on.	Czekaj.
>>pol<< Hold on.	Proszę poczekać.
>>pol<< Hold on.	Chwileczkę.
>>pol<< Hold up.	Poczekaj.
>>pol<< Hug Tom.	Przytul Toma.
>>pol<< I agree.	Zgadzam się.
>>pol<< I bowed.	Ukłoniłem się.
>>pol<< I cried.	Płakałem.
>>pol<< I cried.	Krzyknąłem.
>>pol<< I dozed.	Przysnęłam.
>>pol<< I dozed.	Przysnąłem.
>>pol<< I drive.	Prowadzę.
>>pol<< I drove.	Prowadziłem.
>>pol<< I fired.	Strzeliłem.
>>pol<< I fired.	Strzeliłam.
>>pol<< I froze.	Zamarzłem.
>>pol<< I froze.	Zamarzłam.
>>pol<< I moved.	Poruszyłem się.
>>pol<< I moved.	Poruszyłam się.
>>pol<< I moved.	Ruszyłam się.
>>pol<< I moved.	Ruszyłem się.
>>pol<< I moved.	Przeprowadziłam się.
>>pol<< I moved.	Przeprowadziłem się.
>>pol<< I slept.	Spałem.
>>pol<< I slept.	Spałam.
>>pol<< I smoke.	Palę.
>>pol<< I snore.	Chrapię.
>>pol<< I stink.	Śmierdzę.
>>pol<< I stood.	Stałem.
>>pol<< I swore.	Przysiągłem.
>>pol<< I tried.	Próbowałem.
>>pol<< I waved.	Pomachałem.
>>pol<< I'll go.	Ja pójdę.
>>pol<< I'm Tom.	Jestem Tom.
>>pol<< I'm bad.	Jestem zły.
>>pol<< I'm hot.	Jest mi gorąco.
>>pol<< I'm hot.	Gorąco mi.
>>pol<< I'm hot.	Jestem seksowny.
>>pol<< I'm ill.	Jestem chory.
>>pol<< I'm old.	Jestem stary.
>>pol<< I'm sad.	Jestem smutny.
>>pol<< I'm shy.	Jestem nieśmiały.
>>pol<< I'm shy.	Jestem wstydliwy.
>>pol<< It's me!	To ja.
>>pol<< It's me!	Oto ja.
>>pol<< It's me.	To ja.
>>pol<< Join me.	Dołącz do mnie.
>>pol<< Join me.	Dołączcie do mnie.
>>pol<< Join us.	Dołącz do nas.
>>pol<< Join us.	Przyłącz się do nas.
>>pol<< Keep it.	Zatrzymaj to.
>>pol<< Kick it.	Kopnij to.
>>pol<< Kill it.	Zabij je.
>>pol<< Kiss me.	Pocałuj mnie.
>>pol<< Kiss me.	Daj buziaka.
>>pol<< Lie low.	Ukryj się.
>>pol<< Lie low.	Nie wychylaj się.
>>pol<< Lie low.	Przyczaj się gdzieś.
>>pol<< Lie low.	Przeczekaj to.
>>pol<< Lock it.	Zamknij to na klucz.
>>pol<< Look up.	Spójrz w górę.
>>pol<< Me, too.	Ja także.
>>pol<< Me, too.	Ja też.
>>pol<< Open it.	Otwórz je.
>>pol<< Open up.	Otwierać.
>>pol<< Perfect!	Doskonale!
>>pol<< Pull it.	Pociągnij je.
>>pol<< Quit it!	Odpuść sobie!
>>pol<< See you!	Na razie!
>>pol<< See you!	Do zobaczenia!
>>pol<< Show me.	Pokaż mi.
>>pol<< Shut up!	Zamknij się!
>>pol<< Sign up.	Zapisz się.
>>pol<< Sign up.	Zarejestruj się.
>>pol<< Stop it.	Przestań.
>>pol<< Take it.	Weź to.
>>pol<< Tell me.	Powiedz mi.
>>pol<< Text me.	Napisz do mnie.
>>pol<< Tom ate.	Tom zjadł.
>>pol<< Tom hid.	Tom ukrył się.
>>pol<< Tom ran.	Tom biegał.
>>pol<< Wait up.	Zaczekaj.
>>pol<< Wait up.	Czekaj.
>>pol<< Wake up!	Obudź się!
>>pol<< Wake up.	Obudź się.
>>pol<< We care.	Nam zależy.
>>pol<< We know.	Wiemy.
>>pol<< We lied.	Skłamaliśmy.
>>pol<< We lied.	Kłamaliśmy.
>>pol<< We lost.	Przegraliśmy.
>>pol<< We swam.	Płynęliśmy.
>>pol<< Welcome.	Witamy.
>>pol<< Welcome.	Witam.
>>pol<< Who ate?	Kto jadł?
>>pol<< Who ran?	Kto biegł?
>>pol<< Who won?	Kto wygrał?
>>pol<< You run.	Uruchomić.
>>pol<< You win.	Wygrywasz.
>>pol<< You won.	Wygrałeś.
>>pol<< Ask them.	Zapytaj ich.
>>pol<< Ask them.	Zapytajcie ich.
>>pol<< Back off!	Odsuń się!
>>pol<< Back off.	Odsuń się.
>>pol<< Be brave.	Bądź odważny
>>pol<< Be brief.	Streszczaj się.
>>pol<< Be quick.	Pośpiesz się.
>>pol<< Be quick.	Bądź szybki.
>>pol<< Be quiet.	Bądź cicho.
>>pol<< Be quiet.	Cicho bądź!
>>pol<< Be quiet.	Cicho.
>>pol<< Be quiet.	Siedź cicho.
>>pol<< Be quiet.	Milcz.
>>pol<< Be smart.	Bądź sprytny.
>>pol<< Be still.	Bądź spokojna.
>>pol<< Buzz off.	Spadaj.
>>pol<< Buzz off.	Odczep się.
>>pol<< Buzz off.	Odwal się.
>>pol<< Buzz off.	Zjeżdżaj.
>>pol<< Bye, Tom.	Pa, Tom.
>>pol<< Call Tom.	Zadzwoń Tom.
>>pol<< Catch me.	Złap mnie.
>>pol<< Catch me.	Złapcie mnie.
>>pol<< Cheer up!	Głowa do góry!
>>pol<< Cheer up.	Uśmiechnij się.
>>pol<< Cheer up.	Rozchmurz się.
>>pol<< Cheer up.	Głowa do góry.
>>pol<< Cheer up.	Rozchmurzcie się.
>>pol<< Cool off!	Uspokój się!
>>pol<< Cover me.	Kryj mnie.
>>pol<< Cuff him.	Skuć go.
>>pol<< Don't go.	Nie odchodź.
>>pol<< Don't go.	Nie idź.
>>pol<< Don't go.	Nie jedź.
>>pol<< Drink it.	Wypij to.
>>pol<< Drive on.	Jedź dalej.
>>pol<< Find Tom.	Znajdź Toma.
>>pol<< Fire Tom.	Zwolnij Toma.
>>pol<< Fire Tom.	Zwolnijcie Toma.
>>pol<< Fix this.	Napraw to.
>>pol<< Get away!	Odejdź!
>>pol<< Get away.	Odejdź stąd.
>>pol<< Get back.	Wróć.
>>pol<< Get busy.	Bierz się do roboty.
>>pol<< Get busy.	Zajmij się czymś.
>>pol<< Get busy.	Weź się do pracy.
>>pol<< Get down!	Na ziemię!
>>pol<< Get down.	Schodzić.
>>pol<< Get lost!	Idź precz!
>>pol<< Get lost.	Spadaj.
>>pol<< Get real!	Ogarnij się!
>>pol<< Get real.	Obudź się.
>>pol<< Get real.	Zejdź na ziemię.
>>pol<< Get real.	Bądź realistą.
>>pol<< Go ahead!	No dalej!
>>pol<< Go ahead.	Kontynuuj.
>>pol<< Go ahead.	Śmiało.
>>pol<< Go ahead.	No dalej.
>>pol<< Go ahead.	Dalej.
>>pol<< Go there.	Idź tam.
>>pol<< Good job!	Dobra robota!
>>pol<< Grab Tom.	Złap Toma.
>>pol<< Grab him.	Złap go.
>>pol<< Have fun.	Miłej zabawy.
>>pol<< He spoke.	Przemówił.
>>pol<< He tried.	Próbował.
>>pol<< He tries.	On się stara.
>>pol<< He tries.	On próbuje.
>>pol<< Help Tom.	Pomóż Tom.
>>pol<< Hire Tom.	Zatrudnij Toma.
>>pol<< Hire Tom.	Zatrudnijcie Toma.
>>pol<< Hit hard.	Uderz mocno.
>>pol<< How cute!	Jak uroczo!
>>pol<< How deep?	Jak głęboko?
>>pol<< How nice!	Jak miło!
>>pol<< Humor me.	Rozbaw mnie.
>>pol<< Hurry up.	Pośpiesz się!
>>pol<< I agreed.	Zgodziłem się.
>>pol<< I agreed.	Przytaknęłam.
>>pol<< I agreed.	Wyraziłem zgodę.
>>pol<< I burped.	Odbiło mi się.
>>pol<< I cursed.	Zakląłem.
>>pol<< I cursed.	Zaklęłam.
>>pol<< I danced.	Tańczyłem.
>>pol<< I did it.	Ja to zrobiłem.
>>pol<< I failed.	Zawiodłem.
>>pol<< I failed.	Nawaliłem.
>>pol<< I failed.	Poniosłem klęskę.
>>pol<< I failed.	Nie udało mi się.
>>pol<< I failed.	Zawaliłem sprawę.
>>pol<< I failed.	Poniosłem porażkę.
>>pol<< I failed.	Poległam.
>>pol<< I forgot.	Zapomniałem.
>>pol<< I gasped.	Sapnęłam.
>>pol<< I gasped.	Sapnąłem.
>>pol<< I get it.	Rozumiem.
>>pol<< I goofed.	Nawaliłem.
>>pol<< I goofed.	Wygłupiłem się.
>>pol<< I goofed.	Palnęłam głupstwo.
>>pol<< I got it.	Złapałem!
>>pol<< I helped.	Pomogłem.
>>pol<< I helped.	Pomogłam.
>>pol<< I jumped.	Skoczyłem.
>>pol<< I looked.	Patrzyłem.
>>pol<< I manage.	Radzę sobie.
>>pol<< I matter.	Jestem ważna.
>>pol<< I matter.	Liczę się.
>>pol<< I moaned.	Jęknąłem.
>>pol<< I nodded.	Skinąłem głową.
>>pol<< I obeyed.	Posłuchałam.
>>pol<< I passed.	Zdałam.
>>pol<< I passed.	Zdałem.
>>pol<< I paused.	Urwałam.
>>pol<< I paused.	Przerwałem.
>>pol<< I phoned.	Dzwoniłem.
>>pol<< I played.	Grałem.
>>pol<< I played.	Grałam.
>>pol<< I prayed.	Modliłem się.
>>pol<< I refuse.	Odmawiam.
>>pol<< I resign.	Odchodzę.
>>pol<< I resign.	Składam wypowiedzenie.
>>pol<< I rested.	Odpoczęłam.
>>pol<< I rested.	Odpoczęłem.
>>pol<< I shaved.	Ogoliłem się.
>>pol<< I sighed.	Westchnęłam.
>>pol<< I sighed.	Westchnąłem.
>>pol<< I smiled.	Uśmiechnąłem się.
>>pol<< I stayed.	Zostałem.
>>pol<< I talked.	Mówiłem.
>>pol<< I talked.	Mówiłam.
>>pol<< I use it.	Używam go.
>>pol<< I use it.	Używam jej.
>>pol<< I waited.	Czekałem.
>>pol<< I winked.	Mrugnęłam.
>>pol<< I winked.	Puściłem oko.
>>pol<< I winked.	Puściłam oczko.
>>pol<< I winked.	Mrugnąłem.
>>pol<< I yawned.	Ziewnąłem.
>>pol<< I'll pay.	Ja zapłacę.
>>pol<< I'll try.	Spróbuję.
>>pol<< I'm bald.	Jestem łysy.
>>pol<< I'm busy.	Jestem zajęty.
>>pol<< I'm busy.	Zarobiony jestem.
>>pol<< I'm cold.	Zimno mi.
>>pol<< I'm cold.	Jest mi zimno.
>>pol<< I'm cool.	Jestem spokojny.
>>pol<< I'm done.	Mam dość.
>>pol<< I'm fair.	Jestem sprawiedliwy.
>>pol<< I'm free!	Jestem wolny!
>>pol<< I'm full.	Jestem pełny.
>>pol<< I'm game.	Wchodzę w to.
>>pol<< I'm glad.	Cieszę się.
>>pol<< I'm here.	Jestem tutaj.
>>pol<< I'm home.	Jestem w domu.
>>pol<< I'm hurt.	Jestem ranny.
>>pol<< I'm late.	Jestem spóźniony.
>>pol<< I'm lost.	Zgubiłem się.
>>pol<< I'm lost.	Jestem bezradny.
>>pol<< I'm lost.	Jestem zdezorientowany.
>>pol<< I'm mean.	Jestem wredny.
>>pol<< I'm next.	Jestem następny.
>>pol<< I'm poor.	Jestem biedny.
>>pol<< I'm rich.	Jestem bogaty.
>>pol<< I'm safe.	Jestem bezpieczny.
>>pol<< I'm sick.	Jestem chory.
>>pol<< I'm sure.	Jestem pewny.
>>pol<< I'm warm.	Jest mi ciepło.
>>pol<< I'm weak.	Jestem słaby.
>>pol<< I'm wise.	Jestem mądry.
>>pol<< I've won.	Wygrałem.
>>pol<< It hurts.	To boli.
>>pol<< It works.	To działa.
>>pol<< It's his.	To jest jego.
>>pol<< It's hot.	Jest gorąco.
>>pol<< It's new.	To jest nowe.
>>pol<< It's red.	Jest czerwone.
>>pol<< It's red.	Jest czerwony.
>>pol<< It's red.	Jest czerwona.
>>pol<< It's sad.	To smutne.
>>pol<< Keep out!	Nie wchodzić!
>>pol<< Keep out.	Wstęp wzbroniony.
>>pol<< Kill Tom.	Zabij Toma.
>>pol<< Kill Tom.	Zabijcie Toma.
>>pol<< Kiss Tom.	Pocałuj Toma.
>>pol<< Leave it.	Zostaw to.
>>pol<< Leave me.	Zostaw mnie.
>>pol<< Leave us.	Zostaw nas.
>>pol<< Let's go!	Chodźmy!
>>pol<< Let's go.	Chodźmy!
>>pol<< Look out!	Uważaj!
>>pol<< Marry me.	Wyjdź za mnie.
>>pol<< May I go?	Mogę iść?
>>pol<< Nice job!	Niezła robota!
>>pol<< Nonsense!	Nonsens!
>>pol<< Run away.	Ucieknij.
>>pol<< Save Tom.	Uratuj Toma.
>>pol<< She came.	Przyszła.
>>pol<< She died.	Zmarła.
>>pol<< She died.	Zginęła.
>>pol<< She left.	Odeszła.
>>pol<< She runs.	Biegnie.
>>pol<< Sit down!	Usiądź!
>>pol<< Sit down!	Siadaj!
>>pol<< Sit down.	Usiądź.
>>pol<< Sit here.	Usiądź tutaj.
>>pol<< Smash it.	Rozbij je.
>>pol<< Speak up!	Mów głośniej!
>>pol<< Speed up.	Przyśpiesz.
>>pol<< Stand by.	Przygotuj się.
>>pol<< Stand up!	Wstawaj!
>>pol<< Stand up.	Wstań.
>>pol<< Stay put.	Zostań na miejscu.
>>pol<< Stop Tom.	Zatrzymaj się Tom.
>>pol<< Take Tom.	Zabierz Toma.
>>pol<< Tell Tom.	Powiedz Tomowi.
>>pol<< Terrific!	Niesamowity.
>>pol<< They won.	Wygrali.
>>pol<< Tom came.	Tom przyszedł.
>>pol<< Tom died.	Tom umarł.
>>pol<< Tom fell.	Tom upadł.
>>pol<< Tom fled.	Tom uciekł.
>>pol<< Tom fled.	Tom zbiegł.
>>pol<< Tom fled.	Tom czmychnął.
>>pol<< Tom fled.	Tom zwiał.
>>pol<< Tom knew.	Tom wiedział.
>>pol<< Tom left.	Tom wyszedł.
>>pol<< Tom lied.	Tom skłamał.
>>pol<< Tom lies.	Tom kłamie.
>>pol<< Tom lost.	Tom przegrał.
>>pol<< Tom paid.	Tom zapłacił.
>>pol<< Tom quit.	Tom wyszedł.
>>pol<< Tom rose.	Tom wstał.
>>pol<< Tom sang.	Tom zaśpiewał.
>>pol<< Tom spit.	Tom splunął.
>>pol<< Tom swam.	Tom płynął.
>>pol<< Tom went.	Tom poszedł.
>>pol<< Tom wept.	Tom łkał.
>>pol<< Touch it.	Dotknij tego.
>>pol<< Trust me!	Zostaw to mnie.
>>pol<< Trust me!	Zaufaj mi.
>>pol<< Trust me.	Zaufaj mi.
>>pol<< Try hard.	Staraj się mocno.
>>pol<< Try some.	Spróbuj trochę.
>>pol<< Try this.	Spróbuj tego.
>>pol<< Use this.	Użyj tego.
>>pol<< Visit us.	Odwiedź nas.
>>pol<< Warn Tom.	Ostrzeż Toma.
>>pol<< Watch me.	Patrz na mnie.
>>pol<< Watch us.	Patrzą na nas.
>>pol<< We agree.	Zgadzamy się.
>>pol<< We cried.	Płakaliśmy.
>>pol<< We cried.	Płakałyśmy.
>>pol<< We cried.	Krzyknęliśmy.
>>pol<< We cried.	Krzyknęłyśmy.
>>pol<< We moved.	Przemieszczaliśmy się.
>>pol<< We moved.	Ruszaliśmy się.
>>pol<< We moved.	Ruszałyśmy się.
>>pol<< We moved.	Przemieszczałyśmy się.
>>pol<< We stood.	Staliśmy.
>>pol<< We tried.	Próbowaliśmy.
>>pol<< We tried.	Próbowałyśmy.
>>pol<< What for?	Po co?
>>pol<< What fun!	Ale zabawa!
>>pol<< Who am I?	Kim jestem?
>>pol<< Who came?	Kto przyszedł?
>>pol<< Who died?	Kto umarł?
>>pol<< Who died?	Kto zmarł?
>>pol<< Who fell?	Kto upadł?
>>pol<< Who lost?	Kto przegrał?
>>pol<< Who paid?	Kto zapłacił?
>>pol<< Who quit?	Kto wyszedł?
>>pol<< Who swam?	Kto pływał?
>>pol<< Who's he?	Kim on jest?
>>pol<< Write me.	Napisz do mnie.
>>pol<< You fool!	Ty głupcze!
>>pol<< You lost.	Przegrałaś.
>>pol<< You lost.	Przegrałeś.
>>pol<< After you.	Proszę przodem.
>>pol<< Aim. Fire!	Cel. Ogień!
>>pol<< Answer me.	Odpowiedz mi.
>>pol<< Apologize.	Przeproś.
>>pol<< Be honest.	Bądź szczery.
>>pol<< Be honest.	Bądź szczera.
>>pol<< Be seated.	Usiądź.
>>pol<< Be strong.	Bądź silny.
>>pol<< Be strong.	Bądź silna.
>>pol<< Be strong.	Bądźcie silni.
>>pol<< Be strong.	Bądźcie silne.
>>pol<< Birds fly.	Ptaki latają.
>>pol<< Bless you.	Na zdrowie.
>>pol<< Calm down!	Uspokój się!
>>pol<< Calm down!	Opanuj się!
>>pol<< Calm down.	Uspokój się.
>>pol<< Can I eat?	Mogę już jeść?
>>pol<< Can we go?	Możemy iść?
>>pol<< Catch Tom.	Złap Tom.
>>pol<< Catch him.	Złap go.
>>pol<< Chill out.	Uspokój się.
>>pol<< Chill out.	Wyluzuj.
>>pol<< Choose me.	Wybierz mnie.
>>pol<< Come back.	Wróć.
>>pol<< Come here.	Chodź tu.
>>pol<< Come home.	Chodź do domu.
>>pol<< Come over.	Przyjść.
>>pol<< Come soon.	Przyjdź wkrótce.
>>pol<< Cool down.	Uspokój się.
>>pol<< Did I win?	Wygrałem?
>>pol<< Do it now.	Zrób to teraz.
>>pol<< Dogs bark.	Psy szczekają.
>>pol<< Don't cry.	Nie płacz.
>>pol<< Don't die.	Nie umieraj!
>>pol<< Don't lie.	Nie kłam.
>>pol<< Excuse me?	Proszę?
>>pol<< Excuse me?	Słucham?
>>pol<< Excuse me?	Przepraszam?
>>pol<< Fantastic!	Fantastyczny!
>>pol<< Fasten it.	Zapnij je.
>>pol<< Fasten it.	Zapnij ją.
>>pol<< Fasten it.	Zapnij go.
>>pol<< Feel this.	Poczuj to.
>>pol<< Film this.	Filmuj to.
>>pol<< Follow me.	Chodź za mną.
>>pol<< Follow me.	Chodźcie za mną.
>>pol<< Follow us.	Dołącz do nas.
>>pol<< Forget it!	Zapomnij o tym!
>>pol<< Forget it!	Zapomnij!
>>pol<< Forget it.	Nie ma mowy!
>>pol<< Forget it.	Zapomnij o tym!
>>pol<< Forget it.	Nie ma o czym mówić.
>>pol<< Forget it.	Zapomnij!
>>pol<< Forget me.	Zapomnij o mnie.
>>pol<< Get ready.	Przygotuj się.
>>pol<< Go faster.	Idź szybciej.
>>pol<< Go inside.	Idź do środka.
>>pol<< Grab that.	Weź to.
>>pol<< Grab that.	Weź tamto.
>>pol<< Grab this.	Weź to.
>>pol<< Greetings.	Pozdrowienia.
>>pol<< Hands off.	Ręce precz.
>>pol<< Have some.	Częstuj się.
>>pol<< Have some.	Napij się.
>>pol<< He is ill.	On jest chory.
>>pol<< He is old.	Jest stary.
>>pol<< He shaved.	Ogolił się.
>>pol<< He smiled.	Uśmiechnął się.
>>pol<< He's a DJ.	Jest DJ-em.
>>pol<< He's busy.	On jest zajęty.
>>pol<< He's fast.	Jest szybki.
>>pol<< He's good.	Jest dobry.
>>pol<< He's lazy.	Jest leniwy.
>>pol<< He's rich.	Jest bogaty.
>>pol<< He's sexy.	Jest seksowny.
>>pol<< Head east.	Skieruj się na wschód.
>>pol<< Head west.	Skieruj się na zachód.
>>pol<< Here I am.	Oto ja.
>>pol<< Here I am.	Oto jestem.
>>pol<< Hide here.	Ukryj się tutaj.
>>pol<< Hide here.	Ukryjcie się tutaj.
>>pol<< Hold fire.	Wstrzymać ogień.
>>pol<< Hold this.	Potrzymaj.
>>pol<< How funny!	Jakie śmieszne!
>>pol<< Humor Tom.	Udobruchaj Toma.
>>pol<< I am full.	Jestem pełen.
>>pol<< I am full.	Jestem syty.
>>pol<< I am full.	Jestem syta.
>>pol<< I am full.	Jestem pełna.
>>pol<< I am good.	Jestem dobry!
>>pol<< I am here.	Jestem tutaj.
>>pol<< I am sick.	Jestem chory.
>>pol<< I am sure.	Jestem pewny.
>>pol<< I am sure.	Jestem pewna.
>>pol<< I am tall.	Jestem wysoki.
>>pol<< I am tall.	Jestem wysoka.
>>pol<< I am well.	U mnie wszystko w porządku.
>>pol<< I approve.	Zgadzam się.
>>pol<< I beg you.	Błagam cię.
>>pol<< I belched.	Beknęłam.
>>pol<< I belched.	Beknąłem.
>>pol<< I blinked.	Mrugnęłam.
>>pol<< I blinked.	Mrugnąłem.
>>pol<< I can fly.	Potrafię latać.
>>pol<< I changed.	Zmieniłam się.
>>pol<< I changed.	Zmieniłem się.
>>pol<< I changed.	Przebrałem się.
>>pol<< I changed.	Przebrałam się.
>>pol<< I cheated.	Oszukiwałem.
>>pol<< I clapped.	Klaskałem.
>>pol<< I coughed.	Zakaszlałem.
>>pol<< I crashed.	Rozbiłem się.
>>pol<< I crashed.	Rozbiłam się.
>>pol<< I cringed.	Skrzywiłem się.
>>pol<< I cringed.	Wzdrygnęłam się.
>>pol<< I escaped.	Uciekłem.
>>pol<< I escaped.	Uciekłam.
