>>aze<< I'm OK.	Mən yaxşıyam.
>>aze<< I won't bite.	Dişləməyəcəm.
>>aze<< I'm a writer.	Mən yazıçıyam.
>>aze<< I'm no saint.	Mən müqəddəs deyiləm.
>>aze<< Is this love?	Bu sevgidir?
>>aze<< It was black.	Qara idi.
>>aze<< It's not bad.	Pis deyil.
>>aze<< It's snowing.	Qar yağır.
>>aze<< Life goes on.	Həyat davam edir.
>>aze<< Life is hard.	Həyat çətindir.
>>aze<< My ears hurt.	Qulaqlarım ağrıyır.
>>aze<< She is young.	O cavandır.
>>aze<< Someone came.	Kimsə gəldi.
>>aze<< Sweet dreams!	Şirin yuxular!
>>aze<< Sweet dreams!	Yuxun şirin olsun!
>>aze<< They hate us.	Onlar bizə nifrət edirlər.
>>aze<< They're boys.	Onlar oğlandırlar.
>>aze<< They're free.	Onlar azaddırlar.
>>aze<< Tom is young.	Tom cavandır.
>>aze<< Tom was home.	Tom evdə idi.
>>aze<< Unbelievable!	İnanılmaz!
>>aze<< We heard you.	Biz səni eşitdik.
>>aze<< We know this.	Biz bunu bilirik.
>>aze<< We're a team.	Biz komandayıq.
>>aze<< What is this?	Bu nədir?
>>aze<< You know how.	Sən bilirsən necə.
>>aze<< You're brave.	Sən cəsursan.
>>aze<< You're drunk.	Siz sərxoşsunuz!
>>aze<< Are you crazy?	Dəlisən?
>>aze<< He lied to us.	O bizə yalan dedi.
>>aze<< He smells bad.	Ondan pis iy gəlir.
>>aze<< His nose bled.	Onun burnu qanadı.
>>aze<< How's the dog?	İt necədir?
>>aze<< I hate coffee.	Kofedən zəhləm gedir.
>>aze<< I hate onions.	Soğandan zəhləm gedir.
>>aze<< I like trains.	Qatarlardan xoşum gəlir.
>>aze<< I love autumn.	Mən payızı sevirəm.
>>aze<< I love garlic.	Sarımsaq xoşlayıram.
>>aze<< I love spring.	Mən yazı sevirəm.
>>aze<< I quite agree.	Tamamilə razıyam.
>>aze<< I see the dog.	İti görürəm.
>>aze<< I was singing.	Mən oxuyurdum.
>>aze<< I'm an orphan.	Mən yetiməm.
>>aze<< I'm dangerous.	Mən təhlükəliyəm.
>>aze<< I'm in my car.	Mən maşınımın içindəyəm.
>>aze<< I'm not blind.	Mən kor deyiləm.
>>aze<< Is Tom guilty?	Tom günahkardır?
>>aze<< It gets worse.	Pisə doğru gedir.
>>aze<< It gets worse.	Pişləşir.
>>aze<< It's not easy.	Bu asan deyil.
>>aze<< Life is tough.	Həyat çətindir.
>>aze<< My car is red.	Mənim maşınım qırmızıdır.
>>aze<< My head aches.	Mən başım ağrıyır.
>>aze<< My head hurts.	Başım ağrıyır.
>>aze<< Open the door.	Qapını aç!
>>aze<< Open the door.	Qapını açın!
>>aze<< Our team lost.	Bizim komandamız uduzdu.
>>aze<< Send it to me.	Bunu mənə göndər.
>>aze<< She avoids me.	O məndən qaçır.
>>aze<< She hates him.	O ona nifrət edir.
>>aze<< She is crying.	O ağlayır.
>>aze<< She's my wife.	O mənim arvadımdır.
>>aze<< Start running.	Qaçmağa başla.
>>aze<< Take Tom home.	Tomu evə apar!
>>aze<< That's my cat.	O mənim pişiyimdir.
>>aze<< The war ended.	Müharibə sona çatdı.
>>aze<< This is Japan.	Bu Yaponiyadır.
>>aze<< This is a pen.	Bu qələmdir.
>>aze<< Tom came home.	Tom evə gəldi.
>>aze<< Tom disagreed.	Tom razılaşmadı.
>>aze<< Tom found one.	Tom birini tapdı.
>>aze<< Tom has a car.	Tomun maşını var.
>>aze<< Tom knew this.	Tom bunu bilirdi.
>>aze<< Tom was alone.	Tom tək idi.
>>aze<< Tom went home.	Tom evə getdi.
>>aze<< Tom will call.	Tom zəng vuracaq.
>>aze<< Tom's waiting.	Tom gözləyir.
>>aze<< Wait a second.	Bir saniyə gözlə.
>>aze<< We both cried.	Biz ikimiz də ağladıq.
>>aze<< We caught Tom.	Biz Tomu tutduq.
>>aze<< We met before.	Biz əvvəl görüşmüşük.
>>aze<< We want peace.	Biz sülh istəyirik.
>>aze<< We were drunk.	Sərxoş idik.
>>aze<< We're friends.	Biz dostuq.
>>aze<< We're thieves.	Biz oğruyuq.
>>aze<< Who disagreed?	Kim razılaşmadı?
>>aze<< You have wine.	Sizin şərabınız var.
>>aze<< You have wine.	Sənin şərabın var.
>>aze<< Apples are red.	Almalar qırmızıdır.
>>aze<< Are you crying?	Ağlayırsan?
>>aze<< Autumn is here.	Payız gəldi.
>>aze<< Cats are smart.	Pişiklər ağıllıdırlar.
>>aze<< Close the book.	Kitabı bağla.
>>aze<< Close the book.	Kitabı ört.
>>aze<< Do we know you?	Biz sizi tanıyırıq?
>>aze<< Don't complain.	Şikayətlənmə.
>>aze<< Don't stop him.	Saxlama onu!
>>aze<< Everybody lies.	Hamı yalan danışır.
>>aze<< Guess who I am.	Tap mən kiməm!
>>aze<< Happy New Year!	Yeni iliniz mübarək!
>>aze<< He is a doctor.	O, həkimdir.
>>aze<< He sang a song.	O mahnı oxudu.
>>aze<< Hide the money.	Pulu gizlət!
>>aze<< I am a teacher.	Mən müəlliməm.
>>aze<< I hate spinach.	İspanaqdan zəhləm gedir.
>>aze<< I hate to wait.	Gözləməkdən zəhləm gedir.
>>aze<< I have no time.	Mənim vaxtım yoxdur.
>>aze<< I like lettuce.	Mən kahı xoşlayıram.
>>aze<< I like to work.	İşləmək mənim xoşuma gəlir.
>>aze<< I like to work.	Mən işləməyi sevirəm.
>>aze<< I need a knife.	Mənə bıçaq lazımdır.
>>aze<< I saw the cook.	Mən aşpazı gördüm.
>>aze<< I usually walk.	Mən adətən piyada gedirəm.
>>aze<< I will take it.	Mən bunu götürəcəm.
>>aze<< I'm a bachelor.	Subayam.
>>aze<< I'm dead tired.	Taqətdən düşmüşəm.
>>aze<< I'm not a fool.	Mən axmaq deyiləm.
>>aze<< I'm undressing.	Mən soyunuram.
>>aze<< I'm used to it.	Mən buna öyrəşmişəm.
>>aze<< It wasn't easy.	Bu asan deyildi.
>>aze<< It's not blood.	Bu qan deyil.
>>aze<< It's too small.	Bu çox balacadır.
>>aze<< It's up to you.	Səndən asılıdır.
>>aze<< My joints ache.	Oynaqlarım ağrayır.
>>aze<< My nose itches.	Burnum qaşınır.
>>aze<< Open your eyes.	Gözlərinizi açın.
>>aze<< Open your eyes.	Gözlərini aç.
>>aze<< She gave money.	O pul verdi.
>>aze<< She is a nurse.	O, tibb bacısıdır.
>>aze<< Stop the train.	Qatarı saxlayın!
>>aze<< Surfing is fun.	Sörfinq əyləncəlidir.
>>aze<< The birds sang.	Quşlar oxudular.
>>aze<< They were busy.	Onlar məşğul idilər.
>>aze<< They're guests.	Onlar qonaqdırlar.
>>aze<< This is a harp.	Bu arfadır.
>>aze<< Tom gave blood.	Tom qan verdi.
>>aze<< Tom hates cats.	Tom pişiklərə nifrət edir.
>>aze<< Tom looks sick.	Tom xəstə görünür.
>>aze<< Tom loves cats.	Tom pişikləri sevir.
>>aze<< Tom was better.	Tom daha yaxşı idi.
>>aze<< Tom's laughing.	Tom gülür.
>>aze<< We had to walk.	Biz yeriməli olduq.
>>aze<< Wipe your nose.	Burnunu sil.
>>aze<< You were right.	Siz haqlı idiniz.
>>aze<< You're welcome.	Dəyməz.
>>aze<< Black suits you.	Qara sənə yaraşır.
>>aze<< Cats like boxes.	Pişiklər qutuları xoşlayırlar.
>>aze<< Close your book.	Kitabı ört.
>>aze<< Congratulations!	Təbriklər.
>>aze<< Did Tom see you?	Tom səni gördü?
>>aze<< Dinner's at six.	Axşam yeməyi saat altıdadır.
>>aze<< Do you like rap?	Rep xoşlayırsan?
>>aze<< Doesn't it work?	Bu işləmir?
>>aze<< Don't be greedy.	Görməmiş olma!
>>aze<< Don't be stingy.	Simic olma!
>>aze<< Don't be stingy.	Xəsis olma!
>>aze<< Don't come back.	Geri gəlmə.
>>aze<< Don't forget it.	Onu unutma.
>>aze<< Don't start yet.	Hələ başlama.
>>aze<< Drink your milk.	Südünü iç.
>>aze<< Green suits you.	Yaşıl sənə yaraşır.
>>aze<< He has gone out.	O gedib.
>>aze<< He is a teacher.	O, müəllimdir.
>>aze<< He's a gardener.	O bağbandır.
>>aze<< He's dead-tired.	O taqətdən düşüb.
>>aze<< Here's the bill.	Bu da hesab.
>>aze<< I am from Egypt.	Mən Misirdənəm.
>>aze<< I am not afraid.	Mən qorxmuram.
>>aze<< I ate the apple.	Almanı mən yedim.
>>aze<< I bit my tongue.	Mən dilimi dişlədim.
>>aze<< I can't see Tom.	Mən Tomu görə bilmirəm.
>>aze<< I couldn't wait.	Gözləyə bilmədim.
>>aze<< I couldn't walk.	Yeriyə bilmirdim.
>>aze<< I couldn't walk.	Mən yeriyə bilmədim.
>>aze<< I didn't forget.	Mən unutmadım.
>>aze<< I didn't listen.	Mən qulaq asmadım.
>>aze<< I didn't scream.	Mən qışqırmadım.
>>aze<< I hate weddings.	Toylardan zəhləm gedir.
>>aze<< I have finished.	Mən qurtarmışam.
>>aze<< I have to sleep.	Mən yatmalıyam.
>>aze<< I have two cats.	Mənim iki pişiyim var.
>>aze<< I haven't eaten.	Mən yeməmişəm.
>>aze<< I haven't slept.	Yatmamışam.
>>aze<< I haven't tried.	Mən yoxlamamışam.
>>aze<< I just finished.	Mən elə indicə qurtardım.
>>aze<< I like them all.	Onların hamısından xoşum gəlir.
>>aze<< I live in Japan.	Mən Yaponiyada yaşayıram.
>>aze<< I lost interest.	Marağımı itirdim.
>>aze<< I saw something.	Nəisə gördüm.
>>aze<< I totally agree.	Mən tamamilə razıyam.
>>aze<< I want an apple.	Alma istəyirəm.
>>aze<< I want that bag.	Mən o çantanı istəyirəm.
>>aze<< I was a teacher.	Mən müəllim idim.
>>aze<< I was surprised.	Mən təəccüblənmişdim.
>>aze<< I wasn't joking.	Mən zarafat etmirdim.
>>aze<< I will continue.	Mən davam edəcəm.
>>aze<< I would've paid.	Mən ödəyərdim.
>>aze<< I'd be grateful.	Minnətdar olardım.
>>aze<< I'll be outside.	Mən bayırda olacam.
>>aze<< I'll sleep here.	Mən burada yatacam.
>>aze<< I'm just joking.	Mən sadəcə zarafat edirəm.
>>aze<< I'm not arguing.	Mən mübahisə etmirəm.
>>aze<< I'm not perfect.	Mən mükəmməl deyiləm.
>>aze<< I'm not thirsty.	Mən susamamışam.
>>aze<< I'm not waiting.	Mən gözləmirəm.
>>aze<< I'm not working.	Mən işləmirəm.
>>aze<< Is this a radio?	Bu radiodur?
>>aze<< Is this a river?	Bu çaydır?
>>aze<< Is this spinach?	Bu ispanaqdır?
>>aze<< It's just blood.	Bu sadəcə qandır.
>>aze<< Jesus loves you.	İsa sizi sevir.
>>aze<< Jesus loves you.	İsa səni sevir.
>>aze<< Look at the cat.	Pişiyə bax.
>>aze<< Look at the sky.	Səmaya bax.
>>aze<< Money is needed.	Pul lazımdır.
>>aze<< Nobody was home.	Evdə heç kim yox idi.
>>aze<< Pass me the pen.	Qələmi mənə ver.
>>aze<< She calmed down.	O sakitləşdi.
>>aze<< She looks young.	O cavan görünür.
>>aze<< The car is blue.	Maşın mavidir.
>>aze<< The car is blue.	Maşın göydür.
>>aze<< The cup is full.	Fincan doludur.
>>aze<< The sky is blue.	Səma mavidir.
>>aze<< There's no salt.	Duz yoxdur.
>>aze<< They all hugged.	Onlar hamısı qucaqlaşdılar.
>>aze<< They believe it.	Onlar buna inanırlar.
>>aze<< They caught Tom.	Onlar Tomu tutdular.
>>aze<< They deserve it.	Onlar buna layiqdirlər.
>>aze<< They didn't run.	Onlar qaçmadılar.
>>aze<< They don't care.	Onların vecinə deyil.
>>aze<< They don't help.	Onlar kömək etmirlər.
>>aze<< They helped Tom.	Onlar Toma kömək etdilər.
>>aze<< They hugged Tom.	Onlar Tomu qucaqladılar.
>>aze<< They lost again.	Onlar yenə uduzdular.
>>aze<< They want peace.	Onlar sülh istəyirlər.
>>aze<< They won't care.	Onların vecinə olmayacaq.
>>aze<< They won't come.	Onlar gəlməyəcəklər.
>>aze<< They're doctors.	Onlar həkimdirlər.
>>aze<< They're talking.	Onlar söhbət edirlər.
>>aze<< Times are tough.	Zəmanə pisdir.
>>aze<< Times are tough.	Çətin dövrdə yaşayırıq.
>>aze<< Times are tough.	Çox çətin zamanda yaşayırıq.
>>aze<< Today is Monday.	Bu gün bazar ertəsidir.
>>aze<< Tom is a writer.	Tom yazıçıdır.
>>aze<< Tom is bleeding.	Tomun qanaxması var.
>>aze<< Tom is busy now.	Tom indi məşğuldur.
>>aze<< Tom is no angel.	Tom mələk deyil.
>>aze<< Tom is training.	Tom məşq edir.
>>aze<< Tom killed Mary.	Tom Merini öldürdü.
>>aze<< Tom tried again.	Tom yenə cəhd etdi.
>>aze<< Tom was with me.	Tom mənimlə idi.
>>aze<< Tom's suffering.	Tom əzab çəkir.
>>aze<< Tom's very lazy.	Tom çox tənbəldir.
>>aze<< Turn off the TV.	Televizoru söndür.
>>aze<< Unlock the door.	Qapını aç!
>>aze<< Unlock the door.	Qapını açın!
>>aze<< We declared war.	Biz müharibə elan etdik.
>>aze<< We eat together.	Biz birlikdə yeyirik.
>>aze<< We never forget.	Biz heç vaxt unutmuruq.
>>aze<< We were talking.	Biz söhbət edirdik.
>>aze<< We won't forget.	Biz unutmayacağıq.
>>aze<< We'll know soon.	Tezliklə bilərik.
>>aze<< We'll stay here.	Biz burada qalacağıq.
>>aze<< We'll wait here.	Biz burada gözləyəcəyik.
>>aze<< We're all going.	Biz hamımız gedirik.
>>aze<< What did he say?	O nə dedi?
>>aze<< What scared you?	Səni nə qorxutdu?
>>aze<< What scared you?	Sizi nə qorxutdu?
>>aze<< What time is it?	Saat neçədir?
>>aze<< What's the time?	Saat neçədir?
>>aze<< A bird has wings.	Quşun qanadları olur.
>>aze<< A cab is waiting.	Taksi gözləyir.
>>aze<< Are they friends?	Onlar dostdurlar?
>>aze<< Are you my enemy?	Sən mənim düşmənimsan?
>>aze<< Are you pregnant?	Sən hamiləsən?
>>aze<< Birds have wings.	Quşların qanadları olur.
>>aze<< Birds have wings.	Quşların qanadları var.
>>aze<< Did the dog bark?	İt hürdü?
>>aze<< Do you know them?	Onları tanıyırsan?
>>aze<< Eat your spinach.	İspanağını ye!
>>aze<< Give me an apple.	Mənə bir alma ver.
>>aze<< Give me one more.	Mənə birini də ver!
>>aze<< He is an acrobat.	O, akrobatdır.
>>aze<< He is dead drunk.	O, lülqənbərdir.
>>aze<< He is his friend.	O onun dostudur.
>>aze<< He is my teacher.	O mənim müəllimimdir.
>>aze<< He isn't perfect.	O mükəmməl deyil.
>>aze<< He loves animals.	O, heyvanları sevir.
>>aze<< He needs a towel.	Ona dəsmal lazımdır.
>>aze<< He used his head.	O, başını işlətdi.
>>aze<< He was in France.	O Fransada idi.
>>aze<< He was my friend.	O mənim dostum idi.
>>aze<< He's still alive.	O hələ sağdır.
>>aze<< Her hair is long.	Onun saçı uzundur.
>>aze<< I am against war.	Mən müharibənin əleyhinəyəm.
>>aze<< I am from Norway.	Mən Norveçdənəm.
>>aze<< I am not married.	Evli deyiləm.
>>aze<< I don't eat meat.	Mən ət yemirəm.
>>aze<< I don't know you.	Sizi tanımıram.
>>aze<< I don't know you.	Səni tanımıram.
>>aze<< I feel powerless.	Mən özümü gücsüz hiss edirəm.
>>aze<< I hate asparagus.	Qulançardan zəhləm gedir.
>>aze<< I hate computers.	Kompüterlərdən zəhləm gedir.
>>aze<< I have two books.	Mənim iki kitabım var.
>>aze<< I just opened it.	Mən bunu elə indicə açdım.
>>aze<< I know who he is.	Mən bilirəm o kimdir.
>>aze<< I like this game.	Bu oyundan xoşum gəlir.
>>aze<< I live in Boston.	Mən Bostonda yaşayıram.
>>aze<< I love Australia.	Mən Avstraliyanı sevirəm.
>>aze<< I sat among them.	Mən onların arasında oturdum.
>>aze<< I sat among them.	Mən onların arasında əyləşdim.
>>aze<< I think I'm sick.	Deyəsən xəstələnmişəm.
>>aze<< I understand Tom.	Mən Tomu başa düşürəm.
>>aze<< I was born there.	Mən orada doğulmuşam.
>>aze<< I was in the car.	Mən maşında idim.
>>aze<< I was very tired.	Mən çox yorğun idim.
>>aze<< I won't need you.	Sənə ehtiyacım olmayacaq.
>>aze<< I'm Tom's driver.	Mən Tomun sürücüsüyəm.
>>aze<< I'm a translator.	Mən tərcüməçiyəm.
>>aze<< I'm afraid to go.	Mən getməyə qorxuram.
>>aze<< I'm confused now.	Çaşıb qalmışam.
>>aze<< I'm losing blood.	Mən qan itirirəm.
>>aze<< It's a sunflower.	Bu günəbaxandır.
>>aze<< It's not a bribe.	Bu rüşvət deyil.
>>aze<< Japan is in Asia.	Yaponiya Asiyadadır.
>>aze<< Just follow them.	Sadəcə onları izlə.
>>aze<< Let me do my job.	Qoy işimi görüm!
>>aze<< Look at your map.	Xəritənə bax.
>>aze<< No one helped me.	Heç kim mənə kömək etmədi.
>>aze<< Open these doors.	Bu qapıları açın!
>>aze<< Please don't die.	Xahiş edirəm, ölmə!
>>aze<< Rome is in Italy.	Roma İtaliyadadır.
>>aze<< School is boring.	Məktəb darıxdırıcıdır.
>>aze<< She is a teacher.	O müəllimədir.
>>aze<< She is beautiful.	O gözəldir.
>>aze<< She likes to run.	O qaçmağı sevir.
>>aze<< That made me mad.	O, məni dəli etdi.
>>aze<< The apple is red.	Alma qırmızıdır.
>>aze<< The book is mine.	Kitab mənimdir.
>>aze<< The cat is black.	Pişik qaradır.
>>aze<< The dog is white.	İt ağdır.
>>aze<< The door is open.	Qapı açıqdır.
>>aze<< The salt ran out.	Duz qalmayıb.
>>aze<< This book is old.	Bu kitab köhnədir.
>>aze<< This is an apple.	Bu almadır.
>>aze<< This is not salt.	Bu duz deyil.
>>aze<< This is your dog.	Bu sizin itinizdir.
>>aze<< Tom didn't reply.	Tom cavab vermədi.
>>aze<< Tom hates school.	Tomun məktəbdən zəhləsi gedir.
>>aze<< Tom is no genius.	Tom dahi deyil.
>>aze<< Tom is sensitive.	Tom həssasdır.
>>aze<< Tom is very kind.	Tom çox mehribandır.
>>aze<< Tom noticed Mary.	Tom Mary'nin fərqinə vardı.
>>aze<< Tom quit his job.	Tom işdən çıxdı.
>>aze<< Tom winked at me.	Tom mənə göz vurdu.
>>aze<< We have two ears.	Bizim iki qulağımız var.
>>aze<< We'll meet again.	Biz yenə görüşəcəyik.
>>aze<< What is going on?	Nə baş verir?
>>aze<< Who doesn't know?	Kim bilmir?
>>aze<< Who was not here?	Kim burada deyildi?
>>aze<< Winter is coming.	Qış gəlir.
>>aze<< A leaf is falling.	Yarpaq düşür.
>>aze<< Cocaine is a drug.	Kokain narkotikdir.
>>aze<< Cows give us milk.	İnəklər bizə süd verirlər.
>>aze<< Do you have a car?	Maşının var?
>>aze<< Do you want a car?	Maşın istəyirsiniz?
>>aze<< Everyone is ready.	Hamı hazırdır.
>>aze<< Everyone loves me.	Hamı məni sevir.
>>aze<< Everyone loves me.	Məni hər kəs sevir.
>>aze<< Follow your heart.	Ürəyinin səsinə qulaq as.
>>aze<< God is everywhere.	Allah hər yerdədir.
>>aze<< He broke my heart.	O mənim ürəyimi qırdı.
>>aze<< He chewed his gum.	O saqqızını çeynədi.
>>aze<< He has three sons.	Onun üç oğlu var.
>>aze<< He hates shopping.	Onun bazarlıq etməkdən zəhləsi gedir.
>>aze<< He is in the pink.	O çəhrayı geyinib.
>>aze<< He wants an apple.	O alma istəyir.
>>aze<< How does he do it?	O bunu necə edir?
>>aze<< I am afraid to go.	Mən getməyə qorxuram.
>>aze<< I bought a cactus.	Mən kaktus aldım.
>>aze<< I drank the water.	Mən suyu içdim.
>>aze<< I have black eyes.	Mənim qara gözlərim var.
>>aze<< I have many discs.	Mənim çoxlu diskim var.
>>aze<< I have no friends.	Mənim dostum yoxdur.
>>aze<< I have three kids.	Üç uşağım var.
>>aze<< I like watermelon.	Mən qarpız xoşlayıram.
>>aze<< I love sunflowers.	Günəbaxanlardan xoşum gəlir.
>>aze<< I need an ashtray.	Mənə külqabı lazımdır.
>>aze<< I need some sleep.	Mənə biraz yatmaq lazımdır.
>>aze<< I never had a car.	Heç vaxt maşınım olmayıb.
>>aze<< I saved your life.	Mən sənin həyatını xilas etdim.
>>aze<< I saved your life.	Mən sizin həyatınızı xilas etdim.
>>aze<< I want to eat now.	Mən indi yemək istəyirəm.
>>aze<< I was watching TV.	Mən televizora baxırdım.
>>aze<< I went to Harvard.	Mən Harvarda getdim.
>>aze<< I will do my best.	Mən əlimdən gələni edəcəm.
>>aze<< I'll be over here.	Mən burada olacağam.
>>aze<< I'm not a prophet.	Mən peyğəmbər deyiləm.
>>aze<< I've lost my keys.	Mən açarlarımı itirmişəm.
>>aze<< Is it raining now?	İndi yağış yağır?
>>aze<< Is it raining now?	Yağır indi?
>>aze<< Is this seat free?	Bu yer boşdur?
>>aze<< Is this your room?	Bu sənin otağındır?
>>aze<< It was a good day.	Yaxşı gün idi.
>>aze<< It's Tom's office.	Bu Tomun ofisidir.
>>aze<< It's a dictionary.	Bu lüğətdir.
>>aze<< It's dark in here.	Burada içəridə qaranlıqdır.
>>aze<< It's getting dark.	Hava qaralır.
>>aze<< Keep away from me.	Məndən uzaq dur.
>>aze<< Life is difficult.	Həyat çətindir.
>>aze<< My heart's aching.	Ürəyim ağrıyır.
>>aze<< My knife is sharp.	Mənim bıçağım itidir.
>>aze<< Our team is ready.	Bizim komandamız hazırdır.
>>aze<< Pink is for girls.	Çəhrayı qızlar üçündür.
>>aze<< Roses have thorns.	Qızılgüllərin tikanları olur.
>>aze<< She ate one apple.	O bir dənə alma yedi.
>>aze<< She speaks German.	O almanca danışır.
>>aze<< That was our plan.	O bizim planımız idi.
>>aze<< The black dog ran.	Qara it qaçdı.
>>aze<< The floor is cold.	Döşəmə soyuqdur.
>>aze<< The room was dark.	Otaq qaranlıq idi.
>>aze<< The train stopped.	Qatar dayandı.
>>aze<< The war continued.	Müharibə davam etdi.
>>aze<< The war had ended.	Müharibə sona çatmışdı.
>>aze<< The water is good.	Su yaxşıdır.
>>aze<< The water is pure.	Su safdır.
>>aze<< The water is pure.	Su təmizdir.
>>aze<< They're beautiful.	Onlar gözəldirlər.
>>aze<< They're not happy.	Onlar xoşbəxt deyillər.
>>aze<< Think about death.	Ölüm haqqında düşün.
>>aze<< This apple is bad.	Bu alma pisdir.
>>aze<< This car is black.	Bu maşın qaradır.
>>aze<< This dog is white.	Bu it ağdır.
>>aze<< This is her house.	Bu onun evidir.
>>aze<< This is his house.	Bu onun evidir.
>>aze<< This is my father.	Bu mənim atamdır.
>>aze<< This is my friend.	Bu mənim dostumdur.
