>>tha<< Hi.	สวัสดี
>>tha<< Answer me.	ตอบฉัน
>>tha<< Birds fly.	นกบิน
>>tha<< Catch Tom.	จับทอม
>>tha<< Come here.	มานี่
>>tha<< Excuse me.	ขออนุญาต
>>tha<< Excuse me.	ขออนุญาตครับ
>>tha<< Excuse me.	ขออนุญาตค่ะ
>>tha<< Excuse me.	ขอโทษครับ
>>tha<< Excuse me.	ขอโทษค่ะ
>>tha<< Excuse me.	ขออภัยค่ะ
>>tha<< Excuse me.	ขออภัยครับ
>>tha<< Follow me.	ตามฉันมา
>>tha<< Get a job.	ออกไปหางานทำเลย
>>tha<< Goodnight.	ราตรีสวัสดิ์
>>tha<< Hands off.	เอามือออกไป
>>tha<< He's a DJ.	เขาเป็นดีเจ
>>tha<< He's rich.	เขารวย
>>tha<< How is it?	มันเป็นอย่างไร?
>>tha<< How is it?	มันสบายดีไหม?
>>tha<< How's Tom?	ทอมเป็นไงบ้าง?
>>tha<< I am sick.	ฉันป่วย
>>tha<< I can fly.	ฉันบินได้
>>tha<< I fainted.	ฉันเป็นลม
>>tha<< I give up.	ฉันยอมแพ้
>>tha<< I hate it.	ฉันเกลียดมัน
>>tha<< I like it.	ฉันชอบมัน
>>tha<< I miss it.	ฉันคิดถึงมัน
>>tha<< I promise.	ฉันสัญญา
>>tha<< I want it.	ฉันต้องการมัน
>>tha<< I'll swim.	ฉันจะว่ายน้ำ
>>tha<< I'm a cop.	ฉันเป็นตำรวจ
>>tha<< I'm a pro.	ฉันเป็นระดับมืออาชีพนะ
>>tha<< I'm angry.	ฉันโกรธ
>>tha<< I'm bored.	ฉันเบื่อ
>>tha<< I'm going.	ฉันกำลังไปอยู่
>>tha<< I'm ready!	ฉันพร้อมแล้ว!
>>tha<< I'm ready.	ฉันพร้อมแล้ว
>>tha<< I'm tired.	ฉันเหนื่อย
>>tha<< I'm tired.	ฉันเพลีย
>>tha<< Is it you?	นั่นใช่คุณไหม?
>>tha<< It's 3:30.	ตอนนี้ 3.30 น.
>>tha<< It's 3:30.	ตอนนี้เวลาสามโมงครึ่ง
>>tha<< It's a TV.	มันคือทีวี
>>tha<< It's cold.	มันเย็น
>>tha<< It's food.	มันเป็นอาหาร
>>tha<< It's food.	มันคืออาหาร
>>tha<< It's mine.	มันเป็นของฉัน
>>tha<< Let me go.	ปล่อยฉันไป
>>tha<< Of course!	แน่นอน!
>>tha<< Say hello.	พูดสวัสดี
>>tha<< She cried.	เธอร้องไห้
>>tha<< She walks.	เธอเดิน
>>tha<< Slow down.	ช้าลงหน่อย
>>tha<< Stay home.	อยู่บ้าน
>>tha<< Thank you.	ขอบคุณ
>>tha<< That's it.	แค่นั้นแหละ
>>tha<< That's me.	นั่นคือฉัน
>>tha<< They fell.	พวกเขาล้มลง
>>tha<< Tom cooks.	ทอมทำอาหาร
>>tha<< Tom moved.	ทอมย้ายบ้าน
>>tha<< Tom waved.	ทอมแกว่ง
>>tha<< Tom works.	ทอมทำงาน
>>tha<< Try again.	ลองอีกครั้ง
>>tha<< Turn left.	เลี้ยวซ้าย
>>tha<< We failed.	เราล้มเหลว
>>tha<< We waited.	เรารอคอย
>>tha<< What's up?	ว่าไง?
>>tha<< Who cares?	ใครสน?
>>tha<< Who knows?	ใครจะรู้?
>>tha<< Who's Tom?	ใครคือทอม?
>>tha<< Wonderful!	ยอดเยี่ยม!
>>tha<< You drive.	คุณขับ
>>tha<< Am I wrong?	ฉันผิดหรือเปล่า?
>>tha<< Are you OK?	คุณโอเคมั้ย
>>tha<< Are you OK?	คุณสบายดีไหม
>>tha<< Be careful.	ระวัง
>>tha<< Birds sing.	นกร้องเพลง
>>tha<< Choose one.	เลือกอย่างหนึ่ง
>>tha<< Definitely!	แน่นอน!
>>tha<< Don't jump!	อย่ากระโดด!
>>tha<< Don't move!	อยาขยับ!
>>tha<< Don't move.	อย่าขยับ
>>tha<< Find a job.	หางานทำ
>>tha<< Follow him.	ตามเขาไป
>>tha<< Forget Tom.	ลืมทอม
>>tha<< Get a life!	อย่ามายุ่ง จะทำอะไรก็ไป
>>tha<< Get a life.	อย่ามายุ่ง จะทำอะไรก็ไป
>>tha<< God exists.	พระเจ้ามีอยู่จริง
>>tha<< Hello, Tom.	สวัสดีทอม
>>tha<< How lovely!	ช่างน่ารักจริง ๆ!
>>tha<< I am a boy.	ฉันเป็นเด็กผู้ชาย
>>tha<< I am a man.	ฉันเป็นผู้ชาย
>>tha<< I am happy.	ฉันมีความสุข
>>tha<< I can't go.	ฉันไม่สามารถไปได้
>>tha<< I disagree.	ฉันไม่เห็นด้วย
>>tha<< I found it.	ฉันเจอมันแล้ว
>>tha<< I hear you.	ฉันได้ยินคุณ
>>tha<< I hope not.	ฉันหวังว่าไม่
>>tha<< I know her.	ฉันรู้จักเธอ
>>tha<< I like R&B.	ฉันชอบเพลงอาร์แอนด์บี
>>tha<< I like art.	ฉันชอบศิลปะ
>>tha<< I like him.	ฉันชอบเขา
>>tha<< I like tea.	ฉันชอบชา
>>tha<< I like you.	ฉันชอบคุณ
>>tha<< I made tea.	ฉันทำชา
>>tha<< I may come.	ผมอาจจะมา
>>tha<< I miss you.	ฉันคิดถึงคุณ
>>tha<< I need you.	ฉันต้องการคุณ
>>tha<< I want Tom.	ฉันต้องการทอม
>>tha<< I want you.	ฉันต้องการคุณ
>>tha<< I'm a twin.	ฉันเป็นฝาแฝด
>>tha<< I'm hungry!	ฉันหิว!
>>tha<< I'm so fat.	ฉันอ้วนมาก
>>tha<< I'm thirty.	ฉันอายุสามสิบ
>>tha<< Is that it?	คือเท่านั้นหรือ?
>>tha<< Is that it?	แค่เท่านั้นหรือ?
>>tha<< Is this it?	แค่เท่านี้หรือ?
>>tha<< It's a bet.	พนันได้เลย
>>tha<< It's a fad.	มันเป็นเทร็นใหม่
>>tha<< It's funny.	มันตลก
>>tha<< It's my CD.	มันคือซีดีของฉัน
>>tha<< Keep quiet.	เงียบ
>>tha<< Let's kiss.	จูบกันเถอะ
>>tha<< No problem.	ไม่มีปัญหา
>>tha<< Pick it up.	หยิบมันขึ้นมา
>>tha<< She smiled.	เธอยิ้ม
>>tha<< Stay close.	อยู่ใกล้ ๆ
>>tha<< Stay there.	ไปอยู่ตรงนั่น
>>tha<< Step aside.	หลีกทาง
>>tha<< Take a bus.	ขึ้นรถเมล์
>>tha<< Take a nap.	นอนสักงีบ
>>tha<< That's Tom.	นั่นทอม
>>tha<< This is it.	นี่ไง
>>tha<< Tom agrees.	ทอมเห็นด้วย
>>tha<< Tom jumped.	ทอมกระโดด
>>tha<< Tom snored.	ทอมกรน
>>tha<< Tom stayed.	ทอมอาศัยอยู่
>>tha<< Tom walked.	ทอมเดิน
>>tha<< Tom'll pay.	ทอมจะจ่าย
>>tha<< Tom's fast.	ทอมรวดเร็ว
>>tha<< Tom's sick.	ทอมป่วย
>>tha<< Wait a sec.	รอแป๊ปนึง
>>tha<< We are men.	พวกเราคือผู้ชาย
>>tha<< We want it.	พวกเราต้องการมัน
>>tha<< We're lost.	พวกเราหลงทาง
>>tha<< What a day!	คำนี้มีสองความหมาย แล้วแต่สถานการณ์ 1. วันนี้เป็นวันที่แย่มากๆ 2. วันนี้เป็นวันที่เยี่ยมมากๆ
>>tha<< What is it?	มันคืออะไร?
>>tha<< Wood burns.	ไม้ไหม้
>>tha<< Are you Tom?	คุณคือทอมใช่ไหม
>>tha<< Come inside.	เข้ามาข้างใน
>>tha<< Count me in.	นับฉันด้วย
>>tha<< Did Tom die?	ทอมตายไหม?
>>tha<< Did Tom eat?	ทอมกินหรือเปล่า?
>>tha<< Don't worry.	ไม่ต้องกังวล
>>tha<< Flip a coin.	1. เป็นการบอกให้ตัดสินใจเลือกอย่างใดอย่างหนึ่ง 2. ให้โยนเหรียญเลือกหัวหรือก้อย
>>tha<< Go home now.	กลับบ้านทันที
>>tha<< Go with Tom.	ไปกับทอม
>>tha<< Grab a seat.	นั่งซิ (เป็นคำพูดที่ไม่เป็นทางการ)
>>tha<< Have a beer.	ดื่มเบียร์ซิ
>>tha<< Have a look.	มาดูซิ
>>tha<< Have a seat.	นั่งสิ (พูดแบบสุภาพ)
>>tha<< Have we met?	พวกเราเคยเจอกันแล้วหรือยัง?
>>tha<< He can come.	เขาสามารถมาได้
>>tha<< He is alone.	เขาอยู่คนเดียว
>>tha<< He's a liar.	เขาเป็นคนขี้โกหก
>>tha<< How are you?	คุณสบายดีไหม?
>>tha<< How are you?	คุณเป็นอย่างไร?
>>tha<< I am a cook.	ฉันเป็นพ่อครัว แม่ครัว
>>tha<< I bought it.	ฉันซื้อมัน
>>tha<< I don't lie.	ฉันไม่ได้โกหก
>>tha<< I feel good.	ฉันรู้สึกดี
>>tha<< I feel sick.	ฉันรู้สึกป่วย
>>tha<< I got dizzy.	ฉันมึน
>>tha<< I got fined.	ฉันถูกปรับ
>>tha<< I had a cat.	ฉันเคยมีแมว
>>tha<< I hate dogs.	ฉันเกลียดสุนัข
>>tha<< I hate sand.	ฉันเกลียดทราย
>>tha<< I have time.	ฉันมีเวลา
>>tha<< I know this.	ฉันรู้สิ่งนี้
>>tha<< I like beer.	ฉันชอบเบียร์
>>tha<< I like rock.	ฉันชอบเพลงร็อค
>>tha<< I like that.	ฉันชอบมัน
>>tha<< I like this.	ฉันชอบสิ่งนี้
>>tha<< I live here.	ฉันอาศัยอยู่ที่นี่
>>tha<< I own a car.	ฉันมีรถยนต์
>>tha<< I recovered.	ฉันหายแล้ว
>>tha<< I said that.	ฉันพูดมัน
>>tha<< I saw a UFO.	ฉันเคยเห็นจานบินยูเอฟโอ
>>tha<< I saw a dog.	ฉันเคยเห็นสุนัข
>>tha<< I trust him.	ฉันเชื่อเขา
>>tha<< I trust you.	ฉันไว้ใจคุณ
>>tha<< I won again.	ฉันชนะอีกแล้ว
>>tha<< I won't lie.	ฉันจะไม่โกหก
>>tha<< I'll get in.	ฉันจะเข้าไป
>>tha<< I'm a baker.	ฉันเป็นคนทำขนมปัง ขนมอบ
>>tha<< I'm a medic.	ฉันเป็นหมอฝึกหัด ฉันเป็นนักเรียนแพทย์
>>tha<< I'm a woman.	ฉันเป็นผู้หญิง
>>tha<< I'm at home.	ฉันอยู่บ้าน
>>tha<< I'm fasting.	ฉันอดอาหาร
>>tha<< I'm furious.	ฉันโมโห
>>tha<< I'm nervous.	ฉันประหม่า
>>tha<< I'm not fat.	ฉันไม่ได้อ้วน
>>tha<< I'm staying.	ฉันกำลังพักอยู่
>>tha<< I'm thirsty.	ฉันกระหายน้ำ
>>tha<< I'm worried.	ฉันกังวล
>>tha<< Is Tom here?	ทอมอยู่นี่ไหม?
>>tha<< Is Tom hurt?	ทอมเจ็บหรือเปล่า?
>>tha<< Is it legal?	มันถูกกฎหมายหรือไม่?
>>tha<< Is it yours?	มันเป็นของคุณหรือเปล่า?
>>tha<< Is this art?	นี่เป็นศิลปะเหรอ?
>>tha<< It can't be!	เป็นไปไม่ได้!
>>tha<< It'll break.	มันจะพัง
>>tha<< It's a date.	ความหมายตรงตัวคือ โอเค นัดกันแล้วนะ / โอเค ตามนั้น
>>tha<< It's a deal.	โอเค ตามนั้นล่ะ
>>tha<< It's a doll.	มันคือตุ๊กตา
>>tha<< It's a fact.	มันคือความจริง
>>tha<< It's a fake.	มันเป็นของปลอม มันปลอม
>>tha<< It's a gift.	1. มันคือของขวัญ 2. พูดเมื่อเราทำอะไรที่คนอื่นทำไม่ได้ เพื่อที่จะเน้นว่า ฉันทำได้เพราะฉันมีความสามารถพิเศษที่ติดตัวมา
>>tha<< It's a harp.	มันคือฮาร์ป
>>tha<< It's a rule.	มันเป็นกฏ
>>tha<< It's a scam.	มันคือการหลอกหลวง
>>tha<< It's a sign.	1. ความหมายตรงตัว มันคือป้ายจราจร ป้ายบอกทาง 2. มันคือลางบอกเหตุ
>>tha<< It's a trap.	มันคือหลุมพราง
>>tha<< Let's dance.	มาเต้นกันเถอะ
>>tha<< Let's start!	เริ่มกันเลย!
>>tha<< Make a list.	จดใว้ว่ามีอะไรบ้าง
>>tha<< Make a wish.	ให้อธิษฐาน อธิษฐานซิ
>>tha<< Many thanks.	ขอบคุณมาก
>>tha<< Money talks.	เงินบันดาลทุกสิ่ง
>>tha<< Nobody came.	ไม่มีใครมา
>>tha<< Pick a date.	เลือกวัน
>>tha<< Say goodbye.	พูดกล่าวลา
>>tha<< She's a dog.	หล่อนคือสุนัข(ตัวเมีย)
>>tha<< Stand still!	หยุดนิ่ง!
>>tha<< Step inside.	ก้าวเข้ามาข้างใน
>>tha<< Stop moving!	หยุดเคลื่อนที่!
>>tha<< Take a bath.	อาบน้ำ
>>tha<< Take a bite.	ลองกัดชิมดูสักคำซิ
>>tha<< There it is.	นั่นไง
>>tha<< Tom cheered.	ทอมให้กำลังใจ
>>tha<< Tom coughed.	ทอมไอ
>>tha<< Tom is deaf.	ทอมเป็นคนหูหนวก
>>tha<< Tom is gone.	ทอมจากไปแล้ว
>>tha<< Tom is last.	ทอมเป็นคนสุดท้าย
>>tha<< Tom is lazy.	ทอมขี้เกียจ
>>tha<< Tom left me.	ทอมทิ้งฉัน
>>tha<< Tom listens.	ทอมฟัง
>>tha<< Tom refused.	ทอมปฏิเสธ
>>tha<< Tom saw her.	ทอมเห็นเธอ
>>tha<< Tom's bored.	ทอมเบื่อ
>>tha<< Tom's funny.	ทอมเป็นคนตลก
>>tha<< Tom's happy.	ทอมมีความสุข
>>tha<< Tom's right.	ทอมถูก
>>tha<< Tom's young.	ทอมเด็ก
>>tha<< Trust in me.	เชื่อในตัวฉัน
>>tha<< Walk slowly.	เดินช้า ๆ
>>tha<< We love Tom.	พวกเรารักทอม
>>tha<< We met here.	เราพบกันที่นี่
>>tha<< We miss Tom.	เราคิดถึงทอม
>>tha<< We'll be OK.	เราจะโอเค
>>tha<< We'll be OK.	เราจะไม่เป็นอะไร
>>tha<< We're right.	เราพูดถูก
>>tha<< What's that?	นั่นคืออะไร?
>>tha<< Who are you?	คุณคือใคร?
>>tha<< Who is that?	นั่นใคร?
>>tha<< Who's dying?	ใครกำลังจะตาย?
>>tha<< You're cute.	คุณน่ารัก
>>tha<< You're wise.	คุณฉลาด
>>tha<< Anybody here?	มีใครอยู่ที่นี่ไหม?
>>tha<< Anybody home?	มีใครอยู่บ้านไหม?
>>tha<< Are you busy?	คุณยุ่งอยู่ใช่ไหม?
>>tha<< Are you okay?	คุณสบายดีไหม?
>>tha<< Are you sure?	คุณแน่ใจหรือ?
>>tha<< Bring him in.	นำเขาเข้ามา
>>tha<< Can you cook?	คุณทำอาหารได้ไหม
>>tha<< Come and see.	มาดู
>>tha<< Come forward.	มาข้างหน้า
>>tha<< Count to ten.	นับถึงสิบ
>>tha<< Don't be shy.	อย่าอายเลย
>>tha<< Don't litter!	อย่าทิ้งขยะ!
>>tha<< Drive slowly.	ขับช้าๆ
>>tha<< Give me that.	เอามันให้ฉัน
>>tha<< Go away, Tom.	ไปให้พ้น, ทอม
>>tha<< Go to school.	ไปโรงเรียน
>>tha<< Good evening.	สวัสดีตอนเย็น
>>tha<< Happy Easter!	สุขสันต์วันอีสเตอร์!
>>tha<< He is asleep.	เขากำลังหลับ
>>tha<< I am working.	ฉันกำลังทำงาน
>>tha<< I called you.	ฉันโทรหาคุณ
>>tha<< I can't help.	ฉันช่วยอะไรไม่ได้
>>tha<< I drank milk.	ฉันดื่มนม
>>tha<< I drink milk.	ฉันดื่มนม
>>tha<< I have hives.	ฉันมีลมพิษ
>>tha<< I have money.	ฉันมีเงิน
>>tha<< I like fruit.	ฉันชอบผลไม้
>>tha<< I love music.	ฉันรักเสียงเพลง
>>tha<< I must study.	ฉันต้องเรียน
>>tha<< I need to go.	ฉันต้องไปแล้ว
>>tha<< I understand.	ฉันเข้าใจ
>>tha<< I want to go.	ฉันอยากไป
>>tha<< I was hungry.	ฉันหิว
>>tha<< I'll ask Tom.	ฉันจะถามทอม
>>tha<< I'm bleeding.	ฉันมีเลือดออก
>>tha<< I'm busy now.	ตอนนี้ฉันไม่ว่าง
>>tha<< I'm free now.	ตอนนี้ฉันว่าง
>>tha<< I'm homesick.	ฉันคิดถึงบ้าน
>>tha<< I'm not free.	ฉันไม่ว่าง
>>tha<< Is Tom crazy?	ทอมเป็นบ้าเหรอ?
>>tha<< Is that okay?	นั่นใช้ได้ไหม
>>tha<< It took time.	มันใช้เวลา
>>tha<< It was black.	มันเป็นสีดำ
>>tha<< It was white.	มันเป็นสีขาว
>>tha<< Keep reading.	อ่านต่อไป
>>tha<< She is eight.	เธออายุแปดปี
>>tha<< She is happy.	เธอมีความสุข
>>tha<< She knows me.	เธอรู้จักฉัน
>>tha<< Should we go?	เราควรไปไหม?
>>tha<< Stay at home.	อยู่บ้าน
>>tha<< Stop the car.	หยุดรถ
>>tha<< Stop yelling!	หยุดตะโกน!
>>tha<< That is mine.	นั่นเป็นของฉัน
>>tha<< They escaped.	พวกเขาหลบหนีไปแล้ว
>>tha<< They're gone.	พวกเขาไปแล้ว
>>tha<< They're weak.	พวกเขาอ่อนแอ
>>tha<< This is food.	นี่คืออาหาร
>>tha<< This is free.	นี่ฟรี
>>tha<< Tom answered.	ทอมตอบ
>>tha<< Tom finished.	ทอมเสร็จแล้ว
>>tha<< Tom helps us.	ทอมช่วยเรา
>>tha<< Tom is my ex.	ทอมเป็นแฟนเก่าของฉัน
>>tha<< Tom knows us.	ทอมรู้จักพวกเรา
>>tha<< Tom loves me.	ทอมรักฉัน
>>tha<< Tom stutters.	ทอมเดินโซเซ
>>tha<< Tom's polite.	ทอมสุภาพ
>>tha<< Tom's thirty.	ทอมอายุสามสิบ
>>tha<< Tom, wake up.	ทอม ตื่น
>>tha<< Unbelievable!	เหลือเชื่อ!
>>tha<< Unbelievable!	ไม่น่าเชื่อ!
>>tha<< We are Arabs.	เราเป็นชาวอาหรับ
>>tha<< We have time.	เรามีเวลา
>>tha<< We're crying.	เรากำลังร้องไห้
>>tha<< We're hungry.	พวกเราหิว
>>tha<< What is love?	รักคืออะไร?
>>tha<< What is this?	นี่คืออะไร?
>>tha<< Who will win?	ใครจะชนะ?
>>tha<< You can rest.	คุณสามารถพักได้
>>tha<< Are you crazy?	คุณบ้าหรือ?
>>tha<< Are you happy?	คุณมีความสุขไหม?
>>tha<< Are you ready?	พร้อมรึยัง
>>tha<< Are you there?	คุณอยู่ที่นั่นหรือไม่?
>>tha<< Are you tired?	คุณเหนื่อยไหม
>>tha<< Ask any woman.	ถามผู้หญิงที่ไหนก็ได้
>>tha<< Chess is hard.	หมากรุกเป็นเรื่องยาก
>>tha<< Do I know you?	ฉันรู้จักคุณหรือเปล่า?
>>tha<< Does Tom know?	ทอมรู้ไหม?
>>tha<< Don't do that.	อย่าทำอย่างนั้น
>>tha<< Don't give up!	อย่ายอมแพ้!
>>tha<< Flowers bloom.	ดอกไม้บาน
>>tha<< He drank beer.	เขาดื่มเบียร์
>>tha<< He has a maid.	เขามีสาวใช้
>>tha<< He hugged her.	เขากอดเธอ
>>tha<< He is English.	เขาเป็นคนอังกฤษ
>>tha<< He talks well.	เขาพูดได้ดี
>>tha<< He walks fast.	เขาเดินเร็ว
>>tha<< He went blind.	เขาตาบอด
>>tha<< He's not home.	เขาไม่ได้อยู่บ้าน
>>tha<< He's studying.	เขากำลังศึกษาอยู่
>>tha<< I believe you.	ฉันเชื่อคุณ
>>tha<< I did my duty.	ผมทำหน้าที่ของผม
>>tha<< I feel unwell.	ฉันรู้สึกไม่สบาย
>>tha<< I felt lonely.	ฉันรู้สึกเหงา
>>tha<< I hate Boston.	ฉันเกลียดบอสตัน
>>tha<< I hate coffee.	ฉันเกลียดกาแฟ
>>tha<< I hate losing.	ฉันเกลียดการแพ้
>>tha<< I have to win.	ฉันต้องชนะ
>>tha<< I like trains.	ฉันชอบรถไฟ
>>tha<< I love apples.	ฉันรักแอปเปิล
>>tha<< I never drink.	ฉันไม่เคยดื่ม
>>tha<< I said I'd go.	ฉันบอกว่าฉันจะไป
>>tha<< I saw a mouse!	ฉันเห็นหนู!
>>tha<< I see a house.	ฉันเห็นบ้าน
>>tha<< I see a queen.	ฉันเห็นราชินี
>>tha<< I want to cry.	ฉันอยากร้องไห้
>>tha<< I want to eat.	ฉันอยากกิน
>>tha<< I'll buy that.	ฉันจะซื้อมัน
>>tha<< I'll go there.	ฉันจะไปที่นั่น
>>tha<< I'll kill him.	ฉันจะฆ่าเขา
>>tha<< I'm Tom's mom.	ฉันเป็นแม่ของทอม
>>tha<< I'm a teacher.	ฉันคือครู
>>tha<< I'm a tourist.	ฉันเป็นนักท่องเที่ยว
>>tha<< I'm not a spy.	ฉันไม่ใช่สายลับ
>>tha<< I'm very poor.	ฉันจนมาก
>>tha<< I've got time.	ฉันมีเวลา
>>tha<< Is that a dog?	นั่นเป็นสุนัขเหรอ?
>>tha<< Is that a dog?	นั่นใช่สุนัขเหรอ?
>>tha<< Is this yours?	นี่เป็นของคุณหรือไม่?
>>tha<< It's all mine.	มันเป็นของผมทั้งหมด
>>tha<< Lock the gate.	ล็อคประตู
>>tha<< May I ask why?	ฉันขอถามได้มั้ยว่าทำไม?
>>tha<< My cat is wet.	แมวของฉันเปียก
>>tha<< My dog ate it.	สุนัขของฉันกินมัน
>>tha<< My dog ate it.	หมาของฉันกินมัน
>>tha<< My head aches.	หัวฉันปวด
>>tha<< No one saw me.	ไม่มีใครเห็นฉัน
>>tha<< Send it to me.	ส่งมันมาหาฉัน
>>tha<< She bent down.	เธอก้มลง
>>tha<< She hired him.	เธอจ้างเขา
