>>bul<< Hi.	Здрасти.
>>bul<< I like math.	Обичам математиката.
>>bul<< I surrender.	Аз се предавам.
>>bul<< I surrender.	Предавам се.
>>bul<< I'll attend.	Ще присъствам.
>>bul<< I'll attend.	Аз ще присъствам.
>>bul<< I'll get in.	Аз ще вляза.
>>bul<< I'm careful.	Аз съм внимателен.
>>bul<< I'm curious.	Любопитно ми е.
>>bul<< I'm serious.	Сериозен съм.
>>bul<< I'm serious.	Аз съм сериозен.
>>bul<< I'm starved.	Умирам от глад!
>>bul<< I'm thirsty.	Жаден съм.
>>bul<< I'm thirsty.	Жадна съм.
>>bul<< I'm too fat.	Твърде дебел съм.
>>bul<< It happened.	Случи се.
>>bul<< It's my job.	Това ми е работата.
>>bul<< Let me help.	Нека помогна.
>>bul<< Let me help.	Дай да ти помогна.
>>bul<< Let me help.	Дайте да ви помогна.
>>bul<< Let's begin.	Да започваме!
>>bul<< Let's check.	Да проверим.
>>bul<< Let's dance.	Да танцуваме.
>>bul<< Let's do it!	Да го направим.
>>bul<< Let's do it.	Хайде да го направим.
>>bul<< Let's do it.	Да го направим.
>>bul<< Let's drink.	Да пием.
>>bul<< Let's hurry.	Да побързаме.
>>bul<< Let's hurry.	Дай да побързаме.
>>bul<< Let's hurry.	Давайте да побързаме.
>>bul<< Let's leave.	Да се махаме.
>>bul<< Let's relax.	Да се отпуснем.
>>bul<< Let's relax.	Да разпуснем малко.
>>bul<< Let's split.	Да се разделим.
>>bul<< Let's start!	Да започваме!
>>bul<< Let's start!	Да започваме.
>>bul<< Let's start.	Да започваме.
>>bul<< Life is fun.	Животът е забавен.
>>bul<< OK. I agree.	Окей, съгласен съм.
>>bul<< Remember it.	Запомни го.
>>bul<< Remember it.	Запомнете го.
>>bul<< She blushed.	Тя се изчерви.
>>bul<< Stand still!	Не мърдай!
>>bul<< That's cool.	Това е яко.
>>bul<< That's cool.	Това е готино.
>>bul<< That's cool.	Няма проблем.
>>bul<< That's life.	Това е животът.
>>bul<< Tom frowned.	Том се намръщи.
>>bul<< Tom frowned.	Том се намуси.
>>bul<< Tom is fast.	Том е бърз.
>>bul<< Wake Tom up.	Събуди Том.
>>bul<< Wake Tom up.	Събудете Том.
>>bul<< Walk slowly.	Ходи бавно.
>>bul<< Walk slowly.	Ходете бавно.
>>bul<< Was I wrong?	Не бях ли прав?
>>bul<< Was I wrong?	Сбърках ли?
>>bul<< What a pity!	Колко жалко!
>>bul<< What's this?	Какво е това?
>>bul<< Who are you?	Кой си ти?
>>bul<< Who are you?	Кой сте вие?
>>bul<< Who are you?	Коя си ти?
>>bul<< Who are you?	Коя сте вие?
>>bul<< Who are you?	Ти кой си, бе?
>>bul<< Who drew it?	Кой го изтегли?
>>bul<< Who drew it?	Кой го нарисува?
>>bul<< Who is that?	Кой е този?
>>bul<< Work slowly.	Работи бавно.
>>bul<< Work slowly.	Работете бавно.
>>bul<< You're evil.	Ти си зъл.
>>bul<< You're evil.	Ти си зла.
>>bul<< You're evil.	Вие сте зли.
>>bul<< You're evil.	Вие сте зъл.
>>bul<< You're evil.	Вие сте зла.
>>bul<< You're late.	Закъсня.
>>bul<< Am I correct?	Прав ли съм?
>>bul<< Am I correct?	Права ли съм?
>>bul<< Am I invited?	Аз поканен ли съм?
>>bul<< Am I invited?	Аз поканена ли съм?
>>bul<< Are we alone?	Сами ли сме?
>>bul<< Are we ready?	Готови ли сме?
>>bul<< Are you cold?	Студено ли ти е?
>>bul<< Are you done?	Свърши ли?
>>bul<< Are you done?	Приключи ли?
>>bul<< Are you nuts?	Ти изтрещя ли?
>>bul<< Are you sure?	Сигурен ли си?
>>bul<< Are you sure?	Сигурна ли си?
>>bul<< Are you sure?	Сигурен ли сте?
>>bul<< Are you sure?	Сигурна ли сте?
>>bul<< Are you sure?	Сигурни ли сте?
>>bul<< Ask Mary out.	Покани Мери на среща.
>>bul<< Be our guest.	Заповядай!
>>bul<< Be our guest.	Заповядайте!
>>bul<< Be quiet now.	Мълчи сега.
>>bul<< Be quiet now.	Млъкни.
>>bul<< Bear with me.	Изчакай ме да довърша, моля те.
>>bul<< Bear with me.	Изчакай да стигна до края.
>>bul<< Bring him in.	Доведете го.
>>bul<< Bring him in.	Доведи го.
>>bul<< Can you come?	Можеш ли да дойдеш?
>>bul<< Can you stay?	Можете ли да останете?
>>bul<< Can you stay?	Можеш ли да останеш?
>>bul<< Can you swim?	Можеш ли да плуваш?
>>bul<< Check it out!	Виж го!
>>bul<< Come help me.	Ела да ми помогнеш.
>>bul<< Come with us.	Ела с нас.
>>bul<< Count to ten.	Брой до десет.
>>bul<< Count to ten.	Бройте до десет.
>>bul<< Deal with it.	Преглътни го.
>>bul<< Did you call?	Ти ли се обади?
>>bul<< Do it for me.	Направи го заради мене.
>>bul<< Do it for me.	Направи го за мене.
>>bul<< Do it for me.	Направи го вместо мене.
>>bul<< Do you drink?	Пиеш ли?
>>bul<< Drive safely.	Карай внимателно.
>>bul<< Drive safely.	Карайте внимателно.
>>bul<< Drive slowly.	Карайте бавно.
>>bul<< Drive slowly.	Карай бавно.
>>bul<< Good evening.	Добър вечер.
>>bul<< He loved her.	Той я обичаше.
>>bul<< He loves her.	Той я обича.
>>bul<< He was brave.	Той беше смел.
>>bul<< He was wrong.	Той сгреши.
>>bul<< Here you are.	Ето къде си.
>>bul<< How dare you!	Как смееш!
>>bul<< How dare you!	Как си позволяваш!
>>bul<< I almost won.	За малко не спечелих.
>>bul<< I am curious.	Любопитно ми е.
>>bul<< I can't read.	Не знам да чета.
>>bul<< I can't read.	Аз не знам да чета.
>>bul<< I cried, too.	И аз плаках.
>>bul<< I don't know.	Не зная.
>>bul<< I don't mind.	Нямам против.
>>bul<< I don't mind.	Нямам нищо напротив.
>>bul<< I drink milk.	Пия мляко.
>>bul<< I missed you.	Липсвахте ми.
>>bul<< I missed you.	Липсваше ми.
>>bul<< I understand.	Разбирам.
>>bul<< I understand.	Аз разбирам.
>>bul<< I work alone.	Работя сам.
>>bul<< I'll sue you.	Ще те съдя.
>>bul<< I'll sue you.	Ще ви съдя.
>>bul<< I'm eighteen.	Аз съм на осемнайсет.
>>bul<< I'm so happy.	Толкова съм щастлив.
>>bul<< I'm starving.	Умирам от глад!
>>bul<< I'm ticklish.	Аз имам гъдел.
>>bul<< It felt nice.	Беше приятно.
>>bul<< It was Tom's.	Беше на Том.
>>bul<< It'll happen.	Ще се случи.
>>bul<< It's an omen.	Това е поличба.
>>bul<< It's for Tom.	Това е за Том.
>>bul<< It's raining.	Вали дъжд.
>>bul<< It's raining.	Вали.
>>bul<< It's snowing.	Вали сняг.
>>bul<< It's too big.	Прекалено е голямо.
>>bul<< It's too hot.	Твърде е горещо.
>>bul<< It's unusual.	Странно е.
>>bul<< Jump over it.	Прескочи го.
>>bul<< Keep digging.	Продължавайте да копаете.
>>bul<< Let's listen.	Да послушаме.
>>bul<< Let's not go.	Хайде да не ходим.
>>bul<< Let's review.	Да преговорим.
>>bul<< Let's switch.	Да се сменим.
>>bul<< Let's try it.	Да пробваме!
>>bul<< Life is hard.	Животът е труден.
>>bul<< Mary came in.	Мери влезе.
>>bul<< Mary is tall.	Мери е висока.
>>bul<< My eyes hurt.	Болят ме очите.
>>bul<< My eyes hurt.	Очите ме болят.
>>bul<< My eyes itch.	Дразнят ми очите.
>>bul<< No one knows.	Никой не знае.
>>bul<< Please leave.	Моля, напуснете.
>>bul<< Please leave.	Моля те, върви си.
>>bul<< See you soon!	Доскоро!
>>bul<< See you soon.	Ще се видим скоро.
>>bul<< See you then.	Ще се видим тогава.
>>bul<< Shame on you.	Засрами се.
>>bul<< Shame on you.	Засрамете се.
>>bul<< She is happy.	Тя е щастлива.
>>bul<< She is happy.	Щастлива е.
>>bul<< She may come.	Тя може да влезе.
>>bul<< Should we go?	Да тръгваме?
>>bul<< Show me that.	Покажи ми това.
>>bul<< Show me that.	Покажете ми това.
>>bul<< Speak softly.	Говори тихо.
>>bul<< Stop whining.	Престани да хленчиш.
>>bul<< Take it down.	Свали го.
>>bul<< Take it easy.	Успокой се.
>>bul<< Take it easy.	Дай по-полека.
>>bul<< Tell Tom why.	Кажи на Том защо.
>>bul<< Thanks again.	Благодаря още веднъж.
>>bul<< That's Tom's.	Това е на Том.
>>bul<< That's Tom's.	Това е Томово.
>>bul<< That's crazy.	Това е откачено.
>>bul<< That's cruel.	Това е жестоко.
>>bul<< This is true.	Това е истина.
>>bul<< Tom found it.	Том го намери.
>>bul<< Tom found it.	Том я намери.
>>bul<< Tom found it.	Том я е намерил.
>>bul<< Tom found it.	Том го е намерил.
>>bul<< Tom got an A.	Том получи шестица.
>>bul<< Tom hates it.	Том мрази това.
>>bul<< Tom is a kid.	Том е дете.
>>bul<< Tom is a pig!	Том е свиня!
>>bul<< Tom is awake.	Том е буден.
>>bul<< Tom stutters.	Том заеква.
>>bul<< Tom, wake up.	Том, събуди се.
>>bul<< Tom, wake up.	Том, събуждай се.
>>bul<< Try it again.	Пробвай го пак.
>>bul<< Try it again.	Опитай това пак.
>>bul<< Unbelievable!	Невероятно!
>>bul<< Unbelievable!	Не може да бъде!
>>bul<< Wake up, Tom.	Събуди се, Том.
>>bul<< Wake up, Tom.	Събуждай се, Том.
>>bul<< Welcome home.	Добре дошъл у дома.
>>bul<< What a loser!	Какъв нещастник!
>>bul<< What a loser!	Егати лузъра!
>>bul<< What a shame!	Колко жалко!
>>bul<< What is that?	Какво е това?
>>bul<< What is this?	Що е то?
>>bul<< What's a UFO?	Какво е НЛО?
>>bul<< Won't you go?	Няма ли да отидеш?
>>bul<< Won't you go?	Не би ли отишъл?
>>bul<< You are late.	Закъсня.
>>bul<< You are late.	Вие закъсняхте.
>>bul<< You are late.	Закъсняхте.
>>bul<< You're cruel.	Ти си жесток.
>>bul<< You're cruel.	Ти си жестока.
>>bul<< You're cruel.	Вие сте жестоки.
>>bul<< You're cruel.	Вие сте жесток.
>>bul<< You're cruel.	Вие сте жестока.
>>bul<< You're cruel.	Жестоки сте.
>>bul<< You're cruel.	Жестока сте.
>>bul<< You're cruel.	Жесток сте.
>>bul<< You're drunk.	Пиян си.
>>bul<< You're drunk.	Пияна си.
>>bul<< You're wrong.	Грешиш.
>>bul<< Am I approved?	Одобрен ли съм?
>>bul<< Am I included?	Аз включен ли съм?
>>bul<< Am I included?	Аз включена ли съм?
>>bul<< Any questions?	Някакви въпроси?
>>bul<< Are they cops?	Те ченгета ли са?
>>bul<< Are they cops?	Те куки ли са?
>>bul<< Are they cute?	Симпатични ли са?
>>bul<< Are they cute?	Сладки ли са?
>>bul<< Are they dead?	Мъртви ли са?
>>bul<< Are they gone?	Отидоха ли си?
>>bul<< Are they here?	Тук ли са?
>>bul<< Are you alive?	Жив ли си?
>>bul<< Are you alive?	Жива ли си?
>>bul<< Are you alive?	Живи ли сте?
>>bul<< Are you alone?	Сам ли си?
>>bul<< Are you alone?	Сама ли си?
>>bul<< Are you armed?	Въоръжен ли си?
>>bul<< Are you armed?	Въоръжена ли си?
>>bul<< Are you armed?	Носиш ли оръжие?
>>bul<< Are you dying?	Умираш ли?
>>bul<< Are you going?	Ще ходиш ли?
>>bul<< Are you going?	Отиваш ли?
>>bul<< Are you going?	Тръгваш ли?
>>bul<< Are you happy?	Щастлив ли си?
>>bul<< Are you happy?	Щастлива ли сте?
>>bul<< Are you happy?	Щастлив ли сте?
>>bul<< Are you happy?	Щастливи ли сте?
>>bul<< Are you happy?	Щастлива ли си?
>>bul<< Are you lying?	Лъжете ли?
>>bul<< Are you lying?	Лъжеш ли?
>>bul<< Are you tired?	Уморен ли си?
>>bul<< Are you tired?	Изморени ли сте?
>>bul<< Ask Tom again.	Питай Том отново.
>>bul<< Ask an expert.	Попитай някой специалист.
>>bul<< Ask an expert.	Поискай експерт.
>>bul<< Can you drive?	Можеш ли да караш?
>>bul<< Can you drive?	Можеш ли да шофираш?
>>bul<< Check, please.	Сметката, моля.
>>bul<< Do cats dream?	Котките сънуват ли?
>>bul<< Don't be late.	Не закъснявай.
>>bul<< Don't be late.	Не закъснявайте.
>>bul<< Don't come in.	Не влизай.
>>bul<< Don't get fat.	Недей да напълняваш.
>>bul<< Don't go, Tom.	Не ходи, Том.
>>bul<< Don't go, Tom.	Недей да ходиш, Том.
>>bul<< Don't go, Tom.	Не си тръгвай, Том.
>>bul<< Don't hang up!	Не затваряй!
>>bul<< Don't push me.	Не ме бутай.
>>bul<< Don't push me.	Не ме бутайте.
>>bul<< Everyone dies.	Всички умират.
>>bul<< Everyone dies.	Всеки умира.
>>bul<< Flowers bloom.	Цветята цъфтят.
>>bul<< Get some rest.	Отдъхни си.
>>bul<< Get your coat.	Вземи си палтото.
>>bul<< Get your coat.	Вземете си палтото.
>>bul<< Hang on a sec.	Чакай малко.
>>bul<< He came first.	Той дойде пръв.
>>bul<< He can't read.	Той не може да чете.
>>bul<< He drank beer.	Той пи бира.
>>bul<< He felt tired.	Той се почувства уморен.
>>bul<< He lied to us.	Той ни излъга.
>>bul<< He shot at me.	Той стреля по мен.
>>bul<< He shot at me.	Той стреля в мен.
>>bul<< He talks fast.	Той говори бързо.
>>bul<< Hold on a sec.	Задръж за малко.
>>bul<< Hold on tight.	Дръж се здраво.
>>bul<< Hold on to me.	Дръж се за мене.
>>bul<< How about you?	Ами ти?
>>bul<< How about you?	Какво ще кажете вие​​?
>>bul<< How did it go?	Как мина?
>>bul<< I believe you.	Аз ти вярвам.
>>bul<< I believe you.	Вярвам ти.
>>bul<< I believe you.	Вярвам ви.
>>bul<< I believe you.	Вярвам на вас.
>>bul<< I cried today.	Аз плаках днес.
>>bul<< I cried today.	Днес плаках.
>>bul<< I did it once.	Направих го веднъж.
>>bul<< I did it once.	Аз го направих един път.
>>bul<< I did my best.	Направих каквото можах.
>>bul<< I don't agree.	Не съм съгласен.
>>bul<< I forgot them.	Забравих ги.
>>bul<< I had to stop.	Трябваше да спра.
>>bul<< I hate French.	Мразя френския.
>>bul<< I hate flying.	Мразя да летя.
>>bul<< I like French.	Обичам френския.
>>bul<< I like French.	Харесвам френския.
>>bul<< I like movies.	Обичам филмите.
>>bul<< I like sports.	Обичам спортовете.
>>bul<< I like tennis.	Аз обичам тениса.
>>bul<< I love French.	Обичам френския.
>>bul<< I love movies.	Обичам филмите.
>>bul<< I made coffee.	Направих кафе.
>>bul<< I made dinner.	Приготвих вечеря.
>>bul<< I must go now.	Сега трябва да си ходя.
>>bul<< I own a yacht.	Притежавам яхта.
>>bul<< I said I'd go.	Казах, че ще отида.
>>bul<< I see nothing.	Нищо не виждам.
>>bul<< I think I can.	Мисля, че мога.
>>bul<< I tricked you.	Преметнах те.
>>bul<< I tricked you.	Изиграх те.
>>bul<< I tricked you.	Прецаках те.
>>bul<< I wasn't busy.	Не бях зает.
>>bul<< I wasn't busy.	Не бях заета.
>>bul<< I'll buy this.	Ще купя това.
>>bul<< I'll eat here.	Аз ще ям тук.
>>bul<< I'll take one.	Ще взема едно.
>>bul<< I'm a tourist.	Аз съм турист.
>>bul<< I'm an orphan.	Аз съм сирак.
>>bul<< I'm dangerous.	Опасен съм.
>>bul<< I'm dangerous.	Опасна съм.
>>bul<< I'm dangerous.	Аз съм опасна.
>>bul<< I'm dangerous.	Аз съм опасен.
>>bul<< I'm home, Tom.	Прибрах се, Том.
>>bul<< I'm home, Tom.	Вкъщи съм, Том.
>>bul<< I'm not blind.	Не съм сляп.
>>bul<< I'm on a diet.	На диета съм.
>>bul<< I'm very busy.	Много съм зает.
>>bul<< Is that yours?	Това твое ли е?
>>bul<< Is that yours?	Това ваше ли е?
>>bul<< Is that yours?	Това Ваше ли е?
>>bul<< It is raining.	Вали дъжд.
>>bul<< It is raining.	Вали.
>>bul<< It was unjust.	Беше несправедливо.
>>bul<< It works well.	Работи добре.
>>bul<< It's a secret.	Тайна е.
>>bul<< It's business.	Това е бизнес.
>>bul<< It's business.	Това е работа.
>>bul<< It's happened.	Случвало се е.
>>bul<< It's improved.	Подобрило се е.
>>bul<< It's only Tom.	Само Том е.
>>bul<< It's too loud.	Звукът е прекалено висок.
>>bul<< It's too loud.	Прекалено шумно е.
>>bul<< It's very big.	Много е голям.
>>bul<< It's very big.	Много е голямо.
>>bul<< Let me see it.	Дай ми да го видя.
>>bul<< Let me see it.	Дай да го видя.
>>bul<< Let me see it.	Нека да го видя.
