>>rom<< Go.	Dža.
>>rom<< Why did Tom eat that?	Sostar o Tom xalas les?
>>rom<< Tom almost got killed.	O Tom sas pašte mudardo.
>>rom<< We work well together.	Ame keras laši buči ane k than.
>>rom<< We work well together.	Ame keras laši but'i khetane.
>>rom<< They traveled together.	Von putujisarde ane k than.
>>rom<< They traveled together.	Von phirde khetane.
>>rom<< This is so comfortable.	Si but konfortabilo.
>>rom<< Tom didn't do anything.	O Tom či kerdas khanči.
>>rom<< We play games together.	Ame khelas khêlimata ane k than.
>>rom<< We play games together.	Khelas khêlimata khetane.
>>rom<< We're working together.	Ame keras buči khetane.
>>rom<< We're working together.	Keras but'i ane k than.
>>rom<< Why isn't Tom sleeping?	Sostar o Tom na sovel?
>>rom<< You're always together.	Tumen sen sagda khetane.
>>rom<< You're always together.	Tumen sen sagda ane k than.
>>rom<< Find out where Tom went.	Arakh kaj gilo o Tom.
>>rom<< They're always together.	Von si sagda khetane.
>>rom<< They're always together.	Von si sagda ane k than.
>>rom<< They're coming together.	Von aven khetane.
>>rom<< They're coming together.	Aven ane k than.
>>rom<< Tom isn't strong enough.	Tom naj dosta zuralo.
>>rom<< Tom loves to go hunting.	O Tom drago leske te žal te lovil.
>>rom<< Tom was looking at Mary.	O Tom dikhlas pe Mary.
>>rom<< Tom, I'm talking to you.	Tom, me dav duma tusa.
>>rom<< We asked Tom to do that.	Pušlam le Tomestar te kerel les.
>>rom<< We were always together.	Samas sagda khetane.
>>rom<< We were always together.	Ame samas sagda ane k than.
>>rom<< Where did you guys meet?	Kaj tumen maladilan?
>>rom<< Tell me why you did that.	Phen mange sostar kerdan les.
>>rom<< They're playing together.	Von khelen khetane.
>>rom<< They're playing together.	Von khelen ane k than.
>>rom<< Tom is buying a computer.	O Tom kinel jekh kompjuteri.
>>rom<< Tom is buying a computer.	O Tom činel jekh kompjuteri.
>>rom<< Tom is glad he has a job.	O Tom lošalo lo ke si les jekh buči.
>>rom<< Tom is glad he has a job.	O Tom si bukurime ke si les jekh buči.
>>rom<< Tom's not home right now.	O Tom naj khêrê akana.
>>rom<< Turtles don't have teeth.	Le tortugi naj len dand.
>>rom<< We should study together.	Musaj amenge te šičuvas ane k than.
>>rom<< We should study together.	Musaj amenge te šičuvas khetane.
>>rom<< We study French together.	Ame šičuvas francusicka khetane.
>>rom<< We study French together.	Ame šičuvas francusicka ane k than.
>>rom<< Everybody stayed together.	Sa bešle khetane.
>>rom<< Everybody stayed together.	Savořê bešle ane k than.
>>rom<< I don't know why Tom left.	Či žanav sostar Tom gelas tar.
>>rom<< I don't think Tom is back.	Me či gindiv ke Tom avel palpale.
>>rom<< I don't think Tom is cool.	Me či gindiv ke Tom si lašo.
>>rom<< I don't think Tom is lost.	Me či gindiv ke Tom si xasardo.
>>rom<< I don't think Tom is mean.	Me či gindiv ke Tom nasul lo.
>>rom<< I don't think Tom is mean.	Me či gindiv ke Tom si nasul.
>>rom<< I don't think Tom is nuts.	Me či gindiv ke Tom si dilo.
>>rom<< I don't think Tom is weak.	Me či gindiv ke Tom si kovlo.
>>rom<< I don't think Tom is weak.	Me či gindiv ke Tom si naźuralo.
>>rom<< I don't think Tom was mad.	Me či gindiv ke Tom sas dilo.
>>rom<< I don't think Tom was shy.	Me či gindiv ke Tom sas lažano.
>>rom<< I heard that Tom was dead.	Ašundém ke o Tom sas mulo.
>>rom<< I knew Tom had to do that.	Me žanglem ke o Tom trubusardas te kerel les.
>>rom<< I knew what Tom had to do.	Žanglem so Tom trubusardas te kerel.
>>rom<< I know Tom has lied to us.	Me žanav ke o Tom xoxadás amen.
>>rom<< I know Tom has lied to us.	Me žanav ke o Tom koxadás amen.
>>rom<< I know what Tom had to do.	Me žanav so trubusardas te kerel o Tom.
>>rom<< I think Tom is a nice guy.	Me gindiv ke o Tom si jekh lašo manuš.
>>rom<< I think Tom is just tired.	Me gîndiv ke Tom si baš khino.
>>rom<< I think Tom is just tired.	Me gîndiv ke Tom si baš čino.
>>rom<< I told Tom to leave early.	Me phendem le Tomeske te žal tar de vŕamja.
>>rom<< I'd do that if Tom let me.	Me kerav les te o Tom mekel man.
>>rom<< I've agreed to let Tom go.	Primisardem te mekav le Tomes te žal tar.
>>rom<< I've only been there once.	Me somas okote ferdi jekvar.
>>rom<< Tell me why Tom is crying.	Phen mange sostar o Tom rovel.
>>rom<< They're probably together.	Von si amborim khetane.
>>rom<< They're probably together.	Von si amborim ane k than.
>>rom<< Tom has bought a computer.	O Tom kindas jekh kompjuteri.
>>rom<< Tom has bought a computer.	O Tom čindas jekh kompjuteri.
>>rom<< We do everything together.	Ame keras sa khetane.
>>rom<< We do everything together.	Keras sa ane k than.
>>rom<< Both Tom and I lied to you.	Vi o Tom thaj vi me xoxadam tut.
>>rom<< Both Tom and I lied to you.	Vi me ta vi o Tom xoxadam tut.
>>rom<< Both Tom and I lied to you.	Me haj o Tom le duj žene xoxadam tut.
>>rom<< Both Tom and Mary said yes.	O Tom haj i Mary le duj žene phende va.
>>rom<< Do you still live with Tom?	Bešes înkê le Tomesa?
>>rom<< Do you still live with Tom?	Bešes još le Tomesa?
>>rom<< Do you still work with Tom?	Keres but'i înkê le Tomesa?
>>rom<< Do you still work with Tom?	Keres buči još le Tomesa?
>>rom<< I asked Tom what he wanted.	Me pušlem le Tomestar so kamlas.
>>rom<< I bought a new car for Tom.	Kindem jekh nevi matora le Tomeske.
>>rom<< I bought a new car for Tom.	Čindem jekh nevi matora le Tomeske.
>>rom<< I don't care what Tom buys.	Na interesil man so kinel o Tom.
>>rom<< I don't care what Tom buys.	Či interesil man so činel o Tom.
>>rom<< I know that Tom is at home.	Me žanav ke Tom si khêrê.
>>rom<< I need to help Tom do that.	Me trubuv te ažutiv le Tomes te kerel les.
>>rom<< I think Tom has to do that.	Gindiv ke Tom trubul te kerel les.
>>rom<< I think Tom is sympathetic.	Me gindiv ke o Tom si lašo.
>>rom<< I want Tom to stay with me.	Me kamav ke o Tom bešel mansa.
>>rom<< I want to do that with Tom.	Kamav te kerav les le Tomesa.
>>rom<< I want to help Tom do that.	Me kamav te ažutiv o Tom te kerel les.
>>rom<< If you get sleepy, tell me.	Te les tut e lindri, phen mange.
>>rom<< It wasn't Tom who did that.	Na sas o Tom kaj kerdas les.
>>rom<< Tell Tom I want to do that.	Phen le Tomeske ke me kamav te kerav les.
>>rom<< Tom and I are here for you.	Me haj o Tom somas akathe anda tute.
>>rom<< Tom and Mary are both rich.	O Tom haj i Mary le duj žene si barvale.
>>rom<< Tom and Mary both did well.	O Tom haj i Mary le duj žene kerde mišto.
>>rom<< Tom and Mary both sat down.	O Tom haj i Mary le duj žene bešle tele.
>>rom<< Tom and Mary both saw John.	O Tom haj i Mary le duj žene dikhle le Johnes.
>>rom<< Tom asked me if I did that.	O Tom pušlas mandar te me kerdem les.
>>rom<< Tom can do that on his own.	O Tom daštil te kerel les korkořo.
>>rom<< Tom has no plan to do that.	O Tom naj les jekh plano te kerel les.
>>rom<< Tom has no time to do that.	O Tom naj les vŕama te kerel les.
>>rom<< Tom has to change his plan.	Musaj le Tomeske te pařuvel pesko plano.
>>rom<< Tom has told us to do that.	O Tom phendas amenge te kerel les.
>>rom<< Tom is taking a look at it.	O Tom dikhel les.
>>rom<< Tom is too busy to do that.	O Tom si pŕabut buťako te kerel les.
>>rom<< Tom is too busy to eat now.	O Tom si pŕabut buťako te xal akana.
>>rom<< Tom is too poor to do that.	O Tom si pŕabut čořo te kerel les.
>>rom<< Tom is too sick to do that.	O Tom si pŕabut nasvalo te kerel les.
>>rom<< Tom is too weak to do that.	O Tom si pŕabut kovlo te kerel les.
>>rom<< Tom is too weak to do that.	O Tom si pŕabut naźuralo te kerel les.
>>rom<< Tom is too wise to do that.	O Tom si pŕabut godžaver te kerel les.
>>rom<< Tom knows what we're doing.	Tom žanel so ame keras.
>>rom<< Tom likes to do that a lot.	O Tom drago leske but te kerel les.
>>rom<< Tom says I have to do that.	O Tom phenel ke musaj mange te kerav les.
>>rom<< Tom says I need to do that.	O Tom mothol ke me trubuv te kerav les.
>>rom<< Tom says he had to do that.	O Tom phenel ke trubusardas te kerel les.
>>rom<< Tom says he has to do that.	O Tom phenel ke musaj te kerel les.
>>rom<< Tom was able to find a job.	O Tom daštisardas te lel jekh buči.
>>rom<< Tom was able to find a job.	O Tom daštisardas te arakhêl jekh buči.
>>rom<< Ask Tom if Mary can do that.	Puš le Tomestar te i Mary daštil te kerel les.
>>rom<< Ask Tom if he needs my help.	Puš le Tomestar te trubul muřo ažutimos.
>>rom<< Ask Tom if he needs my help.	Puš le Tomestar te vo trubul muřo pomoćo.
>>rom<< Ask Tom what he wants to do.	Puš le Tomestar so kamel te kerel.
>>rom<< Both Tom and Mary are drunk.	O Tom haj i Mary le duj žene si mate.
>>rom<< Both Tom and Mary are going.	O Tom haj i Mary le duj žene žan.
>>rom<< Both Tom and Mary are tired.	O Tom haj i Mary le duj žene si čine.
>>rom<< Both Tom and Mary are tired.	O Tom haj i Mary le duj žene si khine.
>>rom<< Both Tom and Mary need help.	O Tom haj i Mary le duj žene trubun ažutimos.
>>rom<< Both Tom and Mary need help.	O Tom haj i Mary le duj žene trubun pomoćo.
>>rom<< Both Tom and Mary should go.	O Tom haj i Mary le duj žene musaj lenge te žan.
>>rom<< Can I speak to you a moment?	Šaj te vakerav tusa jekh doba?
>>rom<< Can I speak to you a moment?	Šaj te dav duma tusa jekh momento?
>>rom<< Did Tom say why he did that?	O Tom phendas sostar vo kerdas les?
>>rom<< Do you know if Tom can swim?	Žanes te o Tom daštil te notil?
>>rom<< Do you know why Tom is late?	Žanes sostar o Tom areslo maj palál?
>>rom<< Do you know why Tom was mad?	Žanes sostar o Tom sas xoľajlo?
>>rom<< Everyone forgot my birthday.	Savořê bisterde muřo rodźendano.
>>rom<< Everyone forgot my birthday.	Sa bisterde muřo džes.
>>rom<< I asked Tom why he did that.	Pušlem le Tomestar sostar kerdas les.
>>rom<< I can't tell Tom what to do.	Naštiv te phenav le Tomeske so trubul te kerel.
>>rom<< I didn't want to let Tom go.	Či kamlem te mukav le Tomes te žal tar.
>>rom<< I don't know what you think.	Me či žanav so gindis.
>>rom<< I don't know why Tom is sad.	Či žanav sostar o Tom tristo lo.
>>rom<< I don't know why Tom is sad.	Či žanav sostar o Tom si tužno.
>>rom<< I don't want to go with Tom.	Či kamav te žav le Tomesa.
>>rom<< I helped Tom get a job here.	Ažutisardem le Tomes te lel jekh buči akathe.
>>rom<< I know Tom needs to do that.	Žanav ke o Tom trubul te kerel les.
>>rom<< I know Tom wants to do that.	Žanav ke o Tom kamel te kerel les.
>>rom<< I know that Tom can do that.	Žanav ke o Tom daštil te kerel les.
>>rom<< I know what Tom needs to do.	Žanav so trubul te kerel o Tom.
>>rom<< I know what Tom wants to do.	Žanav so kamel te kerel o Tom.
>>rom<< I know why Tom is in Boston.	Žanav sostar o Tom si ane Boston.
>>rom<< I need to know where Tom is.	Me trubuv te žanav kaj o Tom.
>>rom<< I saw Tom waiting for a bus.	Me dikhlem le Tomes kaj ažukerdas anda jekh autobuzo.
>>rom<< I should ask Tom to do that.	Me musaj te pušav le Tomestar te kerel les.
>>rom<< I still have to talk to Tom.	Ži akana me trubuv te dav duma le Tomesa.
>>rom<< I told Tom to do that today.	Me phendem le Tomeske te kerel les adžes.
>>rom<< I waited for Tom to do that.	Ažukerdem le Tomes te kerel les.
>>rom<< I want to talk to Tom again.	Me kamav te dav duma pale le Tomesa.
>>rom<< I want to talk to Tom again.	Me kamav te dav duma ponevo le Tomesa.
>>rom<< I wanted Tom to wait for me.	Me kamlem ke o Tom ažukêrel man.
>>rom<< I wanted to see Tom do that.	Me kamlem te dikhav le Tomes te kerel les.
>>rom<< I was waiting for Tom to go.	Me ažukerdem le Tomes te žav tar.
>>rom<< I'm not the one who hit Tom.	Me či som o ženo kaj mardas le Tomes.
>>rom<< It's Tom that I want to see.	Si o Tom ke me kamav te dikhav.
>>rom<< Thanks for your quick reply.	Palikerav tuke anda čiro sigo atveto.
>>rom<< Thanks for your quick reply.	Najis tuke anda čiro fugo atveto.
>>rom<< The priest is in the chapel.	O rašaj si ani kapela.
>>rom<< Tom and I gave that to Mary.	Me haj o Tom dam les le Mariake.
>>rom<< Tom and I gave that to Mary.	Me thaj o Tom diam les le Mariake.
>>rom<< Tom and I know who did that.	Me haj o Tom žanas kon kerdas les.
>>rom<< Tom and Mary are both angry.	O Tom haj i Mary le duj žene si xoľajle.
>>rom<< Tom and Mary are both dirty.	O Tom haj i Mary le duj žene si melale.
>>rom<< Tom and Mary both hate John.	O Tom thaj i Mary le duj žene urutizen le Johnes.
>>rom<< Tom and Mary both know this.	O Tom haj i Mary le duj žene žanen les.
>>rom<< Tom and Mary both need this.	O Tom haj i Mary le duj žene trubun les.
>>rom<< Tom asked me how I did that.	O Tom pušlas mandar sar kerdem les.
>>rom<< Tom asked me not to do that.	O Tom pušlas mandar te na kerel les.
>>rom<< Tom asked me to talk to you.	O Tom pušlas mandar te dav duma tusa.
>>rom<< Tom asked me why I did that.	O Tom pušlas mandar sostar kerdem les.
>>rom<< Tom can do that if he likes.	O Tom šaj te kerel les te drago leske.
>>rom<< Tom can do that if he tries.	O Tom daštil te kerel les te zumavel.
>>rom<< Tom can swim and I can, too.	O Tom daštil te notil haj vi me daštiv.
>>rom<< Tom had to wait a long time.	O Tom trubusardas te ažukêrel but vŕama.
>>rom<< Tom has asked me to do that.	O Tom pušlas mandar te kerel les.
>>rom<< Tom has done so much for us.	O Tom kerdas but anda amende.
>>rom<< Tom has no right to do that.	O Tom naj les voja te kerel les.
>>rom<< Tom has told me he can swim.	O Tom phendas mange ke daštil te notil.
>>rom<< Tom is now ready to do that.	Tom si getome akana te kerel les.
>>rom<< Tom is too busy to help you.	O Tom si pŕabut buťako te ažutil tut.
>>rom<< Tom is too drunk to do that.	O Tom si pŕabut mato te kerel les.
>>rom<< Tom is too short to do that.	O Tom si pŕabut cîgno te kerel les.
>>rom<< Tom is too small to do that.	O Tom si pŕabut cîgno te kerel les.
>>rom<< Tom is too timid to do that.	O Tom si pŕabut lažano te kerel les.
>>rom<< Tom is too tired to do that.	O Tom si pŕabut čino te kerel les.
>>rom<< Tom is too tired to eat now.	O Tom si pŕabut khino te xal akana.
>>rom<< Tom is too tired to eat now.	O Tom si pŕabut čino te xal akana.
>>rom<< Tom knows he has to do that.	O Tom žanel ke trubul te kerel les.
>>rom<< Tom may know how to do that.	O Tom žanel amborim sar te kerel les.
>>rom<< Tom may not have to do that.	O Tom na trubul amborim te kerel les.
>>rom<< Tom may not know what to do.	O Tom či žanel amborim so te kerel.
>>rom<< Tom said he did that for us.	Tom phendas ke kerdas les anda amende.
>>rom<< Tom said he may not do that.	O Tom phendas ke amborim či kerel les.
>>rom<< Tom said it was a good game.	O Tom phendas ke sas jekh lašo khêlimos.
>>rom<< Tom said it's OK to eat now.	O Tom phendas ke si MIŠTO te xal akana.
>>rom<< Tom told me I could do that.	O Tom phendas mange ke me daštisardem te kerav les.
>>rom<< Tom told me he could fix it.	O Tom phendas mange ke naštisardas te lašarel les.
>>rom<< Tom told me he didn't do it.	O Tom phendas mange ke či kerdas les.
>>rom<< Tom told me he had no money.	O tom phendas mange ke či sas les love.
>>rom<< Tom told me he had to leave.	O Tom phendas mange ke vo trubusardas te žal tar.
>>rom<< Tom told me he wanted to go.	O Tom phendas mange ke kamlas te žal.
>>rom<< Tom told me he wants to die.	O Tom phendas mange ke kamel te merel.
>>rom<< Tom told me he was a doctor.	O Tom phendas mange ke vo sas jekh doktoro.
>>rom<< Tom told me he was a doctor.	O Tom phendas mange ke vo sas jekh sastimari.
>>rom<< Tom told me not to eat this.	O Tom phendas mange te na xal les.
>>rom<< Tom told me that he was hot.	O Tom phendas mange ke vo sas tato.
>>rom<< Tom told me that he was mad.	O Tom phendas mange ke vo sas xoľajlo.
>>rom<< Tom told me that he was sad.	O Tom phendas mange ke vo sas tužno.
>>rom<< Tom told me that he was shy.	O Tom phendas mange ke vo sas lažano.
>>rom<< Tom wanted to buy a new car.	O Tom kamlas te kinel jekh nevi matora.
>>rom<< Tom wanted to do a good job.	O Tom kamlas te kerel jekh laši buči.
>>rom<< Tom wanted to give it a try.	O Tom kamlas te zumavel les.
>>rom<< Tom wanted to go for a walk.	O Tom kamlas te phirel.
>>rom<< Tom wants to buy my old car.	O Tom kamel te kinel muři purani matora.
>>rom<< Tom wants us to go with him.	O Tom kamel ke ame žas lesa.
>>rom<< Tom was with me on that day.	O Tom sas mansa kodova džes
>>rom<< We want Tom to sing with us.	Ame kamas le Tomes te džilabel amensa.
>>rom<< What did Tom want you to do?	So kamlas o Tom ke tu keres?
>>rom<< When I saw Tom I said hello.	Kana dikhlem le Tomes phendem baxtalo.
>>rom<< Who told Tom not to do that?	Kon phendas le Tomeske te na kerel les?
>>rom<< Why did Tom do that for you?	Sostar o Tom kerdas les anda tute?
>>rom<< Why did Tom have to do that?	Sostar o Tom trubusardas te kerel les?
>>rom<< Why did Tom need to do that?	Sostar o Tom trubul te kerel les?
>>rom<< Why did Tom want to do that?	Sostar o Tom kamel te kerel les?
>>rom<< Why didn't you ever tell us?	Sostar či phendan amenge šoha?
>>rom<< Why didn't you ever tell us?	Sostar či phendan amenge nikad?
>>rom<< Why does Tom want to see me?	Sostar o Tom kamel te dikhel man?
>>rom<< Why is Tom being nice to me?	Sostar o Tom si but lašo mansa?
>>rom<< Ask Tom what he wants to eat.	Puš le Tomestar so kamel te xal.
>>rom<< Both Tom and Mary are insane.	O Tom haj i Mary le duj žene si dile.
>>rom<< Both Tom and Mary can't swim.	O Tom haj i Mary le duj žene naštin te notin.
>>rom<< Does Tom want to do that now?	O Tom kamel te kerel les akana?
>>rom<< Does Tom wish to do that now?	O Tom volil te kerel les akana?
>>rom<< Everybody forgot my birthday.	Savořê bisterde muřo rodźendano.
>>rom<< Everybody forgot my birthday.	Sa bisterde muřo džes.
>>rom<< I can't do that, but Tom can.	Me naštiv te kerav les, numa Tom daštil.
>>rom<< I didn't have to go with Tom.	Me či trubusardem te žav le Tomesa.
>>rom<< I didn't tell Tom to do that.	Me či phendem le Tomeske te kerel les.
>>rom<< I don't know how rich Tom is.	Me či žanav sar barvalo si o Tom.
>>rom<< I don't know why Tom got mad.	Či žanav sostar o Tom xoľamo sas.
>>rom<< I don't let Tom drive my car.	Me či mekav le Tomes te vozîl muři matora.
>>rom<< I don't plan to wait for Tom.	Me či suřučisarav te ažukerav le Tomes.
>>rom<< I know Tom is doing that now.	Me žanav ke o Tom kerel les akana.
>>rom<< I know Tom wanted to do that.	Me žanav ke o Tom kamlas te kerel les.
>>rom<< I know that Tom is in Boston.	Me žanav ke o Tom si ande o foro Boston.
>>rom<< I know the man Tom came with.	Me prinžarav le manušes ke aviljas le Tomesa.
>>rom<< I like the way Tom does that.	Drago mange sar o Tom kerel les.
>>rom<< I need to tell Tom the truth.	Me trubuv te phenav le Tomeske o čačimos.
>>rom<< I needed to help Tom do that.	Me trubusardem te ažutiv le Tomes te kerel les.
>>rom<< I should tell Tom to do that.	Me musaj te phenav le Tomeske te kerel les.
>>rom<< I think Tom likes to do that.	Me gindiv ke o Tom drago leske te kerel les.
>>rom<< I think Tom needs to do that.	Me gindiv ke o Tom trubul te kerel les.
>>rom<< I want to tell Tom the truth.	Me kamav te phenav le Tomeske o čačimos.
>>rom<< I wanted to help Tom do that.	Kamlem te ažutiv le Tomes te kerel les.
>>rom<< I wasn't able to talk to Tom.	Me či daštisardem te dav duma le Tomesa.
>>rom<< I wasn't as drunk as Tom was.	Či somas mató sar o Tom.
>>rom<< I wasn't the one who hit Tom.	Me či mardem pe Tomes.
>>rom<< Is Tom looking for a new job?	O Tom rodel jekh nevi buči?
>>rom<< Is Tom still able to do that?	O Tom daštil înkê te kerel les ?
>>rom<< Is it true that Tom did that?	Čačes ke Tom kerdas les?
>>rom<< No one but Tom could do that.	Khonik naštisardas numa o Tom daštisardas te kerel les.
>>rom<< Tell Tom he needs to do that.	Phen le Tomeske ke trubul te kerel les.
>>rom<< Tell Tom not to do that here.	Phen le Tomeske te na kerel les akathe.
>>rom<< The one who did that was Tom.	Kon kerdas les sas o Tom.
>>rom<< The one who does that is Tom.	Kon kerel les si o Tom.
>>rom<< There's no reason to do that.	Naj motivo te kerel les.
>>rom<< Tom and Mary are both scared.	O Tom haj vi i Mary le duj žene si trašane.
>>rom<< Tom and Mary were both dirty.	O Tom haj i Mary le duj žene sas melale.
