>>hye<< Run!	Վազի՛։
>>hye<< I'll pay.	Ես կվճարեմ։
>>hye<< I'll try.	Ես կփորձեմ։
>>hye<< I'm bald.	Ես քաչալ եմ։
>>hye<< I'm fair.	Ես արդար եմ։
>>hye<< It hurts.	Ցավում է։
>>hye<< She came.	Նա եկավ։
>>hye<< Tell Tom.	Ասա Թոմին։
>>hye<< Tell Tom.	Ասեք Թոմին։
>>hye<< Tom knew.	Թոմը գիտեր։
>>hye<< Visit us.	Այցելեք մեզ։
>>hye<< We'll go.	Մենք կգնանք։
>>hye<< Who came?	Ո՞վ է եկել։
>>hye<< Who died?	Ո՞վ է մահացել։
>>hye<< Who died?	Ո՞վ է մեռել։
>>hye<< Calm down!	Հանգստացե՝ք։
>>hye<< Catch Tom.	Բռնե՛ք Թոմին։
>>hye<< Catch Tom.	Բռնի՛ր Թոմին։
>>hye<< Did I win?	Ես հաղթեցի՞։
>>hye<< Dogs bark.	Շները հաչում են։
>>hye<< Don't cry.	Մի՛ լացիր։
>>hye<< Don't cry.	Մի՛ լացեք։
>>hye<< Forget it.	Մոռացեք։
>>hye<< Get ready.	Պատրաստվե՛ք։
>>hye<< Get ready.	Պատրաստվի՛ր։
>>hye<< He's lazy.	Նա ծույլ է։
>>hye<< He's rich.	Նա հարուստ է։
>>hye<< I am sure.	Վստահ եմ:
>>hye<< I hurried.	Ես շտապեցի։
>>hye<< I laughed.	Ես ծիծաղեցի։
>>hye<< I laughed.	Ես խնդացի։
>>hye<< I must go.	Ես պետք է գնամ։
>>hye<< I saw Tom.	Ես տեսա Թոմին։
>>hye<< I saw you.	Ես տեսա քեզ։
>>hye<< I saw you.	Ես տեսա ձեզ։
>>hye<< I'd do it.	Ես կանեի դա։
>>hye<< I'd leave.	Ես կհեռանայի։
>>hye<< I'd leave.	Ես կգնայի։
>>hye<< I'll call.	Ես կզանգեմ։
>>hye<< I'll call.	Ես կկանչեմ։
>>hye<< I'll sing.	ես կերգեմ։
>>hye<< I'll talk.	Ես կխոսեմ։
>>hye<< I'm armed.	Ես զինված եմ։
>>hye<< I'm clean.	Ես մաքուր եմ։
>>hye<< I'm drunk.	Ես հարբած եմ։
>>hye<< I'm loyal.	Ես հավատարիմ եմ։
>>hye<< I'm lucky.	Ես բախտավոր եմ։
>>hye<< I'm lucky.	Ես հաջողակ եմ։
>>hye<< I'm naked.	Ես մերկ եմ։
>>hye<< I'm naked.	Ես տկլոր եմ։
>>hye<< It's 9:15.	Ժամը 9:15-ն է:
>>hye<< It's hard.	Դժվար է։
>>hye<< It's ours.	Դա մերն է:
>>hye<< Seriously?	Լո՞ւրջ:
>>hye<< She walks.	Նա քայլում է։
>>hye<< Sign here.	Ստորագրեք այստեղ։
>>hye<< Sign here.	Ստորագրիր այստեղ։
>>hye<< That's me.	Դա ես եմ:
>>hye<< Tom stood.	Թոմը կանգնեց։
>>hye<< Tom stood.	Թոմը կանգնել է։
>>hye<< Tom swims.	Թոմը լողում է:
>>hye<< Tom swore.	Թոմը երդվեց:
>>hye<< Tom tried.	Թոմը փորձեց:
>>hye<< Trust Tom.	Վստահեք Թոմին:
>>hye<< Trust Tom.	Վստահիր Թոմին։
>>hye<< We can go.	Մենք կարող ենք գնալ։
>>hye<< We can go.	Կարող ենք գնալ։
>>hye<< We prayed.	Մենք աղոթեցինք։
>>hye<< We waited.	Մենք սպասեցինք։
>>hye<< Can I come?	Կարո՞ղ եմ գալ:
>>hye<< Can I help?	Կարո՞ղ եմ օգնել։
>>hye<< Check this.	Ստուգեք սա։
>>hye<< Check this.	Ստուգիր սա։
>>hye<< Choose one.	Ընտրեք մեկը։
>>hye<< Choose one.	Ընտրիր մեկը։
>>hye<< Did we win?	Մենք հաղթե՞լ ենք։
>>hye<< Don't brag.	Մի՛ պարծենաք։
>>hye<< Don't brag.	Մի՛ պարծենար։
>>hye<< Don't fire.	Մի՛ կրակեք:
>>hye<< Don't fire.	Մի՛ կրակիր:
>>hye<< Don't hide.	Մի՛ թաքնվիր։
>>hye<< Don't hide.	Մի՛ թաքնվեք։
>>hye<< Don't move.	Մի՛ շարժվիր։
>>hye<< Don't move.	Մի՛ շարժվեք։
>>hye<< Don't move.	Չշարժվե՛ք։
>>hye<< Don't rush.	Մի՛ շտապիր։
>>hye<< Don't rush.	Մի շտապեք։
>>hye<< Don't spit.	Մի՛ թքեք։
>>hye<< Don't spit.	Մի՛ թքիր։
>>hye<< Don't talk!	Մի՛ խոսիր։
>>hye<< Don't talk!	Մի՛ խոսեք։
>>hye<< Don't wait.	Մի՛ սպասիր։
>>hye<< Don't wait.	Մի՛ սպասեք։
>>hye<< Forgive me.	Ներիր ինձ։
>>hye<< Forgive me.	Ներեք ինձ։
>>hye<< Forgive us.	Ներիր մեզ։
>>hye<< Forgive us.	Ներեք մեզ։
>>hye<< Go on, Tom.	Շարունակիր, Թոմ:
>>hye<< Go on, Tom.	Շարունակեք, Թոմ:
>>hye<< He laughed.	Նա ծիծաղեց։
>>hye<< I am right.	Ես ճիշտ եմ։
>>hye<< I built it.	Ես կառուցեցի այն։
>>hye<< I can help.	Ես կարող եմ օգնել։
>>hye<< I can help.	Կարող եմ օգնել։
>>hye<< I envy Tom.	Ես նախանձում եմ Թոմին։
>>hye<< I envy her.	Ես նախանձում եմ նրան։
>>hye<< I envy him.	Ես նախանձում եմ նրան։
>>hye<< I envy you.	Ես նախանձում եմ քեզ։
>>hye<< I envy you.	Ես նախանձում եմ ձեզ։
>>hye<< I flinched.	Ես ցնցվեցի։
>>hye<< I got lost.	Ես մոլորվեցի։
>>hye<< I hope not.	Հուսով եմ, որ ոչ։
>>hye<< I know her.	Ես նրան ճանաչում եմ։
>>hye<< I miss you.	Ես կարոտում եմ քեզ։
>>hye<< I remember.	Հիշում եմ։
>>hye<< I saw that.	Ես դա տեսա։
>>hye<< I saw them.	Ես տեսա նրանց։
>>hye<< I shivered.	Ես դողացա։
>>hye<< I told Tom.	Ես ասացի Թոմին։
>>hye<< I tried it.	Ես փորձեցի դա։
>>hye<< I want tea.	Ես թեյ եմ ուզում։
>>hye<< I was busy.	Ես զբաղված էի։
>>hye<< I will ask.	Ես կհարցնեմ։
>>hye<< I'll drive.	Ես կքշեմ։
>>hye<< I'm loaded.	Ես հարբած եմ։
>>hye<< I'm so fat.	Ինչ չաղ եմ ես։
>>hye<< I'm trying.	Ես փորձում եմ։
>>hye<< I'm trying.	Փորձում եմ։
>>hye<< It's a fox.	Դա աղվես է։
>>hye<< It's green.	Կանաչ է։
>>hye<< It's green.	Այն կանաչ է:
>>hye<< It's yours.	Սա քոնն է։
>>hye<< Let me pay.	Թույլ տվեք վճարել:
>>hye<< Let's pray.	Եկեք աղոթենք։
>>hye<< Let's swim.	Եկեք լողանք։
>>hye<< Let's swim.	Արի լողանք։
>>hye<< Stay there.	Մնա այնտեղ։
>>hye<< That's wet.	Դա թաց է։
>>hye<< They agree.	Նրանք համաձայն են։
>>hye<< Tom forgot.	Թոմը մոռացավ։
>>hye<< Tom hit me.	Թոմը խփեց ինձ։
>>hye<< Tom played.	Թոմը խաղաց։
>>hye<< Tom played.	Թոմը խաղացել է։
>>hye<< Tom prayed.	Թոմը աղոթեց։
>>hye<< Tom stayed.	Թոմը մնաց։
>>hye<< Tom waited.	Թոմը սպասեց։
>>hye<< Tom's ugly.	Թոմը տգեղ է։
>>hye<< We'll sing.	Կերգենք։
>>hye<< We'll wait.	Կսպասենք։
>>hye<< We'll work.	Մենք կաշխատենք։
>>hye<< We're back.	Մենք վերադարձանք։
>>hye<< We're busy.	Մենք զբաղված ենք։
>>hye<< We're cold.	Մենք մրսում ենք։
>>hye<< We're home.	Մենք տանն ենք։
>>hye<< We're lazy.	Մենք ծույլ ենք։
>>hye<< We're lost.	Մենք մոլորվել ենք:
>>hye<< We're rich.	Մենք հարուստ ենք։
>>hye<< Who did it?	Ո՞վ է դա արել:
>>hye<< Why not go?	Բա ինչո՞ւ չգնալ։
>>hye<< Are you mad?	Դու գժվե՞լ ես։
>>hye<< Are you mad?	Դուք գժվե՞լ եք։
>>hye<< Are you mad?	Դու խելագարվե՞լ ես։
>>hye<< Are you mad?	Դուք խելագարվե՞լ եք։
>>hye<< Be yourself.	Եղիր ինքդ քեզ։
>>hye<< Be yourself.	Եղեք ինքդ ձեզ։
>>hye<< Can I start?	Կարո՞ղ եմ սկսել։
>>hye<< Can we talk?	Կարո՞ղ ենք խոսել։
>>hye<< Can you see?	Տեսնո՞ւմ ես։
>>hye<< Can you try?	Կարո՞ղ եք փորձել։
>>hye<< Can you try?	Կարո՞ղ ես փորձել։
>>hye<< Can you try?	Դուք կարո՞ղ եք փորձել։
>>hye<< Can you try?	Դու կարո՞ղ ես փորձել։
>>hye<< Don't do it!	Մի՛ արա դա։
>>hye<< Don't laugh.	Մի՛ ծիծաղիր։
>>hye<< Don't laugh.	Մի՛ ծիծաղեք։
>>hye<< Don't scoff.	Մի՛ ծաղրիր։
>>hye<< Don't shove.	Մի՛ հրեք:
>>hye<< Don't smile.	Մի՛ ժպտա։
>>hye<< Don't smile.	Մի՛ ժպտացեք։
>>hye<< Get in line.	Հերթ կանգնեք։
>>hye<< Get in line.	Հերթ կանգնիր։
>>hye<< He can come.	Նա կարող է գալ:
>>hye<< He has wine.	Նա գինի ունի։
>>hye<< He loves me.	Նա սիրում է ինձ։
>>hye<< I asked Tom.	Ես հարցրի Թոմին։
>>hye<< I asked why.	Ես հարցրի՝ ինչու։
>>hye<< I asked why.	Հարցրեցի, թե ինչու:
>>hye<< I buried it.	Ես թաղեցի այն։
>>hye<< I eat alone.	Ես մենակ եմ ուտում։
>>hye<< I found you.	Ես գտա քեզ:
>>hye<< I found you.	Ես գտա ձեզ:
>>hye<< I found you.	Ես գտա քեզ։
>>hye<< I found you.	Ես գտա ձեզ։
>>hye<< I found you.	Ես գտա Ձեզ։
>>hye<< I got bored.	Ես ձանձրացա։
>>hye<< I hate snow.	Ատում եմ ձյունը։
>>hye<< I know that.	Ես գիտեմ դա։
>>hye<< I like meat.	Ես սիրում եմ միս։
>>hye<< I live here.	Ես ապրում եմ այստեղ։
>>hye<< I live here.	Ես այստեղ եմ ապրում։
>>hye<< I love fish.	Ես սիրում եմ ձուկ։
>>hye<< I loved you.	Ես սիրում էի քեզ։
>>hye<< I loved you.	Ես սիրում էի ձեզ։
>>hye<< I need milk.	Ինձ կաթ է պետք։
>>hye<< I play jazz.	Ես ջազ եմ նվագում։
>>hye<< I play jazz.	Ես նվագում եմ ջազ։
>>hye<< I saw a fox.	Ես աղվես տեսա:
>>hye<< I trust you.	Ես վստահում եմ քեզ։
>>hye<< I trust you.	Ես վստահում եմ ձեզ։
>>hye<< I trust you.	Ես վստահում եմ Ձեզ։
>>hye<< I want beef.	Ես տավարի միս եմ ուզում։
>>hye<< I want beer.	Ես գարեջուր եմ ուզում։
>>hye<< I want both.	Ես երկուսն էլ ուզում եմ։
>>hye<< I want cake.	Ես տորթ եմ ուզում։
>>hye<< I want corn.	Ես եգիպտացորեն եմ ուզում։
>>hye<< I want fish.	Ես ձուկ եմ ուզում։
>>hye<< I want gold.	Ես ոսկի եմ ուզում։
>>hye<< I want half.	Ես կեսն եմ ուզում։
>>hye<< I want meat.	Ես միս եմ ուզում։
>>hye<< I want pork.	Ես խոզի միս եմ ուզում։
>>hye<< I want rice.	Ես բրինձ եմ ուզում։
>>hye<< I want salt.	Ես աղ եմ ուզում։
>>hye<< I want soap.	Ես օճառ եմ ուզում։
>>hye<< I want toys.	Ես ուզում եմ խաղալիքներ։
>>hye<< I want wine.	Ես գինի եմ ուզում։
>>hye<< I want work.	Ես աշխատանք եմ ուզում։
>>hye<< I was alone.	Ես մենակ էի։
>>hye<< I was awake.	Ես արթուն էի։
>>hye<< I was crazy.	ես խելագար էի։
>>hye<< I was lucky.	Բախտս բերեց։
>>hye<< I was right.	Ես ճիշտ էի։
>>hye<< I was right.	Ես ճիշտ եմ եղել։
>>hye<< I was there.	Ես այնտեղ էի։
>>hye<< I'll decide.	Ես կորոշեմ։
>>hye<< I'm a child.	Ես երեխա եմ։
>>hye<< I'm a woman.	Ես կին եմ։
>>hye<< I'm in love.	Ես սիրահարված եմ։
>>hye<< I'm married.	Ես ամուսնացած եմ։
>>hye<< I'm neutral.	Ես չեզոք եմ։
>>hye<< I'm no liar.	Ես ստախոս չեմ։
>>hye<< I'm not mad.	Ես չեմ զայրացած։
>>hye<< I'm not mad.	Ես չեմ բարկացած։
>>hye<< I'm sitting.	Ես նստած եմ։
>>hye<< I'm thirsty.	Ծարավ եմ։
>>hye<< I'm up next.	Հաջորդը ես եմ։
>>hye<< I'm working.	Ես աշխատում եմ։
>>hye<< I'm working.	Աշխատում եմ։
>>hye<< Ignore them.	Անտեսեք նրանց։
>>hye<< Ignore them.	Անտեսիր նրանց։
>>hye<< Is it legal?	Դա օրինակա՞ն է։
>>hye<< Is it legal?	Արդյո՞ք դա օրինական է:
>>hye<< It is there.	Այն այնտեղ է։
>>hye<< It was ours.	Դա մերն էր։
>>hye<< It's a doll.	Դա տիկնիկ է։
>>hye<< It's a door.	Դա դուռ է։
>>hye<< It's silver.	Արծաթ է։
>>hye<< Just ask me.	Ուղղակի ինձ հարցրու։
>>hye<< Just ask me.	Ուղղակի ինձ հարցրեք։
>>hye<< Just get up.	Ուղղակի վեր կաց։
>>hye<< Let me rest.	Թույլ տվեք հանգստանալ։
>>hye<< Let's begin.	Եկեք սկսենք:
>>hye<< Let's relax.	Եկեք հանգստանանք։
>>hye<< Now I'm sad.	Հիմա տխուր եմ։
>>hye<< Pray for me.	Աղոթեք ինձ համար։
>>hye<< Pray for me.	Աղոթիր ինձ համար։
>>hye<< She hit him.	Նա խփել է նրան:
>>hye<< She hit him.	Նա խփեց նրան:
>>hye<< She is kind.	Նա բարի է:
>>hye<< She's happy.	Նա երջանիկ է։
>>hye<< Show me how.	Ցույց տուր ինձ, թե ինչպես։
>>hye<< Show me how.	Ցույց տվեք ինձ, թե ինչպես։
>>hye<< Start again.	Նորից սկսեք։
>>hye<< Start again.	Նորից սկսիր։
>>hye<< Take my car.	Վերցրու իմ մեքենան։
>>hye<< Take my car.	Վերցրեք իմ մեքենան։
>>hye<< Take my car.	Վերցրու մեքենաս։
>>hye<< Take my key.	Վերցրու իմ բանալին։
>>hye<< Take my key.	Վերցրեք իմ բանալին։
>>hye<< Take my key.	Վերցրեք բանալիս։
>>hye<< Tea, please.	Թեյ, խնդրում եմ։
>>hye<< Tell Tom no.	Ասա Թոմին՝ ոչ։
>>hye<< Tell Tom no.	Ասեք Թոմին՝ ոչ։
>>hye<< Tell us now.	Ասա մեզ հիմա:
>>hye<< Tell us now.	Ասեք մեզ հիմա:
>>hye<< That's fair.	Դա արդար է։
>>hye<< That's good.	Դա լավ է։
>>hye<< They're shy.	Նրանք ամաչկոտ են։
>>hye<< Tom can sew.	Թոմը կարող է կարել:
>>hye<< Tom has gin.	Թոմը ջին ունի։
>>hye<< Tom is hurt.	Թոմը վիրավորված է։
>>hye<< Tom replied.	Թոմը պատասխանեց։
>>hye<< Tom saw you.	Թոմը տեսավ քեզ:
>>hye<< Tom saw you.	Թոմը տեսավ ձեզ:
>>hye<< Tom stopped.	Թոմը կանգնեց:
>>hye<< Tom sweated.	Թոմը քրտնեց։
>>hye<< Tom told me.	Թոմն ինձ ասաց։
>>hye<< Tom'll know.	Թոմը կիմանա։
>>hye<< Tom's angry.	Թոմը զայրացած է։
>>hye<< Tom's angry.	Թոմը բարկացած է։
>>hye<< Tom's lucky.	Թոմը բախտավոր է։
>>hye<< Tom's lucky.	Թոմը շան բախտ ունենի։
>>hye<< Try to move.	Փորձեք շարժվել:
>>hye<< Try to move.	Փորձիր շարժվել։
>>hye<< Try to rest.	Փորձեք հանգստանալ։
>>hye<< Try to rest.	Փորձիր հանգստանալ։
>>hye<< Vote for me!	Քվեարկե՛ք ինձ համար։
>>hye<< We eat meat.	Մենք միս ենք ուտում։
>>hye<< We help Tom.	Մենք օգնում ենք Թոմին:
>>hye<< We like you.	Մեզ դու դուր ես գալիս։
>>hye<< We like you.	Մեզ դուք դուր եք գալիս։
>>hye<< We need Tom.	Մեզ պետք է Թոմը։
>>hye<< We tried it.	Մենք փորձեցինք դա։
>>hye<< We're alive.	Մենք ողջ ենք։
>>hye<< We're armed.	Մենք զինված ենք։
>>hye<< We're bored.	Մենք ձանձրացել ենք։
>>hye<< We're proud.	Մենք հպարտ ենք։
>>hye<< We're twins.	Մենք երկվորյակներ ենք։
>>hye<< What is air?	Ի՞նչ է օդը։
>>hye<< Who hit you?	Ո՞վ խփեց քեզ:
>>hye<< Who hit you?	Ո՞վ խփեց ձեզ:
>>hye<< Who's tired?	Ո՞վ է հոգնած։
>>hye<< You fainted.	Դու ուշաթափվեցիր։
>>hye<< You fainted.	Դուք ուշաթափվեցիք։
>>hye<< You know it.	Դուք գիտեք դա։
>>hye<< You know it.	Դու գիտես դա։
>>hye<< You may sit.	Կարող եք նստել:
>>hye<< You may sit.	Դու կարող ես նստել:
>>hye<< You're fair.	Դու արդար ես։
>>hye<< You're fair.	Դուք արդար եք։
>>hye<< You're free.	Դու ազատ ես:
>>hye<< You're free.	Ազատ ես:
>>hye<< Are you free?	Ազատ ե՞ս։
>>hye<< Are you free?	Ազատ ե՞ք։
>>hye<< Are you home?	Դոք տա՞նն եք։
>>hye<< Are you sure?	Վստահ ե՞ս։
>>hye<< Are you sure?	Վստա՞հ ես:
>>hye<< Are you sure?	Վստա՞հ եք:
>>hye<< Are you sure?	Վստա՞հ եք։
>>hye<< Are you sure?	Վստա՞հ ես։
>>hye<< Are you sure?	Համոզվա՞ծ ես։
>>hye<< Are you sure?	Համոզվա՞ծ եք։
>>hye<< Be objective.	Եղեք օբյեկտիվ։
>>hye<< Be objective.	Օբյեկտիվ եղիր։
>>hye<< Boil one egg.	Մեկ ձու եփեք։
>>hye<< Boil one egg.	Մեկ ձու եփիր։
>>hye<< Call my wife.	Զանգիր կնոջս։
>>hye<< Call my wife.	Զանգեք կնոջս։
>>hye<< Call my wife.	Զանգահարեք կնոջս։
>>hye<< Call the FBI.	Զանգեք ՀԴԲ-ին։
>>hye<< Call the FBI.	Զանգիր ՀԴԲ-ին։
>>hye<< Can you come?	Կարո՞ղ եք գալ։
>>hye<< Can you come?	Կարո՞ղ ես գալ։
>>hye<< Can you come?	Դուք կարո՞ղ եք գալ։
>>hye<< Can you come?	Դու կարո՞ղ ես գալ։
>>hye<< Can you hear?	Լսո՞ւմ ես։
>>hye<< Can you hear?	Լսո՞ւմ եք։
>>hye<< Can you hear?	Դու լսո՞ւմ ես։
>>hye<< Can you hear?	Դուք լսո՞ւմ եք։
>>hye<< Can you help?	Կարո՞ղ եք օգնել։
>>hye<< Can you help?	Կարո՞ղ ես օգնել։
>>hye<< Can you move?	Կարո՞ղ ես շարժվել։
>>hye<< Can you move?	Կարո՞ղ եք շարժվել։
>>hye<< Can you move?	Դուք կարո՞ղ եք շարժվել։
>>hye<< Can you move?	Դու կարո՞ղ ես շարժվել։
>>hye<< Can you sing?	Կարո՞ղ ես երգել։
>>hye<< Can you sing?	Կարո՞ղ եք երգել։
>>hye<< Can you sing?	Դուք կարո՞ղ եք երգել։
>>hye<< Can you sing?	Դու կարո՞ղ ես երգել։
>>hye<< Can you stay?	Կարո՞ղ եք մնալ։
>>hye<< Can you stay?	Կարո՞ղ ես մնալ։
>>hye<< Can you stay?	Դուք կարո՞ղ եք մնալ։
>>hye<< Can you stay?	Դու կարո՞ղ ես մնալ։
>>hye<< Can you wait?	Կարո՞ղ եք սպասել։
>>hye<< Can you wait?	Կարո՞ղ ես սպասել։
>>hye<< Can you wait?	Դուք կարո՞ղ եք սպասել։
>>hye<< Can you wait?	Դու կարո՞ղ ես սպասել։
>>hye<< Can't you go?	Չե՞ս կարող գնալ։
>>hye<< Can't you go?	Չե՞ք կարող գնալ։
>>hye<< Did Tom come?	Թոմը եկա՞վ։
>>hye<< Did Tom pray?	Թոմը աղոթե՞ց։
>>hye<< Did you help?	Օգնե՞լ եք։
>>hye<< Did you help?	Օգնե՞լ ես։
>>hye<< Did you pray?	Աղոթե՞լ ես։
>>hye<< Did you pray?	Աղոթե՞լ եք։
>>hye<< Did you sign?	Դուք ստորագրե՞լ եք։
>>hye<< Did you sign?	Դու ստորագրե՞լ ես։
>>hye<< Do it for me.	Արա դա ինձ համար։
>>hye<< Do it for me.	Արեք դա ինձ համար։
>>hye<< Do you drink?	Խմո՞ւմ եք։
>>hye<< Do you drink?	Խմո՞ւմ ես։
>>hye<< Do you drink?	Դուք խմո՞ւմ եք։
>>hye<< Do you drink?	Դու խմո՞ւմ ես։
>>hye<< Do you smoke?	Ծխո՞ւմ եք։
>>hye<< Do you smoke?	Ծխո՞ւմ ես։
>>hye<< Drive slowly.	Քշե՛ք դանդաղ։
>>hye<< Drive slowly.	Դանդաղ քշե՛ք։
>>hye<< Drive slowly.	Դանդաղ քշի՛ր։
>>hye<< Everyone sat.	Բոլորը նստեցին։
>>hye<< Everyone sat.	Բոլորը նստել են։
>>hye<< Give me half.	Տուր ինձ կեսը։
>>hye<< Give me half.	Տվեքինձ կեսը։
>>hye<< Go to school.	Գնա՛ դպրոց։
>>hye<< Go to school.	Գնացե՛ք դպրոց։
>>hye<< He is eating.	Նա ուտում է։
>>hye<< He was naive.	Նա միամիտ էր։
>>hye<< He will wait.	Նա կսպասի։
>>hye<< Help me here.	Օգնեք ինձ այստեղ։
>>hye<< Help me here.	Օգնիր ինձ այստեղ։
>>hye<< Help me, Tom.	Օգնիր ինձ, Թոմ։
>>hye<< Help me, Tom.	Օգնեք ինձ, Թոմ։
>>hye<< Hey, wake up.	Է՛յ, արթնացիր։
>>hye<< Hey, wake up.	Է՛յ, արթնացեք։
>>hye<< I admire you.	Ես հիանում եմ քեզնով։
>>hye<< I admire you.	Ես հիանում եմ ձեզնով։
>>hye<< I always try.	Ես միշտ փորձում եմ։
>>hye<< I always win.	Ես միշտ հաղթում եմ։
>>hye<< I called Tom.	Ես զանգահարեցի Թոմին։
>>hye<< I can't draw.	Ես չեմ կարող նկարել։
>>hye<< I can't help.	Ես չեմ կարող օգնել:
>>hye<< I don't care.	Ես թքած ունեմ։
>>hye<< I drink beer.	Ես գարեջուր եմ խմում։
>>hye<< I drink milk.	Ես կաթ եմ խմում։
>>hye<< I drink wine.	Ես գինի եմ խմում։
>>hye<< I hate rules.	Ես ատում եմ կանոնները։
>>hye<< I have to go.	Ես պետք է գնամ։
>>hye<< I like honey.	Ես սիրում եմ մեղր։
>>hye<< I lived here.	Ես այստեղ եմ ապրել։
>>hye<< I lived here.	Ես ապրում էի այստեղ։
>>hye<< I love money.	Ես սիրում եմ փողը։
>>hye<< I need a job.	Ինձ աշխատանք է պետք։
>>hye<< I said maybe.	Ես ասացի՝ գուցե։
>>hye<< I saw sharks.	Ես շնաձկներ տեսա։
>>hye<< I see a boat.	Ես նավակ եմ տեսնում։
>>hye<< I see a lion.	Ես առյուծ եմ տեսնում։
>>hye<< I set a trap.	Ես թակարդ եմ դրել։
>>hye<< I understand.	Ես հասկանում եմ։
>>hye<< I want a car.	Ես մեքենա եմ ուզում։
>>hye<< I want bacon.	Ես բեկոն եմ ուզում։
>>hye<< I want curry.	Ես կարի եմ ուզում։
>>hye<< I want fruit.	Ես միրգ եմ ուզում։
>>hye<< I want fruit.	Միրգ եմ ուզում։
>>hye<< I want honey.	Ես մեղր եմ ուզում։
>>hye<< I want juice.	Ես հյութ եմ ուզում։
>>hye<< I want shoes.	Ես կոշիկներ եմ ուզում։
>>hye<< I want steak.	Ես ուզում եմ սթեյք։
>>hye<< I want sugar.	Ես շաքար եմ ուզում։
>>hye<< I want sushi.	Ես սուշի եմ ուզում։
>>hye<< I want vodka.	Ես օղի եմ ուզում։
>>hye<< I warned Tom.	Ես զգուշացրեցի Թոմին։
>>hye<< I warned you.	Ես քեզ զգուշացրեցի։
>>hye<< I warned you.	Ես ձեզ զգուշացրեցի։
>>hye<< I was lonely.	Ես միայնակ էի։
>>hye<< I was second.	Ես երկրորդն էի։
>>hye<< I won't lose!	Չե՛մ պարտվի։
>>hye<< I won't move.	Ես չեմ շարժվի։
>>hye<< I'll save it.	Ես կպահպանեմ այն։
>>hye<< I'm Catholic.	Ես կաթոլիկ եմ։
>>hye<< I'm a hunter.	Ես որսորդ եմ։
>>hye<< I'm an adult.	Ես չափահաս եմ։
>>hye<< I'm an agent.	Ես գործակալ եմ։
>>hye<< I'm busy now.	Ես հիմա զբաղված եմ։
>>hye<< I'm busy now.	Հիմա զբաղված եմ։
>>hye<< I'm freezing.	Ես սառչում եմ։
>>hye<< I'm going in.	Ես մտնում եմ։
>>hye<< I'm going in.	Մտնում եմ։
>>hye<< I'm in Perth.	Ես Պերթում եմ։
>>hye<< I'm in shock.	Ես շոկի մեջ եմ։
>>hye<< I'm pregnant.	Ես հղի եմ։
>>hye<< I'm prepared.	Ես պատրաստ եմ։
>>hye<< I'm starting.	Ես սկսում եմ։
>>hye<< I'm ticklish.	Ես նրբազգաց եմ։
>>hye<< I'm with Tom.	Ես Թոմի հետ եմ։
>>hye<< Is Tom armed?	Թոմը զինվա՞ծ է։
>>hye<< It was white.	Այն սպիտակ էր։
>>hye<< It's my room.	Դա իմ սենյակն է։
>>hye<< It's my room.	Դա սենյակս է։
>>hye<< Just ask Tom.	Պարզապես հարցրեք Թոմին:
>>hye<< Just ask Tom.	Ուղղակի հարցրու Թոմին:
