>>yue<< Fire!	著火啦！
>>yue<< I can't dance.	我跳唔到舞。
>>yue<< I lost my key.	我唔見咗我條鎖匙。
>>yue<< I read a book.	我睇咗一本書。
>>yue<< I want to cry.	我想喊。
>>yue<< I'm a tourist.	我係旅客。
>>yue<< I'm not lucky.	我好黑仔。
>>yue<< I'm on my way.	我嚟緊喇。
>>yue<< It's the cops!	差佬啊！
>>yue<< Let me see it.	俾我睇吓。
>>yue<< No, thank you.	唔使喇，唔該。
>>yue<< Say something.	講啲嘢啦。
>>yue<< Send Tom away.	送Tom走。
>>yue<< Take him away.	帶佢走。
>>yue<< That's enough.	夠喇。
>>yue<< Tom called me.	阿Tom打咗電話畀我。
>>yue<< You all right?	你冇嘢吖嘛？
>>yue<< You're insane.	你癲咗。
>>yue<< Can you cancel?	你可唔可以取消？
>>yue<< Cross the road.	過馬路啦。
>>yue<< Do you love me?	你鍾唔鍾意我㗎？
>>yue<< Don't run here.	唔好喺呢度跑嚟跑去。
>>yue<< Give it a shot.	試吓啦。
>>yue<< How's your job?	你返工返成點呀？
>>yue<< I like reading.	我鍾意睇書。
>>yue<< I made Tom cry.	我整喊咗阿Tom。
>>yue<< I study abroad.	我喺外國讀書。
>>yue<< I'm a newcomer.	我新嚟㗎。
>>yue<< I'm all for it.	我舉腳贊成。
>>yue<< It's dangerous!	危險呀！
>>yue<< It's too small.	太細喇。
>>yue<< May I help you?	有咩幫到你呢？
>>yue<< Say it clearly.	講清楚啲。
>>yue<< She's not here.	佢唔喺度。
>>yue<< That's correct.	啱嘅。
>>yue<< That's obvious.	鬼唔知咩。
>>yue<< The man is old.	個男人好老。
>>yue<< They found out.	佢哋發現咗喇。
>>yue<< They let me go.	佢哋俾我走。
>>yue<< What a big dog!	咁大隻狗嘅！
>>yue<< Yes, of course.	梗係啦。
>>yue<< Ask me tomorrow.	聽日問我啦。
>>yue<< Bring your wife.	帶埋你老婆嚟吖。
>>yue<< Can I borrow it?	可唔可以借嚟呀？
>>yue<< Can I borrow it?	可唔可以借俾我呀？
>>yue<< Close that door.	閂咗道門佢。
>>yue<< Come on, get up.	喂，起身喇。
>>yue<< Come towards me.	埋嚟我到吖。
>>yue<< Do you eat meat?	你食唔食肉㗎？
>>yue<< Don't be afraid.	唔好驚！
>>yue<< Don't be fooled.	唔好上當。
>>yue<< Don't be greedy.	唔好咁貪心啦。
>>yue<< Don't be greedy.	唔好貪。
>>yue<< Don't be stingy.	唔好咁孤寒啦。
>>yue<< Don't come back.	唔好返嚟。
>>yue<< Don't get drunk.	唔好飲醉呀。
>>yue<< Don't harm them.	唔好傷害佢哋。
>>yue<< Don't insult me.	唔好侮辱我。
>>yue<< Don't start yet.	唔好開始住。
>>yue<< Don't swim here.	唔好喺度遊水。
>>yue<< Don't tell them.	唔好話俾佢哋聽。
>>yue<< Double the dose.	加一倍藥量。
>>yue<< Double the dose.	藥量加到兩倍。
>>yue<< Drive carefully.	小心啲揸車。
>>yue<< Get back inside.	入返去。
>>yue<< Has he come yet?	佢嚟咗未呀？
>>yue<< He has two cats.	佢有兩隻貓。
>>yue<< He is well paid.	佢人工好高。
>>yue<< He's a newcomer.	佢新嚟㗎。
>>yue<< He's on his way.	佢嚟緊喇。
>>yue<< Hold the candle.	揸住支蠟燭。
>>yue<< I broke a glass.	我打爛咗個玻璃杯。
>>yue<< I cycle to work.	我踩單車返工。
>>yue<< I felt the same.	我都有咁嘅感覺。
>>yue<< I like this dog.	我鍾意呢隻狗。
>>yue<< I lost the game.	我輸咗場比賽。
>>yue<< I love you, too.	我都好愛你。
>>yue<< I prefer coffee.	我鍾意飲咖啡多啲。
>>yue<< I read his book.	我睇咗佢本書。
>>yue<< I think so, too.	我都係咁諗。
>>yue<< I want a doctor.	我想要醫生。
>>yue<< I want a guitar.	我想要支結他。
>>yue<< I want to sleep.	我想瞓覺。
>>yue<< I've had enough.	我飽喇。
>>yue<< I've had enough.	夠喇。
>>yue<< I've had enough.	我受夠喇。
>>yue<< I've seen worse.	再差嘅我都見過。
>>yue<< Is dinner ready?	食得飯未呀？
>>yue<< It'll grow back.	會生返嘅。
>>yue<< It's almost six.	就嚟六點喇。
>>yue<< It's cold today.	今日好凍。
>>yue<< It's warm today.	今日幾暖。
>>yue<< Let's visit Tom.	不如去探吓阿湯囉。
>>yue<< Merry Christmas!	聖誕節快樂！
>>yue<< No one was hurt.	冇人受傷。
>>yue<< Nobody loves me.	冇人愛我。
>>yue<< She got up late.	佢晏咗起身。
>>yue<< Tell me who won.	話俾我知邊個贏咗。
>>yue<< The book is red.	本書係紅色嘅。
>>yue<< Was that for me?	畀我㗎。
>>yue<< We want to know.	我哋想知。
>>yue<< We're newcomers.	我哋新嚟㗎。
>>yue<< What's going on?	搞咩呀？
>>yue<< Where's my book?	我本書去咗邊呀？
>>yue<< You're reliable.	你好可靠。
>>yue<< Are you new here?	你係咪新嚟㗎？
>>yue<< Aren't you tired?	你哋唔攰咩？
>>yue<< Bring me the key.	畀條鎖匙我。
>>yue<< Did they find it?	咁佢哋搵唔搵到呀？
>>yue<< Do you like rain?	你鍾唔鍾意落雨㗎？
>>yue<< Don't waste time.	唔好浪費時間。
>>yue<< Don't waste time.	唔好嘥時間。
>>yue<< Glad you like it.	你鍾意就好喇。
>>yue<< He has a Picasso.	佢有一幅畢加索嘅畫。
>>yue<< He's always busy.	佢成日都咁忙嘅。
>>yue<< Her bike is blue.	佢架單車係藍色嘅。
>>yue<< Hold on a second.	等我一陣。
>>yue<< How much is that?	嗰個幾錢？
>>yue<< I always eat out.	我餐餐都出街食。
>>yue<< I bought a watch.	我買咗隻錶。
>>yue<< I came by myself.	我自己嚟㗎。
>>yue<< I don't know yet.	我仲未知。
>>yue<< I fed the horses.	我餵咗啲馬。
>>yue<< I jumped for joy.	我開心到彈咗起身。
>>yue<< I read your book.	我讀咗你本書。
>>yue<< I said I'm sorry.	我咪講咗對唔住囉。
>>yue<< I'm still single.	我仲係單身。
>>yue<< It's hard to say.	好難講㗎喎。
>>yue<< Keep the dog out.	唔好俾隻狗入嚟。
>>yue<< Let me try again.	俾我試多次吖。
>>yue<< My nose is itchy.	我個鼻好痕。
>>yue<< My socks are wet.	我對襪濕咗。
>>yue<< Now let me think.	等我諗吓先。
>>yue<< Please sign here.	麻煩你喺呢度簽個名吖。
>>yue<< She is beautiful.	佢好靚。
>>yue<< That couldn't be.	冇可能㗎。
>>yue<< The bill, please.	埋單吖唔該。
>>yue<< The can is empty.	個罐係吉嘅。
>>yue<< This is Room 839.	呢度係839號房。
>>yue<< Tom had no money.	Tom冇錢。
>>yue<< Tom had no money.	Tom嗰陣冇錢。
>>yue<< Tom has no money.	Tom冇錢。
>>yue<< Tom is very good.	阿Tom好勁。
>>yue<< Tom laughed, too.	阿湯都有笑。
>>yue<< We're on our way.	我哋嚟緊喇。
>>yue<< What did you buy?	買咗啲咩呀你？
>>yue<< What did you say?	你講咗咩？
>>yue<< What's happening?	搞咩呀？
>>yue<< Who did you kill?	你殺咗邊個呀？
>>yue<< Who is this girl?	呢個女仔邊個嚟㗎？
>>yue<< Why did you call?	你點解打電話嘅？
>>yue<< You are a doctor.	你係醫生。
>>yue<< You were jealous.	你妒忌。
>>yue<< Are you mad at me?	你嬲我呀？
>>yue<< Can all birds fly?	係咪所有雀仔都識飛㗎？
>>yue<< Can you handle it?	你搞唔搞得掂㗎？
>>yue<< Come and visit us.	來探我等吖！
>>yue<< Do you guys smoke?	你哋食唔食煙㗎？
>>yue<< Do you have a pen?	你有冇筆呀？
>>yue<< Does he live here?	佢係咪喺呢度住㗎？
>>yue<< Everyone is tired.	大家都攰嘞。
>>yue<< Give me that book.	俾嗰本書我。
>>yue<< He does not smoke.	佢唔食煙。
>>yue<< He has a cold now.	佢依家傷風。
>>yue<< He is influential.	佢好有影響力。
>>yue<< He is still angry.	佢仲嬲緊。
>>yue<< He keeps his word.	佢講得出就做得到。
>>yue<< He may come today.	佢今日可能會嚟。
>>yue<< He obviously lied.	佢擺明講大話。
>>yue<< He ordered a beer.	佢嗌咗杯啤酒。
>>yue<< He will come soon.	佢好快就會嚟㗎喇。
>>yue<< He wrote a letter.	佢寫咗封信。
>>yue<< He's not an idiot.	佢唔係傻仔。
>>yue<< He's not an idiot.	佢唔係傻㗎。
>>yue<< He's not an idiot.	佢唔係白癡。
>>yue<< He's swimming now.	佢而家游緊水。
>>yue<< Here's an example.	舉個例啦。
>>yue<< Here's some water.	呢度有啲水。
>>yue<< How could this be?	有冇搞錯啊。
>>yue<< How was your trip?	你去旅行去成點呀？
>>yue<< I beg your pardon?	咩話？
>>yue<< I can't sit still.	我坐唔定。
>>yue<< I cried all night.	我喊咗成晚。
>>yue<< I did all I could.	我盡晒人事㗎喇。
>>yue<< I did all I could.	我做到嘅都做咗㗎喇。
>>yue<< I did all I could.	我盡晒全力㗎喇。
>>yue<< I forgot his name.	我唔記得咗佢叫咩名。
>>yue<< I hope to make it.	我希望做到。
>>yue<< I like my friends.	我好鍾意我班朋友。
>>yue<< I never drink tea.	我唔飲茶。
>>yue<< I owe him 100 yen.	我爭佢一百円。
>>yue<< I rarely eat meat.	我好少食肉。
>>yue<< I saw Tom come in.	我睇住Tom入嚟。
>>yue<< I saw him running.	我見到佢喺度跑步。
>>yue<< I want some water.	我想飲水呀。
>>yue<< I wish I were you.	你就好啦。
>>yue<< I woke up at 6:30.	我六點半起咗身。
>>yue<< I'll walk you out.	我陪你出去吖。
>>yue<< I'm feeling dizzy.	我個頭好暈。
>>yue<< I'm not ready yet.	我仲未準備好。
>>yue<< I'm on my way out.	我出緊嚟。
>>yue<< Is this hat yours?	呢頂帽係咪你㗎？
>>yue<< It depends on you.	睇你㗎咋。
>>yue<< It's easy to sing.	唱歌好易。
>>yue<< It's on the table.	佢喺張檯度。
>>yue<< It's on the table.	喺張檯度。
>>yue<< Let me take a nap.	等我瞌一陣先。
>>yue<< May I take a rest?	我可唔可以抖陣呀？
>>yue<< She began to sing.	佢開始唱歌。
>>yue<< She must go there.	佢一定要去嗰度。
>>yue<< She must go there.	佢需要過去。
>>yue<< The pain has gone.	唔痛喇。
>>yue<< This is important.	重要。
>>yue<< Tom is on his way.	阿Tom嚟緊喇。
>>yue<< Tom is optimistic.	阿Tom份人好樂觀。
>>yue<< What's that sound?	咩聲嚟？
>>yue<< What's your major?	你maj咩㗎？
>>yue<< When are you free?	你幾時得閒呀？
>>yue<< When was she born?	佢幾時出世㗎？
>>yue<< Where are you now?	你哋而家喺邊？
>>yue<< Where is the pain?	邊度痛呀？
>>yue<< Where's Australia?	澳洲喺邊度㗎？
>>yue<< Who is that woman?	嗰個女人係邊個嚟㗎？
>>yue<< Who told you that?	邊個同你講㗎？
>>yue<< Who told you that?	邊個話俾你聽㗎？
>>yue<< Why are you alone?	你做咩一個人呀？
>>yue<< Why are you going?	去邊啊你？
>>yue<< Would that be Tom?	會唔會係阿湯呢？
>>yue<< Wow! That's cheap!	嘩！咁抵？！
>>yue<< You have to hurry.	你要趕喇喎。
>>yue<< You may go in now.	你而家可以入去喇。
>>yue<< You shouldn't lie.	你唔應該講大話。
>>yue<< You sound nervous.	你聽落去幾緊張噃。
>>yue<< Your book is here.	你本書喺呢度。
>>yue<< Anyone can do that.	係人都做到啦。
>>yue<< Can you keep quiet?	你可唔可以靜少少啫？
>>yue<< Can you read music?	你識唔識睇譜㗎？
>>yue<< Do you know French?	識唔識法文啊？
>>yue<< Do you smell smoke?	你聞唔聞到有浸煙味？
>>yue<< Do you want to eat?	你想唔想食嘢呀？
>>yue<< Don't laugh at him.	唔好笑佢啦。
>>yue<< Don't throw stones.	唔好掟石頭。
>>yue<< Get me up at eight.	唔該你八點叫我起身吖。
>>yue<< He is a fishmonger.	佢開魚檔嘅。
>>yue<< He is a fishmonger.	佢劏魚嘅。
>>yue<< He is playing golf.	佢喺度打緊哥爾夫球。
>>yue<< He sat next to her.	佢坐咗喺佢隔籬。
>>yue<< Help is on the way.	有人嚟緊幫手㗎喇。
>>yue<< Here are your keys.	嗱，鎖匙。
>>yue<< I almost forgot it.	我爭啲唔記得咗。
>>yue<< I bought a new bag.	我買咗個新袋。
>>yue<< I can barely stand.	我連企都唔係好企得穩。
>>yue<< I can't forget her.	我忘記唔到佢。
>>yue<< I can't let you go.	我無得畀你走。
>>yue<< I don't have a cat.	我冇養貓。
>>yue<< I don't need a nap.	我唔使瞓晏覺。
>>yue<< I have no appetite.	我冇胃口。
>>yue<< I heard everything.	我咩都聽到晒。
>>yue<< I heard explosions.	我聽到爆炸聲。
>>yue<< I love your accent.	我好鍾意你個口音。
>>yue<< I made my decision.	我已經決定咗喇。
>>yue<< I taught in Boston.	我喺波士頓教書。
>>yue<< I was expecting it!	我一路期待緊㗎喇！
>>yue<< I'm about to leave.	我就快走喇。
>>yue<< I'm afraid of owls.	我好驚貓頭鷹。
>>yue<< I'm good at my job.	我做嘢得心應手。
>>yue<< I'm in a good mood.	我心情好靚。
>>yue<< I'm not a magician.	我唔係魔術師。
>>yue<< I'm your boyfriend.	我係你男朋友。
>>yue<< I'm your boyfriend.	我係你條仔。
>>yue<< I've heard nothing.	我咩都聽唔到喎。
>>yue<< Ignorance is bliss.	有啲嘢唔知好過知。
>>yue<< Is breakfast ready?	早餐準備好未呀？
>>yue<< Is this your house?	呢間係咪你間屋？
>>yue<< It is almost three.	就快三點喇。
>>yue<< It's not important.	唔重要㗎！
>>yue<< My brother is rich.	我阿哥好有錢。
>>yue<< My brother is rich.	我細佬好有錢。
>>yue<< Nobody walks in LA.	喺LA冇人行㗎。
>>yue<< Please go help Tom.	請你去幫阿湯啦。
>>yue<< Please go help Tom.	求吓你去幫阿湯啦。
>>yue<< That doll is scary.	嗰個公仔好恐怖。
>>yue<< That job paid well.	嗰份工人工好高。
>>yue<< The boy is jumping.	嗰男仔跳緊。
>>yue<< The car hit a wall.	架車撞咗埋牆。
>>yue<< The horse ran fast.	隻馬跑得好快。
>>yue<< This house is mine.	呢間屋係我嘅。
>>yue<< Tom didn't give up.	Tom冇放棄。
>>yue<< Tom has three dogs.	Tom 有三隻狗。
>>yue<< Tom is really good.	Tom真係好好。
>>yue<< Tom is really good.	Tom真係好勁。
>>yue<< Tom isn't here yet.	Tom未到。
>>yue<< Tom won't buy that.	阿湯唔會買嗰個囉！
>>yue<< Tomorrow is Sunday.	聽日係星期日。
>>yue<< Was the movie good?	套戲好唔好睇呀？
>>yue<< We are watching TV.	我哋喺度睇緊電視。
>>yue<< We don't want pork.	我等唔要豬肉。
>>yue<< We need to find it.	我哋要搵佢。
>>yue<< We really miss Tom.	我哋真係好掛住阿Tom。
>>yue<< We were both tired.	大家都攰嘞。
>>yue<< When will it begin?	幾時開始㗎？
>>yue<< Where can I buy it?	我喺邊度可以買到？
>>yue<< Where can I buy it?	邊度有得買呀？
>>yue<< Where does he live?	佢屋企喺邊？
>>yue<< Where does he live?	佢住喺邊？
>>yue<< Where's the toilet?	廁所喺邊？
>>yue<< Where's the toilet?	廁所喺邊啊？
>>yue<< Why are you crying?	你做咩喊呀？
>>yue<< Will you help them?	你會唔會幫佢哋？
>>yue<< Won't you sit down?	你唔坐呀？
>>yue<< You did a good job.	你做得好好。
>>yue<< You did not say so.	你以前唔係噉講㗎喎。
>>yue<< You need to resign.	你需要辭職。
>>yue<< You were in danger.	你頭先好危險呀
>>yue<< You'll regret this.	你一定會後悔㗎。
>>yue<< You're a great kid.	叻仔！
>>yue<< Your place or mine?	你屋企定我屋企？
>>yue<< Are you still angry?	你仲嬲緊呀？
>>yue<< Bunnies are so cute.	兔仔真係太可愛喇。
>>yue<< Do you approve that?	你批唔批嗰個啊？
>>yue<< Do you like singing?	你鍾唔鍾意唱歌？
>>yue<< Do you like to sing?	你鍾唔鍾意唱歌？
>>yue<< Do you speak French?	你識唔識講法文㗎？
>>yue<< Does she play piano?	佢識唔識彈鋼琴㗎？
>>yue<< Excuse me, I'm lost.	唔好意思，我蕩失咗路。
>>yue<< Get a room, you two.	盲喇。
>>yue<< Give me back my bag.	俾返個袋我。
>>yue<< Give that cat to us.	畀隻貓我等。
>>yue<< Guess how tall I am.	你估吓我有幾高？
>>yue<< He always says that.	佢成日都咁講。
>>yue<< He crossed his legs.	佢翹埋對腳。
>>yue<< He was hit by a car.	渠畀車撞。
>>yue<< Her bicycle is blue.	佢架單車係藍色嘅。
>>yue<< His family is large.	佢屋企好多人。
>>yue<< How was the concert?	個演唱會點呀？
>>yue<< How was your summer?	夏天過成點呀？
>>yue<< I arrived too early.	我太早到。
>>yue<< I can't do anything.	我咩都做唔到。
>>yue<< I can't draw a bird.	我唔識畫雀仔。
>>yue<< I decided not to go.	我決定唔去。
>>yue<< I didn't do a thing.	我乜都冇做。
>>yue<< I don't like coffee.	我唔鍾意飲咖啡。
>>yue<< I forgot to ask him.	我唔記得問佢添。
>>yue<< I got married again.	我又結咗婚喇。
>>yue<< I have but one wish.	我淨係得一個心願。
>>yue<< I like light colors.	我鍾意啲淺啲嘅色。
>>yue<< I must be on my way.	我要行喇。
>>yue<< I wanna quit my job.	我想辭咗份工佢。
>>yue<< I wanna quit my job.	我唔想撈喇。
>>yue<< I want to stay here.	我想留喺到呀。
>>yue<< I'd better go study.	我應該去讀下書。
>>yue<< I'll drive you home.	我揸車送你返屋企啦。
>>yue<< I'll let you decide.	我俾你決定啦。
>>yue<< I'm a biology major.	我主修生物。
>>yue<< I'm also unemployed.	我都失業。
>>yue<< I'm dying of thirst.	我口渴到死。
>>yue<< I'm not good enough.	我未夠勁。
>>yue<< I'm still in school.	我仲讀緊書。
>>yue<< I'm waiting for him.	我等緊佢。
>>yue<< Is it far from here?	離呢到遠唔遠㗎？
>>yue<< It's the same thing.	咪一樣嘅嘢。
>>yue<< It's the same thing.	一樣嘅嘢嚟。
>>yue<< Let's tidy the desk.	執下張書檯囉。
>>yue<< May I say something?	我可唔可以講兩句呀？
>>yue<< My sister is pretty.	我阿妹好靚。
>>yue<< Nobody can stop Tom.	冇人可以阻止Tom。
>>yue<< Now it's your serve.	到你開波喇。
>>yue<< Old habits die hard.	本性難移。
>>yue<< Old habits die hard.	江山易改，本性難移。
>>yue<< She can't cook well.	佢唔係好識煮飯。
>>yue<< Tell her to call me.	叫佢打電話俾我。
>>yue<< That's just a guess.	估估吓㗎咋。
>>yue<< The button came off.	粒鈕甩咗出嚟。
>>yue<< The house is pretty.	間屋好靚㗎！
>>yue<< The kids are scared.	啲小朋友好驚。
>>yue<< The street was dark.	條街好暗。
>>yue<< They don't eat meat.	佢哋唔食肉。
>>yue<< This is Greek to me.	我完全睇唔明。
>>yue<< Tom decided to stay.	Tom決定咗留低。
>>yue<< Tom is pretty heavy.	阿Tom都幾重吓。
>>yue<< Tom is taking a nap.	阿Tom瞓緊晏覺。
>>yue<< Tom joined our team.	阿湯入咗我等隊。
>>yue<< Tom will get killed.	Tom會被人殺。
>>yue<< Tom will get killed.	Tom會死。
>>yue<< Tom's desk is messy.	阿湯張檯好亂。
>>yue<< We sat in the front.	我哋坐咗喺前排。
>>yue<< We're short on time.	我哋冇乜時間淨喇。
>>yue<< We're short on time.	我哋唔夠時間喇。
>>yue<< What was that noise?	咩聲嚟㗎？
>>yue<< What was that sound?	咩聲嚟㗎？
>>yue<< Where are you going?	去邊啊你？
>>yue<< Where is the toilet?	廁所喺邊呀？
>>yue<< Where is the toilet?	洗手間喺邊？
>>yue<< Where is the toilet?	廁所喺邊？
>>yue<< Which book is yours?	邊本書係你㗎？
>>yue<< Who broke the plate?	邊嗰打爛隻碟？
>>yue<< Whose idea was this?	邊個提議㗎？
>>yue<< Why didn't you come?	你做咩無嚟到嘅？
>>yue<< Why do you say that?	你點解咁講嘅？
>>yue<< Why do you think so?	你點解咁諗嘅？
>>yue<< You look very tired.	你好似好攰咁喎。
>>yue<< You've been demoted.	你畀人燉冬菇。
>>yue<< Are you free tonight?	你今晚得唔得閒呀？
>>yue<< Can I turn on the TV?	你介唔介意我開電視呀？
>>yue<< Can you ride a horse?	你識唔識騎馬㗎？
>>yue<< Cattle feed on grass.	牛食草。
>>yue<< Come home before six.	六點之前好返屋企喇。
>>yue<< Do you have a pencil?	你有冇鉛筆呀？
>>yue<< Do you have any pets?	你有冇養寵物㗎？
>>yue<< Do you live in Tokyo?	你係咪喺東京住㗎？
>>yue<< Do you speak English?	你識唔識講英文㗎？
>>yue<< Don't you have a key?	乜你無鎖匙咩？
>>yue<< Dublin is in Ireland.	都柏林喺愛爾蘭。
>>yue<< Everyone looks tired.	個個都攰嘞。
>>yue<< Get that book for me.	攞嗰本書俾我吖。
>>yue<< He did nothing wrong.	佢無做錯。
>>yue<< He gets tired easily.	佢好易攰。
>>yue<< He laid down the gun.	佢放低咗枝槍。
>>yue<< He will be back soon.	佢好快就會返嚟㗎喇。
>>yue<< How did your test go?	你測驗測成點呀？
>>yue<< How much is this tie?	呢條呔幾多錢呀？
>>yue<< I am fond of reading.	我鍾意睇書。
>>yue<< I am terribly hungry.	我真係好肚餓。
>>yue<< I am terribly hungry.	我餓死喇。
>>yue<< I believe that story.	我信嗰個故事。
>>yue<< I bought a small car.	我買咗架細車。
>>yue<< I broke your ashtray.	我打爛咗你個煙灰缸。
>>yue<< I can tell you later.	我遲啲話你知。
>>yue<< I can't speak French.	我唔識講法文。
>>yue<< I don't like dancing.	我唔鍾意跳舞。
>>yue<< I have a sore throat.	我喉嚨痛。
>>yue<< I have a stomachache.	我個肚好痛。
>>yue<< I have read the book.	我睇咗本書喇。
>>yue<< I like reading books.	我鍾意睇書。
>>yue<< I love reading books.	我鍾意睇書。
>>yue<< I love the questions.	我好鍾意啲問題。
>>yue<< I made a paper plane.	我摺咗隻紙飛機。
>>yue<< I met Tom on the way.	我途中撞到阿Tom。
>>yue<< I miss you very much.	我好掛住你。
>>yue<< I must say something.	我一定要講啲嘢。
>>yue<< I must say something.	我一定要搵啲嘢嚟講。
>>yue<< I need a few minutes.	俾幾分鐘時間我。
>>yue<< I think I understand.	我諗我明㗎喇。
>>yue<< I think you panicked.	我覺得你驚咗。
>>yue<< I want to take a nap.	我想瞓晏覺。
>>yue<< I want to take a nap.	我想瞌一陣。
>>yue<< I want to take a nap.	我想瞌返陣。
>>yue<< I wish you were here.	如果你喺到就好喇。
>>yue<< I'll buy you a drink.	我請你飲嘢吖。
>>yue<< I'm feeling stressed.	我覺得好大壓力。
>>yue<< Is she a taxi driver?	佢係咪的士司機嚟㗎？
>>yue<< It's a difficult job.	份工唔易做㗎。
>>yue<< It's a difficult job.	份工都幾辛苦吓㗎。
>>yue<< Kids grow up so fast.	啲細路真係大得好快。
>>yue<< Let me take you home.	我送你返屋企啦。
>>yue<< Let's go by taxi, OK?	我哋搭的士去啦，好冇？
>>yue<< Let's go by taxi, OK?	我哋飛的去啦，好冇？
>>yue<< Let's go out tonight?	我哋今晚出街吖？
>>yue<< My camera was stolen.	我部相機俾人撻咗。
>>yue<< My sister is a nurse.	我呀妹係護士。
>>yue<< No one will hurt you.	冇人會傷害你。
>>yue<< No one would help me.	冇人幫我。
>>yue<< No, I don't think so.	我唔覺得係。
>>yue<< No, I don't think so.	我唔覺得係噉。
>>yue<< Our store isn't open.	我哋間舖頭閂咗門。
>>yue<< Please help yourself.	隨便食吖。
>>yue<< Please open the door.	唔該你打開道門吖。
>>yue<< She gets up at seven.	佢朝頭早七點起咗身。
>>yue<< She is never on time.	佢冇一次係準時㗎。
>>yue<< She is never on time.	佢次次都遲到。
>>yue<< She was hit by a car.	渠畀車撞。
>>yue<< That changes nothing.	噉改變唔到任何嘢。
>>yue<< That won't cost much.	嗰樣嘢唔會好貴嘅。
>>yue<< There's no hot water.	無熱水噃。
>>yue<< They aren't my books.	呢啲書唔係我嘅。
>>yue<< They're fast runners.	佢哋跑得好快。
>>yue<< They're on their way.	佢哋嚟緊喇。
>>yue<< They've been trained.	佢哋受過訓練。
>>yue<< This knife cuts well.	呢把刀好利。
>>yue<< Those books are mine.	啲書我㗎。
>>yue<< Tom can't come today.	阿湯今日來唔到。
>>yue<< Tom had three drinks.	阿湯飲咗三杯嘢飲。
>>yue<< Tom is very handsome.	阿Tom好靚仔。
