>>sqi<< Smile.	Buzëqesh.
>>sqi<< Call me, please.	Më telefono, të lutem.
>>sqi<< I was a teacher.	Unë isha mësues.
>>sqi<< Is Tom a member?	A është Tomi anëtar?
>>sqi<< Let me help you.	Më ler të të ndihmoj.
>>sqi<< Merry Christmas!	Gëzuar Krishtlindjet.
>>sqi<< Please continue.	Të lutem vazhdo.
>>sqi<< Please continue.	Ju lutem vazhdoni.
>>sqi<< She disappeared.	Ajo u zhduk.
>>sqi<< They're working.	Ata po punojnë.
>>sqi<< This is my wife.	Kjo është gruaja ime.
>>sqi<< Tom disappeared.	Tomi u zhduk.
>>sqi<< Write something.	Shkruaj diçka.
>>sqi<< Everyone laughed.	Të gjithë qeshën.
>>sqi<< How embarrassing!	Sa e turpshme!
>>sqi<< I am from Russia.	Jam nga Rusia.
>>sqi<< I can handle Tom.	Mund ta përballoj Tomin.
>>sqi<< I can handle Tom.	Unë mund të merrem me Tomin.
>>sqi<< I have a brother.	Kam një vëlla.
>>sqi<< I like languages.	Më pëlqejnë gjuhët.
>>sqi<< I like this city.	Më pëlqen ky qytet.
>>sqi<< I won't need you.	Nuk do të kem nevojë për ty.
>>sqi<< I work as a cook.	Punoj si kuzhinier.
>>sqi<< Listen carefully.	Dëgjo me kujdes.
>>sqi<< Nothing happened.	Asgjë nuk ndodhi.
>>sqi<< Pass me the salt.	Ma kalo mua kripen.
>>sqi<< They're teachers.	Janë mësues.
>>sqi<< This was my idea.	Kjo ishte ideja ime.
>>sqi<< Tom usually wins.	Tomi zakonisht fiton.
>>sqi<< Champagne, please.	Shampanjë, të lutem.
>>sqi<< Everybody laughed.	Të gjithë qeshën.
>>sqi<< Good morning, Tom.	Miremengjes, Tom.
>>sqi<< I had a good idea.	Unë kisha një ide e mirë.
>>sqi<< I'm Tom's dentist.	Unë jam dentisti i Tomit.
>>sqi<< It's for tourists.	Është për turistë.
>>sqi<< Make something up.	Shpik ndonjë gjë.
>>sqi<< Tom vowed revenge.	Tomi u betua për hakmarrje.
>>sqi<< I have one brother.	Kam një vëlla.
>>sqi<< I want to kiss you.	Une dua te te puthe.
>>sqi<< It could be a trap.	Mund të jetë një kurthë.
>>sqi<< It's not effective.	Nuk është efektive.
>>sqi<< My glass was dirty.	Gota ime është e papastër.
>>sqi<< See what Tom wants.	Shiko çfarë do Tomi.
>>sqi<< Something happened.	Diçka ndodhi.
>>sqi<< Tom agreed to help.	Tomi u pajtua të ndihmonte.
>>sqi<< We can't stop here.	Nuk mund te ndalojmë ketu.
>>sqi<< When will this end?	Kur do të përfundojë kjo?
>>sqi<< Who is your lawyer?	Kush është avokati yt?
>>sqi<< Athens is in Greece.	Athina është në Greqi.
>>sqi<< He lives in England.	Ai jeton në Angli.
>>sqi<< How were you caught?	Si u zure?
>>sqi<< I live close to Tom.	Jetoj afër Tomit.
>>sqi<< I sometimes stutter.	Ndonjehere me mbahet goja.
>>sqi<< I sometimes stutter.	Mua ndonjehere me mbahet goja.
>>sqi<< I sometimes stutter.	Ndonjehere me merret goja.
>>sqi<< I sometimes stutter.	Mua ndonjehere me merret goja.
>>sqi<< I'm very hungry now.	Jam shumë e uritur tani.
>>sqi<< I'm very hungry now.	Jam shumë i uritur tani.
>>sqi<< It's being repaired.	Është duke u rregulluar.
>>sqi<< Let's start at 2:30.	Le të fillojmë në 2:30.
>>sqi<< Tell us who you are.	Na tregoni se kush jeni ju.
>>sqi<< Tom isn't a student.	Tomi nuk është student.
>>sqi<< You are lying to me.	Ti po më gënjen.
>>sqi<< How is that possible?	Si është e mundur ajo?
>>sqi<< I bought an umbrella.	Bleva një çadër.
>>sqi<< I just cracked a rib.	Sapo theva një brinjë.
>>sqi<< I respect your views.	I respektoj pikëpamjet tuaja.
>>sqi<< I was really unlucky.	Isha vertete shume pa fat.
>>sqi<< I was really unlucky.	Une isha vertete shume pa fat.
>>sqi<< I was really unlucky.	Isha vertete shume i pafat.
>>sqi<< I was really unlucky.	Une isha vertete shume i pafat.
>>sqi<< Iceland is an island.	Islanda është një ishull.
>>sqi<< Nicotine is a poison.	Nikotina është helm.
>>sqi<< The property is mine.	Prona është e imja.
>>sqi<< Tom is eating a pear.	Tomi po ha një dardhë.
>>sqi<< Tom was busy all day.	Tomi ishte i zënë tërë ditën.
>>sqi<< We haven't lost much.	Nuk kemi humbur shumë.
>>sqi<< When did you go home?	Kur shkove në shtëpi?
>>sqi<< When did you go home?	Kur shkuat në shtëpi?
>>sqi<< Africa is a continent.	Afrika është një kontinent.
>>sqi<< Are you the new nanny?	A je ti dadoja e re?
>>sqi<< Both of you are wrong.	Të dy e keni gabim.
>>sqi<< Do you want an orange?	Dëshiron një portokall?
>>sqi<< I can hardly hear you.	Të dëgjoj me vështirsi.
>>sqi<< I made tea last night.	Bëra çaj mbrëmë.
>>sqi<< I want to go to sleep.	Dua të shkoj të fle.
>>sqi<< I work for McDonald's.	Punoj për McDonald's.
>>sqi<< Let's clear the table.	Le të pastrojmë tavolinën.
>>sqi<< May I leave a message?	Mund të lë një mesazh?
>>sqi<< Tom folded the letter.	Tomi palosi letren.
>>sqi<< Tom folded the letter.	Tomi e palosi letren.
>>sqi<< We don't have answers.	Nuk kemi përgjigje.
>>sqi<< What language is this?	Çfarë gjuhë është kjo?
>>sqi<< You need to be strong.	Duhet të jesh e fortë.
>>sqi<< You really are a jerk.	Ti vërtetë je trap.
>>sqi<< Better late than never.	Me mire vone se kurr.
>>sqi<< Cats usually hate dogs.	Zakonisht macet urrejnë qentë.
>>sqi<< Everybody loves my cat.	Të gjithë e duan macen time.
>>sqi<< I can't make Tom happy.	Nuk mund ta bëj të lumtur Tomin.
>>sqi<< I don't like fireworks.	Nuk më pëlqejnë fishekzjarret.
>>sqi<< I looked in the mirror.	Shikova në pasqyrë.
>>sqi<< No one was in the room.	Askush nuk ishte në dhomë.
>>sqi<< Please open the window.	Të lutem hape dritaren.
>>sqi<< Tom has hired a lawyer.	Tomi ka punësuar një avokat.
>>sqi<< Tom paid his bill late.	Tomi pagoi faturën e tij vonë.
>>sqi<< We shouldn't lose hope.	Nuk duhet të humbasim shpresën.
>>sqi<< Who's this message for?	Për kë është ky mesazh?
>>sqi<< Will Tom be here today?	Do të jetë Tomi këtu sot?
>>sqi<< You know it's not true.	Ti e di që nuk është e vërtetë.
>>sqi<< You know it's not true.	Ju e dini që nuk është e vërtetë.
>>sqi<< Are they laughing at me?	Po qeshin me mua?
>>sqi<< Are they laughing at me?	A po qeshin ata me mua?
>>sqi<< Either Tom goes or I go.	Ose shkon Tomi ose shkoj unë.
>>sqi<< He is a medical student.	Ai është student i mjekësisë.
>>sqi<< He speaks ten languages.	Ai flet dhjetë gjuhë.
>>sqi<< I felt like I would die.	Ndjeva sikur do të vdisja.
>>sqi<< I still believe in love.	Akoma besoj në dashuri.
>>sqi<< I'm watching television.	Unë po shikoj në televizor.
>>sqi<< Tom might be doing that.	Tomi duhet te jete duke e bere kete.
>>sqi<< We were extremely lucky.	Ishim jashtezakonisht shume me fat.
>>sqi<< You can sit in my chair.	Mund të ulesh në karrigen time.
>>sqi<< He speaks five languages.	Ai flet pesë gjuhë.
>>sqi<< I appreciate your candor.	E vlerësoj përkushtimin tënd.
>>sqi<< I gave some books to Tom.	I dhashë disa libra Tomit.
>>sqi<< I told Tom we're friends.	I thashë Tomit që jemi miq.
>>sqi<< Is Tom's illness serious?	Është sëmundja e Tomit serioze?
>>sqi<< Is Tom's illness serious?	Është serioze sëmundja e Tomit?
>>sqi<< It's a beautiful picture.	Është fotografi e bukur.
>>sqi<< Latin is a dead language.	Latinishtja është gjuhë e vdekur.
>>sqi<< She speaks ten languages.	Ajo flet dhjetë gjuhë.
>>sqi<< The house belongs to him.	Shtëpia i përket atij.
>>sqi<< There's another solution.	Ka një zgjidhje tjetër.
>>sqi<< Tom had a really bad day.	Tomi pati një ditë vërtetë të keqe.
>>sqi<< Tom is working at a bank.	Tomi po punon në një bankë.
>>sqi<< Tom knew I was skeptical.	Tomi e dinte që isha skeptik.
>>sqi<< What was Tom looking for?	Çfarë po kërkonte Tomi?
>>sqi<< Where are you hiding now?	Ku je duke u fshehur tani?
>>sqi<< Who do you think you are?	Kush mendon se je?
>>sqi<< You don't know the truth.	Ju nuk e dini të vërtetën.
>>sqi<< You need to study harder.	Ju dueht te studioni shum.
>>sqi<< Are there any hidden fees?	A ka këtu ndonjë pagesë të fshehur?
>>sqi<< Don't forget to buy bread.	Mos harro të blesh bukë.
>>sqi<< Don't forget to buy bread.	Mos harroni të bleni bukë.
>>sqi<< Everybody was out of town.	Të gjithë ishin jashtë qytetit.
>>sqi<< I like learning languages.	Mua më pëlqen të mësoj gjuhë.
>>sqi<< I'm not holding my breath.	Nuk jam duke mbajtur frymën.
>>sqi<< Is your homework finished?	Ke kryer detyrat e shtëpisë?
>>sqi<< They said they're thirsty.	Thanë që janë të etur.
>>sqi<< Tom attends public school.	Tomi shkon në shkollë publike.
>>sqi<< Tom doesn't need anything.	Tomi nuk ka nevojë për asgjë.
>>sqi<< Tom is stronger than I am.	Tomi është më i fortë se unë.
>>sqi<< Tom learned sign language.	Tomi mësoi gjuhën e shenjave.
>>sqi<< Tom said that it was true.	Tomi tha që ishte e vërtetë.
>>sqi<< Tom saw a lion at the zoo.	Tomi pa një luan në kopshtin zoologjik.
>>sqi<< Tom speaks many languages.	Tomi flet shumë gjuhë.
>>sqi<< What else are they hiding?	Çfarë tjetër janë duke fshehur ata?
>>sqi<< What was your final score?	Cili ishte rezultati yt final?
>>sqi<< Where has Tom been hiding?	Ku ka qenë duke u fshehur Tomi?
>>sqi<< You aren't a spy, are you?	Ti nuk je spiun, apo jo?
>>sqi<< Can I see the menu, please?	Mund ta shoh menunë, ju lutem?
>>sqi<< He was elected mayor again.	Ai u zgjodh kryebashkiak përsëri.
>>sqi<< He will make a good doctor.	Ai do të bëhet një doktor i mirë.
>>sqi<< I don't have your strength.	Unë nuk kam forcën tuaj.
>>sqi<< I expected better from you.	Prisja më shumë nga ti.
>>sqi<< I think I've broken my leg.	Mendoj se kam thyer këmbën.
>>sqi<< I thought Tom was sleeping.	Mendova se Tomi po flinte.
>>sqi<< I understand your language.	Unë e kuptoj gjuhën tënde.
>>sqi<< Somebody needs to hire Tom.	Dikush duhet që ta punësojë Tomin.
>>sqi<< Tell me where Tom has gone.	Më trego ku ka shkuar Tomi.
>>sqi<< The books are on the bench.	Librat janë mbi bankë.
>>sqi<< Tom has been through a lot.	Tomi ka kaluar shume veshtiresi.
>>sqi<< Why is Tom still at school?	Pse është ende në shkollë Tomi?
>>sqi<< I know that this is strange.	E di që kjo është e rëndë.
>>sqi<< I should've eaten breakfast.	Duhet të kisha ngrënë mëngjes.
>>sqi<< I was born in this hospital.	Unë kam lindur në këtë spital.
>>sqi<< I'm not going to sing today.	Unë nuk do të këndoj sot.
>>sqi<< I'm not hiding from anybody.	Nuk jam duke u fshehur nga ndonjëri.
>>sqi<< There's been change of plan.	Ka pasur një ndryshim të planit.
>>sqi<< Tom is a high school senior.	Tomi eshte ne vit te katert te gjimnazit.
>>sqi<< Tom told me I should resign.	Tomi me tha qe duhet te jap doreheqjen.
>>sqi<< Tom told me I should resign.	Tomi me tha qe eshte me mire te jap doreheqjen.
>>sqi<< Tom walks three miles a day.	Tomi ec tre milje në ditë.
>>sqi<< We're upset about this loss.	Jemi të mërzitur për këtë humbje.
>>sqi<< Will it be a difficult exam?	Do të jetë një provim i vështirë ?
>>sqi<< French is her first language.	Frëngjishtja është gjuha e saj e parë.
>>sqi<< I have to get a new computer.	Kam nevojë për një kompjutër të ri.
>>sqi<< I want to tell you something.	Dua të ju them diçka.
>>sqi<< It's not his idea, it's mine.	Nuk është ideja e tij, është e imja.
>>sqi<< The town is full of tourists.	Qyteti është plot me turistë.
>>sqi<< Tom is probably still hiding.	Tomi me shumë mundësi akoma është duke u fshehur.
>>sqi<< Tom wrote the note in French.	Tomi shkroi një shënim në frëngjisht.
>>sqi<< I want to become an astronaut.	Dua të bëhem astronaut.
>>sqi<< Prussian is a Baltic language.	Prusishtja është gjuhë baltike.
>>sqi<< Tom told Mary to stay at home.	Tomi i tha Merit te qendroje ne shtepi.
>>sqi<< We watched fireworks together.	Ne shikuam fishekzjarret së bashku.
>>sqi<< What languages does Tom speak?	Çfarë gjuhë flet Tomi?
>>sqi<< Your book has changed my life.	Libri yt më ka ndryshuar jetën.
>>sqi<< English is a Germanic language.	Anglishtja është gjuhë gjermanike.
>>sqi<< French is a difficult language.	Frëngjishtja është gjuhë e vështirë.
>>sqi<< I can understand your language.	Mund ta kuptoj gjuhën tënde.
>>sqi<< I want to say something to you.	Dua të ju them diçka.
>>sqi<< Keep in mind that you must die.	Mbaje ne mend qe ju mund te vdisni.
>>sqi<< Most Americans liked Roosevelt.	Shumica e amerikaneve e pelqejne Rusveltin.
>>sqi<< Romania's capital is Bucharest.	Kryeqyteti i Rumanisë është Bukureshti.
>>sqi<< This box will serve as a table.	Kjo kuti do të shërbejë si tavolinë.
>>sqi<< Tom doesn't know what he'll do.	Tomi nuk e di se çfarë do të bëjë.
>>sqi<< Tom is a human rights activist.	Tomi është aktivist për të drejtat e njeriut.
>>sqi<< Tom is going to end up in jail.	Tomi do të përfundojë në burg.
>>sqi<< What do you think of my theory?	Çfarë mendon për teorinë time?
>>sqi<< What's wrong with this picture?	Çfarë nuk shkon me këtë fotografi?
>>sqi<< I always thought that was weird.	Gjithmonë kam menduar që ajo ishte e çuditshme.
>>sqi<< I will see him after I get back.	Do ta shoh ate pasi te kthehem.
>>sqi<< I've requested political asylum.	Kam kërkuar azil politik.
>>sqi<< Slaves were considered property.	Skllevërit konsideroheshin pronë.
>>sqi<< That sounds strange, doesn't it?	Tingëllon e çuditshme, apo jo?
>>sqi<< Tom cut down a tree in his yard.	Tomi preu nje peme ne kopshtin e tij.
>>sqi<< What language are they speaking?	Çfarë gjuhë po flasin ata?
>>sqi<< Your kiss is sweeter than honey.	Puthja juaj eshte me e embel se mjalta.
>>sqi<< Can you explain it to me, please?	Mund të ma shpjegosh të lutem.
>>sqi<< Give me liberty or give me death.	Me jep mua lirine ose me jep vdekjen.
>>sqi<< Have you completed your homework?	I ke kompletuar detyrat e shtëpisë?
>>sqi<< He died from the cold last night.	Ai vdiq nga i ftohti mbrëmë.
>>sqi<< I love you more than you love me.	Unë te dua me shumë seç më do ti mua.
>>sqi<< I never thought it would be easy.	Nuk e kisha menduar kurrë që do të ishte e lehtë.
>>sqi<< Mary broke up with her boyfriend.	Maria u nda me të dashurin.
>>sqi<< There exists only one option now.	Tani egziston vetëm nje mundësi.
>>sqi<< They had had that problem before.	Ata e kishin kete problem me perpara.
>>sqi<< Tom and Mary have only one child.	Tomi dhe Maria kanë vetëm një fëmijë.
>>sqi<< Tom is here to help us, isn't he?	Tomi është këtu për të na ndihmuar, apo jo?
>>sqi<< Tom is in his room now, isn't he?	Tomi është në dhomën e tij tani, apo jo?
>>sqi<< Tom is now on vacation, isn't he?	Tomi është në pushim tani, apo jo?
>>sqi<< Wash the apple before you eat it.	Laje mollën para se ta hash.
>>sqi<< We'll have a talented group here.	Do të kemi një grup të talentuar këtu.
>>sqi<< I don't understand your complaint.	Nuk e kuptoj ankesen tende.
>>sqi<< I saw your girlfriend kissing Tom.	Pashë të dashurën tënde duke puthur Tomin.
>>sqi<< I thought it was rather ingenious.	Une mendova se ishte gjeniale.
>>sqi<< I'm sorry that I broke my promise.	Më vjen keq që theva premtimin tim.
>>sqi<< Learning languages is interesting.	Të mësosh gjuhë është interesante.
>>sqi<< This is not the time or the place.	Nuk është as koha as vendi.
>>sqi<< Tom was jealous of Mary's success.	Tomi ishte xheloz për suksesin e Marisë.
>>sqi<< Tom's parents live in a big house.	Prindërit e Tomit jetojnë në një shtëpi të madhe.
>>sqi<< Could you call again later, please?	Mund te me telefononi perseri me vone ju lutem?
>>sqi<< I have no money, but I have dreams.	Nuk kam para, por kam ëndërra.
>>sqi<< I wanted to clear that up with you.	Doja ta qartësoja këtë me ju.
>>sqi<< It's not easy to solve the problem.	Nuk është e lehtë për të zgjidhur problemin.
>>sqi<< How many hours of sleep do you need?	Sa ore gjume keni nevoje?
>>sqi<< Maybe Tom doesn't want you to worry.	Ndoshta Tomi nuk do që ti të shqetësohesh.
>>sqi<< My grandfather was an archaeologist.	Gjyshi im ishte arkeolog.
>>sqi<< The volcano has become active again.	Vullkani eshte bere aktiv perseri.
>>sqi<< Tom doesn't use salt in his cooking.	Tomi nuk përdor kripë në gatimet e tij.
>>sqi<< Tom tried to kill himself yesterday.	Tomi u përpoq të vriste veten dje.
>>sqi<< Tom's parents live in a large house.	Prindërit e Tomit jetojnë në një shtëpi të madhe.
>>sqi<< Tom's wounds weren't self-inflicted.	Plagët e Tomit nuk ishin të vetëshkaktuara.
>>sqi<< Why don't you go see what Tom wants?	Pse nuk shkon të shohësh se çfarë do Tomi?
>>sqi<< You can't go to Boston this weekend.	Nuk mund të shkosh në Boston këtë fundjavë.
>>sqi<< English is an international language.	Anglishtja është gjuhë internacionale.
>>sqi<< I want to meet the girl of my dreams.	Dua te takoj vajzen e enderrave te mia.
>>sqi<< I want to meet the girl of my dreams.	Dua ta takoj vajzen e enderrave te mia.
>>sqi<< I'm going to need a little more time.	Do të më duhet pak më shumë kohë.
>>sqi<< It may sound strange, but it is true.	Mund te tingelloj cuditshem , por eshte e vertete.
>>sqi<< Tom and Mary are considering divorce.	Tomi dhe Maria po konsiderojnë divorcin.
>>sqi<< Tom became a doctor, like his father.	Tomi u bë doktor, si i ati.
>>sqi<< Do you need me to give you some money?	A keni nevoje te jap para?
>>sqi<< I've never seen such a beautiful girl.	Nuk kam parë kurrë një vajzë kaq të bukur.
>>sqi<< Tom must've thought he had to do that.	Tomi do te kete menduar qe i duhej ta bente.
>>sqi<< Tom paid three dollars for a sandwich.	Tomi pagoi tre dollarë për një senduiç.
>>sqi<< Tom was sitting alone, reading a book.	Tomi ishte ulur vetëm, po lexonte një libër.
>>sqi<< Tom was sitting alone, reading a book.	Tomi ishte ulur vetëm, duke lexuar një libër.
>>sqi<< I can speak neither French nor English.	Nuk flas as frëngjisht as anglisht.
>>sqi<< Tom hates his job for a lot of reasons.	Tomi urren punën e tij për shumë arsye.
>>sqi<< Don't forget to bring your bathing suit.	Mos harro të sjellësh kostumin e banjës.
>>sqi<< If I had enough money, I'd buy that car.	Po të kisha mjaftueshëm para, do ta bleja atë makinë.
>>sqi<< My shoes are too small. I need new ones.	Këpucet e mija jane shum te vogla. Kam nevojë për nje parë të reja.
>>sqi<< You should give up drinking and smoking.	Ti duhet të ndalosh pijen dhe cigaren.
>>sqi<< You're not allowed to speak French here.	Nuk të lejohet të flasësh frëngjisht këtu.
>>sqi<< You're not allowed to speak French here.	Nuk lejohesh të flasësh frëngjisht këtu.
>>sqi<< You're not allowed to speak French here.	Nuk je i lejuar të flasësh frengjisht këtu.
>>sqi<< Closing your eyes helps you think better.	Mbyllja e syve ju ndihmon të mendoni më mirë.
>>sqi<< I don't understand the rules of the game.	Nuk i kuptoj rregullat e lojës.
>>sqi<< If you ever come to town, come to see me.	Nqs do te vini ndonjehere ne qytet, ejani te me vizitoni.
>>sqi<< Thank you for teaching me how to do this.	Faleminderit që më mësuar si ta bëj këtë.
>>sqi<< Tom didn't let me answer Mary's question.	Tomi nuk me lejon t`i përgjigjem pyetjes së Merit.
>>sqi<< I often wrote to her when I was a student.	Asaj i shkruaja shpesh kur isha student.
>>sqi<< No, I'm not a teacher. I'm only a student.	Jo, nuk jam mësues. Jam vetëm nxënës.
>>sqi<< The problem is we don't know where Tom is.	Problemi është që nuk e dimë se ku është Tomi.
>>sqi<< I have three times more books than Tom has.	Kam tre herë më shumë libra se Tomi.
>>sqi<< I hear you've already contacted the broker.	Degjova që tashmë keni kontaktuar ndërmjetësin.
>>sqi<< I'm not certain we can get tickets tonight.	Nuk jam e sigurt nese mund te marrim bileta kete mbremje.
>>sqi<< I'm not certain we can get tickets tonight.	Nuk jam e sigurt nese mund te gjejme bileta kete mbremje.
>>sqi<< What method did you use to give up smoking?	Çfarë metode ke përdorur per të ndalur duhanin?
>>sqi<< I hate the world because the world hates me.	Unë e urrej botën sepse bota më urren mua.
>>sqi<< I hope I'm not the only one who'll be there.	Shpresoj që të mos jem i vetmi që do të jetë aty.
>>sqi<< If it were not for water, we could not live.	Ne qofte se nuk do kishte uje, ne nuk mund te jetojme.
>>sqi<< That's a very beautiful part of the country.	Ajo eshte nje pjese shume e bukur e vendit.
>>sqi<< The only dessert I really like is ice cream.	Ëmbëlsira e vetme të cilën vërtetë e pëlqej është akullorja.
>>sqi<< I'm trying to figure out what you do for fun.	Vetëm po kërkoj të dijë cfarë bën ti për tu argëtuar ?
>>sqi<< Your success is the result of your hard work.	Suksesi jot është rezultat i punës tënde të vështirë.
>>sqi<< I often think about the place where I met you.	Shpesh mendoj për vendin ku të kam takuar ty.
>>sqi<< My sister isn't a good cook, and neither am I.	Motra ime nuk është kuzhiniere e mirë, as unë nuk jam.
>>sqi<< Tom is afraid that Mary might change her mind.	Tomi ka frike se mos Meri ndryshon mendjen.
>>sqi<< Tom is afraid that Mary might change her mind.	Tomi ka frike se Meri mund te ndryshoje mendjen.
>>sqi<< Tom is planning a trip to Australia with Mary.	Tomi po planifikon një udhëtim në Australi me Marian.
>>sqi<< I haven't met him in person, but I know of him.	Nuk e kam takuar atë si person , por unë di për të.
>>sqi<< The only thing I saw on the table was an apple.	E vetmja gjë që pashë në tavolinë ishte një mollë.
>>sqi<< The only thing I want to do right now is sleep.	E vetmja gjë që dua të bëj tani është të fle.
>>sqi<< It seems like you know me, but I don't know you.	Duket sikur ju me njihni mua, por une nuk ju njoh ju.
>>sqi<< The doctor advised my father to give up smoking.	Doktori këshilloi babanë tim të ndalte duhanin.
>>sqi<< The only place I want to be right now is with you.	I vetmi vend ku dua të jem tani është me ty.
>>sqi<< Tom said that he didn't want to be seen with Mary.	Tomi tha qe nuk donte ta shikonin me Merin.
>>sqi<< Tom thinks the two of you are made for each other.	Tomi mendon se ju te dy jeni bere per njeri-tjetrin.
>>sqi<< We had less snow this winter than we had expected.	Ky dimire kishte me pak debore sec kishim pritur.
>>sqi<< If I had had more time, I would have written to you.	Nqs do kisha me shum kohe, une do te shkruaja ju.
>>sqi<< The prime minister fell into the Danube and drowned.	Kryeministri ra në Danub dhe u mbyt.
>>sqi<< I haven't tried doing that the way Tom said I should.	Nuk e kam provuar ta bej ne menyren qe me tha Tomi.
