>>nno<< Run!	Laup!
>>nno<< Terrific!	Framifrå!
>>nno<< Terrific!	Fantastisk!
>>nno<< Terrific!	Kjempebra!
>>nno<< They won.	Dei vann.
>>nno<< Trust me.	Stol på meg.
>>nno<< Try some.	Prøv litt.
>>nno<< We agree.	Vi er samde.
>>nno<< We agree.	Vi er einige.
>>nno<< You fool!	Din tosk!
>>nno<< After you.	Etter deg.
>>nno<< Am I sexy?	Er eg sexy?
>>nno<< Avoid war.	Unngå krig.
>>nno<< Birds fly.	Fuglar flyg.
>>nno<< Can we go?	Kan me gå?
>>nno<< Catch him.	Ta han.
>>nno<< Come here.	Kom hit.
>>nno<< Come home.	Kom heim.
>>nno<< Dogs bark.	Hundar bjeffar.
>>nno<< Fantastic!	Fantastisk!
>>nno<< Film this.	Film dette.
>>nno<< Forget it!	Gløym det!
>>nno<< Get a map.	Skaff deg eit kart.
>>nno<< Get a map.	Hent eit kart.
>>nno<< Go inside.	Gå inn.
>>nno<< Good luck.	Lukke til.
>>nno<< Hands off.	Vekk med fingrane.
>>nno<< Have some.	Tak deg litt.
>>nno<< He shaved.	Han barberte seg.
>>nno<< He smiled.	Han smilte.
>>nno<< He's sexy.	Han er sexy.
>>nno<< He's tall.	Han er høg.
>>nno<< Hide here.	Gøym deg her.
>>nno<< Hide here.	Gøym dykk her.
>>nno<< Hide here.	Gøym dokker her.
>>nno<< I am sick.	Eg er sjuk.
>>nno<< I am tall.	Eg er høg.
>>nno<< I cheated.	Eg juksa.
>>nno<< I cheated.	Eg var utru.
>>nno<< I give up.	Eg gjev opp.
>>nno<< I miss it.	Eg saknar det.
>>nno<< I was fat.	Eg var tjukk.
>>nno<< I was fat.	Eg var feit.
>>nno<< I was sad.	Eg var trist.
>>nno<< I'd do it.	Eg ville ha gjort det.
>>nno<< I'll hide.	Eg skal gøyma meg.
>>nno<< I'm tired.	Eg er trøytt.
>>nno<< I'm tired.	Eg er sliten.
>>nno<< I'm upset.	Eg er lei meg.
>>nno<< Is it bad?	Er det dårleg?
>>nno<< Is it bad?	Er det ille?
>>nno<< Is it far?	Er det langt
>>nno<< Is it far?	Er det langt unna?
>>nno<< It snowed.	Det snødde.
>>nno<< It's easy.	Det er lett.
>>nno<< It's easy.	Det er enkelt.
>>nno<< It's sand.	Det er sand.
>>nno<< Let's sew.	Lat oss sy.
>>nno<< Let's sew.	Lat oss sauma.
>>nno<< Open fire!	Skyt!
>>nno<< Read this.	Les dette.
>>nno<< Read this.	Les denne.
>>nno<< Sign here.	Skriv under her.
>>nno<< Stay home.	Bli heime.
>>nno<< Stop here.	Stopp her.
>>nno<< Stop that!	Slutt med det der!
>>nno<< That hurt.	Den sveid.
>>nno<< That hurt.	Det gjorde vondt.
>>nno<< Tom knows.	Tom veit det.
>>nno<< Tom waved.	Tom vinka.
>>nno<< Tom's fat.	Tom er feit.
>>nno<< Tom's fat.	Tom er tjukk.
>>nno<< Tom's sad.	Tom er trist.
>>nno<< Try again.	Prøv ein gong til.
>>nno<< Wait here.	Vent her.
>>nno<< Watch out!	Sjå opp!
>>nno<< We're sad.	Vi er triste.
>>nno<< Who knows?	Kven veit?
>>nno<< Wonderful!	Framifrå!
>>nno<< Wonderful!	Nydeleg!
>>nno<< Birds sing.	Fuglar syng.
>>nno<< Choose one.	Vel ein.
>>nno<< Choose one.	Vel éin.
>>nno<< Definitely!	Absolutt!
>>nno<< Definitely!	Definitivt!
>>nno<< Definitely!	Heilt klårt!
>>nno<< Definitely!	Utan tvil!
>>nno<< Don't hide.	Ikkje gøym deg.
>>nno<< Don't move!	Ikkje rør deg!
>>nno<< Don't move.	Ikkje rør deg.
>>nno<< Don't move.	Ikkje rør dykk.
>>nno<< Don't move.	Ikkje rør dokker.
>>nno<< Don't push.	Ikkje dytt.
>>nno<< Get a coat.	Skaff deg ein frakk.
>>nno<< Get a taxi.	Skaff deg ein taxi.
>>nno<< Get a taxi.	Skaff deg ei drosje.
>>nno<< He is lazy.	Han er lat.
>>nno<< He is sick.	Han er sjuk.
>>nno<< He is tall.	Han er høg.
>>nno<< Hurry home.	Skund deg heim.
>>nno<< I beat Tom.	Eg slo Tom.
>>nno<< I found it.	Eg fann det.
>>nno<< I found it.	Eg fann han.
>>nno<< I found it.	Eg fann ho.
>>nno<< I got sick.	Eg vart sjuk.
>>nno<< I got sick.	Eg blei sjuk.
>>nno<< I like art.	Eg likar kunst.
>>nno<< I miss you.	Eg saknar deg.
>>nno<< I need ice.	Eg treng is.
>>nno<< I sell art.	Eg sel kunst.
>>nno<< I squinted.	Eg myste.
>>nno<< I squinted.	Eg kneip saman augo.
>>nno<< I'll write.	Eg skal skriva.
>>nno<< I'm a twin.	Eg er tvilling.
>>nno<< I'm direct.	Eg er direkte.
>>nno<< I'm hiding.	Eg gøymer meg.
>>nno<< I'm polite.	Eg er høfleg.
>>nno<< I'm so fat.	Eg er så feit.
>>nno<< I'm so fat.	Eg er so feit.
>>nno<< I'm so fat.	Eg er så tjukk.
>>nno<< I'm so fat.	Eg er so tjukk.
>>nno<< Ignore him.	Ignorer han.
>>nno<< Is Tom fat?	Er Tom tjukk?
>>nno<< Is Tom fat?	Er Tom feit?
>>nno<< Is he tall?	Er han høg?
>>nno<< Is it blue?	Er han blå?
>>nno<< Is it blue?	Er ho blå?
>>nno<< It's empty.	Det er tomt.
>>nno<< It's empty.	Han er tom.
>>nno<< It's empty.	Ho er tom.
>>nno<< It's magic.	Det er magi.
>>nno<< Just relax.	Berre slapp av.
>>nno<< Let's hide.	Lat oss gøyma oss.
>>nno<< Look there.	Sjå der.
>>nno<< Love hurts.	Kjærleik gjer vondt.
>>nno<< No comment.	Ingen kommentar.
>>nno<< No kidding?	Seriøst?
>>nno<< No problem.	Null problem.
>>nno<< Ridiculous!	Latterleg!
>>nno<< Ridiculous!	Låtteleg!
>>nno<< Take a nap.	Tak deg ein lur.
>>nno<< Take a nap.	Tak deg ein blund.
>>nno<< That hurts.	Det gjer vondt.
>>nno<< That's sad.	Det er trist.
>>nno<< They stood.	Dei stod.
>>nno<< Tom cheats.	Tom juksar.
>>nno<< Tom cheats.	Tom er utru.
>>nno<< Tom is fat.	Tom er feit.
>>nno<< Tom is fat.	Tom er tjukk.
>>nno<< Tom is sad.	Tom er trist.
>>nno<< Tom shaved.	Tom barberte seg.
>>nno<< Tom's home.	Tom er heime.
>>nno<< We cheated.	Vi juksa.
>>nno<< We're home.	Vi er heime.
>>nno<< Where am I?	Kvar er eg?
>>nno<< Where am I?	Kor er eg?
>>nno<< Who did it?	Kven gjorde det?
>>nno<< You called?	Ringde du?
>>nno<< You're sad.	Du er trist.
>>nno<< Anyone home?	Nokon heime?
>>nno<< Are you fat?	Er du feit?
>>nno<< Are you fat?	Er du tjukk?
>>nno<< Are you sad?	Er du trist?
>>nno<< Bake a cake.	Bak ei kake.
>>nno<< Birds chirp.	Fuglar kvitrar.
>>nno<< Can we meet?	Kan vi møtast?
>>nno<< Don't boast.	Ikkje brisk deg.
>>nno<< Don't shoot!	Ikkje skyt!
>>nno<< Don't shoot.	Ikkje skyt.
>>nno<< Go home now.	Gå heim no.
>>nno<< Have a beer.	Ta deg ein øl.
>>nno<< He is alone.	Han er åleine.
>>nno<< He squinted.	Han myste.
>>nno<< He squinted.	Han kneip saman augo.
>>nno<< He's coming.	Han kjem.
>>nno<< Here she is!	Her er ho!
>>nno<< I had a nap.	Eg tok meg ein lur.
>>nno<< I had a nap.	Eg tok meg ein blund.
>>nno<< I had to go.	Eg måtte gå.
>>nno<< I hate bats.	Eg hatar flaggermyser.
>>nno<< I hate math.	Eg hatar matte.
>>nno<< I hate mice.	Eg hatar myser.
>>nno<< I hate sand.	Eg hatar sand.
>>nno<< I hired Tom.	Eg tilsette Tom.
>>nno<< I know that.	Det veit eg.
>>nno<< I like beer.	Eg likar øl.
>>nno<< I like cake.	Eg likar kake.
>>nno<< I like cats.	Eg likar kattar.
>>nno<< I like math.	Eg likar matte.
>>nno<< I like mice.	Eg likar myser.
>>nno<< I love cake.	Eg elskar kake.
>>nno<< I love kids.	Eg elskar born.
>>nno<< I love math.	Eg elskar matte.
>>nno<< I love wine.	Eg elskar vin.
>>nno<< I missed it.	Eg sakna det.
>>nno<< I missed it.	Eg gjekk glipp av det.
>>nno<< I must hide.	Eg må gøyma meg.
>>nno<< I need work.	Eg treng arbeid.
>>nno<< I protested.	Eg protesterte!
>>nno<< I sell cars.	Eg sel bilar.
>>nno<< I should go.	Eg burde gå.
>>nno<< I want cake.	Eg vil ha kake.
>>nno<< I want gold.	Eg vil ha gull.
>>nno<< I want kids.	Eg har lyst på born.
>>nno<< I was wrong.	Eg tok feil.
>>nno<< I went home.	Eg fór heim.
>>nno<< I'm not mad.	Eg er ikkje sint.
>>nno<< I'm retired.	Eg er pensjonist.
>>nno<< I'm shaving.	Eg barberer meg.
>>nno<< I'm shocked.	Eg er sjokkert.
>>nno<< Is Tom here?	Er Tom her?
>>nno<< Is Tom home?	Er Tom heime?
>>nno<< Is Tom tall?	Er Tom høg?
>>nno<< Is that all?	Er det alt?
>>nno<< Is this art?	Er dette kunst?
>>nno<< It was loud.	Det var høgt.
>>nno<< It's French.	Det er fransk.
>>nno<< It's Monday.	Det er måndag.
>>nno<< It's a cube.	Det er ein kube.
>>nno<< It's a harp.	Det er ei harpe.
>>nno<< It's a song.	Det er ein song.
>>nno<< It's cancer.	Det er kreft.
>>nno<< It's poetic.	Det er poetisk.
>>nno<< It's silver.	Det er sylv.
>>nno<< Keep trying.	Fortset å prøva.
>>nno<< Look around.	Sjå deg rundt.
>>nno<< Make a list.	Lag ei liste.
>>nno<< Many thanks.	Mange takk.
>>nno<< Memorize it.	Memorer det.
>>nno<< Nice timing.	God timing.
>>nno<< Nobody came.	Ingen kom.
>>nno<< One is blue.	Éin er blå.
>>nno<< One is blue.	Eitt er blått.
>>nno<< One is blue.	Ein er blå.
>>nno<< One is blue.	Eit er blått.
>>nno<< Pick a card.	Trekk eit kort.
>>nno<< Push harder.	Dytt hardare.
>>nno<< Record this.	Tak opp dette.
>>nno<< Record this.	Gjer eit opptak av dette.
>>nno<< Should I go?	Burde eg gå?
>>nno<< Stay inside.	Bli inne.
>>nno<< Stop trying.	Slutt å prøva.
>>nno<< Stop! Thief!	Stopp! Tjuv!
>>nno<< Take a bath.	Tak deg eit bad.
>>nno<< Take a card.	Tak deg eit kort.
>>nno<< That's cool.	Det går bra.
>>nno<< That's cool.	Det er kult.
>>nno<< That's cute.	Det var søtt.
>>nno<< The sun set.	Sola gjekk ned.
>>nno<< They waited.	Dei venta.
>>nno<< They're fat.	Dei er tjukke.
>>nno<< They're fat.	Dei er feite.
>>nno<< This is art.	Dette er kunst.
>>nno<< This is his.	Dette er hans.
>>nno<< This is his.	Denne er hans.
>>nno<< This is ice.	Dette er is.
>>nno<< Tom beat me.	Tom slo meg.
>>nno<< Tom blushed.	Tom raudna.
>>nno<< Tom can sew.	Tom kan sy.
>>nno<< Tom can sew.	Tom kan sauma.
>>nno<< Tom cheated.	Tom juksa.
>>nno<< Tom cheated.	Tom var utru.
>>nno<< Tom got fat.	Tom vart tjukk.
>>nno<< Tom got fat.	Tom blei tjukk.
>>nno<< Tom got fat.	Tom vart feit.
>>nno<< Tom got fat.	Tom blei feit.
>>nno<< Tom is cool.	Tom er kul.
>>nno<< Tom is sexy.	Tom er sexy.
>>nno<< Tom is tall.	Tom er høg.
>>nno<< Tom saw him.	Tom såg han.
>>nno<< Tom was sad.	Tom var trist.
>>nno<< Tom's upset.	Tom er lei seg.
>>nno<< War is evil.	Krig er vonkyndt.
>>nno<< War is hell.	Krig er eit helvete.
>>nno<< Wave to Tom.	Vink til Tom.
>>nno<< We can meet.	Vi kan møtast.
>>nno<< We can't go.	Me kan ikkje dra.
>>nno<< What a game!	For eit spel!
>>nno<< What a mess!	For eit rot!
>>nno<< What is art?	Kva er kunst?
>>nno<< Where is he?	Kor er han?
>>nno<< Who cheated?	Kven juksa?
>>nno<< Who's older?	Kven er eldst?
>>nno<< Who's there?	Kven er det?
>>nno<< You cheated.	Du juksa.
>>nno<< You cheated.	Du var utru.
>>nno<< You're cool.	Du er kul.
>>nno<< You're cute.	Du er søt.
>>nno<< You're sick!	Du er sjuk!
>>nno<< You're sick!	De er sjuke!
>>nno<< Am I wounded?	Er eg skadd?
>>nno<< Anybody here?	Er det nokon her?
>>nno<< Anybody home?	Nokon heime?
>>nno<< Anything new?	Noko nytt?
>>nno<< Are you cold?	Frys du?
>>nno<< Are you here?	Er du her?
>>nno<< Are you here?	Er de her?
>>nno<< Are you home?	Er du heime?
>>nno<< Are you hurt?	Er du skadd?
>>nno<< Are you nuts?	Er du gått frå vitet?
>>nno<< Are you sick?	Er du sjuk?
>>nno<< Are you sure?	Er du sikker?
>>nno<< Are you tall?	Er du høg?
>>nno<< Be realistic!	Ver realistisk!
>>nno<< Blood is red.	Blod er raudt.
>>nno<< Boil one egg.	Kok eitt egg.
>>nno<< Bring him in.	Hent han inn.
>>nno<< Come quickly.	Skund deg hit.
>>nno<< Come quickly.	Kom hit fort.
>>nno<< Did Tom wait?	Venta Tom?
>>nno<< Does it hurt?	Gjer det vondt?
>>nno<< Fear nothing.	Frykt inkje.
>>nno<< Get a weapon.	Skaff deg eit våpen.
>>nno<< Give me five.	Gjev meg fem.
>>nno<< Go back home.	Gå heim att.
>>nno<< Go to Boston.	Far til Boston.
>>nno<< He was alone.	Han var åleine.
>>nno<< Hello, girls.	Hei, jenter.
>>nno<< Hold my hand.	Hald meg i handa.
>>nno<< Hold my hand.	Haldt meg i handa.
>>nno<< How annoying!	Kor irriterande!
>>nno<< How annoying!	Så irriterande!
>>nno<< How romantic!	Kor romantisk!
>>nno<< How romantic!	So romantisk!
>>nno<< How romantic!	Så romantisk!
>>nno<< I almost won.	Eg vann nesten.
>>nno<< I am curious.	Eg er nyfiken.
>>nno<< I am curious.	Eg er nysgjerrig.
>>nno<< I can manage.	Eg klarer meg.
>>nno<< I had to run.	Eg måtte springa.
>>nno<< I had to run.	Eg måtte laupa.
>>nno<< I had to try.	Eg måtte prøva.
>>nno<< I hate opera.	Eg hatar opera.
>>nno<< I hate tests.	Eg hatar testar.
>>nno<< I hate tests.	Eg hatar prøvar.
>>nno<< I hate tests.	Eg hatar prøver.
>>nno<< I hear music.	Eg høyrer musikk.
>>nno<< I improvised.	Eg improviserte.
>>nno<< I like bears.	Eg likar bjørnar.
>>nno<< I like candy.	Eg likar godteri.
>>nno<< I like games.	Eg likar spel.
>>nno<< I like green.	Eg likar grøn.
>>nno<< I like opera.	Eg likar opera.
>>nno<< I love candy.	Eg elskar godteri.
>>nno<< I love games.	Eg elskar spel.
>>nno<< I love music.	Eg elskar musikk.
>>nno<< I love opera.	Eg elskar opera.
>>nno<< I need a map.	Eg treng eit kart.
>>nno<< I need a nap.	Eg treng ein blund.
>>nno<< I need space.	Eg treng plass.
>>nno<< I play piano.	Eg spelar piano.
>>nno<< I saw a goat.	Eg såg ei geit.
>>nno<< I sell cakes.	Eg sel kaker.
>>nno<< I sell shoes.	Eg sel sko.
>>nno<< I sell shoes.	Eg sel skor.
>>nno<< I talk a lot.	Eg snakkar mykje.
>>nno<< I talk a lot.	Eg talar mykje.
>>nno<< I took a nap.	Eg tok ein lur.
>>nno<< I took a nap.	Eg tok ein blund.
>>nno<< I understand.	Eg forstår.
>>nno<< I want facts.	Eg vil ha fakta.
>>nno<< I want facts.	Eg vil ha faktum.
>>nno<< I was hiding.	Tom gøymde seg.
>>nno<< I'll be back.	Eg kjem tilbake.
>>nno<< I'm a pirate.	Eg er pirat.
>>nno<< I'm a pirate.	Eg er ein pirat.
>>nno<< I'm confused.	Eg er forvirra.
>>nno<< I'm done now.	Eg er ferdig no.
>>nno<< I'm not tall.	Eg er ikkje høg.
>>nno<< I'm reliable.	Eg er påliteleg.
>>nno<< Ice is solid.	Is er fast.
>>nno<< Is it cancer?	Er det kreft?
>>nno<< It took time.	Det tok tid.
>>nno<< It was gross.	Det var ekkelt.
>>nno<< It was magic.	Det var magi.
>>nno<< It'll happen.	Det kjem til å skje.
>>nno<< It's a robot.	Det er ein robot.
>>nno<< It's a salad.	Det er ein salat.
>>nno<< It's suicide.	Det er sjølvmord.
>>nno<< It's too big.	Den er for stor.
>>nno<< It's too big.	Det er for stort.
>>nno<< It's too big.	Han er for stor.
>>nno<< It's too big.	Ho er for stor.
>>nno<< Just go home.	Berre gå heim.
>>nno<< Knock it off!	Slutt med det!
>>nno<< Knock it off!	Gjev deg!
>>nno<< Knock it off.	Slutt med det.
>>nno<< Knock it off.	Gjev deg.
>>nno<< Learn French.	Lær deg fransk.
>>nno<< Learn French.	Lær dykk fransk.
>>nno<< Learn French.	Lær dokker fransk.
>>nno<< Lock the car.	Lås bilen.
>>nno<< Mary giggled.	Mary fniste.
>>nno<< Mary is tall.	Mary er høg.
>>nno<< Math is hard.	Matte er vanskeleg.
>>nno<< My ears hurt.	Eg har vondt i øyro.
>>nno<< My hip hurts.	Eg har vondt i hofta.
>>nno<< My jaw hurts.	Eg har vondt i kjeven.
>>nno<< Now I'm done.	No er eg ferdig.
>>nno<< Please hurry.	Skund deg, er du snill.
>>nno<< Please hurry.	Skund dykk, er de snille.
>>nno<< Please hurry.	Ver snill og skund deg.
>>nno<< Please hurry.	Ver snill og skund dykk.
>>nno<< Please hurry.	Ver snill og skund dokker.
>>nno<< Run and hide.	Spring og gøym deg.
>>nno<< Run and hide.	Spring og gøym dykk.
>>nno<< Run and hide.	Spring og gøym dokker.
>>nno<< Shame on you!	Fy skam deg!
>>nno<< Shame on you!	Skam deg!
>>nno<< Shame on you.	Skam deg.
>>nno<< She is upset.	Ho er lei seg.
>>nno<< Someone came.	Det kom nokon.
>>nno<< Someone came.	Nokon kom.
>>nno<< Speak French.	Snakk fransk.
>>nno<< Stay at home.	Bli heime.
>>nno<< Stop filming.	Slutt å filma.
>>nno<< Stop gawking.	Slutt å glo.
>>nno<< Stop gawking.	Slutt å glana.
>>nno<< Stop gawking.	Slutt å stira.
>>nno<< Stop pushing.	Slutt å dytta.
>>nno<< Stop the car.	Stopp bilen.
>>nno<< Study French.	Studer fransk.
>>nno<< Take a break.	Tak deg ein pause.
>>nno<< Take my coat.	Tak frakken min.
>>nno<< Tell Tom why.	Sei til Tom kvifor.
>>nno<< The sun rose.	Sola stod opp.
>>nno<< They're cute.	Dei er søte.
>>nno<< They're home.	Dei er heime.
>>nno<< This is cool.	Dette er kult.
>>nno<< Tom ate cake.	Tom åt kake.
>>nno<< Tom got hurt.	Tom vart skadd.
>>nno<< Tom got hurt.	Tom blei skadd.
>>nno<< Tom has coal.	Tom har kol.
>>nno<< Tom showered.	Tom dusja.
>>nno<< Tom squinted.	Tom myste.
>>nno<< Tom squinted.	Tom kneip saman augo.
>>nno<< Tom was cute.	Tom var søt.
>>nno<< Tom was home.	Tom var heime.
>>nno<< Tom was hurt.	Tom var skadd.
>>nno<< Tom was loud.	Tom var høglydt.
>>nno<< Tom's polite.	Tom er høfleg.
>>nno<< Translate it.	Omset det.
>>nno<< Trust no one.	Ikkje stol på nokon.
>>nno<< Try that one.	Prøv den.
>>nno<< Try the cake.	Prøv kaka.
>>nno<< Unbelievable!	Utruleg!
>>nno<< Wash the car.	Vask bilen.
>>nno<< We beat them.	Vi slo dei.
>>nno<< We live here.	Me bur her.
>>nno<< We must hide.	Vi må gøyma oss.
>>nno<< We must wait.	Me må venta.
>>nno<< We protested.	Vi protesterte.
>>nno<< We sat there.	Me sat der.
>>nno<< We're greedy.	Me er grådige.
>>nno<< We're hiding.	Vi gøymer oss.
>>nno<< Welcome back.	Velkomen tilbake.
>>nno<< Welcome back.	Velkomne tilbake.
>>nno<< Welcome back.	Velkomen attende.
>>nno<< Welcome back.	Velkomne attende.
>>nno<< Welcome home.	Velkomen heim.
>>nno<< Welcome home.	Velkomne heim.
>>nno<< What a shame!	Det var synd!
>>nno<< What a shock!	For eit sjokk!
>>nno<< Who shot who?	Kven skaut kven?
>>nno<< You beat Tom.	Du slo Tom.
>>nno<< You look fat.	Du ser feit ut.
>>nno<< You look fat.	Du ser tjukk ut.
>>nno<< You're naive.	Du er naiv.
>>nno<< You're naive.	De er naive.
>>nno<< You're upset.	Du er lei deg.
>>nno<< Any questions?	Nokon spørsmål?
>>nno<< Anything else?	Noko meir?
>>nno<< Are they tall?	Er dei høge?
>>nno<< Ask a teacher.	Spør ein lærar.
>>nno<< Beat the eggs.	Pisk egga.
>>nno<< Come meet Tom.	Kom og hels på Tom.
>>nno<< Did I do that?	Gjorde eg det?
>>nno<< Don't hang up.	Ikkje legg på.
>>nno<< Eat something.	Et noko.
>>nno<< Feed the bird.	Mat fuglen.
>>nno<< He drank beer.	Han drakk øl.
>>nno<< He is English.	Han er engelsk.
>>nno<< He killed him.	Ho drap han.
>>nno<< He sells cars.	Han sel bilar.
>>nno<< He's annoying.	Han er irriterande.
>>nno<< Hide yourself.	Gøym deg.
>>nno<< Hold me close.	Hald meg nær.
>>nno<< How many died?	Kor mange døydde?
>>nno<< How wonderful!	Så fantastisk!
>>nno<< I beat Tom up.	Eg banka opp Tom.
>>nno<< I bought sand.	Eg kjøpte sand.
>>nno<< I can't do it.	Eg får det ikkje til.
>>nno<< I fell asleep.	Eg sovna.
>>nno<< I had a dream.	Eg hadde ein draum.
>>nno<< I had to hide.	Eg måtte gøyma meg.
>>nno<< I had to quit.	Eg måtte slutta.
>>nno<< I had to rest.	Eg måtte kvila.
>>nno<< I had to stay.	Eg måtte bli igjen.
>>nno<< I had to stay.	Eg måtte bli.
>>nno<< I had to stop.	Eg måtte stoppa.
>>nno<< I had to stop.	Eg måtte slutta.
>>nno<< I had to swim.	Eg måtte symja.
>>nno<< I had to wait.	Eg måtte venta.
>>nno<< I had to work.	Eg måtte jobba.
>>nno<< I had to work.	Eg måtte arbeida.
>>nno<< I hate Boston.	Eg hatar Boston.
>>nno<< I hate snakes.	Eg hatar slangar.
>>nno<< I have a list.	Eg har ei liste.
>>nno<< I have cancer.	Eg har kreft.
>>nno<< I know French.	Eg kan fransk.
>>nno<< I like Boston.	Eg likar Boston.
>>nno<< I like hiking.	Eg elskar å gå på tur.
>>nno<< I like horses.	Eg likar hestar.
>>nno<< I like movies.	Eg likar filmar.
>>nno<< I like rowing.	Eg likar å krangla.
>>nno<< I like rowing.	Eg likar å ro.
>>nno<< I like rowing.	Eg likar roing.
>>nno<< I like sewing.	Eg likar å sy.
>>nno<< I like sewing.	Eg likar å sauma.
>>nno<< I love Boston.	Eg elskar Boston.
>>nno<< I love autumn.	Eg elskar hausten.
>>nno<< I love cheese.	Eg elskar ost.
>>nno<< I love garlic.	Eg elskar kvitlauk.
>>nno<< I love hiking.	Eg elskar å gå på tur.
>>nno<< I love horses.	Eg elskar hestar.
>>nno<< I love movies.	Eg elskar filmar.
>>nno<< I made a list.	Eg laga ei liste.
>>nno<< I need a coat.	Eg treng ein frakk.
>>nno<< I need a loan.	Eg treng eit lån.
>>nno<< I need a taxi.	Eg treng ein taxi.
>>nno<< I need a taxi.	Eg treng ei drosje.
>>nno<< I need a week.	Eg treng ei veke.
>>nno<< I own a horse.	Eg eig ein hest.
>>nno<< I paid a fine.	Eg betalte ei bot.
>>nno<< I play violin.	Eg spelar fiolin.
>>nno<< I punched Tom.	Eg slo Tom.
>>nno<< I sang a song.	Eg song ein song.
>>nno<< I saw a mouse!	Eg såg ei mus!
>>nno<< I smell blood.	Eg luktar blod.
>>nno<< I spoke first.	Eg snakka fyrst.
>>nno<< I was kidding.	Eg tulla.
>>nno<< I went by bus.	Eg tok buss.
>>nno<< I went hiking.	Eg gjekk tur.
>>nno<< I'll beat you.	Eg skal slå deg.
>>nno<< I'll take him.	Eg skal taka han.
>>nno<< I'm a warrior.	Eg er ein krigar.
>>nno<< I'm bilingual.	Eg er tospråkleg.
>>nno<< I'm done here.	Eg er ferdig her.
>>nno<< I'm home, Tom.	Eg er heime, Tom.
>>nno<< I'm impressed.	Eg er imponert.
>>nno<< I'm organized.	Eg er organisert.
>>nno<< I'm so sleepy.	Eg er så trøytt.
>>nno<< Is Tom hiding?	Gøymer Tom seg?
>>nno<< Is Tom polite?	Er Tom høfleg.
>>nno<< Is it raining?	Regnar det?
>>nno<< Is that blood?	Er det blod?
>>nno<< Is that candy?	Er det godteri?
>>nno<< Is the sun up?	Er sola oppe?
>>nno<< It is raining.	Det regnar.
>>nno<< It never ends.	Det tek aldri slutt.
>>nno<< It's a weapon.	Det er eit våpen.
>>nno<< It's for sale.	Det er til sals.
>>nno<< It's my fault.	Det er min feil.
>>nno<< It's my horse.	Det er min hest.
>>nno<< It's my horse.	Det er hesten min.
>>nno<< It's not true.	Det er ikkje sant.
