>>pes<< Who?	چه کسی؟
>>pes<< I live here.	من اینجا زندگی می‌کنم.
>>pes<< I love cats.	من گربه ها را دوست دارم.
>>pes<< I love cats.	من عاشق گربه ها هستم.
>>pes<< I was fired.	من اخراج شدم.
>>pes<< I went home.	من به خانه رفتم.
>>pes<< I'm a baker.	من نانوا هستم.
>>pes<< It's Monday.	امروز دوشنبه است.
>>pes<< It's futile.	بیهوده است.
>>pes<< Many thanks.	سپاس فراوان.
>>pes<< Money talks.	پول کارها را راست و ریس می کند.
>>pes<< Money talks.	همه چیز پول است.
>>pes<< Release him.	او را رها کن.
>>pes<< Tom came by.	تام سر زد.
>>pes<< Tom came by.	تام سرزده آمد.
>>pes<< Tom frowned.	تام اخم کرد.
>>pes<< Tom is wary.	تام محتاط است.
>>pes<< We are here.	ما اینجایم.
>>pes<< We are here.	ما اینجا هستیم.
>>pes<< We ate eggs.	تخم‌مرغ خوردیم.
>>pes<< Who'll cook?	چه کسی آشپزی می‌کند؟
>>pes<< Work slowly.	به آرامی کار کن.
>>pes<< Abandon ship!	کشتی را ترک کنید!
>>pes<< Are you busy?	سرت شلوغ است؟
>>pes<< Avoid danger.	از ترس دوری کن.
>>pes<< Come with me.	با من بیا.
>>pes<< Do you smoke?	آیا سیگار می‌کشی؟
>>pes<< Don't slouch.	قوز نکن.
>>pes<< Drive safely.	با احتیاط بران.
>>pes<< Drive slowly.	به آرامی رانندگی کن.
>>pes<< Good evening.	عصر به خیر.
>>pes<< Good for you.	باریک الله، چه عالی، چه خوب
>>pes<< Goodbye, Tom.	خداحافظ، تام.
>>pes<< I have to go.	باید بروم.
>>pes<< I need a hug.	من به یک بغل احتیاج دارم.
>>pes<< I need a hug.	به یک آغوش نیاز دارم.
>>pes<< I understand.	فهمیدم.
>>pes<< I'm so happy.	من بسیار خوشحالم.
>>pes<< Is Tom lucid?	آیا تام هشیار است؟
>>pes<< It's my book.	این کتاب من است.
>>pes<< It's snowing.	دارد برف می بارد.
>>pes<< Ladies first.	اول خانم ها بفرمایند.
>>pes<< Let go of it.	ولش کن!
>>pes<< Meat, please.	گوشت، لطفا.
>>pes<< My eyes hurt.	چشمانم آسیب دیدند.
>>pes<< My eyes itch.	چشمانم می‌خارند.
>>pes<< Please hurry.	لطفاً عجله کن.
>>pes<< Please leave.	لطفا برو بیرون.
>>pes<< Please relax.	لطفا، آرام باش.
>>pes<< Speak softly.	با نرمی سخن بگو.
>>pes<< Stop smoking.	سیگار نکش.
>>pes<< Stop yelling!	فریاد زدن را متوقف کن!
>>pes<< Sweet dreams!	خواب های خوش ببینی!
>>pes<< Take it easy.	آسان بگیرش.
>>pes<< They're evil.	آنها شر هستند.
>>pes<< They're here.	آنان اینجاند.
>>pes<< They're here.	آن‌ها اینجاند.
>>pes<< They're here.	آن‌ها اینجا هستند.
>>pes<< We succeeded.	موفق شدیم.
>>pes<< We're mature.	ما بالغ هستیم.
>>pes<< What is love?	عشق چیست؟
>>pes<< Years passed.	سالها گذشته است.
>>pes<< You're funny.	شما بامزه هستید.
>>pes<< Are you alone?	آیا تنها هستی؟
>>pes<< Choose wisely.	عاقلانه انتخاب کن.
>>pes<< Confide in me.	به من اعتماد کن.
>>pes<< Do I know him?	آیا او را می شناسم؟
>>pes<< Do it quickly.	آن را سریع انجام بده.
>>pes<< Drop your gun!	تفنگ را بیانداز.
>>pes<< Everyone dies.	همه می میرند.
>>pes<< I do love you.	واقعاً دوسِت دارم. واقعاً عاشِقِتم.
>>pes<< I felt hungry.	گرسنگی را حس کردم.
>>pes<< I second that.	موافقم.
>>pes<< I use Firefox.	من از برنامه ی فایرفاکس استفاده می کنم.
>>pes<< I'm a tourist.	من توریستم.
>>pes<< I'm on strike.	من در اعتصاب هستم.
>>pes<< I'm so lonely.	خیلی تنهایَم.
>>pes<< It has a flaw.	این یک ایراد دارد.
>>pes<< Mary is weird.	ماری خارق العاده است.
>>pes<< My name's Tom.	نام من تام است.
>>pes<< Seal the room.	اتاق را مهر و موم کنید.
>>pes<< She was brave.	او شجاع بود.
>>pes<< Speak clearly.	روشن حرف بزن.
>>pes<< That's absurd!	آن احمقانه است.
>>pes<< Time is money.	وقت گرانبهاست.
>>pes<< Tom came back.	تام برگشت.
>>pes<< Tom was brave.	تام شجاع بود.
>>pes<< What ails you?	چه چیز تو را رنجور می‌کند؟
>>pes<< You can do it.	تو می‌تونی.
>>pes<< You're joking!	شوخی می‌کنید.
>>pes<< Avoid conflict.	از درگیری اجتناب کنید.
>>pes<< Begin counting.	شمردن را آغاز کن.
>>pes<< Close the door.	در را ببند.
>>pes<< Don't watch TV.	تلوزیون را تماشا نکن.
>>pes<< Good afternoon.	بعد از ظهر به خیر.
>>pes<< Happy New Year!	سال نو مبارک.
>>pes<< He came by car.	او با ماشین آمد.
>>pes<< He felt uneasy.	او احساس ناراحتی کرد.
>>pes<< He flew a kite.	او یک بادبادک هوا کرد.
>>pes<< He flew a kite.	او یک کاغذک هوا کرد.
>>pes<< He seems tired.	او خسته به نظر می رسد.
>>pes<< He worked hard.	خیلی سخت کار می کرد.
>>pes<< I drink coffee.	من قهوه می‌نوشم.
>>pes<< I glanced away.	من به دوردست نگاه کردم.
>>pes<< I glanced back.	من به پشت نگاه کردم.
>>pes<< I hate working.	من از کار کردن متنفرم.
>>pes<< I hate zealots.	من از متعصبین متنفرم.
>>pes<< I have nothing.	من چیزی ندارم.
>>pes<< I trusted them.	من به آنها اعتماد کردم.
>>pes<< I urge caution.	من توصیه به احتیاط می کنم.
>>pes<< I'll treat you.	من از تو مراقبت خواهم کرد..
>>pes<< I'm an atheist.	من خداناباور هستم.
>>pes<< I'm used to it.	به آن عادت کرده‌ام.
>>pes<< I'm used to it.	بهش عادت دارم.
>>pes<< I'm very sorry.	من خیلی متأسفم.
>>pes<< It was so dark.	هوا خیلی تاریک بود.
>>pes<< It's a hot day.	امروز هوا گرم است.
>>pes<< It's rush hour.	الان ساعت شلوغیه.
>>pes<< Kids are cruel.	بچه ها بی رحم هستند.
>>pes<< Leave it alone.	ولش کن!
>>pes<< Leave me alone!	ولم کن!
>>pes<< Let's be frank.	بیا صادق باشیم.
>>pes<< Let's watch TV.	بیا تلویزیون ببینیم.
>>pes<< Louder, please.	بلندتر، لطفا.
>>pes<< May I help you?	آیا می‌توانم تو را کمک کنم.
>>pes<< My back itches.	پشتم می‌خارد.
>>pes<< My name is Tom.	نام من تام است.
>>pes<< Stop gossiping.	خبرچینی را بس کن.
>>pes<< They quarreled.	آنها جر و بحث کردند.
>>pes<< They're adults.	آنها بزرگسال هستند.
>>pes<< Tom came alone.	تام تنها آمد.
>>pes<< Tom is a dummy.	تام هیچی حالیش نیست.
>>pes<< Tom is abusive.	تام سوء استفاده گراست.
>>pes<< Tom is welcome.	تام خوش آمده است.
>>pes<< We're not safe.	ما در امنیت نیستیم.
>>pes<< Well, let's go.	خیلی خوب بیا بریم.
>>pes<< Where is Paris?	پاریس کجاست؟
>>pes<< Who's confused?	کیست که نفهمید؟
>>pes<< You're welcome.	خواهش میکنم
>>pes<< You're welcome.	قابلی نداره.
>>pes<< Act like adults.	مانند بزرگسالان رفتار کن.
>>pes<< Boys, be nimble.	پسرها، چالاک باشید.
>>pes<< Cats catch mice.	گربه ها موش ها را می گیرند.
>>pes<< Change is scary.	تغییر ترسناک است.
>>pes<< Congratulations!	ماشاءا..، ای والله، خیلی عالی!
>>pes<< Congratulations!	مبارکه !
>>pes<< Crows are smart.	کلاغ‌ها باهوش هستند.
>>pes<< Good night, Tom.	شب به خیر، تام.
>>pes<< Have a good day.	روز خوبی داشته باشید.
>>pes<< He lied readily.	او به آسانی دروغ گفت.
>>pes<< He stared at me.	او از من شروع کرد.
>>pes<< He stared at me.	او به من خیره شد.
>>pes<< He walks slowly.	او به آرامی راه می رود.
>>pes<< Hi. How are you?	سلام، حالت چه طوره؟
>>pes<< How adventurous!	چه ماجراجویی!
>>pes<< I hate fighting.	من از جدال متنفّرم.
>>pes<< I have no rival.	من هیچ رقیبی ندارم.
>>pes<< I hear the drum.	صدای طبل را می شنوم.
>>pes<< I hope Tom wins.	امیدوارم تام برنده شود.
>>pes<< I love you, too.	منم دوسِت دارم. مَنَم عاشِقِتم.
>>pes<< I prefer coffee.	قهوه را ترجیح می‌دهم.
>>pes<< I run every day.	من هر روز می دوم.
>>pes<< I was surprised.	من جا خوردم.
>>pes<< I'm a shoemaker.	من موزه دوز هستم.
>>pes<< I'm an engineer.	من مهندس هستم.
>>pes<< I'm begging you.	از شما التماس می کنم.
>>pes<< I'm going to go.	می خواهم بروم.
>>pes<< Is it important?	آیا مهم است؟
>>pes<< Is the end near?	آیا پایان نزدیک است؟
>>pes<< Is this a dream?	آیا این یک رؤیاست؟
>>pes<< Is this a dream?	آیا این یک خیالست؟
>>pes<< Keep the change.	بقیه پول مال خودت!
>>pes<< Leave Tom alone.	کاری به کار تام نداشته باش.
>>pes<< Leave him alone.	کاری به کارش نداشته باش.
>>pes<< Let's go by bus.	بگذار با اتوبوس برویم.
>>pes<< Life's not easy.	زندگی آسان نیست.
>>pes<< Merry Christmas!	کریسمس مبارک.
>>pes<< Send it airmail.	این را با پست هوایی بفرست.
>>pes<< Send them to me.	آنها را به من بفرست.
>>pes<< Shut your mouth.	کپت را ببند.
>>pes<< So far, so good.	بسیار دور بسیار خوب است.
>>pes<< That's changing.	دارد عوض می‌شود.
>>pes<< That's changing.	دارد تغییر می‌کند.
>>pes<< The car is blue.	ماشین آبی‌رنگ است.
>>pes<< The car is blue.	ماشینه آبیه.
>>pes<< The sea is calm.	دریا آرام است.
>>pes<< The sea is calm.	دریا آرومه.
>>pes<< The truth hurts.	حقیقت تلخ است.
>>pes<< Tom has matured.	تام بالغ شده است.
>>pes<< Tom looks happy.	تام خوشحال به نظر می‌رسد.
>>pes<< Turn off the TV.	تلویزیون را خاموش کن.
>>pes<< Walls have ears.	دیوار موش دارد.
>>pes<< We can pay cash.	ما می‌توانیم پول نقد بپردازیم.
>>pes<< We must be firm.	ما باید استوار باشیم.
>>pes<< We must find it.	باید پیدایش کنیم.
>>pes<< We were engaged.	ما درگیر شده بودیم.
>>pes<< We will survive.	ما زنده خواهیم ماند.
>>pes<< We've found Tom.	ما تام را پیدا کردیم.
>>pes<< What a cool car!	چه ماشین خفنی!
>>pes<< What time is it?	ساعت چند است.
>>pes<< What's happened?	مگه چی شده؟
>>pes<< What's the time?	ساعت چند است.
>>pes<< You are a woman.	تو یک زن هستی.
>>pes<< You look sleepy.	تو خواب آلود به نظر می رسی.
>>pes<< You're gullible.	تو ساده‌دلی.
>>pes<< You're gullible.	تو ساده‌دل هستی.
>>pes<< You're gullible.	تو زودباوری.
>>pes<< You're gullible.	تو زودباور هستی.
>>pes<< You're gullible.	شما ساده‌دل هستید.
>>pes<< You're gullible.	شما زودباور هستید.
>>pes<< Are these edible?	آیا اینها قابل خوردن هستند؟
>>pes<< Are you a singer?	شما یک خواننده هستید؟
>>pes<< Are you teachers?	شماها معلمید؟
>>pes<< Are you teachers?	آیا شما آموزگار هستید؟
>>pes<< Attention please!	توجه لطفاً!
>>pes<< Bats are mammals.	خفاشها پستاندارند.
>>pes<< Birds have beaks.	پرندگان منقار دارند.
>>pes<< Can you prove it?	آیا می‌توانی آن را اثبات کنی؟
>>pes<< Come sit with us.	بیا با ما بنشین.
>>pes<< Don't be foolish.	احمق نباش!
>>pes<< Don't deceive me.	من را فریب ندهید.
>>pes<< Don't make me go.	منو مجبور به رفتن نکن.
>>pes<< Don't provoke me.	من را تحریک نکن.
>>pes<< Drive cautiously.	با احتیاط رانندگی کنید.
>>pes<< Fight like a man.	مانند یک مرد بجنگ.
>>pes<< Have a good time.	اوقات خوبی داشته باشید.
>>pes<< He blew the deal.	او معامله را برهم زد.
>>pes<< He fascinated me.	من مجذوب او شده بودم.
>>pes<< He is a beginner.	او تازه کار است.
>>pes<< He saved my life.	او زندگی مرا نجات داد.
>>pes<< He threw his toy.	او اسباب بازیش را پرت کرد.
>>pes<< Health is wealth.	سلامتی نعمت است.
>>pes<< Here is your key.	بفرمایین اینم کلیدتون.
>>pes<< Horses eat grass.	اسبها علف می‌خورند.
>>pes<< I agree with him.	با او موافقم.
>>pes<< I am still alone.	همچنان تنهایم.
>>pes<< I can't die here.	نمی توانم اینجا بمیرم.
>>pes<< I can't hear you.	صدات نمیاد.
>>pes<< I don't know him.	من او را نمی شناسم.
>>pes<< I don't think so.	من اینطور فکر نمی کنم.
>>pes<< I drink tea, too.	من نیز چای می‌نوشم.
>>pes<< I drink tea, too.	من هم چای می‌نوشم.
>>pes<< I like chocolate.	من شکلات دوست دارم.
>>pes<< I like to travel.	دوست دارم مسافرت کنم
>>pes<< I missed the bus.	من اتوبوس را از دست دادم.
>>pes<< I never hurt Tom.	من هیچوقت تام رو اذیت نکردم.
>>pes<< I said I'm sorry.	من گفتم که متاسفم.
>>pes<< I see the target.	هدف را میبینم.
>>pes<< I still love you.	من هنوز دوسِت دارم. هنوزعاشِقِتم.
>>pes<< I was very frank.	من خیلی صادق بودم.
>>pes<< I'd urge caution.	من احتیاط خواهم کرد.
>>pes<< I'm doing better.	بهترم.
>>pes<< I'm drinking tea.	من دارم چای می‌نوشم.
>>pes<< Is the bank open?	آیا بانک باز است؟
>>pes<< It is time to go.	موقع رفتن است.
>>pes<< It was excessive.	افراط بود.
>>pes<< It was excessive.	زیاده روی بود.
>>pes<< It's a sunny day.	امروز روزی آفتابی است.
>>pes<< It's conceivable.	این قابل تصوره.
>>pes<< Listen carefully.	به دقت گوش کن.
>>pes<< Many people hunt.	خیلی از افراد شکار می کنند.
>>pes<< No pain, no gain.	نا برده رنج گنج میسر نمی‌شود.
>>pes<< No place is safe.	هیچ مکانی امن نیست.
>>pes<< Please don't cry.	لطفا گریه نکن.
>>pes<< Please excuse me.	لطفاً مرا ببخشید.
>>pes<< Please let me go.	لطفا به من اجازه بده بروم.
>>pes<< Please stay safe.	لطفاً در امان بمانید.
>>pes<< Snakes are scary.	مارها ترسناک هستند.
>>pes<< Spiders scare me.	عنکبوتها مرا می ترساند.
>>pes<< Stop being cruel.	سنگدل بودن را متوقف کن.
>>pes<< That seems weird.	آن به نظر عجیب می آید.
>>pes<< That's fortunate.	آن خوش شانسی است.
>>pes<< The fog is dense.	مه غلیظ است.
>>pes<< They hurried off.	آنها شتافتند.
>>pes<< They live nearby.	آنها همین نزدیکی ها زندگی می کنند.
>>pes<< This book is old.	این کتاب قدیمی است.
>>pes<< This disturbs me.	این مرا آشفته می‌کند.
>>pes<< Tom drank coffee.	تام قهوه نوشید.
>>pes<< Tom drank coffee.	تام قهوه خورد.
>>pes<< Tom drinks water.	تام آب می‌نوشد.
>>pes<< Tom hurt himself.	تام به خودش آسیب می زند.
>>pes<< Tom is a fanatic.	تام یک افراطی است.
>>pes<< Tom looks scared.	تام به نظر می رسید ترسیده باشد.
>>pes<< Tom ran for help.	تام برای کمک شتافت.
>>pes<< Tom spoke wisely.	تام عاقلانه حرف زد.
>>pes<< We hate violence.	ما از خشونت متنفریم.
>>pes<< We must find Tom.	باید تام را پیدا کنیم.
>>pes<< Were you jealous?	آیا شما حسود بودید ؟
>>pes<< What a nice idea!	چه ایده خوبی!
>>pes<< What's the cause?	علت چیست؟
>>pes<< What's the cause?	سبب چیست؟
>>pes<< Where are we now?	ما اکنون کجا هستیم؟
>>pes<< You already paid.	شما قبلاً مزد گرفتید.
>>pes<< You did it again.	تو این کار را دوباره انجام دادی.
>>pes<< You did it again.	شما آن را دوباره انجام دادید.
>>pes<< You're impatient.	شما بی‌صبر هستید.
>>pes<< You're impatient.	شما نابردبار هستید.
>>pes<< You're organized.	شما مرتب هستید.
>>pes<< Add a little milk.	کمی شیر اضافه کن.
>>pes<< Are lions mammals?	آیا شیرها پستاندارند؟
>>pes<< Are you confident?	آیا شما مطمئنید؟
>>pes<< Birds build nests.	پرندگان لانه می‌سازند.
>>pes<< Can I pay in cash?	آیا می‌توانم نقدی بپردازم؟
>>pes<< Can I pay in cash?	می‌توانم نقدی بپردازم؟
>>pes<< Defend yourselves.	از خود دفاع کنید.
>>pes<< Didn't I tell you?	نگفتم بهت؟
>>pes<< Don't distract me.	حواس مرا پرت نکن.
>>pes<< Don't tell anyone.	به همه نگو.
>>pes<< Good evening, Tom.	عصر به خیر، تام.
>>pes<< Good morning, Tom.	صبح به خیر، تام.
>>pes<< Haste makes waste.	عجله کار شیطان است.
>>pes<< He began to shout.	او شروع به فریاد کشیدن کرد.
>>pes<< He came to see me.	او آمد مرا ببیند.
>>pes<< He came to see me.	وی آمد تا من را ببیند.
>>pes<< He speaks English.	او انگلیسی صحبت می‌کند.
>>pes<< He turned traitor.	او خیانتکار شد.
>>pes<< He was bewildered.	او گیج شده بود.
>>pes<< Hold the elevator.	آسانسور را نگه دار.
>>pes<< Hold the elevator.	آسانسور را نگه دارید.
>>pes<< How was your test?	امتحانت، چطور بود؟
>>pes<< I agreed with her.	من با او موافقم.
>>pes<< I bathe every day.	من هر روز حمام می کنم.
>>pes<< I forgot his name.	نام او را فراموش کردم.
>>pes<< I gave my consent.	من رضایت دادم.
>>pes<< I got a bad grade.	من یک نمره بد به دست آوردم.
>>pes<< I have a headache.	من سردرد دارم.
>>pes<< I hit the jackpot.	من پول زیادی برنده شدم.
>>pes<< I need assistance.	من به دستگیری نیازمندم.
>>pes<< I need assistance.	من به دستگیری نیاز دارم.
>>pes<< I owe you my life.	من زندگیم را به شما مدیون هستم.
>>pes<< I really like red.	من واقعاً سرخ را می‌پسندم.
>>pes<< I really like red.	من واقعاً قرمز را دوست دارم.
>>pes<< I sat by his side.	من کنار او نشستم.
>>pes<< I saw an airplane.	من یک هواپیما دیدم.
>>pes<< I study at school.	من در مدرسه تحصیل می کنم.
>>pes<< I'm bad at sports.	من در ورزش کارکشته نیستم.
>>pes<< I'm not a student.	من دانشجو نیستم.
>>pes<< I'm not a student.	دانش‌آموز نیستم.
>>pes<< I've got blisters.	من تاول زدم.
>>pes<< Insure it, please.	این را بیمه کن،لطفا.
>>pes<< It costs too much.	هزینه زیادی می‌برد.
>>pes<< It seems adequate.	این به نظر کافی می رسد.
>>pes<< It's a tiring job.	کار خسته کننده ای است.
>>pes<< It's really gross.	این واقعاً زشت است.
>>pes<< It's too late now.	الان دیگه خیلی دیر شده.
>>pes<< Life is beautiful.	زندگی زیباست.
>>pes<< May God bless you.	خدا به تو برکت بدهد.
>>pes<< May God bless you.	خدا عمرت بده!
>>pes<< My oath is sacred.	سوگند من مقدس است.
>>pes<< No one can resist.	هیچ کس نمی تواند مخالفت کند.
>>pes<< Nobody is perfect.	هیچکس کامل نیست.
>>pes<< Once more, please.	یکی دیگه، لطفا. یه بار دیگه، خواهشن.
>>pes<< Peaches are sweet.	هلو ها شیرین هستند.
>>pes<< She drives me mad.	او مرا دیوانه می کند.
>>pes<< She fascinated me.	من مجذوب او شده بودم.
>>pes<< She made me hurry.	او مرا شتابزده کرد.
>>pes<< She married young.	او در سن پایین ازدواج کرد.
>>pes<< Speak more slowly.	شمرده‌تر صحبت کنید.
>>pes<< Tell me the truth.	به من حقیقت را بگو.
>>pes<< That's impossible.	آن ممکن نیست.
>>pes<< The doorbell rang.	زنگ در به صدا درآمد.
>>pes<< The food is ready.	غذا حاضر است.
>>pes<< The water is good.	این آب با کیفیت است.
>>pes<< There is a strike.	اعتصاب وجود دارد.
>>pes<< They wanted proof.	آنها برهان می‌خواستند.
>>pes<< This book is mine.	این کتاب مال من است.
>>pes<< Tom became uneasy.	تام نگران شد.
>>pes<< Tom drinks coffee.	تام قهوه می‌نوشد.
>>pes<< Tom is fastidious.	تام ایرادگیر است.
>>pes<< Tom scored a goal.	تام گل زد.
>>pes<< Tom was terrified.	تام وحشت‌زده بود.
>>pes<< We cultivate rice.	ما برنج کشت می کنیم
>>pes<< We dance together.	ما با یکدیگر می رقصیم.
>>pes<< We must find them.	باید پیدایشان کنیم.
>>pes<< We were impatient.	ما عجول بودیم.
>>pes<< We're all mothers.	ما همه مادر هستیم.
>>pes<< What could happen?	چه چیزی می‌تواند اتفاق بیوفتد؟
>>pes<< What is the truth?	حقیقت چیست؟
>>pes<< What is your name?	اسم شما چیست؟
>>pes<< When was she born?	او کی متولد شده است؟
>>pes<< Where did they go?	آنها به کجا رفتند؟
>>pes<< Where is the bank?	بانک کجاست؟
>>pes<< Where've you been?	کجا بوده‌اید؟
>>pes<< Who made the doll?	چه کسی عروسک را درست کرده است؟
>>pes<< Why are you lying?	چرا دروغ میگی؟
>>pes<< Will you pay cash?	آیا پول نقد خواهید پرداخت؟
>>pes<< Will you pay cash?	آیا پول نقد خواهی پرداخت؟
>>pes<< Will you pay cash?	پول نقد خواهی پرداخت؟
>>pes<< Will you pay cash?	پول نقد خواهید پرداخت؟
>>pes<< You are beautiful.	تو زیبا هستی.
>>pes<< You are beautiful.	تو قشنگی.
>>pes<< You're both liars.	شما هر دو دروغگو هستید.
>>pes<< You're reasonable.	شما قابل قبول هستید.
>>pes<< Your time is over.	وقت شما تمام شد.
>>pes<< Always be cautious.	همیشه احتیاط کن.
>>pes<< Ants have six legs.	مورچه ها شش پا دارند.
>>pes<< Are these for sale?	آیا اینها برای فروش هستند؟
>>pes<< Are you vegetarian?	آیا گیاه‌خوار هستید؟
>>pes<< Attendance is free.	حضور رایگان است.
>>pes<< Bananas are yellow.	موز زرد است.
>>pes<< Can I see this one?	می تونم این یکی رو ببینم؟
>>pes<< Can I take a break?	می توانم استراحت کنم؟
>>pes<< Can I use your pen?	آیا می‌توانم از خودکارت استفاده کنم؟
>>pes<< Come along with us.	بیا با ما برویم.
>>pes<< Come along with us.	بیا با ما.
>>pes<< Does Tom drink tea?	تام چای می‌نوشد؟
>>pes<< Does Tom drink tea?	آیا تام چای می‌نوشد؟
>>pes<< Don't get me wrong.	درباره من اشتباه برداشت نکن.
>>pes<< Don't get me wrong.	درمورد من فکر بد نکن.
>>pes<< He advised caution.	او به احتیاط توصیه کرد.
>>pes<< He closed the door.	او در را بست.
>>pes<< He killed that man.	او آن مرد را کشت.
>>pes<< He likes adventure.	او به ماجراجویی علاقه مند است.
>>pes<< How's married life?	زندگی متاهلی چطور است؟
>>pes<< I admire your grit.	من عزمت را تحسین می‌کنم.
>>pes<< I also like apples.	من سیب‌ها را نیز دوست دارم.
>>pes<< I didn't forget it.	من آن را فراموش نکردم.
>>pes<< I didn't notice it.	بهش توجه نکردم.
>>pes<< I didn't notice it.	آن را ملاحظه نکردم.
>>pes<< I don't have a dog.	من سگ ندارم.
>>pes<< I don't understand.	من نمی فهمم.
>>pes<< I endured the pain.	درد را تحمل کردم.
>>pes<< I got my shoes wet.	کفش‌هایم را خیس کردم.
>>pes<< I have my own room.	من اتاق مختص خود دارم.
