>>max<< Who?	Sapa?
>>max<< You speak French, right?	Ngana tau bahasa Prancis, io to?
>>max<< I would do it if I could.	Kalo kita bisa tu kita su biking suda.
>>max<< I played soccer yesterday.	Kalmaring kita barmaeng bola kaki.
>>max<< I spent 100 dollars today.	Ini hari kita su pake doi saratus dolar.
>>max<< I was hungry, so I ate it.	Karna kita su lapar, jadi kita makang itu suda.
>>max<< It's the third of October.	Ini su 3 Oktober.
>>max<< It's the third of October.	Ini su bulan spulu tanggal tiga.
>>max<< Tom knows a lot of people.	Tom kanal orang banya skali.
>>max<< Tom said it cost too much.	Tom bilang dia pe harga talalu mahal.
>>max<< You don't like it, do you?	Ngana tara suka itu barang, io to?
>>max<< Does Tom understand French?	Tom mangarti bahasa Prancis?
>>max<< Is that what you're asking?	Itu yang ngana tanya tadi tu?
>>max<< Tom speaks French fluently.	Tom bicara pake bahasa Prancis bagus skali.
>>max<< I brought something for you.	Kita ada bawa satu barang for kase ngana.
>>max<< Most people think I'm crazy.	Banya orang kira kita gila.
>>max<< Tom prefers speaking French.	Tom lebe suka bicara deng bahasa Prancis.
>>max<< What do you do after dinner?	Abis makang malam ngana mu biking apa?
>>max<< Did Tom die in that accident?	Batul ka tarada Tom mati pas tatabrak tu?
>>max<< Speaking French is difficult.	Bicara deng bahasa Prancis tu susa.
>>max<< Won't you join us for dinner?	Ngana tara mau pigi makang malam deng torang?
>>max<< You understand French, right?	Ngana mangarti bahasa Prancis, io to?
>>max<< I don't have any money at all.	Kita tarada doi, satu sen me tarada.
>>max<< She pretended to be a student.	Dia bafoya jadi ana murid.
>>max<< Where can we make a phone call?	Di mana torang bisa batelfon?
>>max<< "Who is it?" "It's your mother."	"Sapa itu?" "Dia ngana pe mama."
>>max<< "Who is it?" "It's your mother."	"Dia itu sapa?" "Dia itu ngana pe mama."
>>max<< I waited for an hour and a half.	Kita baku tunggu satu jam stenga.
>>max<< I'm sorry, but I can't help you.	Kita minta maaf, kita tara bisa bantu ngana.
>>max<< I'm sorry, but I can't help you.	Kita minta maaf e barang tara bisa bantu ngana kong.
>>max<< What do you think of my new hat?	Menurut ngana kita pe topi ni bagimana?
>>max<< This morning, I bicycled to work.	Kita pigi nae speda for pigi karja pagi-pagi.
>>max<< Tom almost died in that accident.	Tom amper maninggal pas dia tatabrak.
>>max<< You're angry with me, aren't you?	Ngana mara kita, io?
>>max<< You're angry with me, aren't you?	Ngana mara pa kita, io to?
>>max<< "What day is it?" "It's Wednesday."	"Ini hari hari apa?" "Hari Rabu."
>>max<< "Where does it hurt?" "Everywhere."	"Sake di mana?" "Samua-samua sake."
>>max<< He warned us not to enter the room.	Dia bilang torang jang maso dalam situ.
>>max<< How many close friends do you have?	Ngana pe tamang dekat ada barapa orang?
>>max<< Although Tom is sick, he's swimming.	Tom sake me pigi barenang.
>>max<< Few people live to be 100 years old.	Orang-orang yang umur sampe saratus tu cuma sadiki.
>>max<< If you can come tomorrow, please do.	Kalo ngana bisa datang beso tu datang da.
>>max<< You hid behind the tree, didn't you?	Ngana basambunyi di pohong pe balakang, io?
>>max<< I usually eat at home with my family.	Kita biasa makang deng keluarga di ruma.
>>max<< Please write your date of birth here.	Tulis ngana pe tanggal lahir tu.
>>max<< How long have you been learning English?	Su barapa lama ngana balajar bahasa Inggris?
>>max<< If you speak French, I won't understand.	Kalo ngana bicara bahasa Prancis, akang kita tara mangarti.
>>max<< He has a fear that his brother will fail.	Dia tako dia pe ade tara lulus.
>>max<< He has a fear that his brother will fail.	Dia tako dia pe kaka tara lulus.
>>max<< How old were you when you left Australia?	Ngana pe umur barapa taong pas ngana kase tinggal Australia?
>>max<< I like listening to music, especially jazz.	Kita suka dengar musik, apalagi jazz tu.
>>max<< Tom saw his name written on the blackboard.	Tom lia dia pe nama tatulis di papan tulis.
>>max<< It's really dark here. I can't see anything.	Galap skali di sini. Kita tara bisa lia apa-apa.
>>max<< There is no need for a comma in this sentence.	Tara bole ada koma di kalimat ini.
>>max<< You need a passport to enter a foreign country.	Kalau ngana mu pigi negara laeng tu ngana musti ada paspor.
>>max<< Tom is in the kitchen, cutting up some vegetables.	Tom ada bairis sayor di dapur.
>>max<< We were late for school because it rained heavily.	Torang tarlambat sampe di skola barang ujang basar skali kong.
>>max<< It's about three kilometers from here to the coast.	Sini tu tiga kilo dari pante.
>>max<< It's about three kilometers from here to the coast.	Di sini tu tiga kilometer dari pante.
>>max<< If we leave now, we could be back in Boston by 2:30.	Kalau torang pigi skarang, torang bisa bale di Boston jam stenga tiga.
>>max<< I felt so sleepy that I could hardly keep my eyes open.	Kita manganto skali sampe mata mu tabuka me susa bahaya.
>>max<< I didn't know that Tom and Mary were brother and sister.	Kita tara tau kalo Tom deng Mary baku ade-kaka.
>>max<< Forks were used for many years in Europe and the Near East, but only for cooking.	Orang-orang di Eropa deng di Asia sabala barat tamba deng Mesir su biasa pake forok deng taong, tapi dong cuma pake mumasa saja.
>>max<< Tom and Mary booked a room with two beds, but when they arrived at the hotel, there was only one bed.	Tom deng Mary pasang kamar satu yang tampa tidor ada dua, tapi pas dorang sampe di hotel tu dia pe tampa tidor cuma satu.
