>>glg<< Thanks!	Grazas.
>>glg<< He talked about music.	El falou de música.
>>glg<< I don't have any pens.	Non teño ningún bolígrafo.
>>glg<< I don't need anything.	Non preciso nada.
>>glg<< I need it by tomorrow.	Necesítoo para mañá.
>>glg<< It's not worth trying.	Non paga a pena intentalo.
>>glg<< She always works hard.	Ela sempre traballa moito.
>>glg<< She is afraid of dogs.	Ela tenlle medo aos cans.
>>glg<< Tom got off the plane.	Tom baixou do avión.
>>glg<< We have two daughters.	Temos dúas fillas.
>>glg<< Where are your things?	Onde están as túas cousas?
>>glg<< All roads lead to Rome.	Todos os camiños levan a Roma.
>>glg<< Are you speaking to me?	Falas comigo?
>>glg<< I knew he would accept.	Sabía que el aceptaría.
>>glg<< This is not a sentence.	Isto non é unha frase.
>>glg<< Are you drinking coffee?	Bebedes café?
>>glg<< Are you working tonight?	Traballas esta noite?
>>glg<< I hardly have any money.	Apenas teño cartos.
>>glg<< I'll be back in an hour.	Volvo nunha hora.
>>glg<< You can swim, can't you?	Sabes nadar, non si?
>>glg<< A year has twelve months.	Un ano ten doce meses.
>>glg<< He dressed up as a woman.	Vestiuse coma unha muller.
>>glg<< I can't accept this gift.	Non podo aceptar este agasallo.
>>glg<< I eat eggs every morning.	Como ovos tódalas mañás.
>>glg<< I won't go till tomorrow.	Non irei ata mañá.
>>glg<< I'm too busy to help him.	Estou moi ocupado como para axudalo.
>>glg<< The snow has disappeared.	A neve desapareceu.
>>glg<< The snow started to melt.	A neve empezou a derreterse.
>>glg<< These books are very old.	Estes libros son moi vellos.
>>glg<< He always tells the truth.	El sempre di a verdade.
>>glg<< He took poison by mistake.	El tomou veleno por erro.
>>glg<< I'm waiting for the train.	Estou agardando o tren.
>>glg<< One plus two equals three.	Un máis dous é igual a tres.
>>glg<< The bedrooms are upstairs.	Os dormitorios están enriba.
>>glg<< Tom finally ate something.	Tom finalmente comeu algo.
>>glg<< Who painted this painting?	Quen pintou ese cadro?
>>glg<< He shaved his mustache off.	Afeitou o bigote.
>>glg<< He told her about his plan.	Faloulle a ela do seu plan.
>>glg<< I can easily touch my toes.	Podo tocar doadamente os meus dedos dos pés.
>>glg<< I'll call tomorrow morning.	Chamarei mañá á mañá.
>>glg<< This dictionary isn't mine.	Este dicionario non é meu.
>>glg<< What did you do last night?	Que fixeches onte pola noite?
>>glg<< Hardly anyone was satisfied.	Case ninguén quedou satisfeito.
>>glg<< I don't know where he lives.	Non sei onde reside.
>>glg<< I have a suggestion for you.	Teño unha suxestión para ti.
>>glg<< I wish you were close to me.	Ogallá estiveses preto de min.
>>glg<< Is there a telephone nearby?	Hai un teléfono preto?
>>glg<< The girl let the bird loose.	A nena deixou ao paxaro en liberdade.
>>glg<< The wound hasn't healed yet.	A ferida non cicatrizou aínda.
>>glg<< Why don't you have a family?	Por que non tes familia?
>>glg<< He was the man of her dreams.	Era o home dos seus soños.
>>glg<< The bucket was full of water.	O caldeiro estaba cheo de auga.
>>glg<< The bucket was full of water.	O balde estaba cheo de auga.
>>glg<< He is the man you can rely on.	El é o home no cal ti podes confiar.
>>glg<< He plays the guitar very well.	El toca moi ben a guitarra.
>>glg<< He slept with the window open.	El durmiu coa fiestra aberta.
>>glg<< How many siblings do you have?	Cantos irmáns tendes?
>>glg<< I know you're going to say no.	Sei que vas dicir non.
>>glg<< I'm sure you know what I mean.	Estou certo de que sabes de que falo.
>>glg<< She insisted on her innocence.	Ela insistiu na súa inocencia.
>>glg<< The food isn't very good here.	A comida de aquí non é moi boa.
>>glg<< It's just that I don't like it.	É que non me gusta.
>>glg<< That was an unforgivable error.	Ese foi un erro imperdoábel.
>>glg<< There's no reason to be afraid.	Non hai por que ter medo.
>>glg<< There's nobody at the entrance.	Non hai ninguén na entrada.
>>glg<< Children often swim in the lake.	Os rapaces a menudo nadan no lago.
>>glg<< Have you read today's paper yet?	Liches xa o xornal de hoxe?
>>glg<< I know that Tom is a pharmacist.	Sei que o Tom é farmacéutico.
>>glg<< I'm going to put a stop to this.	Vou deter isto.
>>glg<< Please come as soon as possible.	Por favor, ven tan axiña como sexa posíbel.
>>glg<< Tom doesn't want to go home now.	Tom non quere ir para casa agora.
>>glg<< Could I see the schedule, please?	Podería mirar o horario, por favor?
>>glg<< How could we handle this problem?	Como poderiamos tratar esta liorta?
>>glg<< I don't want crumbs on the table.	Non quero migallas sobre a mesa.
>>glg<< I was too tired to go on working.	Eu estaba demasiado canso para continuar traballando.
>>glg<< She turned away and began to cry.	Ela virouse e comezou a chorar.
>>glg<< The smell of food made me hungry.	O olor da comida deume fame.
>>glg<< The traffic light changed to red.	O semáforo mudou a vermello.
>>glg<< All the apple trees were cut down.	Todas as maceiras foron pinchadas.
>>glg<< He is still too young for the job.	El aínda é moi novo para este traballo.
>>glg<< It's too bad you can't come today.	É unha mágoa que non poidas vir hoxe.
>>glg<< To make money one must want money.	Pra facer cartos, un primeiro ten que desexa-los cartos.
>>glg<< We found a nail stuck in the tire.	Atopamos un cravo espetado no pneumático.
>>glg<< A cat came out from under the desk.	Un gato saíu de abaixo do escritorio.
>>glg<< A cat came out from under the desk.	Un gato saíu de embaixo do escritorio.
>>glg<< I have two brothers and one sister.	Teño dous irmáns e unha irmá.
>>glg<< Tell me how you solved the problem.	Cóntame como solucionaches o problema.
>>glg<< The more we have, the more we want.	Canto máis temos, máis queremos.
>>glg<< You should have accepted his advice.	Debiches acepta-lo seu consello.
>>glg<< If he comes, tell him to wait for me.	Se vén, dille que agarde por min.
>>glg<< My parents want me to study medicine.	Os meus pais queren que estude medicina.
>>glg<< She stirred the milk into her coffee.	Ela mesturou o leite co café.
>>glg<< Do you need me to give you some money?	Precisas que che dea algo de cartos?
>>glg<< I have two brothers and three sisters.	Teño dous irmáns e tres irmás.
>>glg<< If you're busy, I can do that for you.	Se estás ocupado podo facelo por ti.
>>glg<< She reads the newspaper every morning.	Ela le o xornal cada mañá.
>>glg<< This could be done in one or two days.	Iso poderíase facer nun ou dous días.
>>glg<< An eye for an eye, a tooth for a tooth.	Ollo por ollo, dente por dente.
>>glg<< December is the last month of the year.	Decembro é o último mes do ano.
>>glg<< Nobody told me what time I should come.	Ninguén me dixo cando tiña que vir.
>>glg<< The soldiers resisted the enemy attack.	Os soldados resistiron o ataque do inimigo.
>>glg<< Do you write with a blue or a black pen?	Vostede escribe con bolígrafo azul ou con bolígrafo negro?
>>glg<< He stood by me whenever I was in trouble.	El estivo ao meu carón sempre que eu tiña problemas.
>>glg<< Someone must have left the water running.	Alguén debeu deixa-la auga a correr.
>>glg<< They stopped their game and stared at me.	Eles detiveron o seu xogo e ollaron en fite para min.
>>glg<< The United States became a nation in 1776.	Os Estado Unidos convertéronse nunha nación en 1776.
>>glg<< Would you have time to have lunch with me?	Terás tempo pra comer comigo?
>>glg<< We are going to visit our aunt next Sunday.	O domingo que vén iremos visita-la nosa tía.
>>glg<< This is the last opportunity I'm giving you.	Esta é a derradeira oportunidade que che dou.
>>glg<< There is a TV remote control under the couch.	Hai un mando a distancia debaixo do sofá.
>>glg<< Write your name and address on this envelope.	Escribe o teu nome e enderezo neste sobre.
>>glg<< I'm getting off the train at the next station.	Báixome do tren na próxima estación.
>>glg<< In Japan, the new school year begins in April.	No Xapón o ano novo escolar comeza en abril.
>>glg<< Nuclear energy is used to produce electricity.	A enerxía nuclear emprégase para producir electricidade.
>>glg<< He is smart enough to answer all the questions.	É abondo intelixente para contestar a tódalas preguntas.
>>glg<< The trouble with him is that he is not punctual.	O seu problema é que non é puntual.
>>glg<< If you go to the movies, take your sister with you.	Se vas ao cine, leva a túa irmá.
>>glg<< When I got home, I found your letter waiting for me.	Cando cheguei á casa, atopei a túa carta esperándome.
>>glg<< She enjoyed herself very much at the party yesterday.	Ela divertiuse moito na festa de onte.
>>glg<< This is the first airplane to land at the new airport.	Este é o primeiro avión a desembarcar no novo aeroporto.
>>glg<< Country life is very peaceful in comparison with city life.	A vida no campo é moi tranquila en comparación coa vida na cidade.
>>glg<< When you're done with the book, put it back where you found it.	En rematando co libro, volve pólo onde o atopaches.
>>glg<< Thousands of candles illuminated the church during the ceremony.	Milleiros de candeas alumaban a igrexa durante a cerimonia.
