>>cym<< Goodbye!	Da bo chi!
>>cym<< Where did you put your key?	Lle rhoddaist dy agoriad?
>>cym<< He will be writing a letter.	Bydd o'n ysgrifennu llythyr.
>>cym<< I'd like to know what it is.	Hoffwn wybod beth yw hi.
>>cym<< I'm convinced Tom is guilty.	Dw i'n sicr bod Tom yn euog.
>>cym<< I'm not sure Tom likes that.	Dw i ddim yn siŵr bod Tom yn hoffi hynny.
>>cym<< Is English spoken in Canada?	A siaredir Saesneg yng Nghanada?
>>cym<< Tom is helping us with that.	Mae Tom yn ein helpu efo hynny.
>>cym<< Who do you play tennis with?	Gyda phwy wyt ti'n chwarae tenis?
>>cym<< Have you ever sung in French?	Ydych chi erioed wedi canu mewn Ffrangeg?
>>cym<< I see your cat in the garden.	Gwelaf dy gath yn yr ardd.
>>cym<< I'd like to live in New York.	Hoffwn i fyw yn Efrog Newydd.
>>cym<< One language is never enough.	Nid yw un iaith byth yn ddigon.
>>cym<< We haven't turned a stove on.	Dydyn ni ddim wedi troi stôf ymlaen.
>>cym<< How many children do you have?	Sawl plentyn sy’ gen ti?
>>cym<< Is it you who'll buy the food?	Ai ti brynith y bwyd?
>>cym<< Do you think Tom is still poor?	Wyt ti'n meddwl bod Tom dal yn dlawd?
>>cym<< I'm glad you're over your cold.	Dwi'n falch eich bod chi dros eich annwyd.
>>cym<< One of my friend's dogs is fat.	Mae un o gŵn fy ffrind yn dew.
>>cym<< Tom says he's waiting for Mary.	Dywedodd Tom ei fod yn aros am Mari.
>>cym<< It's not going to happen to Tom.	Dydy hi ddim yn mynd i ddigwydd i Tom.
>>cym<< He found the box under the table.	Daeth o hyd i focs o dan y bwrdd.
>>cym<< I'm not sure that Tom likes that.	Dw i ddim yn siŵr bod Tom yn hoffi hynny.
>>cym<< You know how to drive, don't you?	Rwyt ti'n gwybod sut i yrru, 'dwyt?
>>cym<< How did Tom know where Mary lived?	Sut oedd Tom yn gwybod lle 'roedd Mari'n byw?
>>cym<< I don't know what Tom did with it.	Dw i ddim yn gwybod beth wnaeth Tom gyda hi.
>>cym<< I think that I'm fluent in French.	Dw i'n meddwl fy mod i'n rhugl yn y Ffrangeg.
>>cym<< Tom allowed Mary to drive his car.	Caniataodd Tom i Mair yrru'i gar.
>>cym<< Tom should've been sent to prison.	Ddylai Tom ddim wedi cael ei anfon i'r carchar.
>>cym<< Brussels is the capital of Belgium.	Mae Brwsel yn brifddinas Gwlad Belg.
>>cym<< To obey the law is everyone's duty.	Dyletswydd ar bawb yw dilyn y gyfraith.
>>cym<< Tom didn't want to be a pharmacist.	Doedd Tom ddim eisiau bod yn fferyllydd.
>>cym<< Tom got hurt in a traffic accident.	Cafodd Tom ei anafu mewn damwain draffig.
>>cym<< Forty-eight sailors are on the ship.	Mae wyth morwr ar ddeugain ar y llong.
>>cym<< I couldn't do anything at that time.	Do'n i methu gwneud dim ar y pryd.
>>cym<< I'm waiting for the light to change.	Dw i'n aros i'r golau newid.
>>cym<< Is this the right way to the museum?	Ai dyma’r ffordd iawn i’r amgueddfa?
>>cym<< Since it was raining, I stayed home.	Gan fod yn bwrw glaw, arhosais adref.
>>cym<< You don't know how much money I owe.	Dwyt ti ddim yn gwybod faint o arian sy' arnaf i.
>>cym<< I keep hearing good things about Tom.	Dw i o hyd yn clywed pethau da am Tom.
>>cym<< Tom is better at the piano than I am.	Mae Tom yn well ar y piano na fi.
>>cym<< Tom is responsible for this accident.	Mae Tom yn gyfrifol am y ddamwain hon.
>>cym<< You know that I can't sing very well.	Rwyt ti'n gwybod nad ydw i'n dda iawn yn canu.
>>cym<< I know Tom doesn't know Mary did that.	Dw i'n gwybod nad ydy Tom yn gwybod y gwnaeth Mari hynny.
>>cym<< There is a kite flying above the tree.	Mae barcut yn hedfan uwch ben y goeden.
>>cym<< Tom and I have been friends for years.	Mae Tom a fi wedi bod yn ffrindiau am flynyddoedd.
>>cym<< Tom said he wasn't worried about that.	Dywedodd Tom nad oedd yn poeni am hynny.
>>cym<< You didn't tell Tom anything, did you?	Ni ddywedaist ddim wrth Tom, naddo?
>>cym<< All of our students are studying French.	Mae pob un o'n myfyrwyr yn astudio Ffrangeg.
>>cym<< Both Tom and Mary speak French fluently.	Mae Tom a Mair ill dau'n siarad Ffrangeg yn rhugl.
>>cym<< Does Tom have to stay in Boston all week?	Oes rhaid i Tom aros ym Moston trwy'r wythnos?
>>cym<< We have to leave at the end of the month.	Mae’n rhaid i ni adael ar ddiwedd y mis.
>>cym<< I'll never tell anyone who you really are.	Ddyweda i byth wrth neb pwy wyt ti mewn gwirionedd.
>>cym<< Tom promised to go to Australia with Mary.	Addawodd Tom i fynd i Awstralia gyda Mair.
>>cym<< I don't want to know why you don't like me.	Dw i ddim eisiau gwybod pam nad wyt ti'n fy hoffi.
>>cym<< He always eats eggs without salt and pepper.	Mae o wastad yn bwyta wyau heb halen a phupur.
>>cym<< Tom's got a tremendous amount of work to do.	Mae gan Tom bentwr o waith i'w wneud.
>>cym<< I noticed a new set of footprints in the snow.	Sylweddolais ar bâr ffres o ôl-troed yn yr eira.
>>cym<< Tom didn't know there were wolves in the area.	Doedd Tom ddim yn gwybod bod bleiddiau yn yr ardal.
>>cym<< While you drive, you should focus on the road.	Wrth i ti yrru, dylet ganolbwyntio ar y ffordd.
>>cym<< Success can only be achieved through hard work.	Ni chyflawnir llwyddiant trwy waith caled.
>>cym<< Success can only be achieved through hard work.	Egni a lwydd.
>>cym<< I know that Tom doesn't know that Mary did that.	Dw i'n gwybod nad ydy Tom yn gwybod y gwnaeth Mari hynny.
>>cym<< I think nothing is more important than friendship.	Dw i'n meddwl bod dim byd yn bwysicach na chyfeillgarwch.
>>cym<< There's a man at the door who wants to talk to you.	Mae dyn wrth y drws sy' eisiau siarad efo ti.
>>cym<< Tom didn't know that there were wolves in the area.	Doedd Tom ddim yn gwybod bod bleiddiau yn yr ardal.
>>cym<< I thought college would be a more interesting place.	Ro'n i'n meddwl byddai'r coleg yn lle mwy diddorol.
>>cym<< There's a man at the door who wants to speak with you.	Mae dyn wrth y drws sy' eisiau siarad efo ti.
>>cym<< I added a picture and hope that you find it appropriate.	Ychwanegais lun a gobeithio dy fod ti'n ei weld yn addas.
>>cym<< If it weren't for music, the world would be a boring place.	Pe na bai cerddoriaeth, byddai'r byd yn lle diflas.
>>cym<< I don't think Tom will ever be able to sing as well as Mary.	Dydw i ddim yn meddwl bydd Tom byth yn medru canu cystal â Mari.
>>cym<< I think that Tom lived in Boston when he was in high school.	Dw i'n meddwl bod Tom yn byw ym Moston pan oedd o yn yr ysgol uwchradd.
>>cym<< Tom told the police detective that he didn't recognize the man in the photo.	Dywedodd Tom wrth y detectif heddlu nad oedd yn adnabod y dyn yn y llun.
>>cym<< I see you have your guitar with you. Are you planning on playing something for us?	Dw i'n gweld bod gen ti dy gitâr efo ti. Wyt ti'n bwriadu chwarae rhywbeth i ni?
>>cym<< A man who has never gone to school may steal from a freight car, but if he has a university education, he may steal the whole railroad.	Byddai modd i ddyn na aeth i'r ysgol ddwyn o drên nwyddau, ond pe bai addysg brifysgol ganndo, byddai modd iddo ddwyn y rheilffordd i gyd.
