>>uig<< Who am I?	مەن كىم ؟
>>uig<< I cooked breakfast for you.	مەن سىزگە ناشتىلىق تەييارلاپ برەي
>>uig<< I'll be back for you later.	كېيىنچىرەك سىز بىلەن كۆرۈشكىلى كېلىمەن.
>>uig<< Tom tied Mary to the chair.	توم مارىيەنى ئورۇندۇققا باغلاپ قويدى.
>>uig<< When are we going to do it?	ئۇنى قاچان قىلىمىز؟
>>uig<< You were hurt, weren't you?	سىز يارلانغان ،شۇنداقمۇ؟
>>uig<< He left the last page blank.	ئۇ ئەڭ ئاخىرقى بەتنى قۇرۇق قويدى.
>>uig<< I don't remember you at all.	مەن سىزنى پەقەتلا ئەسلىيەلمىدىم.
>>uig<< I just saw something moving.	مەن ھېلىلا بىر نەرسىنىڭ مېدىرلىغىنىنى كۆردۈم.
>>uig<< I want to go to see a movie.	مەن كىنو كۆرگىلى بارماقچى.
>>uig<< They're eating their apples.	ئالمىلىرىنى يەۋاتىدۇ.
>>uig<< This rug has a nice pattern.	بۇ گىلەمنىڭ نۇسخسى چىرايلىقكەن.
>>uig<< Tom looked at me and smiled.	توم ماڭا قاراپ كۈلۈمسىرىدى.
>>uig<< Tom threatened to kill Mary.	توم مارىيەگە ئۆلتۈرۋېتىمەن دەپ تەھدىت سالدى.
>>uig<< What do you do for a living?	نېمە كەسىپ بىلەن شۇغۇللىنىسىز؟
>>uig<< You've already told me that.	سىز ئۇنى ماڭا ئاللىقاچان دەپ بولغان.
>>uig<< A ship is moored at the pier.	بىر كېمە پىرىستاندا توختۇتۇلغان.
>>uig<< Few people speak my language.	مېنىڭ تىلىمدا ئاز كىشىلەر سۆزلەيدۇ.
>>uig<< He loves you as much as I do.	ئۇسېنى مەندەك ياخشى كۆرىدۇ.
>>uig<< He speaks as if he were rich.	ئۇ ئۆزى بايدەكلە گەپ قىلىدۇ.
>>uig<< He was opposed to monopolies.	ئۇ مونوپۇللۇققا قارشى تۇردى.
>>uig<< My mother knows Tom's mother.	مېنىڭ ئاپام تومنىڭ ئاپىسىنى تونۇيدۇ.
>>uig<< Tell Tom what you want to do.	نېمە ئىش قىلماقچى ئىكەنلىكىڭىزنى تومغا ئېيتىڭ.
>>uig<< The teacher sat on the chair.	ئوقۇتقۇچى ئورۇندۇقتا ئولتۇردى.
>>uig<< Tom told Mary not to be late.	توم مارىيەگە كېچىكىپ قالما دېدى.
>>uig<< Did you play tennis yesterday?	تۈنۈگۈن چويلا توپ ئوينىدىڭىزمۇ؟
>>uig<< He often eats fish for dinner.	ئۇ دائىم تامىقىغا بىلىق يەيدۇ.
>>uig<< He revealed the secret to her.	ئۇ سىرنى ئۇنىڭغا ئاشكارلاپ قويدى.
>>uig<< He would be glad to hear that.	ئۇ ئۇنى ئاڭلىسا خۇش بولىدۇ.
>>uig<< His father failed in business.	ئۇنىڭ دادىسى سودىدا مەغلۇپ بولدى.
>>uig<< I have my own bedroom at home.	ئۆيدە ئۆزەمنىڭ ياتىقى بار.
>>uig<< I must finish this work first.	مەن ئاۋۋال ماۋۇ ئىشىمنى پۈتتۈرۋىلىشىم كېرەك.
>>uig<< I want something hot to drink.	قىززىقراق بىرنەرسە ئىچكىم بار.
>>uig<< It was yesterday that he died.	ئۇ تۈنۈگۈن ئۆلۈپتىكەن.
>>uig<< The baby isn't crying anymore.	بوۋاق يىغلىمايۋاتىدۇ.
>>uig<< The satellite is now in orbit.	سۈنئىي ھەمرا ھازىر ئوربىتىدا.
>>uig<< Tom thought he would help out.	توم ئۇنىڭ ياردەم قىلىشىنى ئويلىدى.
>>uig<< What's cooking in the kitchen?	ئاشخانىدا نېمە تاماق ئېتىلىۋاتىدۇ؟
>>uig<< He admitted that he was guilty.	ئۇ ئۆزىنىڭ گۇناھكارئىكەنلىكىنى ئېتىراپ قىلدى.
>>uig<< He has a lot of original ideas.	ئۇنىڭ بىرمۇنچە خاس ئىدىيىلىرى بار.
>>uig<< I accidentally poisoned myself.	مەن بىخەستەلىكىمدىن ئۆزۈمنى زەھەرلەپ قويدۇم
>>uig<< I don't speak a word of French.	مەن فرانسۇزچىدىن بىر ئېغىزمۇ سۆزلىيەلمەيمەن.
>>uig<< I have the right to speak, too.	مېنىڭمۇ سۆز قىلىش ھوقۇقۇم بار.
>>uig<< I used a knife to cut the cake.	مەن تورتنى كېسىشكە پىچاق ئىشلەتتىم.
>>uig<< Look at yourself in the mirror.	ئەينەكتىن ئۆزۈڭگە قاراپ باق.
>>uig<< Tom needed money from the bank.	تومغا بانكىدىن پۇل ئېلىش زۆرۈر بولۇپقالدى.
>>uig<< Tom told Mary his phone number.	توم مارىيەگە ئۆزىنىڭ تېلېفون نومۇرىنى دەپ بەردى.
>>uig<< How long has he lived in London?	ئۇ لوندۇندا قانچە ئۇزۇن تۇرغان؟
>>uig<< I am accustomed to working hard.	ياخشى ئىشلەشكە كۆنۈپ قاپتىمەن.
>>uig<< Let's go out before it gets hot.	ھاۋا ئىسسىشتىن بۇرۇن سىرتقا چىقايلى.
>>uig<< Only adults may watch that film.	ئۇ فىملىمنى پەقەت چوڭلارلا كۆرسە بولىدۇ.
>>uig<< She has a wonderful personality.	ئۇنىڭ مىجەزى ئېسىل.
>>uig<< Sing the song once more, please.	ناخشىنى يەنە قېتىم ئيېتىپ بېرىڭ.
>>uig<< The bill amounts to 500 dollars.	تالۇننىڭ سوممىسى 500دوللار
>>uig<< What are you doing up this late?	بۇنچە كەچتە نېمە ئىش قىلىۋاتىسىز؟
>>uig<< What's the meaning of this word?	بۇ سۆزنىڭ مەنىسى نىمە؟
>>uig<< You'd better not argue with Tom.	سىز ياخشىسى توم بىلەن تاكاللاشماڭ.
>>uig<< I'll not make that mistake again.	ئۇ خاتالىقنى قايتا قىلمايمەن.
>>uig<< She has a very enviable position.	ئۇنىڭ ئورنى كىشىنىڭ ھەۋىسىنى كەلتۈرىدۇ.
>>uig<< You must make your own decisions.	ئۆزۈڭنىڭ قارارىنى ئۆزۈڭ چىقىرىشىڭ كېرەك.
>>uig<< You should prepare for the worst.	سەن ئەڭ ناچار ئەھۋالغا تەييارلىق قىلىشىڭ كېرەك.
>>uig<< He must have abused the privilege.	ئۇ چوقۇم ھوقۇقىنى قالايمىقان ئىشلەتتى.
>>uig<< I don't know any more than you do.	سىزدىن ئارتۇق بىلمەيمەن.
>>uig<< I don't know any more than you do.	سىز بىلگەنچىلىك بىلمەيمەن.
>>uig<< I usually get up at eight o'clock.	دائىم سائەت سەككىزدە ئورنۇمدىن تۇرىمەن.
>>uig<< Tom told Mary he wanted a divorce.	توم مارىيەگە ئاجىرشىدىغانلىقىنى ئەيتتى.
>>uig<< Unexpected results were announced.	كۈتۈلمىگەن نەتىجىلەر ئۇقتۇرۇلدى.
>>uig<< Who was the telephone invented by?	تېلېفون كىم تەرپىدىن كەشىپ قىلىنغان؟
>>uig<< Who was the telephone invented by?	تېلېفوننى كەشىپ قىلغان كىم؟
>>uig<< Would you like to leave a message?	ئۇچۇر قالدۇرامسىز؟
>>uig<< He killed himself by taking poison.	ئۇ زەھەر ئىچىپ ئۆلىۋالدى.
>>uig<< It was nothing less than a miracle.	ئۇ ھەقىيقەتەن مۆجىزە ئىدى.
>>uig<< Learning a foreign language is fun.	چەتئەل تىلى ئۆگۈنۈش مەنىلىك.
>>uig<< Muhammad Ali was an American boxer.	مۇھەممەد ئەلى بولسا ئامېرىكىلىق بوكسىيورچى ئېدى.
>>uig<< Teaching English is his profession.	ئېنگىلىز تىلى ئوقۇتۇش ئۇنىڭ كەسپى.
>>uig<< Tom certainly did an excellent job.	توم ھەقىقەتەن قالتىس ئىش قىلدى.
>>uig<< Tom told Mary an interesting story.	توم مارىيەگە قىزىقارلىق ھېكايىدىن بىرنى ئەيتىپ بەردى.
>>uig<< Tom told Mary not to be late again.	توم مارىيەگە يەنە كېچىكىپ قالما دېدى.
>>uig<< Tom told Mary not to study so hard.	توم مارىيەگە ئۇنچىلىك بەك تىرشىپ ئوقۇما دېدى.
>>uig<< We'll have a barbecue at the beach.	دېڭىز ساھىلىدا قاقلىغان گۆش يەيمىز.
>>uig<< You are responsible for the result.	ئاقىۋىتىگە سىز سەۋەبچى.
>>uig<< I have nothing particular to do now.	مېنىڭ ھازىر قىلغۇدەك ئالاھىدە ئىشىم يوق.
>>uig<< I tried to stop that from happening.	مەن بۇنداق ئىشنىڭ يۈزمەرمەسلىكىنى كۆزلەۋاتىمەن
>>uig<< If you eat so much, you'll get sick.	كۆپ يېسەڭ ئاغىرىپ قالىسەن.
>>uig<< Production has remarkably increased.	ئىشلەپچىقىرىش كۆرىنەرلىك ئاشتى.
>>uig<< She looked at herself in the mirror.	ئۇ ئەينەكتىن ئۆزىگە قارىدى.
>>uig<< She stirred her coffee with a spoon.	ئۇ قوشۇق بىلەن قەھۋەسىنى قوچۇدى.
>>uig<< Tell me something that I don't know.	ماڭا مەن بىلمەيدىغان بىر نەرسە سۆزلە.
>>uig<< Tom looked at himself in the mirror.	توم ئۆزىگە ئەينەكتىن قارىدى.
>>uig<< Tom threw Mary's book into the fire.	توم مارىيەنىڭ كىتابىنى ئوتقا تاشلىۋەتتى.
>>uig<< Tom told Mary not to go there alone.	توم مارىيەگە ئۇ يەرگە يالغۇز بارمىغىن دېدى.
>>uig<< Tom told Mary not to play with fire.	توم مارىيەگە ئوت بىلەن ئويناشما دېدى.
>>uig<< Toronto used to be called Fort York.	تورونتونى فورت يورك دەپ ئاتاش ئادەت بولۇپ قالدى.
>>uig<< We can't see each other for a while.	بىز بىر بىرىمىز بىلەن خېلى ۋاقىتقىچە كۆرشەلمەيمىز.
>>uig<< I don't get paid as much as I'd like.	ئۆزۈمگە لازىملىق ھەققە ئېرىشەلمىدىم
>>uig<< I want to spend all my time with you.	بارلىق ۋاقتىمنى سەن بىلەن ئۆتكۈزمەكچىمەن.
>>uig<< Mary looked at herself in the mirror.	مەرىيە ئەينەكتىن ئۆزىگە قارىدى.
>>uig<< Please stop asking so many questions.	ئۇنداق كۆپ سۇئاللارنى سوراشنى توختۇتۇڭ.
>>uig<< There were many children in the room.	ئۆيدە نۇرغۇن بالىلار بار.
>>uig<< Tom swore that the drugs weren't his.	توم زەھەرلىك چېكىملىكنىڭ ئۇنىڭ ئەمەسلىكىگە قەسەم قىلدى.
>>uig<< Would you please look over my report?	مېنىڭ دوكىلاتىمغا بىر قاراپ باقسىڭىز بوپتىكەن؟
>>uig<< He was sent abroad as a correspondent.	ئۇ چەتئەلگە ئالاھىدە خادىم قىلىپ ئەۋەتىلدى.
>>uig<< I have often been asked that question.	ئۇ سۇئالنى باشقىلار مەندىن دائىم سورايدۇ.
>>uig<< If I were you, I'd go home right away.	سېنىڭ ئورنىڭدا مەن بولغان بولسا دەرھال ئۆيگە قايتاتتىم.
>>uig<< The people deprived him of his rights.	كىشىلەر ئۇنىڭ ھوقۇقىنى تارتىۋالدى.
>>uig<< Tom lives about three hours from here.	توم بۇ يەردىن 3 سائەتلىك يىراقلىقتا تۇرىدۇ.
>>uig<< Tom told Mary all about his childhood.	توم مارىيەگە بارلىق بالىلىقتىكى ئىشلارنى ئەيتىپ بەردى.
>>uig<< How do you usually spend your weekends?	ئادەتتە سىز دەم ئېلىش كۈنلىرىڭىزنى قانداق ئۆتكۈزىسىز؟
>>uig<< I am not any more foolish than you are.	مەن ئەمدى سەندەك ئەخمەق ئەمەس.
>>uig<< I need to get some medicine for my dad.	دادامغا بەزى دورىلارنى ئېلىشىم كېرەك.
>>uig<< The sale prices are written in red ink.	سېتىلىش باھالىرى قىزىل سىياھ بىلەن يېزىلغان.
>>uig<< Your examination results are excellent.	سىناق نەتىجىڭىز قالتىس.
>>uig<< Your examination results are excellent.	ئىمتاھان نەتىجىڭىز قالتىس.
>>uig<< He was standing at the side of the road.	ئۇ يولنىڭ ياقىسىدا تۇراتتى.
>>uig<< I don't have as much money as you think.	مەندە سەن ئويلىغاندەك ئۇنچىلىك كۆپ پۇل يوق.
>>uig<< The building is one hundred meters high.	بۇ بىنانىڭ ئېگىزلىكى 100مېتر.
>>uig<< Tom apologized to Mary for his rudeness.	توم مارىيەدىن ئۆزىنىڭ قوپاللىقى ئۈچۈن ئەپۇ سورىدى.
>>uig<< Can I please have something hot to drink?	قىززىقراق بىر نەرسە ئىچسەم بولامدۇ؟
>>uig<< He denied knowing anything of their plan.	ئۇلار پىلانىنى ماڭا بىلدۈرۈشنى رەت قىلدى.
>>uig<< I came across your brother on the street.	مەن سېنىڭ ئوغۇل قېرىندىشىڭ بىلەن كوچىدا ئۇچۇرشۇپ قالدىم.
>>uig<< I hoped to have finished it by this week.	ئۇنىڭ مۇشۇ ھەپتىدە تاماملىنىشىنى ئۈمىت قىلىمەن.
>>uig<< I worked as a piano tuner for many years.	مەن نۇرغۇن يىللاردىن بۇيان پىيانىنو ئوقۇتقۇچىلىقى قىلىۋاتىمەن
>>uig<< I've read the book Tom was talking about.	مەن توم دېگەن كىتابنى ئوقۇدۇم.
>>uig<< Tom has never visited an Islamic country.	توم ئەسلا بىرەر ئىسلام ئۆلكىسىگە بېرىپ باقمىدى.
>>uig<< Where were you when Tom needed your help?	تومغا سىزنىڭ ياردىمىڭىز كېرەك بولغاندا سىز قەيەردە ئېدىڭىز؟
>>uig<< I ran into an old friend at Tokyo Station.	مەن توكيو بېكىتىدە بىر دوستۇم بىلەن ئۇچۇرشۇپ قالدىم.
>>uig<< She won first prize in the speech contest.	ئۇ نۇتۇق مۇسابىقىسىدە بىرىنچى بولدى.
>>uig<< The quarrel left an unpleasant aftertaste.	تالاش-تارتىش خاپىچىلىق بىلەن ئاياغلاشتى.
>>uig<< Tom didn't want to tell Mary the sad news.	توم مارىيەگە قايغۇلۇق خەۋەرنى ئېيىتقىسى كەلمىدى.
>>uig<< Tom didn't want to tell Mary the sad news.	توم بۇ قايغۇلۇق خەۋەرنى مارىيەگە دېگىسى كەلمىدى.
>>uig<< Tom thought Mary's offer was unreasonable.	توم مارىيەنىڭ قويغان باھاسىنى مۇۋاپىق ئەمەس دەپ ئويلىدى.
>>uig<< He was sent on a special mission to Europe.	ئۇ ئالاھىدە ۋەزىپە بىلەن ياۋرۇپاغا ئەۋەتىلدى.
>>uig<< Let's make Valentine's Day chocolate today.	بۈگۈن ئاشىق-مەشۇقلار بايرىمى شاكىلاتى ياسايلى.
>>uig<< We're having some guests over this evening.	بۈگۈن كەچ بەزى مېھمانلار كېلىدۇ.
>>uig<< He encouraged his son to do something great.	ئۇ ئوغلىنى چوڭراق بىر ئىش قىلىشقا ئىلھاملاندۇردى.
>>uig<< Lips that touch liquor shall not touch mine.	ھاراققا تەگكەن لەۋلەر ماڭا تەگمىسۇن.
>>uig<< The point of this pencil isn't sharp enough.	بۇ قېرىنداشنىڭ ئۇچى تازا ياخشى ئۇچلانماپتۇ.
>>uig<< We had a lecture on environmental pollution.	بىز مۇھىت بۇلغىنىشى توغۇرلۇق بىر لىكسىيە سۆزلىدۇق.
>>uig<< I'm sure your efforts will result in success.	ئىشىنىمەنكى،تىرىشچانلىقىڭىزنىڭ نەتىجىسى غەلبىلىك بولىدۇ.
>>uig<< It is foolish of you to believe such a thing.	ئۇنداق نەرسىگە ئىشەنگىنىڭ سېنىڭ ئەخمەقلىقىڭ.
>>uig<< They are looking at themselves in the mirror.	ئۇلار ئۆزىگە ئەينەكتىن قاراۋاتىدۇ.
>>uig<< You must put an end to this foolish behavior.	سەن بۇ ئەخمىقانە قىلىقنى تاشلىشىڭ كېرەك.
>>uig<< Your success is the result of your hard work.	غەلبىڭىز جاپالىق تىرىشچانلىقىڭىزنىڭ نەتىجىسى.
>>uig<< Can I rely on you to be here on time tomorrow?	مەن سىزنىڭ ئەتە دەل ۋاقتىدا مۇشۇ يەردە بولىشىڭىزغا ئىشەنسەم بولامدۇ؟
>>uig<< Let me know immediately if you have a problem.	مەسىلىگە يولۇقسىڭىز ماڭا دەرھال دەڭ.
>>uig<< When I was a child, I believed in Santa Claus.	مەن كىچىك ۋاقتىمدا روژىستىۋا بوۋايغا ئىشىنەتتىم.
>>uig<< Generally speaking, men are stronger than women.	ئومۇمەن ئەيىتقاندا، ئەرلەر ئاياللاردىن كۈچلۈك.
>>uig<< Tell Tom I don't want to eat at that restaurant.	تومغا ئەيتىپ قويۇڭ،مەن ئۇ تاماقخانىدا تاماق يېمەيمەن.
>>uig<< There is nothing more important than friendship.	دوستلۇق ھەممىدىن مۇھىم.
>>uig<< This will be one of the best memories of my life.	بۇ ھاياتىمدىكى ئېسل خاتىرىلەر بولۇپ قالغۇسى.
>>uig<< What's the difference between lions and leopards?	شىر بىلەن قاپلاننىڭ پەرقى نېمە؟
>>uig<< The temperature here is higher than that of Tokyo.	بۇ يەرنىڭ تېمپىراتورسى توكيونىڭكىدىن يۇقىرى.
>>uig<< Christianity and Islam are two different religions.	خىرىستىيان ۋە ئىسلام دېنى ئىككىسى ئىككى خىل دېن.
>>uig<< Christianity and Islam are two different religions.	خىرىستىئان دىنى بىلەن ئىسلام دىنى ئوخشىمايدىغان ئىككى دىن. (ئىسلام ھەق، خىرىستىئان دىنى باتىل.)
>>uig<< Don't worry about my dog. He won't do you any harm.	ئىتىمدىن ئەنسىرمەڭ ،ئۇ سىزگە ھېچقانداق زېيان يەتكۈزمەيدۇ.
>>uig<< I thought for sure you would stay in Japan forever.	مەن چوقۇم دەپ ئويلايمەنكى سەن ياپۇنىيەدە مەڭگۈ قالىسەن.
>>uig<< Soon after he arrived, he received surprising news.	ئۇ كېلىپ ئۇزاق ئۆتمەي ھەيران قالارلىق خەۋەر تاپشۇرۋالدى.
>>uig<< Tom thought that Mary was hiding something from him.	توم مارىيەنىڭ ئۆزىدىن بىر نەرسىنى يوشۇرۋاتامدىكى دەپ ئويلىدى.
>>uig<< Tom told Mary and her children an interesting story.	توم مارىيە بىلەن ئۇنىڭ باللىرىغا قىزىقارلىق ھېكايىدىن بىرنى ئەيتىپ بەردى.
>>uig<< You know this isn't the way we should be doing this.	سەنمۇ بىلىسەن بۇنى قىلىشنىڭ يولى بۇ ئەمەس.
>>uig<< It wasn't easy for me to write this letter in French.	بۇ خەتنى فرانسۇزچە يېزىشىم ئاسانغا توختىمىدى.
>>uig<< Can you take notes for me during the professor's talk?	پروففىسۇرنىڭ نۇتقىنى خاتىرلىۋالامسەن؟
>>uig<< They think that Tom followed Mary home and killed her.	ئۇلارچە ،توم مارىيەنىڭ ئۆيىگىچە ئەگىشىپ بېرىپ ئۇنى ئۆلتۈرۋەتكەن دەپ ئويلايدۇ.
>>uig<< Her absence went unnoticed until the end of the meeting.	يىغىن ئاياقلاشقىچە ھېچكىم ئۇنىڭ كەلمىگەنلىكىگە دىققەت قىلمىدى.
>>uig<< Teachers often buy school supplies with their own money.	مۇئەللىملەر دائىم مەكتەپ بويۇملىرىنى ئۆز پۇلىغا ئالىدۇ.
>>uig<< Tom was the first one to recognize Mary's musical talent.	مارىنىڭ مۇزىكا تالانتىنى تۇنجى بولۇپ تونۇغان كىشى تومدۇر.
>>uig<< Why don't you do something useful and get me some coffee?	بىرەر پايدىلىق ئىش قىلىپ ماڭا قەھۋە ئېلىپ بەرسىڭىز قانداق؟
>>uig<< Apart from a few mistakes, your composition was excellent.	ئازىراق خاتالىقنى ھېسابقا ئالمىغاندا ،ماقالىڭىز ئېسىل چىقىپتىكەن.
>>uig<< He concealed the file in what he thought was a safe place.	ئۇ بىخەتەر دەپ ئويلىغان ئورۇنغا ھۆججەتنى يوشۇرۇپ قويدى.
>>uig<< How many times a day do you look at yourself in the mirror?	ئۆزۈڭنى كۆرۈش ئۈچۈن كۈندە قانچە قېتىم ئەينەككە قارايسەن؟
>>uig<< He anonymously donated a large sum of money to the Red Cross.	ئۇ نۇرغۇن پۇلنى قىزىل كىرىست جەمىيتىگە نامىسىز ئىئانە قىلدى.
