>>tel<< Wonderful!	అద్భుతం!
>>tel<< She taught music for thirty years.	ఆమె ముప్పై ఏళ్ళ పాటు సంగీతం నేర్పిస్తుంది
>>tel<< A cat came out from under the desk.	ఒక పిల్లి డెస్క్ కింద నుండి బయటకు వచ్చింది.
>>tel<< How about going out to eat tonight?	ఈ రాత్రి బయటకి వెళ్లి తిందామా ?
>>tel<< What he says makes no sense at all.	ఆటను చెప్పేది ఏం అర్ధం పర్థం లేకుండా ఉంది
>>tel<< Do you have anything further to say?	ఆ పైన ఇంకేమైనా చెప్పేది వుందా ?
>>tel<< I don't have time to talk right now.	నాకు ఇప్పుడు మాట్లాడేంత సమయం లేదు
>>tel<< I don't want to talk to you anymore.	నేనింక నీతో మాట్లాడదల్చుకోవట్లేదు
>>tel<< Sitting down all day is bad for you.	రోజంతా కూర్చోవడం నీకు మంచిది కాదు
>>tel<< We need to hire people we can trust.	మనం నమ్మదగిన వాళ్ళనే పనిలోకి తీసుకోవాలి
>>tel<< You can eat lunch here in this room.	నువ్వు భోజనం ఇక్కడ ఈ గదిలో తినొచ్చు
>>tel<< I'm getting off at the next bus stop.	నేను వచ్చే స్టాపు లో దిగుతాను
>>tel<< He is teaching Spanish to the children.	అతను పిల్లలకి స్పానిష్ నేర్పుతున్నాడు
>>tel<< He was a great poet as well as a doctor.	ఆటను ఒక గొప్ప కవే కాదు మంచి వైద్యుడు కూడా
>>tel<< I wouldn't go there today if I were you.	నేను నువ్వైతే ఈరోజు అక్కడికి వెళ్ళను
>>tel<< She asked me how many languages I spoke.	నేను ఎన్ని భాషలు మట్లాడుతానని తను అడిగింది
>>tel<< When you're a father, you'll understand.	నువ్వు నాన్న అయినప్పుడు నీకు అర్ధం అవుతుంది
>>tel<< Which color do you prefer, blue or green?	నీకు ఏ రంగు అంటే ఇష్టం , నీలమా లేక పచ్ఛా ?
>>tel<< Do you usually eat breakfast before seven?	నువ్వు మాములుగా ఏడు కు ముందే టిఫిన చెస్తావా?
>>tel<< It was apparent that there was no way out.	వేరే దారి లేదని స్పష్టంగా తెలుస్తుంది
>>tel<< Do you know the reason why she is so angry?	తను ఎందుకు అంత కోపంగా ఉందొ నీకు తెలుసా ?
>>tel<< I should've been able to do that by myself.	నా అంతట నేనే చేయగలిగి వుండాల్సింది
>>tel<< Please be careful not to let the dog loose.	దయచేసి కుక్కను వదిలిపెట్టకుండ జాగ్రత్త వహించండి.
>>tel<< Are you still afraid something might happen?	ఏమైనా అవుతుందని ఇంకా భయపడుతున్నావా ?
>>tel<< I have to get back home and study for a test.	నేను ఇంటికి వెళ్లి పరీక్ష కోసం చదవాలి
>>tel<< It's high time you left for school, isn't it?	స్కూలుకి బయలుదేరే సమయం అయ్యింది, కాదా
>>tel<< These socks don't stretch when you wash them.	ఈ సాక్స్ ఉతికినప్పుడు సాగవు
>>tel<< With her heart pounding, she opened the door.	తన గుండె కొట్టుకుంటూనే ఆమె తలుపు తీసింది
>>tel<< Can you tell me where the nearest bus stop is?	దగ్గరలో వున్న బస్ స్టాప్ ఎక్కడో కొంచెం చెప్తావా
>>tel<< I've made a mistake, though I didn't intend to.	నేనో పొరపాటు చేసాను, కావాలని కాకపోయినా.
>>tel<< Some people gain weight when they quit smoking.	పొగత్రాగడం మానేసినప్పుడు కొందరు బరువు పెరుగుతారు
>>tel<< It's going to take all afternoon and maybe more.	మధ్యాహ్నం మొత్తం లేదా ఇంకా ఎక్కువ సమయం పట్టొచ్చు
>>tel<< My father often falls asleep while watching television.	మా నాన్న దురదర్శిని చూస్తూనే నిద్ర పోతాడు
>>tel<< He has two pencils. One is long and the other one is short.	తన దగ్గర రెండు పెన్సిళ్ళు వున్నాయి. ఒకటి పొడుగు ఇంకోటి పొట్టి
>>tel<< Tom thought he might not be permitted to do that by himself.	టామ్ తనకు తాను చేయటానికి అనుమతించకపోవచ్చని అనుకున్నాడు.
