>>ber<< Go.	Ṛuḥ.
>>ber<< Do this.	Eg aya.
>>ber<< Drop it!	Llef-as!
>>ber<< Drop it!	Llfet-as!
>>ber<< Drop it!	Llfem-as!
>>ber<< Drop it!	Llfemt-as!
>>ber<< Drop it.	Llef-as.
>>ber<< Drop it.	Llfet-as.
>>ber<< Drop it.	Llfem-as.
>>ber<< Drop it.	Llfemt-as.
>>ber<< Fold it.	Ḍfes-it.
>>ber<< Get Tom.	Ḍḍef-d Tom.
>>ber<< Get Tom.	Ḍḍfet-d Tom.
>>ber<< Get Tom.	Ḍḍfemt-d Tom.
>>ber<< Get out!	Ffeɣ!
>>ber<< Get out!	Ffeɣ!
>>ber<< Get out!	Ffeɣ fell-i!
>>ber<< Get out!	Ffeɣ fell-aneɣ!
>>ber<< Get out.	Ffeɣ.
>>ber<< Go away!	Erẓ akkin!
>>ber<< Go away!	Ddu!
>>ber<< Go away!	Uɣal akk-in!
>>ber<< Goodbye!	ⴰⵔ ⵜⵓⴼⴰⵜ !
>>ber<< Hang on!	Ṛju!
>>ber<< Hang on.	Ggani!
>>ber<< He came.	Yus‑d.
>>ber<< He came.	Yusa-d.
>>ber<< He came.	Netta yusa-d.
>>ber<< He left.	Yeffeɣ.
>>ber<< He left.	Yedda.
>>ber<< He left.	Netta yedda.
>>ber<< He runs.	Yettazzal.
>>ber<< Help me!	Alel-iyi!
>>ber<< Help me!	Allet-iyi!
>>ber<< Help me!	Allem-iyi!
>>ber<< Help me!	Allemt-iyi!
>>ber<< Help me.	Alel-iyi.
>>ber<< Help me.	Allet-iyi.
>>ber<< Help me.	Allem-iyi.
>>ber<< Help me.	Allemt-iyi.
>>ber<< Help us.	Ɛawen-aneɣ.
>>ber<< Hi, Tom.	Azul a Tom.
>>ber<< Hit Tom.	Wet Tom!
>>ber<< Hold it!	Ṭṭef-it!
>>ber<< Hold it!	Ṭṭef-itt!
>>ber<< Hold it!	Ṭṭfet-tt!
>>ber<< Hold it!	Ṭṭfet-t!
>>ber<< Hold it!	Ṭṭfem-t!
>>ber<< Hold it!	Ṭṭfem-tt!
>>ber<< Hold it!	Ṭṭfemt-t!
>>ber<< Hold it!	Ṭṭfemt-tt!
>>ber<< Hold on.	Ṛju.
>>ber<< Hug Tom.	Ḥmec Tom.
>>ber<< I moved.	Guǧǧeɣ.
>>ber<< I moved.	Nekk guǧǧeɣ.
>>ber<< I skied.	Cgefleɣ.
>>ber<< I slept.	Ṭṭseɣ.
>>ber<< I'm fat.	Zureɣ.
>>ber<< I'm fat.	Nekk zureɣ.
>>ber<< I'm hot.	Yenɣa-iyi weẓɣal.
>>ber<< I'm ill.	Aql-iyi uḍneɣ.
>>ber<< It's OK.	Ulac aɣilif.
>>ber<< It's me.	D nekk.
>>ber<< It's me.	D nekk aya.
>>ber<< Join us.	Rnu-d ɣur-neɣ.
>>ber<< Keep it.	Jmeɛ-it.
>>ber<< Keep it.	Jemɛet-t.
>>ber<< Keep it.	Jemɛemt-t.
>>ber<< Keep it.	Jmeɛ-itt.
>>ber<< Keep it.	Jemɛet-tt.
>>ber<< Keep it.	Jemɛemt-tt.
>>ber<< Kiss me.	Ssuden-iyi.
>>ber<< Kiss me.	Ssudnet-iyi.
>>ber<< Kiss me.	Ssudnem-iyi.
>>ber<< Kiss me.	Ssudnemt-iyi.
>>ber<< Me, too.	Ula d nekk.
>>ber<< Move on.	Lḥu ɣer sdat.
>>ber<< Open it.	Ldi-t.
>>ber<< Open up.	Ldey!
>>ber<< Perfect!	Ifaz!
>>ber<< Perfect!	D aneblal!
>>ber<< See you!	Ar ticki!
>>ber<< See you!	Ar timlilit!
>>ber<< See you.	Ar ticki.
>>ber<< Show me.	Ssken-iyi-d.
>>ber<< Show me.	Sseknet-iyi-d.
>>ber<< Show me.	Sseknemt-iyi-d.
>>ber<< Shut up!	Zemmem imi-k!
>>ber<< Stop it.	Ḥbes-it.
>>ber<< Stop it.	Ḥbes-itt.
>>ber<< Stop it.	Ḥebset-t.
>>ber<< Stop it.	Ḥebsem-t.
>>ber<< Stop it.	Ḥebsemt-t.
>>ber<< Stop it.	Ḥebset-tt.
>>ber<< Stop it.	Ḥebsem-tt.
>>ber<< Stop it.	Ḥebsemt-tt.
>>ber<< Stop it.	Ssebded-it.
>>ber<< Stop it.	Ssebded-itt.
>>ber<< Stop it.	Sbeddet-t.
>>ber<< Stop it.	Sbeddet-tt.
>>ber<< Stop it.	Sbeddem-t.
>>ber<< Stop it.	Sbeddem-tt.
>>ber<< Stop it.	Sbeddemt-t.
>>ber<< Stop it.	Sbeddemt-tt.
>>ber<< Take it.	Awi-t.
>>ber<< Take it.	Awi-tt.
>>ber<< Take it.	Awit-t.
>>ber<< Take it.	Awit-tt.
>>ber<< Take it.	Awim-t.
>>ber<< Take it.	Awim-tt.
>>ber<< Take it.	Awimt-t.
>>ber<< Take it.	Awimt-tt.
>>ber<< Tell me.	Ini-iyi-d.
>>ber<< Tell me.	Init-iyi-d.
>>ber<< Tell me.	Inim-iyi-d.
>>ber<< Tell me.	Inimt-iyi-d.
>>ber<< Text me.	Aru-iyi-d azenwal.
>>ber<< Tom ate.	Tom yecca.
>>ber<< Tom ate.	Tom yečča.
>>ber<< Tom ate.	Yečča Tom.
>>ber<< Tom hid.	Tom yeffer.
>>ber<< Tom ran.	Tom yuzzel.
>>ber<< Tom ran.	Yuzzel Tom.
>>ber<< Tom won.	Tom yerbeḥ.
>>ber<< Tom won.	Yerbeḥ Tom.
>>ber<< Wake up!	Aki-d!
>>ber<< Wash up.	Ssired.
>>ber<< We care.	Nefka azal i waya.
>>ber<< We know.	Nessen.
>>ber<< We know.	Neẓra.
>>ber<< We know.	Nekkni neẓra.
>>ber<< We know.	Nekkni nessen.
>>ber<< We lost.	Nexser.
>>ber<< We lost.	Nekkni nexṣer.
>>ber<< Welcome.	Anṣuf!
>>ber<< Welcome.	ⴱⴻⵔⵔⴽ
>>ber<< Welcome.	ⴰⵏⵚⵓⴼ / ⴱⴻⵔⵔⴽ
>>ber<< Who ate?	Anwa ay yeččan?
>>ber<< Who ate?	Anwa i yeččan?
>>ber<< Who ate?	Anta i yeččan?
>>ber<< Who ate?	Anwi i yeččan?
>>ber<< Who ate?	Anti i yeččan?
>>ber<< Why not?	Acimi ala?
>>ber<< You run.	Tettazzaleḍ.
>>ber<< You win.	Trebḥed.
>>ber<< You win.	Trebḥeḍ.
>>ber<< You win.	Trebḥem.
>>ber<< You win.	Trebḥemt.
>>ber<< You win.	Tellummẓed.
>>ber<< You win.	Tellummẓeḍ.
>>ber<< You win.	Tellummẓem.
>>ber<< You win.	Tellummẓemt.
>>ber<< You win.	D kečč ay irebḥen.
>>ber<< You win.	D kemm ay irebḥen.
>>ber<< You win.	D kenwi ay irebḥen.
>>ber<< You win.	D kennemti ay irebḥen.
>>ber<< You win.	D kečč ay yellummẓen.
>>ber<< You win.	D kemm ay yellummẓen.
>>ber<< You win.	D kenwi ay yellummẓen.
>>ber<< You win.	D kennemti ay yellummẓen.
>>ber<< You won.	Trebḥed.
>>ber<< You won.	Trebḥeḍ.
>>ber<< Add milk.	Rnu akeffay.
>>ber<< Add milk.	Rnut akeffay.
>>ber<< Add milk.	Rnum akeffay.
>>ber<< Add milk.	Rnumt akeffay.
>>ber<< All rise.	Kkremt ilkell.
>>ber<< Am I fat?	Zureɣ?
>>ber<< Am I fat?	Ɛni zureɣ?
>>ber<< Ask them.	Tter-iten.
>>ber<< Ask them.	Tter-itent.
>>ber<< Ask them.	Ssuter-asen.
>>ber<< Ask them.	Ssuter-asent.
>>ber<< Avoid me.	Ɣas ssinef-iyi.
>>ber<< Avoid me.	Ɣas ssinfet-iyi.
>>ber<< Avoid me.	Ɣas ssinfem-iyi.
>>ber<< Avoid me.	Ɣas ssinfemt-iyi.
>>ber<< Back off.	Qqel ɣer deffir.
>>ber<< Be a man.	Ili-k d argaz!
>>ber<< Be brave.	Ili d abɣas.
>>ber<< Be brave.	Ili d tabɣast.
>>ber<< Be brave.	Ilit d ibɣasen.
>>ber<< Be brave.	Ilim d ibɣasen.
>>ber<< Be brave.	Ilimt d tibɣasin.
>>ber<< Be brave.	Ili-k d abɣas.
>>ber<< Be brave.	Ili-kem d tabɣast.
>>ber<< Be brave.	Ili-ken d ibɣasen.
>>ber<< Be brave.	Ili-kent d tibɣasin.
>>ber<< Be brief.	Ili-k d awezlan.
>>ber<< Be brief.	Ili-kem d tawezlant.
>>ber<< Be brief.	Ili-ken d iwezlanen.
>>ber<< Be brief.	Ili-kent d tiwezlanin.
>>ber<< Be brief.	Ili d awezlan.
>>ber<< Be brief.	Ili d tawezlant.
>>ber<< Be brief.	Ilit d iwezlanen.
>>ber<< Be brief.	Ilim d iwezlanen.
>>ber<< Be brief.	Ilimt d tiwezlanin.
>>ber<< Be quick.	Ɣiwlet.
>>ber<< Be quick.	Ɣiwlemt.
>>ber<< Be quick.	Ɣiwel.
>>ber<< Be quiet.	Susem.
>>ber<< Be quiet.	Susmet.
>>ber<< Be quiet.	Susmem.
>>ber<< Be quiet.	Susmemt.
>>ber<< Be smart.	Ili d amiɣis.
>>ber<< Be still.	Qqim ur ttewliwil ara.
>>ber<< Be still.	Qqimet ur ttewliwilet ara.
>>ber<< Be still.	Qqimemt ur ttewliwilemt ara.
>>ber<< Be still.	Qqimem ur ttewliwilet ara.
>>ber<< Bye, Tom.	Ar tufat a Tom.
>>ber<< Bye, Tom.	Ar timlilit a Tom.
>>ber<< Call Tom.	Ɣer-as i Tom.
>>ber<< Call Tom.	Ɣret-as i Tom.
>>ber<< Call Tom.	Ɣrem-as i Tom.
>>ber<< Call Tom.	Ɣremt-as i Tom.
>>ber<< Catch me.	Ṭṭef-iyi-d.
>>ber<< Catch me.	Ṭṭfet-iyi-d.
>>ber<< Catch me.	Ṭṭfem-iyi-d.
>>ber<< Catch me.	Ṭṭfemt-iyi-d.
>>ber<< Cheer up!	Fṛeḥ!
>>ber<< Cheer up!	Ur ḥezzen ara!
>>ber<< Cuff him.	Err-as ticekkalin.
>>ber<< Cuff him.	Rret-as ticekkalin.
>>ber<< Cuff him.	Rremt-as ticekkalin.
>>ber<< Drive on.	Kemmel tanhaṛt.
>>ber<< Drive on.	Kemmlet tanhaṛt.
>>ber<< Drive on.	Kemmlent tanhaṛt.
>>ber<< Find Tom.	Af-d Tom.
>>ber<< Find Tom.	Afet-d Tom.
>>ber<< Find Tom.	Afem-d Tom.
>>ber<< Find Tom.	Afemt-d Tom.
>>ber<< Fix that.	Ṣeggem aya.
>>ber<< Fix that.	Ṣeggmet aya.
>>ber<< Fix that.	Ṣeggmem aya.
>>ber<< Fix that.	Ṣeggmemt aya.
>>ber<< For real?	D tidet?
>>ber<< Get away!	Ffeɣ seg-a!
>>ber<< Get away!	Erẓ akkin!
>>ber<< Get down!	Ṣubb!
>>ber<< Get down.	Ader.
>>ber<< Get down.	Adret.
>>ber<< Get down.	Adremt.
>>ber<< Get lost!	Qewwed!
>>ber<< Get lost!	Ṛuḥ fell-i!
>>ber<< Get lost!	Ṛuḥet fell-i!
>>ber<< Get lost!	Ṛuḥemt fell-i!
>>ber<< Get lost!	Qewwdet!
>>ber<< Get lost!	Qewwdemt!
>>ber<< Get lost!	Qewwed fell-i!
>>ber<< Get lost!	Qewwdet fell!
>>ber<< Get lost!	Qewwdemt fell-i!
>>ber<< Get lost.	Rreẓ akkin.
>>ber<< Get lost.	Rrẓet akkin.
>>ber<< Get lost.	Rrẓemt akkin.
>>ber<< Get this.	Awi wa.
>>ber<< Get this.	Awit wa.
>>ber<< Get this.	Awim wa.
>>ber<< Get this.	Awimt wa.
>>ber<< Go ahead.	Aha.
>>ber<< Good job!	D axeddim yelhan!
>>ber<< Good job!	D amahil yelhan!
>>ber<< Grab Tom.	Ḍḍef-d Tom.
>>ber<< Grab Tom.	Ḍḍfet-d Tom.
>>ber<< Grab Tom.	Ḍḍfemt-d Tom.
>>ber<< Grab him.	Ḍḍef-it-id.
>>ber<< Grab him.	Ḍḍfet-t-id.
>>ber<< Grab him.	Ḍḍfemt-t-id.
>>ber<< He spoke.	Yessawel-d.
>>ber<< He tried.	Yeɛreḍ.
>>ber<< He tried.	Yurem.
>>ber<< He tries.	La iɛerreḍ.
>>ber<< He tries.	La yettarem.
>>ber<< He's wet.	Atan yebzeg.
>>ber<< Help Tom.	Ɛawen Tom.
>>ber<< Help Tom.	Ɛawnet Tom.
>>ber<< Help Tom.	Ɛawnem Tom.
>>ber<< Help Tom.	Ɛawnemt Tom.
>>ber<< Help Tom.	Alel Tom.
>>ber<< Help Tom.	Allet Tom.
>>ber<< Help Tom.	Allem Tom.
>>ber<< Help Tom.	Allemt Tom.
>>ber<< Hit that.	Ḥaz-it.
>>ber<< Hit that.	Ḥazet-t.
>>ber<< Hit that.	Ḥazem-t.
>>ber<< Hit that.	Ḥazemt-t.
>>ber<< Hit that.	Ḥaz-itt.
>>ber<< Hit that.	Ḥazet-tt.
>>ber<< Hit that.	Ḥazem-tt.
>>ber<< Hit that.	Ḥazemt-tt.
>>ber<< Hit this.	Ḥaz wa.
>>ber<< Hit this.	Ḥazet wa.
>>ber<< Hit this.	Ḥazem wa.
>>ber<< Hit this.	Ḥazemt wa.
>>ber<< How cute!	I d umliḥ!
>>ber<< How deep?	Anect i d alqayan?
>>ber<< Hurry up.	Ɣiwel!
>>ber<< Hurry up.	Ɣiwlet.
>>ber<< Hurry up.	Ɣiwlemt.
>>ber<< I agreed.	Nekk qebleɣ.
>>ber<< I agreed.	Qebleɣ.
>>ber<< I agreed.	Deggeɣ.
>>ber<< I agreed.	Nekk deggeɣ.
>>ber<< I ate it.	Ččiɣ-t.
>>ber<< I ate it.	Ččiɣ-tt.
>>ber<< I can go.	Zemreɣ ad ṛuḥeɣ.
>>ber<< I can go.	Zemreɣ ad dduɣ.
>>ber<< I cooked.	Lliɣ ssewwayeɣ.
>>ber<< I did it.	D nekk ay igan aya.
>>ber<< I did it.	Giɣ-tt.
>>ber<< I forgot.	Ttuɣ.
>>ber<< I forgot.	Nekk ttuɣ.
>>ber<< I garden.	Ttbeḥḥireɣ.
>>ber<< I get by.	Ttsellikeɣ iɣef-inu.
>>ber<< I get it.	Gziɣ.
>>ber<< I got it.	Fehmeɣ.
>>ber<< I helped.	Ulleɣ.
>>ber<< I obeyed.	Lliɣ ttaɣeɣ awal.
>>ber<< I obeyed.	Uɣeɣ awal.
>>ber<< I obeyed.	Nekk uɣeɣ awal.
>>ber<< I obeyed.	Nekk lliɣ ttaɣeɣ awal.
>>ber<< I played.	Lliɣ tturareɣ.
>>ber<< I resign.	Ad ttixreɣ.
>>ber<< I skated.	Sfuccgeɣ.
>>ber<< I stayed.	Qqimeɣ.
>>ber<< I use it.	Sseqdaceɣ-t.
>>ber<< I use it.	Sseqdaceɣ-tt.
>>ber<< I waited.	Gganiɣ
>>ber<< I'm a DJ.	Nekk d adiji.
>>ber<< I'm back.	Qqleɣ-d.
>>ber<< I'm back.	Uɣaleɣ-d.
>>ber<< I'm busy.	Aql-iyi wweẓlaɣ.
>>ber<< I'm cold.	Yenɣa-iyi usemmiḍ.
>>ber<< I'm fine.	Ur iyi-yuɣ wara.
>>ber<< I'm fine.	Fejjijeɣ.
>>ber<< I'm fine.	Aql-iyi bxir.
>>ber<< I'm fine.	Ifejjij.
>>ber<< I'm fine.	Igerrez.
>>ber<< I'm full.	Ṛwiɣ.
>>ber<< I'm good.	Lhiɣ.
>>ber<< I'm here.	Aql-in da.
>>ber<< I'm late.	Ɛeṭṭleɣ.
>>ber<< I'm lost.	Ɛerqeɣ.
>>ber<< I'm sick.	Aql-iyi uḍneɣ.
>>ber<< I'm warm.	Ḥmiɣ.
>>ber<< It works.	Tečča.
>>ber<< It's Tom.	D Tom aya.
>>ber<< It's Tom.	D Tom.
>>ber<< It's hot.	D aẓɣal.
>>ber<< It's new.	Aya d amaynu.
>>ber<< Keep out.	Ur d-ttadef ara.
>>ber<< Keep out.	Ur d-ttadfet ara.
>>ber<< Keep out.	Ur d-ttadfemt ara.
>>ber<< Kill Tom.	Neɣ Tom.
>>ber<< Kill Tom.	Nɣet Tom.
>>ber<< Kill Tom.	Nɣem Tom.
>>ber<< Kill Tom.	Nɣemt Tom.
>>ber<< Kiss Tom.	Ssuden Tom.
>>ber<< Kiss Tom.	Ssudnet Tom.
>>ber<< Kiss Tom.	Ssudnem Tom.
>>ber<< Kiss Tom.	Ssudment Tom.
>>ber<< Leave it.	Eǧǧ-it.
>>ber<< Leave it.	Ǧǧet-t.
>>ber<< Leave it.	Ǧǧemt-t.
>>ber<< Leave it.	Eǧǧ-itt.
>>ber<< Leave it.	Ǧǧet-tt.
>>ber<< Leave it.	Ǧǧemt-tt.
>>ber<< Leave me.	Ǧǧet-iyi.
>>ber<< Leave me.	Ajj-i!
>>ber<< Leave me.	Eǧǧ-iyi.
>>ber<< Leave me.	Ǧǧemt-iyi.
>>ber<< Leave me.	Ǧǧem-iyi.
>>ber<< Leave us.	Eǧǧ-aɣ.
>>ber<< Leave us.	Ǧǧet-aɣ.
>>ber<< Leave us.	Ǧǧemt-aɣ.
>>ber<< Let's go!	Ad neddu.
>>ber<< Let's go!	Yyat ad nṛuḥet !
>>ber<< Look out!	Ɣur-k!
>>ber<< Marry me.	Aɣ-iyi.
>>ber<< May I go?	Ulac aɣilif ma ddiɣ?
>>ber<< Nonsense!	ⴰⵡⴰⵍ ⴳⴰⵔ ⵜⴰⴹⴼⵉ
>>ber<< Now stop!	Ḥbes tura!
>>ber<< Save Tom.	Ssukkes-d Tom.
>>ber<< Save Tom.	Ssukkset-d Tom.
>>ber<< Save Tom.	Ssukksem-d Tom.
>>ber<< Save Tom.	Ssukksemt-d Tom.
>>ber<< Say when.	Ini-d ayweq.
>>ber<< She came.	Tusa-d.
>>ber<< She left.	Tedda.
>>ber<< She left.	Tṛuḥ.
>>ber<< She left.	Nettat tedda.
>>ber<< Sit down!	Qqim!
>>ber<< Speak up!	Ɛeyyeḍ akken ad ak-nsel!
>>ber<< Stand by.	Ṛju.
>>ber<< Stand up!	Nker!
>>ber<< Stand up!	Nekret!
>>ber<< Stand up!	Nekremt!
>>ber<< Stand up!	Bded!
>>ber<< Stand up!	Beddet!
>>ber<< Stand up!	Beddemt!
>>ber<< Stay put.	Ur ttewliwil ara.
>>ber<< Stay put.	Ur ttewliwilet ara.
>>ber<< Stay put.	Ur ttewliwilem ara.
>>ber<< Stay put.	Ur ttewliwilemt ara.
>>ber<< Stay put.	Qqim anda tellid.
>>ber<< Stay put.	Qqimet anda tellam.
>>ber<< Stay put.	Qqimemt anda tellamt.
>>ber<< Stop Tom.	Ḥbes Tom.
>>ber<< Stop Tom.	Ḥebset Tom.
>>ber<< Stop Tom.	Ḥebsem Tom.
>>ber<< Stop Tom.	Ḥebsemt Tom.
>>ber<< Take Tom.	Awi Tom.
>>ber<< Take Tom.	Awit Tom.
>>ber<< Take Tom.	Awim Tom.
>>ber<< Take Tom.	Awimt Tom.
>>ber<< Tell Tom.	Ini-as i Tom.
>>ber<< Tell Tom.	Init-as i Tom.
>>ber<< Tell Tom.	Inim-as i Tom.
>>ber<< Tell Tom.	Inimt-as i Tom.
>>ber<< Terrific!	Igerrez!
>>ber<< Terrific!	Iwenneε!
>>ber<< Terrific!	ⵉⵛⵡⴰ
>>ber<< Terrific!	ⵉⵛⵡⴰ !
>>ber<< They won.	Rebḥen.
>>ber<< They won.	Rebḥent.
>>ber<< Tom came.	Tom yusa-d.
>>ber<< Tom came.	Yusa-d Tom.
>>ber<< Tom died.	Yemmut Tom.
>>ber<< Tom fell.	Tom yeɣli.
>>ber<< Tom fell.	Yeɣli Tom.
>>ber<< Tom fled.	Tom yerwel.
>>ber<< Tom fled.	Yerwel Tom.
>>ber<< Tom knew.	Tom yella yeẓra.
>>ber<< Tom left.	Tom yedda.
>>ber<< Tom left.	Yedda Tom.
>>ber<< Tom lied.	Tom yeskerkes.
>>ber<< Tom lied.	Yeskerkes Tom.
>>ber<< Tom lies.	Tom yeskerkis.
>>ber<< Tom lost.	Tom yexṣer.
>>ber<< Tom lost.	Yexṣer Tom.
>>ber<< Tom paid.	Ixelleṣ Tom.
>>ber<< Tom paid.	Tom ixelleṣ.
>>ber<< Tom paid.	D Tom ay ixellṣen.
>>ber<< Tom quit.	Tom yettaxer-d seg uxeddim.
>>ber<< Tom quit.	Tom yettaxer.
>>ber<< Tom quit.	Yettaxer Tom.
>>ber<< Tom quit.	Tom yettaxer seg uxeddim.
>>ber<< Tom quit.	Tom yettaxer seg umahil.
