>>tgl<< Run.	Takbo.
>>tgl<< Let's try!	Subukan natin!
>>tgl<< Look back!	Lumingon ka!
>>tgl<< Seriously?	Seryoso?
>>tgl<< She cried.	Umiyak siya.
>>tgl<< She tried.	Sinubukan niya.
>>tgl<< Start now.	Magumpisa ngayon.
>>tgl<< Stay calm.	Manatiling kalmado.
>>tgl<< Stay here.	Manatili ka dito.
>>tgl<< Stay home.	Manatili sa bahay.
>>tgl<< Stop that!	Itigil iyan!
>>tgl<< Stop that.	Tigilan iyan.
>>tgl<< They fell.	Nahulog sila.
>>tgl<< They left.	Umalis sila.
>>tgl<< They lied.	Nagsinungaling sila.
>>tgl<< Tom cried.	Umiyak si Tom.
>>tgl<< Tom drove.	Nagmaneho si Tom.
>>tgl<< Tom knows.	Alam ni Tom.
>>tgl<< Tom spoke.	Nagsalita si Tom.
>>tgl<< Tom stood.	Tumayo si Tom.
>>tgl<< Tom tried.	Sinubukan ni Tom.
>>tgl<< Tom voted.	Bumoto si Tom.
>>tgl<< Tom walks.	Lumalakad si Tom.
>>tgl<< Tom waved.	Kumaway si Tom.
>>tgl<< Trust Tom.	Pagkatiwalaan mo si Tom.
>>tgl<< Try again.	Subukan mo ulit.
>>tgl<< Wait here.	Magintay ka dito.
>>tgl<< Watch Tom.	Subaybayan mo si Tom.
>>tgl<< Watch Tom.	Panoorin mo si Tom.
>>tgl<< We agreed.	Sumang-ayon tayo.
>>tgl<< We forgot.	Nakalimutan namin.
>>tgl<< We talked.	Nag-usap kami.
>>tgl<< We waited.	Naghintay kami.
>>tgl<< What's up?	Anong mayroon?
>>tgl<< Who cares?	Sinong may pakialam?
>>tgl<< Who is he?	Sino siya?
>>tgl<< Who knows?	Sinong may alam?
>>tgl<< Who stood?	Sinong tumayo?
>>tgl<< Who's she?	Sino siya?
>>tgl<< Write Tom.	Isulat mo ang Tom.
>>tgl<< You start.	Ikaw magsimula.
>>tgl<< You tried.	Sinubukan mo.
>>tgl<< You tried.	Sumubok ka.
>>tgl<< Answer Tom.	Sagutin mo si Tom.
>>tgl<< Ask around.	Magtanong-tanong.
>>tgl<< Birds sing.	Kumakanta ang mga ibon.
>>tgl<< Bring food.	Magdala ng pagkain.
>>tgl<< Bring food.	Magdala ka ng pagkain.
>>tgl<< Bring food.	Magdala kayo ng pagkain.
>>tgl<< Bring help.	Magdala ng tulong.
>>tgl<< Bring help.	Magdala kayo ng tulong.
>>tgl<< Bring help.	Magdala ng ka ng tulong.
>>tgl<< Bring wine.	Magdala ng alak.
>>tgl<< Bring wine.	Magdala ka ng alak.
>>tgl<< Bring wine.	Magdala kayo ng alak.
>>tgl<< Carry this.	Buhatin ito.
>>tgl<< Carry this.	Buhatin mo ito.
>>tgl<< Carry this.	Buhatin niyo ito.
>>tgl<< Don't move!	Huwag gumalaw!
>>tgl<< Don't move.	Huwag gumalaw.
>>tgl<< Don't quit.	Huwag tumigil.
>>tgl<< Don't stop.	Huwag tumigil.
>>tgl<< Don't talk!	Wag magsalita!
>>tgl<< Eat slowly.	Kumain ng mahinahon.
>>tgl<< Find a job.	Maghanap ng trabaho.
>>tgl<< Follow Tom.	Sundan si Tom.
>>tgl<< Follow him.	Sundan siya.
>>tgl<< Forget Tom.	Kalimutan si Tom.
>>tgl<< Forgive us.	Patawarin mo kami.
>>tgl<< Forgive us.	Patawarin niyo kami.
>>tgl<< Get inside.	Pasok sa loob.
>>tgl<< He's lying.	Nagsisinungaling siya.
>>tgl<< He's smart.	Matalino siya.
>>tgl<< I disagree.	Hindi ako sang-ayon.
>>tgl<< I got sick.	Nagkasakit ako.
>>tgl<< I hope not.	Sana hindi.
>>tgl<< I know her.	Kilala ko siya.
>>tgl<< I know him.	Kilala ko siya.
>>tgl<< I know you.	Kilala kita.
>>tgl<< I like him.	Gusto ko siya.
>>tgl<< I like you.	May gusto ako sa iyo.
>>tgl<< I like you.	Gusto kita.
>>tgl<< I love Tom.	Mahal ko si Tom.
>>tgl<< I love you.	Mahal kita.
>>tgl<< I need you.	Kailangan kita.
>>tgl<< I saw that.	Nakita ko yun.
>>tgl<< I screamed.	Sumigaw ako.
>>tgl<< I want you.	Ninanais kita.
>>tgl<< I was cold.	Nilalamig ako.
>>tgl<< I won't go.	Hindi ako aalis.
>>tgl<< I'll drive.	Magmamaneho ako.
>>tgl<< I'm afraid.	Takot ako.
>>tgl<< I'm honest.	Matapat ako.
>>tgl<< I'm hungry!	Gutom na ako!
>>tgl<< I'm scared.	Takot ako.
>>tgl<< I'm sleepy.	Inaantok ako.
>>tgl<< I'm so fat.	Ang taba ko.
>>tgl<< Ignore Tom.	Wag pansinin si Tom.
>>tgl<< It happens.	Nangyayari.
>>tgl<< It was fun.	Masaya iyon.
>>tgl<< It's early.	Maaga pa.
>>tgl<< It's magic.	Mahiya siya.
>>tgl<< It's windy.	Mahangin.
>>tgl<< Keep quiet.	Panatilihing tahimik.
>>tgl<< Let's play.	Maglaro tayo.
>>tgl<< Look at me.	Tingnan mo ako.
>>tgl<< No comment.	Wala akong masabi.
>>tgl<< Scoot over.	Umusog ka.
>>tgl<< She smiled.	Ngumiti siya.
>>tgl<< Smell this.	Amuyin mo ito.
>>tgl<< Stand back.	Atras.
>>tgl<< Start here.	Magsimula dito.
>>tgl<< Stay alert.	Manatiling alisto.
>>tgl<< Stay awake.	Manatiling gising.
>>tgl<< Stay quiet.	Manatiling tahimik.
>>tgl<< Stay tuned.	Manatiling nakatutok.
>>tgl<< Step aside.	Umusog ka.
>>tgl<< Step aside.	Tumabi ka.
>>tgl<< That works.	Gumagana yoon.
>>tgl<< They voted.	Bumoto sila.
>>tgl<< This works.	Gumagana ito.
>>tgl<< Tom agreed.	Sumangayon si Tom.
>>tgl<< Tom agrees.	Sumasangayon si Tom.
>>tgl<< Tom burped.	Dumighay si Tom.
>>tgl<< Tom called.	Tumawag si Tom.
>>tgl<< Tom cheats.	Nangdadaya si Tom.
>>tgl<< Tom danced.	Nagsayaw si Tom.
>>tgl<< Tom drinks.	Umiinom si Tom.
>>tgl<< Tom drives.	Nagmamaneho si Tom.
>>tgl<< Tom jumped.	Tumalon si Tom.
>>tgl<< Tom looked.	Tumingin si Tom.
>>tgl<< Tom obeyed.	Sumunod si Tom.
>>tgl<< Tom prayed.	Nagdasal si Tom.
>>tgl<< Tom sighed.	Huminga ng malalim si Tom.
>>tgl<< Tom smiled.	Ngumiti si Tom.
>>tgl<< Tom snores.	Humihilik si Tom.
>>tgl<< Tom talked.	Nagsalita si Tom.
>>tgl<< Tom waited.	Naghintay si Tom.
>>tgl<< Tom walked.	Naglakad si Tom.
>>tgl<< Tom winked.	Kumindat si Tom.
>>tgl<< Tom worked.	Nagtrabaho si Tom.
>>tgl<< Watch this.	Panoorin mo 'to.
>>tgl<< We're back.	Bumalik na kami.
>>tgl<< Where am I?	Nasaan ako?
>>tgl<< Who is she?	Sino siya?
>>tgl<< Who talked?	Sinong nagsalita?
>>tgl<< Who was he?	Sino siya?
>>tgl<< Who yelled?	Sinong sumigaw?
>>tgl<< Wood burns.	Nasusunog ang kahoy.
>>tgl<< You called?	Tumawag ka?
>>tgl<< Are you mad?	Galit ka ba?
>>tgl<< Be creative.	Maging malikhain.
>>tgl<< Be yourself.	Isipin mo ang sarili mo.
>>tgl<< Come closer.	Lapit.
>>tgl<< Come closer.	Lumapit kayo.
>>tgl<< Come closer.	Lumapit ka.
>>tgl<< Come inside.	Pumasok ka.
>>tgl<< Come inside.	Pasok.
>>tgl<< Come inside.	Pumasok kayo.
>>tgl<< Do it again!	Ulitin mo!
>>tgl<< Do your job.	Gawin mo ang iyong trabaho.
>>tgl<< Don't argue.	Huwag magtalo.
>>tgl<< Don't fight!	Huwag mag-away!
>>tgl<< Don't fight.	Huwag mag-away.
>>tgl<< Don't laugh.	Huwag tumawa.
>>tgl<< Don't shout.	Huwag sumigaw.
>>tgl<< Don't speak.	Huwag magsalita.
>>tgl<< Don't stare.	Huwag tumitig.
>>tgl<< Finish this.	Tapusin ito.
>>tgl<< Get dressed.	Magbihis.
>>tgl<< Get serious.	Sumeryoso ka nga.
>>tgl<< Get serious.	Sumeryoso ka.
>>tgl<< He can swim.	Nakakalangoy siya.
>>tgl<< He is lying.	Nagsisinungaling siya.
>>tgl<< I am taller.	Mas matangkad ako.
>>tgl<< I came back.	Bumalik ako.
>>tgl<< I can't eat.	Hindi ako makakain.
>>tgl<< I collapsed.	Hinimatay ako.
>>tgl<< I feel cold.	Nilalamig ako.
>>tgl<< I felt cold.	Nilalamig ako.
>>tgl<< I got a job.	May trabaho ako.
>>tgl<< I know them.	Kilala ko sila.
>>tgl<< I like dogs.	Gusto ko ng mga aso.
>>tgl<< I like them.	Gusto ko sila.
>>tgl<< I loved Tom.	Minahal ko si Tom.
>>tgl<< I need help.	Kailangan ko ng tulong.
>>tgl<< I want them.	Gusto ko sila.
>>tgl<< I won't ask.	Hindi ako magtatanong.
>>tgl<< I won't cry.	Hindi ako iiyak.
>>tgl<< I won't eat.	Hindi ako kakain.
>>tgl<< I won't run.	Hindi ako tatakbo.
>>tgl<< I won't win.	Hindi ako mananalo.
>>tgl<< I'm married.	May asawa na ako.
>>tgl<< I'm too fat.	Masyado akong mataba.
>>tgl<< It can't be!	Di maaari!
>>tgl<< It happened.	Nangyari.
>>tgl<< It saved me.	Ito ang nagligtas sa akin.
>>tgl<< Let's begin.	Magsimula na tayo.
>>tgl<< Let's drink.	Uminom tayo.
>>tgl<< No one came.	Walang pumunta.
>>tgl<< Nobody came.	Walang nagpunta.
>>tgl<< Nobody came.	Walang pumunta.
>>tgl<< Nobody came.	Walang dumating.
>>tgl<< Nobody died.	Walang namatay.
>>tgl<< OK. I agree.	Ayos. Sang-ayon ako.
>>tgl<< Release Tom.	Pakawalan mo si Tom.
>>tgl<< Release him.	Pakawalan mo siya.
>>tgl<< She is kind.	Mabait siya.
>>tgl<< Stay inside.	Manatili ka sa loob.
>>tgl<< Take a rest.	Magpahinga ka.
>>tgl<< That helped.	Nakatulong iyon.
>>tgl<< That worked.	Gumana yoon.
>>tgl<< That's hers.	Sa kaniya iyan.
>>tgl<< That's hers.	Sa kaniya iyon.
>>tgl<< That's life.	Ganyan ang buhay!
>>tgl<< They burned.	Nasunog sila.
>>tgl<< They called.	Tumawag sila.
>>tgl<< They danced.	Nagsayaw sila.
>>tgl<< They danced.	Nagsayawan sila.
>>tgl<< They danced.	Sumayaw sila.
>>tgl<< They hugged.	Nagyakapan sila.
>>tgl<< Think again.	Isipin muli.
>>tgl<< This is new.	Bago ito.
>>tgl<< Tom blinked.	Kumurap si Tom.
>>tgl<< Tom changed.	Nagbago si Tom.
>>tgl<< Tom cheated.	Nangdaya si Tom.
>>tgl<< Tom clapped.	Pumalakpak si Tom.
>>tgl<< Tom coughed.	Umubo si Tom.
>>tgl<< Tom drowned.	Nalunod si Tom.
>>tgl<< Tom escaped.	Nakawala si Tom.
>>tgl<< Tom fainted.	Nahimatay si Tom.
>>tgl<< Tom fainted.	Nawalan ng malay si Tom.
>>tgl<< Tom frowned.	Sumimangot si Tom.
>>tgl<< Tom laughed.	Tumawa si Tom.
>>tgl<< Tom listens.	Nakikinig si Tom.
>>tgl<< Tom noticed.	Napansin ni Tom.
>>tgl<< Tom paid me.	Binayaran ako ni Tom.
>>tgl<< Tom shouted.	Sumigaw si Tom.
>>tgl<< Tom slipped.	Nadulas si Tom.
>>tgl<< Tom sneezed.	Bumahing si Tom.
>>tgl<< Tom sweated.	Nagpawis si Tom.
>>tgl<< Tom teaches.	Nagtuturo si Tom.
>>tgl<< Tom tripped.	Nadapa si Tom.
>>tgl<< Walk slowly.	Bagalan mo ang iyong paglakad.
>>tgl<< Walk slowly.	Maglakad ka nang mabagal.
>>tgl<< We remember.	Naaalala namin.
>>tgl<< Who cheated?	Sinong nandaya?
>>tgl<< Who escaped?	Sinong nakatakas?
>>tgl<< Who escaped?	Sinong nakawala?
>>tgl<< You cheated.	Nandaya ka.
>>tgl<< You fainted.	Nahimatay ka.
>>tgl<< You're done.	Tapos ka na.
>>tgl<< Are you busy?	Marami ka bang ginagawa?
>>tgl<< Are you done?	Tapos ka na ba?
>>tgl<< Are you lost?	Nawawala ka ba?
>>tgl<< Are you okay?	Ayos ka ba?
>>tgl<< Are you okay?	Ayos ka lang ba?
>>tgl<< Can I try it?	Maaari ko bang subukan ito?
>>tgl<< Can you swim?	Kaya mo bang lumangoy?
>>tgl<< Come forward.	Sulong.
>>tgl<< Come forward.	Sumulong ka.
>>tgl<< Come forward.	Sumulong kayo.
>>tgl<< Come quickly!	Halika!
>>tgl<< Come quickly!	Halikayo!
>>tgl<< Do you agree?	Sang-ayon ka ba?
>>tgl<< Do you smoke?	Naninigarilyo ka ba?
>>tgl<< Don't ask me.	Huwag mo akong tanungin.
>>tgl<< Don't forget.	Huwag kalimutan.
>>tgl<< Don't let go.	Huwag pakawalan.
>>tgl<< Drive slowly.	Dahandahang magmaneho.
>>tgl<< Have a drink.	Uminom ka.
>>tgl<< He is asleep.	Natutulog siya.
>>tgl<< He is cranky.	Masungit siya.
>>tgl<< Here you are.	O, eto para sa 'yo.
>>tgl<< How arrogant!	Ang yabang!
>>tgl<< How arrogant!	Ang arogante!
>>tgl<< I am working.	Nagtatrabaho ako.
>>tgl<< I don't care.	Wala akong pakialam.
>>tgl<< I don't mind.	Ayos lang sa akin.
>>tgl<< I drink milk.	Nainom ako ng gatas.
>>tgl<< I feel funny.	Kakaiba ang pakiramdam ko.
>>tgl<< I have a job.	May trabaho ako.
>>tgl<< I hugged Tom.	Niyakap ko si Tom.
>>tgl<< I kissed Tom.	Hinalikan ko si Tom.
>>tgl<< I play piano.	Tumutugtog ako ng piano.
>>tgl<< I understand.	Naiintindihan ko.
>>tgl<< I understood.	Naiintindihan ko.
>>tgl<< I warned you.	Binalaan kita.
>>tgl<< I won't help.	Hindi ako tutulong.
>>tgl<< I won't lose!	Di ako magpapatalo!
>>tgl<< I won't sing.	Hindi ako kakanta.
>>tgl<< I won't swim.	Hindi ako lalangoy.
>>tgl<< I won't wait.	Hindi ako maghihintay.
>>tgl<< I'm freezing.	Nilalamig ako.
>>tgl<< I've seen it.	Nakita ko na.
>>tgl<< Is that okay?	Ayos ba iyon?
>>tgl<< It wasn't me.	Hindi ako iyon.
>>tgl<< It's bedtime.	Oras na ng pagtulog.
>>tgl<< It's too big.	Masyadong malaki.
>>tgl<< Kiss me, Tom.	Halikan mo ako, Tom.
>>tgl<< Life goes on.	Tumutuloy ang buhay.
>>tgl<< Look at that.	Tingnan mo iyan.
>>tgl<< Look at this.	Tingnan mo ito.
>>tgl<< Mary is tall.	Matangkad si Mary.
>>tgl<< May I try it?	Maaari ko bang subukan ito?
>>tgl<< Nobody cares.	Walang may pakialam.
>>tgl<< Now have fun.	Magpakasaya kayo.
>>tgl<< Please hurry.	Pakidalian.
>>tgl<< Shame on you!	Nakakahiya sa iyo!
>>tgl<< Shame on you.	Nakakahiya sa iyo.
>>tgl<< Someone came.	May dumating.
>>tgl<< Speak softly.	Magsalita ka nang mahinhin.
>>tgl<< Stay at home.	Manatili sa bahay.
>>tgl<< Stop smoking.	Tigilan mo nga ang paninigarilyo.
>>tgl<< Stop smoking.	Tigilan mo ang iyong paninigarilyo.
>>tgl<< Thanks again.	Salamat ulit.
>>tgl<< They escaped.	Nakawala sila.
>>tgl<< They laughed.	Tumawa sila.
>>tgl<< Tom answered.	Sumagot si Tom.
>>tgl<< Tom chuckled.	Tumawa si Tom.
>>tgl<< Tom is happy.	Masaya si Tom.
>>tgl<< Tom is happy.	Si Tom ay masaya.
>>tgl<< Tom listened.	Nakinig si Tom.
>>tgl<< Tom loved me.	Minahal ako ni Tom.
>>tgl<< Tom loves me.	Mahal ako ni Tom.
>>tgl<< Tom screamed.	Sumigaw si Tom.
>>tgl<< Tom's a liar.	Sinungaling si Tom.
>>tgl<< Unbelievable!	Hindi kapanipaniwala!
>>tgl<< Wait outside.	Magintay ka sa labas.
>>tgl<< We saw a UFO.	Nakakita kami ng UFO.
>>tgl<< What is that?	Ano iyan?
>>tgl<< Who are they?	Sino sila?
>>tgl<< Who listened?	Sinong nakinig?
>>tgl<< Years passed.	Lumipas ang mga taon.
>>tgl<< You are rich.	Mayaman ka.
>>tgl<< You are rich.	Ikaw ay mayaman.
>>tgl<< You go first.	Mauna ka.
>>tgl<< You may swim.	Maaari kang lumangoy.
>>tgl<< You promised.	Ipinangako mo.
>>tgl<< Are you awake?	Gising ka ba?
>>tgl<< Are you tired?	Pagod ka ba?
>>tgl<< Don't be long.	Huwag kang magtagal.
>>tgl<< Don't hurt me.	Huwag mo akong saktan.
>>tgl<< Draw a circle.	Gumuhit ka ng isang bilog.
>>tgl<< Eat and drink.	Kumain at uminom.
>>tgl<< Flowers bloom.	Sumisibol ang mga bulaklak.
>>tgl<< Give me those.	Ibigay mo sa akin iyan.
>>tgl<< He is my boss.	Hepe ko siya.
>>tgl<< He looks pale.	Mukha siyang maputla.
>>tgl<< Help yourself.	Tulungan mo ang iyong sarili.
>>tgl<< How about you?	Eh ikaw?
>>tgl<< How beautiful!	Kay ganda!
>>tgl<< How delicious!	Napakasarap!
>>tgl<< How do I look?	Ano ang itsura ko?
>>tgl<< How far is it?	Gaano kalayo iyon?
>>tgl<< Hurry up, Tom.	Bilisan mo, Tom.
>>tgl<< I believe you.	Naniniwala ako sayo.
>>tgl<< I believe you.	Pinaniniwalaan kita.
>>tgl<< I blacked out.	Hinimatay ako.
>>tgl<< I can't do it.	Hindi ko iyon magagawa.
>>tgl<< I can't sleep.	Hindi ako makatulog.
>>tgl<< I didn't help.	Hindi ako tumulong.
>>tgl<< I don't agree.	Hindi ako sang-ayon.
>>tgl<< I don't smoke.	Hindi ako naninigarilyo.
>>tgl<< I feel sleepy.	Inaantok ako.
>>tgl<< I got up late.	Huli na ako bumangon.
>>tgl<< I like apples.	Gusto ko ng mansanas.
>>tgl<< I love soccer.	Mahal ko ang soccer.
>>tgl<< I need a hand.	Kailangan ko ng tulong.
>>tgl<< I own a horse.	Mayroon akong isang kabayo.
>>tgl<< I woke you up.	Ginising kita.
>>tgl<< I won't dance.	Hindi ako sasayaw.
>>tgl<< I won't laugh.	Hindi ako tatawa.
>>tgl<< I won't sleep.	Hindi ako matutulog.
>>tgl<< I'll call you.	Tatawagan kita.
>>tgl<< I'll eat here.	Dito ako kakain.
>>tgl<< I'll take him.	Kukunin ko sya.
>>tgl<< I'm Tom's mom.	Ako ang nanay ni Tom.
>>tgl<< I'm a tourist.	Turista ako.
>>tgl<< It's freezing.	Ang lamig.
>>tgl<< It's my treat.	Blow-awt ko.
>>tgl<< Just watch me.	Basta tingnan ako.
>>tgl<< Let him enter.	Papasukin mo siya.
>>tgl<< May I go home?	Puwede ba akong umuwi na?
>>tgl<< Memorize this.	Kabisaduhin ito.
>>tgl<< My head aches.	Masakit ang ulo ko.
>>tgl<< Nobody called.	Walang tumawag.
>>tgl<< Pay attention.	Bigyang-pansin.
>>tgl<< People change.	Nagiiba ang mga tao.
>>tgl<< See you later.	Kita tayo mamaya.
>>tgl<< She helps him.	Siya ang tumutulong sa kanya.
>>tgl<< She just left.	Kakaalis lang niya.
>>tgl<< Shut the door.	Isara ang pinto.
>>tgl<< Start running.	Simulan ang pagtakbo.
>>tgl<< Start running.	Magsimula kang tumakbo.
>>tgl<< Start singing.	Simulan ang pagkanta.
>>tgl<< Start singing.	Magsimula kang kumanta.
>>tgl<< Start writing.	Magsimula kang magsulat.
>>tgl<< Start writing.	Simulan ang pagsusulat.
>>tgl<< That's a joke.	Kalokohan iyon.
>>tgl<< That's a tree.	Puno iyon.
>>tgl<< These are new.	Bago ang mga ito.
>>tgl<< They are dead.	Patay na sila.
>>tgl<< They embraced.	Nagyakapan sila.
>>tgl<< Tom applauded.	Pumalakpak si Tom.
>>tgl<< Tom confessed.	Umamin si Tom.
>>tgl<< Tom hugged me.	Niyakap ako ni Tom.
>>tgl<< Tom remembers.	Naaalala ni Tom.
>>tgl<< We must check.	Kailangan nating siguraduhin.
>>tgl<< We understand.	Naiintindihan namin.
>>tgl<< We want a car.	Gusto namin ng kotse.
>>tgl<< What can I do?	Ano'ng puwede kong gawin?
>>tgl<< What can I do?	Ano ang maaari kong gawin?
>>tgl<< What was that?	Ano yun?
>>tgl<< When was that?	Kailan yun?
>>tgl<< When's dinner?	Kailan ang almusal?
>>tgl<< Where are you?	Nasaan ka?
>>tgl<< Where are you?	Nasaan kayo?
>>tgl<< Where were we?	Nasaan na tayo?
>>tgl<< Which is mine?	Alin yung saakin?
>>tgl<< Who remembers?	Sinong nakakaalala?
>>tgl<< Who was right?	Sino ang tama?
>>tgl<< Who was wrong?	Sino ang nagkamali?
>>tgl<< Who's winning?	Sinong nananalo?
>>tgl<< Whose is this?	Kanino ito?
>>tgl<< You are lying.	Nagsisinungaling ka.
>>tgl<< You look busy.	Mukhang bisi ka.
>>tgl<< You never ask.	Kailanman hindi ka nagtanong.
>>tgl<< You should go.	Dapat pumunta ka.
>>tgl<< You'll go far.	Malayo ang mararating mo.
>>tgl<< You're stupid!	Bobo ka!
