>>eus<< Run!	Korri!
>>eus<< I won't do it again.	Ez dut berriro egingo.
>>eus<< I'll tell the truth.	Egia esango dut
>>eus<< I'll tell the truth.	Egia esango dut.
>>eus<< I'll try to find it.	Bilatzen saiatuko naiz
>>eus<< I'll try to find it.	Aurkitzen saiatuko naiz.
>>eus<< I'm not always late.	Ez naiz beti berandu iristen.
>>eus<< I'm sick of burgers.	Azkenean Tom garaitu nuen.
>>eus<< I've lost my wallet.	Diru-zorroa galdu dut.
>>eus<< Is it far from here?	Hemendik urrun al dago?
>>eus<< It's a big decision.	Erabaki garrantzitsua da.
>>eus<< It's very cold here.	Hotz asko egiten du hemen.
>>eus<< Listen to the birds.	Entzun txoriak.
>>eus<< My notebook is pink.	Nire kuadernoa ez de arrosa.
>>eus<< She has convulsions.	Konbultsioak zeuzkan.
>>eus<< The police are here.	Polizia hemen dago.
>>eus<< This is Tom's house.	Hau Tomek etxea da.
>>eus<< This is my son, Tom.	Hau nire semea da, Tom.
>>eus<< This was my mistake.	Hau nire errua izan da.
>>eus<< Tom did that for me.	Tomek hori egin zuen nigatik.
>>eus<< Tom drove all night.	Tomek gau osoa gidatu uen.
>>eus<< Tom is always tired.	Tomek beti nekatuta dago.
>>eus<< Tom said I did that.	Tomek hori egin nuela esan zuen.
>>eus<< Tom saved our lives.	Tomek gure bizitzak salbatu zituen.
>>eus<< We're among friends.	Lagunen artean gaude.
>>eus<< What should I bring?	Zer eraman behar dut?
>>eus<< When will it happen?	Noiz gertatuko da?
>>eus<< Where are you going?	Nora zoaz?
>>eus<< Where's Tom's watch?	Non dago Tom-en erlojua?
>>eus<< Who's Tom afraid of?	Zertaz da Tom beldur?
>>eus<< Why is Tom standing?	Zergatik dago Tom altxatuta?
>>eus<< Why isn't Tom tired?	Zergatik ez dago nekatuta Tom?
>>eus<< Would you like some?	Apur bat nahiko zenuke ?
>>eus<< Are those Tom's sons?	Horiek dira Tom-en semeak?
>>eus<< Did Tom do that well?	Tomek hori ondo egin ahal zuen?
>>eus<< Did the car look old?	Autoa zaharra al zirudien?
>>eus<< Do you like football?	Futbola gustatzen zaizu ?
>>eus<< Do you not like them?	Ez dituzu gustuko ?
>>eus<< Don't go there alone.	Ez zaitez joan bakarrik.
>>eus<< Get out of the house.	Etxetik irten zaitez
>>eus<< I got a B in physics.	B bat daukat fisikan.
>>eus<< I think I understood.	Uste dut ulertu nuela
>>eus<< I wake up very early.	Oso goiz jaikitzen naiz.
>>eus<< I'm Tom's new lawyer.	Tom-en abokatu berria naiz
>>eus<< This book is smaller.	Liburu hau txikiagoa da.
>>eus<< Tom isn't doing that.	Tomek ez dago hori egiten.
>>eus<< Tom just kept eating.	Tomek jaten jarraitu zuen.
>>eus<< Tom was up all night.	Tom gau guztia altxatuta eman zuen.
>>eus<< Would you like a dog?	Txakur bat nahiko zenuke ?
>>eus<< Would you like a job?	Lan bat nahiko zenuke ?
>>eus<< You should get ready.	Prestatu beharko zinateke.
>>eus<< Do you know those men?	Gizon horiek ezagutzen dituzu?
>>eus<< Do you like your work?	Zure lana atsegin al duzu?
>>eus<< Don't forget about us!	Ez ahaztu gurekin gero!
>>eus<< He broke his left arm.	Bere ezker besoa hautsi zuen.
>>eus<< He fell off the horse.	Zalditik jausi zen.
>>eus<< He looks like a horse.	Zaldi baten antza dauka.
>>eus<< I know where you live.	Badakit non bizi zaren.
>>eus<< I sent Tom some money.	Diru pixka bat bidali nion Tomiri
>>eus<< I was deceived by him.	Hark engainatu ninduen.
>>eus<< I've worked very hard.	Oso gogor egin dut lan
>>eus<< Please copy this page.	Orri hau kopiatu, mesedez
>>eus<< The library was empty.	Liburutegia utzik zegoen.
>>eus<< Tom is a student, too.	Tomek ikaslea da ere bai.
>>eus<< Tom is doing his work.	Tom bere lana egiten ari da.
>>eus<< Tom just kept singing.	Tomek abesten jarraitu zuen.
>>eus<< Tom just kept talking.	Tomek hitz egiten jarraitu zuen.
>>eus<< Tom, are you out here?	Tom, hor kanpoan zaude?
>>eus<< Tomorrow is a holiday.	Bihar jaieguna da.
>>eus<< Where are the showers?	Dutxak non dira?
>>eus<< Would you like coffee?	Kafea nahiko zenuke ?
>>eus<< You have a nice house.	Etxe polita daukazu.
>>eus<< Are you going with Tom?	Tomerekin zoaz?
>>eus<< Does the bus stop here?	Autobusa hemen gelditzen al da?
>>eus<< He handles horses well.	Zaldiekin ondo konpontzen da.
>>eus<< He won the race easily.	Lasterketa aise irabazi zuen.
>>eus<< I couldn't wake Tom up.	Ezin izan nuen Tom altxatu.
>>eus<< I couldn't wake Tom up.	Ezin izan nuen Tom esnatu.
>>eus<< I don't speak Japanese.	Ez dut japoniera hitz egiten.
>>eus<< I finally defeated Tom.	Azkenean Tom-i irabazi diot
>>eus<< I finally defeated Tom.	Azkenean Tom garaitu nuen.
>>eus<< I had a special ticket.	Ticket berezi bat daukat.
>>eus<< I know Tom helped Mary.	Badakit Tom Mary lagundu zuela
>>eus<< I know Tom helped Mary.	Badakit Tom-ek Mary lagundu zuela.
>>eus<< I want to see a doctor.	Mediku bat ikusi nahi dut.
>>eus<< I'm not angry about it.	Ez nago horregatik haserre.
>>eus<< It was extremely weird.	Oso arraroa izan zen.
>>eus<< Let's go to the picnic.	Goazen piknikera.
>>eus<< That was cooked in oil.	Koipean prestatu zen.
>>eus<< They can speak Spanish.	Gaztelaniaz badakite.
>>eus<< They can speak Spanish.	Espainieraz badakite.
>>eus<< This is a big decision.	Hau erabaki garrantzitsua da.
>>eus<< What inspires you most?	Zerk inspiratzen zaitu gehien ?
>>eus<< Where are the scissors?	Non daude artaziak?
>>eus<< Would you like to talk?	Hitz egitea gustatuko litzaizuke ?
>>eus<< Did you come here alone?	Bakarrik etorri zara?
>>eus<< Don't forget the ticket.	Ez ahaztu txartelik.
>>eus<< He will visit his uncle.	Bere osaba bisitatuko du.
>>eus<< His name is known to me.	Bere izena ezagutzen dut.
>>eus<< It's not like you think.	Ez da zuk pentsatzen duzun modukoa.
>>eus<< That's how Tom likes it.	Horrela gustazen zaio Tom-i.
>>eus<< They forgot my birthday.	Nire urtebetetzea ahaztu zuten.
>>eus<< Tom didn't get very far.	Tom ez zen oso urrun joan.
>>eus<< Tom isn't able to do it.	Tomek ezin du hau egin.
>>eus<< Tom isn't able to do it.	Tomek ezin du egin.
>>eus<< Tom likes country music.	Tomek country musika gustuko du.
>>eus<< Tom lives with his aunt.	Tom bere izebarekin bizi da.
>>eus<< Tom looks like a monkey.	Tom tximino bat dirudi.
>>eus<< Tom says he sings tenor.	Tomek deritzo tenor abesten duela.
>>eus<< What do chimpanzees eat?	Zer jaten dute tximinoak?
>>eus<< What do chimpanzees eat?	Zer jaten dute txinpanzeek?
>>eus<< Who wants hot chocolate?	Nork nahi du txokolate beroa?
>>eus<< Would you like anything?	Gauzaren bat nahiko zenuke ?
>>eus<< Would you like some tea?	Té apur bat nahiko zenuke ?
>>eus<< Are those Tom's children?	Haiek dira Tom-en semeak?
>>eus<< Are those Tom's children?	Dira horiek Tom-en umeak?
>>eus<< Do you know who did that?	Badakizu nork egin zuen hori?
>>eus<< Do you like this perfume?	Perfume hau gustatzen zaizu ?
>>eus<< Do you like what you see?	Ikusten duzuna gustuko duzu ?
>>eus<< Do you want pizza or not?	Pizza nahi duzu ala ez?
>>eus<< Do your parents like Tom?	Zure gurasoak gustuko ahal dute Tom?
>>eus<< Doing that was difficult.	Hori egitea zaila zen.
>>eus<< How do you like your tea?	Nola gustatzen zaizu tea ?
>>eus<< I don't want to help you.	Ez dizut lagundu nahi.
>>eus<< I forgot to feed the dog.	Txakurra elikatzeaz ahaztu nuen.
>>eus<< I have a pain in my neck.	Lepoko mina daukat.
>>eus<< I think it's time to eat.	Jateko ordua dela uste dut.
>>eus<< I used to try to do that.	Ni hori egitea saiatzen nintzen.
>>eus<< I'm glad to see you back.	Pozik nago bueltatu zarelako.
>>eus<< I'm going to wash my car.	Nire autoa garbituko dut.
>>eus<< I'm sure that isn't true.	Seguru nago hori gezurra dela.
>>eus<< I've never been so tired.	Ez naiz inoiz hain nekaturik egon.
>>eus<< Is there an app for that?	Ba dago horretarako aplikaziorik?
>>eus<< It's really cold in here.	Hotz handia egiten du hemen.
>>eus<< Let's go to the aquarium.	Goazen aquariumera
>>eus<< Mary is my type of woman.	Mary nire gustuko emakumea da.
>>eus<< My father builds bridges.	Nire aitak zubiak eraikitzen ditu.
>>eus<< Please lend me your book.	Utz iezadak, mesedez, hire liburua.
>>eus<< Please lend me your book.	Utz iezadazu, mesedez, zure liburua.
>>eus<< That does not make sense.	Horrek ez du zentzurik.
>>eus<< The cat was on the table.	Katua mahai gainean zegoen.
>>eus<< The rebels were executed.	Errebeldeak exekutatuta izan ziren.
>>eus<< These things aren't mine!	Gauza hauek ez dira nireak!
>>eus<< Tom doesn't like to lose.	Tom-i ez zaio galtzea gustatzen.
>>eus<< We don't really know Tom.	Ez dugu Tom guztiz ezagutzen.
>>eus<< Who did you ask for help?	Nori eskatu zenion laguntza?
>>eus<< Who's coming to the show?	Nor etorriko da ikuskizunera?
>>eus<< Aren't you three brothers?	Ez zarete hiru neba-arreba?
>>eus<< Do you like to drink beer?	Garagardoa edatea gustuko duzu?
>>eus<< Does Tom like his parents?	Gustuko ahal ditu Tomek bere gurasoak ?
>>eus<< Doing that was a bad idea.	Hori egitea idea txarra izan zen.
>>eus<< Doing that was a bad idea.	Hori egitea ideia txarra zen
>>eus<< Don't touch the wet paint.	Ez ukitu pintura freskoa.
>>eus<< Give me three more apples.	Emaidazu hiru sagar gehiago.
>>eus<< I only have three dollars.	Hiru dolar besterik ez ditut.
>>eus<< I'll stay here until 2:30.	Hemen geratuko naiz 2:30-ra arte.
>>eus<< It rains a lot in Okinawa.	Euri asko egiten du Okinawan.
>>eus<< Maybe Tom thinks I'm dead.	Beharbada, Tomek hilda nagoela pentsatzen du.
>>eus<< My mom still calls me Tom.	Nire amak oraindik Tom deitzen nau .
>>eus<< Thank you for your advice.	Eskerrik asko gomendioagatik.
>>eus<< This is my favorite shirt.	Hau nire kamiseta gogokoena da.
>>eus<< Tom found something shiny.	Tom zerbait disdiratsu aurkitu zuen.
>>eus<< Tom is a very wise person.	Tom pertsona oso jakituna da.
>>eus<< Tom isn't in jail anymore.	Tom ez da kartxean gehiagorik egongo.
>>eus<< Tom quite often gets sick.	Oso ohikoa da Tom gaixorik jartzea.
>>eus<< What did you think I'd do?	Zer pentsatzen zenuen nik egingo nukeela?
>>eus<< Who did Tom say was lying?	Nork esan zuen Tomek gezurra esaten ari zela?
>>eus<< Who was Tom swimming with?	Norekin zegoen Tomek igeri egiten?
>>eus<< Why wasn't Tom here today?	Zergatik Tomek ez zegoen gaur hemen?
>>eus<< Will you do that with Tom?	Hori egingo zenuke Tomerekin batera?
>>eus<< Would you like to do that?	Hori egitea gustatuko litzaizuke ?
>>eus<< Animals are afraid of fire.	Animaliak suaren beldur dira.
>>eus<< Animals are afraid of fire.	Piztiak suaren beldur dira.
>>eus<< Can you repair these shoes?	Konpondu diezaizkidazu zapata hauek?
>>eus<< Did you know I have a blog?	Bazenekien blog bat daukadala?
>>eus<< Do you still want some tea?	Oraindik ere nahi duzu te pixka bat?
>>eus<< Do you still want some tea?	Oraindik nahi duzu te pixka bat?
>>eus<< Do you still want some tea?	Jarraitzen duzu tea nahi izaten?
>>eus<< Does Tom know I can't swim?	Badaki Tomek ezin dudala igeririk egin?
>>eus<< Does Tom really want to go?	Tomek benetan joan nahi da?
>>eus<< Does Tom speak French, too?	Tomek frantsesez ere hitz egiten du?
>>eus<< He decided to quit smoking.	Erretzeari uztea erabaki zuen.
>>eus<< How many cars does Tom own?	Zenbat kotxeak dauzka Tomek?
>>eus<< I'd love to dance with you.	Gustura dantzatuko nintzateke zurekin.
>>eus<< I'm sure Tom could do that.	Seguru nago Tomek hori egin ahal duela.
>>eus<< I've never seen him before.	Ez dut bera inoiz lehenago ikusi.
>>eus<< Isn't that skirt too short?	Ez da gona hori motzegia?
>>eus<< It's just your imagination.	Haren imajinazioa besterik ez da.
>>eus<< It's raining cats and dogs.	Mangia jardun.
>>eus<< Parking isn't allowed here.	Hemen ezin da aparkatu.
>>eus<< She has two thousand books.	Bi mila liburu dauzka.
>>eus<< Thank you for your loyalty.	Eskerrik asko zure leialtasunagatik.
>>eus<< This is just what I wanted.	Hau da justu nahi nuena.
>>eus<< Tom did that intentionally.	Tomek hori egin zuen nahigabe.
>>eus<< Tom isn't going to do that.	Tom ez du hori egingo.
>>eus<< Tom needs to do that today.	Tomek hori egin behar du gaur.
>>eus<< Who did Tom go skiing with?	Norekin joan zen Tom-ek eskiatzera.
>>eus<< You aren't afraid, are you?	Ez daukazu beldurrik, ezta?
>>eus<< You aren't afraid, are you?	Zu ez zaude beldurtuta, edo bai?
>>eus<< You can use the dictionary.	Hiztegia erabili dezakezu.
>>eus<< You must've measured wrong.	Txarto neurtu duzu, ziur.
>>eus<< You need to take your time.	Zure denbora hartu beharko duzu.
>>eus<< Your French is good enough.	Zuk nahiko ondo dakizu frantsesez.
>>eus<< Your French is good enough.	Zuk nahiko ondo egiten duzu frantsesez.
>>eus<< He doesn't know how to swim.	Ez daki igeri egiten.
>>eus<< He may be on the next train.	Hurrengo trenean egon daiteke.
>>eus<< He's staying with his uncle.	Bere osabarekin geratuko da.
>>eus<< How about going on a picnic?	Egingo al dugu piknik bat?
>>eus<< I haven't seen you for ages.	Ez zaitut aspaldian ikusi.
>>eus<< I know you think I'm stupid.	Badakit tuntuna naizela pentsatzen duzula
>>eus<< I met your father yesterday.	Zure aitarekin egon nintzen atzo.
>>eus<< I regularly run in the park.	Normalki parkean korrika egiten dut.
>>eus<< I'm going to brush my teeth.	Garbitu egingo ditut nire hortzak.
>>eus<< I'm utterly convinced of it.	Horretaz guztiz konbentzituta nago.
>>eus<< I've thought a lot about it.	Horri buruz asko pentsatu dut
>>eus<< No one can move the big box.	Ezin du inork kaxa handia mugitu.
>>eus<< Tell me all about your trip.	Zure irteerari buruz konta iezaiadazu.
>>eus<< This is my money, not yours.	Hau nire dirua da, ez zurea.
>>eus<< Tom and I did that together.	Tomek eta biok elkarrekin egin genuen.
>>eus<< Tom and I did that together.	Tom eta biok hori egin genuen elkar.
>>eus<< Tom and Mary are doing that.	Tomek eta Marik hori egiten ari dira.
>>eus<< Tom has lots of weird ideas.	Tomek ideia arraro asko ditu.
>>eus<< Tom really likes to do that.	Tomek izugarri gustuko du hori egitea.
>>eus<< Tom smiled when he saw Mary.	Mary ikusi ondoren Tomek irribarre egin zuen.
>>eus<< Tom wasn't ready to do that.	Tom ez zegoen prestatuta hori egiteko.
>>eus<< Tom wasn't ready to do that.	Tomek hori egiteko ez zegoen prest.
>>eus<< We hope Tom doesn't do that.	Espero dugu tom ez egitea hori
>>eus<< We hope Tom doesn't do that.	Espero dugu Tomek hori ez egitea.
>>eus<< What are your working hours?	Zein da zure lanordua?
>>eus<< Who is your favorite author?	Nor da gogokoen duzun egilea?
>>eus<< Do you know where the zoo is?	Ba al dakizu non den zooa?
>>eus<< He had a big box in his arms.	Kaxa handi bat zeukan bere besoetan.
>>eus<< He ran away with the diamond.	Diamantearekin ihes egin du.
>>eus<< I will get in touch with you.	Harremanetan jarriko natzaizu.
>>eus<< I'm being paranoid, aren't I?	Estoy siendo paranoide, ¿no?
>>eus<< I'm really not enjoying this.	Ez nago hau disfrutatzen.
>>eus<< May I borrow your calculator?	Utziko didazu kalkulagailua?
>>eus<< Prices seem to be going down.	Salneurriak jaisten ari direla dirudi.
>>eus<< There's no point going there.	Horra joateak ez dauka zentzurik.
>>eus<< This is a huge waste of time.	Denbora galtze izugarria da.
>>eus<< This is an old Scottish song.	Hau Eskoziako abesti zahar bat da.
>>eus<< Tom called Mary this morning.	Tomek Mary-ri deitu zion goiz honetan.
>>eus<< Tom caused a lot of problems.	Tomek arazo asko eragin zituen.
>>eus<< Tom met Mary three years ago.	Tomek Mary ezagutu zuen orain dela hiru urte.
>>eus<< Tom never seems to get angry.	Tom ez dirudi inoiz dagoenik haserretuta.
>>eus<< Tom never seems to get tired.	Tom ez dirudi inoiz nekatuta dagoenik.
>>eus<< Tom should've arrived by now.	Tom dagoeneko iritsia behar zuen.
>>eus<< Tom talked to Mary yesterday.	Tomek Mary-rekin hitz egin zuen atzo.
>>eus<< We were playing on the beach.	Hondartzan jolasten ari ginen.
>>eus<< We're sorry that it happened.	Gertatutakoaz damututa gaude.
>>eus<< What happened in the meeting?	Zer gertatu zen bileran?
>>eus<< What happened isn't a secret.	Gertatutakoa ez da sektretu bat.
>>eus<< What happened was a disgrace.	Ezbehar bat da gertatu zena.
>>eus<< What's happened to the money?	Zer gertatu da diruarekin?
>>eus<< What's likely to happen next?	Zer izango da hurrengoa?
>>eus<< You know that Tom likes cars.	Dakizunez Tom-i autoak gustatzen zaizkio.
>>eus<< You know that Tom likes cars.	Dakizunez Tom-i gustatzen zaizkio autoak.
>>eus<< You may choose what you like.	Gogoko duzuna aukera dezakezu.
>>eus<< You might run into Tom there.	Tomengana korriketan joan beharko zenuke.
>>eus<< After he ate, Tom went to bed.	Jan eta gero Tom ohera joan zen.
>>eus<< All that glitters is not gold.	Zulo bat ixteko, beste bat ireki
>>eus<< All that glitters is not gold.	Beltz guztiak ez dira ikatz
>>eus<< An awful thing happened today.	Gauza oso txar bat gertatu da gaur.
>>eus<< Are you with us or against us?	Gurekin zaude ala gure kontra zaude?
>>eus<< He dozed off in history class.	Historiako klasean lo geratu zen.
>>eus<< He is accustomed to hard work.	Lan gogorra egitera ohituta dago.
>>eus<< His name is known to everyone.	Bere izena denek ezagutzen dute.
>>eus<< I have an uncle who does that.	Osaba bat daukat hori egiten duela.
>>eus<< I think it won't happen again.	Berriro gertatuko ez dela uste dut.
>>eus<< I'd rather sit somewhere else.	Gustatu litzaidake beste leku batean jesartzea.
>>eus<< I'll be home in about an hour.	Etxean egongo naiz ordu betean.
>>eus<< I'll drive you to the airport.	Nik gidatuko zaitut aireporturaino.
>>eus<< Is it here that the bus stops?	Autobusa gelditzen den tokia hemen al da?
>>eus<< It's not going to be that bad.	Ez da horren txarra izango.
>>eus<< Many bad things have happened.	Gauza txar asko gertatu dira.
>>eus<< My canary was killed by a cat.	Katu batek hil zuen nire kanarioa.
>>eus<< Please tell me how to do that.	Mesedez, esaidazu nola egin hori.
>>eus<< Rome is a city worth visiting.	Roma bisitatzea merezi duen hiria da.
>>eus<< Something incredible happened.	Zerbait harrigarria gertatu zen.
>>eus<< That's not what happened here.	Halakorik ez da hemen gertatu.
>>eus<< That's why it hasn't happened.	Horrexegatik ez da gertatu.
>>eus<< There is an apple on the desk.	Sagar bat dago idazmahai gainean.
>>eus<< Tom died from a drug overdose.	Tom droga gaindosi batek jota hil zen.
>>eus<< Tom has lost the will to live.	Tom-ek bizitzeko gogoa galdu du.
>>eus<< Tom is a strong kid, isn't he?	Tom indartsua da, ezta?
>>eus<< Tom is ambidextrous, isn't he?	Tom eskuma-ezkerti da, ezta?
>>eus<< Tom was killed in a car crash.	Tom hil zen auto istripu batean.
>>eus<< Tom was thirteen when he died.	Tomek hamahiru urte zituen hil zenean
>>eus<< Tom wasn't sure what happened.	Tom ez zegoen ziur gertatu zenari buruz.
>>eus<< We've seen that happen before.	Hori gertatzea lehenago ere ikusi genuen.
>>eus<< What happened can't be undone.	Gertatutakoa ezin da konpondu.
>>eus<< Where do you buy your dresses?	Non erosi dituzu zure soinekoak?
>>eus<< Who is your favorite composer?	Nor da gogokoen duzun musikagilea?
>>eus<< You never know what'll happen.	Zer gertatuko den ezin duzu inoiz jakin.
>>eus<< A pine cone fell on Tom's head.	Pinaburu bat erori zen Tomen buruan.
>>eus<< All I know is that I was drunk.	Dakidan guztia mozkor nenbilela da.
>>eus<< He'll have to do without a gun.	Pistolarik gabe egin beharko du.
>>eus<< How do you say that in Italian?	Nola esaten da hori italieraz?
>>eus<< I didn't read a book yesterday.	Atzo ez nuen liburu bat irakurri.
>>eus<< I didn't sleep well that night.	Gau hartan ez nuen ondo lo egin.
>>eus<< I hope this won't happen again.	Hau berriro ez gertatzea espero dut.
>>eus<< I will give him another chance.	Beste aukera bat emango diot.
>>eus<< I'll wait here until she comes.	Bera heldu arte itxarongo dut.
>>eus<< If anyone can do that, Tom can.	Edonork egin ahal badu, Tomek ahal du.
>>eus<< It won't just happen overnight.	Ez da gauean bakarrik gertatuko.
>>eus<< Many soldiers were killed here.	Hemen soldadu anitz hil zituzten.
>>eus<< My girlfriend is a good dancer.	Nire neskalaguna dantzari ona da.
>>eus<< None of that actually happened.	Errealitatean ez zen halakorik gertatu.
>>eus<< She is not home, but at school.	Ez dago etxean, eskolan baizik.
>>eus<< That all happened before lunch.	Guzti hori bazkaldu baino lehen gertatu zen.
>>eus<< That never happened, of course.	Noski, hori ez da inoiz gertatu.
>>eus<< That's happening far too often.	Hori gehiegitan gertatzen ari da.
>>eus<< The enemy attacked us at night.	Etsaiak gauez eraso zigun.
>>eus<< The same thing happened Monday.	Astelehenean gauza bera gertatu zen.
>>eus<< Tom insisted it never happened.	Tomek inoiz ez zela gertatu insistitu zuen.
>>eus<< Tom is always causing problems.	Tomek beti arazoak eragiten ditu.
>>eus<< Tom said not to worry about it.	Tomek horretaz ez kezkatzeko esan zuen.
>>eus<< Tom said that he had been busy.	Tomek oso lanpeturik zebilela esan zuen.
>>eus<< Tom said that he was very busy.	Tomek oso lapenturik zegoela esan zuen.
>>eus<< Tom said you were good-looking.	Tomek erakargarri zeudela esan du.
>>eus<< Tom saw Mary dancing with John.	Tomek Mary Johnekin dantzatzen ikusi zuen.
>>eus<< Tom should've listened to Mary.	Tomek Mary entzun behar izan zuen.
>>eus<< Tom sleeps with his mouth open.	Tomek aho zabalik lo egiten du.
>>eus<< Tom slipped off his headphones.	Tomeri entzungailuak labaindu zitzaizkion.
>>eus<< Tom spent all day on the beach.	Tomek egun osoa igaro zuen hondartzan.
>>eus<< Tom went quickly up the stairs.	Tomek azkar igo zituen eskailerak.
