>>ukr<< Go.	Йди.
>>ukr<< No way!	В жодному разі!
>>ukr<< No way!	Навіть мови немає.
>>ukr<< No way!	Дзуськи!
>>ukr<< No way!	Цього не може бути!
>>ukr<< No way!	Не може бути!
>>ukr<< Really?	Справді?
>>ukr<< Really?	Серйозно?
>>ukr<< Really?	Насправді?
>>ukr<< Really?	Дійсно?
>>ukr<< Thanks!	Дякую!
>>ukr<< Thanks!	Спасибі!
>>ukr<< Thanks!	Дякуємо!
>>ukr<< Thanks!	Дякую.
>>ukr<< Thanks.	Дякую!
>>ukr<< Thanks.	Спасибі!
>>ukr<< Thanks.	Дякую.
>>ukr<< Thanks.	Дякуємо.
>>ukr<< We hid.	Ми сховалися.
>>ukr<< We hid.	Ми ховалися.
>>ukr<< We hid.	Ми заховалися.
>>ukr<< We try.	Ми намагаємося.
>>ukr<< Why me?	А чого я?
>>ukr<< Why me?	А чому я?
>>ukr<< Ask Tom.	Запитайте Тома.
>>ukr<< Ask Tom.	Запитай Тома.
>>ukr<< Awesome!	Супер!
>>ukr<< Awesome!	Чудово!
>>ukr<< Awesome!	Фантастика!
>>ukr<< Awesome!	Клас!
>>ukr<< Awesome!	Класно!
>>ukr<< Be calm.	Спокійно.
>>ukr<< Be cool.	Зберігайте спокій.
>>ukr<< Be cool.	Спокійно.
>>ukr<< Be cool.	Зберігай спокій.
>>ukr<< Be fair.	Будьте справедливі!
>>ukr<< Be fair.	Будьте справедливі.
>>ukr<< Be fair.	Будь справедливий.
>>ukr<< Be kind.	Будь добрим.
>>ukr<< Be kind.	Будь доброю.
>>ukr<< Be nice.	Будь добрим.
>>ukr<< Be nice.	Будь милим.
>>ukr<< Beat it.	Іди геть.
>>ukr<< Beat it.	Відвали.
>>ukr<< Call me.	Зателефонуйте мені.
>>ukr<< Call us.	Зателефонуй нам.
>>ukr<< Call us.	Зателефонуйте нам.
>>ukr<< Come in.	Заходьте.
>>ukr<< Come on!	Давай!
>>ukr<< Come on!	Гайда!
>>ukr<< Come on!	Ну ж бо!
>>ukr<< Come on!	Пiшли!
>>ukr<< Come on.	Ну ж бо.
>>ukr<< Drop it!	Облиш!
>>ukr<< Drop it!	Кинь!
>>ukr<< Get Tom.	Приведи Тома.
>>ukr<< Get Tom.	Приведіть Тома.
>>ukr<< Get out!	Йдіть звідси!
>>ukr<< Get out.	Йди звідси.
>>ukr<< Get out.	Йдіть звідси.
>>ukr<< Get out.	Виходь.
>>ukr<< Go away!	Іди геть!
>>ukr<< Go away!	Геть!
>>ukr<< Go away.	Йди геть.
>>ukr<< Go away.	Відвали.
>>ukr<< Go home.	Йдіть додому.
>>ukr<< Go slow.	Йдіть повільно.
>>ukr<< Go slow.	Йди повільно!
>>ukr<< Goodbye!	Па-па!
>>ukr<< Goodbye!	Бувай!
>>ukr<< Goodbye!	До побачення!
>>ukr<< Goodbye!	Побачимося!
>>ukr<< Goodbye!	Бувай.
>>ukr<< Goodbye.	Побачимося!
>>ukr<< Hang on!	Почекай!
>>ukr<< Hang on!	Почекайте!
>>ukr<< Hang on!	Зачекайте!
>>ukr<< Hang on!	Зачекай-но!
>>ukr<< Hang on!	Зачекайте-но!
>>ukr<< Hang on.	Почекай.
>>ukr<< Hang on.	Зачекай.
>>ukr<< Hang on.	Зачекайте.
>>ukr<< He runs.	Він біжить.
>>ukr<< He runs.	Він бігає.
>>ukr<< Help me!	Допоможіть мені.
>>ukr<< Help me!	Допоможи мені!
>>ukr<< Help me!	Допоможіть мені!
>>ukr<< Help me.	Допоможіть мені.
>>ukr<< Help me.	Допоможи мені!
>>ukr<< Help us.	Допоможіть нам!
>>ukr<< Help us.	Допоможи нам.
>>ukr<< Help us.	Допоможіть нам.
>>ukr<< Hi, Tom.	Здоров був, Томе.
>>ukr<< Hi, Tom.	Привіт, Томе.
>>ukr<< Hi, Tom.	Вітаю, Томе.
>>ukr<< Hit Tom.	Вдарь Тома.
>>ukr<< Hold it!	Потерпи!
>>ukr<< Hold on.	Не клади слухавку.
>>ukr<< Hold on.	Почекай.
>>ukr<< Hug Tom.	Обійми Тома.
>>ukr<< Hug Tom.	Обійміть Тома.
>>ukr<< Hug Tom.	Пригорни Тома.
>>ukr<< Hug Tom.	Пригорніть Тома.
>>ukr<< I agree.	Я згодна.
>>ukr<< I agree.	Згода!
>>ukr<< I agree.	Я згоден.
>>ukr<< I agree.	Домовилися.
>>ukr<< I bowed.	Я вклонився.
>>ukr<< I bowed.	Я вклонилася.
>>ukr<< I cried.	Я заплакав.
>>ukr<< I cried.	Я заплакала.
>>ukr<< I dozed.	Я задрімав.
>>ukr<< I drive.	Я веду машину.
>>ukr<< I drove.	Я вів машину.
>>ukr<< I drove.	Я вела машину.
>>ukr<< I moved.	Я переїхав.
>>ukr<< I moved.	Я зрушив.
>>ukr<< I smoke.	Я палю.
>>ukr<< I smoke.	Я курю.
>>ukr<< I snore.	Я хроплю.
>>ukr<< I stink.	Я смерджу.
>>ukr<< I stood.	Я встав.
>>ukr<< I stood.	Я встала.
>>ukr<< I swore.	Я поклявся.
>>ukr<< I swore.	Я вилаявся.
>>ukr<< I tried.	Я спробував.
>>ukr<< I tried.	Я спробувала.
>>ukr<< I waved.	Я махнув рукою.
>>ukr<< I'm bad.	Мені погано.
>>ukr<< I'm fat.	Я товстий.
>>ukr<< I'm fat.	Я гладкий.
>>ukr<< I'm fat.	Я гладка.
>>ukr<< I'm fit.	Я в добрій спортивній формі.
>>ukr<< I'm hit!	Мене вдарили!
>>ukr<< I'm hit!	По мені влучили!
>>ukr<< I'm hot.	Мені жарко.
>>ukr<< I'm mad.	Я розлючений.
>>ukr<< I'm new.	Я новенький.
>>ukr<< I'm old.	Я стара.
>>ukr<< I'm sad.	Я сумую.
>>ukr<< I'm sad.	Мені сумно.
>>ukr<< I'm sad.	Я відчуваю сум.
>>ukr<< I'm shy.	Я сором'язливий.
>>ukr<< I'm shy.	Я сором'язлива.
>>ukr<< I'm wet.	Я мокрий.
>>ukr<< It's OK.	Все гаразд.
>>ukr<< It's OK.	Все в порядку.
>>ukr<< It's OK.	Немає проблем.
>>ukr<< It's OK.	Він в порядку.
>>ukr<< It's OK.	Вона в порядку.
>>ukr<< It's me.	Це я.
>>ukr<< Join us.	Приєднуйтесь до нас.
>>ukr<< Keep it.	Залиши це собі.
>>ukr<< Keep it.	Залишіть це собі.
>>ukr<< Kill it.	Вбий його!
>>ukr<< Kill it.	Убий її.
>>ukr<< Kill it.	Убий його.
>>ukr<< Kill it.	Убий це.
>>ukr<< Kiss me.	Поцілуйте мене.
>>ukr<< Lock it.	Замкни його.
>>ukr<< Lock it.	Замкни її.
>>ukr<< Lock it.	Замкніть його.
>>ukr<< Lock it.	Замкніть її.
>>ukr<< Open up.	Відкривай.
>>ukr<< Open up.	Відчиняй.
>>ukr<< Open up.	Відчиняйте.
>>ukr<< Perfect!	Чудово!
>>ukr<< See you.	Побачимось пізніше!
>>ukr<< See you.	Побачимося.
>>ukr<< Show me.	Покажи мені.
>>ukr<< Shut up!	Замовкніть!
>>ukr<< Shut up!	Затули пельку!
>>ukr<< Skip it.	Пропусти це.
>>ukr<< So long.	Бувай!
>>ukr<< Stop it.	Припини!
>>ukr<< Stop it.	Припиніть.
>>ukr<< Take it.	Візьми.
>>ukr<< Text me.	Напиши мені.
>>ukr<< Tom ran.	Том біг.
>>ukr<< Tom won.	Том виграв.
>>ukr<< Tom won.	Том переміг.
>>ukr<< Wait up.	Зачекай.
>>ukr<< Wait up.	Зачекайте.
>>ukr<< Wake up!	Вставай.
>>ukr<< Wake up!	Прокидайся!
>>ukr<< Wake up.	Вставай.
>>ukr<< Wash up.	Умийся.
>>ukr<< Wash up.	Умийтеся.
>>ukr<< We care.	Нам не байдуже.
>>ukr<< We know.	Ми знаємо.
>>ukr<< We know.	Знаємо.
>>ukr<< We lost.	Ми програли.
>>ukr<< Welcome.	Ласкаво просимо!
>>ukr<< Welcome.	Ласкаво прошу!
>>ukr<< Welcome.	Ласкаво просимо.
>>ukr<< Welcome.	Ласкаво прошу.
>>ukr<< Who ate?	Хто їв?
>>ukr<< Who ate?	Хто поїв?
>>ukr<< Who ran?	Хто біг?
>>ukr<< Who won?	Хто переміг?
>>ukr<< Why not?	Чому ні?
>>ukr<< Why not?	А чому б ні?
>>ukr<< Why not?	Чому б ні?
>>ukr<< Why not?	Чому б і ні?
>>ukr<< Why not?	Чом би й ні?
>>ukr<< You run.	Ти бігаєш.
>>ukr<< You run.	Ви бігаєте.
>>ukr<< You won.	Ти переміг.
>>ukr<< You won.	Ти перемогла.
>>ukr<< You won.	Ти виграла.
>>ukr<< You won.	Ви виграли.
>>ukr<< You won.	Ви перемогли.
>>ukr<< Am I fat?	Я жирний?
>>ukr<< Am I fat?	Я гладкий?
>>ukr<< Am I fat?	Я гладка?
>>ukr<< Ask them.	Запитай їх.
>>ukr<< Back off!	Назад!
>>ukr<< Be a man.	Будь чоловіком.
>>ukr<< Be brave.	Будь сміливим.
>>ukr<< Be brief.	Говори коротко.
>>ukr<< Be quick.	Хутко.
>>ukr<< Be quiet.	Спокійно.
>>ukr<< Be still.	Не рухайся.
>>ukr<< Be still.	Не рухайтеся.
>>ukr<< Beats me.	Я не знаю.
>>ukr<< Beats me.	Не знаю.
>>ukr<< Beats me.	Уяви не маю.
>>ukr<< Beats me.	Хтозна.
>>ukr<< Beats me.	Уявлення не маю.
>>ukr<< Buzz off.	Геть звідси.
>>ukr<< Bye, Tom.	Бувай, Томе.
>>ukr<< Bye, Tom.	Па,Томе.
>>ukr<< Bye, Tom.	Бувайте, Томе.
>>ukr<< Call Tom.	Поклич Тома.
>>ukr<< Call Tom.	Зателефонуй Тому.
>>ukr<< Can I go?	Можна я піду?
>>ukr<< Catch me.	Упіймай мене.
>>ukr<< Catch me.	Злови мене.
>>ukr<< Cheer up!	Веселіше!
>>ukr<< Cheer up.	Вище ніс.
>>ukr<< Cool off!	Заспокойся!
>>ukr<< Cool off!	Охолонь!
>>ukr<< Cuff him.	Одягни на нього наручники.
>>ukr<< Don't go.	Не йди.
>>ukr<< Don't go.	Не їдь!
>>ukr<< Drive on.	Їдь далі.
>>ukr<< Find Tom.	Знайди Тома.
>>ukr<< Find Tom.	Знайдіть Тома.
>>ukr<< Fix this.	Виправ це.
>>ukr<< Fix this.	Відремонтуй це.
>>ukr<< Get away!	Відійди!
>>ukr<< Get away!	Іди геть!
>>ukr<< Get away!	Йди геть.
>>ukr<< Get away!	Йди звідси.
>>ukr<< Get down!	На землю!
>>ukr<< Get down!	Спускайся вниз!
>>ukr<< Get down!	Спускайся!
>>ukr<< Get down!	Спускайтеся!
>>ukr<< Get down.	На землю!
>>ukr<< Get down.	Спускайтеся.
>>ukr<< Get down.	Спускайся.
>>ukr<< Get lost!	Іди геть!
>>ukr<< Get lost!	Йди геть.
>>ukr<< Get lost!	Йди звідси.
>>ukr<< Get lost!	Відвали.
>>ukr<< Get lost!	Йди геть!
>>ukr<< Get lost.	Відвали.
>>ukr<< Get real!	Будь реалістом!
>>ukr<< Get real!	Повернися на Землю!
>>ukr<< Get real.	Будь реалістом.
>>ukr<< Get real.	Повернися на Землю.
>>ukr<< Go ahead!	Гайда!
>>ukr<< Go ahead!	Ну ж бо!
>>ukr<< Go ahead!	Вперед!
>>ukr<< Go ahead.	Давай!
>>ukr<< Go ahead.	Гайда!
>>ukr<< Go ahead.	Ну ж бо!
>>ukr<< Go there.	Йди туди.
>>ukr<< Go there.	Йдіть туди.
>>ukr<< Good job!	Молодець!
>>ukr<< Good job!	Добра робота!
>>ukr<< Good job!	Молодці!
>>ukr<< Grab him.	Хапай його.
>>ukr<< Have fun.	Насолоджуйся.
>>ukr<< Have fun.	Отримуй задоволення.
>>ukr<< He tries.	Він намагається.
>>ukr<< Help Tom.	Допоможи Тому.
>>ukr<< Hi, guys.	Привіт, хлопці.
>>ukr<< Hi, guys.	Привіт, народе.
>>ukr<< Humor me.	Просто зроби це заради мене.
>>ukr<< Humor me.	Зробіть це для мене.
>>ukr<< Hurry up.	Поспішай!
>>ukr<< Hurry up.	Швидше!
>>ukr<< Hurry up.	Хутчіш!
>>ukr<< Hurry up.	Поквапся!
>>ukr<< Hurry up.	Хутко!
>>ukr<< Hurry up.	Швидко!
>>ukr<< Hurry up.	Хутко.
>>ukr<< Hurry up.	Хутчіш.
>>ukr<< Hurry up.	Ворушися.
>>ukr<< I agreed.	Я погодився.
>>ukr<< I agreed.	Я погодилася.
>>ukr<< I agreed.	Я був згодний.
>>ukr<< I agreed.	Я була згодна.
>>ukr<< I am old.	Я стара.
>>ukr<< I ate it.	Я його з'їв.
>>ukr<< I ate it.	Я це з'їв.
>>ukr<< I burped.	Я вірдигнув.
>>ukr<< I burped.	Я вірдигнула.
>>ukr<< I can go.	Я можу піти.
>>ukr<< I danced.	Я танцював.
>>ukr<< I danced.	Я танцювала.
>>ukr<< I did OK.	У мене вийшло нормально.
>>ukr<< I did it.	Я зробив це.
>>ukr<< I failed.	Я зазнав невдачі.
>>ukr<< I forgot.	Я забув.
>>ukr<< I forgot.	Я забула.
>>ukr<< I get by.	Я справляюся.
>>ukr<< I get it.	Я це розумію.
>>ukr<< I goofed.	Я полився.
>>ukr<< I got it.	Я зрозуміла.
>>ukr<< I got it.	Зрозумів.
>>ukr<< I got up.	Я встав.
>>ukr<< I got up.	Я встала.
>>ukr<< I got up.	Я піднявся.
>>ukr<< I got up.	Я піднялася.
>>ukr<< I got up.	Я піднялась.
>>ukr<< I had it.	У мене це було.
>>ukr<< I helped.	Я допоміг.
>>ukr<< I helped.	Я допомогла.
>>ukr<< I jumped.	Я стрибнув.
>>ukr<< I jumped.	Я стрибнула.
>>ukr<< I looked.	Я подивився.
>>ukr<< I looked.	Я подивилася.
>>ukr<< I moaned.	Я застогнав.
>>ukr<< I moaned.	Я застогнала.
>>ukr<< I nodded.	Я кивнув головою.
>>ukr<< I nodded.	Я кивнула головою.
>>ukr<< I obeyed.	Я послухався.
>>ukr<< I obeyed.	Я підкорився.
>>ukr<< I paused.	Я зупинився.
>>ukr<< I paused.	Я зробив паузу.
>>ukr<< I phoned.	Я телефонував.
>>ukr<< I phoned.	Я зателефонував.
>>ukr<< I prayed.	Я молився.
>>ukr<< I prayed.	Я молилася.
>>ukr<< I refuse.	Я відмовляюся.
>>ukr<< I resign.	Я звільняюся.
>>ukr<< I saw it.	Я це бачив.
>>ukr<< I shaved.	Я поголився.
>>ukr<< I shaved.	Я поголилася.
>>ukr<< I sighed.	Я зітхнув.
>>ukr<< I sighed.	Я зітхнула.
>>ukr<< I smiled.	Я усміхнувся.
>>ukr<< I smiled.	Я усміхнулася.
>>ukr<< I stayed.	Я лишився.
>>ukr<< I stayed.	Я лишилася.
>>ukr<< I stayed.	Я залишився.
>>ukr<< I stayed.	Я залишилася.
>>ukr<< I talked.	Я розвовляв.
>>ukr<< I talked.	Я розмовляла.
>>ukr<< I was OK.	У мене все було в порядку.
>>ukr<< I winked.	Я підморгнула.
>>ukr<< I winked.	Я підморгнув.
>>ukr<< I yawned.	Я позітхнув.
>>ukr<< I'd wait.	Я би зачекав.
>>ukr<< I'd wait.	Я би зачекала.
>>ukr<< I'd wait.	Я би почекав.
>>ukr<< I'd wait.	Я би почекала.
>>ukr<< I'll pay.	Я заплачу.
>>ukr<< I'll try.	Я спробую.
>>ukr<< I'll win.	Я переможу.
>>ukr<< I'll win.	Я виграю.
>>ukr<< I'm a DJ.	Я ді-джей.
>>ukr<< I'm a DJ.	Я діджей.
>>ukr<< I'm bald.	Я лисий.
>>ukr<< I'm bald.	Я лиса.
>>ukr<< I'm bald.	Я голомозий.
>>ukr<< I'm bald.	Я голомоза.
>>ukr<< I'm busy.	Я зайнятий.
>>ukr<< I'm busy.	Я зайнята.
>>ukr<< I'm calm.	Я спокійний.
>>ukr<< I'm calm.	Я спокійна.
>>ukr<< I'm deaf.	Я глухий.
>>ukr<< I'm deaf.	Я глуха.
>>ukr<< I'm done.	Я закінчив.
>>ukr<< I'm done.	Я скінчив.
>>ukr<< I'm done.	Я закінчив це.
>>ukr<< I'm done.	Я закінчила це.
>>ukr<< I'm easy.	Мені байдуже.
>>ukr<< I'm fair.	Я справедливий.
>>ukr<< I'm fair.	Я справедлива.
>>ukr<< I'm fast.	Я швидкий.
>>ukr<< I'm fast.	Я швидка.
>>ukr<< I'm fine.	Я в порядку.
>>ukr<< I'm fine.	У мене все гаразд.
>>ukr<< I'm free.	Я вільний.
>>ukr<< I'm free.	Я вільна.
>>ukr<< I'm free.	Я свобідний.
>>ukr<< I'm free.	Я свобідна.
>>ukr<< I'm full.	Я ситий.
>>ukr<< I'm full.	Я сита.
>>ukr<< I'm full.	Я наївся.
>>ukr<< I'm full.	Я наїлася.
>>ukr<< I'm full.	Я не голодна.
>>ukr<< I'm good.	Мені не треба.
>>ukr<< I'm here.	Я тут.
>>ukr<< I'm high.	Я під кайфом.
>>ukr<< I'm home.	Я вдома.
>>ukr<< I'm hurt.	Мені боляче.
>>ukr<< I'm hurt.	Мені болісно.
>>ukr<< I'm last.	Я останній.
>>ukr<< I'm last.	Я остання.
>>ukr<< I'm lazy.	Я лінивий.
>>ukr<< I'm lazy.	Я лінива.
>>ukr<< I'm lazy.	Я - ледацюга.
>>ukr<< I'm mean.	Я злий.
>>ukr<< I'm neat.	Я охайний.
>>ukr<< I'm neat.	Я охайна.
>>ukr<< I'm next.	Я наступний.
>>ukr<< I'm next.	Я наступна.
>>ukr<< I'm numb.	Я онімів.
>>ukr<< I'm numb.	Я оніміла.
>>ukr<< I'm okay.	Я в порядку.
>>ukr<< I'm okay.	У мене все гаразд.
>>ukr<< I'm poor.	Я бідний.
>>ukr<< I'm poor.	Я бідна.
>>ukr<< I'm rich.	Я багатий.
>>ukr<< I'm rich.	Я багата.
>>ukr<< I'm rich.	Я заможний.
>>ukr<< I'm safe.	Я у безпеці.
>>ukr<< I'm slow.	Я повільний.
>>ukr<< I'm slow.	Я повільна.
>>ukr<< I'm sure.	Я впевнений.
>>ukr<< I'm sure.	Я певен.
>>ukr<< I'm sure.	Я певна.
>>ukr<< I'm tall.	Я високий.
>>ukr<< I'm thin.	Я худий.
>>ukr<< I'm thin.	Я худа.
>>ukr<< I'm tidy.	Я охайний.
>>ukr<< I'm tidy.	Я охайна.
>>ukr<< I'm ugly.	Я потворний.
>>ukr<< I'm ugly.	Я потворна.
>>ukr<< I'm warm.	Мені тепло.
>>ukr<< I'm well.	Я в порядку.
>>ukr<< I'm wise.	Я мудрий.
>>ukr<< I'm wise.	Я мудра.
>>ukr<< I've won.	Я виграв.
>>ukr<< I've won.	Я перемогла.
>>ukr<< It hurts.	Боляче.
>>ukr<< It hurts.	Це болісно.
>>ukr<< It works.	Він працює.
>>ukr<< It works.	Вона працює.
>>ukr<< It works.	Воно працює.
>>ukr<< It's fun.	Це класно.
>>ukr<< It's his.	Він його.
>>ukr<< It's his.	Вона його.
>>ukr<< It's his.	Воно його.
>>ukr<< It's hot.	Спекотно.
>>ukr<< It's hot.	Спека.
>>ukr<< It's old.	Він старий.
>>ukr<< It's old.	Вона стара.
>>ukr<< It's red.	Він червоний.
>>ukr<< It's red.	Вона червона.
>>ukr<< It's sad.	Сумно.
>>ukr<< It's tea.	Це чай.
>>ukr<< Keep out!	Тримайся подалі!
>>ukr<< Keep out!	Тримайтеся подалі!
>>ukr<< Keep out.	Тримайся подалі.
>>ukr<< Keep out.	Тримайтеся подалі.
>>ukr<< Kill Tom.	Вбийте Тома.
>>ukr<< Kill Tom.	Убийте Тома.
>>ukr<< Kiss Tom.	Поцілуй Тома.
>>ukr<< Kiss Tom.	Поцілуйте Тома.
>>ukr<< Leave it.	Лиши.
>>ukr<< Leave it.	Залиш це.
>>ukr<< Leave me.	Залиши мене.
>>ukr<< Leave me.	Облиш мене!
>>ukr<< Leave us.	Залиши нас.
>>ukr<< Let's go!	Гайда!
>>ukr<< Let's go!	Почали!
>>ukr<< Let's go!	Ходімо.
>>ukr<< Let's go!	Ходімо!
>>ukr<< Let's go.	Підемо.
>>ukr<< Look out!	Обережно!
>>ukr<< Marry me.	Виходь за мене заміж.
>>ukr<< Marry me.	Одружись зі мною.
>>ukr<< May I go?	Можна мені піти?
>>ukr<< Nonsense!	Бздура!
>>ukr<< Poor dog.	Бідний собака.
>>ukr<< Poor dog.	Бідолашний собака.
>>ukr<< Prove it.	Доведи це.
>>ukr<< Prove it.	Доведи.
>>ukr<< Prove it.	Доведіть.
>>ukr<< Prove it.	Доведіть це.
>>ukr<< Save Tom.	Врятуй Тома.
>>ukr<< Say what?	Га?
>>ukr<< Say when.	Скажи коли.
>>ukr<< She came.	Вона прийшла.
>>ukr<< She runs.	Вона бігає.
>>ukr<< Sit down!	Сідай!
>>ukr<< Sit down!	Сідайте!
>>ukr<< Sit here.	Сідай тут.
>>ukr<< Sit here.	Сідайте тут.
>>ukr<< Speak up!	Кажи!
>>ukr<< Speak up!	Говори гучніше!
>>ukr<< Speak up!	Говоріть гучніше!
>>ukr<< Speak up!	Розказуй.
>>ukr<< Stand by.	Будь напоготові.
>>ukr<< Stand up!	Вставай.
>>ukr<< Stand up!	Підводьтесь!
>>ukr<< Stand up.	Вставай.
>>ukr<< Stay put.	Не рухайся.
>>ukr<< Stay put.	Залишайся на місці.
>>ukr<< Stop Tom.	Зупини Тома.
>>ukr<< Tell Tom.	Скажи Тому.
>>ukr<< Terrific!	Чудово!
>>ukr<< Terrific!	Фантастика!
>>ukr<< Terrific!	Клас!
>>ukr<< Terrific!	Класно!
>>ukr<< They won.	Вони перемогли.
>>ukr<< They won.	Вони виграли.
>>ukr<< Tom came.	Том прийшов.
>>ukr<< Tom fell.	Том упав.
>>ukr<< Tom knew.	Том знав.
>>ukr<< Tom lied.	Том збрехав.
>>ukr<< Tom lies.	Том бреше.
>>ukr<< Tom lies.	Том говорить неправду.
>>ukr<< Tom quit.	Том звільнився.
>>ukr<< Tom spit.	Том плюнув.
>>ukr<< Tom swam.	Том плив.
>>ukr<< Tom wept.	Том плакав.
>>ukr<< Tom's up.	Том не спить.
>>ukr<< Too late.	Запізно.
>>ukr<< Trust me.	Повір мені.
>>ukr<< Try some.	Спробуй трохи.
>>ukr<< Use this.	Скористайся цим.
>>ukr<< Warn Tom.	Попередь Тома.
>>ukr<< Watch me.	Дивись на мене.
>>ukr<< Watch us.	Дивись на нас.
>>ukr<< We agree.	Ми згодні.
>>ukr<< We tried.	Ми спробували.
>>ukr<< We're OK.	Ми в порядку.
>>ukr<< We're OK.	У нас все гаразд.
>>ukr<< What for?	Для чого?
>>ukr<< What fun!	Як весело!
>>ukr<< Who am I?	Хто я?
>>ukr<< Who came?	Хто прийшов?
>>ukr<< Who paid?	Хто заплатив?
>>ukr<< Who quit?	Хто вийшов?
>>ukr<< Who quit?	Хто звільнився?
>>ukr<< Who quit?	Хто пішов?
>>ukr<< Who swam?	Хто плив?
>>ukr<< Who's he?	Він хто?
>>ukr<< Who's he?	Він хто такий?
>>ukr<< Write me.	Напиши мені.
>>ukr<< You lost.	Ти програв.
>>ukr<< You lost.	Ти програла.
>>ukr<< You lost.	Ви програли.
>>ukr<< After you.	Після тебе.
>>ukr<< Aim. Fire!	Цілься. Вогонь!
>>ukr<< Am I dead?	Я помер?
>>ukr<< Am I dead?	Я мертвий?
>>ukr<< Am I dead?	Я мертва?
>>ukr<< Am I dead?	Я вмерла?
>>ukr<< Am I late?	Я запізнився?
>>ukr<< Am I late?	Я запізнилася?
>>ukr<< Answer me.	Дай мені відповідь.
>>ukr<< Answer me.	Дайте мені відповідь.
>>ukr<< Be seated.	Не вставай.
>>ukr<< Be seated.	Не вставайте.
>>ukr<< Birds fly.	Птахи літають.
>>ukr<< Bless you.	Будь здоровий!
>>ukr<< Bless you.	Будь здоровий.
>>ukr<< Bless you.	Будьте здорові.
>>ukr<< Call home!	Зателефонуй додому!
>>ukr<< Call home!	Зателефонуйте додому!
>>ukr<< Calm down!	Заспокойся!
