>>nob<< Run!	Løp!
>>nob<< I overslept.	Jeg forsov meg.
>>nob<< I want mine.	Jeg vil ha min.
>>nob<< I was lucky.	Jeg hadde flaks.
>>nob<< I was naked.	Jeg var naken.
>>nob<< I was sorry.	Jeg var lei meg.
>>nob<< I'm certain.	Sikkert.
>>nob<< I'm thirsty.	Jeg er tørst.
>>nob<< Is it there?	Er den der?
>>nob<< Is it there?	Er det der?
>>nob<< It can't be!	Det er ikke mulig!
>>nob<< It can't be!	Det kan ikke stemme!
>>nob<< It happened.	Det skjedde.
>>nob<< Look around.	Se deg rundt.
>>nob<< Look around.	Se dere rundt.
>>nob<< Nobody came.	Ingen kom.
>>nob<< Nobody lied.	Ingen løy.
>>nob<< Plants grow.	Planter vokser.
>>nob<< Release him.	Slipp ham løs.
>>nob<< Remember it.	Husk det.
>>nob<< Stop! Thief!	Stopp! Tyv!
>>nob<< That's mine.	Det er mitt.
>>nob<< They saw me.	De så meg.
>>nob<< They smiled.	De smilte.
>>nob<< Tom came in.	Tom kom inn.
>>nob<< Tom frowned.	Tom rynket pannen.
>>nob<< Tom is deaf.	Tom er døv.
>>nob<< Tom is poor.	Thomas er fattig.
>>nob<< Tom's drunk.	Tom er full.
>>nob<< Tom's right.	Tom har rett.
>>nob<< We survived!	Vi overlevde!
>>nob<< We think so.	Vi tror det.
>>nob<< Who's tired?	Hvem er sliten?
>>nob<< Are you deaf?	Er du døv?
>>nob<< Are you full?	Er du mett?
>>nob<< Are you full?	Er dere mette?
>>nob<< Are you lost?	Har du gått deg vill?
>>nob<< Are you nuts?	Er du gal?
>>nob<< Are you sure?	Er du sikker?
>>nob<< Be realistic!	Vær realistisk!
>>nob<< Beef, please.	Biff, takk.
>>nob<< Can you swim?	Kan du svømme?
>>nob<< Come outside.	Kom ut.
>>nob<< Cut the meat.	Skjær kjøttet.
>>nob<< Cut the meat.	Kutt kjøttet.
>>nob<< Do you dance?	Danser du?
>>nob<< Do you dance?	Danser dere?
>>nob<< Do you smoke?	Røyker du?
>>nob<< Do your best.	Gjør ditt beste.
>>nob<< Fish, please.	Fisk, takk.
>>nob<< Go away, Tom.	Gå vekk, Tom.
>>nob<< Good evening.	God kveld.
>>nob<< Good morning.	God morgen.
>>nob<< Happy Easter!	God påske!
>>nob<< He loves her.	Han elsker henne.
>>nob<< He was alone.	Han var alene.
>>nob<< Hello, girls.	Hallo, jenter.
>>nob<< Hello, girls.	Hei, jenter.
>>nob<< Here you are.	Værsågod.
>>nob<< How romantic!	Så romantisk!
>>nob<< How was that?	Hvordan var det?
>>nob<< I am curious.	Jeg er nysgjerrig.
>>nob<< I burp a lot.	Jeg raper mye.
>>nob<< I don't know.	Jeg vet ikke.
>>nob<< I don't sing.	Jeg synger ikke.
>>nob<< I drink milk.	Jeg drikker melk.
>>nob<< I felt naked.	Jeg følte meg naken.
>>nob<< I hear music.	Jeg hører musikk.
>>nob<< I must study.	Jeg er nødt til å studere.
>>nob<< I need money.	Jeg trenger penger.
>>nob<< I see a lion.	Jeg ser en løve.
>>nob<< I was framed.	Jeg gikk rett i fella.
>>nob<< I was stupid.	Jeg var dum.
>>nob<< I'm a doctor.	Jeg er lege.
>>nob<< I'm not bald.	Jeg er ikke skallet.
>>nob<< I'm not bald.	Jeg er ikke skalla.
>>nob<< I'm not deaf.	Jeg er ikke døv.
>>nob<< I'm out here.	Jeg er her ute.
>>nob<< I'm sick now.	Jeg er syk nå.
>>nob<< I'm stubborn.	Jeg er sta.
>>nob<< I'm too slow.	Jeg er for treg.
>>nob<< Is Tom there?	Er Tom der?
>>nob<< Is he asleep?	Sover han?
>>nob<< Is that a no?	Er det et nei?
>>nob<< Is that fair?	Er det rettferdig?
>>nob<< Is that fair?	Er det rimelig?
>>nob<< It scared me.	Det skremte meg.
>>nob<< It scares me.	Det skremmer meg.
>>nob<< It took time.	Det tok tid.
>>nob<< It was a lie.	Det var en løgn.
>>nob<< It was empty.	Det var tomt.
>>nob<< It'll happen.	Det kommer til å skje.
>>nob<< It's bedtime.	Det er leggetid.
>>nob<< It's hailing.	Det hagler.
>>nob<< It's perfect.	Det er perfekt.
>>nob<< It's snowing.	Det snør.
>>nob<< Ladies first.	Damene først.
>>nob<< Let me think.	La meg tenke.
>>nob<< Look at that!	Se på det!
>>nob<< Look it over.	Se gjennom det.
>>nob<< My eyes itch.	Jeg klør i øya.
>>nob<< Nobody asked.	Ingen spurte.
>>nob<< Nobody knows.	Ingen vet.
>>nob<< Our eyes met.	Våre øyne møttes.
>>nob<< Please hurry.	Skynd deg.
>>nob<< Please hurry.	Skynd deg, er du snill.
>>nob<< Please hurry.	Vær så snill og skynd deg.
>>nob<< She shrieked.	Hun skrek.
>>nob<< Someone came.	Noen kom.
>>nob<< Speak softly.	Snakk lavere.
>>nob<< Stop filming.	Slutt å filme.
>>nob<< Stop reading.	Slutt å lese.
>>nob<< Stop smoking.	Slutt å røyke.
>>nob<< Stop yelling.	Slutt å rope.
>>nob<< That is mine.	Det er mitt.
>>nob<< That's right!	Det stemmer!
>>nob<< Tom has cats.	Tom har katter.
>>nob<< Tom is drunk.	Tom er full.
>>nob<< Tom is naive.	Tom er naiv.
>>nob<< Tom is naked.	Tom er naken.
>>nob<< Tom said yes.	Tom sa ja.
>>nob<< Tom's crying.	Tom gråter.
>>nob<< Tom's greedy.	Tom er grådig.
>>nob<< Tom's so old.	Tom er veldig gammel.
>>nob<< Unbelievable!	Utrolig!
>>nob<< Wait in here.	Vent her inne.
>>nob<< We liked Tom.	Vi likte Tom.
>>nob<< We're greedy.	Vi er grådige.
>>nob<< Welcome back.	Velkommen tilbake.
>>nob<< Welcome home.	Velkommen hjem.
>>nob<< Who's hungry?	Hvem er sulten?
>>nob<< You're right.	Du har rett.
>>nob<< Are they tall?	Er de høye?
>>nob<< Are you blind?	Er du blind?
>>nob<< Are you crazy?	Er du gal?
>>nob<< Are you ready?	Er du klar?
>>nob<< Are you tired?	Er du trøtt?
>>nob<< Can you drive?	Kan du kjøre?
>>nob<< Come on board.	Kom om bord.
>>nob<< Does this fit?	Passer denne?
>>nob<< Don't look up.	Ikke se opp.
>>nob<< Don't respond.	Ikke svar.
>>nob<< Everyone dies.	Alle dør.
>>nob<< Flowers bloom.	Blomster blomstrer.
>>nob<< Guess who won.	Gjett hvem som vant.
>>nob<< He is a thief.	Han er en tyv.
>>nob<< He sells cars.	Han selger biler.
>>nob<< He shot at me.	Han skjøt mot meg.
>>nob<< He's studying.	Han studerer.
>>nob<< How about you?	Hva med deg?
>>nob<< How was lunch?	Hvordan var lunsjen?
>>nob<< How wonderful!	Så flott!
>>nob<< How wonderful!	Så herlig!
>>nob<< I am not deaf.	Jeg er ikke døv.
>>nob<< I can see you.	Jeg kan se deg.
>>nob<< I can see you.	Jeg kan se dere.
>>nob<< I can't do it.	Jeg kan ikke gjøre det.
>>nob<< I can't sleep.	Jeg får ikke sove.
>>nob<< I dislike Tom.	Jeg liker ikke Tom.
>>nob<< I don't dance.	Jeg danser ikke.
>>nob<< I enjoy chess.	Jeg liker sjakk.
>>nob<< I have a cold.	Jeg er forkjølet.
>>nob<< I have an egg.	Jeg har et egg.
>>nob<< I love coffee.	Jeg elsker Kaffe.
>>nob<< I play tennis.	Jeg spiller tennis.
>>nob<< I see nothing.	Jeg kan ikke se noe.
>>nob<< I see someone.	Jeg ser noen.
>>nob<< I support Tom.	Jeg støtter Tom.
>>nob<< I was at home.	Jeg var hjemme.
>>nob<< I wasn't told.	Jeg fikk ikke beskjed.
>>nob<< I'm a redhead.	Jeg har rødt hår.
>>nob<< I'm a veteran.	Jeg er veteran.
>>nob<< I'm different.	Jeg er annerledes.
>>nob<< I'm in Boston.	Jeg er i Boston.
>>nob<< I'm not bossy.	Jeg er ikke sjefete.
>>nob<< I'm not brave.	Jeg er ikke modig.
>>nob<< I've found it.	Jeg har funnet det.
>>nob<< It had snowed.	Det hadde snødd.
>>nob<< It isn't good.	Det er ikke bra.
>>nob<< It isn't mine.	Den er ikke min.
>>nob<< It isn't mine.	Det er ikke mitt.
>>nob<< It looks fine.	Det ser greit ut.
>>nob<< It seems easy.	Det ser lett ut.
>>nob<< It seems easy.	Det ser enkelt ut.
>>nob<< It was spooky.	Det var nifs.
>>nob<< It's all over.	Alt er over.
>>nob<< It's happened.	Det har skjedd.
>>nob<< It's not good.	Det er ikke bra.
>>nob<< It's not mine.	Den er ikke min.
>>nob<< It's not mine.	Det er ikke mitt.
>>nob<< Love is blind.	Kjærlighet gjør blind.
>>nob<< My head hurts.	Jeg har vondt i hodet.
>>nob<< No, thank you.	Nei takk.
>>nob<< Quit bragging.	Slutt å skryte.
>>nob<< Save yourself.	Redd deg selv.
>>nob<< See you again.	Vi sees!
>>nob<< She bent down.	Hun bøyde seg ned.
>>nob<< She is crying.	Hun gråter.
>>nob<< She likes him.	Hun liker ham.
>>nob<< She loves him.	Hun elsker ham.
>>nob<< She overslept.	Hun forsov seg.
>>nob<< Show yourself.	Vis deg.
>>nob<< Shut the door.	Lukk døren.
>>nob<< Shut the door.	Lukk døra.
>>nob<< Speak clearly.	Snakk tydelig.
>>nob<< Speak quietly.	Snakk lavere.
>>nob<< Take a shower.	Ta deg en dusj.
>>nob<< Tastes differ.	Smaker er forskjellige.
>>nob<< That can't be.	Det kan ikke være sant.
>>nob<< That's a doll.	Det der er en dukke.
>>nob<< That's a risk.	Det er en risiko.
>>nob<< This is a DVD.	Dette er en DVD.
>>nob<< Tom and I ran.	Tom og jeg løp.
>>nob<< Tom bent down.	Tom bøyde seg ned.
>>nob<< Tom can do it.	Tom kan gjøre det.
>>nob<< Tom is crying.	Tom gråter.
>>nob<< Tom is greedy.	Tom er grådig.
>>nob<< Tom is my man.	Tom er mannen min.
>>nob<< Tom let me go.	Tom lot meg gå.
>>nob<< Tom loved you.	Tom elsket deg.
>>nob<< Tom loved you.	Tom elsket dere.
>>nob<< Tom overslept.	Tom forsov seg.
>>nob<< Tom was drunk.	Tom var full.
>>nob<< We admire you.	Vi beundrer deg.
>>nob<< We got robbed.	Vi ble ranet.
>>nob<< We need money.	Vi trenger penger.
>>nob<< We understand.	Vi forstår.
>>nob<< We're hunters.	Vi er jegere.
>>nob<< What happened?	Hva skjedde?
>>nob<< What's an elf?	Hva er en alv?
>>nob<< When's dinner?	Når er det middag?
>>nob<< Who helps her?	Hvem hjelper henne?
>>nob<< Whose is this?	Hvem sin er dette?
>>nob<< You come, too.	Du kommer også.
>>nob<< You'll go far.	Du vil komme langt.
>>nob<< You're a snob.	Du er en snobb.
>>nob<< You're greedy.	Du er grådig.
>>nob<< You're greedy.	Dere er grådige.
>>nob<< You're joking!	Du tuller!
>>nob<< You're joking!	Du spøker!
>>nob<< You're pretty.	Du er pen.
>>nob<< You're stupid.	Du er dum.
>>nob<< Are you coming?	Kommer du?
>>nob<< Are you crying?	Gråter du?
>>nob<< Both are alive.	Begge to er i live.
>>nob<< Bring a camera.	Ta med et kamera.
>>nob<< Buy one for me.	Kjøp en til meg.
>>nob<< Can I go first?	Kan jeg gå først?
>>nob<< Can I help you?	Kan jeg hjelpe deg?
>>nob<< Can you cancel?	Kan du kansellere?
>>nob<< Cats are smart.	Katter er smarte.
>>nob<< Close the door.	Lukk døren.
>>nob<< Close the door.	Lukk døra.
>>nob<< Come back soon.	Kom snart igjen.
>>nob<< Do it your way.	Gjør det på din måte.
>>nob<< Do you like it?	Liker du det?
>>nob<< Do you like it?	Liker dere det?
>>nob<< Do you love me?	Elsker du meg?
>>nob<< Does this hurt?	Gjør dette vondt?
>>nob<< Don't be angry.	Ikke vær sint.
>>nob<< Eat everything.	Spis alt.
>>nob<< Everybody lies.	Alle lyver.
>>nob<< Get some sleep.	Få deg litt søvn.
>>nob<< Good afternoon.	God ettermiddag.
>>nob<< Guess who I am.	Gjett hvem jeg er.
>>nob<< Happy New Year!	Godt nytt år!
>>nob<< He came by bus.	Han kom med bussen.
>>nob<< He disappeared.	Han forsvant.
>>nob<< Here is a book.	Her er en bok.
>>nob<< How did we win?	Hvordan vant vi?
>>nob<< I bought a car.	Jeg kjøpte en bil.
>>nob<< I can't go out.	Jeg kan ikke gå ut.
>>nob<< I didn't smile.	Jeg smilte ikke.
>>nob<< I drink coffee.	Jeg drikker kaffe.
>>nob<< I have friends.	Jeg har venner.
>>nob<< I like castles.	Jeg liker slott.
>>nob<< I like drawing.	Jeg liker å tegne.
>>nob<< I like to draw.	Jeg liker å tegne.
>>nob<< I lost my keys.	Jeg mistet nøkkelen min.
>>nob<< I love bananas.	Jeg elsker bananer.
>>nob<< I love lizards.	Jeg elsker øgler.
>>nob<< I need a knife.	Jeg trenger en kniv.
>>nob<< I need a stamp.	Jeg trenger et frimerke.
>>nob<< I remember Tom.	Jeg husker Tom.
>>nob<< I study abroad.	Jeg studerer utenlands.
>>nob<< I walked alone.	Jeg gikk alene.
>>nob<< I want to live.	Jeg vil leve.
>>nob<< I want to play.	Jeg vil leke.
>>nob<< I'll go by car.	Jeg tar bil.
>>nob<< I'm a comedian.	Jeg er komiker.
>>nob<< I'm a free man.	Jeg er en fri mann.
>>nob<< I'm an atheist.	Jeg er ateist.
>>nob<< I'm going back.	Jeg går tilbake.
>>nob<< I'm not biased.	Jeg er ikke partisk.
>>nob<< I'm not famous.	Jeg er ikke berømt.
>>nob<< I'm not greedy.	Jeg er ikke grådig.
>>nob<< I'm on holiday.	Jeg er på ferie.
>>nob<< I'm on holiday.	Jeg har ferie.
>>nob<< I'm used to it.	Jeg er vant til det.
>>nob<< I'm vegetarian.	Jeg er vegetarianer.
>>nob<< I've lost hope.	Jeg har mistet håpet.
>>nob<< Is he sleeping?	Sover han?
>>nob<< It makes sense.	Det henger på greip.
>>nob<< It makes sense.	Det gir mening.
>>nob<< It will happen.	Det vil skje.
>>nob<< It's cold here.	Det er kaldt her.
>>nob<< It's no secret.	Det er ikke en hemmelighet.
>>nob<< It's on page 3.	Det står på side 3.
>>nob<< Leave it to me.	Overlat det til meg.
>>nob<< Leave it to me.	Jeg tar hånd om det.
>>nob<< Let us go home.	La oss gå hjem.
>>nob<< Make it happen.	Få det til å skje.
>>nob<< May I help you?	Kan jeg hjelpe deg?
>>nob<< May I use this?	Kan jeg bruke denne?
>>nob<< Maybe it's Tom.	Kanskje det er Tom.
>>nob<< Money is power.	Penger er makt.
>>nob<< My desk is old.	Skrivebordet mitt er gammelt.
>>nob<< No one shouted.	Ingen ropte.
>>nob<< Our dog is big.	Hunden vår er stor.
>>nob<< Shall we begin?	Skal vi begynne?
>>nob<< She is a nurse.	Hun er sykepleierske.
>>nob<< She is out now.	Hun er ute nå.
>>nob<< She is running.	Hun løper.
>>nob<< She was crying.	Hun gråt.
>>nob<< She's a blonde.	Hun er blondine.
>>nob<< She's stubborn.	Hun er sta.
>>nob<< Someone called.	Noen ringte.
>>nob<< Sorry I'm late.	Beklager at jeg er sen.
>>nob<< That isn't Tom.	Det er ikke Tom.
>>nob<< That's my seat.	Det er mitt sete.
>>nob<< That's not Tom.	Det er ikke Tom.
>>nob<< They quarreled.	De kranglet.
>>nob<< This is a joke.	Dette er en vits.
>>nob<< This is a test.	Dette er en test.
>>nob<< Tom barely ate.	Tom spiste knapt.
>>nob<< Tom can't walk.	Tom kan ikke gå.
>>nob<< Tom had a boat.	Tom hadde en båt.
>>nob<< Tom has my car.	Tom har bilen min.
>>nob<< Tom hates Mary.	Tom hater Mary.
>>nob<< Tom is our son.	Tom er vår sønn.
>>nob<< Tom isn't mean.	Tom er ikke slem.
>>nob<< Tom was crying.	Tom gråt.
>>nob<< Tom was greedy.	Tom var grådig.
>>nob<< Tom's laughing.	Tom ler.
>>nob<< Wait. Don't go.	Vent. Ikke gå.
>>nob<< We aren't late.	Vi er ikke sene.
>>nob<< We forgive you.	Vi tilgir deg.
>>nob<< We make things.	Vi lager ting.
>>nob<< We're rich men.	Vi er rike menn.
>>nob<< We're stubborn.	Vi er sta.
>>nob<< What do you do?	Hva gjør du?
>>nob<< What do you do?	Hvilket yrke har du?
>>nob<< What do you do?	Hva jobber du med?
>>nob<< What'd you say?	Hva sa du?
>>nob<< Who broke this?	Hvem ødelagte denne?
>>nob<< Who's confused?	Hvem er forvirret?
>>nob<< You are stupid.	Du er dum.
>>nob<< You can't stop.	Du kan ikke slutte.
>>nob<< You have to go.	Du må gå.
>>nob<< You look tired.	Du ser trøtt ut.
>>nob<< You may go now.	Du kan dra nå.
>>nob<< You're my type.	Du er min type.
>>nob<< Are you guys OK?	Går det bra med dere?
>>nob<< Are you kidding?	Du tuller?
>>nob<< Are you over 18?	Er du over 18?
>>nob<< Are you serious?	Seriøst?
>>nob<< Are you serious?	Er du seriøs?
>>nob<< Behave yourself.	Oppfør deg.
>>nob<< Behave yourself.	Oppfør dere.
>>nob<< Call my husband.	Ring mannen min.
>>nob<< Call the doctor.	Ring legen.
>>nob<< Call the police!	Tilkall politiet!
>>nob<< Can you show me?	Kan du vise meg?
>>nob<< Chicken, please.	Kylling, takk.
>>nob<< Chicken, please.	Kylling, er du snill.
>>nob<< Congratulations!	Gratulerer!
>>nob<< Did I scare you?	Skremte jeg deg?
>>nob<< Do you have one?	Han du en?
>>nob<< Don't be stupid.	Ikke vær dum.
>>nob<< Don't get angry.	Ikke bli sint.
>>nob<< Drive carefully.	Kjør forsiktig.
>>nob<< Enjoy your meal!	Nyt måltidet ditt.
>>nob<< Everyone dreams.	Alle drømmer.
>>nob<< Everyone smiled.	Alle smilte.
>>nob<< Everyone waited.	Alle ventet.
>>nob<< He can run fast.	Han kan løpe fort.
>>nob<< He has a hat on.	Han har på seg hatt.
>>nob<< He has a ticket.	Han har en billett.
>>nob<< He is a teacher.	Han er lærer.
>>nob<< He quit smoking.	Han sluttet å røyke.
>>nob<< He seems hungry.	Han virker sulten.
>>nob<< He writes books.	Han skriver bøker.
>>nob<< He's my brother.	Han er min bror.
>>nob<< Here is the map.	Her er kartet.
>>nob<< How about 12:45?	Hva med 12:45?
>>nob<< How big you are!	Så stor du er!
>>nob<< How can that be?	Hvordan kan det være?
>>nob<< How may we help?	Hvordan kan vi hjelpe?
>>nob<< How's the apple?	Hvordan smaker eplet?
>>nob<< Hypnotism works.	Hypnose virker.
>>nob<< Hypnotism works.	Hypnose funker.
>>nob<< I can't do that.	Jeg kan ikke gjøre det.
>>nob<< I forgot to ask.	Jeg glemte å spørre.
