>>mar<< Go.	जा.
>>mar<< Catch him.	त्यांना पकड.
>>mar<< Catch him.	त्यांना पकडा.
>>mar<< Come here.	इथे ये.
>>mar<< Come here.	इथे या.
>>mar<< Come home.	घरी या.
>>mar<< Come home.	घरी ये.
>>mar<< Did I win?	मी जिंकलो का?
>>mar<< Did I win?	मी जिंकले का?
>>mar<< Dogs bark.	कुत्रे भुंकतात.
>>mar<< Don't ask.	विचारू नका.
>>mar<< Don't ask.	विचारू नकोस.
>>mar<< Don't cry.	रडू नकोस.
>>mar<< Don't cry.	रडू नका.
>>mar<< Don't die.	मरू नकोस.
>>mar<< Don't die.	मरू नका.
>>mar<< Don't lie.	खोटं बोलू नकोस.
>>mar<< Don't lie.	खोटं बोलू नका.
>>mar<< Don't run.	पळू नकोस.
>>mar<< Don't run.	धावू नकोस.
>>mar<< Don't run.	पळू नका.
>>mar<< Don't run.	धावू नका.
>>mar<< Forget it.	विसर.
>>mar<< Forget it.	विसरून जा.
>>mar<< Forget me.	मला विसरून जा.
>>mar<< Get ready.	तयार हो.
>>mar<< Go inside.	आत जा.
>>mar<< Grab that.	ते घ्या.
>>mar<< Grab that.	ते घे.
>>mar<< Grab that.	ते पकड.
>>mar<< Grab that.	ते पकडा.
>>mar<< Grab this.	हे पकड.
>>mar<< Grab this.	हे पकडा.
>>mar<< He is ill.	तो आजारी आहे.
>>mar<< He is ill.	ते आजारी आहेत.
>>mar<< He's a DJ.	तो डीजे आहे.
>>mar<< He's a DJ.	ते डीजे आहेत.
>>mar<< He's fast.	तो वेगवान आहे.
>>mar<< He's fast.	ते वेगवान आहेत.
>>mar<< He's mine.	तो माझा आहे.
>>mar<< He's mine.	ते माझे आहेत.
>>mar<< He's sexy.	तो सेक्सी आहे.
>>mar<< He's sexy.	तो सेक्सी असतो.
>>mar<< Hold this.	हे धर.
>>mar<< Hold this.	हे धरा.
>>mar<< How is it?	कसं आहे?
>>mar<< How is it?	कसा आहे?
>>mar<< How is it?	कशी आहे?
>>mar<< How's Tom?	टॉम कसा आहे?
>>mar<< I can run.	मला पळता येतं.
>>mar<< I can run.	मला धावता येतं.
>>mar<< I can run.	मी धावू शकतो.
>>mar<< I can run.	मी पळू शकतो.
>>mar<< I can run.	मी धावू शकते.
>>mar<< I can run.	मी पळू शकते.
>>mar<< I can ski.	मला स्की करता येतं.
>>mar<< I can ski.	मी स्की करू शकतो.
>>mar<< I can ski.	मी स्की करू शकते.
>>mar<< I can win.	मी जिंकू शकतो.
>>mar<< I can win.	मी जिंकू शकते.
>>mar<< I fainted.	मला चक्कर आली.
>>mar<< I got fat.	मी जाडा झालो.
>>mar<< I got fat.	मी जाडी झाले.
>>mar<< I hit Tom.	मी टॉमला मारलं.
>>mar<< I hit Tom.	मी टॉमला मारतो.
>>mar<< I hit Tom.	मी टॉमला मारते.
>>mar<< I laughed.	मी हसलो.
>>mar<< I laughed.	मी हसले.
>>mar<< I met him.	मी त्याला भेटलो.
>>mar<< I met him.	मी त्याला भेटले.
>>mar<< I saw Tom.	मी टॉमला पाहिलं.
>>mar<< I saw Tom.	मी टॉमला बघितलं.
>>mar<< I saw Tom.	मला टॉम दिसला.
>>mar<< I saw one.	मला एक दिसला.
>>mar<< I saw one.	मला एक दिसलं.
>>mar<< I saw one.	मला एक दिसली.
>>mar<< I saw you.	मी तुला बघितलं.
>>mar<< I saw you.	मी तुला पाहिलं.
>>mar<< I saw you.	मी तुम्हाला बघितलं.
>>mar<< I saw you.	मी तुम्हाला पाहिलं.
>>mar<< I see now.	आता मला दिसतंय.
>>mar<< I see now.	आता मी बघू शकतो.
>>mar<< I see now.	आता मी बघू शकते.
>>mar<< I shouted.	मी ओरडलो.
>>mar<< I shouted.	मी ओरडले.
>>mar<< I want it.	मला हवं आहे.
>>mar<< I want it.	मला हवा आहे.
>>mar<< I want it.	मला हवी आहे.
>>mar<< I want it.	मला पाहिजे.
>>mar<< I will go.	मी जाईन.
>>mar<< I'll call.	मी फोन करेन.
>>mar<< I'll help.	मी मदत करेन.
>>mar<< I'll lose.	मी हरेन.
>>mar<< I'll sing.	मी गाईन.
>>mar<< I'll stop.	मी थांबेन.
>>mar<< I'll talk.	मी बोलेन.
>>mar<< I'll walk.	मी चालेन.
>>mar<< I'll work.	मी काम करेन.
>>mar<< I'm a man.	मी माणुस आहे.
>>mar<< I'm a man.	मी पुरुष आहे.
>>mar<< I'm awake.	मी जागा आहे.
>>mar<< I'm awake.	मी जागी आहे.
>>mar<< I'm bored.	मला कंटाळा आला आहे.
>>mar<< I'm clean.	मी साफ आहे.
>>mar<< I'm dying.	मी मरतोय.
>>mar<< I'm dying.	मी मरतेय.
>>mar<< I'm going.	मी जातोय.
>>mar<< I'm going.	मी जातेय.
>>mar<< I'm quiet.	मी शांत आहे.
>>mar<< I'm right.	मी बरोबर आहे.
>>mar<< I'm young.	मी तरूण आहे.
>>mar<< It burned.	जळलं.
>>mar<< It burned.	जळला.
>>mar<< It burned.	जळली.
>>mar<< It rained.	पाऊस पडला.
>>mar<< It snowed.	बर्फ पडला.
>>mar<< It's 7:45.	७:४५ वाजले आहेत.
>>mar<< It's cold.	थंड आहे.
>>mar<< It's easy.	सोपं आहे.
>>mar<< It's food.	खाणं आहे.
>>mar<< It's good.	चांगलंय.
>>mar<< It's here.	इथे आहे.
>>mar<< It's here.	ते इथं आहे.
>>mar<< It's mine.	माझं आहे.
>>mar<< It's ours.	आमचं आहे.
>>mar<< It's ours.	आपलं आहे.
>>mar<< It's sand.	वाळू आहे.
>>mar<< It's time.	वेळ झाला आहे.
>>mar<< It's work.	काम आहे.
>>mar<< Keep them.	ठेव.
>>mar<< Keep them.	ते ठेव.
>>mar<< Leave now.	आत्ताच नीघ.
>>mar<< Leave now.	आत्ताच निघा.
>>mar<< Let me go!	मला जाऊ द्या!
>>mar<< Let me go!	मला जाऊ दे!
>>mar<< Let me go.	मला जाऊ द्या.
>>mar<< Let me go.	मला जाऊ दे.
>>mar<< Let me in.	मला आत येऊ दे.
>>mar<< Let me in.	मला आत येऊ द्या.
>>mar<< Let us go.	आम्हाला सोड.
>>mar<< Let us go.	आम्हाला सोडा.
>>mar<< Let us go.	आम्हाला जाऊ द्या.
>>mar<< Let us go.	आम्हाला जाऊ दे.
>>mar<< Let us in.	आम्हाला आत येऊ द्या.
>>mar<< Let us in.	आम्हाला आत येऊ दे.
>>mar<< Let's ask.	विचारू या.
>>mar<< Look back!	पाठी बघ!
>>mar<< Look back!	मागे बघ!
>>mar<< Look back.	पाठी बघ.
>>mar<< Look back.	मागे बघ.
>>mar<< Read this.	हे वाच.
>>mar<< Read this.	हे वाचा.
>>mar<< Rest here.	इथे आराम कर.
>>mar<< Rest here.	इथे आराम करा.
>>mar<< Search me.	माझी तलाशी घ्या.
>>mar<< Search me.	माझी तलाशी घे.
>>mar<< See above.	वर पहा.
>>mar<< See below.	खाली पाहा.
>>mar<< She cried.	ती रडली.
>>mar<< She cried.	त्या रडल्या.
>>mar<< She tried.	तिने प्रयत्न केला.
>>mar<< She walks.	ती चालते.
>>mar<< She walks.	त्या चालतात.
>>mar<< Sign here.	इथे सही करा.
>>mar<< Sign here.	इथे सही कर.
>>mar<< Sit there.	तिथे बस.
>>mar<< Sit there.	तिथे बसा.
>>mar<< Start now.	आता सुरू करा.
>>mar<< Start now.	आता सुरू कर.
>>mar<< Stay away.	दूर रहा.
>>mar<< Stay back.	मागे राहा.
>>mar<< Stay calm.	शांत राहा.
>>mar<< Stay home.	घरी राहा.
>>mar<< Stay thin.	बारीकच रहा.
>>mar<< Stop them.	त्यांना थांबव.
>>mar<< Stop them.	त्यांना थांबवा.
>>mar<< Take care!	काळजी घे!
>>mar<< Take care!	काळजी घ्या!
>>mar<< Take care.	काळजी घे.
>>mar<< Take care.	काळजी घ्या.
>>mar<< Take mine.	माझं घे.
>>mar<< Take mine.	माझा घे.
>>mar<< Take mine.	माझी घे.
>>mar<< Take mine.	माझं घ्या.
>>mar<< Take mine.	माझी घ्या.
>>mar<< Take mine.	माझा घ्या.
>>mar<< Take this.	हे घे.
>>mar<< Take this.	हे घ्या.
>>mar<< Take this.	हा घे.
>>mar<< Take this.	हा घ्या.
>>mar<< Take this.	ही घे.
>>mar<< Take this.	ही घ्या.
>>mar<< Thank you.	धन्यवाद.
>>mar<< That's it.	बरोब्बर.
>>mar<< That's it.	तेच.
>>mar<< They fell.	ते पडले.
>>mar<< They fell.	त्या पडल्या.
>>mar<< They left.	ते निघाले.
>>mar<< They left.	त्या निघाल्या.
>>mar<< They lied.	ते खोटं बोलले.
>>mar<< They lied.	त्या खोटं बोलल्या.
>>mar<< They lost.	ते हरले.
>>mar<< They lost.	त्या हरल्या.
>>mar<< Tom began.	टॉमने सुरूवात केली.
>>mar<< Tom cried.	टॉम रडला.
>>mar<< Tom drank.	टॉम प्यायला.
>>mar<< Tom knits.	टॉम विणतो.
>>mar<< Tom knows.	टॉमला माहिती आहे.
>>mar<< Tom moved.	टॉम हलला.
>>mar<< Tom spoke.	टॉम बोेलला.
>>mar<< Tom tried.	टॉमने प्रयत्न केला.
>>mar<< Tom tried.	टॉमने करून बघितलं.
>>mar<< Tom tries.	टॉम प्रयत्न करतो.
>>mar<< Tom voted.	टॉमने मत दिलं.
>>mar<< Tom voted.	टॉमने मतदान केलं.
>>mar<< Tom walks.	टॉम चालतो.
>>mar<< Tom waved.	टॉमने हात हलवला.
>>mar<< Tom works.	टॉम काम करतो.
>>mar<< Try again.	पुन्हा प्रयत्न कर.
>>mar<< Try again.	पुन्हा प्रयत्न करा.
>>mar<< Try it on.	घालून बघ.
>>mar<< Try it on.	घालून बघा.
>>mar<< Wait here.	इथे थांब.
>>mar<< Wait here.	इथे थांबा.
>>mar<< Watch Tom.	टॉमला बघ.
>>mar<< Watch Tom.	टॉमला बघा.
>>mar<< We fought.	आम्ही लढलो.
>>mar<< We fought.	आपण लढलो.
>>mar<< We saw it.	आम्ही बघितलं.
>>mar<< We saw it.	आम्ही पाहिलं.
>>mar<< We saw it.	आपण बघितलं.
>>mar<< We saw it.	आपण पाहिलं.
>>mar<< We saw it.	आम्ही ते बघितलं.
>>mar<< We saw it.	आपण ते बघितलं.
>>mar<< We talked.	आम्ही बोललो.
>>mar<< We waited.	आम्ही थांबलो.
>>mar<< We waited.	आपण थांबलो.
>>mar<< We waited.	आम्ही वाट बघितली.
>>mar<< We waited.	आपण वाट बघितली.
>>mar<< We're shy.	आम्ही लाजाळू आहोत.
>>mar<< We're shy.	आपण लाजाळू आहोत.
>>mar<< Well done!	शाब्बास!
>>mar<< What's up?	काय चाललंय?
>>mar<< What's up?	वर काय आहे?
>>mar<< What's up?	कसं काय?
>>mar<< Who is he?	तो कोण आहे?
>>mar<< Who is he?	ते कोण आहेत?
>>mar<< Who is it?	कोण आहे?
>>mar<< Who knows?	कोणास ठाऊक?
>>mar<< Who knows?	कोणाला माहीत आहे?
>>mar<< Who'll go?	कोण जाईल?
>>mar<< Who's Tom?	टॉम कोण आहे?
>>mar<< Who's she?	ती कोण आहे?
>>mar<< Who's she?	त्या कोण आहेत?
>>mar<< Who's she?	ती कोण?
>>mar<< Who's she?	त्या कोण?
>>mar<< You drive.	तू चालव.
>>mar<< You drive.	तुम्ही चालवा.
>>mar<< You idiot!	मूर्खा!
>>mar<< You tried.	तू प्रयत्न केलास.
>>mar<< You tried.	तुम्ही प्रयत्न केलात.
>>mar<< Are you OK?	ठीक आहेस का?
>>mar<< Are you OK?	बरा आहेस का?
>>mar<< Are you OK?	बरी आहेस का?
>>mar<< Ask anyone.	कोणालाही विचार.
>>mar<< Be careful!	सावध रहा!
>>mar<< Be on time.	वेळेवर पोहोच.
>>mar<< Be on time.	वेळेवर पोहोचा.
>>mar<< Birds sing.	पक्षी गातात.
>>mar<< Bring food.	खाणं आण.
>>mar<< Bring food.	खाणं आणा.
>>mar<< Bring wine.	वाईन आण.
>>mar<< Bring wine.	वाईन आणा.
>>mar<< Come again.	पुन्हा या.
>>mar<< Come again.	पुन्हा ये.
>>mar<< Come on in.	आत ये.
>>mar<< Come quick!	लवकर ये!
>>mar<< Come quick!	लवकर या!
>>mar<< Definitely!	नक्कीच!
>>mar<< Did we win?	आपण जिंकलो का?
>>mar<< Did we win?	आम्ही जिंकलो का?
>>mar<< Do men cry?	माणसं रडतात का?
>>mar<< Do men cry?	पुरुष रडतात का?
>>mar<< Don't look.	बघू नकोस.
>>mar<< Don't look.	बघू नका.
>>mar<< Don't move.	हलू नकोस.
>>mar<< Don't move.	हलू नका.
>>mar<< Don't talk!	बोलू नकोस!
>>mar<< Don't talk!	बोलू नका!
>>mar<< Don't talk.	बोलू नका.
>>mar<< Don't talk.	बोलू नकोस.
>>mar<< Fill it up.	भरून टाक.
>>mar<< Fire burns.	आग जळते.
>>mar<< Fire burns.	आग जाळते.
>>mar<< Forget Tom.	टॉमला विसर.
>>mar<< Forget Tom.	टॉमला विसरा.
>>mar<< Forget Tom.	टॉमला विसरून जा.
>>mar<< Forget him.	त्याला विसर.
>>mar<< Forget him.	त्याला विसरून जा.
>>mar<< Forget him.	त्यांना विसर.
>>mar<< Forget him.	त्यांना विसरून जा.
>>mar<< God exists.	देव असतो.
>>mar<< He is here!	तो इथे आहे!
>>mar<< He is here!	इथे आहे!
>>mar<< He is here!	इथे आहे तो!
>>mar<< He is late.	त्याला उशीर झाला आहे.
>>mar<< He is nice.	तो चांगला आहे.
>>mar<< He is nice.	ते चांगले आहेत.
>>mar<< He laughed.	तो हसला.
>>mar<< He laughed.	ते हसले.
>>mar<< He's Swiss.	तो स्विस आहे.
>>mar<< He's smart.	तो हुशार आहे.
>>mar<< He's smart.	ते हुशार आहेत.
>>mar<< Hold still.	हलू नकोस.
>>mar<< Hold still.	हलू नका.
>>mar<< I am a man.	मी माणुस आहे.
>>mar<< I am a man.	मी पुरुष आहे.
>>mar<< I am ready.	मी तयार आहे.
>>mar<< I can read.	मला वाचता येतं.
>>mar<< I can read.	मी वाचू शकतो.
>>mar<< I can read.	मी वाचू शकते.
>>mar<< I can swim.	मला पोहता येतं.
>>mar<< I can swim.	मी पोहू शकतो.
>>mar<< I can swim.	मी पोहू शकते.
>>mar<< I can walk.	मी चालू शकतो.
>>mar<< I can walk.	मी चालू शकते.
>>mar<< I eat here.	मी इथे खातो.
>>mar<< I eat here.	मी इथे जेवतो.
>>mar<< I eat meat.	मी मांस खातो.
>>mar<< I eat meat.	मी मांस खाते.
>>mar<< I eat rice.	मी भात खातो.
>>mar<< I eat rice.	मी भात खाते.
>>mar<< I help Tom.	मी टॉमची मदत करतो.
>>mar<< I help Tom.	मी टॉमची मदत करते.
>>mar<< I just ate.	माझं आत्ताच खाऊन झालं आहे.
>>mar<< I like him.	मला तो आवडतो.
>>mar<< I like him.	मला ते आवडतात.
>>mar<< I like tea.	मला चहा आवडतो.
>>mar<< I like you.	मला तू आवडतोस.
>>mar<< I like you.	मला तू आवडतेस.
>>mar<< I like you.	मला तुम्ही आवडता.
>>mar<< I love tea.	मला चहा खूप आवडतो.
>>mar<< I love you.	माझं तुझ्यावर प्रेम आहे.
>>mar<< I love you.	माझं तुमच्यावर प्रेम आहे.
>>mar<< I made tea.	मी चहा बनवला.
>>mar<< I miss you.	मला तुझी आठवण येते.
>>mar<< I miss you.	मला तुमची आठवण येते.
>>mar<< I need you.	मला तुझी गरज आहे.
>>mar<< I need you.	मला तुमची गरज आहे.
>>mar<< I ran away.	मी पळून गेलो.
>>mar<< I ran away.	मी पळून गेले.
>>mar<< I remember.	मला आठवतं.
>>mar<< I remember.	मला आठवतो.
>>mar<< I remember.	मला आठवते.
>>mar<< I screamed.	मी किंचाळलो.
>>mar<< I screamed.	मी किंचाळले.
>>mar<< I see that.	ते मला दिसतंय.
>>mar<< I see them.	मला ते दिसतात.
>>mar<< I see them.	मला त्या दिसतात.
>>mar<< I see them.	मी त्यांना बघतो.
>>mar<< I see them.	मी त्यांना बघते.
>>mar<< I see them.	मी त्यांना पाहतो.
