>>dan<< Go.	Gå!
>>dan<< Goodbye.	Farvel.
>>dan<< Help me!	Hjælp mig!
>>dan<< Help me.	Hjælp mig!
>>dan<< Help me.	Hjælp mig.
>>dan<< I agree.	Jeg er enig.
>>dan<< I'm hot.	Jeg har det varmt.
>>dan<< I'm sad.	Jeg er ked af det.
>>dan<< I'm shy.	Jeg er genert.
>>dan<< It's me.	Det er mig.
>>dan<< Keep it.	Behold det!
>>dan<< Keep it.	Behold den!
>>dan<< Kick it.	Spark til den.
>>dan<< Kiss me.	Kys mig!
>>dan<< Kiss me.	Kys mig.
>>dan<< Open it.	Åbn den!
>>dan<< Perfect!	Perfekt!
>>dan<< See you!	På gensyn!
>>dan<< See you!	Vi ses!
>>dan<< See you.	Vi ses!
>>dan<< See you.	Vi ses.
>>dan<< Show me.	Vis mig!
>>dan<< Shut up!	Hold mund!
>>dan<< Shut up!	Ti stille!
>>dan<< Shut up!	Klap i!
>>dan<< Shut up!	Hold kæft!
>>dan<< We lost.	Vi tabte.
>>dan<< We lost.	Vi har tabt.
>>dan<< Welcome.	Velkommen!
>>dan<< Welcome.	Velkommen.
>>dan<< You won.	Du vandt.
>>dan<< You won.	Du har vundet.
>>dan<< Am I fun?	Er jeg sjov?
>>dan<< Be quiet.	Vær stille.
>>dan<< Be quiet.	Ti stille!
>>dan<< Be still.	Vær stille.
>>dan<< Be still.	Vær stille!
>>dan<< Be still.	Vær rolig!
>>dan<< Catch me.	Grib mig!
>>dan<< Catch me.	Fang mig!
>>dan<< Cheer up!	Op med humøret!
>>dan<< Drive on.	Kør videre.
>>dan<< Get away!	Gå væk!
>>dan<< Get lost!	Gå væk!
>>dan<< Get lost!	Smut!
>>dan<< Get lost!	Gå din vej!
>>dan<< Get lost!	Skrid!
>>dan<< Get lost!	Skrub af!
>>dan<< Get lost!	Forsvind!
>>dan<< Get lost!	Ryg og rejs!
>>dan<< Get lost!	Væk!
>>dan<< Get lost.	Forsvind.
>>dan<< Go there.	Gå derhen.
>>dan<< Good job!	Godt gået!
>>dan<< How cute!	Hvor nuttet!
>>dan<< Hurry up.	Skynd dig.
>>dan<< I ate it.	Jeg spiste det.
>>dan<< I'm bald.	Jeg er skaldet.
>>dan<< I'm cold.	Jeg fryser.
>>dan<< I'm fair.	Jeg er retfærdig.
>>dan<< I'm fine.	Jeg har det godt.
>>dan<< I'm free.	Jeg er fri.
>>dan<< I'm full.	Jeg er mæt!
>>dan<< I'm full.	Jeg har fået nok!
>>dan<< I'm here.	Jeg er her.
>>dan<< I'm here.	Jeg er her!
>>dan<< I'm high.	Jeg er høj.
>>dan<< I'm high.	Jeg er skæv.
>>dan<< I'm home.	Jeg er hjemme.
>>dan<< I'm lost.	Jeg er faret vild.
>>dan<< I'm lost.	Jeg er slet ikke med.
>>dan<< I'm poor.	Jeg er fattig.
>>dan<< It's hot.	Det er hedt.
>>dan<< It's new.	Den er ny.
>>dan<< It's new.	Det er nyt.
>>dan<< Leave it.	Lad den være.
>>dan<< Leave it.	Lad det være.
>>dan<< Leave me.	Forlad mig.
>>dan<< Leave us.	Forlad os.
>>dan<< Let's go!	Af sted!
>>dan<< Let's go!	Lad os gå!
>>dan<< Let's go!	Kom, så går vi!
>>dan<< Let's go!	Hæng i!
>>dan<< Look out!	Pas på!
>>dan<< Marry me.	Gift dig med mig.
>>dan<< Nice job!	Godt gået!
>>dan<< Nonsense!	Sludder!
>>dan<< Nonsense!	Sludder og vrøvl!
>>dan<< Nonsense!	Vissevasse!
>>dan<< Nonsense!	Vås!
>>dan<< Sit down!	Sid ned!
>>dan<< Sit down!	Tag plads!
>>dan<< Tom came.	Tom kom.
>>dan<< Tom died.	Tom døde.
>>dan<< Tom lied.	Tom løj.
>>dan<< Tom spit.	Tom spyttede.
>>dan<< Tom wept.	Tom græd.
>>dan<< Trust me.	Stol på mig.
>>dan<< Use this.	Anvend dette.
>>dan<< Use this.	Anvend denne.
>>dan<< Use this.	Anvend den her.
>>dan<< Use this.	Anvend det her.
>>dan<< Warn Tom.	Advar Tom.
>>dan<< We agree.	Vi er enige.
>>dan<< Who's he?	Hvem er han?
>>dan<< Write me.	Skriv til mig.
>>dan<< Write me.	Skriv til mig!
>>dan<< After you.	Efter jer.
>>dan<< After you.	Efter dig.
>>dan<< Aim. Fire!	Sigt. Skyd!
>>dan<< Answer me.	Svar mig.
>>dan<< Avoid Tom.	Undgå Tom.
>>dan<< Avoid Tom.	Undgå Tom!
>>dan<< Avoid war.	Undgå krig.
>>dan<< Birds fly.	Fugle flyver.
>>dan<< Bless you.	Prosit!
>>dan<< Calm down!	Tag det roligt!
>>dan<< Calm down!	Hids dig ned!
>>dan<< Calm down.	Tag det roligt!
>>dan<< Calm down.	Tag det roligt.
>>dan<< Calm down.	Slap af!
>>dan<< Can we go?	Kan vi gå?
>>dan<< Come back.	Kom tilbage!
>>dan<< Come home.	Kom hjem!
>>dan<< Cool down.	Slap af!
>>dan<< Do it now.	Gør det nu!
>>dan<< Dogs bark.	Hunde gør.
>>dan<< Don't die.	Dø ikke.
>>dan<< Excuse me.	Undskyld mig.
>>dan<< Excuse me.	Undskyld.
>>dan<< Fantastic!	Fantastisk!
>>dan<< Follow me.	Følg med mig.
>>dan<< Follow me.	Følg mig.
>>dan<< Follow me.	Følg efter mig.
>>dan<< Follow me.	Følg mig!
>>dan<< Follow us.	Følg os!
>>dan<< Forget it.	Glem det.
>>dan<< Goodnight.	God nat.
>>dan<< He is ill.	Han er syg.
>>dan<< He's a DJ.	Han er dj.
>>dan<< He's a DJ.	Han er DJ.
>>dan<< He's lazy.	Han er doven.
>>dan<< He's rich.	Han er rig.
>>dan<< He's sexy.	Han er sexet.
>>dan<< Here I am.	Her er jeg.
>>dan<< Hold this.	Hold det her!
>>dan<< How awful!	Hvor forfærdeligt!
>>dan<< I am cold.	Jeg fryser.
>>dan<< I am here.	Jeg er her.
>>dan<< I am here.	Jeg er her!
>>dan<< I am sick.	Jeg er syg.
>>dan<< I can fly.	Jeg kan flyve.
>>dan<< I cringed.	Jeg krøb sammen.
>>dan<< I fear so.	Det er jeg bange for.
>>dan<< I gave up.	Jeg gav op.
>>dan<< I knew it.	Jeg vidste det!
>>dan<< I laughed.	Jeg lo.
>>dan<< I promise.	Det lover jeg!
>>dan<< I saw him.	Jeg så ham.
>>dan<< I saw you.	Jeg så dig.
>>dan<< I woke up.	Jeg vågnede.
>>dan<< I'd agree.	Jeg er enig.
>>dan<< I'll wait.	Jeg venter.
>>dan<< I'm a fan.	Jeg er en fan.
>>dan<< I'm a fan.	Jeg er fan.
>>dan<< I'm a man.	Jeg er en mand.
>>dan<< I'm a nun.	Jeg er nonne.
>>dan<< I'm a vet.	Jeg er dyrlæge.
>>dan<< I'm a vet.	Jeg er veteran.
>>dan<< I'm angry.	Jeg er vred.
>>dan<< I'm awake.	Jeg er vågen.
>>dan<< I'm bored.	Jeg keder mig.
>>dan<< I'm broke.	Jeg er helt flad.
>>dan<< I'm broke.	Jeg er blottet for penge.
>>dan<< I'm broke.	Jeg er helt blanket af.
>>dan<< I'm broke.	Jeg er bankerot.
>>dan<< I'm clean.	Jeg er ren.
>>dan<< I'm dizzy.	Jeg er svimmel.
>>dan<< I'm drunk.	Jeg er beruset.
>>dan<< I'm dying.	Jeg dør.
>>dan<< I'm going.	Jeg går.
>>dan<< I'm happy.	Jeg er lykkelig.
>>dan<< I'm quiet.	Jeg er stille.
>>dan<< I'm ready!	Jeg er klar!
>>dan<< I'm ready.	Jeg er klar.
>>dan<< I'm ready.	Jeg er klar!
>>dan<< I'm sorry.	Undskyld!
>>dan<< I'm sorry.	Jeg beklager!
>>dan<< I'm sorry.	Undskyld.
>>dan<< I'm timid.	Jeg er genert.
>>dan<< I'm timid.	Jeg er forsagt.
>>dan<< I'm timid.	Jeg er tilbageholdende og genert.
>>dan<< I'm tired.	Jeg er træt.
>>dan<< I'm tired.	Jeg er træt!
>>dan<< Is it red?	Er det rødt?
>>dan<< Is it red?	Er den rød?
>>dan<< It rained.	Det regnede.
>>dan<< It snowed.	Det sneede.
>>dan<< It's 7:45.	Klokken er kvarter i otte.
>>dan<< It's 7:45.	Klokken er 7:45.
>>dan<< It's 8:30.	Den er 8:30.
>>dan<< It's 9:15.	Klokken er 9:15.
>>dan<< It's cold.	Det er koldt.
>>dan<< It's dark.	Det er mørkt.
>>dan<< It's free.	Det er gratis.
>>dan<< It's hard.	Det er hårdt.
>>dan<< It's late.	Klokken er mange.
>>dan<< It's mine.	Det er mit.
>>dan<< It's ours.	Det er vores.
>>dan<< It's over.	Det er overstået.
>>dan<< It's over.	Det er slut.
>>dan<< It's over.	Det er ovre.
>>dan<< It's true!	Det er sandt!
>>dan<< It's true.	Det er sandt.
>>dan<< Keep them.	Behold dem!
>>dan<< Kill them.	Dræb dem.
>>dan<< Kill them.	Slå dem ihjel.
>>dan<< Let me go!	Lad mig gå!
>>dan<< Let's try!	Lad os forsøge!
>>dan<< Let's try!	Lad os prøve!
>>dan<< Listen up.	Hør efter!
>>dan<< Look away.	Kig væk!
>>dan<< Of course!	Selvfølgelig!
>>dan<< Of course!	Det manglede bare!
>>dan<< Pipe down!	Klap gællerne i!
>>dan<< Pipe down.	Hold mund!
>>dan<< Pipe down.	Ti stille!
>>dan<< Pipe down.	Klap i!
>>dan<< Search me.	Aner det ikke!
>>dan<< Search me.	Visiter mig.
>>dan<< She walks.	Hun går.
>>dan<< She walks.	Hun går til fods.
>>dan<< Start now.	Begynd nu.
>>dan<< Start now.	Start nu.
>>dan<< Stay calm.	Hold dig i ro.
>>dan<< Stay down!	Bliv nede!
>>dan<< Stay here.	Bliv her!
>>dan<< Stay here.	Bliv her.
>>dan<< Stay home.	Bliv hjemme.
>>dan<< Stop that!	Hold op med det!
>>dan<< Take mine.	Tag min.
>>dan<< Thank you.	Mange tak.
>>dan<< Thank you.	Tak.
>>dan<< They left.	De tog afsted.
>>dan<< Tom moved.	Tom flyttede.
>>dan<< Tom slept.	Tom sov.
>>dan<< Tom spoke.	Tom talte.
>>dan<< Tom spoke.	Tom har talt.
>>dan<< Tom swims.	Tom svømmer.
>>dan<< Tom voted.	Tom har stemt.
>>dan<< Tom voted.	Tom stemte.
>>dan<< Tom works.	Tom arbejder.
>>dan<< Trust Tom.	Stol på Tom!
>>dan<< Turn left.	Drej til venstre.
>>dan<< Wait here.	Vent her.
>>dan<< Watch out!	Pas på!
>>dan<< We did it!	Vi gjorde det!
>>dan<< We got it.	Vi har fået den.
>>dan<< We got it.	Vi har fået det.
>>dan<< We got it.	Vi har forstået det.
>>dan<< We waited.	Vi ventede.
>>dan<< We'll see.	Vi får se.
>>dan<< Well done!	Godt klaret!
>>dan<< Well done!	Godt skuldret!
>>dan<< Well done.	Godt klaret!
>>dan<< Who cares?	Og hvad så?
>>dan<< Who cares?	Gør det noget?
>>dan<< Who is he?	Hvem er han?
>>dan<< Who knows?	Hvem ved?
>>dan<< Who's Tom?	Hvem er Tom?
>>dan<< You idiot!	Din idiot!
>>dan<< You smell.	Du lugter!
>>dan<< You stink.	Du stinker.
>>dan<< You stink.	I stinker.
>>dan<< Am I right?	Har jeg ret?
>>dan<< Am I wrong?	Tager jeg fejl?
>>dan<< Are you up?	Er du stået op?
>>dan<< Ask anyone.	Spørg hvem som helst.
>>dan<< Avoid that.	Undgå det.
>>dan<< Be careful!	Vær forsigtig!
>>dan<< Be careful!	Pas på!
>>dan<< Be careful.	Vær forsigtig!
>>dan<< Be careful.	Pas på!
>>dan<< Birds sing.	Fugle synger.
>>dan<< Can I help?	Kan jeg være til hjælp?
>>dan<< Choose one.	Vælg en.
>>dan<< Click here.	Klik her.
>>dan<< Definitely!	Helt sikkert!
>>dan<< Don't move!	Rør dig ikke!
>>dan<< Don't move.	Rør dig ikke!
>>dan<< Drink this.	Drik det her!
>>dan<< Duty calls.	Pligten kalder.
>>dan<< Find a job.	Find et job!
>>dan<< Find a job.	Find et arbejde!
>>dan<< Fire burns.	Ild brænder.
>>dan<< Forgive us.	Tilgiv os.
>>dan<< Give it up.	Opgiv det!
>>dan<< God exists.	Gud eksisterer.
>>dan<< Good night.	God nat.
>>dan<< He hung up.	Han lagde på.
>>dan<< He is a DJ.	Han er dj.
>>dan<< He is a DJ.	Han er DJ.
>>dan<< He is here!	Han er her!
>>dan<< He is kind.	Han er venlig.
>>dan<< He is lazy.	Han er doven.
>>dan<< He is nice.	Han er venlig.
>>dan<< He is poor.	Han er fattig.
>>dan<< He is sick.	Han er syg.
>>dan<< He laughed.	Han lo.
>>dan<< He's Swiss.	Han er schweizer.
>>dan<< He's cruel.	Han er grusom.
>>dan<< He's lying.	Han lyver.
>>dan<< Hello, Tom.	Hej, Tom!
>>dan<< Here he is!	Her er han!
>>dan<< How absurd!	Hvor absurd!
>>dan<< Hurry back.	Skynd dig tilbage.
>>dan<< I am a man.	Jeg er en mand.
>>dan<< I am a man.	Jeg er et menneske.
>>dan<< I am going.	Jeg går.
>>dan<< I am happy.	Jeg er lykkelig.
>>dan<< I am ready.	Jeg er klar.
>>dan<< I built it.	Jeg byggede det.
>>dan<< I built it.	Jeg har bygget det.
>>dan<< I doubt it.	Det tvivler jeg på.
>>dan<< I eat meat.	Jeg spiser kød.
>>dan<< I envy her.	Jeg misunder hende.
>>dan<< I envy him.	Jeg misunder ham.
>>dan<< I feel old.	Jeg føler mig gammel.
>>dan<< I got lost.	Jeg for vild.
>>dan<< I got lost.	Jeg fór vild.
>>dan<< I have one.	Jeg har en.
>>dan<< I have one.	Jeg har én.
>>dan<< I just ate.	Jeg har lige spist.
>>dan<< I just ate.	Jeg har netop spist.
>>dan<< I like ham.	Jeg kan godt lide skinke.
>>dan<< I like you.	Jeg holder af dig.
>>dan<< I love Tom.	Jeg elsker Tom.
>>dan<< I love her.	Jeg elsker hende.
>>dan<< I love him.	Jeg elsker ham.
>>dan<< I love tea.	Jeg elsker te.
>>dan<< I miss you.	Jeg savner dig.
>>dan<< I need ice.	Jeg har brug for is.
>>dan<< I need you.	Jeg har brug for dig.
>>dan<< I need you.	Jeg har brug for jer.
>>dan<< I remember.	Jeg husker det.
>>dan<< I sat down.	Jeg satte mig.
>>dan<< I snuck in.	Jeg sneg mig ind.
>>dan<< I think so.	Jeg tror det.
>>dan<< I want you.	Jeg vil have dig.
>>dan<< I was busy.	Jeg havde travlt.
>>dan<< I was busy.	Jeg var optaget.
>>dan<< I was home.	Jeg var hjemme.
>>dan<< I work out.	Jeg træner.
>>dan<< I work out.	Jeg motionerer.
>>dan<< I work out.	Jeg dyrker motion.
>>dan<< I'll do it.	Jeg gør det.
>>dan<< I'll do it.	Jeg skal nok gøre det.
>>dan<< I'll do it.	Jeg ordner det.
>>dan<< I'm a hero.	Jeg er en helt.
>>dan<< I'm a twin.	Jeg er en tvilling.
>>dan<< I'm afraid.	Jeg er bange.
>>dan<< I'm better.	Jeg har det bedre.
>>dan<< I'm buying.	Jeg køber.
>>dan<< I'm chubby.	Jeg er buttet.
>>dan<< I'm coming.	Jeg kommer.
>>dan<< I'm eating.	Jeg er ved at spise.
>>dan<< I'm eating.	Jeg spiser.
>>dan<< I'm eating.	Jeg sidder og spiser.
>>dan<< I'm hungry!	Jeg er sulten!
>>dan<< I'm hungry.	Jeg er sulten.
>>dan<< I'm hungry.	Jeg er sulten!
>>dan<< I'm lonely.	Jeg er ensom.
>>dan<< I'm so fat.	Jeg er så tyk.
>>dan<< I'm soaked.	Jeg er gennemblødt.
>>dan<< I'm thirty.	Jeg er tredive.
>>dan<< I'm twelve.	Jeg er tolv.
>>dan<< Is Tom shy?	Er Tom genert?
>>dan<< Is he busy?	Er han optaget?
>>dan<< Is he busy?	Har han travlt?
>>dan<< Is he tall?	Er han høj?
>>dan<< Is it blue?	Er den blå?
>>dan<< Is it blue?	Er det blåt?
>>dan<< Is it free?	Er den gratis?
>>dan<< Is it free?	Er det gratis?
>>dan<< Is that it?	Er det alt?
>>dan<< It is 7:45.	Klokken er kvarter i otte.
>>dan<< It is 7:45.	Klokken er 7:45.
>>dan<< It's blood.	Det er blod.
>>dan<< It's my CD.	Det er min cd.
>>dan<< It's taboo.	Det er tabu.
>>dan<< It's there.	Den er der.
>>dan<< It's water.	Det er vand.
>>dan<< Let me see.	Lad mig se.
>>dan<< Let's vote.	Lad os stemme.
>>dan<< Look there.	Se der!
>>dan<< Never mind!	Blæse være med det!
>>dan<< Never mind!	Bryd dig ikke om det!
>>dan<< Never mind!	Selv tak!
>>dan<< No kidding?	Er det rigtigt?
>>dan<< No kidding?	Er det sandt?
>>dan<< Once again.	Endnu en gang.
>>dan<< Quiet down.	Tag det roligt!
>>dan<< Quiet down.	Vær stille.
>>dan<< Ridiculous!	Latterligt!
>>dan<< Say please.	Sig: "Bed om."
>>dan<< She is old.	Hun er gammel.
>>dan<< She smiled.	Hun smilede.
>>dan<< She smiled.	Hun smilte.
>>dan<< Sing along.	Syng med!
>>dan<< Stay quiet.	Vær stille.
>>dan<< Stop lying.	Hold op med at lyve.
>>dan<< Take a nap.	Tag en lur.
>>dan<< Take cover!	Søg dækning!
>>dan<< Take cover!	Gå i dækning!
>>dan<< Taste this.	Smag dette.
>>dan<< They voted.	De har stemt.
>>dan<< They voted.	De stemte.
>>dan<< Tom braked.	Tom bremsede.
>>dan<< Tom danced.	Tom dansede.
>>dan<< Tom dances.	Tom danser.
>>dan<< Tom drinks.	Tom drikker.
>>dan<< Tom drives.	Tom kører.
>>dan<< Tom helped.	Tom hjalp.
>>dan<< Tom is big.	Tom er stor.
>>dan<< Tom nodded.	Tom nikkede.
>>dan<< Tom phoned.	Tom telefonerede.
>>dan<< Tom phoned.	Tom har ringet.
>>dan<< Tom phoned.	Tom ringede.
>>dan<< Tom saw me.	Tom så mig.
>>dan<< Tom snores.	Tom snorker.
>>dan<< Tom stinks.	Tom stinker.
>>dan<< Tom talked.	Tom talte.
>>dan<< Tom waited.	Tom ventede.
>>dan<< Tom walked.	Tom spadserede.
>>dan<< Tom walked.	Tom gik.
>>dan<< Tom walked.	Tom gik til fods.
>>dan<< Tom's dead.	Tom er død.
>>dan<< Tom's deaf.	Tom er døv.
>>dan<< Tom's here.	Tom er her.
>>dan<< Tom's sick.	Tom er syg.
>>dan<< Wait a bit.	Vent lidt.
>>dan<< We all lie.	Vi lyver alle.
>>dan<< We are men.	Vi er mænd.
>>dan<< We made it.	Vi klarede det!
>>dan<< We made it.	Vi gjorde det!
>>dan<< We saw Tom.	Vi så Tom.
>>dan<< We'll stay.	Vi bliver.
>>dan<< We're boys.	Vi er drenge.
>>dan<< We're deaf.	Vi er døve.
>>dan<< We're even.	Vi er kvit.
>>dan<< What a day!	Sikke en dag!
>>dan<< What is it?	Hvad er det?
>>dan<< Who did it?	Hvem har gjort det?
>>dan<< Who did it?	Hvem gjorde det?
>>dan<< Who is Tom?	Hvem er Tom?
>>dan<< Wood burns.	Træ brænder.
>>dan<< You decide.	Du bestemmer.
>>dan<< You're big.	Du er stor.
>>dan<< You're old.	Du er gammel.
>>dan<< You're old.	I er gamle.
>>dan<< You're sad.	I er triste.
>>dan<< All is well.	Alt er fint.
>>dan<< All is well.	Alt er godt.
>>dan<< Are you mad?	Er du gal?
>>dan<< Ask anybody.	Spørg hvem som helst.
>>dan<< Avoid those.	Undgå dem.
>>dan<< Be prepared.	Vær beredt!
>>dan<< Be prepared.	Vær forberedt!
>>dan<< Be yourself.	Vær dig selv!
>>dan<< Be yourself.	Vær dig selv.
>>dan<< Can it wait?	Kan det vente?
>>dan<< Can we help?	Kan vi hjælpe?
>>dan<< Clean it up.	Gør det rent.
>>dan<< Come closer.	Kom nærmere!
>>dan<< Do it again!	Gør det igen!
>>dan<< Do it again.	Gør det igen.
>>dan<< Do you fish?	Fisker du?
>>dan<< Don't brake.	Brems ikke.
>>dan<< Don't brake.	Lad være med at bremse.
>>dan<< Don't do it.	Gør det ikke.
>>dan<< Don't laugh.	Le ikke.
>>dan<< Don't leave.	Gå ikke.
>>dan<< Don't shoot!	Skyd ikke!
>>dan<< Don't shoot.	Skyd ikke!
>>dan<< Don't worry.	Gør dig ingen bekymringer.
>>dan<< Flip a coin.	Slå plat eller krone.
>>dan<< Forgive Tom.	Tilgiv Tom!
>>dan<< Get a chair.	Tag en stol.
>>dan<< Get in line.	Stil dig i kø.
>>dan<< Get started.	Kom i gang!
>>dan<< Get started.	Kom ud af starthullerne!
>>dan<< Get started.	Kom i sving!
>>dan<< Give me one.	Giv mig en.
>>dan<< Go get help.	Hent hjælp.
>>dan<< Have we met?	Kender vi hinanden?
>>dan<< He can read.	Han kan læse.
>>dan<< He can swim.	Han kan svømme.
>>dan<< He helps us.	Han hjælper os.
>>dan<< He insisted.	Han insisterede.
>>dan<< He is alone.	Han er alene.
>>dan<< He is lying.	Han lyver.
>>dan<< He is nasty.	Han er led.
>>dan<< He is nasty.	Han er ondskabsfuld.
>>dan<< He is nasty.	Han er nasty.
>>dan<< He's a jerk.	Han er en idiot.
>>dan<< He's a jerk.	Han er et fjols.
>>dan<< He's a jerk.	Han er en nar.
>>dan<< He's a liar.	Han er en løgner.
>>dan<< He's my son.	Han er min søn.
>>dan<< He's strong.	Han er stærk.
>>dan<< Hear me out.	Lad mig tale ud.
>>dan<< Hear me out.	Lad mig tale færdig.
>>dan<< Help me out.	Hjælp mig.
>>dan<< Help me out.	Kom mig til hjælp.
>>dan<< How are you?	Hvordan har du det?
>>dan<< How strange!	Hvor mærkeligt!
>>dan<< I am a monk.	Jeg er en munk.
>>dan<< I am a monk.	Jeg er munk.
>>dan<< I am a twin.	Jeg er en tvilling.
>>dan<< I am better.	Jeg har det bedre.
>>dan<< I am coming.	Jeg kommer.
>>dan<< I can dance.	Jeg kan danse.
>>dan<< I can't see.	Jeg kan ikke se!
>>dan<< I can't sew.	Jeg kan ikke sy.
>>dan<< I can't ski.	Jeg kan ikke stå på ski.
>>dan<< I confessed.	Jeg tilstod.
>>dan<< I confessed.	Jeg skriftede.
>>dan<< I eat fruit.	Jeg spiser frugt.
>>dan<< I feel cold.	Jeg fryser.
>>dan<< I feel warm.	Jeg har det varmt.
>>dan<< I felt cold.	Jeg følte mig kold.
>>dan<< I felt cold.	Jeg frøs.
>>dan<< I got angry.	Jeg blev vred.
>>dan<< I had a nap.	Jeg tog mig en lur.
>>dan<< I hate mice.	Jeg hader mus.
>>dan<< I hate pigs.	Jeg hader svin.
>>dan<< I hate sand.	Jeg hader sand.
>>dan<< I have wine.	Jeg har vin.
>>dan<< I know that.	Det ved jeg.
>>dan<< I like dogs.	Jeg kan lide hunde.
>>dan<< I like jazz.	Jeg kan lide jazz.
>>dan<< I live here.	Jeg bor her.
>>dan<< I live here.	Jeg lever her.
>>dan<< I lost face.	Jeg har tabt ansigt.
>>dan<< I love beef.	Jeg elsker oksekød.
>>dan<< I love rock.	Jeg elsker rock.
>>dan<< I love snow.	Jeg elsker sne.
>>dan<< I love soup.	Jeg elsker suppe.
>>dan<< I love them.	Jeg elsker dem.
>>dan<< I never win.	Jeg vinder aldrig.
>>dan<< I saved you.	Jeg har reddet dig.
>>dan<< I saved you.	Jeg har reddet jer.
>>dan<< I saw a UFO.	Jeg så en ufo.
>>dan<< I saw a dog.	Jeg så en hund.
>>dan<< I trust him.	Jeg stoler på ham.
>>dan<< I was bored.	Jeg kedede mig.
>>dan<< I was lucky.	Jeg var heldig.
>>dan<< I was lying.	Jeg løj.
>>dan<< I was lying.	Jeg lå.
>>dan<< I was tired.	Jeg var træt.
>>dan<< I went home.	Jeg gik hjem.
>>dan<< I won again.	Jeg vandt igen.
>>dan<< I work here.	Jeg arbejder her.
>>dan<< I'll go now.	Jeg går nu.
>>dan<< I'm a child.	Jeg er et barn.
>>dan<< I'm a nurse.	Jeg er en sygeplejerske.
>>dan<< I'm a nurse.	Jeg er sygeplejerske.
>>dan<< I'm a slave.	Jeg er slave.
>>dan<< I'm a slave.	Jeg er en slave.
>>dan<< I'm a slave.	Jeg er slavinde.
>>dan<< I'm a vegan.	Jeg er veganer.
>>dan<< I'm a woman.	Jeg er en kvinde.
>>dan<< I'm a woman.	Jeg er kvinde.
>>dan<< I'm at home.	Jeg er hjemme.
>>dan<< I'm at work.	Jeg er på arbejde.
>>dan<< I'm bipolar.	Jeg er bipolar.
>>dan<< I'm chicken.	Jeg er en bangebuks.
>>dan<< I'm chicken.	Jeg er en pivskid.
>>dan<< I'm curious.	Jeg er nysgerrig.
>>dan<< I'm dancing.	Jeg danser.
>>dan<< I'm hard up.	Jeg har lommesmerter.
>>dan<< I'm hard up.	Jeg er i pengevanskeligheder.
>>dan<< I'm hard up.	Jeg er på knæene.
>>dan<< I'm injured.	Jeg er såret.
>>dan<< I'm jealous.	Jeg er jaloux.
>>dan<< I'm married.	Jeg er gift.
>>dan<< I'm not Tom.	Jeg er ikke Tom.
>>dan<< I'm not old.	Jeg er ikke gammel.
>>dan<< I'm psychic.	Jeg er synsk.
>>dan<< I'm retired.	Jeg er pensioneret.
>>dan<< I'm retired.	Jeg er gået på pension.
>>dan<< I'm retired.	Jeg er pensionist.
>>dan<< I'm starved.	Jeg er hundesulten.
>>dan<< I'm starved.	Jeg er hundesulten!
>>dan<< I'm teasing.	Jeg driller.
>>dan<< I'm thirsty.	Jeg er tørstig.
>>dan<< I'm waiting.	Jeg venter.
