>>ilo<< I try.	Padasek.
>>ilo<< They found us.	Nasarakandakami.
>>ilo<< Tom heard you.	Nangngegnaka ni Tom.
>>ilo<< Tom is trying.	Ipadpadas ni Tom.
>>ilo<< Tom succeeded.	Nagballigi ni Tom.
>>ilo<< Tom will walk.	Magna ni Tom.
>>ilo<< Tom will work.	Agtrabaho ni Tom.
>>ilo<< Tom won't win.	Saan a mangabak ni Tom.
>>ilo<< Tom's missing.	Mapukpukaw ni Tom.
>>ilo<< We have a dog.	Adda asomi.
>>ilo<< We need a car.	Masapultayo ti kotse.
>>ilo<< We need a map.	Masapultayo ti mapa.
>>ilo<< We need to go.	Masapul nga intayon.
>>ilo<< We took a cab.	Nagtaksikami.
>>ilo<< We're cowards.	Takrottayo.
>>ilo<< We're starved.	Mabisbisinkamin.
>>ilo<< We're teasing.	Agang-angawkami.
>>ilo<< When do we go?	Kaano a mapantayo?
>>ilo<< Where are you?	Ayanmo?
>>ilo<< Who asked you?	Asino ti nagsaludsod kenka?
>>ilo<< Who asked you?	Asino ti nagdamag kenka?
>>ilo<< Who came here?	Asino ti immay ditoy?
>>ilo<< Who's talking?	Asino ti agsasao?
>>ilo<< Who's thirsty?	Asino ti mawaw?
>>ilo<< You look pale.	Aglulusiaw ti langam.
>>ilo<< You're trying.	Padpadasem.
>>ilo<< You're trying.	Ipadpadasmo.
>>ilo<< Are you hungry?	Mabisinka?
>>ilo<< Can I help you?	Ania ti maitulongko kenka?
>>ilo<< Can this be it?	Isu ngatan daytoy?
>>ilo<< Cats are smart.	Nasirib dagiti pusa.
>>ilo<< Cows eat grass.	Mangmangan iti ruot ti baka.
>>ilo<< Do you love me?	Ay-ayatennak kadi?
>>ilo<< Don't you care?	Awan kadi bibiangmo?
>>ilo<< Happy New Year!	Naragsak a Baro a Tawen!
>>ilo<< He's in prison.	Adda isuna iti pagbaludan.
>>ilo<< How do we help?	Kasano a makatulongkami?
>>ilo<< How much is it?	Sagmamano?
>>ilo<< I drink coffee.	Agkapkapeak.
>>ilo<< I drink coffee.	Umin-inumak iti kape.
>>ilo<< I enjoy movies.	Kaykayatko ti agbuya iti sine.
>>ilo<< I feel ashamed.	Mariknak ti bainko.
>>ilo<< I feel ashamed.	Mabainak.
>>ilo<< I feel ashamed.	Kasla mabainak.
>>ilo<< I feel honored.	Mapadayawanak.
>>ilo<< I love to cook.	Kaykayatko ti aglutluto.
>>ilo<< I pay Tom well.	Binayadak a nasayaat ni Tom.
>>ilo<< I was coughing.	Aguy-uyekak.
>>ilo<< I went fishing.	Napanak nagkalap.
>>ilo<< I'm going, too.	Mapannak met.
>>ilo<< I'm the killer.	Siak ti mammapatay.
>>ilo<< I've done this.	Inaramidko daytoy.
>>ilo<< It's Christmas.	Paskuan.
>>ilo<< It's hot today.	Nagbara ita nga aldaw.
>>ilo<< Leave me alone!	Panawannak nga agmaymaysaak!
>>ilo<< My name is Tom.	Tom ti naganko.
>>ilo<< She is running.	Agtartaray isuna.
>>ilo<< The cat meowed.	Nagmiaw ti pusa.
>>ilo<< They got tired.	Nabannogda.
>>ilo<< They quarreled.	Nagapada.
>>ilo<< They quarreled.	Nagrikiarda.
>>ilo<< This is a book.	Libro daytoy.
>>ilo<< Tom has failed.	Napaay ni Tom.
>>ilo<< Tom hates cats.	Kagura ni Tom ti pusa.
>>ilo<< Tom volunteers.	Nagboluntario ni Tom.
>>ilo<< We know enough.	Ammomi unayen.
>>ilo<< We met earlier.	Nagkitata idin.
>>ilo<< We took a vote.	Nagbobotoskami.
>>ilo<< What is it for?	Ania ti pakaaramatanna?
>>ilo<< What is it for?	Para iti ania daytoy?
>>ilo<< Where is Paris?	Sadino ti ayan ti Paris?
>>ilo<< Who built this?	Asino ti nangaramid iti daytoy?
>>ilo<< Who built this?	Asino ti nangbangon iti daytoy?
>>ilo<< Who called you?	Asino ti nangawag kenka?
>>ilo<< Who's watching?	Asino ti agbuybuya?
>>ilo<< You have to go.	Kasapulan a pumanawkan.
>>ilo<< You're winning.	Mangab-abakka.
>>ilo<< Are you married?	Adda asawamon?
>>ilo<< Bees make honey.	Dagiti uyokan ti agparparnuay iti diro.
>>ilo<< Can you help me?	Mabalin a tulongannak?
>>ilo<< Cats catch mice.	Agtiliw dagiti pusa iti bao.
>>ilo<< Congratulations!	Kablaaw!
>>ilo<< Did you miss me?	Nailiwka kaniak?
>>ilo<< Do you eat meat?	Mangmanganka iti karne?
>>ilo<< Do you remember?	Malagipmo?
>>ilo<< Don't be afraid.	Dika agbuteng.
>>ilo<< He nodded to me.	Tinung-edannak.
>>ilo<< How did Tom die?	Kasano a natay ni Tom?
>>ilo<< How old are you?	Mano ti tawenmon?
>>ilo<< How tall is Tom?	Kasano katayag ni Tom?
>>ilo<< I am very tired.	Nabannogak unay.
>>ilo<< I don't need it.	Saanko a masapul dayta.
>>ilo<< I feel betrayed.	Panagriknak ket naallilawak.
>>ilo<< I feel betrayed.	Panagriknak ket naliputanak.
>>ilo<< I have two cats.	Adda dua a pusak.
>>ilo<< I like baseball.	Kayatko ti baseball.
>>ilo<< I live in Japan.	Agnanaedak sadiay Japon.
>>ilo<< I paid for them.	Imbayadak ida.
>>ilo<< I'm a TV addict.	Naadikak iti TV.
>>ilo<< Let me sit down.	Pagtuwagennak.
>>ilo<< Merry Christmas!	Naragsak a Paskua!
>>ilo<< Never forget it.	Dimo pulos liplipatan.
>>ilo<< Please be quiet.	Pangngaasim ta agulimekka.
>>ilo<< She adores cats.	Kaykayatanna unay ti pusa.
>>ilo<< The cat escaped.	Nakalibas ti pusa.
>>ilo<< These are birds.	Bilbillit dagitoy.
>>ilo<< They won't know.	Didanto maammuan.
>>ilo<< This is a horse.	Kabalio daytoy.
>>ilo<< Today is Monday.	Lunes ita nga aldaw.
>>ilo<< Tom drinks wine.	Umin-inum iti arak ni Tom.
>>ilo<< Tom has a fever.	Adda gurigor ni Tom.
>>ilo<< Tom has it made.	Naaramid daytoy ni Tom.
>>ilo<< Tom has my vote.	Kukua ni Tom ti botosko.
>>ilo<< Tom is a coward.	Maysa a takrot ni Tom.
>>ilo<< Tom surrendered.	Simmuko ni Tom.
>>ilo<< Tom sympathized.	Nakipagrikna ni Tom.
>>ilo<< Tom understands.	Maawatan ni Tom.
>>ilo<< Tom was working.	Nagtrabaho ni Tom.
>>ilo<< Tom wasn't bald.	Saan a kalbo ni Tom.
>>ilo<< We speak French.	Makasao kami iti Pranses.
>>ilo<< What time is it?	Ania ti orasen?
>>ilo<< Where's my bike?	Ayanna ti bisekletak?
>>ilo<< Who bought that?	Asino ti nanggatang iti dayta?
>>ilo<< Who called them?	Asino ti nangayab kadakuada?
>>ilo<< Who called them?	Asino ti nangawag kadakuada?
>>ilo<< Who surrendered?	Asino ti simmuko?
>>ilo<< Who volunteered?	Asino ti nagboluntario?
>>ilo<< Who'll be there?	Asinonto ti adda idiay?
>>ilo<< You're a coward!	Maysaka a takrot.
>>ilo<< You're a coward!	Takrotka!
>>ilo<< You're a coward.	Maysaka a takrot.
>>ilo<< You're a coward.	Takrotka!
>>ilo<< A cab is waiting.	Adda agur-uray a taksi.
>>ilo<< Aren't you tired?	Saanka kadi a nabannog?
>>ilo<< Do you live here?	Agnanaedka ditoy?
>>ilo<< Do you want kids?	Kayatmo kadi ti ubbing?
>>ilo<< He hates spiders.	Kagurana ti lawwalawwa.
>>ilo<< He loves fishing.	Kaykayatna ti agkalap.
>>ilo<< How embarrassing!	Nakababain!
>>ilo<< I agree with you.	Umanamongak kenka.
>>ilo<< I feel empowered.	Napabilganak.
>>ilo<< I know your name.	Ammok ti naganmo.
>>ilo<< I own this place.	Kukuak daytoy a lugar.
>>ilo<< I own this store.	Kukuak daytoy a pagtagilakuan.
>>ilo<< I regret nothing.	Awan ti pagbabawyak.
>>ilo<< I was very lucky.	Nagasatak la unay.
>>ilo<< I wrote the book.	Sinuratko ti libro.
>>ilo<< I'm 18 years old.	Disiotsokon.
>>ilo<< I'm Tom's friend.	Gayyemnak ni Tom.
>>ilo<< I'm not a doctor.	Saanak a doktor.
>>ilo<< I'm not the boss.	Saan a siak ti boss.
>>ilo<< I'm very popular.	Nakalatlatakak.
>>ilo<< I'm volunteering.	Agboluntarioak.
>>ilo<< Is this your car?	Daytoy kadi ti kotsem?
>>ilo<< My toes are numb.	Agpipikel dagiti tangan ti sakak.
>>ilo<< Nothing happened.	Awan ti napasamak.
>>ilo<< Please sign here.	Agpirma ditoy.
>>ilo<< Spiders scare me.	Mabutengak iti lawwalawwa.
>>ilo<< The cat ran away.	Timmaray nga immadayo ti pusa.
>>ilo<< The towel is wet.	Nabasa ti tualia.
>>ilo<< They know I know.	Ammoda nga ammok.
>>ilo<< They live nearby.	Agnanaedda iti asideg.
>>ilo<< This is my child.	Daytoy ti anakko.
>>ilo<< This is my rifle.	Daytoy ti riplek.
>>ilo<< This isn't sugar.	Saan nga asukar daytoy.
>>ilo<< Tom is my friend.	Gayyemko ni Tom.
>>ilo<< Tom is my mentor.	Ni Tom ti mangisursuro kaniak.
>>ilo<< Tom is no coward.	Saan a takrot ni Tom.
>>ilo<< Tom relies on me.	Agtalek ni Tom kaniak.
>>ilo<< Tom talked to me.	Nakisarita ni Tom kaniak.
>>ilo<< Tom wasn't angry.	Saan a makaunget ni Tom.
>>ilo<< Tom wasn't armed.	Saan nga armado ni Tom.
>>ilo<< Tom wasn't clear.	Saan a nalawag ni Tom.
>>ilo<< We need evidence.	Masapulmi ti pammaneknek.
>>ilo<< We need to hurry.	Masapul a kartingantayo.
>>ilo<< We need to hurry.	Masapul a darsentayo.
>>ilo<< We need to leave.	Masapul a pumanawtayo.
>>ilo<< We'll be careful.	Agan-annadkaminton.
>>ilo<< We're undressing.	Aguk-uksobkami.
>>ilo<< We're undressing.	Aglablabuskami.
>>ilo<< We're undressing.	Ik-ikkatenmi dagiti badomi.
>>ilo<< What a big truck!	Anian a nagdakkel a bagon!
>>ilo<< What did you say?	Ania ti kinunam?
>>ilo<< What do you have?	Ania ti adda kenka?
>>ilo<< What do you mean?	Ania ti kayatmo a sawen?
>>ilo<< What do you want?	Ania ti kayatmo?
>>ilo<< What's your name?	Ania ti naganmo?
>>ilo<< Where did Tom go?	Napanan ni Tom?
>>ilo<< Who brought them?	Asino ti nangitugot kadakuada?
>>ilo<< Who brought them?	Asino ti nangala kadakuada?
>>ilo<< Who brought this?	Asino ti nangitugot iti daytoy?
>>ilo<< Who can remember?	Asino ti makalagip?
>>ilo<< Who could forget?	Asino ti makalipat?
>>ilo<< You may be right.	Mabalin nga umnoka.
>>ilo<< You should sleep.	Masapul a maturogka.
>>ilo<< A heavy rain fell.	Nagbayakabak.
>>ilo<< All men are equal.	Agpapada amin a tao.
>>ilo<< Are you a student?	Estudianteka kadi?
>>ilo<< Birds build nests.	Agaramid iti umok dagiti billit.
>>ilo<< Come here at once.	Umayka a dagus ditoy.
>>ilo<< Did you mean this?	Kayatmo a sawen isu daytoy?
>>ilo<< Do you have money?	Adda kuartam?
>>ilo<< Do you need money?	Masapulmo ti kuarta?
>>ilo<< Do you want a job?	Kayatmo kadi ti trabaho?
>>ilo<< Do you want to go?	Kayatmo ti mapan?
>>ilo<< Does Tom know yet?	Ammo kadin ni Tom?
>>ilo<< Don't you like me?	Dinak kadi kayat?
>>ilo<< He owns this land.	Kukuana daytoy a daga.
>>ilo<< He's a big coward.	Nameklan a takrot isuna.
>>ilo<< He's now studying.	Agbasbasa itan isuna.
>>ilo<< How can I compete?	Kasano a makisalipak?
>>ilo<< I bought the book.	Ginatangko ti libro.
>>ilo<< I can't blame you.	Saanka a mapabasol.
>>ilo<< I couldn't fix it.	Saanko a matarimaan.
>>ilo<< I have a headache.	Agsakit ti ulok.
>>ilo<< I have no regrets.	Awan babawik.
>>ilo<< I miss my friends.	Kailiwko dagiti gagayyemko.
>>ilo<< I paid in advance.	Insakbayko ti nagbayad.
>>ilo<< I'll pay the bill.	Bayadak ti nagastos.
>>ilo<< I've done nothing.	Awan ti inaramidko.
>>ilo<< It's not my fault.	Saanko a basol.
>>ilo<< Please forgive me.	Pangngaasim ta pakawanennak.
>>ilo<< Tell Tom to hurry.	Ibagam ken ni Tom a kartinganna.
>>ilo<< That won't happen.	Saan a mapasamak dayta.
>>ilo<< They drank coffee.	Imminumda ti kape.
>>ilo<< They got addicted.	Naadikda.
>>ilo<< They ran after us.	Kinamatdakami.
>>ilo<< They went fishing.	Napanda nagkalap.
>>ilo<< They were cowards.	Takrotda.
>>ilo<< Tom is frustrated.	Naupay ni Tom.
>>ilo<< Tom is so selfish.	Managimbubukod ni Tom.
>>ilo<< Tom played tennis.	Nagay-ayam ni Tom iti tennis.
>>ilo<< Tom respects Mary.	Resrespetuen ni Tom ni Mary.
>>ilo<< Tom wasn't afraid.	Saan a mabuteng ni Tom.
>>ilo<< We need a victory.	Masapultayo ti panagballigi.
>>ilo<< We need more time.	Masapulayo ti ad-adu pay a panawen.
>>ilo<< We're not cowards.	Saankami a takrot.
>>ilo<< What is your name?	Ania ti naganmo?
>>ilo<< Where do you live?	Pagnanaedam?
>>ilo<< Where do you work?	Pagob-obraam?
>>ilo<< Where's the bread?	Ayanna ti tinapay?
>>ilo<< Where's your wife?	Ayanna ni baketmo?
>>ilo<< Whose fault is it?	Asino ti akimbasol iti daytoy?
>>ilo<< Whose pen is this?	Akinbolpen iti daytoy?
>>ilo<< Whose pen is this?	Akinlapis iti daytoy?
>>ilo<< You are beautiful.	Napintaska.
>>ilo<< You bet I'm angry.	Napugtuam a makaungetak.
>>ilo<< You run very fast.	Nakapaspaspaska nga agtaray.
>>ilo<< You weren't ready.	Saanka a nakasagana.
>>ilo<< You're disgusting!	Nakaar-ariekka!
>>ilo<< You're the doctor.	Sika ti doktor.
>>ilo<< A cat is not human.	Saan a tao ti pusa.
>>ilo<< A cat scratched me.	Kinaramutannak ti pusa.
>>ilo<< A child is missing.	Adda mapukpukaw nga ubing.
>>ilo<< A guard is outside.	Adda guardia iti ruar.
>>ilo<< Do you believe him?	Mamatika kadi kenkuana?
>>ilo<< Do you like apples?	Kayatmo ti mansanas?
>>ilo<< Do you remember me?	Malagipnak kadi?
>>ilo<< Do you want coffee?	Kayatmo ti kape?
>>ilo<< Don't overthink it.	Saanmo a pagpanunotan la unay.
>>ilo<< Get me some coffee.	Yalaannak man iti kape.
>>ilo<< Go home and change.	Agawidkan ta agpelleska.
>>ilo<< He is about thirty.	Agtallopulona.
>>ilo<< He is having lunch.	Mangal-aldaw isuna.
>>ilo<< How do we find Tom?	Kasano a mabirokanmi ni Tom?
>>ilo<< I admire Tom a lot.	Pagraemak la unay ni Tom.
>>ilo<< I bought a Picasso.	Gimmatangak iti PIcasso.
>>ilo<< I can't blame them.	Diak mapabasol ida.
>>ilo<< I don't have a cat.	Awan ti pusak.
>>ilo<< I don't understand.	Diak maawatan.
>>ilo<< I have a job to do.	Adda obrak nga iwayatko.
>>ilo<< I know your father.	Am-ammok ti tatangmo.
>>ilo<< I pay Tom's salary.	Baybayadak ti sueldo ni Tom.
>>ilo<< I wanted to scream.	Kayatko ti agikkis.
>>ilo<< I'm bored to death.	Masikoranak la un-unay.
>>ilo<< I'm not a magician.	Saanak a mahikero.
>>ilo<< Is Tom a good cook?	Nalaing kadi nga agluto ni Tom?
>>ilo<< Is this book Tom's?	Libro kadi ni Tom daytoy?
>>ilo<< Is your room clean?	Nadalus kadi ti siledmo?
>>ilo<< It belonged to Tom.	Kukua ni Tom.
>>ilo<< It didn't end well.	Saan a nasayaat ti pannakalpasna.
>>ilo<< It was pretty dark.	Nakasipsipnget.
>>ilo<< It was really dark.	Agpayso a nasipnget.
>>ilo<< It's fun to travel.	Naragsak ti agbiahe.
>>ilo<< It's not Christmas.	Saan a Paskua.
>>ilo<< Out of my way, boy.	Aglisika man, balong.
>>ilo<< Pick me up at 2:30.	Sukunennak inton 2:30.
>>ilo<< Please have a seat.	Agtugawka.
>>ilo<< She bought chicken.	Gimmatang isuna iti manok.
>>ilo<< She looked ghostly.	Kasla al-alia ti langana.
>>ilo<< Stop wasting money.	Isardeng ti panagsayang iti kuarta.
>>ilo<< The law is the law.	Ti linteg ket isu ti linteg.
>>ilo<< The others laughed.	Nagkatawa dagiti dadduma.
>>ilo<< They are wrestlers.	Gumagabboda.
>>ilo<< Tom can't trick me.	Saannak a maallilaw ni Tom.
>>ilo<< Tom can't use that.	Saan a maaramat ni Tom dayta.
>>ilo<< Tom can't use this.	Saan a maaramat ni Tom daytoy.
>>ilo<< Tom closed one eye.	Inkidem ni Tom ti maysa a matana.
>>ilo<< Tom could be a spy.	Mabalin a maysa nga espia ni Tom.
>>ilo<< Tom didn't find it.	Saan a nabirokan ni Tom.
>>ilo<< Tom didn't fool me.	Saannak a linoko ni Tom.
>>ilo<< Tom got here early.	Nasapa a simmangpet ditoy ni Tom.
>>ilo<< Tom has to do this.	Nasken nga aramiden ni Tom daytoy.
>>ilo<< Tom is a terrorist.	Maysa a terorista ni Tom.
>>ilo<< Tom is catching on.	Kumamkamakam ni Tom.
>>ilo<< Tom is early again.	Nasapa manen ni Tom.
>>ilo<< Tom is often wrong.	Masansan a biddut ni Tom.
>>ilo<< Tom is trying hard.	Ikarkarigatan ni Tom.
>>ilo<< Tom isn't busy now.	Saan a makumikom ni Tom ita.
>>ilo<< Tom isn't finished.	Saan pay a nalpas ni Tom.
>>ilo<< Tom should go home.	Nasken nga agawid ni Tom.
>>ilo<< Tom will love this.	Magustuan ni Tom daytoy.
>>ilo<< Tom will need that.	Masapul ni Tom dayta.
>>ilo<< Tom will need this.	Masapul ni Tom daytoy.
>>ilo<< We know what to do.	Ammomi no ania ti aramidenmi.
>>ilo<< We must be careful.	Masapul nga agan-annadtayo.
>>ilo<< We're volunteering.	Agboluntariokami.
>>ilo<< We've barely begun.	Karugrugimi.
>>ilo<< We've been looking.	Agbirbirokkami.
>>ilo<< We've been looking.	Agsapsapulkami.
>>ilo<< We've been looking.	Agkitkitakami.
>>ilo<< Well, now you know.	Ket, ammom itan.
>>ilo<< What are you doing?	Ania ti ar-aramidem?
>>ilo<< What just happened?	Ania kadi ti napasamak itay laeng?
