>>ind<< Hi.	Hai.
>>ind<< I cried.	Aku menangis.
>>ind<< I smoke.	Aku merokok.
>>ind<< I smoke.	Saya merokok.
>>ind<< I'm sad.	Saya sedih.
>>ind<< I'm sad.	Aku sedih.
>>ind<< It's OK.	Tidak apa-apa.
>>ind<< It's me!	Ini aku!
>>ind<< It's me.	Ini aku.
>>ind<< Kiss me.	Cium saya.
>>ind<< Kiss me.	Cium aku.
>>ind<< Me, too.	Aku juga.
>>ind<< Me, too.	Saya juga.
>>ind<< Perfect!	Sempurna!
>>ind<< See you!	Sampai jumpa!
>>ind<< Show me.	Perlihatkan padaku.
>>ind<< Show me.	Perlihatin.
>>ind<< Shut up!	Diam!
>>ind<< Shut up!	Diamlah!
>>ind<< Shut up!	diamlah!
>>ind<< So long.	Sampai jumpa.
>>ind<< Tell me.	Beri tahu aku.
>>ind<< Tom won.	Tom menang.
>>ind<< Wake up!	Bangun!
>>ind<< Wake up!	Bangunlah!
>>ind<< Wake up.	Bangunlah.
>>ind<< We know.	Kami tahu.
>>ind<< We lied.	Kita berbohong.
>>ind<< We lost.	Kita kalah.
>>ind<< Welcome.	Selamat datang.
>>ind<< Be still.	Jangan bergerak.
>>ind<< Don't go.	Jangan pergi.
>>ind<< Get lost!	Pergi sana!
>>ind<< Good job!	Kerja yang bagus!
>>ind<< Good job!	Kerja bagus!
>>ind<< Grab Tom.	Tangkap Tom.
>>ind<< Hi, guys.	Hai, kawan-kawan.
>>ind<< I failed.	Aku gagal.
>>ind<< I forgot.	Aku lupa.
>>ind<< I forgot.	Saya lupa.
>>ind<< I get it.	Aku mengerti.
>>ind<< I got it.	Aku mengerti.
>>ind<< I refuse.	Aku menolak.
>>ind<< I refuse.	Saya menolak.
>>ind<< I smiled.	Aku tersenyum.
>>ind<< I stayed.	Aku tetap tinggal.
>>ind<< I'm busy.	Aku sedang sibuk.
>>ind<< I'm deaf.	Aku tuli.
>>ind<< I'm done.	Aku sudah selesai.
>>ind<< I'm dumb.	Aku bodoh.
>>ind<< I'm fine.	Aku baik-baik saja.
>>ind<< I'm fine.	Saya baik-baik saja.
>>ind<< I'm glad.	Saya senang.
>>ind<< I'm here.	Aku di sini.
>>ind<< I'm lazy.	Saya malas.
>>ind<< I'm lazy.	Aku malas.
>>ind<< I'm lost.	Saya tersesat.
>>ind<< I'm okay.	Aku baik-baik saja.
>>ind<< It's hot.	Cuacanya panas.
>>ind<< It's hot.	Itu panas.
>>ind<< It's odd.	Itu aneh.
>>ind<< It's odd.	Ini aneh.
>>ind<< It's red.	Warnanya merah.
>>ind<< Kiss Tom.	Ciumlah Tom.
>>ind<< Leave me.	Tinggalkan aku.
>>ind<< Let's go!	Ayo!
>>ind<< Let's go.	Ayo pergi
>>ind<< Look out!	Awas!
>>ind<< Nonsense!	Omong kosong!
>>ind<< She came.	Dia datang.
>>ind<< She died.	Dia mati.
>>ind<< She died.	Dia meninggal.
>>ind<< She left.	Dia pergi.
>>ind<< Sit down!	Duduklah!
>>ind<< Sit down.	Duduklah.
>>ind<< Stand up!	Berdiri!
>>ind<< Stand up.	Berdirilah.
>>ind<< Terrific!	Hebat!
>>ind<< They won.	Mereka menang.
>>ind<< Tom died.	Tom meninggal.
>>ind<< Tom lied.	Tom berbohong.
>>ind<< Tom lost.	Tom kalah.
>>ind<< Tom sang.	Tom bernyanyi.
>>ind<< Tom spit.	Tom meludah.
>>ind<< Tom wept.	Tom menangis.
>>ind<< Trust me.	Percaya padaku.
>>ind<< Use this.	Pakailah ini.
>>ind<< We tried.	Kami sudah mencoba.
>>ind<< What for?	Untuk apa?
>>ind<< Who am I?	Siapa aku?
>>ind<< Who am I?	Aku siapa?
>>ind<< Who's he?	Dia siapa?
>>ind<< Who's he?	Siapa dia?
>>ind<< Avoid Tom.	Hindari Tom.
>>ind<< Be seated.	Duduklah.
>>ind<< Bend down.	Membungkuk.
>>ind<< Birds fly.	Burung terbang.
>>ind<< Bless you.	Terberkatilah dirimu.
>>ind<< Calm down.	Tenanglah.
>>ind<< Chill out.	Tenanglah.
>>ind<< Come here.	Kemari.
>>ind<< Come here.	Kemarilah.
>>ind<< Come here.	Datanglah ke sini.
>>ind<< Come soon.	Datanglah segera.
>>ind<< Cool down.	Tenanglah.
>>ind<< Dogs bark.	Anjing menggonggong.
>>ind<< Don't cry.	Janganlah menangis.
>>ind<< Don't cry.	Jangan menangis.
>>ind<< Don't die.	Jangan mati.
>>ind<< Excuse me.	Permisi.
>>ind<< Fantastic!	Fantastis!
>>ind<< Forget it.	Lupakan.
>>ind<< Forget it.	Lupakan saja.
>>ind<< Get a saw.	Ambil gergaji.
>>ind<< Get ready.	Bersiaplah!
>>ind<< Go to bed.	Pergilah tidur.
>>ind<< Good luck.	Semoga beruntung!
>>ind<< Good luck.	Semoga sukses!
>>ind<< Goodnight.	Selamat malam.
>>ind<< Goodnight.	Selamat tidur.
>>ind<< He is ill.	Dia sakit.
>>ind<< He is ill.	Dia sedang sakit.
>>ind<< He smiled.	Dia tersenyum.
>>ind<< He's a DJ.	Dia adalah seorang DJ.
>>ind<< He's busy.	Dia sedang sibuk.
>>ind<< He's lazy.	Dia pemalas.
>>ind<< He's rich.	Dia kaya.
>>ind<< He's sexy.	Dia seksi.
>>ind<< I can ski.	Saya bisa bermain ski.
>>ind<< I crawled.	Aku merangkak.
>>ind<< I fainted.	Aku pingsan.
>>ind<< I fainted.	Saya pingsan.
>>ind<< I gave up.	Aku menyerah.
>>ind<< I gave up.	Saya menyerah.
>>ind<< I give up.	Aku menyerah.
>>ind<< I give up.	Saya menyerah.
>>ind<< I hit Tom.	Aku memukul Tom.
>>ind<< I laughed.	Aku tertawa.
>>ind<< I laughed.	Saya tertawa.
>>ind<< I like it.	Saya suka.
>>ind<< I mean it!	Aku serius!
>>ind<< I mean it.	Aku serius.
>>ind<< I promise.	Aku janji.
>>ind<< I slipped.	Aku terpeleset.
>>ind<< I'm a man.	Aku laki-laki.
>>ind<< I'm blind.	Aku buta.
>>ind<< I'm bored.	Saya bosan.
>>ind<< I'm bored.	Aku bosan.
>>ind<< I'm clean.	Aku bersih.
>>ind<< I'm drunk.	Aku mabuk.
>>ind<< I'm first.	Aku yang pertama.
>>ind<< I'm happy.	Saya senang.
>>ind<< I'm naked.	Aku telanjang.
>>ind<< I'm right.	Aku benar.
>>ind<< I'm sorry.	Saya minta maaf.
>>ind<< I'm tired.	Aku lelah.
>>ind<< Is he Tom?	Apakah dia Tom?
>>ind<< It's 8:30.	Sekarang pukul 8.30.
>>ind<< It's cold.	Dingin.
>>ind<< It's fake.	Itu palsu.
>>ind<< It's food.	Ini adalah makanan.
>>ind<< It's near.	Sudah dekat.
>>ind<< It's okay.	Tidak apa-apa.
>>ind<< Let's try!	Mari kita coba!
>>ind<< Let's try.	Mari kita coba.
>>ind<< Move over.	Meminggirlah.
>>ind<< Move over.	Minggir!
>>ind<< Of course!	Tentu saja!
>>ind<< Of course.	Tentu saja.
>>ind<< Open fire!	Tembak!
>>ind<< Pipe down!	Harap tenang!
>>ind<< Read this.	Baca ini!
>>ind<< See above.	Lihat di atas
>>ind<< See below.	Lihat di bawah ini.
>>ind<< Seriously?	Masa?
>>ind<< Seriously?	Serius?
>>ind<< Seriously?	Beneran?
>>ind<< She walks.	Dia berjalan kaki.
>>ind<< She walks.	Dia berjalan.
>>ind<< Stay home.	Tinggallah di rumah!
>>ind<< Stop here.	Berhenti di sini.
>>ind<< Stop that!	Hentikan itu!
>>ind<< Stop that.	Hentikan itu.
>>ind<< Take both.	Ambil keduanya.
>>ind<< Thank you.	Terima kasih.
>>ind<< That's me.	Itulah saya.
>>ind<< That's me.	Itu aku.
>>ind<< Then what?	Terus kenapa?
>>ind<< They lied.	Mereka berbohong.
>>ind<< They swam.	Mereka berenang.
>>ind<< Time's up.	Waktu habis.
>>ind<< Tom cried.	Tom menangis.
>>ind<< Tom knits.	Tom merajut.
>>ind<< Tom puked.	Tom muntah.
>>ind<< Tom reads.	Tom membaca.
>>ind<< Tom's fat.	Tom gemuk.
>>ind<< Try again.	Coba lagi.
>>ind<< Turn left.	Belok kiri.
>>ind<< Watch out!	Awas!
>>ind<< Well done!	Kerja yang bagus!
>>ind<< Well done!	Kerja bagus!
>>ind<< What's up?	Ada apa?
>>ind<< Who is he?	Dia siapa?
>>ind<< Who is he?	Siapa dia?
>>ind<< Who's Tom?	Tom itu siapa?
>>ind<< Who's she?	Siapa dia?
>>ind<< Wonderful!	Luar biasa!
>>ind<< Are you OK?	Kamu tidak apa-apa?
>>ind<< Be careful!	Hati-hati!
>>ind<< Be careful.	Hati-hati.
>>ind<< Birds sing.	Burung-burung bernyanyi.
>>ind<< Bring wine.	Bawalah anggur.
>>ind<< Come on in.	Masuklah.
>>ind<< Come watch.	Ayo tonton.
>>ind<< Cut it out!	Sudah hentikan!
>>ind<< Cut it out.	Sudah hentikan.
>>ind<< Don't kick.	Jangan menendang.
>>ind<< Don't kiss.	Jangan berciuman.
>>ind<< Don't move!	Jangan bergerak!
>>ind<< Don't move.	Jangan bergerak.
>>ind<< Don't spit.	Jangan meludah.
>>ind<< Don't talk!	Jangan berbicara!
>>ind<< Drink this.	Minum ini.
>>ind<< Duty calls.	Panggilan tugas.
>>ind<< Eat slowly.	Makan pelan-pelan.
>>ind<< Follow him.	Ikuti dia.
>>ind<< Forget him.	Lupakan dirinya.
>>ind<< Forget him.	Lupakan dia.
>>ind<< Forgive me.	maafkan aku
>>ind<< Forgive me.	Maafkan aku.
>>ind<< Forgive me.	Maafkan saya.
>>ind<< Get a bowl.	Ambil mangkuk.
>>ind<< Good night.	Selamat malam.
>>ind<< He is a DJ.	Dia adalah seorang DJ.
>>ind<< He is busy.	Dia sedang sibuk.
>>ind<< He is here!	Dia di sini!
>>ind<< He is lazy.	Dia pemalas.
>>ind<< He is sick.	Dia sakit.
>>ind<< He is sick.	Dia sedang sakit.
>>ind<< He laughed.	Dia tertawa.
>>ind<< He's smart.	Dia pintar.
>>ind<< Hello, Tom.	Halo, Tom!
>>ind<< Here it is.	Ini dia.
>>ind<< How boring!	Membosankan sekali!
>>ind<< How clever!	Pintar!
>>ind<< I am a man.	Aku laki-laki.
>>ind<< I am going.	Saya pergi.
>>ind<< I am happy.	Saya senang.
>>ind<< I am right.	Aku benar.
>>ind<< I can sing.	Aku bisa menyanyi.
>>ind<< I can walk.	Saya bisa berjalan.
>>ind<< I can't go.	Saya tidak bisa pergi.
>>ind<< I can't go.	Aku tidak boleh pergi.
>>ind<< I eat rice.	Aku makan nasi.
>>ind<< I hate Tom.	Aku benci Tom.
>>ind<< I hate you.	Aku membencimu.
>>ind<< I just ate.	Aku baru makan.
>>ind<< I like art.	Aku suka seni.
>>ind<< I like art.	Saya suka seni.
>>ind<< I like him.	Aku suka dia.
>>ind<< I like you.	Aku suka kamu.
>>ind<< I like you.	Saya suka kamu.
>>ind<< I love you.	Aku cinta kamu.
>>ind<< I love you.	aku mencintaimu
>>ind<< I miss him.	Aku merindukannya.
>>ind<< I miss him.	Aku rindu dia.
>>ind<< I miss him.	Saya merindukannya.
>>ind<< I miss you.	Aku merindukanmu.
>>ind<< I miss you.	Aku rindu kamu.
>>ind<< I screamed.	Saya berteriak.
>>ind<< I screamed.	Aku berteriak.
>>ind<< I'm a hero.	Aku pahlawan.
>>ind<< I'm a star.	Aku seorang bintang.
>>ind<< I'm a star.	Aku sebuah bintang.
>>ind<< I'm eating.	Aku lagi makan.
>>ind<< I'm hiding.	Aku sedang sembunyi.
>>ind<< I'm hungry!	Aku lapar!
>>ind<< I'm hungry!	Aku lapar.
>>ind<< I'm hungry.	Saya lapar.
>>ind<< I'm hungry.	Aku lapar.
>>ind<< I'm joking.	Aku bercanda.
>>ind<< I'm pooped.	Aku sangat capek.
>>ind<< I'm scared.	Aku takut.
>>ind<< I'm sleepy!	Aku ngantuk!
>>ind<< I'm sleepy.	Aku ngantuk.
>>ind<< I'm sleepy.	Aku mengantuk.
>>ind<< I'm stupid.	Aku bodoh.
>>ind<< I've eaten.	Aku sudah makan.
>>ind<< Is Tom big?	Apa Tom besar?
>>ind<< Is Tom ill?	Apa Tom sakit?
>>ind<< Is it good?	Emang enak?
>>ind<< Is it love?	Apakah ini cinta?
>>ind<< Is it true?	Apa itu benar?
>>ind<< Is that so?	Apa benar begitu?
>>ind<< It'll burn.	Itu akan terbakar
>>ind<< It's close.	Sudah dekat.
>>ind<< It's night.	Sekarang malam.
>>ind<< It's on me.	Aku yang traktir.
>>ind<< It's paper.	Ini merupakan kertas.
>>ind<< It's paper.	Ini kertas.
>>ind<< It's pasta.	Itu pasta.
>>ind<< It's safer.	Ini lebih aman.
>>ind<< It's spicy.	Rasanya pedas.
>>ind<< It's three.	Sekarang jam tiga.
>>ind<< It's weird.	Itu aneh.
>>ind<< It's weird.	Ini aneh.
>>ind<< It's wrong.	Itu salah.
>>ind<< Just do it.	Lakukan saja.
>>ind<< Let Tom in.	Biarkan Tom masuk.
>>ind<< Let Tom in.	Ijinkan Tom masuk.
>>ind<< Let me pay.	Biarkan saya yang membayar.
>>ind<< Let me see.	Coba saya lihat.
>>ind<< Let me try.	Biar saya coba.
>>ind<< Look at me.	Lihat saya.
>>ind<< Look at me.	Lihat aku.
>>ind<< No kidding?	Beneran?
>>ind<< No one ran.	Tidak ada yang berlari.
>>ind<< No problem!	Tidak masalah!
>>ind<< No problem.	Tidak masalah.
>>ind<< Nobody ran.	Tidak ada yang berlari.
>>ind<< Oh, really?	Oh, benarkah?
>>ind<< Please sit.	Silakan duduk.
>>ind<< She smiled.	Dia tersenyum.
>>ind<< Smell this.	Cium ini.
>>ind<< Start here.	Mulai dari sini.
>>ind<< Step on it!	Cepatlah!
>>ind<< Step on it!	Cepat!
>>ind<< That's odd.	Itu aneh.
>>ind<< That's tea.	Itu teh.
>>ind<< That's wet.	Itu basah.
>>ind<< They agree.	Mereka setuju.
>>ind<< Tom agrees.	Tom setuju.
>>ind<< Tom barfed.	Tom muntah.
>>ind<< Tom danced.	Tom menari.
>>ind<< Tom did it.	Tom melakukannya.
>>ind<< Tom failed.	Tom gagal.
>>ind<< Tom farted.	Tom kentut.
>>ind<< Tom forgot.	Tom lupa.
>>ind<< Tom is big.	Tom besar.
>>ind<< Tom is fat.	Tom gemuk.
>>ind<< Tom is fun.	Tom menyenangkan
>>ind<< Tom nodded.	Tom mengangguk.
>>ind<< Tom smiles.	Tom tersenyum.
>>ind<< Tom waited.	Tom menunggu.
>>ind<< Tom was OK.	Tom dalam keadaan baik.
>>ind<< Tom yawned.	Tom menguap.
>>ind<< Tom's deaf.	Tom tuli.
>>ind<< Tom's fast.	Tom cepat.
>>ind<< Tom's home.	Tom ada di rumah.
>>ind<< Tom's home.	Tom di rumah.
>>ind<< Turn right.	Belok kanan.
>>ind<< Was he Tom?	Apakah dia Tom?
>>ind<< We clapped.	Kita bertepuk tangan.
>>ind<< We need it.	Kami membutuhkannya.
>>ind<< We're free!	Kita bebas!
>>ind<< We're sure.	Kami yakin.
>>ind<< Where am I?	Di mana aku?
>>ind<< Where am I?	Aku di mana?
>>ind<< Who is Tom?	Tom itu siapa?
>>ind<< Who is she?	Dia siapa?
>>ind<< Who is she?	Siapa dia?
>>ind<< Who's next?	Selanjutnya siapa?
>>ind<< Are you cut?	Apa kau melakukan khitan?
>>ind<< Are you new?	Kamu orang baru?
>>ind<< Are you sad?	Apakah kamu sedih?
>>ind<< Be creative.	Jadilah kreatif.
>>ind<< Be prepared.	Bersiaplah!
>>ind<< Can you see?	Kamu masih belum mengerti?
>>ind<< Do it later.	Lakukan itu nanti.
>>ind<< Do you bowl?	Apa kau bermain boling?
>>ind<< Don't blink.	Jangan berkedip!
>>ind<< Don't cheat.	Jangan curang.
>>ind<< Don't cheat.	Jangan menyontek.
>>ind<< Don't fight.	Jangan bertengkar!
>>ind<< Don't fight.	Jangan berkelahi!
>>ind<< Don't leave!	Jangan pergi!
>>ind<< Don't smoke.	Jangan merokok.
>>ind<< Don't worry.	Jangan khawatir
>>ind<< Finish this.	Selesaikan ini.
>>ind<< Follow them.	Ikuti mereka.
>>ind<< Give me one.	Beri aku satu.
>>ind<< Give me one.	Beri saya sebuah.
>>ind<< Go to sleep.	Pergilah tidur.
>>ind<< Grab a seat.	Duduklah.
>>ind<< Have a seat.	Duduklah.
>>ind<< He has wine.	Dia memiliki anggur.
>>ind<< He is alone.	Dia sendirian.
>>ind<< He is crazy.	Dia gila.
>>ind<< He is eight.	Dia delapan tahun.
>>ind<< He's a liar.	Dia pembohong.
>>ind<< He's coming.	Dia datang.
>>ind<< How are you?	Apa kabar?
>>ind<< How are you?	Bagaimana kabar Anda?
>>ind<< I also went.	Saya juga pergi.
>>ind<< I apologize.	Saya minta maaf.
>>ind<< I can't eat.	Saya tidak bisa makan.
>>ind<< I can't fly.	Saya tidak bisa terbang.
>>ind<< I can't fly.	Aku tidak bisa terbang.
>>ind<< I can't see.	Aku tidak bisa melihat.
>>ind<< I can't see.	Saya tidak bisa melihat.
>>ind<< I feel blue.	Aku merasa sedih.
>>ind<< I feel blue.	Aku sedih.
>>ind<< I feel numb.	Aku merasa mati rasa.
>>ind<< I feel well.	Saya baik-baik saja.
>>ind<< I felt dumb.	Aku merasa bodoh.
>>ind<< I found you.	Aku menemukanmu.
>>ind<< I got tired.	Aku lelah.
>>ind<< I hate snow.	Aku benci salju.
>>ind<< I have gout.	Saya ada asam urat.
>>ind<< I have time.	Aku punya waktu.
>>ind<< I know them.	Aku kenal mereka.
>>ind<< I like blue.	Aku suka biru.
>>ind<< I like cats.	Aku suka kucing.
>>ind<< I like math.	Aku suka matematika.
>>ind<< I like this.	Aku suka ini.
>>ind<< I like wine.	Aku suka anggur.
>>ind<< I live here.	Saya tinggal di sini.
>>ind<< I love Mary.	Aku mencintai Mary.
>>ind<< I love life.	Saya cinta hidup.
>>ind<< I need cash.	Aku perlu uang.
>>ind<< I need help.	Saya perlu bantuan.
>>ind<< I need help.	Aku perlu bantuan.
>>ind<< I saw a doe.	Saya melihat seekor rusa betina.
>>ind<< I surrender.	Aku menyerah.
>>ind<< I surrender.	Saya menyerah.
>>ind<< I thank you.	Aku berterima kasih.
>>ind<< I trust him.	Saya mempercayainya.
>>ind<< I want mine.	Aku mau punyaku.
>>ind<< I want this.	Aku mau ini.
>>ind<< I want toys.	Aku mau mainan.
>>ind<< I was a bum.	Aku dulu gelandangan.
>>ind<< I was dizzy.	Aku pusing.
>>ind<< I was right.	Aku benar.
>>ind<< I was tired.	Aku lelah.
>>ind<< I went, too.	Saya juga pergi.
>>ind<< I'm a slave.	Saya seorang budak.
>>ind<< I'm a woman.	Aku perempuan.
>>ind<< I'm ashamed.	Aku malu.
>>ind<< I'm kidding.	Aku bercanda.
>>ind<< I'm not sad.	Saya tidak sedih.
>>ind<< I'm not shy.	Saya tidak malu.
>>ind<< I'm reading.	Aku sedang membaca.
>>ind<< I'm reading.	Saya sedang membaca.
>>ind<< I'm serious.	Aku serius.
>>ind<< I'm starved.	Aku kelaparan.
>>ind<< I'm thirsty.	Aku haus.
>>ind<< I'm too fat.	Aku terlalu gemuk.
>>ind<< I've agreed.	Kami sudah setuju.
>>ind<< I've failed.	Aku sudah gagal.
>>ind<< I've failed.	Aku telah gagal.
>>ind<< Is Tom next?	Apakah Tom berikutnya?
>>ind<< Is Tom sick?	Apa Tom sakit?
>>ind<< Is Tom well?	Apa Tom sehat?
>>ind<< It can't be!	Tidak mungkin!
>>ind<< It may rain.	Mungkin akan turun hujan.
>>ind<< It's 50 yen.	Harganya 50 yen.
>>ind<< It's a joke.	Bercanda.
>>ind<< It's a moth.	Itu ngengat.
>>ind<< It's a ring.	Itu cincin.
>>ind<< It's enough.	Sudah cukup.
>>ind<< It's nearby.	Itu dekat.
>>ind<< It's purple.	Warnanya ungu.
>>ind<< It's secret.	Itu rahasia.
>>ind<< Let's begin.	Mari kita mulai.
>>ind<< Let's do it!	Mari kita melakukannya!
>>ind<< Let's do it!	Mari kita lakukan!
>>ind<< Let's do it.	Mari kita lakukan.
>>ind<< Let's do it.	Mari kita melakukannya.
>>ind<< Let's party.	Mari berpesta.
>>ind<< Let's start!	Mari, kita mulai!
>>ind<< Let's start.	Mari kita mulai.
>>ind<< Look at Tom.	Lihatlah ke arah Tom.
>>ind<< Make a fist.	Kepalkan tangan Anda.
>>ind<< Many thanks.	Terima kasih banyak.
>>ind<< Many thanks.	Makasih banyak.
>>ind<< My dog died.	Anjingku mati.
>>ind<< Nobody came.	Tidak ada yang datang.
>>ind<< OK, you win.	Oke, kamu menang.
>>ind<< OK, you win.	Baiklah, kamu menang.
>>ind<< OK. I agree.	Oke, aku setuju.
>>ind<< Please stop!	Tolong berhenti!
>>ind<< Please stop.	Tolong berhenti.
>>ind<< Say goodbye.	Ucapkan selamat tinggal.
>>ind<< She blushed.	Ia tersipu malu.
>>ind<< She fainted.	Dia pingsan.
>>ind<< She is dead.	Dia sudah mati.
>>ind<< She's crazy.	Dia gila.
>>ind<< Stand still!	Diam di situ!
>>ind<< Stay seated.	Tetaplah duduk.
>>ind<< Take a rest.	Istirahatlah.
>>ind<< Take a seat.	Duduklah.
>>ind<< That's life.	Begitulah hidup.
>>ind<< That's milk.	Itu susu.
>>ind<< That's tofu.	Itu tahu.
>>ind<< That's true.	Itu benar.
>>ind<< They agreed.	Mereka setuju.
>>ind<< They hugged.	Mereka saling berpelukan.
>>ind<< They hugged.	Mereka berpelukan.
>>ind<< They kissed.	Mereka berciuman.
>>ind<< They saw me.	Mereka melihatku.
>>ind<< This is Tom.	Ini Tom.
>>ind<< This is big.	Ini besar.
>>ind<< This is ice.	Ini es.
>>ind<< This is odd.	Ini aneh.
>>ind<< Tom blinked.	Tom berkedip.
>>ind<< Tom fainted.	Tom pingsan.
>>ind<< Tom gave up.	Tom menyerah.
>>ind<< Tom is bald.	Tom botak.
>>ind<< Tom is cool.	Tom itu keren.
>>ind<< Tom is deaf.	Tom tuli.
>>ind<< Tom is evil.	Tom jahat.
>>ind<< Tom is fast.	Tom cepat.
>>ind<< Tom is meek.	Tom lemah lembut.
>>ind<< Tom is nuts.	Tom gila.
>>ind<< Tom is rich.	Tom kaya.
>>ind<< Tom is rude.	Tom adalah seorang yang kasar.
>>ind<< Tom is sexy.	Tom seksi.
>>ind<< Tom listens.	Tom mendengarkan.
>>ind<< Tom mumbled.	Tom bergumam.
>>ind<< Tom mumbles.	Tom bergumam.
>>ind<< Tom shouted.	Tom berteriak.
>>ind<< Tom slipped.	Tom terpeleset.
>>ind<< Tom teaches.	Tom mengajar.
>>ind<< Tom tripped.	Tom tersandung.
>>ind<< Tom vomited.	Tom muntah.
>>ind<< Tom's crazy.	Tom gila.
>>ind<< Tom's dying.	Tom sekarat.
>>ind<< Tom's flaky.	Tom itu suka berpangku tangan.
>>ind<< Tom's right.	Tom benar.
>>ind<< Tom's wrong.	Tom salah.
>>ind<< Turn on CNN.	Nyalakan CNN.
>>ind<< We can meet.	Kita bisa bertemu.
>>ind<< We help Tom.	Kami membantu Tom.
>>ind<< We know him.	Kami mengenalnya.
>>ind<< We'll fight.	Kita akan bertarung.
>>ind<< What a bore!	Membosankan sekali!
>>ind<< What a pity!	Sayang sekali!
>>ind<< What is art?	Apa itu seni?
>>ind<< What's that?	Itu apa?
>>ind<< What's this?	Ini apa?
>>ind<< What's this?	Apa ini?
>>ind<< Where is he?	Di mana dia?
>>ind<< Who are you?	Kamu siapa?
>>ind<< Who are you?	Siapa kamu?
>>ind<< Who drew it?	Siapa yang menggambar itu?
>>ind<< Who is next?	Berikutnya siapa?
>>ind<< Who is that?	Siapa itu?
>>ind<< Who said it?	Siapa yang mengatakan itu?
>>ind<< Who's older?	Siapa yang lebih tua?
>>ind<< Whose is it?	Itu punya siapa?
>>ind<< You're free.	Anda bebas.
>>ind<< You're safe.	Kalian selamat.
>>ind<< You're sick!	Kamu sakit!
>>ind<< You're thin.	Kamu kurus.
>>ind<< Are we ready?	Apakah kita siap?
>>ind<< Are you cold?	Kamu kedinginan?
>>ind<< Are you home?	Apa kamu ada di rumah?
>>ind<< Are you lame?	Apa kau pincang?
>>ind<< Are you okay?	Kamu tidak apa-apa?
>>ind<< Are you sure?	Apakah kamu yakin?
>>ind<< Are you sure?	Apakah Anda yakin?
>>ind<< Are you sure?	Apa kau yakin?
>>ind<< Blood is red.	Darah itu merah.
>>ind<< Blood is red.	Darah berwarna merah.
>>ind<< Cut that out!	Hentikan itu!
>>ind<< Do you agree?	Apakah kamu setuju?
>>ind<< Do you agree?	Apakah Anda setuju?
>>ind<< Do you agree?	Apakah kalian setuju?
>>ind<< Don't ask me.	Jangan tanya aku.
>>ind<< Don't be shy.	Jangan malu.
>>ind<< Don't go yet.	Jangan pergi dulu.
>>ind<< Don't hit me.	Jangan pukul aku.
>>ind<< Don't kid me!	Jangan mempermainkanku!
>>ind<< Everyone ate.	Semua orang makan.
>>ind<< Find the cat.	Temukan kucing itu.
