>>hrv<< Who?	Tko?
>>hrv<< Gardening is fun.	Vrtlarenje je zabavno.
>>hrv<< Give Tom a drink.	Daj Tomu piće.
>>hrv<< Here is your bag.	Evo tvoje torbe.
>>hrv<< How embarrassing!	Kakva sramota!
>>hrv<< How is your life?	Kako ti ide u životu?
>>hrv<< I agree with you.	Slažem se s vama.
>>hrv<< I don't exercise.	Ne vježbam.
>>hrv<< I found my shoes.	Našao sam svoje cipele.
>>hrv<< I had to see you.	Morao sam te vidjeti.
>>hrv<< I had to see you.	Morala sam te vidjeti.
>>hrv<< I have a problem.	Imam problem.
>>hrv<< I know your name.	Znam tvoje ime.
>>hrv<< I locked my bike.	Zaključao sam bicikl.
>>hrv<< I love this song.	Volim ovu pjesmu.
>>hrv<< I made a mistake.	Napravio sam jednu grešku.
>>hrv<< I trust religion.	Vjerujem religiji.
>>hrv<< I want you to go.	Hoću da odeš.
>>hrv<< I'm not a doctor.	Ja nisam liječnik.
>>hrv<< I'm proud of you.	Ponosan sam na tebe.
>>hrv<< Is that your car?	Je li to tvoj automobil?
>>hrv<< It can't be true.	To ne može biti istina.
>>hrv<< Make your choice.	Odluči se.
>>hrv<< Maybe Tom forgot.	Možda je Tom zaboravio.
>>hrv<< No pain, no gain.	Bez muke nema nauke.
>>hrv<< She is no beauty.	Ona nije ljepotica.
>>hrv<< She is very wise.	Ona je vrlo mudra.
>>hrv<< That makes sense.	To ima smisla.
>>hrv<< The box is empty.	Kutija je prazna.
>>hrv<< This is evidence.	Ovo je dokaz.
>>hrv<< This is the norm.	To je norma.
>>hrv<< Tom has a guitar.	Tom ima gitaru.
>>hrv<< Tom is Mary's ex.	Tom je Maryn bivši.
>>hrv<< What do you have?	Što imaš?
>>hrv<< What do you like?	Što voliš?
>>hrv<< What do you want?	Što voliš?
>>hrv<< What woke you up?	Što te je probudilo.
>>hrv<< Will you join us?	Hoćeš li nam se pridružiti?
>>hrv<< You can't buy me.	Ne možeš me kupiti.
>>hrv<< You may be right.	Mogao bi imati pravo.
>>hrv<< You may go there.	Možeš ići tamo.
>>hrv<< Champagne, please.	Šampanjac, molim.
>>hrv<< Come and sit down.	Dođi i sjedni.
>>hrv<< Do you want bread?	Hoćeš li kruha?
>>hrv<< Don't shout at me.	Ne viči na mene.
>>hrv<< Don't shout at me.	Ne deri se na mene.
>>hrv<< Everybody laughed.	Svi su se nasmijali.
>>hrv<< Everybody laughed.	Svi su se smijali.
>>hrv<< He cannot stop us.	On nas ne može zaustaviti.
>>hrv<< He killed himself.	Ubio se.
>>hrv<< I admit I'm wrong.	Priznajem da sam u krivu.
>>hrv<< I can't be bribed.	Ne mogu se podmititi.
>>hrv<< I don't want meat.	Ne želim meso.
>>hrv<< I hate mosquitoes.	Mrzim komarce.
>>hrv<< I like this music.	Sviđa mi se ova glazba.
>>hrv<< I want a new bike.	Hoću novi bicikl.
>>hrv<< I wanted to do it.	Htio sam to napraviti.
>>hrv<< I'm not your baby.	Ja nisam tvoje dijete.
>>hrv<< It cannot be true.	To ne može biti istina.
>>hrv<< It isn't a threat.	To nije prijetnja.
>>hrv<< Life is beautiful.	Život je lijep.
>>hrv<< She was very busy.	Bila je jako zauzeta.
>>hrv<< Silence is golden.	Šutnja je zlato!
>>hrv<< That won't happen.	To se neće dogoditi.
>>hrv<< The house is cold.	Kuća je hladna.
>>hrv<< The room is empty.	Soba je prazna.
>>hrv<< Think about death.	Razmisli o smrti.
>>hrv<< This is delicious.	Ovo je ukusno.
>>hrv<< Tom is a mechanic.	Tom je mehaničar.
>>hrv<< Tom's comfortable.	Tomu je ugodno.
>>hrv<< We believe in God.	Vjerujemo u Boga.
>>hrv<< We met last night.	Noćas smo se sreli.
>>hrv<< We need more eggs.	Trebamo više jaja.
>>hrv<< What's the number?	Koji broj?
>>hrv<< Where do you live?	Gdje stanuješ?
>>hrv<< Which tooth hurts?	Koji te zub boli?
>>hrv<< Who's that maniac?	Tko je taj luđak?
>>hrv<< Who's that maniac?	Tko je taj manijak?
>>hrv<< Why are you alone?	Zašto ste sami?
>>hrv<< You are a teacher.	Ti si učitelj.
>>hrv<< You stole my idea.	Ukrao si mi ideju.
>>hrv<< You stole my idea.	Ukrala si mi ideju.
>>hrv<< You stole my idea.	Ukrali ste mi ideju.
>>hrv<< You work too hard.	Radiš previše.
>>hrv<< Your house is big.	Tvoja kuća je velika.
>>hrv<< Your house is big.	Vaša kuća je velika.
>>hrv<< Could this be love?	Je li moguće da je ovo ljubav?
>>hrv<< Did Tom eat dinner?	Je li Tom jeo večeru?
>>hrv<< Do you really know?	Da li zaista znaš?
>>hrv<< Does it taste good?	Je li fino?
>>hrv<< Easy come, easy go.	Kako došlo, tako prošlo.
>>hrv<< I can do it myself.	Mogu to i sama!
>>hrv<< I can do it myself.	Mogu sama.
>>hrv<< I don't read books.	Ne čitam knjige.
>>hrv<< I feel like crying.	Plače mi se.
>>hrv<< I have one brother.	Imam jednog brata.
>>hrv<< I just took a bath.	Tek sam se okupao.
>>hrv<< I like that answer.	Sviđa mi se taj odgovor.
>>hrv<< I need more coffee.	Trebam još kave.
>>hrv<< I should do it now.	Trebao bih to učiniti sada.
>>hrv<< I want a boyfriend.	Želim dečka.
>>hrv<< I'm angry with you.	Ljutim se na tebe.
>>hrv<< I'm drinking water.	Pijem vodu.
>>hrv<< I've already tried.	Već sam pokušao.
>>hrv<< I've already tried.	Već sam pokušala.
>>hrv<< I've got a problem.	Imam problem.
>>hrv<< It is Monday today.	Danas je ponedjeljak.
>>hrv<< She cannot stop us.	Ona nas ne može zaustaviti.
>>hrv<< She is very pretty.	Ona je veoma lijepa.
>>hrv<< Something happened.	Nešto se dogodilo.
>>hrv<< That can't be true.	To ne može biti istina.
>>hrv<< That's really good.	To je zaista dobro.
>>hrv<< The coffee is cold.	Kava je hladna.
>>hrv<< This can't be true.	To ne može biti istina.
>>hrv<< Tom drives a truck.	Tom vozi kamion.
>>hrv<< Tom enjoys fishing.	Tom uživa u ribolovu.
>>hrv<< Tom has to be here.	Tom mora biti ovdje.
>>hrv<< Tom is my roommate.	Tom je moj cimer.
>>hrv<< Tom lifted the box.	Tom je podignuo kutiju.
>>hrv<< We need more flour.	Trebamo više brašna.
>>hrv<< What are you doing?	Što radiš?
>>hrv<< Where's the coffee?	Gdje je kava?
>>hrv<< Where's the museum?	Gdje se nalazi muzej?
>>hrv<< Who's your teacher?	Tko je tvoj učitelj?
>>hrv<< Why can't you come?	Zašto ne možeš doći?
>>hrv<< You are very brave.	Vrlo si hrabar.
>>hrv<< You can study here.	Možeš učiti ovdje.
>>hrv<< You look very pale.	Izgledaš vrlo blijedo.
>>hrv<< You taught us that.	Ti si nas to naučio.
>>hrv<< You taught us that.	Ti si nas to naučila.
>>hrv<< You taught us that.	Vi ste nas to naučili.
>>hrv<< Can you reach those?	Možeš li ih dohvatiti?
>>hrv<< Do you speak French?	Govoriš li francuski?
>>hrv<< Has Tom gone insane?	Je li Tom poludio?
>>hrv<< He is clever indeed.	Stvarno je pametan.
>>hrv<< He was born in Ohio.	Rodio se u Ohiu.
>>hrv<< How old is your car?	Koliko je star tvoj auto?
>>hrv<< I don't read novels.	Ne čitam romane.
>>hrv<< I don't read poetry.	Ne čitam poeziju.
>>hrv<< I don't take bribes.	Ne primam mito.
>>hrv<< I feel like singing.	Pjeva mi se.
>>hrv<< I have to go to bed.	Moram ići u krevet.
>>hrv<< I like your glasses.	Sviđaju mi se tvoje naočale.
>>hrv<< I need a translator.	Trebam prevoditelja.
>>hrv<< I want you to guess.	Želim da pogađaš.
>>hrv<< I want you to guess.	Želim da pogodiš.
>>hrv<< I want your opinion.	Želim tvoje mišljenje.
>>hrv<< I will be back soon.	Uskoro se vraćam.
>>hrv<< I'm not judging you.	Ne sudim te.
>>hrv<< Let the games begin.	Neka igre počnu!
>>hrv<< Please accompany me.	Molim te pođi samnom.
>>hrv<< Please accompany me.	Molim te otprati me.
>>hrv<< Please accompany me.	Molim te radi mi društvo.
>>hrv<< She gave up smoking.	Prestala je pušiti.
>>hrv<< She held her breath.	Držala je dah.
>>hrv<< She stopped smoking.	Prestala je pušiti.
>>hrv<< She stopped to talk.	Prestala je govoriti.
>>hrv<< She studies English.	Ona studira engleski.
>>hrv<< She's my first love.	Ona je moja prva ljubav.
>>hrv<< Technology can help.	Tehnologija može pomoći.
>>hrv<< That cannot be true.	To ne može biti istina.
>>hrv<< That's a nice shirt.	To je lijepa košulja.
>>hrv<< The bell is ringing.	Zvoni zvono.
>>hrv<< They didn't know me.	Nisu me znali.
>>hrv<< They recognized Tom.	Prepoznali su Toma.
>>hrv<< They're good people.	Oni su dobri ljudi.
>>hrv<< Tom has no siblings.	Tom nema braće ni sestara.
>>hrv<< Tom is already here.	Tom je već tamo.
>>hrv<< We didn't play well.	Nismo dobro igrali.
>>hrv<< We had an oral exam.	Imali smo usmeni ispit.
>>hrv<< What did you answer?	Što si odgovorio?
>>hrv<< What do you suggest?	Što ti predlažeš?
>>hrv<< When will you leave?	Kada odlaziš?
>>hrv<< Where is the museum?	Gdje se nalazi muzej?
>>hrv<< Where were you born?	Gdje si rođena?
>>hrv<< Who bought you this?	Tko ti je kupio ovo?
>>hrv<< Who is your teacher?	Tko je tvoj učitelj?
>>hrv<< Why are we laughing?	Zašto se smijemo?
>>hrv<< Why are we laughing?	Zašto se mi smijemo?
>>hrv<< You can come in now.	Sad možeš doći.
>>hrv<< You have three cats.	Imate tri mačke.
>>hrv<< You sound surprised.	Zvučiš začuđeno.
>>hrv<< You sound surprised.	Zvučite začuđeno.
>>hrv<< All we need is water.	Sve što trebamo je voda.
>>hrv<< Are your hands clean?	Jesu li ti ruke čiste?
>>hrv<< Can you speak French?	Govoriš li francuski?
>>hrv<< Did you bring coffee?	Jesi li donio kavu?
>>hrv<< Did you bring coffee?	Jesi li donijela kavu?
>>hrv<< Do you have any news?	Imaš li novosti?
>>hrv<< Do you speak English?	Govorite li engleski?
>>hrv<< Do you study English?	Učiš li engleski?
>>hrv<< Don't be so childish.	Ne budi tako djetinjast.
>>hrv<< Have you finished it?	Jesi li završio?
>>hrv<< He says he will come.	On kaže da će doći.
>>hrv<< He was badly wounded.	Bio je strašno ranjen.
>>hrv<< How deep is the lake?	Koliko duboko je to jezero?
>>hrv<< How much is this tie?	Koliko košta ta kravata?
>>hrv<< How old is this book?	Koliko je stara ova knjiga?
>>hrv<< I am afraid of death.	Ja se bojim smrti.
>>hrv<< I bought an old lamp.	Kupio sam staru lampu.
>>hrv<< I brought you coffee.	Donio sam ti kavu.
>>hrv<< I brought you coffee.	Donijela sam ti kavu.
>>hrv<< I feel like vomiting.	Povraća mi se.
>>hrv<< I have good eyesight.	Imam dobar vid.
>>hrv<< I just had breakfast.	Upravo sam dovršio doručak.
>>hrv<< I need a larger room.	Trebami veća soba.
>>hrv<< I never saw his face.	Nisam mu nikad vidio lice.
>>hrv<< I think you're right.	Mislim da si u pravu.
>>hrv<< I was kidding before.	Šalio sam se prije.
>>hrv<< I'll be glad to come.	Biti će mi drago doći.
>>hrv<< I'm feeling fine now.	Osjećam se dobro sada.
>>hrv<< It's scary down here.	Strašno je ovdje dolje.
>>hrv<< It's time for a bath.	Vrijeme je za kupanje.
>>hrv<< Mary had a face-lift.	Mary je napravila face-lift.
>>hrv<< May I speak with Tom?	Smijem li pričati s Tomom?
>>hrv<< May I use your phone?	Mogu li se poslužiti tvojim telefonom?
>>hrv<< My skirt is too long.	Moja suknja je predugačka.
>>hrv<< She's very beautiful.	Ona je veoma lijepa.
>>hrv<< Sign above this line.	Potpiši se iznad ove crte.
>>hrv<< Sign above this line.	Potpišite se iznad ove crte.
>>hrv<< Sumatra is an island.	Sumatra je otok.
>>hrv<< That makes it easier.	Sad je jednostavnije.
>>hrv<< That makes it easier.	To ga čini jednostanijim.
>>hrv<< They are good people.	Oni su dobri ljudi.
>>hrv<< This must be changed.	To se mora promijeniti.
>>hrv<< Those are nice pants.	To su lijepe hlače.
>>hrv<< Those are nice shoes.	To su lijepe cipele.
>>hrv<< Tom broke the window.	Tom je polupao prozor.
>>hrv<< Tom didn't answer me.	Tom mi nije odgovorio.
>>hrv<< Tom is a connoisseur.	Tom je znalac.
>>hrv<< Tom is gaining on us.	Tom nas sustiže.
>>hrv<< Tom isn't very happy.	Tom nije baš zadovoljan.
>>hrv<< Tom may have seen it.	Tom je možda to vidio.
>>hrv<< Tom wasn't very good.	Tom nije bio jako dobar.
>>hrv<< We have to start now.	Moramo odmah sada početi.
>>hrv<< We tried to stop Tom.	Pokušali smo zaustaviti Toma.
>>hrv<< When are you leaving?	Kada odlaziš?
>>hrv<< When's your birthday?	Kada je tvoj rođendan?
>>hrv<< Where's your head at?	Gdje ti je glava?
>>hrv<< Why are you so smart?	Zašto si tako pametan?
>>hrv<< Why are you so smart?	Zašto si tako pametna?
>>hrv<< Women like attention.	Žene vole pozornost.
>>hrv<< You look happy today.	Izgledaš sretno danas.
>>hrv<< You sound very young.	Zvučiš veoma mlad.
>>hrv<< Your answer is right.	Tvoj odgovor je točan.
>>hrv<< Your answer is wrong.	Tvoj odgovor je netočan.
>>hrv<< Do you know them both?	Znaš li ih oboje?
>>hrv<< Eat whatever you like.	Jedite što hoćete.
>>hrv<< He gets a good salary.	On dobro zarađuje.
>>hrv<< He is washing the car.	On pere auto.
>>hrv<< He knows who they are.	Tko zna tko su oni.
>>hrv<< He looked quite tired.	Izgledao je prilično umorno.
>>hrv<< His life is in danger.	Život mu je u opasnosti.
>>hrv<< His life is in danger.	Njegov život je u opasnosti.
>>hrv<< I admire your courage.	Volim tvoju hrabrost.
>>hrv<< I don't have a ticket.	Nemam kartu.
>>hrv<< I go to school by bus.	Ja idem u školu autobusom.
>>hrv<< I go to school by bus.	Idem u školu autobusom.
>>hrv<< I have an old bicycle.	Imam stari bicikl.
>>hrv<< I have to go to sleep.	Moram ići spavati.
>>hrv<< I like playing tennis.	Volim igrat tenis.
>>hrv<< I never liked biology.	Nikad nisam volio biologiju.
>>hrv<< I never liked biology.	Nikad nisam voljela biologiju.
>>hrv<< I was hardly prepared.	Nisam baš bio spreman.
>>hrv<< I'm leaving it to you.	Ostavljam ti to.
>>hrv<< Is your watch correct?	Je li tvoj sat točan?
>>hrv<< Like father, like son.	Kakav otac, takav sin.
>>hrv<< My mother loves music.	Moja majka voli glazbu.
>>hrv<< Nobody understands me.	Nitko me ne razumije.
>>hrv<< Pass the salt, please.	Možeš li mi dodati sol?
>>hrv<< She always works hard.	Ona uvijek marljivo radi.
>>hrv<< She decided not to go.	Odlučila je da ne ide.
>>hrv<< She left her children.	Napustila je svoju djecu.
>>hrv<< That smells delicious.	To miriše ukusno.
>>hrv<< That's a nice sweater.	To je lijep džemper.
>>hrv<< The situation is dire.	Situacija je hitna.
>>hrv<< They already have one.	Već imaju jedno.
>>hrv<< They already have one.	Već imaju jednog.
>>hrv<< They already have one.	Već imaju jednu.
>>hrv<< They already have one.	Već imaju jedan.
>>hrv<< Tom teaches me French.	Tom me uči francuski.
>>hrv<< We need more potatoes.	Trebamo više krumpira.
>>hrv<< We need more tomatoes.	Trebamo više rajčica.
>>hrv<< We watch TV every day.	Gledamo televiziju svaki dan.
>>hrv<< Where are your things?	Gdje su tvoje stvari?
>>hrv<< Who will come with me?	Tko ide sa mnom?
>>hrv<< Why do you want a dog?	Zašto želiš psa?
>>hrv<< You deserve the prize.	Zaslužuješ nagradu.
>>hrv<< You underestimate Tom.	Podcjenjuješ Toma.
>>hrv<< You'll never be alone.	Nikada nećeš biti sam.
>>hrv<< Better late than never.	Bolje ikad nego nikad.
>>hrv<< Did Tom give it to you?	Je li ti to Tom dao?
>>hrv<< Does she have children?	Ima li ona dijece?
>>hrv<< He knocked at the door.	Kucao je na vrata.
>>hrv<< I don't have any money.	Nemam novaca.
>>hrv<< I have to go to school.	Moram ići u školu.
>>hrv<< I should exercise more.	Trebao bih vježbati više.
>>hrv<< I was in the mountains.	Bio sam na planinama.
>>hrv<< I went to the hospital.	Otišao sam u bolnicu.
>>hrv<< I'll be back next week.	Vratit ću se sljedeći tjedan.
>>hrv<< I'm soaked to the bone.	Promočio sam do kože.
>>hrv<< I've worn out my shoes.	Iznosio sam svoje cipele.
>>hrv<< Is this where Tom sits?	Je li ovo mjesto gdje Tom sjedi?
>>hrv<< It rained hard all day.	Čitav dan je kiša pljuštala.
>>hrv<< It's impossible to fix.	Nemoguće je popraviti.
>>hrv<< Just follow your heart.	Jednostavno slijedi svoje srce.
>>hrv<< Mind your own business!	Gledaj svoje poslove!
>>hrv<< My cholesterol is high.	Moj kolesterol je visok.
>>hrv<< My hair is light brown.	Moja kosa je svjetlosmeđa.
>>hrv<< My shirt isn't dry yet.	Moja majica još nije suha.
>>hrv<< Rabbits have long ears.	Kunići imaju duga uha.
>>hrv<< She is afraid of death.	Ona se boji smrti.
>>hrv<< The weather stayed bad.	Vrijeme ostaje loše.
>>hrv<< There's no one missing.	Jedan nedostaje.
>>hrv<< They're digging a hole.	Oni kopaju rupu.
>>hrv<< This may hurt a little.	Ovo će možda malo zaboliti.
>>hrv<< This rose is beautiful.	Ova ruža je lijepa.
>>hrv<< Tom has a great memory.	Tom ima odlično pamćenje.
>>hrv<< Tom is walking his dog.	Tom šeta svoga psa.
>>hrv<< Tom remained skeptical.	Tom je ostao skeptičan.
>>hrv<< Tom, we have a problem.	Tome, imamo problem.
>>hrv<< We live in the suburbs.	Mi živimo u predgrađu.
>>hrv<< When do you want to go?	Kada želiš ići?
>>hrv<< Where do you live, Tom?	Zašto živiš, Tome?
>>hrv<< Why can't animals talk?	Zašto životinje ne mogu pričati?
