>>nds<< Run!	Loop!
>>nds<< Just do it.	Do dat doch.
>>nds<< Let me die.	Laat mi starven.
>>nds<< No comment.	Dor segg ik nix to.
>>nds<< Time flies.	De Tied flüggt.
>>nds<< We're here.	Wi sünd hier.
>>nds<< Where am I?	Woneem bün ik?
>>nds<< Wood burns.	Holt brennt.
>>nds<< Can we talk?	Köönt wi snacken?
>>nds<< Can we talk?	Köönt wi küern?
>>nds<< Can we talk?	Köönt wi praten?
>>nds<< Cook for me.	Kaak för mi.
>>nds<< Don't leave!	Gah nich weg!
>>nds<< He can swim.	He kann swemmen.
>>nds<< I am taller.	Ik bün grötter.
>>nds<< I bought it.	Ik heff dat köfft.
>>nds<< I can't fly.	Ik kann nich flegen.
>>nds<< I feel cold.	Mi is koold.
>>nds<< I heard you.	Ik heff di höört.
>>nds<< I know that.	Ik weet dat.
>>nds<< I like cats.	Ik mag Katten.
>>nds<< I like fish.	Ik mag geern Fisch.
>>nds<< I live here.	Ik leev hier.
>>nds<< I need help.	Ik bruuk Hülp.
>>nds<< I thank you.	Ik dank di.
>>nds<< I trust you.	Ik vertroo di.
>>nds<< I was tired.	Ik weer mööd.
>>nds<< I'm a baker.	Ik bün Bäcker.
>>nds<< I'm a woman.	Ik bün en Froo.
>>nds<< I'm at home.	Ik bün tohuus.
>>nds<< Is he right?	Hett he recht?
>>nds<< Is it white?	Is dat witt?
>>nds<< Is it yours?	Is dat dien?
>>nds<< Is she gone?	Is se weg?
>>nds<< It may rain.	Villicht regent dat.
>>nds<< It may snow.	Villicht sneet dat.
>>nds<< Many thanks.	Velen Dank!
>>nds<< She bit him.	Se hett em beten.
>>nds<< We are here.	Wi sünd hier.
>>nds<< What's love?	Wat is Leevd?
>>nds<< Where is he?	Woneem is he?
>>nds<< Whose is it?	’Keen sien is dat?
>>nds<< You are mad.	Du büst mallerig.
>>nds<< Are you dead?	Büst du dood?
>>nds<< Bring him in.	Bring em rin.
>>nds<< Do you smoke?	Smöökst du?
>>nds<< Do you smoke?	Smöökt ji?
>>nds<< Does it work?	Klappt dat?
>>nds<< Good morning.	Goden Morgen.
>>nds<< Happy Easter!	Frohe Oostern!
>>nds<< He is a poet.	He is en Dichter.
>>nds<< He is chubby.	He is wat pummelig.
>>nds<< I don't know.	Weet ik nich.
>>nds<< I drank milk.	Ik drünk Melk.
>>nds<< I go to work.	Ik gah na Arbeid.
>>nds<< I have a car.	Ik heff en Auto.
>>nds<< I have a dog.	Ik heff en Hund.
>>nds<< I see a lion.	Ik seh en Lööw.
>>nds<< I'm a coward.	Ik bün en Bangbüx.
>>nds<< I'm a doctor.	Ik bün Dokter.
>>nds<< I'm new here.	Ik bün nee hier.
>>nds<< I'm not well.	Mi geiht dat slecht.
>>nds<< I'm so tired!	Ik bün so mööd!
>>nds<< It's raining.	Dat regent.
>>nds<< It's snowing.	Dat sneet.
>>nds<< Life is hard.	Dat Leven is hart.
>>nds<< Life's short.	Dat Leven is kort.
>>nds<< Move quietly.	Beweeg di sachten.
>>nds<< My feet hurt.	Mien Fööt doot weh.
>>nds<< See you soon!	Seh to!
>>nds<< Shame on you!	Du schusst di wat schamen!
>>nds<< She is a fox.	Se is en Voss.
>>nds<< She stood up.	Se stünn op.
>>nds<< She sued him.	Se hett em verklaagt.
>>nds<< We are Arabs.	Wi sünd Arabers.
>>nds<< We're people.	Wi sünd Minschen.
>>nds<< What is love?	Wat is Leevd?
>>nds<< What is that?	Wat is dat?
>>nds<< Where are we?	Woneem sünd wi?
>>nds<< Who are they?	Wat sünd dat för welk?
>>nds<< Who is there?	’Keen is dor?
>>nds<< Who will win?	’Keen winnt?
>>nds<< Are you crazy?	Büst du mit ’n Dummbüdel kloppt?
>>nds<< Are you happy?	Büst du blied?
>>nds<< Are you happy?	Büst du tofreden?
>>nds<< Are you tired?	Büst du mööd?
>>nds<< Can you skate?	Kannst du skaten?
>>nds<< Don't give up!	Geev man nich op!
>>nds<< Feed the bird.	Foder den Vagel!
>>nds<< Get a haircut.	Laat di de Hoor snieden.
>>nds<< He killed him.	He hett em ümbröcht.
>>nds<< He's your son.	He is dien Söhn.
>>nds<< Help yourself.	Bedeen di.
>>nds<< How old is he?	Wo oold is he?
>>nds<< I am a Muslim.	Ik bün Muslim.
>>nds<< I am a Muslim.	Ik bün Moslem.
>>nds<< I believe you.	Ik glööv di.
>>nds<< I have a book.	Ik heff en Book.
>>nds<< I have sinned.	Ik heff sünnt.
>>nds<< I like apples.	Ik mag geern Appels.
>>nds<< I like spoons.	Ik mag Löpels.
>>nds<< I owe you one.	Ik bün di een schüllig.
>>nds<< I own a horse.	Mi höört en Peerd to.
>>nds<< I see a house.	Ik seh en Huus.
>>nds<< I want coffee.	Ik will Kaffe.
>>nds<< I'm a student.	Ik bün Student.
>>nds<< I'm an artist.	Ik bün en Künstler.
>>nds<< I'm exhausted.	Ik bün kaputt.
>>nds<< I'm important.	Ik bün wichtig.
>>nds<< I'm on my way.	Ik bün op ’n Weg.
>>nds<< I'm tired now.	Ik bün nu mööd.
>>nds<< Is he correct?	Hett he recht?
>>nds<< It is raining.	Dat regent.
>>nds<< It is too hot.	Dat is to hitt.
>>nds<< It's all over.	Nu is de Aven ut.
>>nds<< It's fall now.	Dat is nu Harvst.
>>nds<< Life is short.	Dat Leven is kort.
>>nds<< Lock the gate.	Sluut dat Door dicht.
>>nds<< My back hurts.	Mien Puckel deit weh.
>>nds<< She helps him.	Se helpt em.
>>nds<< She hired him.	Se hett em instellt.
>>nds<< She wants him.	Se will em.
>>nds<< She was brave.	Se weer dapper.
>>nds<< Speak clearly.	Snack düüdlich.
>>nds<< That can't be.	Dat kann nich wesen.
>>nds<< That's a boat.	Dat is en Boot.
>>nds<< That's a tree.	Dat is en Boom.
>>nds<< That's my cat.	Dat is mien Katt.
>>nds<< The war ended.	De Krieg weer toenn.
>>nds<< The war ended.	De Krieg güng toenn.
>>nds<< This is Japan.	Dat hier is Japan.
>>nds<< This is my CD.	Dat is mien CD.
>>nds<< What happened?	Wat is passeert?
>>nds<< Where are you?	Woneem büst du?
>>nds<< Who said that?	’Keen hett dat seggt?
>>nds<< You are drunk!	Du büst duun!
>>nds<< You look good.	Du süst good ut.
>>nds<< You look sick.	Du süst krank ut.
>>nds<< You need this.	Du bruukst dit.
>>nds<< You're pretty.	Du büst smuck.
>>nds<< Are you hungry?	Hest du Hunger?
>>nds<< Close the door.	Maak de Döör dicht.
>>nds<< Close the gate.	Maak dat Door dicht.
>>nds<< Come back home.	Kaam trügg na Huus.
>>nds<< Come back soon.	Kaam bald wedder.
>>nds<< Dinner's ready.	Avendeten is trech.
>>nds<< Do tigers purr?	Snurrt Tigers?
>>nds<< Don't complain.	Jabbel nich.
>>nds<< Don't complain.	Jammer nich.
>>nds<< Don't say that.	Segg dat nich.
>>nds<< Everybody lies.	Elkeen lüggt.
>>nds<< Happy New Year!	Proost Neejohr!
>>nds<< He learns fast.	He lehrt gau.
>>nds<< He lives alone.	He leevt alleen.
>>nds<< He went abroad.	He güng na ’t Butenland.
>>nds<< He worked hard.	He deed hart arbeiden.
>>nds<< He's no doctor.	He is keen Dokter.
>>nds<< How deep is it?	Wo deep is dat?
>>nds<< How much is it?	Wat köst dat?
>>nds<< How much is it?	Woveel köst dat?
>>nds<< I bike to work.	Ik föhr mit ’t Rad na Arbeid.
>>nds<< I broke my leg.	Ik heff mi dat Been braken.
>>nds<< I did it alone.	Ik heff dat alleen maakt.
>>nds<< I dislike eggs.	Ik mag Eier nich geern.
>>nds<< I drink coffee.	Ik drink Kaffe.
>>nds<< I have a dream.	Ik heff en Droom.
>>nds<< I like mahjong.	Ik mag Mahjong.
>>nds<< I need a stamp.	Ik bruuk en Breevmark.
>>nds<< I need friends.	Ik bruuk Frünnen.
>>nds<< I own this car.	Dat Auto höört mi to.
>>nds<< I was captured.	Ik bün fungen worrn.
>>nds<< I wasn't drunk.	Ik weer nich duun.
>>nds<< I'll come back.	Ik kaam wedder.
>>nds<< I'm a free man.	Ik bün en free Mann.
>>nds<< I'm a nice guy.	Ik bün en netten Keerl.
>>nds<< I'm eating now.	Ik eet jüst.
>>nds<< I'm going back.	Ik gah trügg.
>>nds<< I'm not crying.	Ik ween nich.
>>nds<< I'm not hiding.	Ik versteek mi nich.
>>nds<< I'm used to it.	Ik bün dat wennt.
>>nds<< It was a mouse.	Dat weer en Muus.
>>nds<< It's brand new.	Dat is splinternee.
>>nds<< It's hot today.	Dat is hitt vondaag.
>>nds<< Keep listening.	Höör wieder to.
>>nds<< No, not at all.	Nee, gornich.
>>nds<< Now I remember.	Nu weet ik wedder.
>>nds<< Open your eyes.	Maak dien Ogen apen.
>>nds<< Shall we dance?	Schöölt wi dansen?
>>nds<< She choked him.	Se hett em wörgt.
>>nds<< She fooled him.	Se hett em narrt.
>>nds<< She helped him.	Se hett em hulpen.
>>nds<< She hugged him.	Se hett em drückt.
>>nds<< She kicked him.	Se hett em peddt.
>>nds<< She kissed him.	Se hett em küsst.
>>nds<< She misses him.	Se misst em.
>>nds<< She trusts him.	Se vertroot em.
>>nds<< She's not here.	Se is nich hier.
>>nds<< That's a table.	Dat is en Disch.
>>nds<< That's chicken.	Dat is Hohn.
>>nds<< That's rubbish.	Dat is Tüdelkraam.
>>nds<< That's the law.	Dat is dat Gesett.
>>nds<< The man is old.	De Mann is oold.
>>nds<< The roof leaks.	Dat Dack leekt.
>>nds<< They're inside.	De sünd binnen.
>>nds<< This annoys me.	Dat argert mi.
>>nds<< This is broken.	Dat is kaputt.
>>nds<< This is simple.	Dat is eenfach.
>>nds<< This was a lie.	Dat weer en Löög.
>>nds<< Try this candy.	Prööv disse Snökeree.
>>nds<< Wash your face.	Wasch di dat Gesicht.
>>nds<< Wash your feet.	Wasch dien Fööt.
>>nds<< We're students.	Wi sünd Studenten.
>>nds<< What a big dog!	Wat ’n groten Hund!
>>nds<< What do I need?	Wat bruuk ik?
>>nds<< Where were you?	Woneem weren ji?
>>nds<< Who's this guy?	’Keen is disse Fent?
>>nds<< Who's this guy?	’Keen is dissen Keerl?
>>nds<< You're correct.	Du hest recht.
>>nds<< A fish can swim.	En Fisch kann swemmen.
>>nds<< Are these yours?	Sünd dat dien?
>>nds<< Are you married?	Büst du verheiraadt?
>>nds<< Black suits you.	Swart steiht di.
>>nds<< Can you help me?	Kannst du mi helpen?
>>nds<< Do you know her?	Du kennst ehr?
>>nds<< Do you know him?	Kennst du em?
>>nds<< Do you remember?	Kannst du di besinnen?
>>nds<< Do you think so?	Meenst du dat?
>>nds<< Don't look back.	Kiek nich trügg.
>>nds<< Don't tell lies.	Vertell keen Lögen.
>>nds<< Enjoy your meal!	Goden Aptiet!
>>nds<< He began to cry.	He füng an to wenen.
>>nds<< He began to run.	He füng dat Rennen an.
>>nds<< He can run fast.	He kann hart lopen.
>>nds<< He has ten cows.	He hett teihn Keih.
>>nds<< He has two cats.	He hett twee Katten.
>>nds<< He is a teacher.	He is Schoolmeester.
>>nds<< He just arrived.	He is jüst ankamen.
>>nds<< He seems hungry.	He sütt hungerig ut.
>>nds<< He waved at her.	He hett ehr towunken.
>>nds<< He's over forty.	He is över veertig.
>>nds<< Her father died.	Ehr Vader is doodbleven.
>>nds<< How old are you?	Wo oold büst du?
>>nds<< I don't want it.	Ik will dat nich.
>>nds<< I forgot my key.	Ik heff mien Slötel vergeten.
>>nds<< I get her point.	Ik verstah, wat se meent.
>>nds<< I have brothers.	Ik heff Bröder.
>>nds<< I have no money.	Ik heff keen Geld.
>>nds<< I have to hurry!	Ik mutt mi spoden!
>>nds<< I have two cars.	Ik heff twee Autos.
>>nds<< I hurt my elbow.	Ik heff mi an ’n Ellbagen wehdaan.
>>nds<< I know them all.	Ik kenn jem all.
>>nds<< I like this dog.	Ik mag dissen Hund.
>>nds<< I live in Japan.	Ik leev in Japan.
>>nds<< I love to dance.	Ik dans geern.
>>nds<< I need a hammer.	Ik bruuk en Hamer.
>>nds<< I need the keys.	Ik bruuk de Slötels.
>>nds<< I paid the bill.	Ik heff de Reken betahlt.
>>nds<< I see his house.	Ik seh sien Huus.
>>nds<< I want to sleep.	Ik will slapen.
>>nds<< I was not drunk.	Ik weer nich duun.
>>nds<< I wish you luck.	Ik wünsch di Glück.
>>nds<< I'd like a soda.	Ik harr geern en Bruus.
>>nds<< I'll do my best.	Ik will mien best doon.
>>nds<< I'll pay for it.	Ik betahl dat.
>>nds<< I'm a bit tired.	Ik bün en beten mööd.
>>nds<< I'm a masochist.	Ik bün en Masochist.
>>nds<< I'm able to run.	Ik kann lopen.
>>nds<< I'm almost done.	Ik bün al meist trech.
>>nds<< I'm an engineer.	Ik bün Inschenör.
>>nds<< I'm coming back.	Ik kaam trügg.
>>nds<< I'm helping you.	Ik help di.
>>nds<< Is it important?	Is dat wichtig?
>>nds<< Is this a river?	Is dat en Stroom?
>>nds<< It is necessary.	Dat is nödig.
>>nds<< It snowed a lot.	Dat hett veel sneet.
>>nds<< It's a new book.	Dat is en neet Book.
>>nds<< It's lunch time.	Dat is Middagtied.
>>nds<< It's warm today.	Dat is hitt vondaag.
>>nds<< Jesus loves you.	Jesus hett di geern.
>>nds<< Just believe me.	Glööv mi man.
>>nds<< Keep the change.	Beholl dat Wesselgeld.
>>nds<< Leave it closed.	Laat dat dicht.
>>nds<< Let's turn back.	Laat uns trügggahn.
>>nds<< Life isn't fair.	Dat Leven is nich gerecht.
>>nds<< My dog is white.	Mien Hund is witt.
>>nds<< Put on your cap.	Sett dien Mütz op.
>>nds<< Put on your cap.	Do dien Mütz op.
>>nds<< Say no to drugs.	Segg Nee to Drogen.
>>nds<< She forgave him.	Se hett em vergeven.
>>nds<< She is stubborn.	Se is en Stievkopp.
>>nds<< She lives alone.	Se leevt alleen.
>>nds<< She scolded him.	Se schell em ut.
>>nds<< Spanish is easy.	Spaansch is licht.
>>nds<< Summer has come.	De Sommer is dor.
>>nds<< Tell me a story.	Vertell mi en Dööntje.
>>nds<< That is a table.	Dat is en Disch.
>>nds<< That is her car.	Dat is ehr Auto.
>>nds<< That is his car.	Dat is sien Auto.
>>nds<< The end is nigh.	Dat Enn is nah.
>>nds<< The end is nigh.	Dat Enn is neeg.
>>nds<< The lake is big.	De See is groot.
>>nds<< This book's new.	Dit Book is nee.
>>nds<< This is a horse.	Dit is en Peerd.
>>nds<< This is a hotel.	Dit is en Hotel.
>>nds<< This is my book.	Dat is mien Book.
>>nds<< This is my desk.	Dit is mien Schrievdisch.
>>nds<< Today is Monday.	Vondaag is Maandag.
>>nds<< Tom is a Muslim.	Tom is Muslim.
>>nds<< Tom is a priest.	Tom is Preester.
>>nds<< We are students.	Wi sünd Studenten.
>>nds<< We went to Gifu.	Wi güngen na Gifu.
>>nds<< We're all happy.	Wi sünd all blied.
>>nds<< What did he say?	Wat hett he seggt?
>>nds<< Where is my car?	Woneem is mien Auto?
>>nds<< Where's the zoo?	Woneem is de Zoo?
>>nds<< Why are we here?	Worüm sünd wi hier?
>>nds<< Why did you cry?	Worüm hest du weent?
>>nds<< Why is she here?	Worüm is se hier?
>>nds<< You're a racist.	Du büst en Rassist.
>>nds<< Are they friends?	Sünd se Frünnen?
>>nds<< Are you a wizard?	Büst du en Töverer?
>>nds<< Are you free now?	Hest du nu Tied?
>>nds<< Aren't you tired?	Büst du nich mööd?
>>nds<< Can you find her?	Kannst du ehr finnen?
>>nds<< Come and help us.	Kaam un help uns.
>>nds<< Do you feel sick?	Föhlst du di süük?
>>nds<< Do you trust her?	Vertroost du ehr?
>>nds<< Does it look bad?	Sütt dat slimm ut?
>>nds<< Give me the book.	Geev mi dat Book.
>>nds<< He has long hair.	He hett lang Hoor.
>>nds<< He is his friend.	He is sien Fründ.
>>nds<< He likes oranges.	He mag geern Appelsienen.
>>nds<< He likes to swim.	He swemmt geern.
>>nds<< He played tennis.	He deed Tennis spelen.
>>nds<< He screams a lot.	He schreet veel.
>>nds<< How did he do it?	Woans hett he dat daan?
>>nds<< I am a foreigner.	Ik bün en Butenlandschen.
>>nds<< I am from Russia.	Ik bün ut Russland.
>>nds<< I am not a witch.	Ik bün keen Hex.
>>nds<< I bought the car.	Ik heff dat Auto köfft.
>>nds<< I can't eat meat.	Ik kann keen Fleesch eten.
>>nds<< I can't help you.	Ik kann di nich helpen.
>>nds<< I can't stand it.	Ik kann dat nich verdregen.
>>nds<< I don't allow it.	Ik verlööv dat nich.
>>nds<< I don't know her.	Ik kenn ehr nich.
>>nds<< I don't know him.	Ik kenn em nich.
>>nds<< I don't know you.	Ik kenn di nich.
>>nds<< I don't like tea.	Ik mag nich geern Tee.
>>nds<< I don't like you.	Ik mag di nich.
>>nds<< I found my shoes.	Ik heff mien Schoh funnen.
>>nds<< I have a big dog.	Ik heff en groten Hund.
>>nds<< I have a grenade.	Ik heff en Granaat.
>>nds<< I have few books.	Ik heff nich veel Böker.
>>nds<< I have to go now.	Ik mutt nu weg.
>>nds<< I hear something.	Ik höör wat.
>>nds<< I know your name.	Ik kenn dien Naam.
>>nds<< I need more time.	Ik bruuk mehr Tied.
>>nds<< I see your house.	Ik seh dien Huus.
>>nds<< I swim every day.	Ik swemm elk Dag.
>>nds<< I will shoot him.	Ik warr em doodscheten.
>>nds<< I'm 25 years old.	Ik bün 25 Johr oold.
>>nds<< I'm good at math.	Ik bün good in Mathe.
>>nds<< I'm here for you.	Ik bün för di dor.
>>nds<< I'm on your side.	Ik stah op dien Sied.
>>nds<< I'm still single.	Ik bün noch jümmer Single.
>>nds<< Is the work done?	Is de Arbeid daan?
>>nds<< It costs 2 euros.	Dat köst twee Euro.
>>nds<< It needs washing.	Dat mutt wuschen warrn.
>>nds<< It was very cold.	Dat weer temlich koold.
>>nds<< It's a small dog.	Dat is en lütten Hund.
>>nds<< It's hot in here.	Dat is hitt hier binnen.
>>nds<< It's monkey meat.	Dat is Apenfleesch.
>>nds<< It's windy today.	Dat is vondaag winnig.
>>nds<< Let's have a try.	Laat uns dat versöken.
>>nds<< My eyes are blue.	Mien Ogen sünd blau.
>>nds<< My sunburn hurts.	Mien Sünnbrand deit weh.
>>nds<< No one likes war.	Nüms mag Krieg.
>>nds<< She attacked him.	Se hett em angrepen.
>>nds<< She defeated him.	Se hett em ünnerkregen.
>>nds<< She has dry hair.	Se hett dröög Hoor.
>>nds<< She is very wise.	Se is temlich wies.
>>nds<< She smiled sadly.	Se deed trurig griemeln.
>>nds<< She talked a lot.	Se hett veel snackt.
>>nds<< She waved at him.	Se deed em winken.
>>nds<< Sit at the table.	Sett jo an den Disch.
>>nds<< Tell Dad to come.	Segg Papa, dat he kamen schall.
>>nds<< The book's white.	Dat Book is witt.
>>nds<< The box is empty.	De Kassen is leddig.
>>nds<< The box is empty.	De Schachtel is leddig.
>>nds<< The curtain rose.	De Vörhang güng op.
>>nds<< The man is naked.	De Mann is naakd.
>>nds<< The man is right.	De Mann hett recht.
>>nds<< The well ran dry.	De Born is dröögfullen.
>>nds<< The well ran dry.	De Pütt is dröögfullen.
>>nds<< The well ran dry.	De Sood is dröögfullen.
>>nds<< These are my CDs.	Dat sünd miene CDs.
>>nds<< They are singers.	Se sünd Singers.
>>nds<< They had no food.	Se harrn nix to eten.
>>nds<< They thanked God.	Se hebbt Godd dankt.
>>nds<< This boy is lazy.	Disse Jung is fuul.
>>nds<< This man is dead.	Disse Mann is dood.
>>nds<< This tastes good.	Dat smeckt good.
>>nds<< Those are my CDs.	Dat sünd miene CDs.
>>nds<< Try it once more.	Versöök dat noch eens wedder.
>>nds<< We have two kids.	Wi hebbt twee Kinner.
>>nds<< What did you say?	Wat hest du seggt?
>>nds<< What should I do?	Wat schall ik doon?
>>nds<< What's the cause?	Wat is de Oorsaak?
>>nds<< Where's the bank?	Woneem is de Bank?
>>nds<< Whose turn is it?	’Keen is an ’e Reeg?
>>nds<< Why did you quit?	Worüm hest du ophöört?
>>nds<< You are a doctor.	Du büst en Dokter.
>>nds<< You look so pale.	Du süst so bleek ut.
>>nds<< You missed a lot.	Du hest veel verpasst.
>>nds<< You're in my way.	Du büst mi in ’n Weg.
>>nds<< You're my father.	Du büst mien Vader.
>>nds<< You're my friend.	Du büst mien Fründ.
>>nds<< Your car is fast.	Dien Auto is gau.
>>nds<< Advance two steps.	Gah twee Schreed vör.
>>nds<< Cows give us milk.	Keih geevt uns Melk.
>>nds<< Do you believe me?	Glöövst du mi?
>>nds<< Do you drink wine?	Drinkst du Wien?
>>nds<< Do you have money?	Hest du Geld?
>>nds<< Do you have paper?	Hest du Poppeer?
>>nds<< Do you like music?	Magst du Musik?
>>nds<< Do you need money?	Bruukst du Geld?
>>nds<< Do you want money?	Wullt du Geld?
>>nds<< Do you want to go?	Wullt du gahn?
>>nds<< Do you wish to go?	Wullt du gahn?
>>nds<< Earth is a planet.	De Eer is en Planeet.
>>nds<< Go straight ahead.	Gah liekut.
>>nds<< He can't help you.	He kann di nich helpen.
>>nds<< He does not smoke.	He smöökt nich.
>>nds<< He had a headache.	He harr Koppwehdaag.
>>nds<< He had three sons.	He harr dree Söhns.
>>nds<< He has a headache.	He hett Koppwehdaag.
>>nds<< He has seven sons.	He hett söven Söhns.
>>nds<< He is still alive.	He leevt noch jümmer.
>>nds<< He is still angry.	He is noch jümmer argerlich.
>>nds<< He killed himself.	He hett sik sülvs ümbröcht.
>>nds<< He ran five miles.	He lööp fiev Mielen.
>>nds<< He sat next to me.	He seet blangen mi.
>>nds<< He sat on the bed.	He seet op ’t Bedd.
>>nds<< He told the truth.	He seed de Wohrheid.
>>nds<< He turned the key.	He hett den Slötel ümdreiht.
>>nds<< He's not an idiot.	He is keen Döösbaddel.
>>nds<< His car is a Ford.	Sien Auto is en Ford.
>>nds<< How did you do it?	Woans hest du dat daan?
>>nds<< I am coming today.	Ik kaam vondaag.
>>nds<< I didn't hear you.	Ik heff jo nich höört.
>>nds<< I do not feel sad.	Ik bün nich trurig.
>>nds<< I don't want meat.	Ik will keen Fleesch.
>>nds<< I forgot her name.	Ik heff ehren Naam vergeten.
>>nds<< I forgot his name.	Ik heff sien Naam vergeten.
>>nds<< I had an accident.	Ik heff en Unfall hatt.
>>nds<< I have a daughter.	Ik heff en Dochter.
>>nds<< I have a headache.	Ik heff Koppwehdaag.
>>nds<< I have a passport.	Ik heff en Pass.
>>nds<< I have brown hair.	Ik heff bruun Hoor.
>>nds<< I have many discs.	Ik heff veel Platten.
>>nds<< I know how to ski.	Ik kann Ski föhren.
>>nds<< I sat next to him.	Ik seet blangen em.
>>nds<< I stand corrected.	Ik nehm allens trügg.
>>nds<< I will go on foot.	Ik gah to Foot.
>>nds<< I wrote that book.	Ik heff dat Book schreven.
>>nds<< I'm able to speak.	Ik kann snacken.
>>nds<< I'm always hungry.	Ik bün jümmer hungerig.
>>nds<< I'm not a student.	Ik bün keen Schöler.
>>nds<< I'm not a student.	Ik bün keen Student.
>>nds<< I'm still thirsty.	Ik bün jümmer noch dörstig.
>>nds<< I'm taking a bath.	Ik baad.
>>nds<< Is that your book?	Is dat dien Book?
>>nds<< Is that your room?	Is dat dien Kamer?
>>nds<< It has cooled off.	Dat is afköhlt.
>>nds<< It's already late.	Dat is al laat.
>>nds<< It's dark outside.	Dat is buten düüster.
>>nds<< It's my brother's.	Dat höört mien Broder to.
>>nds<< It's not my fault.	Dat is nich mien Schuld.
>>nds<< It's now or never.	Nu oder gornich!
>>nds<< It's our pleasure.	Dat is uns en Freid.
>>nds<< Let's go this way.	Laat uns hier langs gahn.
>>nds<< Let's take a rest.	Laat uns verpuusten.
>>nds<< Life is beautiful.	Dat Leven is mooi.
>>nds<< My uncle is angry.	Mien Unkel is füünsch.
>>nds<< Prices are rising.	De Priesen gaht na baven.
>>nds<< Say it in English.	Segg dat op Engelsch.
>>nds<< She always smiles.	Se smüüstert jümmer.
>>nds<< She began to sing.	Se füng an to singen.
>>nds<< She can't stop me.	Se kann mi nich ophollen.
>>nds<< She cooks for him.	Se kaakt för em.
>>nds<< She has long hair.	Se hett lang Hoor.
>>nds<< She heard him cry.	Se hett em wenen höört.
>>nds<< She is her friend.	Se is ehr Fründin.
>>nds<< She is his friend.	Se is sien Fründin.
>>nds<< She loves singing.	Se singt geern.
>>nds<< She made him rich.	Se möök em riek.
>>nds<< She smiled at him.	Se smüüster em an.
>>nds<< She threw him out.	Se hett em rutsmeten.
>>nds<< She tried to swim.	Se versöch to swemmen.
>>nds<< She went with him.	Se is mit em gahn.
>>nds<< Termites eat wood.	Termiten freet Holt.
>>nds<< That boy is smart.	Disse Jung is plietsch.
>>nds<< That boy is smart.	De Jung is klook.
>>nds<< That cat is brown.	De Katt is bruun.
>>nds<< That is your book.	Dat is dien Book.
>>nds<< That's a pheasant.	Dat is en Fasaan.
>>nds<< That's a pheasant.	Dat is en Fassaan.
>>nds<< The cat is eating.	De Katt fritt.
>>nds<< The dog wants out.	De Hund will rut.
>>nds<< The earth rotates.	De Eer dreiht sik.
>>nds<< The lemon is sour.	De Zitroon is suur.
>>nds<< The man ate bread.	De Mann hett Brood eten.
>>nds<< The market is big.	De Markt is groot.
>>nds<< The room was warm.	De Kamer weer warm.
>>nds<< There is your bag.	Dor is dien Tasch.
>>nds<< They missed a lot.	Se hebbt veel verpasst.
>>nds<< This car is black.	Dit Auto is swart.
>>nds<< This is my friend.	Dat is mien Fründ.
>>nds<< This is my sister.	Dat is miene Süster.
>>nds<< Tom is my brother.	Tomás is mien Broder.
>>nds<< We don't have tea.	Wi hebbt keen Tee.
