>>dtp<< Help!	Uhupai!
>>dtp<< Please help me.	Uhupai oku.
>>dtp<< Smoke appeared.	Noimbulai no lisun.
>>dtp<< They hated Tom.	Araatan iyolo di Tom.
>>dtp<< Tom cut school.	Mogidu i Tom mantad do sikul.
>>dtp<< Tom misses you.	Lumangad i Tom dika.
>>dtp<< Tom will share.	Maan i Tom ndo poilang.
>>dtp<< Tom, don't die.	Tom, kada patai.
>>dtp<< We have failed.	Au kalantoi tokou.
>>dtp<< Why do you ask?	Nokuro tu minuhot nu dii?
>>dtp<< Am I ever wrong?	Nasala' oku?
>>dtp<< Are my ears red?	Aragang tolingo ku?
>>dtp<< Are we all here?	Haro ko' toinsanan hiti?
>>dtp<< Are we done yet?	Nokoompus tokou no?
>>dtp<< Are we safe now?	Au tokou noontok?
>>dtp<< Are you married?	Nakasawo ko' no?
>>dtp<< Bring me my bag.	Owito barait ku.
>>dtp<< Call the police.	Lohowo pulis.
>>dtp<< Can I be honest?	Milo' oku maan do otulid?
>>dtp<< Can I have this?	Milo' oku mokianu diti?
>>dtp<< Can I order now?	Milo' oku mambarai baino?
>>dtp<< Can I order one?	Milo' oku mambarai lo tiso?
>>dtp<< Can I park here?	Milo' oku popotimpak korita ku hiti?
>>dtp<< Can I sit there?	Milo' oku mirikau lo hodi?
>>dtp<< Can I stay over?	Milo' oku magandad?
>>dtp<< Can I trust Tom?	Milo' oku mumboyo di Tom?
>>dtp<< Can I work here?	Milo' oku kumaraja hiti?
>>dtp<< Can it be fixed?	Milo' mongundar?
>>dtp<< Can we eat this?	Milo' tokou mangakan ti?
>>dtp<< Can we save Tom?	Milo' tokou manampasi i Tom?
>>dtp<< Can we sit here?	Milo' tokou mirikau hiti?
>>dtp<< Can you help me?	Milo' ko' monguhup doho?
>>dtp<< Can you see Tom?	Kokito ko' di Tom?
>>dtp<< Cats catch mice.	Monimpad tungau do biik.
>>dtp<< Congratulations!	Bayahan!
>>dtp<< Did you miss me?	Langadon ko' nangku doho?
>>dtp<< Do you know her?	Kotutun ko' disido?
>>dtp<< Do you know him?	Kotutun ko' dau?
>>dtp<< Do you remember?	Kosorou ko' po?
>>dtp<< Drink something.	Poginum no.
>>dtp<< Funny, isn't it?	Aramai kio?
>>dtp<< How old are you?	Piro tumur nu?
>>dtp<< How old are you?	Piro toun nu?
>>dtp<< I can do it now.	Milo' oku maan baino.
>>dtp<< I can get us in.	Milo' oku mongoruhang dahai.
>>dtp<< I can't see you.	Au oku kokito diya.
>>dtp<< I don't see him.	Au oku okito disio.
>>dtp<< I have to hurry!	Maan oku do tosikap kio.
>>dtp<< I have two cats.	Duo no kitungau ku.
>>dtp<< I live in Japan.	Kinoiyonon ku hilo'd Gipun.
>>dtp<< I never met Tom.	Au oku nokoumbal nokoruba di Tom.
>>dtp<< I recognize him.	Kotutun oku kaka dau.
>>dtp<< I want a friend.	Mokiambalut oku.
>>dtp<< I want to sleep.	Manu oku modop.
>>dtp<< I will kill you.	Mamatai ku ndo diya.
>>dtp<< I'm a bit crazy.	Mulau oku tokuri.
>>dtp<< I'm not a robot.	Yoho okon ko robot.
>>dtp<< Is Tom infected?	Noroliu i Tom?
>>dtp<< It isn't locked.	Au nokokunsi ilo.
>>dtp<< It's cold today.	Osogit do baino.
>>dtp<< Jesus loves you.	Guminawo i Yesus kumaa diya.
>>dtp<< Let's stop here.	Kanou tumingkod hiti.
>>dtp<< Maybe it's true.	Otopot matu.
>>dtp<< Merry Christmas!	Kotobian Tadau Kirismas!
>>dtp<< Nice seeing you!	Sonong kopiruba diya!
>>dtp<< The sky is blue.	Obulou ilo tawan.
>>dtp<< They're interns.	Minsingiloh iyolo.
>>dtp<< Tom got a puppy.	Haro duku i Tom.
>>dtp<< Tom looked down.	Luminuung i Tom.
>>dtp<< Tom was cheated.	Nowudutan di Tom.
>>dtp<< Walking is nice.	Mimpanau nopo nga osonong montok kolidasan.
>>dtp<< We all like you.	Muhang yahai diya.
>>dtp<< We all love you.	Guminawo yahai diya.
>>dtp<< We study French.	Minsingilo' tokou mimboros Poransis.
>>dtp<< We're very fast.	Osikap tomod tokou.
>>dtp<< What's going on?	Nokuro dii?
>>dtp<< What's its name?	Isai ngaran dau?
>>dtp<< Who betrayed us?	Isai minogolimut dahai?
>>dtp<< You look stupid.	Basug nodi kokitanan nu.
>>dtp<< You're so weird.	Suai ko dii.
>>dtp<< A cab is waiting.	Nokorikot no tiksi.
>>dtp<< Are they in love?	Miupus iyolo?
>>dtp<< Are you doing OK?	Osonong-sonong ko' ih?
>>dtp<< Are you going in?	Mongoi ko' suang?
>>dtp<< Are you my enemy?	Ika no pisangod ku?
>>dtp<< Are you on board?	Mungkayut ko' no?
>>dtp<< Are you on drugs?	Sosooyon ko' no?
>>dtp<< Are you open now?	Mongiwang ko' baino?
>>dtp<< Are you too cold?	Nosogitan nu dii?
>>dtp<< Are you too warm?	Alasu tomod ko' no?
>>dtp<< Are you two busy?	Atangkangau kou goduo?
>>dtp<< Are you up there?	Hino ko' id sawat?
>>dtp<< Be there at noon.	Kada lihuai id dangadau kio.
>>dtp<< Bring it in, Tom.	Owito hiti oi Tom!
>>dtp<< Bring it on, Tom.	Umbalai bogia Tom!
>>dtp<< Bring me my cane.	Owito sukud ku.
>>dtp<< Bring them to me.	Owito iyolo montok doho.
>>dtp<< Can I go surfing?	Milo' oku mintong do intornit?
>>dtp<< Can I have three?	Milo' oku onuai do tolu' dilo?
>>dtp<< Can I trust them?	Milo' oku lumansan diolo?
>>dtp<< Can Tom go first?	Milo' i Tom mongoi gulu?
>>dtp<< Can this be true?	Otopot iti?
>>dtp<< Can we bring Tom?	Milo' tokou mongowit i Tom?
>>dtp<< Can we come, too?	Tokou nga milo' korikot?
>>dtp<< Can we go inside?	Milo' tokou moi suang?
>>dtp<< Can we help them?	Milo tokou monguhup diolo?
>>dtp<< Can we leave now?	Milo tokou mongiduan baino?
>>dtp<< Can we talk here?	Milo' tokou moboros hiti?
>>dtp<< Can we trust you?	Milo' tokou otumbayaan dika?
>>dtp<< Can you help Tom?	Milo' ko moi uhup di Tom?
>>dtp<< Can you see that?	Kokito ko' dilo?
>>dtp<< Can you see them?	Kokito ko' diyolo?
>>dtp<< Close the window.	Tanabai ilo liligaon.
>>dtp<< Give me that jar.	Onuai oku dilo kakanan.
>>dtp<< He has long hair.	Kitobuk isido tanaru.
>>dtp<< He speaks French.	Koilo' yau mimboros Poransis.
>>dtp<< I am a bit crazy.	Mulau oku tokuri.
>>dtp<< I bet it was Tom.	Nokokito do Tom kangku daa.
>>dtp<< I came to say hi.	Hiti oku mamarait "kopiwosian".
>>dtp<< I came yesterday.	Norikot oku kosodop.
>>dtp<< I can do it, too.	Yoku nga milo' nogi maan dilo.
>>dtp<< I can get you in.	Milo' oku poposuang dika.
>>dtp<< I don't think so.	Mada oku dii.
>>dtp<< I hate chemistry.	Araatan oku do kimia.
>>dtp<< I love gardening.	Orohian oku do mananom.
>>dtp<< I need your help.	Mokiuhup oku mantad dika.
>>dtp<< I sell umbrellas.	Papadagang oku do payung.
>>dtp<< I'm Tom's nephew.	Yoku nopo nga manangaman Tom.
>>dtp<< I'm full of hope.	Alansan oku kopio.
>>dtp<< I'm not a doctor.	Yoku okon gia mongugusap.
>>dtp<< I'm not so happy.	Au oku ounsikahan kopio.
>>dtp<< Is this your car?	Ilo hodi korita nu?
>>dtp<< Let me take this.	Onuan ku diti.
>>dtp<< Nice to meet you.	Tabi pintutunan kio.
>>dtp<< See you tomorrow.	Kopiruba id suab kio.
>>dtp<< Share it with me.	Mai gia poilang oku.
>>dtp<< Share it with us.	Mai gia piuhupan kumaa dahai.
>>dtp<< That's the issue.	Iri no kobolingkangan.
>>dtp<< The jar is empty.	Aiso nunu hodi suang do kakanan.
>>dtp<< Tom is a planner.	I Tom nopo nga gompomonsoi.
>>dtp<< Tom will find us.	Ihumon i Tom ndo dahai.
>>dtp<< We know all this.	Nokoilo yahai dilo ngawi.
>>dtp<< We share a dream.	Misompuru tokou doid tipi tokou.
>>dtp<< What can you see?	Nunu o tokito nu?
>>dtp<< What did you buy?	Nunu binoli nu?
>>dtp<< What did you say?	Nu gia kanu?
>>dtp<< What do you want?	Nu pokionuan nu?
>>dtp<< Where did Tom go?	Hinonggo tongoyon di Tom?
>>dtp<< Where did you go?	Honggo tongoyon nu?
>>dtp<< Where is my seat?	Hombo o tirikohonon ku?
>>dtp<< You helped Mommy?	Nouhup ko' di yama?
>>dtp<< A heavy rain fell.	Asapou no rasam.
>>dtp<< Am I welcome here?	Milo' oku kinorikatan hiti?
>>dtp<< Ammonia is a base.	Ammonia nopo nga tadon dau.
>>dtp<< Are they all nuts?	Noulau iyolo ngawi?
>>dtp<< Are we going home?	Muli tokou do nangku id walai?
>>dtp<< Are we in trouble?	Kobolingkangan tokou?
>>dtp<< Are you a student?	Iya susumikul?
>>dtp<< Are you bored yet?	Nababas ko' po?
>>dtp<< Are you busy here?	Atangkangau ko' hiti?
>>dtp<< Are you home, too?	Ika nga id walai?
>>dtp<< Are you hurt, Tom?	Norualan nu dii oi Tom?
>>dtp<< Are you in danger?	Koligagaanan ko' dii?
>>dtp<< Are you my doctor?	Ika nopo nga mongugusap ku?
>>dtp<< Are you out there?	Hino ko' id labus?
>>dtp<< Are you ready now?	Nokosodia ko' baino?
>>dtp<< Are you really OK?	Au ko' kukuro kopio gia?
>>dtp<< Are you sure, Tom?	Kopio gia, Tom?
>>dtp<< Are you too tired?	Nohuyan ko' no?
>>dtp<< Be honest with me.	Poboroso do otulid kumaa doho bogia.
>>dtp<< Be quick about it.	Sikapai bogia.
>>dtp<< Bring Tom in here.	Owito i Tom hiti.
>>dtp<< Buy me some candy.	Pobolio' moomis kumaa doho.
>>dtp<< Can we get closer?	Milo' tokou mongoi insomok?
>>dtp<< Do you like music?	Orohian ko' do loyuk?
>>dtp<< He's now studying.	Minsingilo isio po baino.
>>dtp<< Her eyes darkened.	Tuminuong mato disido.
>>dtp<< How can we get in?	Ingkuro no tokou milo' monuang?
>>dtp<< I bathe every day.	Momodsu oku do monikid tadau.
>>dtp<< I bet I can guess.	Noilaan oku dilo sundait.
>>dtp<< I can do the math.	Milo' oku maan do pongintobon.
>>dtp<< I can go by train.	Milo' oku sumakai do koritapui.
>>dtp<< I can make a call.	Milo' oku monolipoun.
>>dtp<< I can't afford it.	Au oku asaga.
>>dtp<< I share your idea.	Maan oku piuhupan do sorohon nu.
>>dtp<< I want this puppy.	Manu oku dilo hodi duku.
>>dtp<< I was happy there.	Otood oku hilo.
>>dtp<< I'll be in my car.	Sumakai oku id korita do tinu.
>>dtp<< I'll be on my own.	Maan oku sondiri do tinu.
>>dtp<< I'm not very well.	Au oku osonong kopio.
>>dtp<< I'm working on it.	Maai ku po ti.
>>dtp<< It's an infection.	Rolihan ilo.
>>dtp<< It's easy for you.	Osinang montok diya.
>>dtp<< Keep an eye on it.	Intang-intangan kio.
>>dtp<< Keep away from me.	Insodu oku.
>>dtp<< Please forgive me.	Ompunai oku.
>>dtp<< She hates carrots.	Araatan sido do lubak taragang.
>>dtp<< She hates running.	Araatan sido do manangkus.
>>dtp<< She may be French.	Tulun yau Poransis kanto.
>>dtp<< Spiders spin webs.	Monurug o korut do lawa.
>>dtp<< Stay with us, Tom.	Iyono' maya tokou oi Tom.
>>dtp<< That won't happen.	Au koontok lo.
>>dtp<< There is one less.	Au nabagal songulun.
>>dtp<< They spoke French.	Mimboros iyolo Poransis.
>>dtp<< They're listening.	Mokinongou iyolo.
>>dtp<< Tom is a bad cook.	I Tom nopo nga mongongonsok dit au osonong.
>>dtp<< Tom is quite tall.	Aranggou i Tom do tokuri.
>>dtp<< Tom speaks French.	Mimboros i Tom do Poransis.
>>dtp<< Two beers, please.	Onuai oku duo biir.
>>dtp<< We are who we are.	Itokou nopo nga nunu miiso tokou.
>>dtp<< We can both do it.	Milo' kito maan ti.
>>dtp<< We can look it up.	Milo' tokou mogintong lo.
>>dtp<< We're not staying.	Au tokou miiyon hiti.
>>dtp<< What does it mean?	Nu komoyon ti?
>>dtp<< What is happiness?	Nunu o kataadan?
>>dtp<< What is your name?	Isai ngaran nu?
>>dtp<< Where do you live?	Honggo ko' poingiyon?
>>dtp<< Who can I talk to?	Isai oku milo' monongkiboros?
>>dtp<< Who speaks French?	Isai mimboros Poransis?
>>dtp<< Why are you alone?	Nokuro ko' songulun nodi?
>>dtp<< Will you marry me?	Kotorimo ko' nangku doho manansawo?
>>dtp<< You and I are men.	Kusai kito.
>>dtp<< You are a teacher.	Iya nopo nga mongingia'.
>>dtp<< You are beautiful.	Olundus ko no.
>>dtp<< You are my friend.	Iya nopo nga tambalut ku.
>>dtp<< You are one of us.	Ika nga puru-puru tokou.
>>dtp<< You like everyone.	Orohian ko' di tulun ngawi.
>>dtp<< You make me happy.	Insasamadan ko' doho.
>>dtp<< A child is missing.	Natagak no tanak.
>>dtp<< A lot has happened.	Ogumu ontokon ti.
>>dtp<< Am I being foolish?	Noudutan ku dii?
>>dtp<< Am I too demanding?	Sumonsog oku nodi?
>>dtp<< Are you badly hurt?	Norualan nu dii?
>>dtp<< Are you blaming me?	Monondos ko' doho?
>>dtp<< Are you both drunk?	Naawuk ikoyu no?
>>dtp<< Are you guys crazy?	Noulau ikoyu?
>>dtp<< Are you guys ready?	Nokosodia kou no?
>>dtp<< Are you hungry yet?	Witilon ko' po?
>>dtp<< Are you mocking me?	Mangasab ko' nangku doho?
>>dtp<< Are you really Tom?	Ika nopo nga Tom kopio gia?
>>dtp<< Are you scared now?	Modosi ko' baino?
>>dtp<< Are you still busy?	Atangkangau ko' po?
>>dtp<< Are you two hungry?	Witilon duo kou no?
>>dtp<< Are your eyes open?	Ungkalat ko'?
>>dtp<< Boy that was close.	Atukoi, oruhai po nga nasip au kaantak i.
>>dtp<< Bring Tom with you.	Poruhango i Tom maya dika.
>>dtp<< Buy low, sell high.	Pobolio do uwai gatang, poinsawato' do dagang
>>dtp<< Can I borrow yours?	Milo' oku molos mantad dika?
>>dtp<< Can I question Tom?	Milo' oku monguhot di Tom?
>>dtp<< Can Tom be trusted?	Milo' otumbayaan kaka i Tom?
>>dtp<< Can we afford that?	Kasaga' tokou maan dilo?
>>dtp<< Can we afford this?	Kasaga' tokou maan diti?
>>dtp<< Can we get started?	Milo' tokou tumimpuun?
>>dtp<< Can we go upstairs?	Milo tokou mindakod?
>>dtp<< Can you and I talk?	Milo' kito maan pibarasan?
>>dtp<< Come and sit by me.	Kaino mirikau maya doho.
>>dtp<< Do you like apples?	Manu ko' do apol?
>>dtp<< Do you remember me?	Kosorou ko' nangku doho?
>>dtp<< Go and have a look.	Ongoi intong.
>>dtp<< Go and talk to Tom.	Ongoi ponongkiboros i Tom.
>>dtp<< Go back to bed now.	Ongoi odop baino.
>>dtp<< He called for beer.	Olohou yau tu manu do biir.
>>dtp<< How big will it be?	Songkuro ginayo lo?
>>dtp<< How can I help Tom?	Ingkuro no oku milo' monguhup Tom?
>>dtp<< How can I stop Tom?	Ingkuro no oku mogodu Tom?
>>dtp<< I admire Tom a lot.	Arayou oku do togumu kaka Tom.
>>dtp<< I ate way too much.	Godoot oku no kopio.
>>dtp<< I can help you out.	Milo' oku monguhup dika.
>>dtp<< I can live with it.	Milo' oku tumilombus diti.
>>dtp<< I can pay you back.	Milo' oku popoguli do barayan kumaa dika.
>>dtp<< I can see that now.	Okito oku dilo baino.
>>dtp<< I can speak to Tom.	Milo' oku moboros montok Tom.
>>dtp<< I have a job to do.	Haro no toguagon ku.
>>dtp<< I have two nephews.	Duo no kimononginan ku.
>>dtp<< I have two nephews.	Duo no kimanangaman ku.
>>dtp<< I was busy all day.	Atangkangau oku no monikid tadau.
>>dtp<< I'll be at my desk.	Hiti oku do mija' ku.
>>dtp<< I'll work with Tom.	Kumaraja oku miampai di Tom.
>>dtp<< I'm an old man now.	Olohing oku do baino.
>>dtp<< I'm going to sleep.	Mongoi oku odop.
>>dtp<< I've been infected.	Nokoroliu oku no.
>>dtp<< Is Tom your nephew?	I Tom gia manangaman nu?
>>dtp<< It is of great use.	Osonong ilo kogunaan.
>>dtp<< It was in this box.	Haro id suang do kaban.
>>dtp<< It's not important.	Au tagal i.
>>dtp<< It's time to party.	Maso do karamaian.
>>dtp<< Let's see who wins!	Intangai po isai nopo kamanang!
>>dtp<< Love is everything.	Haro lisih, haro nunu.
>>dtp<< Please take a bath.	Ongoi podsu.
>>dtp<< Thank you for that.	Kotoluadan tu manahak lo.
>>dtp<< Thank you for this.	Kotoluadan tu manahak ti.
>>dtp<< That was different.	Suai ilo.
>>dtp<< The earth is round.	Obulugu ilo pomogunan.
>>dtp<< This boy is my son.	I tanak ti nopo nga tanak ku.
>>dtp<< Tom is rarely late.	Apagau i Tom a'adahan.
>>dtp<< Tom studies French.	Minsingilo' i Tom do boros Poransis.
>>dtp<< Tom teaches French.	Monuduk i Tom do boros Poransis.
>>dtp<< Tom wanted revenge.	Mumang i Tom do posulian.
>>dtp<< Tom, are you there?	Oi Tom, hino ko dii?
>>dtp<< We all cried a lot.	Mihad-ihad oku kopio.
>>dtp<< We all have to die.	Matai tokou kama.
>>dtp<< We came to see you.	Rumikot tokou miruba dika.
>>dtp<< We can rely on Tom.	Milo' tokou kotumbaya i Tom.
>>dtp<< We can take a hint.	Milo' tokou monoromo.
>>dtp<< We can talk to Tom.	Milo' tokou moboros kumaa Tom.
>>dtp<< We went to a movie.	Minoi yahai intong do wayang.
>>dtp<< We were all asleep.	Koodop tokou ngawi.
>>dtp<< We were very tired.	Ohuyan tomod tokou ih.
>>dtp<< We're all infected.	Norolihan tokou i.
>>dtp<< Well, now you know.	Ba, nokoilo' ko' baino.
>>dtp<< What am I here for?	Nunu pokionuan ku hiti?
>>dtp<< What are you doing?	Nu mangan nu?
>>dtp<< When can I move in?	Soira milo' oku kondaliu?
>>dtp<< When can I see Tom?	Soira oku koruba di Tom?
>>dtp<< Where are you from?	Hinonggo tadon nu?
>>dtp<< Why are you crying?	Nokuro tu mihad ko' dii?
>>dtp<< Why is sweat salty?	Nokuro tu oosin o tumos?
>>dtp<< You are in my seat.	Ika id tirikohon ku.
>>dtp<< You are in my spot.	Hiti ko id wayaan ku.
>>dtp<< You are very brave.	Katama ko' tomod.
>>dtp<< You can do it, too.	Ika nga milo' maan nogi.
>>dtp<< You can let go now.	Milo' ko' mogidu baino.
>>dtp<< You're still young.	Omulok ko' po.
>>dtp<< All I can do is try.	Nunu kawasa ku nopo nga mongumbal.
>>dtp<< Allow me to explain.	Maai oku daa popoilo'.
>>dtp<< Answer me right now.	Onuai simbaran kumaa doho baino.
>>dtp<< Anybody want a beer?	Isai manu moginum?
>>dtp<< Anyone can see that.	Kokito isai-isai dilo hodi.
>>dtp<< Are they all strong?	Agaras iyolo ngawi?
>>dtp<< Are they still here?	Kakal iyolo po hiti?
>>dtp<< Are those new shoes?	Kasut wagu lo hodi?
>>dtp<< Are those your bags?	Barait nu lo hodi?
>>dtp<< Are we nearly there?	Osomok tokou id hilo?
>>dtp<< Are you about ready?	Poingintai ko' no?
